event_name,event_period,event_year,study_focus,iso_country_code,cb_region,event_type,classification,summary_statement,publication_year,citation,source,rapid_study,link
Summer extreme rainfall in east China,2020,2020,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""The greenhouse gas emissions from human activities increase the likelihood of both [month-scale precipitation and corresponding RX1day extreme events], leading to decreases in the return period for summer 2020-like events.""",2023,"Li R. et al., 2023: A comparative analysis of the attribution of extreme summer precipitation in south and north parts of the East China monsoon region—with the year 2020 as an example, International Journal of Climatology, doi:10.1002/joc.8260",International Journal of Climatology,No,https://doi.org/10.1002/joc.8260
Pearl River delta extreme rainfall,December 2013,2013,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""Our results indicate that anthropogenic warming has intensified this wintertime rainstorm by 17%.""",2023,"Zhao R. et al., 2023: Attribution of the December 2013 extreme rainfall over the Pearl River Delta to anthropogenic influences, Climate Dynamics, doi:10.1007/s00382-023-06869-6",Climate Dynamics,No,https://doi.org/10.1007/s00382-023-06869-6
Global extreme rainfall,2018,2018,Event,NA,Global,Rain & flooding,More severe or more likely to occur,"""For the year 2018, increased anthropogenic forcings are mostly responsible for increased risk to extreme [precipitation] affecting [72%] of global population and [76%] of global GDP relative to the baseline period 1961-1990.",2023,"Estrada F. et al., 2023: Anthropogenic influence on extremes and risk hotspots, Scientific Reports, doi:10.1038/s41598-022-27220-9",Scientific Reports,No,https://doi.org/10.1038/s41598-022-27220-9
Yangtze River valley extreme rainfall,2020,2020,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""The higher occurrence likelihood of circulation patterns conducive to precipitation in all forcing experiment than that in natural forcing proves that the extreme precipitation in the YRV in 2020 is attributable to human-induced climate change.""",2023,"Wang Q. et al., 2023: Attribution of tropical sea surface temperature change on extreme precipitation over the Yangtze River Valley in 2020, Climate Dynamics, doi:10.1007/s00382-023-06752-4",Climate Dynamics,No,https://doi.org/10.1007/s00382-023-06752-4
Western Europe heavy rainfall & flooding,2021,2021,Event,NA,Europe,Rain & flooding,More severe or more likely to occur,"""Anthropogenic climate change has already increased the intensity of the maximum 1-day rainfall event in the summer season by 3–19 %. The likelihood of such an event to occur today compared to a 1.2 C cooler climate has increased by a factor of 1.2–9""",2023,"Tradowsky J.S. et al., 2023: Attribution of the heavy rainfall events leading to severe flooding in Western Europe during July 2021, Climatic Change, doi:10.1007/s10584-023-03502-7",Climatic Change,No,https://doi.org/10.1007/s10584-023-03502-7
Central China record-breaking extreme rainfall,July 2021,2021,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,"Decrease, less severe or less likely to occur","""Anthropogenic climate change contributed to [+47%] of the [decrease] in the occurrence probability of the 2021 extreme precipitation events in [central] China.""",2023,"Wang L. et al., 2023: Attribution of the Record-Breaking Extreme Precipitation Events in July 2021 Over Central and Eastern China to Anthropogenic Climate Change, Earth's Future, doi:10.1029/2023EF003613",Earth's Future,No,https://doi.org/10.1029/2023EF003613
Eastern China record-breaking extreme rainfall,July 2021,2021,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""Anthropogenic climate change contributed to [+55%] of the [increase] in the occurrence probability of the 2021 extreme precipitation events in [eastern] China.""",2023,"Wang L. et al., 2023: Attribution of the Record-Breaking Extreme Precipitation Events in July 2021 Over Central and Eastern China to Anthropogenic Climate Change, Earth's Future, doi:10.1029/2023EF003613",Earth's Future,No,https://doi.org/10.1029/2023EF003613
Henan extreme rainfall,July 2021,2021,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,More severe or more likely to occur,"""Our results showed that the regional-average magnitude of the 48h accumulated rainfall during the [event] was increased by 5.7%…while the area of extreme rainfall (⩾500 mm) increased by 29.9%…as a result of anthropogenic climate change.""",2023,"Zhao, D. et al., 2023: Quantitative attribution of historical anthropogenic warming on the extreme rainfall event over Henan in July 2021, Environmental Research Letters, doi:10.1088/1748-9326/acfccd",Environmental Research Letters,No,https://doi.org/10.1088/1748-9326/acfccd
Horn of Africa flooding,October-December 2023,2023,Event,NA,Sub-Saharan Africa,Rain & flooding,More severe or more likely to occur,"""Due to the warming of 1.2C up till now, the magnitude of rainfall has also approximately doubled.""",2023,"Kimutai, J. et al., 2023: Compounding natural hazards and high vulnerability led to severe impacts from Horn of Africa flooding exacerbated by climate change and Indian Ocean Dipole, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/climate-change-indian-ocean-dipole-compounding-natural-hazards-and-high-vulnerability-increased-severity-of-flooding-in-the-horn-of-africa/
Bulgaria & Turkey extreme rainfall,September 2023,2023,Event,"BGR,TUR",Europe,Rain & flooding,More severe or more likely to occur,"""We find that human-induced climate change made an event as extreme as the one observed up to 10 times more likely and up to 40% more intense.""",2023,"Zachariah, M. et al, 2023: Interplay of climate change-exacerbated rainfall, exposure and vulnerability led to widespread impacts in the Mediterranean region, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/interplay-of-climate-change-exacerbated-rainfall-exposure-and-vulnerability-led-to-widespread-impacts-in-the-mediterranean-region/
Libya extreme rainfall,September 2023,2023,Event,LBY,Northern Africa and western Asia,Rain & flooding,More severe or more likely to occur,"""An event as extreme as the one observed over Libya has become up to 50 times more likely and up to 50% more intense compared to a 1.2C cooler climate.""",2023,"Zachariah, M. et al, 2023: Interplay of climate change-exacerbated rainfall, exposure and vulnerability led to widespread impacts in the Mediterranean region, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/interplay-of-climate-change-exacerbated-rainfall-exposure-and-vulnerability-led-to-widespread-impacts-in-the-mediterranean-region/
Pakistan flooding,August 2022,2022,Event,PAK,Central and southern Asia,Rain & flooding,More severe or more likely to occur,"""5-day maximum rainfall over the provinces Sindh and Balochistan is now about 75% more intense than it would have been had the climate not warmed by 1.2C, whereas the 60-day rain across the basin is now about 50% more intense.""",2023,"Otto, F. et al, 2022: Climate change likely increased extreme monsoon rainfall, flooding highly vulnerable communities in Pakistan, Environmental Research Climate, DOI: 10.1088/2752-5295/acbfd5",Environmental Research Climate,No,https://iopscience.iop.org/article/10.1088/2752-5295/acbfd5
Global concurrent rainfall extremes,1901-2020,NA,Trend,NA,Global,Rain & flooding,No discernible human influence,"""Historical anthropogenic forcing has strengthened the concurrence of temperature extremes over 56% of 946 global paired regions…but has not yet significantly affected concurrent precipitation extremes.""",2023,"Zhou S. et al., 2023: Global concurrent climate extremes exacerbated by anthropogenic climate change, Science Advances, doi:10.1126/sciadv.abo1638",Science Advances,No,https://doi.org/10.1126/sciadv.abo1638
Italy heavy rainfall,May 2023,2023,Event,ITA,Europe,Rain & flooding,No discernible human influence,"""Of the 19 models used, none of them show a significant change in the likelihood or intensity of such an event to occur. This suggests that in contrast to most parts of the world, there is indeed no detectable increase in heavy rainfall in the Emilia-Romagna region in spring.""",2023,"Barnes, C. et al, 2023: Limited net role for climate change in heavy spring rainfall in Emilia-Romagna, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/limited-net-role-for-climate-change-in-heavy-spring-rainfall-in-emilia-romagna/
Lake Kivu flooding,May 2023,2023,Event,"RWA,COD",Sub-Saharan Africa,Rain & flooding,Insufficient data/inconclusive,"""The scarcity of data does not allow us to draw any conclusions on the role of climate change in the floods today.""",2023,"Kimutai, J. et al, 2023: Limited data prevent assessment of role of climate change in deadly floods affecting highly vulnerable communities around Lake Kivu, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/limited-data-prevent-assessment-of-role-of-climate-change-in-deadly-floods-affecting-highly-vulnerable-communities-around-lake-kivu/
Frost days in China,1961-2017,NA,Trend,CHN,Eastern and south-eastern Asia,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Logically, on a large scale, global warming has reduced the number of annual [frost days] and lengthened the length of the [frost-free periods].""",2023,"Zhu L. et al., 2023: Change and attribution of frost days and frost-free periods in China, International Journal of Climatology, doi:10.1002/joc.8310",International Journal of Climatology,No,https://doi.org/10.1002/joc.8310
Frost-free periods in China,1961-2017,NA,Trend,CHN,Eastern and south-eastern Asia,"Cold, snow & ice",More severe or more likely to occur,"""Logically, on a large scale, global warming has reduced the number of annual [frost days] and lengthened the length of the [frost-free periods].""",2023,"Zhu L. et al., 2023: Change and attribution of frost days and frost-free periods in China, International Journal of Climatology, doi:10.1002/joc.8310",International Journal of Climatology,No,https://doi.org/10.1002/joc.8310
Cold snap in eastern China,2022,2022,Event,CHN,Eastern and south-eastern Asia,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Anthropogenic forcing led to a 1.5-fold decrease in the probability of 2022-like events, with anthropogenic greenhouse gases being the primary contributors to this reduction.""",2023,"Chen Z.-F. et al., 2023: Role of anthropogenic forcing and atmospheric circulation in a low-temperature event in February 2022 in eastern China, Advances in Climate Change Research, doi:10.1016/j.accre.2023.11.009",Advances in Climate Change Research,No,https://doi.org/10.1016/j.accre.2023.11.009
France growing-period frost,2021,2021,Event,FRA,Europe,"Cold, snow & ice","Decrease, less severe or less likely to occur","""We found that, without human-caused climate change, such temperatures in April or later in spring would have been even lower by 1.2 C""",2023,"Vautard R. et al., 2023: Human influence on growing-period frosts like in early April 2021 in central France, Natural Hazards and Earth System Sciences, doi:10.5194/nhess-23-1045-2023",Natural Hazards and Earth System Sciences,No,https://doi.org/10.5194/nhess-23-1045-2023
Eastern China cold extremes,1958-2020,NA,Trend,CHN,Eastern and south-eastern Asia,"Cold, snow & ice","Decrease, less severe or less likely to occur","""These results indicate a dominant role played by anthropogenic forcing in the extreme temperature changes.""",2023,"Sun Y. et al., 2023: Detection of the anthropogenic signal and urbanization effects in extreme temperature changes in eastern China, Atmospheric and Oceanic Science Letters, doi:10.1016/j.aosl.2023.100332",Atmospheric and Oceanic Science Letters,No,https://doi.org/10.1016/j.aosl.2023.100332
Global cold extremes,1981-2020,NA,Trend,NA,Global,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Our attribution analysis revealed anthropogenic forcings are robustly detectable and the main drivers of observed changes in all indices for all regions.""",2023,"Engdaw M.M. et al., 2023: Attribution of observed changes in extreme temperatures to anthropogenic forcing using CMIP6 models, Weather and Climate Extremes, doi:10.1016/j.wace.2023.100548",Weather and Climate Extremes,No,https://doi.org/10.1016/j.wace.2023.100548
Storm Alex,October 2020,2020,Event,"FRA,ITA",Europe,Storm,More severe or more likely to occur,"""These changes collectively point to high-impact storms like Alex having become more common in a changing climate.""",2022,"Ginesta M. et al., 2023: A methodology for attributing severe extratropical cyclones to climate change based on reanalysis data: the case study of storm Alex 2020, Climate Dynamics, doi:10.1007/s00382-022-06565-x",Climate Dynamics,No,https://doi.org/10.1007/s00382-022-06565-x
Cyclone Gabrielle extreme rainfall,February 2023,2023,Event,NZL,Australia and New Zealand,Storm,More severe or more likely to occur,"""2-day maximum rainfall over Te Matau-a-Māui/Te Tairāwhiti region is now about 30% more intense than it might have been had human greenhouse gas emissions not warmed the climate by 1.2C.""",2023,"Harrington, LJ, et al: 2023: The role of climate change in extreme rainfall associated with Cyclone Gabrielle over Aotearoa New Zealand’s East Coast, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/the-role-of-climate-change-in-extreme-rainfall-associated-with-cyclone-gabrielle-over-aotearoa-new-zealands-east-coast/
Burned area increase over 1971-2021,NA,NA,Trend,USA,Northern America,Wildfire,More severe or more likely to occur,"""We show that nearly all of the observed increase in burned area over the past half-century is attributable to anthropogenic climate change.""",2023,"Turco M. et al., 2023: Anthropogenic climate change impacts exacerbate summer forest fires in California, Proceedings of the National Academy of Sciences of the United States of America, doi:10.1073/pnas.2213815120",Proceedings of the National Academy of Sciences of the United States of America,No,https://doi.org/10.1073/pnas.2213815120
Eastern Canada wildfires,2023,2023,Event,CAN,Northern America,Wildfire,More severe or more likely to occur,"""Climate change made the cumulative severity of Québec’s 2023 fire season to the end of July around 50% more intense, and seasons of this severity at least seven times more likely to occur.""",2023,"Barnes, C. et al, 2023: Climate change more than doubled the likelihood of extreme fire weather conditions in Eastern Canada, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/climate-change-more-than-doubled-the-likelihood-of-extreme-fire-weather-conditions-in-eastern-canada/
China compound heatwave and heavy rainfall event,2020,2020,Event,CHN,Eastern and south-eastern Asia,Compound,More severe or more likely to occur,"""[A]nthropogenic climate change has increased the occurrence probability of similar events at least 10-fold.""",2023,"Qian C. et al., 2023: Human influences on spatially compounding flooding and heatwave events in China and future increasing risks, Weather and Climate Extremes, doi:10.1016/j.wace.2023.100616",Weather and Climate Extremes,No,https://doi.org/10.1016/j.wace.2023.100616
China summer extreme high temperature and drought/rain events (CHTDE/CHTRE),1961-2014,1961-2014,Event,CHN,Eastern and south-eastern Asia,Compound,More severe or more likely to occur,"""Anthropogenic climate change, especially greenhouse gas forcing, which contributes 90% to the linear change in the severity of CHTDE and CHTRE, is identified as the dominant factor affecting the severity of CHTDE in China.""",2023,"Li W. et al., 2023: Anthropogenic impact on the severity of compound extreme high temperature and drought/rain events in China, npj Climate and Atmospheric Science, doi:10.1038/s41612-023-00413-3",npj Climate and Atmospheric Science,No,https://doi.org/10.1038/s41612-023-00413-3
Global compound fire weather,1981-2020,NA,Trend,NA,Global,Compound,More severe or more likely to occur,"""[A]nthropogenic climate change (due primarily to greenhouse gas emissions) has aggravated the frequency and intensity of [compound fire weather] events, particularly in the Amazon region.""",2023,"Fan X. et al., 2023: Escalating Hot-Dry Extremes Amplify Compound Fire Weather Risk, Earth's Future, doi:10.1029/2023EF003976",Earth's Future,No,https://doi.org/10.1029/2023EF003976
Global summer compound hot and dry events,1961-2014,NA,Trend,NA,Global,Compound,More severe or more likely to occur,"""The anthropogenic influence on the intensified of compound hot and dry events on six continents and more than 65% of 44 sub-continents have been robustly detected.""",2023,"Pan R. et al., 2023: Detectable Anthropogenic Intensification of the Summer Compound Hot and Dry Events Over Global Land Areas, Earth's Future, doi:10.1029/2022EF003254",Earth's Future,No,https://doi.org/10.1029/2022EF003254
Deaths during Switzerland summer heatwave,2022,2022,Event,CHE,Europe,Impact,More severe or more likely to occur,"""We estimate 623 deaths due to heat between June and August 2022…we find that 60% of this burden could have been avoided in absence of human-induced climate change""",2023,"Vicedo-Cabrera. A. et al., 2023: The footprint of human-induced climate change on heat-related deaths in the summer of 2022 in Switzerland, Environmental Research Letters, DOI: 10.1088/1748-9326/ace0d0",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/1748-9326/ace0d0
Human displacements from Tropical Cyclone Idai,2019,2019,Event,MOZ,Sub-Saharan Africa,Impact,More severe or more likely to occur,"""Our main estimates indicate that climate change has increased displacement risk from this event by approximately 12,600-14,900 additional displaced persons.""",2023,"Mester B. et al., 2023: Human displacements from Tropical Cyclone Idai attributable to climate change, Natural Hazards and Earth System Sciences, doi:10.5194/nhess-23-3467-2023",Natural Hazards and Earth System Sciences,No,https://doi.org/10.5194/nhess-23-3467-2023
Alaska & northern Canada February cold extremes,2019,2019,Event,"USA,CAN",Northern America,"Cold, snow & ice","Decrease, less severe or less likely to occur","""[P]erturbed CO2 experiments illuminate increases in CO2, causing a [lower] chance for [cold] extremes. """,2024,"Lee D. et al., 2024: The Attribution of February Extremes over North America: A Forecast-Based Storyline Study, Journal of Climate, doi:10.1175/JCLI-D-24-0074.1",Journal of Climate,No,https://doi.org/10.1175/JCLI-D-24-0074.1
Mexico and Florida February heat extremes,2019,2019,Event,"MEX,USA",Northern America,Heat,More severe or more likely to occur,"""[P]erturbed CO2 experiments illuminate increases in CO2, causing a [higher] chance for [warm] extremes. """,2024,"Lee D. et al., 2024: The Attribution of February Extremes over North America: A Forecast-Based Storyline Study, Journal of Climate, doi:10.1175/JCLI-D-24-0074.1",Journal of Climate,No,https://doi.org/10.1175/JCLI-D-24-0074.1
Yangtze River basin extreme heat,2022,2022,Event,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""Anthropogenic forcing has contributed to the 2022-like heatwave by a factor about 7 compared to natural forcing under the present climate of the past 30 years""",2024,"Liang W. et al., 2024: Anthropogenic forcing and subtropical anticyclonic drivers of the August 2022 heatwave in China, Weather and Climate Extremes, doi:10.1016/j.wace.2024.100707",Weather and Climate Extremes,No,https://doi.org/10.1016/j.wace.2024.100707
Concurrent heatwaves in northern Europe and north-east Asia,July 2018,2018,Event,NA,Europe,Heat,More severe or more likely to occur,"""External forcings significantly amplify the heatwaves and contribute about 1C [surface air temperature] anomalies both in Northern Europe and north-east Asia.""",2024,"Ma K. et al., 2024: Attribution of the concurrent extreme heatwaves in Northern Europe and Northeast Asia in July 2018, Atmospheric Research, doi:10.1016/j.atmosres.2024.107506",Atmospheric Research,No,https://doi.org/10.1016/j.atmosres.2024.107506
European summer heatwaves since 1979,NA,NA,Trend,NA,Europe,Heat,More severe or more likely to occur,"""These findings highlight the significant impact of anthropogenic forcings on the observed surge of heatwaves in Europe compared to global land.""",2024,"Yin Z. et al., 2024: Anthropogenic Impacts on Amplified Midlatitude European Summer Warming and Rapid Increase of Heatwaves in Recent Decades, Geophysical Research Letters, doi:10.1029/2024GL108982",Geophysical Research Letters,No,https://doi.org/10.1029/2024GL108982
Eastern China seasonal extreme temperatures,1901-2020,NA,Trend,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""The optimal fingerprinting detections suggest that the century-scale warming can be clearly attributed to anthropogenic forcing, including changes in seasonal extreme temperatures.""",2024,"Hu T. et al., 2024: Anthropogenic influence on seasonal extreme temperatures in eastern China at century scale, Weather and Climate Extremes, doi:10.1016/j.wace.2024.100675",Weather and Climate Extremes,No,https://doi.org/10.1016/j.wace.2024.100675
Central Asia extreme temperature events,1901-2019,NA,Trend,NA,Central and southern Asia,Heat,More severe or more likely to occur,"""[T]he probability of experiencing a +7C temperature anomaly event in [central Asia] increases by up to a factor of seven in some areas due to global warming.""",2024,"Fallah B. et al., 2024: Exploring the impact of the recent global warming on extreme weather events in Central Asia using the counterfactual climate data ATTRICI v1.1, Climatic Change, doi:10.1007/s10584-024-03743-0",Climatic Change,No,https://doi.org/10.1007/s10584-024-03743-0
Asia warm spell duration,1960-2014,NA,Trend,NA,Central and southern Asia,Heat,More severe or more likely to occur,"""[A]nthropogenic forcing contributed to the observed increase in [warm spell duration] in the three hotspot regions (west Asia, south Asia and south-east Asia), with the majority of the changes being attributed to greenhouse gas forcing.""",2024,"Wang Z.-M. et al., 2024: Human influence on the duration of extreme temperature events in Asia's hotspot regions, Advances in Climate Change Research, doi:10.1016/j.accre.2024.03.005",Advances in Climate Change Research,No,https://doi.org/10.1016/j.accre.2024.03.005
Shanghai extreme heatwave,2022,2022,Event,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""We found that about 1/3 of the 2022 HW days in Shanghai can be attributed to the long-term warming trend of global warming.""",2024,"Liang P. et al., 2024: The 2022 Extreme Heatwave in Shanghai, Lower Reaches of the Yangtze River Valley: Combined Influences of Multiscale Variabilities, Advances in Atmospheric Sciences, doi:10.1007/s00376-023-3007-8",Advances in Atmospheric Sciences,No,https://doi.org/10.1007/s00376-023-3007-8
Extreme heat in the Yangtze River basin,2022,2022,Event,CHN,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""Anthropogenic warming may increase the probability of such extensively persistent hot extreme by 1.8 times""",2024,"Liao Z. et al., 2024: Extraordinary hot extreme in summer 2022 over the Yangtze River basin modulated by the La Niña condition under global warming, Advances in Climate Change Research, doi:10.1016/j.accre.2023.12.006",Advances in Climate Change Research,No,https://doi.org/10.1016/j.accre.2023.12.006
Greece summer heatwave,2021,2021,Event,GRC,Europe,Heat,More severe or more likely to occur,"""The results reveal a contribution of the immediate anthropogenic warming due to the increased [greenhouse gas] concentrations to the [late July/early August 2021 event] intensity.""",2024,"Giannaros C. et al., 2024: The extreme heat wave of late July/early August 2021 in Greece under the context of the direct effect of anthropogenic greenhouse gases, Atmospheric Science Letters, doi:10.1002/asl.1191",Atmospheric Science Letters,No,https://doi.org/10.1002/asl.1191
Pacific north-west heatwave,2021,2021,Event,"USA,CAN",Northern America,Heat,More severe or more likely to occur,"""[W]e…show that human influence on the climate made this event at least 8 [2–50] times more likely.""",2024,"Leach N.J. et al., 2024: Heatwave attribution based on reliable operational weather forecasts, Nature Communications, doi:10.1038/s41467-024-48280-7",Nature Communications,No,https://doi.org/10.1038/s41467-024-48280-7
West Africa humid heat,February 2024,2024,Event,NA,Sub-Saharan Africa,Heat,More severe or more likely to occur,"""Dangerous humid heat in southern west Africa about 4C hotter due to climate change""",2024,"Pinto, I. et al, 2024, Dangerous humid heat in southern West Africa about 4°C hotter due to climate change, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/dangerous-humid-heat-in-southern-west-africa-about-4c-hotter-due-to-climate-change/
Sahel heatwave,2024,2024,Event,"SEN,GIN,MLI,BFA,NGA,NER,TCD",Sub-Saharan Africa,Heat,More severe or more likely to occur,"""Extreme Sahel heatwave that hit highly vulnerable population at the end of Ramadan would not have occurred without climate change""",2024,"Barnes, C. et al 2024, Extreme Sahel heatwave that hit highly vulnerable population at the end of Ramadan would not have occurred without climate change, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/extreme-sahel-heatwave-that-hit-highly-vulnerable-population-at-the-end-of-ramadan-would-not-have-occurred-without-climate-change/
West Asia heatwave,April 2024,2024,Event,NA,Northern Africa and western Asia,Heat,More severe or more likely to occur,"""In west Asia, climate change increased the probability of the event by about a factor of 5""",2024,"Zachariah, M. et al, 2022: Climate change made the deadly heatwaves that hit millions of highly vulnerable people across Asia more frequent and extreme, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/climate-change-made-the-deadly-heatwaves-that-hit-millions-of-highly-vulnerable-people-across-asia-more-frequent-and-extreme/
Philippines heatwave,April 2024,2024,Event,PHL,Eastern and south-eastern Asia,Heat,More severe or more likely to occur,"""In the Philippines, the change in likelihood is so large that the event would have been impossible without human-caused climate change.""",2024,"Zachariah, M. et al, 2022: Climate change made the deadly heatwaves that hit millions of highly vulnerable people across Asia more frequent and extreme, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/climate-change-made-the-deadly-heatwaves-that-hit-millions-of-highly-vulnerable-people-across-asia-more-frequent-and-extreme/
One year of extreme heat,globally,2023-2024,Event,NA,Global,Heat,More severe or more likely to occur,"""Over the last 12 months, human-caused climate change added an average of 26 days of extreme heat (on average, across all places in the world) than there would have been without a warmed planet.""",2024,"Heat Action Day Report: Climate change and the escalation of global extreme heat, 2024, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/heat-action-day-report-climate-change-and-the-escalation-of-global-extreme-heat/
Mexico extreme heat,2024,2024,Event,"USA,MEX,GTM,BLZ,HND,SLV",Latin America and the Caribbean,Heat,More severe or more likely to occur,"""Human-induced warming from burning fossil fuels  made the 5-day maximum temperature event about 1.4 degrees hotter and about 35 times more likely. For nighttime temperatures this is about 1.6C hotter and about 200 times more likely.""",2024,"Pinto, I. et al, 2024: Extreme heat killing more than 100 people in Mexico hotter and much more likely due to climate change, World Weather Attribution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/extreme-heat-killing-more-than-100-people-in-mexico-hotter-and-much-more-likely-due-to-climate-change/
Mediterranean heatwave,July 2024,2023,Event,"GRC,ITA,ESP,PRT,FRA,MAR",Europe,Heat,More severe or more likely to occur,"""Deadly Mediterranean heatwave would not have occurred without human induced climate change""",2024,"Deadly Mediterranean heatwave would not have occurred without human induced climate change, 2024, World Weather Arrtibution",World Weather Attribution (rapid study),Yes,https://www.worldweatherattribution.org/deadly-mediterranean-heatwave-would-not-have-occurred-without-human-induced-climate-change/
Southcentral North America heat 2023,2023,2023,Event,NA,Northern America,Heat,More severe or more likely to occur,"""We estimate that temperatures during the southcentral North America event were 1.18-1.42C warmer because of global warming.""",2024,"Trok J.T. et al., 2024: Machine learning–based extreme event attribution, Science Advances, doi:0.1126/sciadv.adl3242",Science Advances,No,https://www.science.org/doi/10.1126/sciadv.adl3242
African heatwaves,1980-2014,NA,Trend,NA,Sub-Saharan Africa,Heat,More severe or more likely to occur,"""Our results confirm the intensification of heatwaves across Africa in recent years is due anthropogenic activity """,2024,"Adigun. P. et al,. 2024: Intensifying human-driven heatwaves characteristics and heat related mortality over Africa, Environmental Research Letters, DOI: 10.1088/2752-5295/ad1f41",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/2752-5295/ad1f41
"July winter heat, Australia",2023,2023,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""Approximately half of the unusual warmth was attributed to climate change, with the likelihood of breaking the previous record at least 17 times higher in the current climate compared to a stationary pre-industrial climate (14% vs. 0.4%).""",2024,"Hope. F. et al., 2024: Lessons learnt from a real-time attribution and contextualisation trial in a National Meteorological and Hydrological Service, Environmental Research Letters, DOI: 10.1088/2752-5295/ad7da8",Environmental Research Letters,No,https://iopscience.iop.org/article/10.1088/2752-5295/ad7da8/meta
Afghanistan flash droughts,1979-2021,NA,Trend,AFG,Central and southern Asia,Drought,More severe or more likely to occur,"""Additionally, anthropogenic climate change has intensified flash droughts in the spring-summer season, with a median fraction of attributable risk of 60%, 80%, and 90% for Afghanistan, Pakistan, and India, respectively.""",2024,"Ullah I. et al., 2024: Anthropogenic and atmospheric variability intensifies flash drought episodes in South Asia, Communications Earth and Environment, doi:10.1038/s43247-024-01390-y",Communications Earth and Environment,No,https://doi.org/10.1038/s43247-024-01390-y
Pakistan flash droughts,1979-2021,NA,Trend,PAK,Central and southern Asia,Drought,More severe or more likely to occur,"""Additionally, anthropogenic climate change has intensified flash droughts in the spring-summer season, with a median fraction of attributable risk of 60%, 80%, and 90% for Afghanistan, Pakistan, and India, respectively.""",2024,"Ullah I. et al., 2024: Anthropogenic and atmospheric variability intensifies flash drought episodes in South Asia, Communications Earth and Environment, doi:10.1038/s43247-024-01390-y",Communications Earth and Environment,No,https://doi.org/10.1038/s43247-024-01390-y
India flash droughts,1979-2021,NA,Trend,IND,Central and southern Asia,Drought,More severe or more likely to occur,"""Additionally, anthropogenic climate change has intensified flash droughts in the spring-summer season, with a median fraction of attributable risk of 60%, 80%, and 90% for Afghanistan, Pakistan, and India, respectively.""",2024,"Ullah I. et al., 2024: Anthropogenic and atmospheric variability intensifies flash drought episodes in South Asia, Communications Earth and Environment, doi:10.1038/s43247-024-01390-y",Communications Earth and Environment,No,https://doi.org/10.1038/s43247-024-01390-y
"Yangtze River basin ""mega-flash drought""",2022,2022,Event,CHN,Eastern and south-eastern Asia,Drought,More severe or more likely to occur,"""Our findings emphasized the role of land-atmosphere coupling combined with anthropogenic climate change in intensifying flash droughts.""",2024,"Yuan X. et al., 2024: Multiscale causes of the 2022 Yangtze mega-flash drought under climate change, Science China Earth Sciences, doi:10.1007/s11430-024-1356-x",Science China Earth Sciences,No,https://doi.org/10.1007/s11430-024-1356-x
Yangtze River Valley extreme summer drought,2022,2022,Event,CHN,Eastern and south-eastern Asia,Drought,More severe or more likely to occur,"""Human forcing has increased the likelihood of drought such as in 2022 by 65 (1–90) times for [rainfall] and 1300 (90–3000) times for [temperature], respectively.""",2024,"Zhang L. et al., 2024: Attribution of the Extreme 2022 Summer Drought along the Yangtze River Valley in China Based on Detection and Attribution System of Chinese Academy of Sciences, Bulletin of the American Meteorological Society, doi:10.1175/BAMS-D-23-0258.1",Bulletin of the American Meteorological Society,No,https://doi.org/10.1175/BAMS-D-23-0258.1
