subcategory,rank,year,name,affiliation,title
"Newspaper Writing on Spirits, Wine & Beer",Nominee,2002,Natalie Maclean,"National Post (Ontario, Canada)",A Multitude of Zins
"Magazine Writing on Spirits, Wine & Beer",Nominee,2002,Ray Isle,Wine & Spirits,Sea and Smoke
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2002,Tom Sietsema,Washington Post,Let Them Eat Steak
Newspaper Feature Writing with Recipes,Nominee,2002,Erica Marcus,Newsday,A Knish Is Still a Knish
Magazine Series,Winner,2002,Megan Wetherall,Saveur,"Celebrating Everyday Herbs: Memory,; Elegance,; Power"
Newspaper Feature Writing without Recipes,Nominee,2002,Sylvia Carter,Newsday,"California, Here She Comes"
Newspaper Feature Writing without Recipes,Winner,2002,Janet Fletcher,San Francisco Chronicle,"Sweet Success: From Richmond to Napa, from Safeway to High Society, Sam Godfrey Became the Bay Area's Baker to the Swells"
Magazine Feature About Restaurants and/or Chefs,Winner,2002,Jocelyn Zuckerman,Gourmet,Straight from the Heart
Magazine Feature without Recipes,Nominee,2002,Leslie Brenner,Travel & Leisure,High Cuisine on the High Seas?
Magazine or Newspaper Writing on Nutrition or Consumer Food Issues,Nominee,2002,Jeffrey Steingarten,Vogue,Chocolate Fantasy
Newspaper Series,Nominee,2002,Jill Wendholt Silva,The Kansas City Star,"American Cuisine: Land of Plenty,; Ohio Basics,; Prairie Gourmet"
Newspaper Series,Nominee,2002,Nicholas Boer,The Kansas City Star,"American Cuisine: Land of Plenty,; Ohio Basics,; Prairie Gourmet"
Magazine or Newspaper Writing on Nutrition or Consumer Food Issues,Winner,2002,Marian Uhlman,Philadelphia Inquirer,It's Making Us Fat
Newspaper Series,Nominee,2002,Marlene Parrish,Pittsburgh Post-Gazette,Foods of Spain
"Newspaper Writing on Spirits, Wine & Beer",Nominee,2002,Robb Walsh,Houston Press,Getting Stomped
Magazine Column,Nominee,2002,Amy O'Connor,ELLE Magazine,"Origin Obsessions,; The Exploding Palate,; The Big Cheese"
Magazine Series,Nominee,2002,Alan Richman,GQ,Food Fight
Newspaper Column,Winner,2002,Tara Duggan,San Francisco Chronicle,"The Silver Torpedo: The Weighty, One-of-a-Kind Mission Burrito Has Reached Cult Status Among Its Wide Variety of Fans,; What's Cookin': A Store That Gives New Life to Old Kitchenware,; Taco Truckin': Journey to the Mission for a Taste of Authentic Mexi"
Newspaper Column,Nominee,2002,Stephanie Rosenbaum,San Francisco Bay Guardian,"Good Dirt Hunting,; Winter Garden,; Gone Green"
Newspaper Restaurant Review or Critique,Nominee,2002,Christopher B. Sherman,St. Petersburg Times,NA
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2002,Carolyn Jung,San Jose Mercury News,"Visionary Berkeley Chef Led Revolution in Dining, Alice Waters has put California on the World's Culinary Map"
M.F.K. Fisher Distinguished Writing Award,Winner,2002,Alan Richman,GQ,A Mother's Knishes
Newspaper Restaurant Review or Critique,Nominee,2002,Michael Bauer,San Francisco Chronicle,NA
Magazine Feature without Recipes,Winner,2002,Maile Carpenter,San Francisco Magazine,Eating in Michael Bauer's Town
Newspaper Restaurant Review or Critique,Winner,2002,Pascale Le Draoulec,New York Daily News,NA
M.F.K. Fisher Distinguished Writing Award,Nominee,2002,Calvin Trillin,Gourmet,The Frying Game
Magazine Feature About Restaurants and/or Chefs,Nominee,2002,Alan Richman,GQ,"On a Clear Day, You Could See Forever"
"Newspaper Writing on Spirits, Wine & Beer",Winner,2002,Alice Feiring,The New York Times,"For Better or Worse, Winemakers Go High Tech"
Internet Column and Feature Writing,Winner,2002,Steven Shaw,www.fat-guy.com,A Week in the Gramercy Tavern Kitchen
Newspaper Series,Winner,2002,Kristin Eddy,Chicago Tribune,"A Taste for Adventure,; Following the Scent,; The Search for Cinnamon"
M.F.K. Fisher Distinguished Writing Award,Nominee,2002,Rick Bragg,Food & Wine,New Orleans Confidential
Newspaper Feature Writing with Recipes,Winner,2002,John Kessler,Atlanta Journal-Constitution,Upper Crust Cooking: The Art of Using a Gratin Dish
Magazine Column,Nominee,2002,Bryan Miller,ELLE,"Origin Obsessions,; The Exploding Palate,; The Big Cheese"
Magazine Feature with Recipes,Winner,2002,Bruce Feiler,Gourmet,A Kiss To Build a Dream On
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2002,Jerry Shriver,USA Today,A Reflection on New York's Windows
Magazine Series,Nominee,2002,Adam Rapoport,GQ,Food Fight
Magazine Series,Winner,2002,Kathleen Brennan,Saveur,"Celebrating Everyday Herbs: Memory,; Elegance,; Power"
Magazine Restaurant Review or Critique,Nominee,2002,Jonathan Gold,Gourmet,"Foam Follows Function,; Ticket to the World,; The Book of Daniel"
Magazine Column,Winner,2002,Jeffrey Steingarten,Vogue,"Salt Chic,; High Steaks,; Something to Crow About"
Magazine Restaurant Review or Critique,Nominee,2002,Mimi Sheraton,Food & Wine,Rating Zagat
Magazine Series,Nominee,2002,Patric Kuh,Gourmet,When I Was Green
Magazine Restaurant Review or Critique,Winner,2002,Alan Richman,GQ,"Toro! Toro! Toro!,; Pardon Us Bubba...,; Reflections on a Blood Sausage"
Magazine Feature with Recipes,Nominee,2002,James Oseland,Saveur,The Spice of Time
"Magazine Writing on Spirits, Wine & Beer",Winner,2002,Pete Wells,Food & Wine,Single-Minded
Magazine or Newspaper Writing on Nutrition or Consumer Food Issues,Nominee,2002,Steven Shaw,Commentary Magazine,Mad Cows & Englishmen
Internet Column and Feature Writing,Nominee,2002,Laura Stanley,WineSpectator.com,"Kitchen Crusader: Chef Michel Nischan's Recipe for Better Eating Calls for Fresher, Purer Ingredients and a Generous Measure of Political Activism"
Magazine Feature Writing without Recipes,Nominee,2001,Kathleen Brennan,Saveur,Chichan's Gift
Magazine Restaurant Review or Critique,Nominee,2001,Alan Richman,GQ,NA
Magazine Feature Writing without Recipes,Nominee,2001,Corby Kummer,Gourmet,The Trouble with Truffles
Magazine Feature About Restaurants and/or Chefs,Nominee,2001,Gael Greene,New York Magazine,Gold-Plate Special
Magazine Restaurant Review or Critique,Nominee,2001,Dennis Ray Wheaton,Chicago Magazine,NA
Magazine or Newspaper Series,Winner,2001,Laurie Ochoa,Gourmet,"The Next Family Farm,; Matchmaker, Matchmaker,; Cold Comfort Farm"
Magazine Column,Winner,2001,Corby Kummer,The Atlantic Monthly,"Ice Cream For Beginners,; A Better Egg,; Craftsman Cheese"
Internet Writing,Winner,2001,Corby Kummer,Atlantic Unbound,"Tuscany Reluctantly,; Bygone World of the Bialy,; Confessions of a Cookie Eater"
Magazine Restaurant Review or Critique,Winner,2001,Jonathan Gold,Gourmet,NA
Magazine Feature Writing without Recipes,Winner,2001,Adrian Bailey,Gourmet,The Indomitable Miss D.H.
Magazine Feature About Restaurants and/or Chefs,Winner,2001,Bruce Feiler,Gourmet,Pocketful of Dough
Magazine or Newspaper Series,Winner,2001,David Karp,Gourmet,"The Next Family Farm,; Matchmaker, Matchmaker,; Cold Comfort Farm"
"Magazine Writing on Spirits, Wine & Beer",Winner,2001,David Lynch,Wine & Spirits Magazine,Total Tequila
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2001,Douglas Hanks,The Washington Post,The Sherrill's Secret
Newspaper Feature Writing without Recipes,Winner,2001,Jeannette Batz,Riverfront Times,Fertile Imagination
Magazine or Newspaper Writing on Consumer Nutrition,Winner,2001,Judith Weinraub,The Washington Post,Endangered Species? Why the Cheese You Enjoy Today Could Be Gone Tomorrow
"Magazine Writing on Spirits, Wine & Beer",Nominee,2001,Tom Maresca,Wine & Spirits Magazine,Tuscany's Wild West
"Magazine Writing on Spirits, Wine & Beer",Nominee,2001,Gerry Dawes,The Underground Wine Journal,Domaine Weinbach and the Faller Femmes
Magazine Column,Nominee,2001,James Chatto,Toronto Life,"First Resort,; Darts and Laurels,; Hail, Susur"
Magazine or Newspaper Series,Nominee,2001,Bill St. John,Wine & Spirits Magazine,The Fearless Omnivore
Newspaper Restaurant Review or Critique,Nominee,2001,Joe Bonwich,"Riverfront Times, St. Louis",NA
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2001,Tom Sietsema,The Washington Post,Dinner Engagements: The Perils of Popping the Question in a Restaurant
Newspaper Feature Writing without Recipes,Nominee,2001,Lisa Gray,Houston Press,The Goode Son
Magazine Feature About Restaurants and/or Chefs,Nominee,2001,Lolis Eric Elie,Gourmet,The Soul of a New Cuisine
Newspaper Feature Writing with Recipes,Nominee,2001,Walter Nicholls,The Washington Post,The Gourmet Trail of Rappahannock
Newspaper Feature Writing with Recipes,Nominee,2001,Jeremy Iggers,"Star Tribune, Minneapolis",The Flavor of Cuba
Magazine Feature Writing with Recipes,Nominee,2001,Kate Sekules,Food & Wine,Jacques Pepin's Safari
Magazine Feature Writing with Recipes,Nominee,2001,Carolynn Carreno,Saveur,Looking for Guillermo
Internet Writing,Nominee,2001,Arthur R. Namendorf,New Jersey Online,"Green Gables Inn and Restaurant,; Barnacle Ben's Seafood Restaurant,; Top 10 for Holiday Dining 2000"
Internet Writing,Nominee,2001,Daniel McAlvanah,Citysearch.com,Esca: Batali on Broadway
Magazine or Newspaper Writing on Consumer Nutrition,Nominee,2001,Jane Snow,Akron Beacon Journal,"Big Food, Bigger Folks"
Magazine or Newspaper Writing on Consumer Nutrition,Nominee,2001,Kim Severson,San Francisco Chronicle,Pending Pasteurization Policy Could Alter Eggs Forever
Newspaper Column,Nominee,2001,Lydia Itoi,SV Magazine (San Jose Mercury News),"So Sweet, So Tender - Rabbit is Versatile, Tasty and In Demand,; Abstinence Makes the Heart Grow Fonder: I See the Virtue of Self Denial, but Practicing It Is Something Else Entirely,; Suddenly Hospitality - It's Never Too Late to Throw a Dinner Party."
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2001,Kim Severson,San Francisco Chronicle,Getting to Betsy
M.F.K. Fisher Distinguished Writing Award,Winner,2001,Shoba Narayan,Gourmet,The God of Small Feasts
M.F.K. Fisher Distinguished Writing Award,Nominee,2001,Alan Richman,GQ,Oldest Living Jewish Waiters Tell All
M.F.K. Fisher Distinguished Writing Award,Nominee,2001,Jhumpa Lahiri,Food & Wine,Indian Takeout
Newspaper Feature Writing without Recipes,Nominee,2001,Robb Walsh,Houston Press,The Art of Smoke
Magazine or Newspaper Series,Nominee,2001,Robb Walsh,Houston Press,"Combination Plates,; Mama's Got a Brand-new Bag,; The French Connection"
Magazine Feature Writing with Recipes,Winner,2001,Pat Conroy,Gourmet,An Oyster Roast ... Like Tasting Heaven
Newspaper Restaurant Review or Critique,Winner,2001,Dara A Moskowitz Grumdahl,"City Pages, Minneapolis",NA
Newspaper Column,Winner,2001,Robert Wolke,The Washington Post,"Food 101: Salt Talks,; Sea Salt Shakedown,; Salt, the Final Episode"
Newspaper Column,Nominee,2001,Michael Ruhlman,Los Angeles Times,"The Best Part of Fish: Skin,; Chill Out! Four Simple Steps to Perfect Soup,; Custard in a New Light"
Newspaper Feature Writing with Recipes,Winner,2001,Vincent Schiavelli,Los Angeles Times,Sicilian Summers
Magazine Column,Nominee,2001,Jeffrey Steingarten,Vogue Magazine,"Cheese Crisis,; Haute Anxiety,; Espresso Explained"
Magazine or Newspaper Series,Winner,2001,Warren Schultz,Gourmet,"The Next Family Farm,; Matchmaker, Matchmaker,; Cold Comfort Farm"
Newspaper Column,Nominee,2001,Thomas A. Keller,Los Angeles Times,"The Best Part of Fish: Skin,; Chill Out! Four Simple Steps to Perfect Soup,; Custard in a New Light"
Newspaper Restaurant Review or Critique,Nominee,2001,Michael Bauer,San Francisco Chronicle,NA
"Magazine Writing on Diet, Nutrition & Health",Nominee,2000,Ken McAlpine,Southwest Airlines Spirit,Covet Thy Neighbor's Chocolate
Magazine Restaurant Review or Critique,Winner,2000,Alan Richman,GQ,NA
Internet Writing,Nominee,2000,Lisa Chernick,food.epicurious.com,French Connection: Inside Scoop from the Author of the New Food Lover's Guide to Paris
Magazine Feature with Recipes,Winner,2000,James Villas,Gourmet,P.C. and Proud of It
Magazine Feature without Recipes,Nominee,2000,Michael Austin,North Shore Magazine,Charlie in Charge
"Newspaper Writing on Diet, Nutrition & Health",Winner,2000,Michael Apstein,The Boston Globe,To Your Health - Or Is It?
"Newspaper Writing on Spirits, Wine & Beer",Winner,2000,Michael Skube,Atlanta Journal-Constitution,"Experiments with Hops, a Welcome Development"
Magazine Feature without Recipes,Nominee,2000,Tim Warren,Smithsonian Magazine,True Grits
Magazine Restaurant Review or Critique,Nominee,2000,Maria Gallagher,Philadelphia Magazine,NA
Magazine Series,Winner,2000,Colman Andrews,Saveur,"The Fishmonger's Table,; The World of Cipriani,; Inside the Palazzo"
Magazine Feature About Restaurants and/or Chefs,Winner,2000,Mimi Sheraton,Vanity Fair,Seasons in the Sun
Magazine Restaurant Review or Critique,Nominee,2000,Jonathan Gold,Gourmet,NA
Newspaper Feature Writing without Recipes,Nominee,2000,Emily Green,Los Angeles Times,Cheshire's Last Stand
Newspaper Series,Nominee,2000,Beverly Bundy,Fort Worth Star-Telegram,The Century in Food
Newspaper Feature Writing with Recipes,Nominee,2000,Miriam Morgan,San Francisco Chronicle,"Sugar, Sugar"
Newspaper Series,Nominee,2000,David Shaw,The Los Angeles Times,Profile of Robert Parker - He Sips and Spits and the World Listens
Newspaper Feature Writing without Recipes,Nominee,2000,Kathleen Triesch,Seattle Times,Wasabi Tsunami
Magazine Feature About Restaurants and/or Chefs,Nominee,2000,Michael Ruhlman,Gourmet Magazine,Natural-Born Keller
"Magazine Writing on Diet, Nutrition & Health",Winner,2000,Perri Klass,Gourmet,The Lunch Box as a Battlefield
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2000,Douglas Hanks,The Washington Post,Eat Your Way to the Beach
Newspaper Restaurant Review or Critique,Nominee,2000,Michael Bauer,San Francisco Chronicle,NA
Newspaper Restaurant Review or Critique,Nominee,2000,Moira Hodgson,New York Observer,NA
Magazine Series,Nominee,2000,Karen MacNeil-Fife,Sunset Magazine,"A Word About Wine,; A Matter of Taste,; Now We're Cooking"
Newspaper Feature Writing without Recipes,Winner,2000,Robin Davis,San Francisco Chronicle,Sushi American Style
"Magazine Writing on Spirits, Wine & Beer",Nominee,2000,Marguerite Thomas,The Wine News,Treading Tradition
"Newspaper Writing on Spirits, Wine & Beer",Nominee,2000,Christina Waters,"Metro, Santa Cruz",Blood Red and Ready to Rock
Internet Writing,Winner,2000,Irene Sax,food.epicurious.com,Great Expectations
"Magazine Writing on Spirits, Wine & Beer",Winner,2000,Rod Smith,Wine & Spirits,Purple Gold Rush
Magazine Feature with Recipes,Nominee,2000,Cal Fussman,Esquire,Smokin'
"Magazine Writing on Spirits, Wine & Beer",Nominee,2000,Gerald Asher,Gourmet,Wine Journal: Albarino
Magazine Feature About Restaurants and/or Chefs,Nominee,2000,Alan Richman,GQ,Too Much Is Never Enough
M.F.K. Fisher Distinguished Writing Award,Nominee,2000,A. Manette Ansay,Gourmet,"The Last Word: And He Cooks, Too"
M.F.K. Fisher Distinguished Writing Award,Nominee,2000,Colman Andrews,Saveur,A Magical City to Devour
M.F.K. Fisher Distinguished Writing Award,Winner,2000,Greg Atkinson,Food Arts,Diary of a Stagiaire
"Newspaper Writing on Diet, Nutrition & Health",Nominee,2000,Kim Severson,San Francisco Chronicle,They're Off to College Now...Choosing What and How Much to Eat Becomes a Freshman Survival Skill
"Newspaper Writing on Spirits, Wine & Beer",Nominee,2000,Chris Christensen,The Oregonian FOODday,A Winner by the Nose
Newspaper Feature Writing About Restaurants and/or Chefs,Winner,2000,Kim Severson,San Francisco Chronicle,The Rise and Fall of a Star: How the King of California Cuisine Lost an Empire
Internet Writing,Nominee,2000,Cara De Silva,starchefs.com,Cara De Silva's A Fork in the Road Letters on Traveling and Dining
Newspaper Feature Writing with Recipes,Nominee,2000,Stephanie Rosenbaum,San Francisco Bay Guardian,Fried in the Name of Love
Newspaper Feature Writing About Restaurants and/or Chefs,Nominee,2000,John Kessler,Atlanta Journal-Constitution,The Image Game: Fine Dining Finds Place at Bellagio Tables
Newspaper Restaurant Review or Critique,Winner,2000,Craig LeBan,The Philadelphia Inquirer,NA
"Magazine Writing on Diet, Nutrition & Health",Nominee,2000,Mary Ann Howkins,Glamour,Is There a Killer In Your Kitchen?
"Newspaper Writing on Diet, Nutrition & Health",Nominee,2000,Janet Fletcher,San Francisco Chronicle,Allergic to Your Dinner? Food Sensitivities Can Make Dining Out a Nightmare
Magazine Feature with Recipes,Nominee,2000,Bill Bryson,Bon Appetit,Strolling Hampstead
Magazine Feature without Recipes,Winner,2000,Lisa Armand,Boston Magazine,My Dinners with Alan
Magazine Series,Nominee,2000,Gerald Asher,Gourmet,"Thirst for Knowledge,; Neighborhood Haunts,; Serendipity"
Newspaper Series,Winner,2000,Marlene Parrish,Pittsburgh Post-Gazette,"Are You Game,; Fowl Play,; Bison is at Home on Many an Adventuresome Restaurant Table"
Newspaper Feature Writing with Recipes,Winner,2000,Cathy Barber,Dallas Morning News,The Real Parmigiano Reggiano
Newspaper Feature Writing without Recipes,Winner,1999,David Karp,Los Angeles Times,Asian Pears
"Newspaper Writing on Diet, Nutrition & Health",Winner,1999,Cheri Swoboda,The Oregonian,Fill Up on Calcium
Magazine Restaurant Review or Critique,Winner,1999,Arthur Lubow,Departures,NA
News Reporting,Winner,1999,Andy Badeker,Chicago Tribune,Gone Fishing
Magazine Feature Writing without Recipes,Winner,1999,Michael Ruhlman,Food Arts,An Alphabet Test of Nerves
Newspaper Series,Nominee,1999,Pascale Le Draoulec,Gannett Newspapers,In Search of: American Pie
Magazine Restaurant Review or Critique,Nominee,1999,Corby Kummer,Departures,NA
"Magazine Writing on Spirits, Wine & Beer",Nominee,1999,Colman Andrews,Saveur,Whiskey Island
"Magazine Writing on Diet, Nutrition & Health",Nominee,1999,Corby Kummer,The Atlantic Monthly,Better Butter
"Magazine Writing on Spirits, Wine & Beer",Nominee,1999,Alan Richman,GQ,The Bordeaux Room
News Reporting,Nominee,1999,Miriam Morgan,San Francisco Chronicle,"State's Raw Food Law Half-Baked, Chefs Say"
"Magazine Writing on Diet, Nutrition & Health",Nominee,1999,Heather Millar,Southwest Airlines Spirit,Why Get Old
"Newspaper Writing on Diet, Nutrition & Health",Nominee,1999,Greg Critser,L.A. Weekly,The Fat Man Sings: A Journal of Obesity in America
"Newspaper Writing on Diet, Nutrition & Health",Nominee,1999,Barbara Hansen,Los Angeles Times,A Prescription For Dinner
Magazine Feature Writing with Recipes,Nominee,1999,Leah R Eskin,Saveur,State Fair
Magazine Feature Writing with Recipes,Nominee,1999,Connie McCabe,Saveur,KC BBQ Smoke and Succulence in Kansas City
Newspaper Feature Writing with Recipes,Nominee,1999,Patricia Talorico,"The News Journal, Wilmington, DE",Feast of Burden
Newspaper Feature Writing with Recipes,Nominee,1999,Amanda Hesser,The New York Times,A Cod's Swift Journey from Sea to Plate
Magazine Feature Writing without Recipes,Nominee,1999,Roy Blount Jr.,US Airways Attache,Meat and Three
Newspaper Feature Writing without Recipes,Nominee,1999,Martin Tiersky,"Buon Gusto, St. Paul, MN",A Day in the Kitchen at Charlie Trotter's
Newspaper Feature Writing without Recipes,Nominee,1999,Ellen Sweets,The Dallas Morning News,Making Menus Work
News Reporting,Nominee,1999,Cheri Swoboda,The Oregonian,School Lunch Crunch
News Reporting,Nominee,1999,Teresa Moore,San Francisco Chronicle,"State's Raw Food Law Half-Baked, Chefs Say"
Magazine Restaurant Review or Critique,Nominee,1999,Jeanne Rattenbury,Chicago Magazine,NA
Magazine Restaurant Review or Critique,Nominee,1999,Jill Rohde,Chicago Magazine,NA
Newspaper Restaurant Review or Critique,Nominee,1999,Mat Schaffer,Boston Herald,NA
Newspaper Restaurant Review or Critique,Nominee,1999,Meredith Brody,New Times Los Angeles,NA
M.F.K. Fisher Distinguished Writing Award,Nominee,1999,Thomas McNamee,Saveur,The Hangout
Magazine Series,Nominee,1999,Molly Culbertson,Coastal Living,"Shrimp,; Crab,; Clam"
Magazine Series,Nominee,1999,Karen MacNeil,Coastal Living,"Shrimp,; Crab,; Clam"
Newspaper Series,Winner,1999,Andy Badeker,Chicago Tribune,"American Originals: A Piece of Heaven,; Chicken Fried State,; The One True Cue"
Newspaper Series,Winner,1999,Andrew Solomon,Chicago Tribune,"American Originals: A Piece of Heaven,; Chicken Fried State,; The One True Cue"
Newspaper Feature Writing with Recipes,Winner,1999,Marian Burros,The New York Times,Peektoe Crab: A Star Is Born
"Magazine Writing on Diet, Nutrition & Health",Winner,1999,Jeffrey Steingarten,Vogue,Addicted to Losing
Newspaper Series,Nominee,1999,Amanda Hesser,The New York Times,"From the French Marshes, A Salty Treasure,; Now Boarding: The Turbot, A True Fish Out of Water,; The French Resist Again: This Time Over Cheese"
"Newspaper Writing on Spirits, Wine & Beer",Nominee,1999,William Grimes,The New York Times,"Oh, For Just Plain Gin and Dry Vermouth"
"Newspaper Writing on Diet, Nutrition & Health",Winner,1999,Merle Alexander,The Oregonian,Fill Up on Calcium
Magazine Series,Winner,1999,Jane Stern,Gourmet,Two for the Road
Newspaper Restaurant Review or Critique,Winner,1999,Jonathan Gold,L.A. Weekly,NA
Magazine Feature Writing with Recipes,Winner,1999,Colman Andrews,Saveur,Burgundy: The Glory of French Food
Magazine Restaurant Review or Critique,Nominee,1999,Anne Spiselman,Chicago Magazine,NA
News Reporting,Nominee,1999,Katherine Miller,The Oregonian,School Lunch Crunch
M.F.K. Fisher Distinguished Writing Award,Nominee,1999,Colman Andrews,Saveur,The Roots of California Cuisine
M.F.K. Fisher Distinguished Writing Award,Winner,1999,Corby Kummer,The New York Times Magazine,Carried Away
"Newspaper Writing on Spirits, Wine & Beer",Nominee,1999,Charles Perry,Los Angeles Times,A Shot of America
Magazine Series,Winner,1999,Michael Stern,Gourmet,Two for the Road
Magazine Feature Writing without Recipes,Nominee,1999,Kathleen Brennan,Gourmet,Behind the Scenes at Restaurant Daniel
Magazine Series,Nominee,1999,Elizabeth Schneider,Food Arts,"Cultivated Mushrooms: The Dependables,; The Exotics,; Sniffing Out Fresh Truffles"
"Magazine Writing on Spirits, Wine & Beer",Winner,1999,William A. Marsano,Hemispheres,Great Scotch
Magazine Restaurant Review or Critique,Nominee,1999,Dennis Ray Wheaton,Chicago Magazine,NA
Newspaper Series,Winner,1999,Kristin Eddy,Chicago Tribune,"American Originals: A Piece of Heaven,; Chicken Fried State,; The One True Cue"
Food Reporting|Food Reporting,Nominee,1999,Emma Beals,Munchies|Munchies,3 Part Series on Syrian Wheat As a Weapon of War series|3 Part Series on Syrian Wheat As a Weapon of War series
"Newspaper Writing on Spirits, Wine & Beer",Winner,1999,Janet Fletcher,San Francisco Chronicle,Sending Back the Bottle
"Magazine Writing on Diet, Nutrition & Health",Nominee,1998,Michelle Stacey,Parenting,Children of the Diet Culture
"Newspaper Writing on Diet, Nutrition & Health",Nominee,1998,Margaret Sheridan,Los Angeles Times,Making Sense of the Diet Circus
Magazine Feature Writing with Recipes,Nominee,1998,Bill Bryson,Bon Appetit,The Accountant in the Cowboy Hat and Other Nashville Intrigues
Magazine Feature Writing with Recipes,Nominee,1998,Margo True,Gourmet,Cooking Lessons at a Grand Hotel: Learning from Legends in Venetian Luxury
Newspaper Feature Writing with Recipes,Winner,1998,Stephanie Witt Sedgwick,The Washington Post,"How Low Can You Go? Cut the Butter? Cut the Sugar? Cut the Eggs? After Baking 23 Cakes, Here's What We Found"
Newspaper Feature Writing with Recipes,Nominee,1998,William Grimes,The New York Times,Is America Ready for Bunny Ragout?
Magazine Feature Writing without Recipes,Nominee,1998,Jay Jacobs,Gourmet,"Normandy: A Lush Land of Castles, Cows, and Battlefields"
Magazine Feature Writing without Recipes,Nominee,1998,Karen MacNeil,Travel Holiday,The Other American Pie
News Reporting,Nominee,1998,Schuyler Ingle,Los Angeles Times,Fishing for a Perfect Peach
News Reporting,Nominee,1998,Jennifer Waters,Crain's Chicago Business,McD's Race for Life in the Faster Food Lane: High-Tech Kitchens May Heat Up Sales
Newspaper Restaurant Review or Critique,Nominee,1998,Meredith Brody,New Times Los Angeles,NA
Newspaper Restaurant Review or Critique,Nominee,1998,Roger Porter,Willamette Week,NA
Newspaper Restaurant Review or Critique,Nominee,1998,Sherry Irene Virbila,Los Angeles Times,NA
Magazine Series,Nominee,1998,Jim Henderson,Bon Appetit,Emeril's New Orleans
Newspaper Series,Nominee,1998,Jim Auchmutey,Atlanta Journal-Constitution,"Sweet Vidalia,; Cooking Up a Shared Past,; Hanging with Ham"
Newspaper Series,Nominee,1998,Laurie Ochoa,Los Angeles Times,"America's Cheesemongers,; Wish They All Could Be East Coast Grills,; Survival of a Last-Chance Peach"
"Magazine Writing on Spirits, Wine & Beer",Nominee,1998,David Schildknecht,Wine & Spirits,A Cellar of German Riesling
"Newspaper Writing on Spirits, Wine & Beer",Nominee,1998,R.W. Apple,The New York Times,"For Wine Lovers, a Distant Paradise"
"Newspaper Writing on Spirits, Wine & Beer",Nominee,1998,Christina Waters,Metro Santa Cruz,Primal Spirits
M.F.K. Fisher Distinguished Writing Award,Nominee,1998,Thomas McNamee,Saveur,Bites of Passage
Newspaper Feature Writing without Recipes,Nominee,1998,Kristin Eddy,Chicago Tribune,It Reigns: Bow Down Before a Timeless Mineral that's Essential in the Kitchen
"Magazine Writing on Spirits, Wine & Beer",Nominee,1998,Michael Jackson,Wine & Spirits,"Water, Weather and Wood: Three Elements of Style in Single Malt Scotch"
Magazine Restaurant Review or Critique,Nominee,1998,Caroline Bates,Gourmet,NA
M.F.K. Fisher Distinguished Writing Award,Nominee,1998,John F. Mariani,Diversion,Pulp Fiction
Magazine Restaurant Review or Critique,Nominee,1998,Jeffrey Steingarten,Vogue,NA
Newspaper Feature Writing without Recipes,Nominee,1998,Miriam Morgan,San Francisco Chronicle,Private Label Products: Are They the Guccis of the Food World or Generic Brands in Disguise?
Newspaper Feature Writing with Recipes,Nominee,1998,Russ Parsons,Los Angeles Times,Fear of Pie-Ing
Magazine Series,Nominee,1998,Jane Stern,Gourmet,Two For The Road
"Newspaper Writing on Diet, Nutrition & Health",Winner,1998,Suzanne Martinson,Pittsburgh Post-Gazette,"Picky, Picky!"
M.F.K. Fisher Distinguished Writing Award,Winner,1998,Colman Andrews,Saveur,Cheese Toast
"Magazine Writing on Diet, Nutrition & Health",Winner,1998,Paula Kurtzweil,FDA Consumer,Today's Special: Nutrition Information
"Newspaper Writing on Spirits, Wine & Beer",Winner,1998,Judith Weinraub,The Washington Post,It's Hot Out There!
"Magazine Writing on Spirits, Wine & Beer",Winner,1998,Gerald Asher,Gourmet,Wine Journal: The French Do It Differently
Magazine Series,Winner,1998,Catharine Reynolds,Gourmet,Paris Journal
Newspaper Series,Winner,1998,Carole Sugarman,The Washington Post,"The Road to Food Safety? How the Government's New Rules Will (and Won't) Protect Your Dinner,; An End to Food Scares? Reconsidering Irradiation, with All Its Pros and Cons,; Food Scares: Just a Hot Topic or Are They on the Rise?"
Newspaper Feature Writing with Recipes,Winner,1998,Carole Sugarman,The Washington Post,"How Low Can you Go? Cut the Butter? Cut the Sugar? Cut the Eggs? After Baking 23 Cakes, Here's What We Found"
Newspaper Feature Writing without Recipes,Winner,1998,Russ Parsons,Los Angeles Times,Our Strawberry Roots
Magazine Restaurant Review or Critique,Nominee,1998,John F. Mariani,Diversion,NA
News Reporting,Winner,1998,Jane Snow,Akron Beacon Journal,Raspberry Shipments from Guatemala Halted
Magazine Restaurant Review or Critique,Winner,1998,Alan Richman,GQ,NA
Magazine Feature Writing without Recipes,Winner,1998,Molly O'Neill,San Francisco Magazine,Chuck
Magazine Feature Writing with Recipes,Winner,1998,Dorothy Kalins,Saveur,Kaiseki Modern: The Art of the Meal
Newspaper Restaurant Review or Critique,Winner,1998,Ruth Reichl,The New York Times,NA
