year,title,series,anthology,format,number,novelization,setting,stardate_start,stardate_end,detailed_date,section,primary_entry_year,footnote
2373,Displaced,VOY,NA,episode,NA,FALSE,primary,50912.4,NA,NA,NA,NA,NA
2373,Blaze of Glory,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2373,House of Cards,NF,NA,book,1,FALSE,primary,NA,NA,NA,"""Now...""; 2353-[""Twenty years earlier: M'k'n'zy""]; 2363-[""Ten years earlier: Soleta""]; 2371-[""Two years earlier: Selar""]",NA,NA
2373,Into the Void,NF,NA,book,2,FALSE,primary,50923.1,NA,NA,NA,NA,NA
2373,The Two-Front War,NF,NA,book,3,FALSE,primary,50926.1,NA,NA,NA,NA,NA
2373,End Game,NF,NA,book,4,FALSE,primary,50927.2,NA,NA,NA,NA,NA
2373,Worst Case Scenario,VOY,NA,episode,NA,FALSE,primary,50953.4,NA,NA,NA,NA,NA
2373,Empok Nor,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2373,Scorpion,VOY,NA,episode,NA,FALSE,primary,50984.3,NA,NA,NA,NA,NA
2373,In the Cards,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2373,Change of Heart,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2373,The Dominion War 2: Call to Arms,DS9,NA,book,NA,TRUE,primary,51145.3,NA,NA,NA,NA,375
2373,What Dreams May Come,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,376
2373,Vulcan's Soul 1: Exodus,ST,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 11 Section 2,2377,NA
2373,The Dominion War 1: Behind Enemy Lines,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,377
2374,Scorpion Part 2,VOY,NA,episode,NA,FALSE,primary,51003.7,NA,NA,NA,NA,NA
2374,The Dominion War 3: Tunnel Through the Stars,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,378
2374,The Dominion War 4: Sacrifice of Angels,DS9,NA,book,NA,TRUE,primary,51173.2,NA,NA,NA,NA,379
2374,This Drone,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,380
2374,The Gift,VOY,NA,episode,NA,FALSE,primary,51008,NA,NA,NA,NA,NA
2374,The Healing Arts,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Witness,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,381
2374,Day of Honor,VOY,NA,book,NA,TRUE,primary,NA,NA,NA,"""Now""; 2353-[""Then: Nineteen years ago""]; 2373-[""Then: One year ago""]",NA,382
2374,Nemesis,VOY,NA,episode,NA,FALSE,primary,51082.4,NA,NA,NA,NA,NA
2374,Night of the Vulture,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,383
2374,Three Sides to Every Story,DS9,PAC,story,NA,FALSE,primary,NA,NA,NA,NA,NA,384
2374,Revulsion,VOY,NA,episode,NA,FALSE,primary,51186.2,NA,NA,NA,NA,NA
2374,The Raven,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Scientific Method,VOY,NA,episode,NA,FALSE,primary,51244.3,NA,NA,NA,NA,NA
2374,The Captain's Table 4: Fire Ship,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,Ch 2-24,NA,NA
2374,The First,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Reciprocity,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,"Section 2-3, 5-7, 9; circa 4 Billion BC-[ Section 1, 4, 8, 10]",NA,385
2374,Year of Hell,VOY,NA,episode,NA,FALSE,primary,51268.4,NA,NA,NA,NA,NA
2374,War Stories,SCE,NA,book,22,FALSE,secondary,51246.9,NA,NA,USS Lexington,2376,NA
2374,You Are Cordially Invited,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,The Dominion: Olympus Descending,NA,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 2, 4, 6",2376,386
2374,Year of Hell Part 2,VOY,NA,episode,NA,FALSE,primary,51425.4,NA,NA,NA,NA,NA
2374,Planet X,NA,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,387
2374,Resurrection,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Random Thoughts,VOY,NA,episode,NA,FALSE,primary,51367.2,NA,NA,NA,NA,NA
2374,Statistical Probabilities,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Concerning Flight,VOY,NA,episode,NA,FALSE,primary,51386.4,NA,NA,NA,NA,NA
2374,Mortal Coil,VOY,NA,episode,NA,FALSE,primary,51449.2,NA,NA,NA,NA,NA
2374,The Magnificent Ferengi,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Bedside Matters,TNG,NA,story,NA,FALSE,primary,51401.6,NA,NA,NA,NA,388
2374,Waltz,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Martyr,NF,NA,book,5,FALSE,primary,NA,NA,NA,"""Now...""; 1874-[""Five hundred years earlier...""]; 2354-[""Nineteen years earlier...""]",NA,NA
2374,Waking Moments,VOY,NA,episode,NA,FALSE,primary,51471.3,NA,NA,NA,NA,NA
2374,Who Cries for Prometheus?,VOY,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Message in a Bottle,VOY,NA,episode,NA,FALSE,primary,51462,NA,NA,NA,NA,NA
2374,Uninvited Admirals,VOY,SNW,story,NA,FALSE,secondary,NA,NA,NA,fifth flashback,2376,NA
2374,Letting Go,VOY,DS,story,NA,FALSE,primary,NA,NA,NA,Section 12-13; 2372-[ Section 1]; 2372-[ Section 2]; late 2372-[ Section 3-5]; early 2373-[ Section 6]; 2373-[ Section 7-10]; late 2373-[ Section 11],NA,NA
2374,The Ones Left Behind,VOY,SNW,story,NA,FALSE,secondary,NA,NA,June,"fourth, fifth entries",2371,389
2374,Who Mourns for Morn?,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Final Entry,VOY,SNW,story,NA,FALSE,secondary,NA,NA,June 6,nineteenth entry,2353,390
2374,Far Beyond the Stars,DS9,NA,book,NA,TRUE,primary,NA,NA,NA,"Ch 1-4, 6-7, 20, 22, 38-39; July 1940-[Ch 10, 13, 16-17, 24, 26, 32-35]; October 1953-[Ch 5, 8-9, 11-12, 14-15, 18-19, 21, 23, 27-29, 31, 36-37]; nonlinear time-[Ch 25, 30]",NA,NA
2374,The Ones Left Behind,VOY,SNW,story,NA,FALSE,secondary,NA,NA,July,"sixth, seventh entries ""Hunters""-Stardate 51501.4",2371,391
2374,The Soft Room,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Immortal Coil,TNG,NA,book,NA,FALSE,primary,51505.9,NA,NA,"Ch 1-18, 20-28, Epilogue; 2261-[Ch 19]; 2304-[Seventy Years Ago, Parts One-Three]",NA,NA
2374,One Little Ship,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Fire on High,NF,NA,book,6,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,The Q Continuum: Q-Space,TNG,NA,book,47,FALSE,primary,51604.2,NA,NA,5 billion years ago-[Ch 11]; 2.5 billion years ago-[Ch 13],NA,392
2374,The Q Continuum: Q-Zone,TNG,NA,book,48,FALSE,primary,NA,NA,NA,1 million years ago-[Ch 2],NA,NA
2374,The Q Continuum: Q-Strike,TNG,NA,book,49,FALSE,primary,NA,NA,NA,NA,NA,393
2374,Prey,VOY,NA,episode,NA,FALSE,primary,51652.3,NA,NA,NA,NA,NA
2374,Honor among Thieves,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,The Captain's Table 3: The Mist,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,"Ch 1, 21; 2373-[Ch 2-20]",NA,NA
2374,The Captain's Table 4: Fire Ship,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,"Ch 1, 25; 2374-[Ch 2-24]",NA,NA
2374,The Captain's Table 5: Once Burned,NF,NA,book,NA,FALSE,primary,NA,NA,NA,"""Second Encounter"", ""The End"" Section 1; 2348-[""First Encounter""]; 2369-[""The Interview"" to ""The Hearing""]",NA,NA
2374,Retrospect,VOY,NA,episode,NA,FALSE,primary,51679.4,NA,NA,NA,NA,NA
2374,Change of Heart,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Double Time,NF,NA,book,NA,FALSE,primary,NA,NA,NA,"""Now...""; 2353-[M'k'n'zy flashback]; 2362-[Shelby and Calhoun flashback]",NA,394
2374,The Gorn Crisis,TNG,NA,book,NA,FALSE,primary,51701.3,NA,NA,NA,NA,NA
2374,The Killing Game,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,The Killing Game Part 2,VOY,NA,episode,NA,FALSE,primary,51715.2,NA,NA,NA,NA,NA
2374,10 is Better Than 01,SCE,NA,book,65,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Wrongs Darker Than Death or Night,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Inquisition,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Spectre,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,395
2374,Darkvictory,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,Part One; 2375-[Part Two],NA,396
2374,Vis à Vis,VOY,NA,episode,NA,FALSE,primary,51762.4,NA,NA,NA,NA,NA
2374,The Ceremony of Innocence is Drowned,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,In the Pale Moonlight,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Blood Sacrifice,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,397
2374,The End of Night,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,Section 2-7; 2370-[first and last sections],NA,NA
2374,The Omega Directive,VOY,NA,episode,NA,FALSE,primary,51871.2,NA,NA,NA,NA,NA
2374,Hollow Men,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,His Way,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Unforgettable,VOY,NA,episode,NA,FALSE,primary,51813.4,NA,NA,NA,NA,NA
2374,The Reckoning,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Seventh Heaven,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,398
2374,Living Witness,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,399
2374,Valiant,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Demon,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Profit and Lace,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,The Devil You Know,DS9,PAC,story,NA,FALSE,primary,NA,NA,NA,NA,NA,400
2374,One,VOY,NA,episode,NA,FALSE,primary,51929.3,51932.4,NA,NA,NA,NA
2374,Concurrence,ST,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Pathways,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,"Ch 1, 3, 5, 7, 9, 11, 13, 15; 2344 to 2370-[Chakotay's story: Ch 2]; 2350 to 2371-[Kim's story: Ch 4]; 2352 to 2371-[Torres' story: Ch 6]; 2361 to 2371-[Paris' story: Ch 8]; 2352 to 2370-[Neelix's story: Ch 10]; 2370 to 2371-[Kes' story: Ch 12]; 2284 to 2366-[Tuvok's story: Ch 14]",NA,401
2374,Time's Orphan,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Hope and Fear,VOY,NA,episode,NA,FALSE,primary,51978.2,51981.6,NA,NA,NA,NA
2374,String Theory Book 1: Cohesion,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Dorian's Diary,DS9,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,402
2374,The Sound of Her Voice,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Millennium Book 1: The Fall of Terok Nor,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,Ch 2-28; nonlinear time-[Prologue]; 2369-[Ch 1]; 2400-[Ch 29],NA,NA
2374,Millennium Book 2: The War of the Prophets,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,"nonlinear time-[Prologue]; 2400-[Ch 1-29]; Limbo-[t=, Epilogue]",NA,NA
2374,Millennium Book 3: Inferno,DS9,NA,book,NA,FALSE,primary,51884.2,NA,NA,"Ch 10 Section 1, 11, 12 Section 2, 16 Section 1, 19 Section 1, 20 Section 2, 21 Section 2, 22 Section 2, 23 Section 2, 24 Section 2, 26 Section 2, 4, 27-29; nonlinear time-[Prologue, 26 Section 5]; Limbo-[Ch 1-8, 9 Section 1, 13 Section 1, 14 Section 1, 16 Section 2, 17 Section 2, 18 Section 2-3, 20 Section 1, 21 Section 3, 22 Section 3, 23 Section 3, 24 Section 3, 26 Section 3]; 2369-[Ch 9 Section 2, 10 Section 2, 12 Section 1, 13 Section 2, 14 Section 2, 15, 17 Section 1, 18 Section 1, 19 Section 2, 21 Section 1, 22 Section 1, 23 Section 1, 24 Section 1, 25, 26 Section 1]; 2377-[Epilogue]",NA,403
2374,String Theory Book 2: Fusion,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,Tears of the Prophets,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,A Stitch in Time,DS9,NA,book,27,FALSE,secondary,NA,NA,NA,"Part One: Ch 5, 9, 11, 14, 17, 20",2376,404
2374,Triangle: Imzadi 2,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Now...,2371,NA
2374,Ninety-Three Hours,DS9,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,405
2374,Second Star to the Right...,NA,TLOD,book,NA,FALSE,secondary,NA,NA,NA,"Section 1, 6",2375,NA
2374,Orphans,ST,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2374,War Stories,SCE,NA,book,22,FALSE,secondary,51993.8,NA,NA,USS Da Vinci,2376,NA
2374,String Theory Book 3: Evolution,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Mirror Eyes,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,The Battle of Betazed,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,2358-[Ch 3 ( Section 3-4)],NA,406
2375,Twilight's Wrath,ST,TODW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Spirit Walk 1: Old Wounds,VOY,NA,book,NA,FALSE,secondary,NA,NA,NA,Prologue,2378,NA
2375,Foundlings,DS9,PAC,story,NA,FALSE,primary,NA,NA,NA,NA,NA,407
2375,Image in the Sand,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Shadows and Symbols,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Afterimage,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,A Stitch in Time,DS9,NA,book,27,FALSE,secondary,NA,NA,NA,"Part Two: Ch 1, 3, 7 ""Night""-Stardate 52081.2",2376,408
2375,Closure,VOY,DS,story,16,FALSE,primary,NA,NA,NA,2369-[Prologue],NA,409
2375,Chiaroscuro,DS9,PAC,story,NA,FALSE,primary,NA,NA,NA,NA,NA,410
2375,Take Me Out to the Holosuite,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Drone,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Chrysalis,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Extreme Risk,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Death of a Neutronstar,VOY,NA,book,17,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,"Treachery, Faith, and the Great River",DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,In the Flesh,VOY,NA,episode,NA,FALSE,primary,52136.4,NA,NA,NA,NA,NA
2375,Once More Unto the Breach,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Unconventional Cures,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Once Upon a Time,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Battle Lines,VOY,NA,book,18,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,The Siege at AR-558,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Requital,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,"Section 1, 3",NA,411
2375,Timeless,VOY,NA,episode,NA,FALSE,primary,52143.6,NA,NA,NA,NA,NA
2375,Covenant,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Planet Killer,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Star Trek: Insurrection,TNG,NA,book,NA,TRUE,primary,NA,NA,NA,NA,NA,412
2375,Infinite Regress,VOY,NA,episode,NA,FALSE,primary,52356.2,NA,NA,NA,NA,NA
2375,It's Only a Paper Moon,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Nothing Human,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Prodigal Daughter,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Thirty Days,VOY,NA,episode,NA,FALSE,primary,52179.4,NA,NA,NA,NA,NA
2375,The Emperor's New Cloak,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Counterpoint,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Echoes of Coventry,SCE,NA,book,63,FALSE,secondary,NA,NA,NA,Ch 2-10,2377,413
2375,Field of Fire,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Dark Victory,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Part Two,2374,NA
2375,Preserver,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,"Prologue, Ch 1-4; two weeks later-[Ch 5-11]; six weeks later-[Ch 12-18]; about seven weeks later-[Ch 19-37]; about nine weeks later-[Ch 38, Epilogue]; 2063-[Ch 39]; 2400-[""The Ashes of Eden""]",NA,414
2375,Latent Image,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Chimera,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Bride of Chaotica!,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,The Monster Hunters,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,415
2375,The Best Defense,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,416
2375,The Secret Heart of Zolaluz,VOY,DS,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,"Badda-Bing, Badda-Bang",DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Preserver,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,Ch 5-11,NA,NA
2375,Gravity,VOY,NA,episode,NA,FALSE,primary,52438.9,NA,NA,NA,NA,NA
2375,Inter Arma Enim Silent Leges,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Bliss,VOY,NA,episode,NA,FALSE,primary,52542.3,NA,NA,NA,NA,NA
2375,Gift of the Mourners,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Penumbra,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Isabo's Shirt,VOY,DS,book,NA,FALSE,primary,NA,NA,NA,NA,NA,417
2375,Dark Frontier,VOY,NA,episode,NA,FALSE,primary,52619.2,NA,NA,NA,NA,NA
2375,When Push Comes to Shove,VOY,NA,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,'Til Death Do Us Part,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Forgiveness,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,The Disease,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Strange Bedfellows,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,A Stitch in Time,DS9,NA,book,27,FALSE,secondary,NA,NA,NA,"Part Two: Ch 11, 15",2376,418
2375,Course: Oblivion,VOY,NA,episode,NA,FALSE,primary,52586.3,NA,NA,NA,NA,NA
2375,Eleven Hours Out,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Home Soil,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Safe Harbors,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,The Changing Face of Evil,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Solace in Bloom,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,"Section 2, 4, 6-7; 2319-[ Section 1]; 2321-[ Section 3]; 2330-[ Section 5]",NA,NA
2375,Field Expediency,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Wildfire Book 2,SCE,NA,book,24,FALSE,secondary,NA,NA,NA,Ch 8 Section 10,2376,NA
2375,The Fight,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,The Quiet Place,NF,NA,book,7,FALSE,secondary,NA,NA,NA,Six months earlier...,2376,NA
2375,When It Rains...,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,A Stitch in Time,DS9,NA,book,27,FALSE,secondary,NA,NA,NA,Part Two: Ch 19,2376,419
2375,The Future Begins,SCE,NA,book,62,FALSE,secondary,NA,NA,NA,Situational Engineering,2376,NA
2375,Think Tank,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Preserver,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,Ch 12-18,NA,NA
2375,A Song Well Sung,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Tacking into the Wind,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,War Stories,SCE,NA,book,22,FALSE,secondary,52601.6,NA,NA,Starbase 92,2376,420
2375,The Human Factor,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,final section; 2328-[Ian Troi section]; 2355-[Jack Crusher section],NA,NA
2375,An Errant Breeze,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,421
2375,Juggernaut,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Extreme Measures,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Someone to Watch over Me,VOY,NA,episode,NA,FALSE,primary,52647,NA,NA,NA,NA,NA
2375,Preserver,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,Ch 19-37,NA,NA
2375,The Dogs of War,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,War Stories,SCE,NA,book,22,FALSE,secondary,52646.1,NA,NA,USS Sentinel,2376,NA
2375,Face Value,DS9,PAC,story,NA,FALSE,primary,NA,NA,NA,NA,NA,422
2375,11:59,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Stone Cold Truths,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,"Section 2; 2525-[ Section 1, 3]",NA,423
2375,Requital,ST,TODW,story,NA,FALSE,primary,NA,NA,NA,"February 2375-[ Section 1, 3]",NA,424
2375,What You Leave Behind,DS9,NA,book,NA,TRUE,primary,NA,NA,NA,Ch 1-10; November 2375-[Ch 11-15],NA,NA
2375,Final Entry,VOY,SNW,story,NA,FALSE,secondary,NA,NA,October 23,eighteenth entry,2353,425
2375,Preserver,TNG,NA,book,NA,FALSE,primary,NA,NA,NA,"Ch 38, Epilogue",NA,426
2375,Relativity,VOY,NA,episode,NA,FALSE,primary,52861.574,NA,NA,NA,NA,NA
2375,What You Leave Behind,DS9,NA,book,NA,TRUE,primary,NA,NA,NA,Ch 11-15,NA,427
2375,Double Helix 5: Double Or Nothing,TNG,NA,book,55,FALSE,primary,NA,NA,NA,"late 2369-[""Seven Years Earlier""]",NA,NA
2375,The Left Hand of Destiny,DS9,NA,book,NA,FALSE,primary,NA,NA,NA,2376-[Epilogue],NA,NA
2375,Second Star to the Right...,NA,TLOD,book,NA,FALSE,primary,NA,NA,NA,"Section 2-5; 2374-[ Section 1, 6]",NA,NA
2375,... And Straight on 'til Morning,NA,TLOD,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Equinox,VOY,NA,book,NA,TRUE,primary,NA,NA,NA,Prologue,NA,NA
2375,Fear Itself,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Warhead,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,"I, Q",TNG,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,428
2375,Section 31: Shadow,VOY,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Barclay Program Nine,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2375,Gemworld,TNG,NA,book,59,FALSE,primary,NA,NA,NA,NA,NA,429
2375,Equinox,VOY,NA,book,NA,TRUE,primary,NA,NA,NA,a month earlier-[Prologue]; N-VECTOR (DS9 WILDSTORM GRAPHIC MINI-SERIES),NA,430
2376,Bluff,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,431
2376,The Left Hand of Destiny,DS9,NA,book,NA,FALSE,secondary,NA,NA,NA,Epilogue,2375,NA
2376,Diplomatic Implausibility,TNG,NA,book,61,FALSE,primary,NA,NA,NA,"Prologue, Ch 1-9; 2376-[Epilogue]",NA,NA
2376,Many Splendors,SCE,NA,book,66,FALSE,secondary,NA,NA,NA,Epilogue,2365,NA
2376,Maximum Warp,TNG,NA,book,63,FALSE,primary,NA,NA,NA,NA,NA,432
2376,Diplomatic Implausibility,TNG,NA,book,61,FALSE,primary,NA,NA,NA,Epilogue,NA,NA
2376,The Quiet Place,NF,NA,book,7,FALSE,primary,NA,NA,NA,"""Now...""; 2375-[""Six months earlier...""]",NA,NA
2376,Dark Allies,NF,NA,book,8,FALSE,primary,NA,NA,NA,"""Now...""; 2349-[""Twenty years earlier...""]",NA,433
2376,Survival Instinct,VOY,NA,episode,NA,FALSE,primary,53049.2,NA,NA,NA,NA,NA
2376,Brief Candle,VOY,DS,story,NA,FALSE,primary,NA,NA,NA,NA,NA,434
2376,Barge of the Dead,VOY,NA,episode,10,FALSE,primary,NA,NA,NA,"EXCALIBUR [NF TRILOGY: REQUIEM (9), RENAISSANCE (10), RESTORATION (11 HARDCOVER)]FN_435",NA,435
2376,Tinker Tenor Doctor Spy,VOY,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2376,Dragon's Teeth,VOY,NA,episode,NA,FALSE,primary,53167.9,NA,NA,NA,NA,NA
2376,The Little Captain,VOY,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,436
