name,last_name,first_name,graduation_date,rank_at_graduation,class,graduated_from,pilot_type,military_hometown_of_record,state,aerial_victory_credits,number_of_aerial_victory_credits,reported_lost,reported_lost_date,reported_lost_location,web_profile
"Jackson, Charles S., Jr.",Jackson,"Charles S., Jr.",1944-01-07T00:00:00Z,2nd Lt,SE-44-A,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Jackson, Donald E.",Jackson,Donald E.,1945-11-20T00:00:00Z,Flight Officer,TE-45-H,TAAF,Twin engine,Kansas City,KS,NA,0,NA,NA,NA,NA
"Jackson, Frank A.",Jackson,Frank A.,1944-10-16T00:00:00Z,Flight Officer,SE-44-I-1,TAAF,Single engine,Youngstown,OH,NA,0,NA,NA,NA,NA
"Jackson, Julien D., Jr.",Jackson,"Julien D., Jr.",1945-10-16T00:00:00Z,Flight Officer,SE-45-G,TAAF,Single engine,Norfolk,VA,NA,0,NA,NA,NA,NA
"Jackson, Leonard M.",Jackson,Leonard M.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Fort Worth,TX,"Downed 1 Fw-190 on February 7, 1944; Downed 1 Me-109 on July 26, 1944; Downed 1 Me-109 on July 27, 1944",3,NA,NA,NA,NA
"Jackson, Melvin T.",Jackson,Melvin T.,1942-11-10T00:00:00Z,2nd Lt,SE-42-J,TAAF,Single engine,Warrenton,VA,"Downed 1 Me-109 on June 9, 1944",1,NA,NA,NA,NA
"Jackson, Sterling K.",Jackson,Sterling K.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Chicago,IL,NA,0,NA,NA,NA,NA
"Jackson, William T.",Jackson,William T.,1944-06-27T00:00:00Z,Flight Officer,TE-44-F,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Jamerson, Clarence F.",Jamerson,Clarence F.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Pasedena,CA,NA,0,NA,NA,NA,NA
"James, Daniel, Jr.",James,"Daniel, Jr.",1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Pensacola,FL,NA,0,NA,NA,NA,NA
"James, Voris S.",James,Voris S.,1944-11-20T00:00:00Z,2nd Lt,TE-44-I,TAAF,Twin engine,San Antonio,TX,NA,0,NA,NA,NA,https://cafriseabove.org/voris-stevenson-james/
"Jamison, Clarence C.",Jamison,Clarence C.,1942-04-29T00:00:00Z,2nd Lt,SE-42-D,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,https://cafriseabove.org/clarence-c-jamison/
"Jamison, Donald S.",Jamison,Donald S.,1945-09-08T00:00:00Z,Flight Officer,TE-45-F,TAAF,Twin engine,Wilmington,DE,NA,0,NA,NA,NA,NA
"Jefferson, Alexander",Jefferson,Alexander,1944-01-07T00:00:00Z,2nd Lt,SE-44-A,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,https://cafriseabove.org/alexander-jefferson/
"Jefferson, Lawrence B.",Jefferson,Lawrence B.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Grand Rapids,MI,NA,0,NA,NA,NA,NA
"Jefferson, Samuel",Jefferson,Samuel,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Galveston,TX,NA,0,NA,NA,NA,https://cafriseabove.org/samuel-jefferson/
"Jefferson, Thomas W.",Jefferson,Thomas W.,1944-05-23T00:00:00Z,Flight Officer,SE-44-E,TAAF,Single engine,Chicago,IL,"Downed 2 Me-109s on April 26, 1945",2,NA,NA,NA,NA
"Jenkins, Edward M.",Jenkins,Edward M.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Nutley,NJ,NA,0,NA,NA,NA,NA
"Jenkins, Garfield L.",Jenkins,Garfield L.,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Jenkins, Joseph E.",Jenkins,Joseph E.,1944-10-16T00:00:00Z,2nd Lt,TE-44-I-1,TAAF,Twin engine,Ardmore,PA,NA,0,NA,NA,NA,NA
"Jenkins, Silas M.",Jenkins,Silas M.,1944-10-16T00:00:00Z,2nd Lt,TE-44-I-1,TAAF,Twin engine,Lansing,MI,NA,0,NA,NA,NA,NA
"Jenkins, Stephen S., Jr.",Jenkins,"Stephen S., Jr.",1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Columbus,OH,NA,0,NA,NA,NA,NA
"Johnson, Alvin J.",Johnson,Alvin J.,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Johnson, Andrew, Jr.",Johnson,"Andrew, Jr.",1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Greensboro,NC,NA,0,NA,NA,NA,NA
"Johnson, Carl C.",Johnson,Carl C.,1946-10-01T00:00:00Z,Flight Officer,NA,"Enid Army Air Field, Ok",Twin engine,Enid Army Air Field,OK,NA,0,NA,NA,NA,https://cafriseabove.org/carl-c-johnson/
"Johnson, Carl E.",Johnson,Carl E.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Charlottesville,VA,"Downed 1 RE-2001 on July 30, 1944",1,NA,NA,NA,NA
"Johnson, Charles B.",Johnson,Charles B.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Johnson, Charlie A.",Johnson,Charlie A.,1944-11-20T00:00:00Z,Flight Officer,TE-44-I,TAAF,Twin engine,Marshall,TX,NA,0,NA,NA,NA,NA
"Johnson, Clarence",Johnson,Clarence,1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Newark,NJ,NA,0,NA,NA,NA,NA
"Johnson, Conrad A., Jr.",Johnson,"Conrad A., Jr.",1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Johnson, Earl C.",Johnson,Earl C.,1945-05-23T00:00:00Z,Flight Officer,SE-45-C,TAAF,Single engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Johnson, Langdon E.",Johnson,Langdon E.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Rand,WV,"Downed 1 Me-109 on July 20, 1944",1,NA,NA,NA,https://cafriseabove.org/langdon-johnson/
"Johnson, Louis W.",Johnson,Louis W.,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,San Antonio,TX,NA,0,NA,NA,NA,NA
"Johnson, Robert M.",Johnson,Robert M.,1944-09-08T00:00:00Z,Flight Officer,SE-44-H,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Johnson, Rupert C.",Johnson,Rupert C.,1944-06-27T00:00:00Z,2nd Lt,SE-44-F,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Johnson, Theopolis W.",Johnson,Theopolis W.,1945-04-15T00:00:00Z,2nd Lt,TE-45-B,TAAF,Twin engine,Carbon Hill,AL,NA,0,NA,NA,NA,NA
"Johnson, Wilbert H.",Johnson,Wilbert H.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Johnson, William H.",Johnson,William H.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Franklin County,OH,NA,0,NA,NA,NA,NA
"Johnston, William A., Jr.",Johnston,"William A., Jr.",1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Sewickley,PA,NA,0,NA,NA,NA,NA
"Jones, Beecher A.",Jones,Beecher A.,1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Chillicothe,OH,NA,0,NA,NA,NA,NA
"Jones, Edgar L.",Jones,Edgar L.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Jones, Frank D.",Jones,Frank D.,1945-05-23T00:00:00Z,Flight Officer,SE-45-C,TAAF,Single engine,Hyattsville,MD,NA,0,NA,NA,NA,NA
"Jones, Hubert L.",Jones,Hubert L.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Institute,WV,NA,0,NA,NA,NA,NA
"Jones, Major E.",Jones,Major E.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,NA
"Jones, Robert, Jr.",Jones,"Robert, Jr.",1945-03-11T00:00:00Z,Flight Officer,SE-45-A,TAAF,Single engine,Jamestown,NY,NA,0,NA,NA,NA,NA
"Jones, William M.",Jones,William M.,1945-10-16T00:00:00Z,2nd Lt,SE-45-G,TAAF,Single engine,Columbus,OH,NA,0,NA,NA,NA,NA
"Jordan, William M.",Jordan,William M.,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Chicago,IL,NA,0,NA,NA,NA,NA
"Jordon, Lowell H.",Jordon,Lowell H.,1945-04-15T00:00:00Z,2nd Lt,TE-45-B,TAAF,Twin engine,Ft. Huachuca,AZ,NA,0,NA,NA,NA,NA
"Keel, Daniel",Keel,Daniel,1945-10-16T00:00:00Z,Flight Officer,TE-45-G,TAAF,Twin engine,Boston,MA,NA,0,NA,NA,NA,NA
"Keith, Laurel E.",Keith,Laurel E.,1944-06-27T00:00:00Z,2nd Lt,TE-44-F,TAAF,Twin engine,Cassopolis,MI,NA,0,NA,NA,NA,NA
"Kellam, Edgar L.",Kellam,Edgar L.,1948-10-12T00:00:00Z,1st Lt,NA,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,NA
"Kelly, Earl",Kelly,Earl,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Kelly, Thomas A.",Kelly,Thomas A.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Pasadena,CA,NA,0,NA,NA,NA,NA
"Kennedy, Elmore V.",Kennedy,Elmore V.,1943-12-05T00:00:00Z,1st Lt,TE-43-K,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Kennedy, James V., Jr.",Kennedy,"James V., Jr.",1945-03-11T00:00:00Z,2nd Lt,TE-45-A,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Kenney, Oscar A.",Kenney,Oscar A.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Tuskegee Inst.,AL,NA,0,NA,NA,NA,NA
"Kimbrough, Benny R.",Kimbrough,Benny R.,1944-08-04T00:00:00Z,2nd Lt,SE-44-G,TAAF,Single engine,Cincinnatti,OH,NA,0,NA,NA,NA,NA
"King, Celestus",King,Celestus,1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"King, Earl E.",King,Earl E.,1942-08-05T00:00:00Z,2nd Lt,SE-42-G,TAAF,Single engine,Bessemer,AL,NA,0,NA,NA,NA,NA
"King, Haldane",King,Haldane,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Jamaica,NY,NA,0,NA,NA,NA,NA
"Kirkpatrick, Felix J.",Kirkpatrick,Felix J.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Chicago,IL,"Downed 1 Me-109 on July 27, 1944",1,NA,NA,NA,NA
"Kirksey, LeeRoy",Kirksey,LeeRoy,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Knight, Calvin M.",Knight,Calvin M.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Norfolk,VA,NA,0,NA,NA,NA,NA
"Knight, Frederick D., Jr.",Knight,"Frederick D., Jr.",1945-11-20T00:00:00Z,2nd Lt,TE-45-H,TAAF,Twin engine,Columbus,OH,NA,0,NA,NA,NA,NA
"Knight, William H.",Knight,William H.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Topeka,KS,NA,0,NA,NA,NA,NA
"Knighten, James B.",Knighten,James B.,1942-05-20T00:00:00Z,2nd Lt,SE-42-E,TAAF,Single engine,Tulsa,OK,NA,0,NA,NA,NA,NA
"Knox, George L.",Knox,George L.,1942-05-20T00:00:00Z,2nd Lt,SE-42-E,TAAF,Single engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Kydd, George H., III",Kydd,"George H., III",1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Charleston,WV,NA,0,NA,NA,NA,NA
"Lacy, Hezekiah",Lacy,Hezekiah,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,River Rouge,MI,NA,0,NA,NA,NA,NA
"Laird, Edward",Laird,Edward,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Brighton,AL,NA,0,NA,NA,NA,https://cafriseabove.org/edward-laird/
"Lanauze, Harry E.",Lanauze,Harry E.,1946-03-23T00:00:00Z,2nd Lt,SE-46-A,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Lancaster, Theadore W.",Lancaster,Theadore W.,1944-10-16T00:00:00Z,2nd Lt,SE-44-I-1,TAAF,Single engine,Rochester,NY,NA,0,NA,NA,NA,NA
"Lane, Allen G.",Lane,Allen G.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Demopolis,AL,NA,0,NA,NA,NA,NA
"Lane, Charles A.",Lane,Charles A.,1944-09-08T00:00:00Z,Flight Officer,SE-44-H,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Lane, Earl R.",Lane,Earl R.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Wickliffe,OH,"Downed 1 Me-262 on March 24, 1945; Downed 1 Me-109 on March 31, 1945",2,NA,NA,NA,NA
"Langston, Carroll N.",Langston,Carroll N.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Lanham, Jimmy",Lanham,Jimmy,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Philadelphia,PA,"Downed 1 Me-109 on April 15, 1945; Downed 1 Me-109 on April 26, 1945",2,NA,NA,NA,NA
"Lankford, Joshua J.",Lankford,Joshua J.,1945-11-20T00:00:00Z,2nd Lt,TE-45-H,TAAF,Twin engine,San Antonio,TX,NA,0,NA,NA,NA,NA
"Lawrence, Erwin B., Jr.",Lawrence,"Erwin B., Jr.",1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,https://cafriseabove.org/erwin-bernard-lawrence/
"Lawrence, Robert W.",Lawrence,Robert W.,1944-06-27T00:00:00Z,2nd Lt,SE-44-F,TAAF,Single engine,Bloomfield,NJ,NA,0,NA,NA,NA,NA
"Lawson, Herman A.",Lawson,Herman A.,1942-10-09T00:00:00Z,2nd Lt,SE-42-I,TAAF,Single engine,Fresno,CA,NA,0,NA,NA,NA,NA
"Lawson, Walter E.",Lawson,Walter E.,1942-08-05T00:00:00Z,2nd Lt,SE-42-G,TAAF,Single engine,Newton,VA,NA,0,NA,NA,NA,NA
"Leahr, John H.",Leahr,John H.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Cincinnatti,OH,NA,0,NA,NA,NA,https://cafriseabove.org/john-h-leahr/
"Lee, Frank",Lee,Frank,1944-06-27T00:00:00Z,2nd Lt,TE-44-F,TAAF,Twin engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Leftenant, Samuel G.",Leftenant,Samuel G.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Amityville,NY,NA,0,NA,NA,NA,https://cafriseabove.org/samuel-gordon-leftenant/
"Leftwich, Ivey L.",Leftwich,Ivey L.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Fairfield,AL,NA,0,NA,NA,NA,NA
"Leonard, Wilmore B.",Leonard,Wilmore B.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,Salisbury,MD,NA,0,NA,NA,NA,NA
"Leslie, William A.",Leslie,William A.,1945-10-16T00:00:00Z,2nd Lt,TE-45-G,TAAF,Twin engine,Boston,MD,NA,0,NA,NA,NA,NA
"Lester, Clarence D.",Lester,Clarence D.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Chicago,IL,"Downed 3 Me-109s on July 18, 1944",3,NA,NA,NA,https://cafriseabove.org/clarence-d-lucky-lester/
"Lewis, Herbert Jr.",Lewis,Herbert Jr.,1945-11-20T00:00:00Z,Flight Officer,SE-45-H,TAAF,Single engine,South Bend,IN,NA,0,NA,NA,NA,NA
"Lewis, Joe A.",Lewis,Joe A.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Denver,CO,NA,0,NA,NA,NA,NA
"Lewis, William R.",Lewis,William R.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Boston,MA,NA,0,NA,NA,NA,NA
"Lieteau, Albert J.",Lieteau,Albert J.,1944-09-08T00:00:00Z,1st Lt,SE-44-H,TAAF,Single engine,New Orleans,LA,NA,0,NA,NA,NA,NA
"Liggins, Wayne V.",Liggins,Wayne V.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Springfield,OH,NA,0,NA,NA,NA,NA
"Lindsey, Perry W.",Lindsey,Perry W.,1945-10-16T00:00:00Z,2nd Lt,TE-45-G,TAAF,Twin engine,New Albany,IN,NA,0,NA,NA,NA,NA
"Lockett, Claybourne A.",Lockett,Claybourne A.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Long, Clyde C., Jr.",Long,"Clyde C., Jr.",1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Itasca,TX,NA,0,NA,NA,NA,NA
"Long, Wendell W.",Long,Wendell W.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Champaign-Urbana,IL,NA,0,NA,NA,NA,NA
"Long, Wilbur F.",Long,Wilbur F.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,New Rochelle,NY,NA,0,NA,NA,NA,https://cafriseabove.org/wilbur-f-long/
"Love, Thomas W., Jr.",Love,"Thomas W., Jr.",1946-03-23T00:00:00Z,2nd Lt,SE-46-A,TAAF,Single engine,Ardmore,PA,NA,0,NA,NA,NA,NA
"Lucas, Wendell M.",Lucas,Wendell M.,1944-05-23T00:00:00Z,1st Lt,SE-44-E,TAAF,Single engine,Fairmont Hts.,MD,NA,0,NA,NA,NA,https://cafriseabove.org/wendell-m-lucas/
"Lyle, John H.",Lyle,John H.,1944-08-04T00:00:00Z,Flight Officer,SE-44-G,TAAF,Single engine,Chicago,IL,"Downed 1 Me-109 on March 31, 1945",1,NA,NA,NA,NA
"Lyle, Payton H.",Lyle,Payton H.,1944-03-12T00:00:00Z,1st Lt,TE-44-C,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Lynch, George A.",Lynch,George A.,1944-06-27T00:00:00Z,Flight Officer,SE-44-F,TAAF,Single engine,Valley Stream,NY,NA,0,NA,NA,NA,NA
"Lynch, Lewis J.",Lynch,Lewis J.,1944-06-27T00:00:00Z,2nd Lt,SE-44-F,TAAF,Single engine,Columbus,OH,NA,0,NA,NA,NA,NA
"Lynn, Samuel",Lynn,Samuel,1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Jamaica,NY,NA,0,NA,NA,NA,NA
"Macon, Richard D.",Macon,Richard D.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Birmingham,AL,NA,0,NA,NA,NA,https://cafriseabove.org/capt-richard-d-macon/
"Manley, Edward E.",Manley,Edward E.,1944-09-08T00:00:00Z,Flight Officer,SE-44-H,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Mann, Hiram E.",Mann,Hiram E.,1944-06-27T00:00:00Z,2nd Lt,SE-44-F,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,https://cafriseabove.org/hiram-e-mann/
"Manning, Albert H.",Manning,Albert H.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Hartsville,SC,NA,0,NA,NA,NA,NA
"Manning, Walter P.",Manning,Walter P.,1944-04-15T00:00:00Z,2nd Lt,SE-44-D,TAAF,Single engine,Philadelphia,PA,"Downed 1 Fw-190 on April 1, 1945",1,NA,NA,NA,NA
"Maples, Andrew, Jr.",Maples,"Andrew, Jr.",1943-01-14T00:00:00Z,2nd Lt,SE-43-A,TAAF,Single engine,Orange,VA,NA,0,NA,NA,NA,https://cafriseabove.org/andrew-maples-jr/
"Maples, Harold B.",Maples,Harold B.,1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,Orange,VA,NA,0,NA,NA,NA,NA
"Marshall, Andrew D.",Marshall,Andrew D.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Wadesboro,NC,NA,0,NA,NA,NA,https://cafriseabove.org/andrew-d-marshall/
"Martin, August J.",Martin,August J.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Bronx,NY,NA,0,NA,NA,NA,NA
"Martin, George H. O.",Martin,George H. O.,1948-10-12T00:00:00Z,1st Lt,NA,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,NA
"Martin, Maceo Conrad, Jr.",Martin,"Maceo Conrad, Jr.",1946-05-14T00:00:00Z,Flight Officer,SE-46-B,TAAF,Single engine,Unknown,NA,NA,0,NA,NA,NA,NA
"Martin, Robert L.",Martin,Robert L.,1944-01-07T00:00:00Z,2nd Lt,SE-44-A,TAAF,Single engine,Dubuque,IA,NA,0,NA,NA,NA,https://cafriseabove.org/robert-l-martin/
"Masciana, Andrea P.",Masciana,Andrea P.,1944-01-07T00:00:00Z,2nd Lt,TE-44-A,TAAF,Twin engine,Washington,DC,NA,0,NA,NA,NA,NA
"Mason, James W.",Mason,James W.,1943-07-28T00:00:00Z,2nd Lt,SE-43-G,TAAF,Single engine,Monroe,LA,NA,0,NA,NA,NA,NA
"Mason, Ralph W.",Mason,Ralph W.,1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Mason, Theodore O.",Mason,Theodore O.,1944-10-16T00:00:00Z,2nd Lt,TE-44-I-1,TAAF,Twin engine,Cadiz,OH,NA,0,NA,NA,NA,NA
"Mason, Thurston",Mason,Thurston,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Chicago,IL,NA,0,NA,NA,NA,NA
"Mason, Vincent J.",Mason,Vincent J.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Orange,NJ,NA,0,NA,NA,NA,NA
"Matthews, Charles R.",Matthews,Charles R.,1946-03-23T00:00:00Z,2nd Lt,TE-46-A,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Matthews, George B.",Matthews,George B.,1944-02-08T00:00:00Z,2nd Lt,TE-44-B,TAAF,Twin engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Matthews, Samuel",Matthews,Samuel,1944-09-08T00:00:00Z,Flight Officer,SE-44-H,TAAF,Single engine,Birmingham,AL,NA,0,NA,NA,NA,NA
"Mattison, William T.",Mattison,William T.,1942-10-09T00:00:00Z,2nd Lt,SE-42-I,TAAF,Single engine,Conway,AR,NA,0,NA,NA,NA,NA
"Maxwell, Charles C.",Maxwell,Charles C.,1944-10-16T00:00:00Z,Flight Officer,TE-44-I-1,TAAF,Twin engine,New York,NY,NA,0,NA,NA,NA,NA
"Maxwell, Robert L.",Maxwell,Robert L.,1945-09-08T00:00:00Z,2nd Lt,TE-45-F,TAAF,Twin engine,Bronx,NY,NA,0,NA,NA,NA,NA
"May, Cornelius F.",May,Cornelius F.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"McCarroll, Rixie H.",McCarroll,Rixie H.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Gary,IN,NA,0,NA,NA,NA,NA
"McClelland, Harvey L.",McClelland,Harvey L.,1945-03-11T00:00:00Z,Flight Officer,TE-45-A,TAAF,Twin engine,Asheville,NC,NA,0,NA,NA,NA,NA
"McClenic, William B., Jr.",McClenic,"William B., Jr.",1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Akron,OH,NA,0,NA,NA,NA,NA
"McClure, John H.",McClure,John H.,1942-08-05T00:00:00Z,2nd Lt,SE-42-G,TAAF,Single engine,Kokomo,IN,NA,0,NA,NA,NA,NA
"McCode, John E.",McCode,John E.,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Houston,TX,NA,0,NA,NA,NA,NA
"McCoy, Andrew A., Jr.",McCoy,"Andrew A., Jr.",1946-04-29T00:00:00Z,2nd Lt,NA,"Stewart Field, NY",Single engine,Stewart Field,NY,NA,0,NA,NA,NA,NA
"McCreary, Walter L.",McCreary,Walter L.,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,San Antonio,TX,NA,0,NA,NA,NA,https://cafriseabove.org/walter-l-mccreary/
"McCrory, Felix M.",McCrory,Felix M.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,Yuma,AZ,NA,0,NA,NA,NA,NA
"McCrumby, George T.",McCrumby,George T.,1943-01-14T00:00:00Z,2nd Lt,SE-43-A,TAAF,Single engine,Ft. Worth,TX,NA,0,NA,NA,NA,https://cafriseabove.org/george-thomas-mccrumby/
"McCullin, James L.",McCullin,James L.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,St. Louis,MO,NA,0,Y,1943-07-02T00:00:00Z,Over SW coast of Sicily,https://cafriseabove.org/james-lawrence-mccullin-jr/
"McDaniel, Armour G.",McDaniel,Armour G.,1943-01-14T00:00:00Z,2nd Lt,SE-43-A,TAAF,Single engine,Martinsville,VA,"Downed 1 Me-109 on July 20, 1944",1,NA,NA,NA,https://cafriseabove.org/armour-g-mcdaniel-sr/
"McGarrity, Thomas Hamlin",McGarrity,Thomas Hamlin,1946-01-29T00:00:00Z,2nd Lt,SE-45-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"McGee, Charles E.",McGee,Charles E.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Champaign,IL,"Downed 1 Fw-190 on August 24, 1944",1,NA,NA,NA,https://cafriseabove.org/charles-e-mcgee/
"McGinnis, Faythe A.",McGinnis,Faythe A.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Muskogee,OK,NA,0,NA,NA,NA,https://cafriseabove.org/faythe-andrew-mcginnis/
"McIntyre, Clinton E.",McIntyre,Clinton E.,1945-08-04T00:00:00Z,2nd Lt,SE-45-E,TAAF,Single engine,Bronx,NY,NA,0,NA,NA,NA,NA
