year_ended_june,measure,value,value_unit,value_label
2013,"Dairy Cows and Heifers, in Milk or Calf",5004634,number,Number of cattle
2013,Total Dairy Cattle (including Bobby Calves),6483600,number,Number of cattle
2013,Rising 1 Year Old Dairy Heifers and Heifer Calves,931134,number,Number of cattle
2013,Dairy Bulls intended for Breeding,75141,number,Number of cattle
2013,Calves Born Alive to Dairy Heifers/Cows,3688639,number,Number of cattle
2013,Beef non-breeding bulls (under 1 year),266055,number,Number of cattle
2013,"Beef Cows and Heifers, Bred from",1019012,number,Number of cattle
2013,"Beef Heifer Calves, under 1 Year Old",483433,number,Number of cattle
2013,Calves Born Alive to Beef Heifers/Cows,811884,number,Number of cattle
2013,Total Beef Cattle,3698522,number,Number of cattle
2013,Beef Breeding Bulls,75214,number,Number of cattle
2013,"Steers, 2 years old and over",246866,number,Number of cattle
2013,"Steers, 1-2 years old",429707,number,Number of cattle
2013,"Steer Calves, under 1 year",395835,number,Number of cattle
2013,Beef cows and heifers (in calf) 2yrs and over,887939,number,Number of cattle
2013,Beef cows and heifers (in calf) 1-2yrs old,131073,number,Number of cattle
2013,Beef cows and heifers (not in calf) 2yrs and over,134662,number,Number of cattle
2013,Beef cows and heifers (not in calf) 1-2yrs old,308066,number,Number of cattle
2013,Beef non-breeding bulls 2yrs and over,89067,number,Number of cattle
2013,Beef non-breeding bulls 1-2yrs old,250605,number,Number of cattle
2013,"Breeding Sows, over 1 Year Old",31133,number,Number of pigs
2013,Other Pigs,261689,number,Number of pigs
2013,Total Pigs,297724,number,Number of pigs
2013,Mated Gilts,4902,number,Number of pigs
2013,Piglets weaned on the farm during the year,662466,number,Number of pigs
2013,Breeding Ewes 2 Tooth and Over put to Ram,20232933,number,Number of sheep
2013,Breeding Ewes 2 Tooth and Over not put to Ram,191635,number,Number of sheep
2013,Rams 2 Tooth and Over,302274,number,Number of sheep
2013,Ewe Hoggets put to Ram,1998722,number,Number of sheep
2013,Ewe Hoggets not put to Ram,4681623,number,Number of sheep
2013,Wethers 2 Tooth and Over,299495,number,Number of sheep
2013,Total Sheep,30786761,number,Number of sheep
2013,Total Lambs Marked and/or Tailed,25966837,number,Number of sheep
2013,Total Ram and Wether Hoggets,3080079,number,Number of sheep
2013,Lambs marked/tailed from ewe hoggets,1280394,number,Number of sheep
2013,Lambs marked/tailed from ewes,24686442,number,Number of sheep
2013,Total goats,79977,number,Number of goats
2013,Total male deer,321602,number,Number of deer
2013,Total female deer,706781,number,Number of deer
2013,Total Deer,1028382,number,Number of deer
2013,Wheat (area harvested),49180,number,Hectares
2013,Wheat (yield),447799,number,Tonnes
2013,Oats (yield),28225,number,Tonnes
2013,Barley (yield),416478,number,Tonnes
2013,Maize (yield),201659,number,Tonnes
2013,Barley (area harvested),61328,number,Hectares
2013,Hectares effluent sprayed over,391481,number,Hectares
2013,Lime,1224611,number,Tonnes
2013,Urea,511074,number,Tonnes
2013,Ammonia Sulphate,49669,number,Tonnes
2013,Diammonium Phosphate (DAP),131309,number,Tonnes
2013,Total All Fertilisers,2039850,number,Tonnes
2013,Fawns born (during the year ended 30 June),398938,number,Number of deer
2013,Velvet harvested (green weight),345704,number,Kilograms
2013,Male deer (2 yrs and over),92467,number,Number of deer
2013,Male deer (under 2 yrs),229135,number,Number of deer
2013,Female deer mated since 30 June last year,497954,number,Number of deer
2013,Other female deer,208827,number,Number of deer
2013,Eggs from hens,79653871,number,Dozens
2013,Chickens for meat production/broilers,14392489,number,Number of chickens
2013,All other poultry,1734226,number,Number of poultry
2013,Total poultry,19319611,number,Number of poultry
2013,Mean average number of broilers on the farm,9249111,number,Number of chickens
2013,Horses,57427,number,Number of horses
2013,Other livestock,3023,number,Number of livestock
2013,Alpacas and Llamas,14523,number,Number of alpacas and llamas
2013,Hens for Egg Production,3192896,number,Number of chickens
2014,Grassland,7864983,number,Hectares
2014,Number of Farm Holdings,56610,number,Number of farm holdings
2014,Tussock or Danthonia,2594332,number,Hectares
2014,"Crops, Grain, Nursery, Vegetables and Fruit",592443,number,Hectares
2014,Land used for horticulture,126423,number,Hectares
2014,Plantations of Exotic Trees,1620509,number,Hectares
2014,Total Area of Farms,14134378,number,Hectares
2014,New Area Planted in Production Forest,3942,number,Hectares
2014,Area Replanted in Production Forest,40964,number,Hectares
2014,Area of Exotic Timber Harvested in hectares,50219,number,Hectares
2014,Area of Exotic Timber Harvested in cubic metres,26400610,number,Cubic metres
2014,Dairy Cows and Heifers - not in Milk or Calf,483233,number,Number of cattle
2014,Rising 1 Year Old Dairy Heifers and Calves,959652,number,Number of cattle
2014,"Dairy Cows and Heifers, in Milk or Calf",5175869,number,Number of cattle
2014,Total Dairy Cattle (including Bobby Calves),6698326,number,Number of cattle
2014,Rising 1 Year Old Dairy Heifers and Heifer Calves,919705,number,Number of cattle
2014,Dairy Bulls intended for Breeding,79572,number,Number of cattle
2014,Calves Born Alive to Dairy Heifers/Cows,3852118,number,Number of cattle
2014,Beef non-breeding bulls (under 1 year),246156,number,Number of cattle
2014,"Beef Cows and Heifers, Bred from",1011914,number,Number of cattle
2014,"Beef Heifer Calves, under 1 Year Old",458402,number,Number of cattle
2014,Calves Born Alive to Beef Heifers/Cows,781131,number,Number of cattle
2014,Total Beef Cattle,3669862,number,Number of cattle
2014,Beef Breeding Bulls,81037,number,Number of cattle
2014,"Steers, 2 years old and over",245051,number,Number of cattle
2014,"Steers, 1-2 years old",424892,number,Number of cattle
2014,"Steer Calves, under 1 year",389359,number,Number of cattle
2014,Beef cows and heifers (in calf) 2yrs and over,862530,number,Number of cattle
2014,Beef cows and heifers (in calf) 1-2yrs old,149384,number,Number of cattle
2014,Beef cows and heifers (not in calf) 2yrs and over,136014,number,Number of cattle
2014,Beef cows and heifers (not in calf) 1-2yrs old,319243,number,Number of cattle
2014,Beef non-breeding bulls 2yrs and over,104618,number,Number of cattle
2014,Beef non-breeding bulls 1-2yrs old,253174,number,Number of cattle
2014,"Breeding Sows, over 1 Year Old",27616,number,Number of pigs
2014,Other Pigs,255356,number,Number of pigs
2014,Total Pigs,286971,number,Number of pigs
2014,Mated Gilts,3999,number,Number of pigs
2014,Piglets weaned on the farm during the year,636922,number,Number of pigs
2014,Breeding Ewes 2 Tooth and Over put to Ram,19779205,number,Number of sheep
2014,Breeding Ewes 2 Tooth and Over not put to Ram,244900,number,Number of sheep
2014,Rams 2 Tooth and Over,297419,number,Number of sheep
2014,Ewe Hoggets put to Ram,2072038,number,Number of sheep
2014,Ewe Hoggets not put to Ram,4189670,number,Number of sheep
2014,Wethers 2 Tooth and Over,300047,number,Number of sheep
2014,Total Sheep,29803402,number,Number of sheep
2014,Total Lambs Marked and/or Tailed,24976628,number,Number of sheep
2014,Total Ram and Wether Hoggets,2920121,number,Number of sheep
2014,Lambs marked/tailed from ewe hoggets,978367,number,Number of sheep
2014,Lambs marked/tailed from ewes,23998261,number,Number of sheep
2014,Total goats,97370,number,Number of goats
2014,Total male deer,289592,number,Number of deer
2014,Total female deer,668627,number,Number of deer
2014,Total Deer,958219,number,Number of deer
2014,Wheat (area harvested),47932,number,Hectares
2014,Wheat (yield),413497,number,Tonnes
2014,Oats (yield),34741,number,Tonnes
2014,Barley (yield),405747,number,Tonnes
2014,Maize (yield),237165,number,Tonnes
2014,Barley (area harvested),59337,number,Hectares
2014,Walnuts,499,number,Hectares
2014,Chestnuts,100,number,Hectares
2014,Hectares effluent sprayed over,472426,number,Hectares
2014,Lime,1342854,number,Tonnes
2014,Urea,533373,number,Tonnes
2014,Ammonia Sulphate,59846,number,Tonnes
2014,Diammonium Phosphate (DAP),166924,number,Tonnes
2014,Total All Fertilisers,2180749,number,Tonnes
2014,Potatoes,9163,number,Hectares
2014,Fawns born (during the year ended 30 June),375146,number,Number of deer
2014,Velvet harvested (green weight),340866,number,Kilograms
2014,Male deer (2 yrs and over),81106,number,Number of deer
2014,Male deer (under 2 yrs),208486,number,Number of deer
2014,Female deer mated since 30 June last year,467972,number,Number of deer
2014,Other female deer,200655,number,Number of deer
2014,Eggs from hens,84219665,number,Dozens
2014,Chickens for meat production/broilers,15150914,number,Number of chickens
2014,All other poultry,1676561,number,Number of poultry
2014,Total poultry,20278321,number,Number of poultry
2014,Mean average number of broilers on the farm,9954251,number,Number of chickens
2014,Horses,51611,number,Number of horses
2014,Alpacas and Llamas,15804,number,Number of alpacas and llamas
2014,Hens for Egg Production,3450845,number,Number of chickens
2014,Sweetcorn,4531,number,Hectares
2014,"Tomatoes, outdoor",583,number,Hectares
2014,Asparagus,628,number,Hectares
2014,Broccoli,1962,number,Hectares
2014,Cabbage,791,number,Hectares
2014,Cauliflower,816,number,Hectares
2014,Lettuce,1609,number,Hectares
2014,Onions,5067,number,Hectares
2014,Peas,5311,number,Hectares
2014,Squash,6501,number,Hectares
2014,"Tomatoes, indoor",1156260,number,Square metres
2014,Cucumbers,231897,number,Square metres
2014,Capsicum/Peppers,655497,number,Square metres
2014,Mushrooms,52909,number,Square metres
2014,Olives (net area planted),1325,number,Hectares
2014,Boysenberries,161,number,Hectares
2014,Blueberries,621,number,Hectares
2014,Wine grapes,33761,number,Hectares
2014,Apples,8417,number,Hectares
2014,Pears (excluding Asian Pears),505,number,Hectares
2014,Peaches,428,number,Hectares
2014,Apricots,530,number,Hectares
2014,Plums,372,number,Hectares
2014,Nectarines,394,number,Hectares
2014,Cherries,662,number,Hectares
2014,Kiwifruit,10979,number,Hectares
2014,Avocados,3893,number,Hectares
2014,Feijoas,188,number,Hectares
2014,Tamarillos,105,number,Hectares
2014,Passionfruit,27,number,Hectares
2014,Persimmons,164,number,Hectares
2014,Oranges,676,number,Hectares
2014,Grapefruit/Goldfruit,35,number,Hectares
2014,Lemons,394,number,Hectares
2014,Mandarins,737,number,Hectares
2014,Tangelos,76,number,Hectares
2014,Strawberries,256,number,Hectares
2014,Raspberries,115,number,Hectares
2015,Grassland,7753887,number,Hectares
2015,Number of Farm Holdings,55263,number,Number of farm holdings
2015,Tussock or Danthonia,2413264,number,Hectares
2015,"Crops, Grain, Nursery, Vegetables and Fruit",604694,number,Hectares
2015,Land used for horticulture,126302,number,Hectares
2015,Plantations of Exotic Trees,1613441,number,Hectares
2015,Total Area of Farms,13929375,number,Hectares
2015,New Area Planted in Production Forest,3051,number,Hectares
2015,Area Replanted in Production Forest,40015,number,Hectares
2015,Area of Exotic Timber Harvested in hectares,48002,number,Hectares
2015,Area of Exotic Timber Harvested in cubic metres,25375107,number,Cubic metres
2015,Dairy Cows and Heifers - not in Milk or Calf,335790,number,Number of cattle
2015,Rising 1 Year Old Dairy Heifers and Calves,1022794,number,Number of cattle
2015,"Dairy Cows and Heifers, in Milk or Calf",5056403,number,Number of cattle
2015,Total Dairy Cattle (including Bobby Calves),6485535,number,Number of cattle
2015,Rising 1 Year Old Dairy Heifers and Heifer Calves,980108,number,Number of cattle
2015,Dairy Bulls intended for Breeding,70548,number,Number of cattle
2015,Calves Born Alive to Dairy Heifers/Cows,4055408,number,Number of cattle
2015,Beef non-breeding bulls (under 1 year),217019,number,Number of cattle
2015,"Beef Cows and Heifers, Bred from",981856,number,Number of cattle
2015,"Beef Heifer Calves, under 1 Year Old",459530,number,Number of cattle
2015,Calves Born Alive to Beef Heifers/Cows,880438,number,Number of cattle
2015,Total Beef Cattle,3547228,number,Number of cattle
2015,Beef Breeding Bulls,82105,number,Number of cattle
2015,"Steers, 2 years old and over",242914,number,Number of cattle
2015,"Steers, 1-2 years old",398201,number,Number of cattle
2015,"Steer Calves, under 1 year",369719,number,Number of cattle
2015,Beef cows and heifers (in calf) 2yrs and over,838483,number,Number of cattle
2015,Beef cows and heifers (in calf) 1-2yrs old,143373,number,Number of cattle
2015,Beef cows and heifers (not in calf) 2yrs and over,124913,number,Number of cattle
2015,Beef cows and heifers (not in calf) 1-2yrs old,306703,number,Number of cattle
2015,Beef non-breeding bulls 2yrs and over,110795,number,Number of cattle
2015,Beef non-breeding bulls 1-2yrs old,253474,number,Number of cattle
2015,"Breeding Sows, over 1 Year Old",26562,number,Number of pigs
2015,Other Pigs,237084,number,Number of pigs
2015,Total Pigs,268300,number,Number of pigs
2015,Mated Gilts,4654,number,Number of pigs
2015,Piglets weaned on the farm during the year,571223,number,Number of pigs
2015,Breeding Ewes 2 Tooth and Over put to Ram,19074356,number,Number of sheep
2015,Breeding Ewes 2 Tooth and Over not put to Ram,313941,number,Number of sheep
2015,Rams 2 Tooth and Over,290187,number,Number of sheep
2015,Ewe Hoggets put to Ram,1750318,number,Number of sheep
2015,Ewe Hoggets not put to Ram,4561932,number,Number of sheep
2015,Wethers 2 Tooth and Over,241954,number,Number of sheep
2015,Total Sheep,29120827,number,Number of sheep
2015,Total Lambs Marked and/or Tailed,25832974,number,Number of sheep
2015,Total Ram and Wether Hoggets,2888140,number,Number of sheep
2015,Lambs marked/tailed from ewe hoggets,1030903,number,Number of sheep
2015,Lambs marked/tailed from ewes,24802071,number,Number of sheep
2015,Total goats,74718,number,Number of goats
2015,Total male deer,288911,number,Number of deer
2015,Total female deer,611189,number,Number of deer
2015,Total Deer,900100,number,Number of deer
2015,Wheat (area harvested),47685,number,Hectares
2015,Wheat (yield),413533,number,Tonnes
2015,Oats (yield),29119,number,Tonnes
2015,Barley (yield),437144,number,Tonnes
2015,Maize (yield),226278,number,Tonnes
2015,Barley (area harvested),64164,number,Hectares
2015,Hectares effluent sprayed over,434756,number,Hectares
2015,Lime,1216588,number,Tonnes
2015,Urea,538854,number,Tonnes
2015,Ammonia Sulphate,61916,number,Tonnes
2015,Diammonium Phosphate (DAP),175985,number,Tonnes
2015,Total All Fertilisers,2135743,number,Tonnes
2015,Fawns born (during the year ended 30 June),352568,number,Number of deer
2015,Velvet harvested (green weight),367448,number,Kilograms
2015,Male deer (2 yrs and over),95405,number,Number of deer
2015,Male deer (under 2 yrs),193507,number,Number of deer
2015,Female deer mated since 30 June last year,430500,number,Number of deer
2015,Other female deer,180688,number,Number of deer
2015,Eggs from hens,85524678,number,Dozens
2015,Chickens for meat production/broilers,15843617,number,Number of chickens
2015,All other poultry,1839390,number,Number of poultry
2015,Total poultry,21135009,number,Number of poultry
2015,Mean average number of broilers on the farm,10683077,number,Number of chickens
2015,Horses,40935,number,Number of horses
2015,Other livestock,2297,number,Number of livestock
2015,Alpacas and Llamas,8091,number,Number of alpacas and llamas
2015,Hens for Egg Production,3452002,number,Number of chickens
2016,Grassland,7675021,number,Hectares
2016,Number of Farm Holdings,55473,number,Number of farm holdings
2016,Tussock or Danthonia,2330882,number,Hectares
2016,"Crops, Grain, Nursery, Vegetables and Fruit",683397,number,Hectares
2016,Plantations of Exotic Trees,1643887,number,Hectares
2016,Total Area of Farms,13991897,number,Hectares
2016,New Area Planted in Production Forest,3675,number,Hectares
2016,Area Replanted in Production Forest,37825,number,Hectares
2016,Area of Exotic Timber Harvested in hectares,47492,number,Hectares
2016,Area of Exotic Timber Harvested in cubic metres,25380687,number,Cubic metres
2016,Rising 1 Year Old Dairy Heifers and Calves,1001351,number,Number of cattle
2016,"Dairy Cows and Heifers, in Milk or Calf",5202467,number,Number of cattle
2016,Total Dairy Cattle (including Bobby Calves),6618800,number,Number of cattle
2016,Rising 1 Year Old Dairy Heifers and Heifer Calves,938088,number,Number of cattle
2016,Dairy Bulls intended for Breeding,69583,number,Number of cattle
2016,Calves Born Alive to Dairy Heifers/Cows,4398286,number,Number of cattle
2016,Beef non-breeding bulls (under 1 year),266780,number,Number of cattle
2016,"Beef Cows and Heifers, Bred from",953618,number,Number of cattle
2016,"Beef Heifer Calves, under 1 Year Old",458500,number,Number of cattle
2016,Calves Born Alive to Beef Heifers/Cows,839878,number,Number of cattle
2016,Total Beef Cattle,3533054,number,Number of cattle
2016,Beef Breeding Bulls,73972,number,Number of cattle
2016,"Steers, 2 years old and over",223152,number,Number of cattle
2016,"Steers, 1-2 years old",384460,number,Number of cattle
2016,"Steer Calves, under 1 year",370479,number,Number of cattle
2016,Beef cows and heifers (in calf) 2yrs and over,817423,number,Number of cattle
2016,Beef cows and heifers (in calf) 1-2yrs old,136195,number,Number of cattle
2016,Beef cows and heifers (not in calf) 2yrs and over,131342,number,Number of cattle
2016,Beef cows and heifers (not in calf) 1-2yrs old,316336,number,Number of cattle
2016,Beef non-breeding bulls 2yrs and over,105120,number,Number of cattle
2016,Beef non-breeding bulls 1-2yrs old,249294,number,Number of cattle
2016,"Breeding Sows, over 1 Year Old",24319,number,Number of pigs
2016,Other Pigs,226065,number,Number of pigs
2016,Total Pigs,254607,number,Number of pigs
2016,Mated Gilts,4223,number,Number of pigs
2016,Piglets weaned on the farm during the year,562173,number,Number of pigs
2016,Breeding Ewes 2 Tooth and Over put to Ram,18137180,number,Number of sheep
2016,Breeding Ewes 2 Tooth and Over not put to Ram,322511,number,Number of sheep
2016,Rams 2 Tooth and Over,271085,number,Number of sheep
2016,Ewe Hoggets put to Ram,1694888,number,Number of sheep
2016,Ewe Hoggets not put to Ram,4294238,number,Number of sheep
2016,Wethers 2 Tooth and Over,290242,number,Number of sheep
2016,Total Sheep,27583673,number,Number of sheep
2016,Total Lambs Marked and/or Tailed,24570347,number,Number of sheep
2016,Total Ram and Wether Hoggets,2573528,number,Number of sheep
2016,Lambs marked/tailed from ewe hoggets,961461,number,Number of sheep
2016,Lambs marked/tailed from ewes,23608886,number,Number of sheep
2016,Total goats,112385,number,Number of goats
2016,Total male deer,266667,number,Number of deer
2016,Total female deer,567941,number,Number of deer
2016,Total Deer,834608,number,Number of deer
2016,Wheat (area harvested),49945,number,Hectares
2016,Wheat (yield),459349,number,Tonnes
2016,Barley (yield),364186,number,Tonnes
2016,Maize (yield),210325,number,Tonnes
2016,Barley (area harvested),51892,number,Hectares
2016,Hectares effluent sprayed over,492107,number,Hectares
2016,Lime,1167234,number,Tonnes
2016,Urea,598540,number,Tonnes
2016,Ammonia Sulphate,76268,number,Tonnes
2016,Diammonium Phosphate (DAP),164723,number,Tonnes
2016,Total All Fertilisers,2039137,number,Tonnes
2016,Fawns born (during the year ended 30 June),321031,number,Number of deer
2016,Velvet harvested (green weight),339937,number,Kilograms
2016,Male deer (2 yrs and over),92948,number,Number of deer
2016,Male deer (under 2 yrs),173719,number,Number of deer
2016,Female deer mated since 30 June last year,405858,number,Number of deer
2016,Other female deer,162083,number,Number of deer
2016,Eggs from hens,89590659,number,Dozens
2016,Chickens for meat production/broilers,17223616,number,Number of chickens
2016,All other poultry,1794091,number,Number of poultry
2016,Total poultry,22683386,number,Number of poultry
2016,Mean average number of broilers on the farm,11672688,number,Number of chickens
2016,Horses,48801,number,Number of horses
2016,Other livestock,3176,number,Number of livestock
2016,Alpacas and Llamas,8127,number,Number of alpacas and llamas
2016,Hens for Egg Production,3665679,number,Number of chickens
2017,Grassland,7693860,number,Hectares
2017,Number of Farm Holdings,52295,number,Number of farm holdings
2017,Tussock or Danthonia,2392325,number,Hectares
2017,"Crops, Grain, Nursery, Vegetables and Fruit",616964,number,Hectares
2017,Land used for horticulture,126463,number,Hectares
2017,Plantations of Exotic Trees,1578986,number,Hectares
2017,Total Area of Farms,13900407,number,Hectares
2017,New Area Planted in Production Forest,5323,number,Hectares
2017,Area Replanted in Production Forest,41970,number,Hectares
2017,Area of Exotic Timber Harvested in hectares,52257,number,Hectares
2017,Area of Exotic Timber Harvested in cubic metres,25911986,number,Cubic metres
2017,Dairy Cows and Heifers - not in Milk or Calf,414784,number,Number of cattle
2017,Rising 1 Year Old Dairy Heifers and Calves,1000199,number,Number of cattle
2017,"Dairy Cows and Heifers, in Milk or Calf",5043813,number,Number of cattle
2017,Total Dairy Cattle (including Bobby Calves),6529811,number,Number of cattle
2017,Rising 1 Year Old Dairy Heifers and Heifer Calves,946315,number,Number of cattle
2017,Dairy Bulls intended for Breeding,71079,number,Number of cattle
2017,Calves Born Alive to Dairy Heifers/Cows,4627959,number,Number of cattle
2017,Beef non-breeding bulls (under 1 year),299462,number,Number of cattle
2017,"Beef Cows and Heifers, Bred from",976094,number,Number of cattle
2017,"Beef Heifer Calves, under 1 Year Old",482240,number,Number of cattle
2017,Calves Born Alive to Beef Heifers/Cows,827681,number,Number of cattle
2017,Total Beef Cattle,3616091,number,Number of cattle
2017,Beef Breeding Bulls,76302,number,Number of cattle
2017,"Steers, 2 years old and over",209779,number,Number of cattle
2017,"Steers, 1-2 years old",379215,number,Number of cattle
2017,"Steer Calves, under 1 year",384359,number,Number of cattle
2017,Beef cows and heifers (in calf) 2yrs and over,827443,number,Number of cattle
2017,Beef cows and heifers (in calf) 1-2yrs old,148651,number,Number of cattle
2017,Beef cows and heifers (not in calf) 2yrs and over,129185,number,Number of cattle
2017,Beef cows and heifers (not in calf) 1-2yrs old,298968,number,Number of cattle
2017,Beef non-breeding bulls 2yrs and over,94346,number,Number of cattle
2017,Beef non-breeding bulls 1-2yrs old,285947,number,Number of cattle
2017,"Breeding Sows, over 1 Year Old",26872,number,Number of pigs
2017,Other Pigs,242257,number,Number of pigs
2017,Total Pigs,273860,number,Number of pigs
2017,Mated Gilts,4728,number,Number of pigs
2017,Piglets weaned on the farm during the year,614787,number,Number of pigs
2017,Breeding Ewes 2 Tooth and Over put to Ram,17755322,number,Number of sheep
2017,Breeding Ewes 2 Tooth and Over not put to Ram,371132,number,Number of sheep
2017,Rams 2 Tooth and Over,264731,number,Number of sheep
2017,Ewe Hoggets put to Ram,1980740,number,Number of sheep
2017,Ewe Hoggets not put to Ram,4281532,number,Number of sheep
2017,Wethers 2 Tooth and Over,254258,number,Number of sheep
2017,Total Sheep,27526537,number,Number of sheep
2017,Total Lambs Marked and/or Tailed,24127372,number,Number of sheep
2017,Total Ram and Wether Hoggets,2618495,number,Number of sheep
2017,Lambs marked/tailed from ewe hoggets,1169771,number,Number of sheep
2017,Lambs marked/tailed from ewes,22957601,number,Number of sheep
2017,Total goats,98812,number,Number of goats
2017,Total male deer,284582,number,Number of deer
2017,Total female deer,551792,number,Number of deer
2017,Total Deer,836337,number,Number of deer
2017,Wheat (area harvested),41075,number,Hectares
2017,Wheat (yield),405182,number,Tonnes
2017,Oats (yield),34983,number,Tonnes
2017,Barley (yield),297599,number,Tonnes
2017,Maize (yield),175586,number,Tonnes
2017,Barley (area harvested),41967,number,Hectares
2017,Walnuts,455,number,Hectares
2017,Chestnuts,86,number,Hectares
2017,Macadamias,140,number,Hectares
2017,Hectares effluent sprayed over,518091,number,Hectares
2017,Lime,1043095,number,Tonnes
2017,Urea,597492,number,Tonnes
2017,Ammonia Sulphate,86652,number,Tonnes
2017,Diammonium Phosphate (DAP),190701,number,Tonnes
2017,Total All Fertilisers,2121434,number,Tonnes
2017,Potatoes,9450,number,Hectares
2017,Fawns born (during the year ended 30 June),313212,number,Number of deer
2017,Velvet harvested (green weight),430362,number,Kilograms
2017,Male deer (2 yrs and over),105808,number,Number of deer
2017,Male deer (under 2 yrs),178774,number,Number of deer
2017,Female deer mated since 30 June last year,392289,number,Number of deer
2017,Other female deer,159503,number,Number of deer
2017,Eggs from hens,93021127,number,Dozens
2017,Chickens for meat production/broilers,18252187,number,Number of chickens
2017,All other poultry,1937633,number,Number of poultry
2017,Total poultry,23965292,number,Number of poultry
2017,Mean average number of broilers on the farm,12063013,number,Number of chickens
2017,Horses,43684,number,Number of horses
2017,Other livestock,2703,number,Number of livestock
2017,Alpacas and Llamas,9649,number,Number of alpacas and llamas
2017,Hens for Egg Production,3775472,number,Number of chickens
2017,Sweetcorn,3871,number,Hectares
2017,"Tomatoes, outdoor",408,number,Hectares
2017,Asparagus,744,number,Hectares
2017,"Beans, Green",630,number,Hectares
2017,Broccoli,2082,number,Hectares
2017,Cabbage,804,number,Hectares
2017,Cauliflower,746,number,Hectares
2017,Lettuce,1532,number,Hectares
2017,Onions,6009,number,Hectares
2017,Peas,4075,number,Hectares
2017,Squash,5794,number,Hectares
2017,"Tomatoes, indoor",838860,number,Square metres
2017,Cucumbers,212555,number,Square metres
2017,Capsicum/Peppers,609284,number,Square metres
2017,Mushrooms,84204,number,Square metres
2017,Olives (net area planted),921,number,Hectares
2017,Boysenberries,455,number,Hectares
2017,Blackcurrants,1158,number,Hectares
2017,Blueberries,624,number,Hectares
2017,Wine grapes,33981,number,Hectares
2017,Apples,8615,number,Hectares
2017,Pears (excluding Asian Pears),372,number,Hectares
2017,Peaches,374,number,Hectares
2017,Apricots,445,number,Hectares
2017,Plums,290,number,Hectares
2017,Nectarines,305,number,Hectares
2017,Cherries,726,number,Hectares
2017,Kiwifruit,11705,number,Hectares
2017,Avocados,3979,number,Hectares
2017,Feijoas,181,number,Hectares
2017,Tamarillos,94,number,Hectares
2017,Passionfruit,23,number,Hectares
2017,Persimmons,138,number,Hectares
2017,Oranges,584,number,Hectares
2017,Grapefruit/Goldfruit,30,number,Hectares
2017,Lemons,340,number,Hectares
2017,Mandarins,708,number,Hectares
2017,Tangelos,38,number,Hectares
2017,Strawberries,205,number,Hectares
2017,Raspberries,92,number,Hectares
2018,Grassland,7548948,number,Hectares
2018,Number of Farm Holdings,50739,number,Number of farm holdings
2018,Tussock or Danthonia,2360315,number,Hectares
2018,"Crops, Grain, Nursery, Vegetables and Fruit",637928,number,Hectares
2018,Land used for horticulture,133884,number,Hectares
2018,Plantations of Exotic Trees,1568960,number,Hectares
2018,Total Area of Farms,13724504,number,Hectares
2018,New Area Planted in Production Forest,8293,number,Hectares
2018,Area Replanted in Production Forest,42984,number,Hectares
2018,Area of Exotic Timber Harvested in hectares,62103,number,Hectares
2018,Area of Exotic Timber Harvested in cubic metres,30225292,number,Cubic metres
2018,Dairy Cows and Heifers - not in Milk or Calf,393144,number,Number of cattle
2018,Rising 1 Year Old Dairy Heifers and Calves,902085,number,Number of cattle
2018,"Dairy Cows and Heifers, in Milk or Calf",5010334,number,Number of cattle
2018,Total Dairy Cattle (including Bobby Calves),6385541,number,Number of cattle
2018,Rising 1 Year Old Dairy Heifers and Heifer Calves,852208,number,Number of cattle
2018,Dairy Bulls intended for Breeding,79983,number,Number of cattle
2018,Calves Born Alive to Dairy Heifers/Cows,4455952,number,Number of cattle
2018,Beef non-breeding bulls (under 1 year),291159,number,Number of cattle
2018,"Beef Cows and Heifers, Bred from",1029149,number,Number of cattle
2018,"Beef Heifer Calves, under 1 Year Old",487458,number,Number of cattle
2018,Calves Born Alive to Beef Heifers/Cows,839777,number,Number of cattle
2018,Total Beef Cattle,3721262,number,Number of cattle
2018,Beef Breeding Bulls,85992,number,Number of cattle
2018,"Steers, 2 years old and over",201654,number,Number of cattle
2018,"Steers, 1-2 years old",405034,number,Number of cattle
2018,"Steer Calves, under 1 year",414159,number,Number of cattle
2018,Beef cows and heifers (in calf) 2yrs and over,862696,number,Number of cattle
2018,Beef cows and heifers (in calf) 1-2yrs old,166453,number,Number of cattle
2018,Beef cows and heifers (not in calf) 2yrs and over,129108,number,Number of cattle
2018,Beef cows and heifers (not in calf) 1-2yrs old,301425,number,Number of cattle
2018,Beef non-breeding bulls 2yrs and over,104000,number,Number of cattle
2018,Beef non-breeding bulls 1-2yrs old,272117,number,Number of cattle
2018,"Breeding Sows, over 1 Year Old",27450,number,Number of pigs
2018,Other Pigs,254720,number,Number of pigs
2018,Total Pigs,287051,number,Number of pigs
2018,Mated Gilts,4881,number,Number of pigs
2018,Piglets weaned on the farm during the year,645937,number,Number of pigs
2018,Breeding Ewes 2 Tooth and Over put to Ram,17161744,number,Number of sheep
2018,Breeding Ewes 2 Tooth and Over not put to Ram,379309,number,Number of sheep
2018,Rams 2 Tooth and Over,274231,number,Number of sheep
2018,Ewe Hoggets put to Ram,2018126,number,Number of sheep
2018,Ewe Hoggets not put to Ram,4264600,number,Number of sheep
2018,Wethers 2 Tooth and Over,245697,number,Number of sheep
2018,Total Sheep,27295749,number,Number of sheep
