call_sign,frequency,city,licensee,format,state
KCOL-FM,92.5 FM,Groves,"iHM Licenses, LLC",Classic hits,Texas
KCOM,1550 AM,Comanche,Villecom LLC,Classic country,Texas
KCOT,96.3 FM,Cotulla,First FM Cotulla LLC,Regional Mexican,Texas
KCOX,1350 AM,Jasper,"Cross Texas Media, Inc.",News/Talk,Texas
KCPH-LP,99.5 FM,Corpus Christi,South Corpus Christi Hispanic Education Family Fundation,NA,Texas
KCRS,550 AM,Midland,"ICA Radio, Ltd.",News/Talk,Texas
KCRS-FM,103.3 FM,Midland,"ICA Radio, Ltd.",Top 40 (CHR),Texas
KCSA-LP,97.1 FM,San Angelo,"Concho Christmas Celebration, Inc.",Oldies,Texas
KCTA,1030 AM,Corpus Christi,Broadcasting Corporation of the Southwest,Christian talk,Texas
KCTC-LP,98.1 FM,San Antonio,Omega Christian Communications,Spanish religious,Texas
KCTI,1450 AM,Gonzales,Texas Public Radio,Public radio,Texas
KCTI-FM,88.1 FM,Gonzales,Sun Radio Foundation,Americana,Texas
KCTX,1510 AM,Childress,"James G. Boles, Jr.",Hot adult contemporary,Texas
KCTX-FM,96.1 FM,Childress,"James G. Boles, Jr.",Country,Texas
KCUN-LP,104.1 FM,Livingston,HGN Music & Education Foundation,Urban/Hip-Hop,Texas
KCUS-LP,94.9 FM,Pittsburg,Owl Learning Center,Variety,Texas
KCVE-LP,107.3 FM,Conroe,Centro Cristiana de Vida Eterna Conroe Texas,Silent,Texas
KCWM,1460 AM,Hondo,"Hondo Communications, Inc.",Country,Texas
KCXX,103.9 FM,Comanche,"William W. McCutchen, III",Classic hits,Texas
KCYB-LP,103.5 FM,Cypress,Cypress Broadcasting Club,Variety,Texas
KCYL,1450 AM,Lampasas,Ronald K. Witcher,News/Talk,Texas
KCYP-LP,97.7 FM,Mission,Intercity Christian Youth Program,Contemporary Christian,Texas
KCYR-LP,101.5 FM,Kerrville,Trinity Baptist Church,Contemporary Christian,Texas
KCYY,100.3 FM,San Antonio,"CMG NY/Texas Radio, LLC",Country,Texas
KCZN-LP,105.9 FM,McAllen,Calvary Chapel McAllen Metro,Religious Teaching,Texas
KCZO,92.1 FM,Carrizo Springs,Paulino Bernal Evangelism,Spanish religious,Texas
KDAE,1590 AM,Sinton,The Worship Center of Kingsville,Spanish religious,Texas
KDAV,1590 AM,Lubbock,"High Plains Radio Network, Inc.",Regional Mexican,Texas
KDCD,92.9 FM,San Angelo,"Four R Broadcasting, Inc.",Country,Texas
KDCJ,91.5 FM,Kermit,La Promesa Foundation,Catholic,Texas
KDDD,800 AM,Dumas,"Highway 64 Radio, LLC",Oldies,Texas
KDDD-FM,95.3 FM,Dumas,"Highway 64 Radio, LLC",Classic country,Texas
KDDM,100.5 FM,Mount Vernon,"North Texas Radio Group, L.P.",Silent,Texas
KDEI,1250 AM,Port Arthur,"Radio Maria, Inc.",Catholic,Texas
KDER,99.3 FM,Comstock,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KDET,930 AM,Center,"Center Broadcasting Company, Inc.",News?Talk,Texas
KDFM,103.3 FM,Falfurrias,Cantico Nuevo Ministry Inc,Spanish,Texas
KDFT,540 AM,Ferris,"Way Broadcasting Licensee, LLC",Spanish religious,Texas
KDGE,102.1 FM,Fort Worth-Dallas,"iHM Licenses, LLC",Adult contemporary,Texas
KDHN,1470 AM,Dimmitt,Nancy B. Malone d/b/a ELB Broadcasting,Country,Texas
KDJW,1010 AM,Amarillo,Catholic Radio of the Texas High Plains,Catholic,Texas
KDKR,91.3 FM,Decatur,"Penfold Communications, Inc.",Christian,Texas
KDKY,91.5 FM,Marathon,Marfa Public Radio,Public radio,Texas
KDLI,89.9 FM,Del Rio,American Family Association,Inspirational (AFR),Texas
KDLK-FM,94.1 FM,Del Rio,Suday Investment Group Inc,Country,Texas
KDMI-LP,97.5 FM,Canton,St. Therese Catholic Church,Catholic,Texas
KDMX,102.9 FM,Dallas,"iHM Licenses, LLC",Hot adult contemporary,Texas
KDNT,94.5 FM,Oakwood,"North Texas Radio Group, L.P.",Top 40 (CHR)/Modern adult contemporary,Texas
KDNZ,97.3 FM,Pecos,"Route 66 Media, LLC",Classic country,Texas
KDOK,1240 AM,Kilgore,"Chalk Hill Communications, LLC",Classic hits,Texas
KDOL-LP,96.1 FM,Livingston,Lake Livingston Broadcasting,Variety,Texas
KDPM,92.3 FM,Marshall,92.3 The Depot LLC,Silent,Texas
KDRL,103.3 FM,Pampa,"Pampa Broadcasters, Inc.",Classic rock,Texas
KDRN,1230 AM,Del Rio,Suday Investment Group Inc,Spanish variety,Texas
KDRP-LP,103.1 FM,Dripping Springs,"Principle Broadcasting Foundation, Inc.",Americana,Texas
KDRX,106.9 FM,Laughlin AFB,MBM Radio Del Rio LLC,Country/Tejano,Texas
KDRY,1100 AM,Alamo Heights,"KDRY Radio, Inc.",Christian Teaching & Preaching,Texas
KDVP-LP,99.9 FM,Denton,Iglesia Fuente de Luz Inc.,Spanish religious,Texas
KDVY,93.5 FM,Crockett,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KFZO,99.1 FM,Denton,"Univision Radio San Francisco, Inc.",Regional Mexican,Texas
KEAN-FM,105.1 FM,Abilene,"Townsquare License, LLC",Country,Texas
KEBE,1400 AM,Jacksonville,"Chisolm Trail Communications, LLC",Silent,Texas
KEBE-FM,95.1 FM,Jacksonville,"North Texas Radio Group, L.P.",Classic hits,Texas
KEDA,1540 AM,San Antonio,"Claro Communications, Ltd.",Tejano and Conjunto,Texas
KEDC,88.5 FM,Hearne,Red-C Apostolate: Religious Education for the Domestic Church,Catholic,Texas
KEDT-FM,90.3 FM,Corpus Christi,"South Texas Public Broadcasting System, Inc.",Public radio,Texas
KEDV,90.3 FM,Brackettville,Christian Ministries of the Valley,Spanish religious,Texas
KEEP,103.1 FM,Bandera,"Hill Country Broadcasting, LLC",Country (KNAF-FM),Texas
KEES,1430 AM,Gladewater,La Promesa Foundation,Urban gospel,Texas
KEFH,99.3 FM,Clarendon,"Davis Broadcast Co., Inc.",Classic hits,Texas
KEFW-LP,102.5 FM,Fort Worth,North Fort Worth Hispanic Community Church,Spanish religious,Texas
KEGL,97.1 FM,Fort Worth,"iHM Licenses, LLC",Mainstream rock,Texas
KEHH,92.3 FM,Livingston,"KSBJ Educational Foundation, Inc.",Contemporary Christian,Texas
KEHM,99.3 FM,Colorado City,Hispanic Target Media Inc.,Regional Mexican,Texas
KEJC-LP,104.1 FM,Dallas,"Templo de Dios, Org. 2",Spanish religious,Texas
KEKO,101.7 FM,Hebbronville,La Nueva Cadena Radio Luz Incorporated,Spanish Christian,Texas
KEKR,1590 AM,Mexia,"M&M Broadcasters, Ltd.",Classic country,Texas
KELG,1440 AM,Manor,"Encino Broadcasting, LLC",Spanish Christian,Texas
KELI,98.7 FM,San Angelo,"Townsquare License, LLC",Top 40 (CHR),Texas
KELP,1590 AM,El Paso,"McClatchey Broadcasting, Inc.",Christian,Texas
KELT,102.5 FM,Encinal,Randall E. Leyendecker,Contemporary Christian,Texas
KEMA,94.5 FM,Three Rivers,"S Content Marketing, LLC",Country,Texas
KEOM,88.5 FM,Mesquite,Mesquite Independent School District,Classic hits,Texas
KEON,94.9 FM,Ganado,"S Content Marketing, LLC",Country,Texas
KEOS,89.1 FM,College Station,Brazos Educational Radio,Public radio,Texas
KEPH-LP,95.3 FM,Friendswood,Calvary Chapel Southeast Houston,Religious Teaching,Texas
KEPI,88.7 FM,Eagle Pass,"World Radio Network, Inc.",Spanish religious,Texas
KEPJ-LP,101.5 FM,San Antonio,Esperanza Peace and Justice Center,Spanish talk,Texas
KEPS,1270 AM,Eagle Pass,"South Texas Radio, LLC",Silent,Texas
KEPX,89.5 FM,Eagle Pass,"World Radio Network, Inc.",Spanish religious,Texas
KEQX,89.5 FM,Stephenville,CSSI Non-Profit Educational Broadcasting Corporation,Classic country,Texas
KERA,90.1 FM,Dallas,"North Texas Public Broadcasting, Inc.",Public radio,Texas
KERC-LP,95.3 FM,Kermit,Holy Spirit Oil Filled Ministry,Spanish religious,Texas
KERG,104.7 FM,Escobares,"Christian Ministries of the Valley, Inc.",Spanish religious,Texas
KERV,1230 AM,Kerrville,"Jam Broadcasting, LLC",Contemporary Christian,Texas
KESO,92.7 FM,South Padre Island,MBM Texas Valley LLC,Classic hits,Texas
KESS-FM,107.1 FM,Benbrook,Tichenor License Corporation,CHR/Latin Pop (KDXX),Texas
KETE,99.7 FM,Sulphur Bluff,"Brazos TV, Inc.,",Christian,Texas
KETR,88.9 FM,Commerce,Texas A&M University – Commerce,Public radio,Texas
KETX,1440 AM,Livingston,Ken Luck,Classic rock,Texas
KEWL-FM,95.1 FM,New Boston,American Media Investments Inc.,90's Alternative,Texas
KEWP,103.5 FM,Uvalde Estates,La Nueva FM Uvalde LLC,Regional Mexican,Texas
KEWT-LP,99.1 FM,Weslaco,La Primera Asamblea de Dios,Spanish religious,Texas
KEXB,1440 AM,University Park,"Relevant Radio, Inc.",Catholic,Texas
KEYE,1400 AM,Perryton,"Perryton Radio, Inc",Country,Texas
KEYE-FM,93.7 FM,Perryton,"Perryton Radio, Inc.",Adult contemporary,Texas
KEYH,850 AM,Houston,Estrella Radio License of Houston LLC,Regional Mexican,Texas
KEYJ-FM,107.9 FM,Abilene,"Townsquare License, LLC",Mainstream rock,Texas
KEYS,1440 AM,Corpus Christi,"Malkan Interactive Communications, LLC",News/Talk,Texas
KFAH,99.1 FM,Pineland,James M Lout,Adult contemporary,Texas
KFAN-FM,107.9 FM,Johnson City,"Hill Country Broadcasting, LLC",Adult album alternative,Texas
KFCC-LP,97.9 FM,Mission,"El Divino Redentor de Las Asambleas de Dios, Inc.",Spanish religious,Texas
KFCD,990 AM,Farmersville,"Farmersville Investments, LLC",Spanish religious,Texas
KFCE-LP,95.5 FM,Wills Point,FACE Creative Education Inc,Variety,Texas
KFGG-LP,101.9 FM,Marble Falls,Rockpile Church,Contemporary Christian,Texas
KFIT,1490 AM,Austin,"Township Media, LLC",Americana,Texas
KFJZ,870 AM,Fort Worth,Siga Broadcasting Corporation,Business News/Talk,Texas
KFLB,920 AM,Odessa,Family Life Broadcasting System,Christian,Texas
KFLB-FM,88.1 FM,Stanton,"Family Life Broadcast, Inc",Christian,Texas
KFLC,1270 AM,Benbrook,"Univision Radio San Francisco, Inc.",Spanish sports,Texas
KFLP,900 AM,Floydada,Anthony L. Ricketts,Texas country,Texas
KFLP-FM,106.1 FM,Floydada,Anthony L. Ricketts,Texas country,Texas
KFMK,105.9 FM,Round Rock,Educational Media Foundation,Contemporary Christian,Texas
KFMX-FM,94.5 FM,Lubbock,"Townsquare License, LLC",Mainstream rock,Texas
KFNC,97.5 FM,Mont Belvieu,"Gow Media, LLC",Sports,Texas
KFON,93.9 FM,Groveton,Katherine Pyeatt,Silent,Texas
KFRI,88.7 FM,West Odessa,Educational Media Foundation,Contemporary worship (Air1),Texas
KFRO,1370 AM,Longview,"RCA Broadcasting, LLC",Oldies,Texas
KFRQ,94.5 FM,Harlingen,"Entravision Holdings, LLC",Classic rock,Texas
KFST,860 AM,Fort Stockton,"Fort Stockton Radio Co, Inc.",Soft adult contemporary,Texas
KFST-FM,94.3 FM,Fort Stockton,"Fort Stockton Radio Co, Inc.",Country,Texas
KFTG,88.1 FM,Pasadena,Aleluya Broadcasting Network,Spanish religious,Texas
KFTX,97.5 FM,Kingsville,Quality Broadcasting Corporation,Country,Texas
KFWR,95.9 FM,Jacksboro,"LKCM Radio Licenses, L.P.",Texas country,Texas
KFXE,96.5 FM,Ingram,"Radio Ranch, LLC",Country,Texas
KFXR,1190 AM,Dallas,"iHM Licenses, LLC",Talk,Texas
KFYN,1420 AM,Bonham,"Vision Media Group, Inc.",Classic hits,Texas
KFYN-FM,104.3 FM,Detroit,"Vision Media Group, Inc.",Country/Red Dirt,Texas
KFYO,790 AM,Lubbock,"Townsquare License, LLC",News/Talk,Texas
KDXX,107.9 FM,Lewisville,"Univision Radio San Francisco, Inc.",Spanish CHR,Texas
KFZX,102.1 FM,Gardendale,"ICA Radio, Ltd.",Classic rock,Texas
KGAF,1580 AM,Gainesville,"First IV Media, Inc.",Talk/Gold based AC,Texas
KGAS,1590 AM,Carthage,"Hanszen Broadcasting, Inc.",Sports,Texas
KGAS-FM,104.3 FM,Carthage,"Hanszen Broadcasting, Inc.",Country,Texas
KGBC,1540 AM,Galveston,Siga Broadcasting Corporation,Liberal talk,Texas
KGBT,1530 AM,Harlingen,Tichenor License Corporation,Spanish sports,Texas
KGBT-FM,98.5 FM,McAllen,Tichenor License Corporation,Regional Mexican,Texas
KGBV,90.7 FM,Hardin,"Best Media, Inc.",NA,Texas
KGDL,92.1 FM,Trent,CSN International,Religious,Texas
KGDQ-LP,96.5 FM,McAllen,South McAllen Hispanic Education Family Foundation,Silent,Texas
KGFZ,97.7 FM,Burke,Educational Radio Foundation of East Texas,Urban contemporary,Texas
KGGB,96.3 FM,Yorktown,Gerald Benavides,Regional Mexican,Texas
KGGR,1040 AM,Dallas,"MBC of Texas-KGGR, Inc.",Urban gospel,Texas
KGHY,88.5 FM,Beaumont,"CCS Radio, Inc.",Southern gospel,Texas
KGID,96.3 FM,Giddings,KGID Inc.,Classic country,Texas
KGKL,960 AM,San Angelo,"Townsquare License, LLC",Sports,Texas
KGKL-FM,97.5 FM,San Angelo,"Townsquare License, LLC",Country,Texas
KGKV,88.1 FM,Doss,Educational Media Foundation,Contemporary Christian (K-Love),Texas
KGLD,1330 AM,Tyler,"Salt of the Earth Broadcasting, Inc.",Gospel,Texas
KGLK,107.5 FM,Lake Jackson,"CMG NY/Texas Radio, LLC",Classic rock (Simulcast KHPT 106.9),Texas
KGLY,91.3 FM,Tyler,"Educational Radio Foundation of East Texas, Inc.",Christian,Texas
KGNB,1420 AM,New Braunfels,"New Braunfels Communications, Inc.",Country,Texas
KGNC,710 AM,Amarillo,Alpha Media Licensee LLC,News/Talk/Sports,Texas
KGNC-FM,97.9 FM,Amarillo,Alpha Media Licensee LLC,Country,Texas
KGNZ,88.1 FM,Abilene,"Christian Broadcasting Co., Inc.",Contemporary Christian,Texas
KGOD-LP,94.1 FM,Tenaha,International Missionary Fellowship Inc. (IMF),Bible Reading,Texas
KGOL,1180 AM,Humble,"Entravision Holdings, LLC",Spanish adult contemporary,Texas
KGOW,1560 AM,Bellaire,"Gow Media, LLC",Vietnamese,Texas
KGPF,91.1 FM,Sulphur Springs,Templo de Dios Inc. 1,Spanish Catholic,Texas
KGPJ-LP,92.9 FM,Grand Prairie,Ministerio Por Gracia de Dios,Spanish religious,Texas
KGQD-LP,102.7 FM,Kermit,Kermit Radio Academy,Religious Teaching,Texas
KGRO,1230 AM,Pampa,"Pampa Broadcasters, Inc.",Adult contemporary,Texas
KGRW,94.7 FM,Friona,"HPRN Networks, LLP",Classic country,Texas
KGSR,93.3 FM,Cedar Park,"Waterloo Media Group, L.P.",Hot adult contemporary,Texas
KGTN-LP,106.7 FM,Georgetown,Power Radio Corporation,Variety,Texas
KGVB,90.9 FM,Holliday,South Central Oklahoma Christian Broadcasting Inc,Gospel,Texas
KGVL,1400 AM,Greenville,"E Radio Network, LLC",Classic hits/Soft AC,Texas
KGWB,91.1 FM,Snyder,Scurry County Junior College District,College radio,Texas
KGWP,91.1 FM,Pittsburg,"Andres Serranos Ministries, Inc.",Spanish religious,Texas
KGWT,93.5 FM,George West,Hispanic Target Media Inc.,Regional Mexican,Texas
KGWU,1400 AM,Uvalde,La Promesa Foundation,Catholic,Texas
KGXG-LP,99.3 FM,Victoria,South Victoria Hispanic Education Family Fundation,Silent,Texas
KHAV,107.1 FM,Sabinal,35 Communications LLC,Regional Mexican,Texas
KHBE,102.1 FM,Big Wells,Organizacion ICC,Spanish religious,Texas
KHBR,1560 AM,Hillsboro,"KHBR Radio, Inc.",Country,Texas
KHBW,91.7 FM,Brownwood,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHCB,1400 AM,League City,"Houston Christian Broadcasters, Inc.",Christian,Texas
KHCB-FM,105.7 FM,Houston,"Houston Christian Broadcasters, Inc.",Christian,Texas
KHCH,1410 AM,Huntsville,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHCJ,91.9 FM,Jefferson,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHCP,89.3 FM,Paris,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHCU,93.1 FM,Concan,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHDY,1350 AM,Clarksville,American Media Investments Inc.,Classic country,Texas
KHDY-FM,98.5 FM,Clarksville,American Media Investments Inc.,Classic country,Texas
KHEA-LP,99.5 FM,La Marque,Abundant Life Christian Center of Lamarque Inc,Religious Teaching,Texas
KHEM,89.3 FM,Zapata,"Radio Bilingue, Inc.",Spanish talk,Texas
KHER,94.3 FM,Crystal City,Sylvia Mijares,Tejano,Texas
KHEY,1380 AM,El Paso,"iHM Licenses, LLC",Sports,Texas
KHEY-FM,96.3 FM,El Paso,"iHM Licenses, LLC",Country,Texas
KHFI-FM,96.7 FM,Georgetown,"iHM Licenses, LLC",Top 40 (CHR),Texas
KHFN-LP,105.5 FM,Nazareth,Holy Family Parish Radio Committee,Catholic,Texas
KHFX,1140 AM,Cleburne,Siga Broadcasting Corp,Spanish Christian,Texas
KHFZ,103.1 FM,Pittsburg,"Educational Radio Foundation of East Texas, Inc.",Regional Mexican,Texas
KHGF-LP,92.5 FM,Houston,Fundacion Arte Catolico Christiano,Spanish religious,Texas
KHGV-LP,99.7 FM,Houston,"Garden Villas Community Association, Inc.",Variety,Texas
KHIA-LP,97.7 FM,Brundage,He's Alive,Religious Teaching,Texas
KHIB,88.5 FM,Bastrop,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHID,88.1 FM,McAllen,"Relevant Radio, Inc.",Spanish Catholic,Texas
KHIH,99.9 FM,Liberty,"KSBJ Educational Foundation, Inc.",Contemporary Christian,Texas
KHJK,103.7 FM,La Porte,Educational Media Foundation,Contemporary worship (Air1),Texas
KHJS-LP,99.1 FM,San Antonio,Escuela Radial JS,Spanish hits,Texas
KHKS,106.1 FM,Denton,"iHM Licenses, LLC",Top 40 (CHR),Texas
KHKV,91.1 FM,Kerrville,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHKX,99.1 FM,Odessa,"Brazos Communications West, LLC",Country,Texas
KHKZ,106.3 FM,San Benito,"iHM Licenses, LLC",Top 40 (CHR),Texas
KHLB,102.5 FM,Mason,"Star Point Broadcasting, LLC",Country,Texas
KHLK,104.3 FM,Brownfield,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHMC,95.9 FM,Goliad,Minerva R. Lopez,Tejano,Texas
KHML,91.5 FM,Madisonville,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHMR,104.3 FM,Lovelady,KM Radio of Lovelady LLC,Contemporary Christian,Texas
KHMX,96.5 FM,Houston,"Audacy License, LLC",Hot adult contemporary,Texas
KHMZ,94.9 FM,Snyder,Hispanic Target Media Inc.,Regional Mexican,Texas
KHNZ,101.3 FM,Lefors,"Route 66 Media, LLC",NA,Texas
KHOS-FM,92.1 FM,Sonora,Tenn-Vol Corp.,Classic country,Texas
KHOY,88.1 FM,Laredo,"Laredo Catholic Communications, Inc.",Easy listening,Texas
KHPO,91.9 FM,Port O'Connor,"Houston Christian Broadcasters, Inc.",Christian,Texas
KHPS,88.9 FM,Uvalde,"Houston Christian Broadcasters, Inc.",Religious,Texas
KHPT,106.9 FM,Conroe,"CMG NY/Texas Radio, LLC",Classic rock (Simulcast 107.5 KGLK),Texas
KHQR-LP,99.9 FM,Harlingen,Prayer Well Educational Association,Religious Teaching,Texas
KHRO,1150 AM,El Paso,"Entravision Holdings, LLC",Classic hits/Classic rock (KOFX),Texas
KHSB-FM,104.7 FM,Kingsland,"Munbilla Broadcasting Properties, Ltd.",Religious,Texas
KHSE,700 AM,Wylie,"Texas FM Radio, LLC",South Asian,Texas
KHSX-LP,101.5 FM,Houston,"His Sanctuary Ministries USA International, Inc.",Variety,Texas
KHTA,92.5 FM,Wake Village,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHTW,1300 AM,Lumberton,Carlos Lopez,Tejano,Texas
KHVL,1490 AM,Huntsville,"HEH Communications, LLC",Classic hits,Texas
KHVN,970 AM,Fort Worth,"iHM Licenses, LLC",Black-oriented news,Texas
KHVT,91.5 FM,Bloomington,"Houston Christian Broadcasters, Inc.",Christian (KHCB-FM),Texas
KHVU,91.7 FM,Houston,"KSBJ Educational Foundation, Inc.",Spanish Christian adult contemporary,Texas
KHXS,102.7 FM,Merkel,Cumulus Licensing LLC,Classic rock,Texas
KHYI,95.3 FM,Howe,"Metro Broadcasters – Texas, Inc.",Country/Americana,Texas
KIBL,1490 AM,Beeville,"Rufus Resources, LLC",Classic country,Texas
KIBQ,105.9 FM,Austwell,"Rufus Resources, LLC",Classic country,Texas
KICA-FM,98.3 FM,Farwell,"HPRN Networks, LLP",Silent,Texas
KIDC-LP,94.1 FM,Odessa,"Iglesia del Camino, La Verdad, y La Vida, Inc.",Spanish religious,Texas
KIEI-LP,101.5 FM,San Antonio,"Lighthouse Network, Inc.",Gospel,Texas
KIIZ-FM,92.3 FM,Killeen,"iHM Licenses, LLC",Urban contemporary,Texas
KIJN,1060 AM,Farwell,"Unido Para Cristo, Inc.",Religious,Texas
KIJN-FM,92.3 FM,Farwell,"Top O' Texas Educational Broadcasting Foundation, Inc.",Religious,Texas
KIKK,650 AM,Pasadena,"Audacy License, LLC",Sports gambling,Texas
KIKR,1450 AM,Beaumont,Cumulus Licensing LLC,Sports (Simulcast KBED),Texas
KIKT,93.5 FM,Cooper,"E Radio Network, LLC",Country,Texas
KIKZ,1250 AM,Seminole,"Gaines County Broadcasting, LTD.",Adult contemporary,Texas
KILT,610 AM,Houston,"Audacy License, LLC",Sports,Texas
KILT-FM,100.3 FM,Houston,"Audacy License, LLC",Country,Texas
KIMP,960 AM,Mount Pleasant,"East Texas Broadcasting, Inc.",Regional Mexican,Texas
KINE,1330 AM,Kingsville,Cotton Broadcasting,Spanish religious,Texas
KINF-LP,107.9 FM,Palestine,Sacred Heart Catholic Church Parish Council,Catholic,Texas
KINL,92.7 FM,Eagle Pass,Moises Abraham Gonzalez,Silent,Texas
KINT-FM,93.9 FM,El Paso,"Entravision Holdings, LLC",Spanish adult hits,Texas
KIOC,106.1 FM,Orange,"iHM Licenses, LLC",Active rock,Texas
KIOX-FM,96.1 FM,Edna,"Globecom Media, LLC",Country,Texas
KIRP-LP,96.1 FM,Sugar Land,Positive Broadcasting Company,Spanish Tropical,Texas
KIRT,1580 AM,Mission,"Bravo Broadcasting Company, Inc.",Spanish religious,Texas
KISS-FM,99.5 FM,San Antonio,"CMG NY/Texas Radio, LLC",Active rock,Texas
KISX,107.3 FM,Whitehouse,"Townsquare License, LLC",Urban adult contemporary,Texas
KISY,92.7 FM,Blossom,Tracy McCutchen,Top 40/CHR,Texas
KITE,1410 AM,Victoria,"Victoria Radioworks, LLC",Classic hits,Texas
KITT,106.5 FM,Meridian,Chisholm Trail Communications LLC,Classic hits,Texas
KITY,102.9 FM,Llano,Bryan A. King,Oldies,Texas
KIUN,1400 AM,Pecos,"Pecos Radio Co., Inc.",Country,Texas
KIVM,91.1 FM,Fredericksburg,La Promesa Foundation,Catholic,Texas
KIVY,1290 AM,Crockett,Leon Hunt,Adult standards,Texas
KIVY-FM,92.7 FM,Crockett,Leon Hunt,Country,Texas
KIXL,970 AM,Del Valle,"Relevant Radio, Inc.",Catholic,Texas
KIXS,107.9 FM,Victoria,"Townsquare License, LLC",Country,Texas
KIXT,106.7 FM,Hewitt,"Prophecy Media Group, LLC",Classic rock,Texas
KIXV,91.5 FM,Muleshoe,New Path Communications,NA,Texas
KIXY-FM,94.7 FM,San Angelo,"Foster Communications Company, Inc.",Top 40 (CHR),Texas
KIXZ,940 AM,Amarillo,"Townsquare License, LLC",News/Talk,Texas
KJAG,107.7 FM,Guthrie,"Route 66 Media, LLC",Country,Texas
KJAP-LP,97.3 FM,Edinburg,Edingburg Templo Biblico Palabra Vieiente,Spanish religious,Texas
KJAS,107.3 FM,Jasper,"James M. Lout dba Rayburn Broadcasting, Inc.",Adult contemporary,Texas
KJAV,104.9 FM,Alamo,"Bi-Media Licensee, LLC",Spanish AC/CHR,Texas
KJAZ,94.1 FM,Point Comfort,"S Content Marketing, LLC",Silent,Texas
KJBB-LP,94.7 FM,Brownsboro,Brownsboro Independent School District,Community radio,Texas
KJBZ,92.7 FM,Laredo,Encarnacion A. Guerra,Regional Mexican,Texas
KJCE,1370 AM,Rollingwood,"Audacy License, LLC",Talk,Texas
KJCS,103.3 FM,Nacogdoches,"Radio Licensing, Inc.",Country,Texas
KJDE,100.1 FM,Carbon,"Brazos TV, Inc.",Christian,Texas
KJDL-FM,105.3 FM,Levelland,"Christian Ministries of the Valley, Inc.",Spanish Christian,Texas
KJFI-LP,102.5 FM,Houston,Iglesia Mundial de Oracion Inc,Spanish religious,Texas
KJFK-FM,96.3 FM,Llano,"Township Media, LLC",NA,Texas
KJHJ-LP,102.5 FM,Conroe,Ministerio de Restauracion,Silent,Texas
KJHV-LP,96.3 FM,Killeen,Fish Net Media Inc.,Christian,Texas
KJIC,90.5 FM,Santa Fe,"Community Radio, Inc.",Country gospel,Texas
KJID-LP,92.5 FM,Tyler,Iglesia de Dios Jesucristo Manantiales de Vida,Spanish religious,Texas
KJIM,1500 AM,Sherman,"Bob Mark Allen Productions, Inc.",Adult standards,Texas
KJJB,95.3 FM,Eagle Lake,Centro Cristiano de Vida Eterna,Country,Texas
KJJF,88.9 FM,Harlingen,"Relevant Radio, Inc.",Spanish Catholic,Texas
KJJG-LP,92.5 FM,South Houston,Iglesia Centro de Liberacion,Spanish religious,Texas
KJJP,105.7 FM,Amarillo,"Kanza Society, Inc.",Public radio,Texas
KJJS,103.9 FM,Zapata,Hispanic Target Media Inc.,Regional Mexican,Texas
KJKB,106.7 FM,Early,"Waco Entertainment Group, LLC",Hot adult contemporary/Adult album alternative,Texas
KJKK,100.3 FM,Dallas,"Audacy License, LLC",Adult hits (Jack FM),Texas
KJLC-LP,98.3 FM,Crystal City,Centro de Milagros Congregation,Spanish religious,Texas
KJMA,89.7 FM,Floresville,La Promesa Foundation,Catholic,Texas
KJON,850 AM,Carrollton,"Chatham Hill Foundation, Inc.",Spanish Catholic,Texas
KJOZ,880 AM,Conroe,"Daij Media, LLC",Tropical,Texas
KJRN,88.3 FM,Keene,Southwestern Adventist University,Contemporary Christian,Texas
KJRT,88.3 FM,Amarillo,Top O' Texas Educational Broadcasting Foundation,Religious,Texas
KJTV,950 AM,Lubbock,"Ramar Communications, Inc.",Sports,Texas
KJTX,104.5 FM,Jefferson,"Wisdom Ministries, Inc.",Gospel,Texas
KJUK-LP,97.3 FM,Hooks,American Legion Post,R&B,Texas
KJVI,105.7 FM,Robert Lee,Ivan James,Adult contemporary,Texas
KJXK,102.7 FM,San Antonio,"Alpha Media Licensee, LLC",Adult hits (Jack FM),Texas
KJXP-LP,100.9 FM,Nacogdoches,St. Joseph's Catholic Men's Fellowship,Catholic,Texas
KJZX-LP,89.1 FM,Austin,Jazz ATX,Jazz,Texas
KKAM,1340 AM,Lubbock,"Townsquare License, LLC",News/Talk/Sports,Texas
KKBA,92.7 FM,Kingsville,"Malkan Interactive Communications, L.L.C.",Active rock,Texas
KKBQ,92.9 FM,Pasadena,"CMG NY/Texas Radio, LLC",Country,Texas
KKCL-FM,98.1 FM,Lorenzo,"Townsquare License, LLC",Classic hits,Texas
