subcategory,rank,year,name,show,affiliation,title
"Best Radio, Long Format",Nominee,2004,Linda West Eckhardt,NA,"The Food & Wine Radio Network, Tucson",I Know What You Ate Last Summer
Television Food Segment,Nominee,2004,Linda Corradina,NA,CBS,Martha Stewart Living
Best National Television Cooking Show,Winner,2004,Chris Warner,NA,PBS,Chefs A' Field: Culinary Adventures That Begin on the Farm
Best T.V. Food Journalism,Winner,2004,Charles Osgood,NA,CBS,"CBS News Sunday Morning: ""Eat, Drink and Be Merry"""
Best Local Television Cooking Show,Nominee,2004,Mary Babbitt,NA,"NBC11/KNTV, San Jose,CA",Wine Country Living Be A Winemaker
Best Local Television Cooking Show,Winner,2004,Nelson Howard,NA,"CLTV, Chicago",Good Eating
Best Local Television Cooking Show,Winner,2004,Steve Dolinsky,NA,"CLTV, Chicago",Good Eating
"Best Radio, Long Format",Winner,2004,A Matter of Taste,NA,"Universal Talk Network, San Francisco",A Matter of Taste
"Best Radio, Short Format",Nominee,2004,David Leveille,NA,"P.R.I., Chicago","P.R.I.'s ""The World"""
Television Food Segment,Nominee,2004,Karen Raffensperger,NA,CBS,CBS Evening News with Dan Rather
Best National Television Cooking Show,Nominee,2004,Martin Yan,NA,PBS,Martin Yan's Chinatown
Best Local Television Cooking Show,Nominee,2004,Robert Waggoner,NA,"Turner South, Atlanta",Off the Menu
Best Local Television Cooking Show,Nominee,2004,Wally C. Joe,NA,"Turner South, Atlanta",Off the Menu
Best National Television Cooking Show,Winner,2004,Heidi Hanson,NA,PBS,Chefs A' Field: Culinary Adventures That Begin on the Farm
Best T.V. Food Journalism,Nominee,2004,Joseph Levy,NA,Food Network,Into The Fire
Television Food Segment,Winner,2004,Martha A. Teichner,NA,CBS,"CBS News Sunday Morning: ""Head Table"""
Best T.V. Food Journalism,Nominee,2004,Mario Batali,NA,Food Network,Mario's Restaurant Rookies
Best National Television Cooking Show,Nominee,2004,Mario Batali,NA,Food Network,Ciao America with Mario Batali
Television Food Segment,Nominee,2004,Greta Anthony,NA,CBS,Martha Stewart Living
Best Local Television Cooking Show,Nominee,2004,Jennifer Wysocki,NA,"Turner South, Atlanta",Off the Menu
Television Food Segment,Nominee,2004,Martha Stewart,NA,CBS,Martha Stewart Living
Best National Television Cooking Show,Nominee,2004,Geoffrey Drummond,NA,PBS,Martin Yan's Chinatown
Best National Television Cooking Show,Nominee,2004,Anne-Sophie Brieger,NA,PBS,Martin Yan's Chinatown
Television Food Segment,Nominee,2004,Lucinda Scala Quinn,NA,CBS,Martha Stewart Living
"Best Radio, Short Format",Nominee,2004,Stuart Einer,NA,"CBC Radio One, Cobble Hill, British Columbia, Canada",Food for Thought
Best T.V. Food Journalism,Winner,2004,Rand Morrison,NA,CBS,"CBS News Sunday Morning: ""Eat, Drink and Be Merry"""
Television Food Segment,Winner,2004,Rand Morrison,NA,CBS,"CBS News Sunday Morning: ""Head Table"""
Television Food Segment,Nominee,2004,Mika Brzezinski,NA,CBS,CBS Evening News with Dan Rather
Best Local Television Cooking Show,Nominee,2004,John Parry,NA,"Turner South, Atlanta",Off the Menu
Best Local Television Cooking Show,Nominee,2004,Mary Orlin,NA,"NBC11/KNTV, San Jose,CA",Wine Country Living Be A Winemaker
"Best Radio, Long Format",Nominee,2004,Jennifer English,NA,"The Food & Wine Radio Network, Tucson",I Know What You Ate Last Summer
"Best Radio, Long Format",Winner,2004,David M. Cane,NA,"Universal Talk Network, San Francisco",A Matter of Taste
"Best Radio, Long Format",Winner,2004,Rachel Cane,NA,"Universal Talk Network, San Francisco",A Matter of Taste
"Best Radio, Long Format",Nominee,2004,Jim Coleman,NA,"WHYY-FM, Philadelphia",A Chef's Table: Food as Art
Best National Television Cooking Show,Nominee,2004,Nat Katzman,NA,PBS,Martin Yan's Chinatown
"Best Radio, Short Format",Nominee,2004,Don Genova,NA,"CBC Radio One, Cobble Hill, British Columbia, Canada",Food for Thought
Best National Television Cooking Show,Winner,2004,Chef's A'Field: Culinary Adventures That Begin on the Farm,NA,PBS,Chefs A' Field: Culinary Adventures That Begin on the Farm
Best National Television Cooking Show,Nominee,2004,Irene Wong,NA,Food Network,Ciao America with Mario Batali
Television Special,Winner,2003,Rachel Low,NA,Food Network,"Morimoto: RAW (Restaurateur, Artist, Warrior)"
"Best Radio, Short Format",Nominee,2003,Rocco Bonello,NA,"KCCO, Minneapolis",Great Tastes
"Best Radio, Long Format",Winner,2003,All Things Considered McDonald's: Fast Food and Animal Rights,NA,"NPR, Washington, DC",All Things Considered McDonald's: Fast Food and Animal Rights
"Best Radio, Short Format",Nominee,2003,Sue Zelickson,NA,"KCCO, Minneapolis",Great Tastes
"Best Radio, Short Format",Nominee,2003,Scott Haas,NA,"WBUR, Boston",Here and Now
Best Local Television Cooking Show,Nominee,2003,Heidi Hanson,NA,"KCTS-PBS, Seattle",Chefs A'Field: San Francisco
Best National Television Cooking Show,Winner,2003,Nick Versteeg,NA,Food Network,World Pastry Cup
Television Segment - National or Local,Winner,2003,Martha Stewart,NA,WCBS-NY,Martha Stewart Living TV
Best Local Television Cooking Show,Nominee,2003,Nelson Howard,NA,"CLTV, Chicago",Good Eating
Television Special,Nominee,2003,Nick Versteeg,NA,Food Network,Master Chefs - Test of a Lifetime
"Best Radio, Short Format",Nominee,2003,Judy McDermott,NA,"Food & Wine Radio Network, Tucson","Food & Wine Radio Network ""Short Snorts"""
"Best Radio, Short Format",Nominee,2003,Susie Jones,NA,"KCCO, Minneapolis",Great Tastes
Best Local Television Cooking Show,Nominee,2003,Chris Warner,NA,"KCTS-PBS, Seattle",Chefs A'Field: San Francisco
Best Local Television Cooking Show,Winner,2003,Great Wine Made Simple: Andrea Immer in Chile,NA,Maryland Public TV,Great Wine Made Simple: Andrea Immer in Chile
Television Segment - National or Local,Nominee,2003,Diane Sawyer,NA,"ABC, Network",Good Morning America
Television Segment - National or Local,Nominee,2003,Margo Baumgart,NA,"ABC, Network",Good Morning America
"Best Radio, Short Format",Nominee,2003,Jonathan Marston,NA,"WBUR, Boston",Here and Now
Television Special,Winner,2003,Masaharu Morimoto,NA,Food Network,"Morimoto: RAW (Restaurateur, Artist, Warrior)"
Best Local Television Cooking Show,Winner,2003,Charles Pinsky,NA,Maryland Public TV,Great Wine Made Simple: Andrea Immer in Chile
Best National Television Cooking Show,Nominee,2003,Nigella Lawson,NA,Style Network,Nigella Bites
"Best Radio, Short Format",Winner,2003,Steve Dolinsky,NA,"PRI, Chicago","P.R.I.'s ""The World"""
"Best Radio, Short Format",Winner,2003,David Leveille,NA,"PRI, Chicago","P.R.I.'s ""The World"""
Best National Television Cooking Show,Nominee,2003,Irene Wong,NA,Food Network,My Country My Kitchen Gascony
Best National Television Cooking Show,Nominee,2003,David Edgar,NA,Style Network,Nigella Bites
Television Special,Nominee,2003,Barry Gribbon,NA,Food Network,Extreme Cuisine: Food as Art
"Best Radio, Long Format",Winner,2003,Daniel Zwerdling,NA,"NPR, Washington, DC",All Things Considered McDonald's: Fast Food and Animal Rights
"Best Radio, Long Format",Nominee,2003,Michele Anna Jordan,NA,"KRCB-FM, Sebastopol","Mouthful, The Wine Country's Most Delicious Hour"
Best National Television Cooking Show,Nominee,2003,Ariane Daguin,NA,Food Network,My Country My Kitchen Gascony
Best National Television Cooking Show,Winner,2003,World Pastry Cup,NA,Food Network,World Pastry Cup
Television Special,Winner,2003,"Morimoto: RAW (Restaurateur, Artist, Warrior)",NA,Food Network,"Morimoto: RAW (Restaurateur, Artist, Warrior)"
"Best Radio, Short Format",Nominee,2003,Jennifer English,NA,"Food & Wine Radio Network, Tucson","Food & Wine Radio Network ""Short Snorts"""
Best Local Television Cooking Show,Nominee,2003,Steve Dolinsky,NA,"CLTV, Chicago",Good Eating
Television Segment - National or Local,Winner,2003,Mark Ski,NA,WCBS-NY,Martha Stewart Living TV
Television Segment - National or Local,Winner,2003,Greta Anthony,NA,WCBS-NY,Martha Stewart Living TV
Television Segment - National or Local,Nominee,2003,Barry Bernson,NA,"WHAS-TV, Louisville, KY","Foodieville, Kentucky"
Best Local Television Cooking Show,Winner,2003,Margaret Sullivan,NA,Maryland Public TV,Great Wine Made Simple: Andrea Immerin Chile
Best Local Television Cooking Show,Winner,2003,Andrea Immer Robinson,NA,Maryland Public TV,Great Wine Made Simple: Andrea Immerin Chile
"Best Radio, Long Format",Nominee,2003,Ed Levine,NA,"WNYC, New York City",Dish
Television Segment - National or Local,Nominee,2003,Don Ruark,NA,"WHAS-TV, Louisville, KY","Foodieville, Kentucky"
"Best Radio, Long Format",Nominee,2003,Mikel Ellcessor,NA,"WNYC, New York City",Dish
Television Segment - National or Local,Winner,2003,Martha Stewart Living TV,NA,WCBS-NY,Martha Stewart Living TV
"Best Radio, Long Format",Nominee,2003,Frederique Laviepierre,NA,"KRCB-FM, Sebastopol","Mouthful, The Wine Country's Most Delicious Hour"
Best National or Local Television Food Segment,Winner,2002,Jee Won Park,NA,CBS (network),CBS News: The Saturday Early Chef on a Shoestring
Best National Television Food Journalism Show or Special,Winner,2002,Irene Wong,NA,Food Network,"My Country, My Kitchen"
Best Local Television Cooking Show,Winner,2002,Stephanie Kurtz,NA,"CLTV, Chicago",Good Eating
"Best Radio, Short Format",Nominee,2002,Anthony Dias-Blue,NA,"KFWB-FM, Los Angeles",Lifestyle Minute
Best National or Local Television Food Segment,Nominee,2002,Judy Morris,NA,CBS (syndicated),Martha Stewart Living
Best National Television Food Journalism Show or Special,Nominee,2002,Stuart Zanger,NA,Food Network,Riviera Fantasy with Bon Appetit
Best National Television Food Journalism Show or Special,Nominee,2002,Karen Zanger,NA,Food Network,Riviera Fantasy with Bon Appetit
Best National Television Cooking Show or Special,Nominee,2002,Nat Katzman,NA,PBS,Lidia's Italian-American Kitchen
"Best Radio, Long Format",Winner,2002,The Food & Wine Radio Network Show,NA,The Food & Wine Radio Network (syndicated),The Food & Wine Radio Network Show
Special Award of Excellence in Broadcasting,Winner,2002,Edward Forgotson,NA,CBS,CBS News Sunday Morning
Special Award of Excellence in Broadcasting,Winner,2002,CBS Sunday Morning,NA,CBS,CBS Sunday Morning
Best Local Television Cooking Show,Winner,2002,Steve Dolinsky,NA,"CLTV, Chicago",Good Eating
"Best Radio, Long Format",Winner,2002,Judy McDermott,NA,"The Food & WineRadio Network (syndicated),The Food & Wine Radio Network (syndicated)",The Food & Wine Radio Network Show
Best National Television Cooking Show or Special,Nominee,2002,Lidia Bastianich,NA,PBS,Lidia's Italian-American Kitchen
Best National Television Food Journalism Show or Special,Nominee,2002,Rocco DiSpirito,NA,Food Network,Riviera Fantasy with Bon Appetit
Best National Television Cooking Show or Special,Winner,2002,Laura Calder,NA,Food Network Canada,"Saturday Night, A Day in the Life of Chef Michael Smith"
"Best Radio, Long Format",Nominee,2002,John Keefe,NA,WNYC Radio,Dish
Best National or Local Television Food Segment,Nominee,2002,Wolfgang Puck,NA,ABC (network),Good Morning America
Best National Television Cooking Show or Special,Nominee,2002,Chris Knight,NA,Food Network Canada,Cook Like a Chef
"Best Radio, Long Format",Winner,2002,Jennifer English,NA,The Food & WineRadio Network (syndicated),The Food & Wine Radio Network Show
Best National Television Food Journalism Show or Special,Nominee,2002,Mario Batali,NA,Food Network,Riviera Fantasy with Bon Appetit
Best Local Television Cooking Show,Nominee,2002,Tara Pereira,NA,"KRON4, San Francisco",Bay Cafe
Best National or Local Television Food Segment,Nominee,2002,Greta Anthony,NA,CBS (syndicated),Martha Stewart Living
Best Local Television Cooking Show,Nominee,2002,Kristin Arntz,NA,"KNBC-TV, Los Angeles",Travel Cafe
Best National or Local Television Food Segment,Winner,2002,Thalia Assuras,NA,CBS (network),CBS News: The Saturday Early Chef on a Shoestring
Best National Television Cooking Show or Special,Winner,2002,"Saturday Night, A Day in the Life of Chef Michael Smith",NA,Food Network Canada,"Saturday Night, A Day in the Life of Chef Michael Smith"
Best National Television Cooking Show or Special,Winner,2002,Gretha Rose,NA,Food Network Canada,"Saturday Night, A Day in the Life of Chef Michael Smith"
Best National or Local Television Food Segment,Nominee,2002,Emeril Lagasse,NA,ABC (network),Good Morning America
Best National Television Food Journalism Show or Special,Winner,2002,"My Country, My Kitchen",NA,Food Network,"My Country, My Kitchen"
Best National or Local Television Food Segment,Winner,2002,Russ Mitchell,NA,CBS (network),CBS News: The Saturday Early Chef on a Shoestring
Best National Television Cooking Show or Special,Winner,2002,Michael Smith,NA,Food Network Canada,"Saturday Night, A Day in the Life of Chef Michael Smith"
Special Award of Excellence in Broadcasting,Winner,2002,Martha A. Teichner,NA,CBS,CBS Sunday Morning
"Best Radio, Long Format",Nominee,2002,Ed Levine,NA,WNYC Radio,Dish
"Best Radio, Long Format",Nominee,2002,Jim Coleman,NA,WHYY 91- FM,A Chef's Table
Best Local Television Cooking Show,Winner,2002,Good Eating,NA,"CLTV, Chicago",Good Eating
Best National Television Food Journalism Show or Special,Nominee,2002,Robert Krulwich,NA,PBS,"Life 360: ""Heat"""
Best National Television Food Journalism Show or Special,Nominee,2002,Robe Imbriano,NA,PBS,"Life 360: ""Heat"""
"Best Radio, Long Format",Nominee,2002,Maiken Scott,NA,WHYY 91- FM,A Chef'sTable
"Best Radio, Long Format",Nominee,2002,Justin Kaufmann,NA,"WBEZ-FM, Chicago",Eight Forty-Eight
"Best Radio, Short Format",Nominee,2002,David Ross,NA,"KBLX-FM, San Francisco",Gourmet Around the Bay
"Best Radio, Short Format",Nominee,2002,Rick Reece,NA,"KFWB-FM, Los Angeles",Lifestyle Minute
"Best Radio, Long Format",Nominee,2002,Steve Dolinsky,NA,"WBEZ-FM, Chicago",Eight Forty-Eight
"Best Radio, Short Format",Winner,2002,Steve Dolinsky,NA,Public Radio International (national),PRI's The World
"Best Radio, Short Format",Winner,2002,Suzanne Marmion,NA,Public Radio International (national),PRI's The World
Best National or Local Television Food Segment,Nominee,2002,Margo Baumgart,NA,ABC (network),Good Morning America
Best Local Television Cooking Show,Nominee,2002,Chuck Henry,NA,"KNBC-TV, Los Angeles",Travel Cafe
Best National Television Food Journalism Show or Special,Nominee,2002,Bobby Flay,NA,Food Network,Riviera Fantasy with Bon Appetit
Best National or Local Television Food Segment,Winner,2002,CBS News: The Saturday Early Chef on a Shoestring,NA,CBS (network),CBS News: The Saturday Early Chef on a Shoestring
Special Award of Excellence in Broadcasting,Winner,2002,James Houtrides,NA,CBS,CBS Sunday Morning
Best Local Television Cooking Show,Nominee,2002,Joey Altman,NA,"KRON4, San Francisco",Bay Cafe
Best National Television Cooking Show or Special,Nominee,2002,Geoffrey Drummond,NA,PBS,Lidia's Italian-American Kitchen
Best National or Local Television Food Segment,Nominee,2002,Martha Stewart,NA,CBS (syndicated),Martha Stewart Living
Special Award of Excellence in Broadcasting,Winner,2002,Charles Osgood,NA,CBS,CBS Sunday Morning
Best National Television Cooking Show,Nominee,2001,Jeff Nathan,NA,PBS,New Jewish Cuisine
Best National Television Cooking Show,Winner,2001,Nat Katzman,NA,PBS,Julia and Jacques Cooking at Home
Best National Television Cooking Show,Winner,2001,Julia Child,NA,PBS,Julia and Jacques Cooking at Home
Best T.V. Cooking Special,Nominee,2001,Jacques Pépin,NA,PBS,Chez Pepin
Best National Television Cooking Show,Winner,2001,Jacques Pépin,NA,PBS,Julia and Jacques Cooking at Home
"Best Radio, Short Format",Winner,2001,Rick Reece,NA,"WCBS-AM, New York City/KFWB-AM, Los Angeles",Bon AppÃ©tit Magazine Lifestyle
Best Local Television Cooking Show,Winner,2001,Tricia Johnson Reece,NA,"KRON-TV, San Francisco",Bay Cafe
"Best Radio, Long Format",Nominee,2001,Jim Coleman,NA,"WHYY, Philadelphia",A Chefs Table Grilling
Best Local Television Cooking Show,Winner,2001,Joey Altman,NA,"KRON-TV, San Francisco",Bay Cafe
Best National Television Cooking Show,Winner,2001,Geoffrey Drummond,NA,PBS,Julia and Jacques Cooking at Home
Best T.V. Food Journalism,Winner,2001,Nick Versteeg,NA,Food Network,The Road to Bocuse D'Or
Best T.V. Cooking Special,Winner,2001,Margaret Sullivan,NA,APT Public TV,A Spoonful of Ginger
Best T.V. Food Segment,Winner,2001,Marika Olsen,NA,CNN & Time,Innovations: Just Desserts
Best T.V. Cooking Special,Winner,2001,Charles Pinsky,NA,APT Public TV,A Spoonful of Ginger
Best T.V. Food Segment,Winner,2001,Bernard Shaw,NA,CNN & Time,Innovations: Just Desserts
Best T.V. Cooking Special,Winner,2001,Nina Simonds,NA,APT Public TV,A Spoonful of Ginger
"Best Radio, Long Format",Winner,2001,Lauren Groveman,NA,"WVOX-AM, Larchmont, NY",Food Family and Home Matters
"Best Radio, Long Format",Nominee,2001,Justin Kaufmann,NA,WBEZ-FM,Dining With Kids
"Best Radio, Long Format",Nominee,2001,Steve Dolinsky,NA,WBEZ-FM,Dining With Kids
Best T.V. Food Segment,Nominee,2001,Emeril Lagasse,NA,ABC,ABC NEWS: Good Morning America
"Best Radio, Long Format",Nominee,2001,Maiken Scott,NA,WHYY,A Chefs Table Grilling
"Best Radio, Short Format",Nominee,2001,David Ross,NA,KBLX-FM,Gourmet Around the Bay
"Best Radio, Short Format",Nominee,2001,Marty Goldensohn,NA,WNYC-FM,Ed Levine: Your Food Advisor
"Best Radio, Short Format",Nominee,2001,Ed Levine,NA,WNYC-FM,Ed Levine: Your Food Advisor
Best T.V. Cooking Special,Nominee,2001,Nat Katzman,NA,PBS,Julia Child's Kitchen Wisdom
Best T.V. Cooking Special,Nominee,2001,Julia Child,NA,PBS,Julia Child's Kitchen Wisdom
Best T.V. Cooking Special,Nominee,2001,Geoffrey Drummond,NA,PBS,Julia Child's Kitchen Wisdom
Best T.V. Food Journalism,Winner,2001,The Road to Bocuse D'Or,NA,Food Network,The Road to Bocuse D'Or
Best T.V. Cooking Special,Nominee,2001,John Potthast,NA,PBS,Chez Pepin
Best T.V. Food Segment,Nominee,2001,Margo Baumgart,NA,ABC,ABC NEWS: Good Morning America
Best T.V. Food Segment,Nominee,2001,Lawrence Cardarelli,NA,CNN,Business Unusual
Best T.V. Food Segment,Nominee,2001,Rhonda Schaffler,NA,CNN,Business Unusual
Best T.V. Food Journalism,Nominee,2001,Chris Knight,NA,"CBC, Ottowa",The Great Canadian Food Show
Best T.V. Food Journalism,Nominee,2001,Carlo Rota,NA,"CBC, Ottowa",The Great Canadian Food Show
Best T.V. Food Journalism,Nominee,2001,Karen Katz,NA,Food Network,Inside Scoop
Best Local Television Cooking Show,Nominee,2001,Kurt Ritchie,NA,"AT&T Broadband (Arlington, TX)",Cookin' with Carol
Best Local Television Cooking Show,Nominee,2001,Carol Ritchie,NA,"AT&T Broadband (Arlington, TX)",Cookin' with Carol
Best Local Television Cooking Show,Nominee,2001,Lauren Groveman,NA,"Local Westchester Channel (Larchmont, NY)",Lauren Groveman's Kitchen
Best National Television Cooking Show,Nominee,2001,Jay Sanderson,NA,PBS,New Jewish Cuisine
Best National Television Cooking Show,Nominee,2001,Harvey Lehrer,NA,PBS,New Jewish Cuisine
Best National Television Cooking Show,Nominee,2001,Patricia Llewllyn,NA,The Food Network,The Naked Chef
Best National Television Cooking Show,Nominee,2001,Peter Gillbe,NA,Food Network,The Naked Chef
Best National Television Cooking Show,Nominee,2001,Jamie Oliver,NA,Food Network,The Naked Chef
"Best Radio, Short Format",Winner,2001,Anthony Dias-Blue,NA,"WCBS-AM, New York City/KFWB-AM, Los Angeles",Bon AppÃ©tit Magazine Lifestyle
Best T.V. Food Segment,Winner,2001,Innovations: Just Desserts,NA,CNN & Time,Innovations: Just Desserts
Best T.V. Cooking Special,Winner,2001,A Spoonful of Ginger,NA,APT Public TV,A Spoonful of Ginger
Best National Television Cooking Show,Winner,2001,Julia and Jacques Cooking at Home,NA,PBS,Julia and Jacques Cooking at Home
Best Local Television Cooking Show,Winner,2001,Bay Café,NA,"KRON-TV, San Francisco",Bay Cafe
"Best Radio, Short Format",Winner,2001,Bon Appetit Magazine Lifestyle,NA,"WCBS-AM, New York City/KFWB-AM, Los Angeles",Bon Appetit Magazine Lifestyle
"Best Radio, Long Format",Winner,2001,Food Family and Home Matters,NA,"WVOX-AM, Larchmont, NY",Food Family and Home Matters
"Best Radio, Long Format",Nominee,2000,Chris Knight,NA,"CBC, Ottawa, ON, Canada",The Great Canadian Food Show
"Best Radio, Short Format",Winner,2000,Weekend All Things Considered,NA,"NPR, Washington, DC",Weekend All Things Considered
Best T.V. Food Journalism,Winner,2000,American Eats: History on a Bun,NA,The History Channel,American Eats: History on a Bun
Best National Television Cooking Show or Segment,Winner,2000,The Kitchen Sessions with Charlie Trotter,NA,"APT, Honolulu",The Kitchen Sessions with Charlie Trotter
Best National Television Cooking Show or Segment,Nominee,2000,Joan Nathan,NA,WMPB,Jewish Cookingin America with Joan Nathan
Best National Television Cooking Show or Segment,Nominee,2000,John Potthast,NA,WMPB,Jewish Cooking in America with Joan Nathan
Best National Television Cooking Show or Segment,Nominee,2000,Charles Pinsky,NA,WMPB,Jewish Cooking in America with Joan Nathan
"Best Radio, Long Format",Nominee,2000,Jennifer English,NA,"NJLL, Tucson, AZ",The Food and Wine Radio Network
Best T.V. Food Journalism,Winner,2000,Daniel Silverman,NA,The History Channel,American Eats: History on a Bun
Best T.V. Food Journalism,Nominee,2000,Randy Martin,NA,Food Network,Legendrary Hangouts: New Orleans
Best T.V. Food Journalism,Nominee,2000,Rand Morrison,NA,Food Network,Legendary Hangouts: New Orleans
Best T.V. Food Journalism,Nominee,2000,Sarah Burmeister,NA,Food Network,Good Eats: Bird in Hand
"Best Radio, Long Format",Nominee,2000,Alan Guettel,NA,"CBC, Vancouver, BC, Canada",Food for Thought
Best T.V. Food Journalism,Winner,2000,Susan Werbe,NA,The History Channel,American Eats: History on a Bun
"Best Radio, Long Format",Winner,2000,Tish Valva,NA,"WEBZ, Chicago, IL",Eight Forty-Eight
"Best Radio, Short Format",Winner,2000,Walter Ray Watson,NA,"NPR, Washington, DC",Weekend All Things Considered
Best T.V. Food Journalism,Nominee,2000,Alton Brown,NA,Food Network,Good Eats: Bird in Hand
Best National Television Cooking Show or Segment,Nominee,2000,Bob Tuschman,NA,Food Network,Cooking Live
"Best Radio, Short Format",Nominee,2000,Jonathan Marston,NA,"WBUR-FM, Boston",Here and Now
"Best Radio, Long Format",Winner,2000,Steve Dolinsky,NA,"WEBZ, Chicago, IL",Eight Forty-Eight
"Best Radio, Short Format",Nominee,2000,Marty Goldensohn,NA,"WNYC-FM, New York",New York Eats
"Best Radio, Short Format",Nominee,2000,Bruce Gellerman,NA,"WBUR-FM, Boston",Here and Now
"Best Radio, Long Format",Nominee,2000,Debbie Rollins,NA,"NJLL, Tucson, AZ",The Food and Wine Radio Network
"Best Radio, Long Format",Nominee,2000,Patrick Porter,NA,"NJLL, Tucson, AZ",The Food and Wine Radio Network
"Best Radio, Long Format",Nominee,2000,Anne Penman,NA,"CBC, Vancouver, BC, Canada",Food for Thought
"Best Radio, Short Format",Winner,2000,Daniel Zwerdling,NA,"NPR, Washington, DC",Weekend All Things Considered
"Best Radio, Long Format",Winner,2000,Justin Kaufmann,NA,"WEBZ, Chicago, IL",Eight Forty-Eight
"Best Radio, Short Format",Nominee,2000,Ed Levine,NA,"WNYC-FM, New York",New York Eats
"Best Radio, Long Format",Nominee,2000,Don Genova,NA,"CBC, Vancouver, BC, Canada",Food for Thought
Best National Television Cooking Show or Segment,Winner,2000,Melanie Kosaka,NA,"APT, Honolulu",The Kitchen Sessions with Charlie Trotter
Best National Television Cooking Show or Segment,Winner,2000,Robert Bates,NA,"APT, Honolulu",The Kitchen Sessions with Charlie Trotter
Best National Television Cooking Show or Segment,Nominee,2000,Eileen Opatut,NA,Food Network,Cooking Live
Best National Television Cooking Show or Segment,Winner,2000,Charlie Trotter,NA,"APT, Honolulu",The Kitchen Sessions with Charlie Trotter
Best Local T.V. Cooking Show or Segment,Winner,2000,Bay Café,NA,"Bay TV, San Francisco",Bay Cafe
Best Local T.V. Cooking Show or Segment,Winner,2000,Janette Gitler,NA,"Bay TV, San Francisco",Bay Cafe
"Best Radio, Short Format",Nominee,2000,Jenifer Schmidt,NA,"WBUR-FM, Boston",Here and Now
Best Local T.V. Cooking Show or Segment,Winner,2000,Bertrand Pelligrin,NA,"Bay TV, San Francisco",Bay Cafe
Best Local T.V. Cooking Show or Segment,Nominee,2000,Tim Hosfeldt,NA,"Sunbelt Broadcasting Reno, NV",Nothing to It!
Best T.V. Food Journalism,Nominee,2000,Deanna Brown,NA,Food Network,Good Eats: Bird in Hand
"Best Radio, Long Format",Nominee,2000,Carlo Rota,NA,"CBC, Ottawa, ON, Canada",The Great Canadian Food Show
Best T.V. Food Journalism,Nominee,2000,Morley Safer,NA,Food Network,Legendary Hangouts: New Orleans
Best Local T.V. Cooking Show or Segment,Winner,2000,Joey Altman,NA,"Bay TV, San Francisco",Bay Cafe
"Best Radio, Short Format",Nominee,2000,Fred Child,NA,"WNYC-FM, New York",New York Eats
Best National Television Cooking Show or Segment,Nominee,2000,Georgia Downard,NA,Food Network,Cooking Live
Best Local T.V. Cooking Show or Segment,Nominee,2000,Christina Ha,NA,"Metro, New York",Metroguide
Best Local T.V. Cooking Show or Segment,Nominee,2000,Jennifer Bushman,NA,"Sunbelt Broadcasting Reno, NV",Nothing to It!
Best T.V. Food Journalism,Winner,2000,Bruce Klein,NA,The History Channel,American Eats: History on a Bun
"Best Radio, Long Format",Winner,2000,Eight Forty-Eight,NA,"WEBZ, Chicago, IL",Eight Forty-Eight
Best Local T.V. Cooking Show or Segment,Nominee,2000,Joe Doucette,NA,"Sunbelt Broadcasting Reno, NV",Nothing to It!
Best Local T.V. Cooking Show or Segment,Nominee,2000,Marc Chusid,NA,"Metro, New York",Metroguide
Best National Television Cooking Show or Segment,Nominee,2000,Sara Moulton,NA,Food Network,Cooking Live
Best Radio Segment,Winner,1999,"Weekend Edition, Sunday",NA,"NPR, Washington, DC","Weekend Edition, Sunday"
Best Local T.V. Cooking Show or Segment,Nominee,1999,Lynn Kosek Brown,NA,"NJN, Trenton, NJ",Rose's Melting Pot
Best National T.V. Food Journalism,Nominee,1999,Crissy Poorman,NA,CNN,On the Menu: Taste of Los Angeles
Best Local T.V. Cooking Show or Segment,Winner,1999,Steve Dolinsky,NA,"CLTV, Oak Brook, IL",Good Eating
Best Local T.V. Cooking Show or Segment,Winner,1999,Stephanie Kurtz,NA,"CLTV, Oak Brook, IL",Good Eating
Best Local T.V. Cooking Show or Segment,Nominee,1999,Joey Altman,NA,"Bay TV, San Francisco",Bay Cafe
Best Radio Segment,Nominee,1999,Arlyn Hackett,NA,"X-BACH, San Rafael","Show:""Food Bites"""
Best Radio Show,Winner,1999,Carmen Matias,NA,"WBBR, New York",Bloomberg Executive Dining Guide
Best Radio Show,Nominee,1999,Arthur Schwartz,NA,"WOR, New York",Arthur Schwartz with Food Talk
Best Radio Show,Nominee,1999,Michael Hayes,NA,"WOR, New York",Arthur Schwartz with Food Talk
Best Radio Show,Winner,1999,Peter Elliot,NA,"WBBR, New York",Bloomberg Executive Dining Guide
Best Local T.V. Cooking Show or Segment,Winner,1999,Nelson Howard,NA,"CLTV, Oak Brook, IL",Good Eating
Best National T.V. Food Journalism,Winner,1999,Molly O'Neill,NA,KCTS-PBS,Great Food
Best Radio Segment,Nominee,1999,Justin Kaufmann,NA,"WEBZ, Chicago",Eight Forty-Eight
Best National Television Cooking Show,Winner,1999,Jacques Pepin's Kitchen: Encore with Claudine,NA,KQED-PBS,Jacques Pepin's Kitchen: Encore with Claudine
Best National Television Cooking Show,Nominee,1999,Melanie Kosaka,NA,"WTTW-PBS, Honolulu",The Kitchen Sessions with Charlie Trotter
Best Radio Show,Nominee,1999,Jim C. White,NA,"KRLD, Dallas",The KRLD Restaurant Show with Jim White
