subcategory,rank,year,name,title,publisher
Single Subject,Winner,1997,Christian Teubner,The Pasta Bible,(Penguin Studio)
Food of The Americas,Nominee,1997,Elizabeth Terry,Savannah Seasons: Food and Stories From Elizabeth on 37th,(Doubleday)
Wine & Spirits,Winner,1997,Jacqueline Friedrich,A Wine and Food Guide to the Loire,(Henry Holt & Co.)
Vegetarian,Winner,1997,Carol Gelles,1000 Vegetarian Recipes,(Macmillan)
Baking & Desserts,Nominee,1997,Emily Luchetti,Four-Star Desserts,(HarperCollins)
Baking & Desserts,Winner,1997,Dorie Greenspan,Baking with Julia,(William Morrow and Co.)
Baking & Desserts,Nominee,1997,Laurie Ochoa,Nancy Silverton's Bread from The La Brea Bakery: Recipes For The Connoisseur,(Villard)
Italian,Winner,1997,Giovanna Tornabene,La Cucina Siciliana di Gangivecchio,(Alfred A. Knopf)
International,Winner,1997,Patricia Wells,Patricia Wells at Home in Provence,(Scribner)
Food of The Americas,Winner,1997,Larry Forgione,An American Place,"(William Morrow & Co., Inc.)"
Fruits & Vegetables,Nominee,1997,Dana Jacobi,The Natural Kitchen: Soy! 75 Delicious Ways To Enjoy Nature's Miracle Food,(Prima)
Fruits & Vegetables,Nominee,1997,Nicole Routhier,Nicole Routhier's Fruit Cookbook,(Workman)
Food of The Americas,Nominee,1997,Mark Sohn,Mountain Country Cooking,(St. Martin's Press)
Food of The Americas,Nominee,1997,Alexis Terry,Savannah Seasons: Food and Stories From Elizabeth on 37th,(Doubleday)
Healthy Focus,Nominee,1997,Ann Marshall,The World's Heatlhiest Food,"(Stewart, Tabori & Chang)"
Reference,Nominee,1997,Gary Lincoff,The Mushroom Book,(DK Publishing)
Reference,Nominee,1997,Anna Del Conte,The Mushroom Book,(DK Publishing)
Reference,Nominee,1997,Thomas Laessoe,The Mushroom Book,(DK Publishing)
Reference,Nominee,1997,Jane Siegal,The Visual Food Encyclopedia,(Macmillan)
Wine & Spirits,Nominee,1997,Remington Norman,Rhone Renaissance: The Finest Rhone and Rhone-Style Wines From France and The New World,(The Wine Appreciation Guild)
Wine & Spirits,Nominee,1997,Michael Weiss,Exploring Wine: Culinary Institute of America's Complete Guide to Wines of the World,(Van Nostrand Reinhold)
Wine & Spirits,Nominee,1997,Brian H. Smith,Exploring Wine: Culinary Institute of America's Complete Guide to Wines of the World,(Van Nostrand Reinhold)
Wine & Spirits,Nominee,1997,Steven Kolpan,Exploring Wine: Culinary Institute of America's Complete Guide to Wines of the World,(Van Nostrand Reinhold)
Italian,Nominee,1997,Faith Willinger,"Red, White & Green: The Italian Way with Vegetables",(HarperCollins)
Special Occasions,Nominee,1997,Burt Wolf,"Gatherings and Celebrations: History, Folklore, Rituals and Recipes for the Occasions that Bring People Together",(Doubleday)
Special Occasions,Winner,1997,Carolyn Dille,Seasons of the Vineyard,(Simon & Schuster)
General,Nominee,1996,Sid Goldstein,From the Earth to the Table: John Ash's Wine Country Cuisine,(Dutton)
Chefs and Restaurants,Nominee,1996,Seymour Britchky,The Lutece Cookbook,(Knopf)
Chefs and Restaurants,Winner,1996,Julia Child,In Julia's Kitchen with Master Chefs,(Alfred A. Knopf)
"Fruits, Vegetables & Grains",Winner,1996,Jack Czarnecki,A Cook's Book of Mushrooms: With 100 Recipes for Common and Uncommon Varieties,(Artisan)
Wine & Spirits,Winner,1996,James Laube,Wine Spectator's California Wine,(Wine Spectator Press)
General,Winner,1996,Jim Fobel,Jim Fobel's Big Flavors,(Clarkson Potter)
Healthy Focus,Winner,1996,Richard Sax,"Lighter, Quicker, Better: Cooking for the Way We Eat Today",(William Morrow and Co.)
Vegetarian,Winner,1996,Steven Raichlen,"High-Flavor, Low-Fat Vegetarian Cooking",(Viking)
Healthy Focus,Nominee,1996,Marian Burros,"Eating Well is the Best Revenge: Everyday Strategies for Delicious, Healthful Food in 30 Minutes or Less",(Simon & Schuster)
Baking & Desserts,Nominee,1996,Martha Rose Shulman,"Great Breads: Home-Baked Favorites From Europe, The British Isles & North America",(Chapters)
"Fruits, Vegetables & Grains",Nominee,1996,Kevin Graham,"Grains, Rice, and Beans",(Artisan)
"Fruits, Vegetables & Grains",Nominee,1996,Sylvia Thompson,The Kitchen Garden Cookbook,(Bantam)
General,Nominee,1996,Lee Bailey,Lee Bailey's Dinners at Home,(Clarkson)
General,Nominee,1996,John Ash,From the Earth to the Table: John Ash's Wine Country Cuisine,(Dutton)
Healthy Focus,Nominee,1996,Anne Lindsay Greer,The Ultimate Low-Fat Mexican Cookbook: All the Flavor Without All the Guilt,(Gulf)
International,Nominee,1996,Victor Sodsook,True Thai: The Modern Art of Thai Cooking,(Morrow)
International,Nominee,1996,Theresa Volpe Laursen,True Thai: The Modern Art of Thai Cooking,(Morrow)
International,Nominee,1996,Byron Laursen,True Thai: The Modern Art of Thai Cooking,(Morrow)
International,Nominee,1996,Nancy Zaslavsky,A Cook's Tour of Mexico,(St. Martin's Press)
Regional American,Nominee,1996,Damon Lee Fowler,Classical Southern Cooking: A Celebration of the Cuisine of the Old South,(Crown)
Regional American,Nominee,1996,Dana J. Lindsay,"True Grits: Tall Tales and Recipes from The New South by The Junior League of Atlanta, Inc.",(The Junior League of Atlanta)
Vegetarian,Nominee,1996,Linda McCartney,Linda's Kitchen: Simple and Inspiring Recipes for Meatless Meals,"(Little, Brown)"
Writing on Food,Nominee,1996,David Mas Masumoto,Epitaph for a Peach: Four Seasons on My Family Farm,(HarperSanFrancisco)
Writing on Food,Nominee,1996,James Trager,The Food Chronology: A Food Lover's Compendium of Events and Anecdotes From Prehistory to the Present,(Holt)
Writing on Food,Nominee,1996,Victor M. Valle,Recipe of Memory: Five Generations of Mexican Cuisine,(The New Press)
Writing on Food,Nominee,1996,Mary Lau Valle,Recipe of Memory: Five Generations of Mexican Cuisine,(The New Press)
Wine & Spirits,Nominee,1996,Richard Olney,Romanee-Conti: The World's Most Fabled Wine,(Rizzoli)
Best Food Photography,Winner,1996,Sara Taylor,In & Out of the Kitchen in Fifteen Minutes or Less,(Rizzoli)
Best Food Photography,Nominee,1996,Herve Amiard,Joel Robuchon Cooking Through the Seasons,(Rizzoli)
Cookbook of the Year,Winner,1996,Naomi Duguid,Flatbreads and Flavors: A Baker's Atlas,(William Morrow and Co.)
Cookbook Hall of Fame,Winner,1996,Jacques Pépin,La Technique and La Methode,NA
Wine & Spirits,Nominee,1996,Ed McCarthy,Wine for Dummies,()
Regional American,Winner,1996,Cheryl Jamison,"The Border Cookbook: Authentic Home Cooking of the American Southwest and Northern Mexico,The Border Cookbook: Authentic Home Cooking of the American southwest and Northern Mexico",(The Harvard Common Press)
Writing on Food,Winner,1996,Karen Page,Becoming a Chef: With Recipes and Reflections from America's Leading Chefs,(Van Nostrand Reinhold)
International,Winner,1996,Susanna Foo,Susanna Foo Chinese Cuisine: The Fabulous Flavors & Innovative Recipes of North America's Finest Chinese Cook,(Chapters)
Baking & Desserts,Winner,1996,Nicholas Malgieri,How to Bake,(HarperCollins)
Baking & Desserts,Nominee,1996,Jeffrey Alford,Flatbreads and Flavors: A Baker's Atlas,(William Morrow and Co.)
Cookbook of the Year,Winner,1996,Jeffrey Alford,Flatbreads and Flavors: A Baker's Atlas,(William Morrow and Co.)
Writing on Food,Winner,1996,Andrew Dornenburg,Becoming a Chef: With Recipes and Reflections from America's Leading Chefs,(Van Nostrand Reinhold)
Wine & Spirits,Nominee,1996,Mary Ewing Mulligan,Wine for Dummies,(IDG Books Worldwide)
Vegetarian,Nominee,1996,Eileen Yin-Fei Lo,From the Earth: Chinese Vegetarian Cooking,(Macmillan USA)
Chefs and Restaurants,Nominee,1996,André Soltner,The Lutece Cookbook,(Knopf)
Chefs and Restaurants,Nominee,1996,Culinary Institute of America,An American Bounty,(Rizzoli)
Single Subject,Nominee,1996,Marion Cunningham,Cooking with Children,(Knopf)
Single Subject,Nominee,1996,Susan Wyler,Simply Stews: More than 100 Savory One-Pot Meals,(HarperCollins)
Best Food Photography,Nominee,1996,Gentl & Hyers,Chic Simple Cooking,(Knopf)
Single Subject,Winner,1996,Mimi Sheraton,The Whole World Loves Chicken Soup,(Warner Books)
Healthy Focus,Winner,1996,Marie Simmons,"Lighter, Quicker, Better: Cooking for the Way We Eat Today",(William Morrow and Co.)
Baking & Desserts,Nominee,1996,Naomi Duguid,Flatbreads and Flavors: A Baker's Atlas,(William Morrow and Co.)
Accent on Flavors,Nominee,1995,Hugh Carpenter,Fusion Food Cookbook,(Artisan)
Writing on Food,Nominee,1995,Helen Studley,Life of a Restaurant,(Crown)
Writing on Food,Nominee,1995,Richard Flaste,A Chef's Tale,(Knopf)
Single Subject,Nominee,1995,Jane Brody,Jane Brody's Good Seafood Book,(Norton)
Single Subject,Nominee,1995,Ruth Cousineau,Tomato Imperative,"(Little, Brown and Company)"
Single Subject,Nominee,1995,Sharon Nimtz,Tomato Imperative,"(Little, Brown and Company)"
Healthy Focus,Nominee,1995,Jacques Pépin,Jacques Pepin's Simple and Healthy Cooking,(Rodale)
Healthy Focus,Nominee,1995,Mary Abbott Hess,Healthy Gourmet Cookbook,(Collins)
Healthy Focus,Nominee,1995,Pamela Sheldon Johns,Healthy Gourmet Cookbook,(Collins)
Wine & Spirits,Nominee,1995,Hugh Johnson,The World Atlas of Wine,(Simon & Schuster)
Vegetarian,Nominee,1995,Lorna Sass,Great Vegetarian Cooking Under Pressure,(William Morrow)
Food of The Americas,Nominee,1995,Marie-Pierre Cole,Frida's Fiestas,(Clarkson Potter)
Food of The Americas,Nominee,1995,Guadalupe Rivera,Frida's Fiestas,(Clarkson Potter)
Cookbook Hall of Fame,Winner,1995,Bert Greene,Greene on Greens,NA
Entertaining & Special Occasions,Nominee,1995,Janet Fletcher,The Art of Easy Entertaining,(Cole Group)
Wine & Spirits,Winner,1995,Jancis Robinson,The Oxford Companion to Wine,(Oxford University Press)
General Interest,Nominee,1995,Perla Meyers,Spur of the Moment Cook,(William Morrow)
International,Winner,1995,Paula Wolfert,The Cooking of the Eastern Mediterranean,(HarperCollins)
"Fruits, Vegetables & Grains",Nominee,1995,Joie Warner,"Joie Warner's Spaghetti, America's Favorite Pasta",(William Morrow)
Food of The Americas,Nominee,1995,James Villas,My Mothers Southern Kitchen,(Macmillan)
International,Nominee,1995,Nancy Harmon Jenkins,The Mediterranean Diet Cookbook: A Delicious Alternative for Lifelong Health,(Bantam)
General Interest,Winner,1995,Elaine Corn,Now You're Cooking: Everything a Beginner Needs to Know to Start Cooking Today,(Harlow & Ratner)
"Fruits, Vegetables & Grains",Nominee,1995,Lorraine Bodger,The Complete Vegetable Cookbook,(Harmony)
Writing on Food,Winner,1995,Burton Anderson,Treasures of the Italian Table,(William Morrow and Co.)
Technical & Reference,Nominee,1995,Polly Clingerman,The Kitchen Companion,(American Cooking Guild)
Entertaining & Special Occasions,Nominee,1995,Hallie Donnelly,The Art of Easy Entertaining,(Cole Group)
Entertaining & Special Occasions,Nominee,1995,Susan Walter,The Art of Easy Entertaining,(Cole Group)
Baking & Desserts,Nominee,1995,Andrew MacLauchlan,New Classic Desserts,(Van Nostrand Reinhold)
Baking & Desserts,Nominee,1995,Paul Bugat,The French Cookie Book,(William Morrow)
Writing on Food,Nominee,1995,Bryan Miller,A Chef's Tale,(Knopf)
Baking & Desserts,Winner,1995,Richard Sax,Classic Home Desserts,(Chapters)
Baking & Desserts,Nominee,1995,Bruce Healy,The French Cookie Book,(William Morrow)
Entertaining & Special Occasions,Winner,1995,Marlene Sorosky Gray,Entertaining on the Run,(William Morrow and Co.)
Accent on Flavors,Nominee,1995,Arthur Pais,A World of Curries,"(Little, Brown and Company)"
General Interest,Nominee,1995,Burt Wolf,Burt Wolf's Table,(Doubleday)
Food of The Americas,Nominee,1995,Martha Pearl Villas,My Mothers Southern Kitchen,(Macmillan)
Single Subject,Winner,1995,Marcel Desaulniers,The Burger Meisters,(Simon & Schuster)
Accent on Flavors,Nominee,1995,Dave DeWitt,A World of Curries,"(Little, Brown and Company)"
Technical & Reference,Winner,1995,Frances Bissell,The Book of Food,(Henry Holt & Co.)
Vegetarian,Winner,1995,The Moosewood Collective,Moosewood Restaurant Cooks at Home,(Simon & Schuster)
Vegetarian,Nominee,1995,Julia Della Croce,The Vegetarian Table: Italy,(Chronicle)
Technical & Reference,Nominee,1995,Irena Chalmers,The Great Food Almanac,(Collins)
International,Nominee,1995,Joanne Weir,From Tapas to Meze,(Crown)
Entertaining & Special Occasions,Nominee,1995,Martha Stewart,Martha Stewart's Menus for Entertaining,(Clarkson Potter)
Accent on Flavors,Nominee,1995,Teri Sandison,Fusion Food Cookbook,(Artisan)
Wine & Spirits,Nominee,1995,Marq De Villiers,The Heartbreak Grape,(HarperCollins)
Food of The Americas,Winner,1995,Joan Nathan,Jewish Cooking in America,(Alfred A. Knopf)
"Fruits, Vegetables & Grains",Winner,1995,Linda Griffith,"Onions, Onions, Onions",(Chapters)
Healthy Focus,Winner,1995,Alice Medrich,Chocolate and the Art of Low-Fat Desserts,(Warner Books)
Cookbook of the Year,Winner,1995,Alice Medrich,Chocolate and the Art of Low-Fat Desserts,(Warner Books)
Accent on Flavors,Winner,1995,Cheryl Jamison,Smoke & Spice,(Harvard Common Press)
Writing on Food,Nominee,1995,Pierre Franey,A Chef's Tale,(Knopf)
Best Food Photography,Nominee,1995,Bernard Tauillon,Roger Verge's Vegetables in the French Style,(Artisan)
Best Food Photography,Nominee,1995,Kathryn Kleinman,The Glass Pantry,(Chronicle)
Americana,Nominee,1994,Steven Raichlen,Miami Spice: The New Florida Cuisine,(Workman)
Single Subject,Nominee,1994,Sri Owen,The Rice Book,(St. Martin's Press)
References & Resources,Nominee,1994,Maggie Oster,The Potato Garden,(Harmony Books)
References & Resources,Nominee,1994,Kenneth Davids,Espresso: Ultimate Coffee,(Cole Group)
Italian,Nominee,1994,Giuliano Hazan,The Classic Pasta Cookbook,(Dorling Kindersley)
International,Nominee,1994,Richard Olney,Provence: The Beautiful Cookbook,(Collins)
Healthy Focus,Nominee,1994,Kevin Graham,Kevin Graham's Fish & Seafood Cookbook,"(Stewart, Tabori & Chang)"
Healthy Focus,Nominee,1994,Pat Baird,The Pyramid Cookbook,(Henry Holt)
Entertaining & Special Occasions,Nominee,1994,Chuck Williams,Festive Occasions Cookbook,(Weldon Owen)
General,Nominee,1994,Gerri Gilliard,Grills and Greens,(Clarkson Potter)
General,Nominee,1994,Linda Zimmerman,Grills and Greens,(Clarkson Potter)
"Fruits, Vegetables & Grains",Nominee,1994,Jean Andrews,Red Hot Peppers,(Macmillan)
Entertaining & Special Occasions,Nominee,1994,Liza Nelson,A Book of Feasts,(Longstreet)
Entertaining & Special Occasions,Nominee,1994,Kay Goldstein,A Book of Feasts,(Longstreet)
Convenience,Nominee,1994,Tom Lacalamita,The Ultimate Bread Machine Cookbook,(Simon & Schuster)
Convenience,Nominee,1994,Mable Hoffman,Pasta in Minutes,(Fisher Books)
Baking & Desserts,Winner,1994,George Greenstein,Secrets of a Jewish Baker: Authentic Jewish Rye & Other Breads,(The Crossing Press)
Americana,Nominee,1994,William Woys Weaver,Pennsylvania Dutch Country Cooking,(Abbeville)
Healthy Focus,Winner,1994,Frances Towner Giedt,The Joslin Diabetes Gourmet Cookbook,(Bantam Books)
References & Resources,Winner,1994,Joan Whitman,Recipes Into Type,(HarperCollins)
Entertaining & Special Occasions,Winner,1994,Joe Famularo,Celebrations,(Barron's Educational Series)
Wine & Spirits,Winner,1994,James Halliday,Wine Atlas of California,(Viking)
Single Subject,Winner,1994,Sheryl London,A Seafood Celebration,(Simon & Schuster)
Entertaining & Special Occasions,Nominee,1994,Joyce Goldstein,Festive Occasions Cookbook,(Weldon Owen)
Writing on Food,Winner,1994,Cathy Luchetti,Home on the Range: A Culinary History of the American West,(Villard)
Cookbook Hall of Fame,Winner,1994,Calvin Trillin,"Alice Let's Eat, American Fried, and Third Helpings",NA
Americana,Winner,1994,Nathalie Dupree,Nathalie Dupree's Southern Memories,(Clarkson Potter)
Best Food Photography,Nominee,1994,Martin Brigdale,The Foods of Greece,"(Stewart, Tabori & Chang)"
Italian,Nominee,1994,Lorenza DeMedici,The Villa Table,(Fawcett Columbine)
Italian,Winner,1994,Carol Field,Italy in Small Bites,(William Morrow and Co.)
"Fruits, Vegetables & Grains",Winner,1994,Faye Levy,Faye Levy's International Vegetable Cookbook,(Warner Books)
Writing on Food,Nominee,1994,Robert Clark,James Beard: A Biography,(HarperCollins)
General,Winner,1994,Rozanne Gold,Little Meals,(Villard Books)
Baking & Desserts,Nominee,1994,Pillsbury,The Complete Book of Baking,(Viking)
Best Food Photography,Nominee,1994,Daniel Proctor,The Il Fornaio Baking Book: Sweet and Savory Recipes From the Italian Kitchen,(Chronicle Books)
References & Resources,Winner,1994,Dolores Simon,Recipes Into Type,(HarperCollins)
International,Winner,1994,Madhur Jaffrey,Madhur Jaffrey's A Taste of the Far East,(Carol Southern Books)
Cookbook of the Year,Winner,1994,Madhur Jaffrey,Madhur Jaffrey's A Taste of the Far East,(Carol Southern Books)
Writing on Food,Nominee,1994,Laurie Colwin,More Home Cooking,(HarperCollins)
"Fruits, Vegetables & Grains",Nominee,1994,Annie Somerville,Fields of Greens: New Vegetarian Recipes from the Celebrated Greens Restaurant,(Bantam Books)
Convenience,Winner,1994,Linda Gassenheimer,Dinner in Minutes: Memorable Meals for Busy Cooks,(Chapters)
Wine & Spirits,Nominee,1994,Bob Thompson,The Wine Atlas of California,(Simon & Schuster)
Wine & Spirits,Nominee,1994,Remington Norman,The Great Domaines of Burgundy: A Guide to the Finest Wine Producers of the Cote d'Or,(Henry Holt)
Healthy Focus,Winner,1994,Bonnie Sanders Polin,The Joslin Diabetes Gourmet Cookbook,(Bantam Books)
Best Food Photography,Winner,1994,Kathryn Kleinman,Lemons: A Country Garden Cookbook,(Collins)
Baking & Desserts,Nominee,1994,Judith Blahnik,Bread Alone,(William Morrow & Co.)
Single Subject,Nominee,1994,James Peterson,The Splendid Soup: Recipes and Master Techniques for Making the Worlds Best Soups,(Bantam Books)
General,Nominee,1994,Marian Morash,The Victory Garden Fish and Vegetable Cookbook,(Knopf)
Baking & Desserts,Nominee,1994,Daniel Leader,Bread Alone,(William Morrow & Co.)
International,Nominee,1994,Daniel Boulud,Cooking with Daniel Boulud,(Random House)
International,Winner,1993,Yamuna Devi,Yamuna's Table,(Dutton)
Americana,Nominee,1993,Elisabeth Rozin,Blue Corn and Chocolate,"(Alfred A. Knopf, Inc.)"
Entertaining & Special Occasions,Nominee,1993,Barbara Kafka,Party Food,(William Morrow)
Italian,Nominee,1993,Giuliano Bugialli,Giulliano Bugialli's Foods of Tuscany,"(Stewart, Tabori & Chang)"
Italian,Winner,1993,Marcella Hazan,Essentials of Classic Italian Cooking,(Alfred A. Knopf)
Cookbook Hall of Fame,Winner,1993,Richard Olney,Simple French Food,NA
Americana,Nominee,1993,Crescent Dragonwagon,The Dairy Hollow House Soup & Bread: A Country Inn Cookbook,(Workman Publishing)
Entertaining & Special Occasions,Nominee,1993,Melanie Barnard,Parties!,(HarperCollins)
Entertaining & Special Occasions,Nominee,1993,Brooke Dojny,Parties!,(HarperCollins)
"Fruits, Vegetables & Grains",Nominee,1993,Sheryl London,The Versatile Grain and Elegant Bean,(Simon & Schuster)
"Fruits, Vegetables & Grains",Nominee,1993,Lorna Sass,Recipes from an Ecological Kitchen,(William Morrow)
General,Nominee,1993,David Ricketts,The Family CIrcle Cookbook,(Simon & Schuster)
International,Nominee,1993,Zarela Martinez,Food From My Heart: Cuisines of Mexico Remembered and Reimagined,(Macmillan)
Light & Healthy,Nominee,1993,Marie Simmons,The Light Touch Cookbook,(Chapters Publishing)
Quick & Easy,Winner,1993,Barbara Witt,Great Food Without Fuss,(Henry Holt and Co.)
Single Subject,Nominee,1993,Faye Levy,Faye Levy's International Chicken Cookbook,(Warner Books)
Single Subject,Nominee,1993,A. Cort Sinnes,The Grilling Encyclopedia: An A to Z Compendium of How to Grill Almost Anything,(Atlantic Monthly Press)
Wine & Spirits,Nominee,1993,Hubrecht Duijker,The Wine Atlas of Spain,(Simon & Schuster)
Wine & Spirits,Nominee,1993,Stuart Pigott,Riesling,(Viking Penguin)
Writing on Food,Nominee,1993,Edward Behr,The Artful Eater: A Gourmet Investigates the Ingredients of Great Food,(Atlantic Monthly Press)
Writing on Food,Nominee,1993,Elizabeth Lambert Ortiz,"The Encyclopedias of Herbs, Spices and Flavorings","(Dorling Kindersley, Inc.)"
Best Food Photography,Nominee,1993,John Vaughn,Potager: Fresh Garden in the French Style,(Chronicle Books)
Best Food Photography,Nominee,1993,Peter Johnson,"Tuscany, the Beautiful Cookbook",(Collins Publishers)
Cookbook Hall of Fame,Winner,1993,Marian Burros,Simple French Food,NA
Entertaining & Special Occasions,Winner,1993,Linda Burgess,Alfresco,(Clarkson Potter)
Single Subject,Winner,1993,Jeanne Lesem,Preserving Today,(Alfred A. Knopf)
"Fruits, Vegetables & Grains",Winner,1993,Jeanne Lemlin,Quick Vegetarian Pleasures,(HarperCollins)
General,Nominee,1993,Marion Cunningham,The Supper Book,"(Alfred A. Knopf, Inc.)"
Wine & Spirits,Winner,1993,Hugh Johnson,The Vintner's Art: How Great Wines are Made,(Simon & Schuster)
Wine & Spirits,Winner,1993,James Halliday,The Vintner's Art: How Great Wines are Made,(Simon & Schuster)
Entertaining & Special Occasions,Winner,1993,Rosamond Richardson,Alfresco,(Clarkson Potter)
Writing on Food,Winner,1993,Amal Naj,Peppers: A Story of Hot Pursuits,(Alfred A. Knopf)
General,Nominee,1993,Family Circle Magazine,The Family CIrcle Cookbook,(Simon & Schuster)
Quick & Easy,Nominee,1993,The California Culinary Academy,The Art of Eating In,"(Cole Group, Inc.)"
Light & Healthy,Nominee,1993,Culinary Institute of America,The Professional Chef's Techniques of Healthy Cooking,(Van Nostrand Reinhold)
Baking & Desserts,Winner,1993,Marcel Desaulniers,Death by Chocolate: The Last Word on a Consuming Passion,(Rizzoli Publishing)
Quick & Easy,Winner,1993,Fran McCullough,Great Food Without Fuss,(Henry Holt & Co.)
Cookbook of the Year,Winner,1993,Lynne Rossetto Kasper,"The Splendid Table: Recipes from Emilia Romagna, The Heartland of Northern Italian Food",(William Morrow & Co.)
Italian,Nominee,1993,Lynne Rossetto Kasper,"The Splendid Table: Recipes From Emilia-Romagna, the Heartland of Northern Italian Food",(William Morrow & Co.)
Americana,Winner,1993,Molly O'Neill,New York Cookbook,(Workman Publishing)
International,Nominee,1993,Barbara Tropp,China Moon Cookbook,(Workman Publishing)
General,Winner,1993,Joyce Goldstein,Back to Square One: Old-World Food in a New-World Kitchen,(William Morrow & Co.)
Baking & Desserts,Nominee,1993,Anne Willan,Anne Willan's Look & Cook: Chocolate Desserts,(Dorling Kindersley)
Light & Healthy,Winner,1993,Steven Raichlen,"Steven Raichlen's High Flavor, Low-Fat Cooking",(Camden House)
Quick & Easy,Nominee,1993,Arthur Schwartz,What to Cook When You Think There's Nothing In The House to Eat,(HarperCollins)
Americana,Winner,1992,Martin Jacobs,Spirit of the Harvest: North American Indian Cooking,"(Stewart, Tabori & Chang)"
Americana,Winner,1992,Beverly Cox,Spirit of the Harvest: North American Indian Cooking,"(Stewart, Tabori & Chang)"
General,Winner,1992,Edward Giobbi,Pleasures of the Good Earth,(Alfred A. Knopf)
Special Occasions,Nominee,1992,Martha Rose Shulman,Entertaining Light,(Bantam Books)
Special Occasions,Nominee,1992,Lee Bailey,Lee Bailey's California Wine Country Cooking,(Clarkson Potter)
Convenience,Nominee,1992,Ellen Klavan,Creative Lunch Box,(Crown Publishers)
Cookbook Hall of Fame,Winner,1992,Julee Rosso,The Silver Palate Cookbook,NA
Healthier Living,Nominee,1992,Ruth Spear,Low Fat & Loving It,(Warner Books)
Single Subject,Nominee,1992,Jay Harlow,Jay Harlow's Beer Cuisine,"(Harlow & Ratner (Grove West, dist.))"
Single Subject,Nominee,1992,Sally Stone,The Essential Root Vegetable Cookbook,(Clarkson Potter)
Wine & Spirits,Nominee,1992,Hugh Johnson,Hugh Johnson's Modern Encyclopedia of Wine,(Simon & Schuster)
General,Nominee,1992,Perla Meyers,Perla Meyers' Seasonal Cooking,(Simon & Schuster)
Writing on Food,Nominee,1992,Sophie Grigson,Gourmet Ingredients,(Van Nostrand Reinhold)
Writing on Food,Nominee,1992,Angelo Pellegrini,Vintage Pellegrini,(Sasquatch Books)
Writing on Food,Winner,1992,Simone Beck,Food and Friends,(Viking Penguin)
International,Nominee,1992,Anne Willan,La France Gastronomique,(Arcade Publishing)
Italian,Nominee,1992,Jo Bettoja,Southern Italian Cooking: Family Recipes from the Kingdom of Two Sicilies,(Bantam Books)
Americana,Nominee,1992,Janie Hibler,Dungeness Crabs and Blackberry Cobblers: The Northwest Heritage Cookbook,(Alfred A. Knopf)
Americana,Nominee,1992,Sarah Belk-King,Around the Southern Tabl,(Simon & Schuster)
Best Food Photography,Winner,1992,Molly Chappellet,A Vineyard Garden,(Viking)
Special Occasions,Winner,1992,Florence Fabricant,New Home Cooking,(Clarkson Potter)
Baking & Desserts,Winner,1992,Carole Walter,Great Cakes,(Ballantine Books)
Baking & Desserts,Nominee,1992,Gail Damerow,Ice Cream! The Whole Scoop,(Glenbridge Publishing Ltd.)
Best Food Photography,Nominee,1992,Eric Jacobson,Apples,(Fireside/Simon & Schuster)
Wine & Spirits,Nominee,1992,Robert M. Parker,Bourdeaux: A Comprehensive Guide to the Wines Produced from 1961 - 1990,(Simon & Schuster)
Healthier Living,Nominee,1992,Jean Anderson,Jean Anderson's Sin Free Desserts,(Doubleday)
Baking & Desserts,Nominee,1992,Flo Braker,Sweet Miniatures,(William Morrow)
Best Food Photography,Nominee,1992,Linda Burgess,A Weekend in the Country: Seasonal Recipes and Ideas for Relaxed Entertaining,(Prentice Hall/Simon & Schuster)
Cookbook of the Year,Winner,1992,James Peterson,Sauces: Classical and Contemporary Sauce Making,(Van Nostrand Reinhold)
Single Subject,Winner,1992,James Peterson,Sauces: Classical and Contemporary Sauce Making,(Van Nostrand Reinhold)
Convenience,Winner,1992,Marlena Spieler,From Pantry to Table,(Aris Books/Addison-Wesley)
International,Winner,1992,Patricia Wells,Simply French: Patricia Wells Presents the Cuisine of Joel Robuchon,(William Morrow & Co.)
General,Nominee,1992,Culinary Institute of America,The New Professional Chef,(Van Nostrand Reinhold)
Wine & Spirits,Winner,1992,Oz Clarke,Oz Clarke's New Classic Wines,(Simon & Schuster)
International,Nominee,1992,Le Cordon Bleu International World Cuisine,Le Cordon Bleu at Home,(William Morrow/Hearst Books)
Convenience,Nominee,1992,Michelle Urvater,Monday to Friday Cookbook,(Workman)
Cookbook Hall of Fame,Winner,1992,Sheila Lukins,The Silver Palate Cookbook,NA
Italian,Nominee,1992,Michele Scicolone,The Antipasto Table,(William Morrow)
Healthier Living,Winner,1992,Antonio M. Gotto Jr. MD,Chez Eddy Living Heart Cookbook,(Simon & Schuster)
Italian,Winner,1992,Arrigo Cipriani,The Harry's Bar Cookbook: Recipes and Reminiscences from the World Famous Venice Bar and Restaurant,(Bantam)
Writing on Food,Winner,1992,Suzanne Patterson,Food and Friends,(Viking Penguin)
Baking & Desserts,Nominee,1991,Alice Medrich,Cocolat: Extraordinary Chocolate Desserts,(Warner Books)
Special Occasions,Winner,1991,Jane Freiman,Dinner Party,(HarperCollins)
Writing on Food,Winner,1991,Evan Jones,Epicurean Delight: The Life and Times of James Beard,(Alfred A. Knopf)
American Regional,Winner,1991,Lee Bailey,Lee Bailey's Southern Food and Plantation Houses,(Clarkson Potter)
"Fruits, Vegetables & Grains",Winner,1991,Constance Jones,"Pasta: Creating, Celebrating and Saucing",(HP Books)
Wine & Spirits,Winner,1991,Burton Anderson,The Wine Atlas of Italy: A Traveler's Guide to the Vineyards,(Simon & Schuster)
