INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
Miller-Motte Technical College at Roanoke (Va.)Virginia,294,271,1,0,84,8,0,192,7,2,0,100
ITT Technical Institute at Knoxville (Tenn.)Tennessee,294,80,3,3,42,9,0,227,5,5,0,62
"Trinity International U., Florida Regional CenterFlorida",293,193,0,5,99,135,0,41,0,13,0,239
Dade Medical College at HomesteadFlorida,292,257,3,3,45,223,0,15,3,0,0,277
Faith Baptist Bible College and Theological SeminaryIowa,292,147,3,4,6,3,2,270,4,0,0,22
Remington College at Shreveport (La.)Louisiana,291,216,0,0,193,9,0,81,7,1,0,209
Calvin Theological SeminaryMichigan,291,63,0,22,5,3,0,129,3,14,115,33
ITT Technical Institute at Oxnard (Calif.)California,291,73,2,31,24,125,1,88,8,12,0,191
Mayo Clinic College of Medicine-Mayo Graduate SchoolMinnesota,291,164,4,17,9,23,2,108,3,49,76,58
Aaniiih Nakoda CollegeMontana,291,178,256,0,0,2,0,33,0,0,0,258
Central Christian College of the BibleMissouri,290,142,2,4,10,7,0,254,12,1,0,35
U. of Phoenix at Indianapolis (Ind.)Indiana,290,201,3,1,100,15,0,84,4,82,1,123
Fortis College at PhoenixArizona,290,256,3,3,52,92,0,79,8,53,0,158
Sitting Bull CollegeNorth Dakota,289,201,255,0,0,0,0,34,0,0,0,255
DeVry U. of MichiganMichigan,289,174,0,6,160,11,2,106,1,1,2,180
Ottawa U.-MilwaukeeWisconsin,289,223,6,6,44,13,0,160,4,56,0,73
U. of Phoenix at Milwaukee (Wis.)Wisconsin,288,196,1,4,80,8,0,108,13,74,0,106
ITT Technical Institute-Indianapolis EastIndiana,288,82,0,3,116,5,0,143,9,12,0,133
Knox Theological SeminaryFlorida,287,35,0,12,33,11,0,213,5,13,0,61
Professional Skills InstituteOhio,286,244,0,6,76,9,0,186,9,0,0,100
College of Business and Technology at Hialeah (Fla.)Florida,285,43,0,0,9,274,0,0,0,0,2,283
Heritage Institute at Jacksonville (Fla.)Florida,285,208,1,10,106,22,2,131,11,1,1,152
Claremont School of TheologyCalifornia,285,137,0,25,25,21,6,128,7,30,43,84
Vatterott Career College-Appling FarmsTennessee,285,147,0,0,224,5,0,54,2,0,0,231
Kaplan College at Ft. Worth (Tex.)Texas,284,247,1,5,74,132,3,66,0,3,0,215
U. of Saint Mary of the Lake-Mundelein SeminaryIllinois,284,21,0,3,1,21,0,193,0,0,66,25
John Paul the Great Catholic U.California,284,109,3,17,5,52,3,151,6,47,0,86
Lawrence Memorial/Regis CollegeMassachusetts,283,248,1,9,29,21,0,188,7,26,2,67
South College (N.C.)North Carolina,283,224,1,1,36,7,0,232,4,2,0,49
International Academy of Design and Technology at Henderson (Nev.)Nevada,283,78,3,18,55,16,6,83,5,97,0,103
USC The Business College at UticaNew York,282,231,0,1,30,10,0,234,7,0,0,48
Biblical Theological SeminaryPennsylvania,282,93,0,42,53,6,0,102,2,1,76,103
American U. of Health SciencesCalifornia,282,196,0,181,20,40,2,25,13,0,1,256
World Mission U.California,282,172,0,172,0,0,0,0,0,0,110,172
Burnett International CollegeFlorida,281,224,0,0,271,6,0,4,0,0,0,277
Bryn Athyn College of the New ChurchPennsylvania,281,137,0,5,55,24,1,184,0,0,12,85
American Academy of Dramatic Arts at Los AngelesCalifornia,280,166,3,3,23,27,1,116,37,2,68,94
Taylor Business Institute (Ill.)Illinois,280,117,0,0,88,10,0,0,0,0,182,98
Memphis Theological SeminaryTennessee,279,119,0,10,140,4,0,125,0,0,0,154
Kaplan College at Chula Vista (Calif.)California,279,230,0,13,32,211,5,11,0,7,0,261
ITT Technical Institute at Everett (Wash.)Washington,279,79,3,26,18,27,0,180,11,14,0,85
Argosy U. at SeattleWashington,278,169,3,16,56,19,7,171,0,6,0,101
Phillips Beth Israel School of NursingNew York,278,231,0,35,69,34,19,120,0,0,1,157
ITT Technical Institute at Cary (N.C.)North Carolina,278,66,4,6,130,27,0,93,9,9,0,176
Marian Court CollegeMassachusetts,277,188,0,5,16,45,0,95,0,116,0,66
Robert B. Miller CollegeMichigan,276,222,0,0,13,8,0,154,3,98,0,24
Strayer U. at Jackson (Miss.)Mississippi,276,212,1,1,250,2,0,12,2,8,0,256
Platt College at Tulsa (Okla.)Oklahoma,276,209,20,4,77,18,2,147,5,3,0,126
Daytona CollegeFlorida,276,257,2,2,75,19,0,148,15,15,0,113
Medvance Institute-West Palm BeachFlorida,276,197,1,0,111,68,0,62,8,26,0,188
Kaplan U. at Mason City (Iowa)Iowa,276,233,2,2,5,12,0,171,0,84,0,21
ITT Technical Institute at Springfield (Ill.)Illinois,275,99,2,0,73,9,0,184,5,2,0,89
ITT Technical Institute at Boise (Idaho)Idaho,274,136,5,9,8,21,1,219,5,6,0,49
Pacific CollegeCalifornia,274,237,0,35,23,159,2,35,2,18,0,221
ITT Technical Institute at Little Rock (Ark.)Arkansas,273,68,5,3,111,14,0,134,3,3,0,136
Harrison College at Grove City (Ohio)Ohio,273,231,0,5,53,9,0,176,21,8,1,88
ITT Technical Institute at Plymouth Meeting (Pa.)Pennsylvania,273,87,2,4,137,24,0,94,4,8,0,171
Paul Quinn CollegeTexas,273,149,0,0,226,35,0,5,5,1,1,266
Western Theological SeminaryMichigan,272,99,0,9,13,7,1,230,4,0,8,34
Oregon College of Oriental MedicineOregon,272,202,1,23,1,14,1,214,9,2,7,49
Kaplan College at Fresno (Calif.)California,272,232,2,13,5,177,0,67,0,8,0,197
Blue Cliff College at AlexandriaLouisiana,271,242,0,0,130,6,0,133,2,0,0,138
U. of New Hampshire School of LawNew Hampshire,271,104,0,9,4,7,0,178,4,27,42,24
Everest College at Phoenix-MesaArizona,270,209,17,2,23,69,5,105,15,34,0,131
ITT Technical Institute at North Charleston (S.C.)South Carolina,270,84,2,2,170,7,0,80,4,5,0,185
Stevens-Henager College of BusinessUtah,270,130,4,2,2,28,5,183,7,39,0,48
Riverside School of Health CareersVirginia,270,242,1,8,39,9,0,196,15,2,0,72
Kuyper CollegeMichigan,270,148,2,7,9,4,0,209,11,12,16,33
Westwood College-River OaksIllinois,269,167,2,0,177,27,0,28,3,32,0,209
ITT Technical Institute at Greenville (S.C.)South Carolina,269,70,2,2,98,15,0,140,8,4,0,125
Cottey CollegeMissouri,269,269,6,1,13,28,1,173,16,0,31,65
Ave Maria School of LawFlorida,269,141,5,4,24,64,1,157,0,11,3,98
Fortis College at Ravenna (Ohio)Ohio,269,153,0,1,34,1,0,224,7,2,0,43
Yeshiva of Nitra Rabbinical CollegeNew York,267,0,0,0,0,0,0,267,0,0,0,0
Douglas Education CenterPennsylvania,267,186,0,0,6,15,1,227,8,10,0,30
Chicago School of Professional Psychology at IrvineCalifornia,267,211,1,23,31,65,1,128,4,7,7,125
Vista College OnlineUtah,266,205,3,1,91,62,1,79,4,25,0,162
U. of Phoenix at Washington (D.C.)District of Columbia,265,136,0,2,112,10,1,14,20,102,4,145
Georgia Christian U.Georgia,265,137,0,56,0,0,0,0,0,0,209,56
U. of the Potomac (D.C.)District of Columbia,264,137,0,4,160,7,4,49,10,26,4,185
Ohio Business College at SanduskyOhio,264,196,1,1,57,13,0,187,1,4,0,73
Westwood College at AnnandaleVirginia,264,129,1,9,111,58,2,29,8,46,0,189
National American U. at Roseville (Minn.)Minnesota,264,167,9,31,87,4,0,109,23,1,0,154
Vatterott College at Joplin (Mo.)Missouri,264,156,5,0,9,3,0,204,6,37,0,23
Herzing U. at MinneapolisMinnesota,263,240,1,23,24,3,0,145,11,56,0,62
Little Big Horn CollegeMontana,263,158,257,0,1,1,0,3,0,0,1,259
City College at MiamiFlorida,263,158,0,4,80,158,0,13,4,4,0,246
Dade Medical College at West Palm BeachFlorida,263,228,2,3,141,107,0,9,1,0,0,254
ITT Technical Institute at DeSoto (Tex.)Texas,263,99,2,1,177,51,0,28,2,2,0,233
ITT Technical Institute at Akron (Ohio)Ohio,262,119,1,4,66,2,0,180,6,3,0,79
Sumner CollegeOregon,262,219,0,17,39,15,0,189,0,2,0,71
Simmons College of KentuckyKentucky,261,122,0,0,256,0,0,5,0,0,0,256
Nossi College of ArtTennessee,261,152,0,3,38,12,0,208,0,0,0,53
Richmont Graduate U.Tennessee,260,196,4,2,57,8,0,187,0,2,0,71
College of Health Care Professions at Austin (Tex.)Texas,260,196,1,6,49,129,0,75,0,0,0,185
Fortis Institute at Grand Prairie (Tex.)Texas,260,220,1,7,122,91,0,33,4,2,0,225
Texas Chiropractic CollegeTexas,260,122,2,22,37,32,1,152,8,2,4,102
Andover Newton Theological SchoolMassachusetts,260,161,3,3,38,7,0,188,2,11,8,53
National American U. at Wichita (Kan.)Kansas,259,189,7,3,106,14,1,106,21,1,0,152
Bryant & Stratton College at Akron (Ohio)Ohio,259,212,0,2,86,5,1,151,14,0,0,108
Strayer U. at Little Rock (Ark.)Arkansas,259,185,0,1,198,7,2,46,2,2,1,210
Carver Career CenterWest Virginia,259,172,4,1,16,3,0,232,3,0,0,27
Pennsylvania Academy of the Fine ArtsPennsylvania,258,163,1,13,15,20,0,158,11,26,14,60
Daymar College OnlineKentucky,257,231,2,2,51,10,0,140,22,30,0,87
ITT Technical Institute at Arnold (Mo.)Missouri,257,72,1,1,22,3,0,215,9,6,0,36
Erikson InstituteIllinois,256,247,1,10,38,39,0,139,5,22,2,93
Antioch U. MidwestOhio,256,182,4,2,71,7,0,154,0,18,0,84
National American U. at HoustonTexas,255,193,2,2,165,17,0,47,19,3,0,205
Remington College at Heathrow (Fla.)Florida,255,217,2,5,111,37,5,86,8,1,0,168
St. Luke's College (Iowa)Iowa,254,223,1,8,7,17,1,215,5,0,0,39
National American U. at Colorado SpringsColorado,253,134,1,8,57,35,6,121,22,3,0,129
Blessing-Rieman College of NursingIllinois,253,215,3,5,8,2,0,235,0,0,0,18
American Academy of Dramatic Arts at New YorkNew York,253,171,0,2,33,18,0,103,11,10,76,64
Blue Cliff College at ShreveportLouisiana,253,233,1,2,198,2,0,48,0,2,0,203
Barclay CollegeKansas,251,118,4,1,26,13,0,189,4,10,4,48
Career Quest Learning Center at JacksonMichigan,251,211,0,0,51,13,0,185,2,0,0,66
Hobe Sound Bible CollegeFlorida,251,115,0,0,24,7,0,178,0,38,4,31
Golf Academy of America (S.C.)South Carolina,251,2,11,1,1,2,0,231,0,5,0,15
Arlington Baptist CollegeTexas,250,102,5,1,44,22,0,176,0,0,2,72
Moore TechTennessee,249,5,2,4,116,9,0,118,0,0,0,131
South U. at Austin (Tex.)Texas,249,156,1,9,52,57,3,120,0,7,0,122
Rabbinical Academy Mesivta Rabbi Chaim BerlinNew York,249,0,0,0,0,0,0,245,0,0,4,0
Kaplan College at Charlotte (N.C.)North Carolina,249,239,1,3,183,36,0,24,0,1,1,223
Chicago Theological SeminaryIllinois,249,123,0,2,71,9,0,122,10,9,26,92
Dade Medical College at HollywoodFlorida,248,212,6,2,133,95,0,11,0,1,0,236
Professional Golfers Career CollegeCalifornia,248,22,4,21,6,12,0,185,0,0,20,43
DeVry U. of WisconsinWisconsin,248,122,3,8,65,20,0,146,1,3,2,97
Everest College at Vancouver (Wash.)Washington,247,212,1,9,7,21,3,177,20,9,0,61
Court Reporting Institute of St. LouisMissouri,247,230,0,1,67,20,0,129,6,24,0,94
American Medical AcademyFlorida,247,50,0,0,15,171,0,56,2,3,0,188
Lincoln College of Technology at Marietta (Ga.)Georgia,247,84,0,2,166,21,0,28,9,21,0,198
Trinity College of Nursing & Health SciencesIllinois,246,222,0,3,8,6,1,214,11,3,0,29
Standard Healthcare Services College of NursingVirginia,246,207,0,27,196,14,0,7,2,0,0,239
U. of Phoenix-IdahoIdaho,245,148,0,3,3,25,1,141,12,60,0,44
Pentecostal Theological SeminaryTennessee,244,71,1,4,41,26,0,152,1,0,19,73
Ilisagvik CollegeAlaska,243,137,134,22,6,5,9,61,0,2,4,176
Institute of Production and RecordingMinnesota,243,26,4,3,16,14,0,182,10,13,1,47
Le Cordon Bleu College of Culinary Arts at St. Louis (Mo.)Missouri,243,131,4,3,61,4,0,151,2,18,0,74
Lincoln Technical Institute at Fern Park (Fla.)Florida,242,203,3,2,81,62,1,73,9,11,0,158
National American U. at Richardson (Tex.)Texas,242,163,0,0,203,9,0,22,8,0,0,220
Crossroads Bible CollegeIndiana,241,113,0,10,133,7,0,84,1,6,0,151
ITT Technical Institute at PhoenixArizona,241,91,15,5,41,56,0,105,9,10,0,126
Chicago School of Professional Psychology-Westwood CampusCalifornia,241,197,1,5,39,43,0,125,9,14,5,97
American College of Traditional Chinese MedicineCalifornia,240,175,2,68,6,16,6,128,0,3,11,98
SBI Campus-An Affiliate of Sanford-BrownNew York,240,218,0,2,6,13,0,8,4,207,0,25
Long Island U.-RocklandNew York,239,191,0,13,12,24,0,133,1,56,0,50
Minnesota School of Business at BlaineMinnesota,239,166,1,7,6,3,0,195,3,24,0,20
Nazarene Theological SeminaryMissouri,239,72,1,1,7,9,0,193,4,0,24,22
Daymar College at Bowling Green (Ky.)Kentucky,239,207,0,0,31,8,0,196,3,1,0,42
National Graduate School of Quality ManagementMassachusetts,239,74,0,8,80,23,0,80,0,48,0,111
Millennia Atlantic U.Florida,239,137,0,2,5,50,0,2,0,0,180,57
Johnson & Wales U.-OnlineRhode Island,239,154,0,6,47,23,0,133,1,26,3,77
Eagle Gate College at MurrayUtah,238,163,4,1,5,31,2,85,8,102,0,51
Graduate Theological UnionCalifornia,237,96,2,15,13,17,2,99,4,35,50,53
New York Conservatory for Dramatic ArtsNew York,237,145,1,3,42,41,0,110,11,5,24,98
Westwood College-Denver SouthColorado,236,131,2,3,10,62,0,56,3,100,0,80
Fortis College at Cutler Bay (Fla.)Florida,236,196,0,1,78,122,1,4,3,27,0,205
Minnesota School of Business at Elk RiverMinnesota,236,175,4,1,2,6,0,212,2,9,0,15
ITT Technical Institute at Madison (Miss.)Mississippi,234,82,3,0,181,3,0,44,2,1,0,189
U. of East-West MedicineCalifornia,234,156,0,187,0,1,0,8,0,0,38,188
Argosy U. at Salt Lake CityUtah,234,139,1,2,8,17,1,199,0,6,0,29
Hillsdale Free Will Baptist CollegeOklahoma,234,85,22,1,21,38,0,132,2,5,13,84
Union Theological SeminaryNew York,233,119,0,11,54,26,0,134,8,0,0,99
ITT Technical Institute at Concord (Calif.)California,233,49,1,39,40,56,2,70,11,14,0,149
Southeast Missouri Hospital College of Nursing and Health SciencesMissouri,233,195,0,2,11,2,0,215,2,1,0,17
Laurel Business InstitutePennsylvania,233,182,0,0,16,0,0,212,0,5,0,16
National American U.-Colorado Springs SouthColorado,233,158,0,8,43,29,3,117,31,1,1,114
Dade Medical College at JacksonvilleFlorida,233,206,0,6,167,32,0,24,2,2,0,207
ITT Technical Institute at Arlington Heights (Ill.)Illinois,233,45,1,17,23,70,0,105,10,7,0,121
ITT Technical Institute at Albany (N.Y.)New York,232,56,3,5,46,16,0,135,10,17,0,80
Everest College at Bremerton (Wash.)Washington,232,205,8,11,9,11,12,119,24,38,0,75
Erie Institute of TechnologyPennsylvania,232,20,0,1,17,9,0,205,0,0,0,27
Everest College at Springfield (Mo.)Missouri,232,172,2,1,12,5,1,198,8,5,0,29
Minneapolis Business CollegeMinnesota,231,155,1,55,8,14,1,152,0,0,0,79
ITT Technical Institute at Kansas City (Mo.)Missouri,231,72,2,3,64,8,2,136,5,11,0,84
Epic Bible CollegeCalifornia,231,116,5,9,48,28,6,82,25,28,0,121
ITT Technical Institute at Aurora (Colo.)Colorado,231,68,5,5,53,33,0,111,13,11,0,109
Fortis College at IndianapolisIndiana,231,180,0,0,152,6,0,64,6,3,0,164
Trinity Bible CollegeNorth Dakota,230,83,10,0,18,4,6,181,9,0,2,47
Virginia College at Fort Pierce (Fla.)Florida,230,185,0,1,131,24,0,59,1,14,0,157
ITT Technical Institute at Salem (Va.)Virginia,230,142,1,3,78,2,0,135,6,5,0,90
Marlboro CollegeVermont,230,119,2,3,0,1,0,149,9,62,4,15
ITT Technical Institute at Pensacola (Fla.)Florida,229,65,5,4,82,9,0,117,10,2,0,110
Trinity College of FloridaFlorida,229,98,0,4,50,32,0,120,4,14,5,90
International Academy of Design and Technology at ChicagoIllinois,229,132,0,6,125,14,3,21,2,58,0,150
Lutheran School of Theology at ChicagoIllinois,228,107,1,11,10,9,0,160,0,1,36,31
National American U. at Tulsa (Okla.)Oklahoma,228,174,25,1,69,9,1,94,28,1,0,133
Mayo Medical SchoolMinnesota,228,111,0,47,8,12,0,128,6,14,13,73
Commonwealth Institute of Funeral ServiceTexas,228,141,0,4,61,38,0,125,0,0,0,103
ITT Technical Institute-San Antonio EastTexas,228,64,4,6,45,88,0,64,10,11,0,153
Triangle Tech at PittsburghPennsylvania,226,7,0,2,65,2,0,145,12,0,0,81
FortisÊInstitute at Cookeville (Fla.)Tennessee,226,169,1,1,4,5,0,212,3,0,0,14
ITT Technical Institute at Chattanooga (Tenn.)Tennessee,226,69,2,2,52,10,0,151,6,3,0,72
Centura College at Norfolk (Va.)Virginia,226,213,0,4,151,8,0,44,11,8,0,174
Pontifical College JosephinumOhio,226,1,0,4,3,16,0,182,0,8,13,23
ITT Technical Institute at Orlando (Fla.)Florida,225,71,4,2,66,59,0,76,10,8,0,141
Tohono O'odham Community CollegeArizona,225,135,195,0,8,2,1,13,6,0,0,212
Midwest Institute (Mo.)Missouri,225,186,0,0,59,0,0,165,1,0,0,60
Crowley's Ridge CollegeArkansas,224,106,0,1,6,6,0,211,0,0,0,13
Burlington CollegeVermont,224,105,0,2,12,9,0,141,4,52,4,27
Kilian Community CollegeSouth Dakota,224,149,13,2,38,4,0,131,0,36,0,57
Beacon CollegeFlorida,223,79,3,5,34,7,1,156,12,0,5,62
ITT Technical Institute at South Bend (Ind.)Indiana,223,128,0,2,67,10,0,131,9,4,0,88
ITT Technical Institute at Newburgh (Ind.)Indiana,222,112,0,1,28,4,0,182,2,5,0,35
Brown Mackie College-HopkinsvilleKentucky,222,162,2,3,74,12,0,126,0,5,0,91
Johnson U. FloridaFlorida,222,113,0,2,25,34,0,156,1,3,1,62
Commonwealth Technical InstitutePennsylvania,222,77,0,3,15,0,0,147,1,56,0,19
Emperor's College of Traditional Oriental MedicineCalifornia,222,174,1,32,7,14,0,122,0,33,13,54
Phillips Graduate InstituteCalifornia,222,180,2,9,32,48,3,99,17,11,1,111
ITT Technical Institute at Fort Wayne (Ind.)Indiana,220,106,0,3,25,10,0,176,3,3,0,41
Chamberlain College of Nursing at IndianapolisIndiana,219,198,0,9,44,9,1,133,3,20,0,66
Yo San U. of Traditional Chinese MedicineCalifornia,219,163,0,44,12,20,0,126,8,0,9,84
Pittsburgh Theological SeminaryPennsylvania,219,77,1,2,35,3,1,166,3,1,7,45
Broadview U. at West Jordan (Utah)Utah,219,168,1,3,10,31,2,160,2,10,0,49
College of Court ReportingIndiana,218,202,5,6,18,17,0,156,0,16,0,46
National American U. at DenverColorado,218,169,2,4,57,35,3,95,20,1,1,121
Vatterott College-ClevelandOhio,218,30,3,0,137,4,0,56,2,16,0,146
Minnesota School of Business at St. CloudMinnesota,218,159,3,1,11,3,1,183,0,16,0,19
Eastern International College at Jersey CityNew Jersey,217,202,0,8,52,112,0,45,0,0,0,172
Saint Meinrad Seminary & School of TheologyIndiana,217,40,0,6,3,5,0,173,0,0,30,14
Kaplan Career Institute at Harrisburg (Pa.)Pennsylvania,217,191,0,2,76,47,0,86,0,6,0,125
Pittsburgh Institute of Mortuary SciencePennsylvania,217,115,0,1,24,3,0,189,0,0,0,28
Eagle Gate College at LaytonUtah,217,149,3,2,10,40,1,122,4,35,0,60
Everest College at Salt Lake CityUtah,217,177,12,6,5,59,15,96,5,19,0,102
Midwives College of UtahUtah,217,217,4,0,9,13,1,179,0,11,0,27
Globe U.-Madison East (Wis.)Wisconsin,217,179,1,2,21,10,2,174,0,7,0,36
ITT Technical Institute at Huntington (W.V.)West Virginia,217,96,1,0,18,1,0,189,2,6,0,22
MacCormac CollegeIllinois,216,176,0,3,120,41,1,47,4,0,0,169
ITT Technical Institute at Eden Prairie (Minn.)Minnesota,216,54,1,20,22,16,0,147,6,4,0,65
ITT Technical Institute at Durham (N.C.)North Carolina,216,76,1,1,158,13,0,33,6,4,0,179
Eastern International College at BellevilleNew Jersey,216,191,0,9,57,92,0,58,0,0,0,158
Vet Tech Institute of HoustonTexas,216,198,2,7,20,76,1,97,7,6,0,113
Emmaus Bible CollegeIowa,216,121,2,3,12,12,2,161,7,16,1,38
Long Island U. at BrentwoodNew York,216,190,0,2,18,26,0,139,11,20,0,57
ITT Technical Institute at Liverpool (N.Y.)New York,215,46,2,5,43,9,0,146,7,3,0,66
Radians CollegeDistrict of Columbia,215,180,0,6,159,9,0,5,33,3,0,207
Yeshiva Toras ChaimNew Jersey,215,0,0,0,0,0,0,206,0,0,9,0
National American U. at Georgetown (Tex.)Texas,215,163,0,0,43,45,0,105,20,2,0,108
Appalachian College of PharmacyVirginia,214,117,0,37,31,2,0,141,0,2,1,70
National American U. at Lewisville (Tex.)Texas,213,138,2,1,95,10,2,89,13,1,0,123
Columbia Theological SeminaryGeorgia,213,117,0,24,54,3,1,104,1,0,26,83
ITT Technical Institute at Westminster (Colo.)Colorado,212,60,7,7,8,54,0,124,9,3,0,85
Rabbinical College of AmericaNew Jersey,212,0,0,0,2,1,0,180,0,0,29,3
Centura College at Newport NewsVirginia,211,167,0,2,142,17,2,31,12,5,0,175
Trinity Lutheran CollegeWashington,211,114,3,15,36,38,4,111,1,3,0,97
U. of Phoenix at Birmingham (Ala.)Alabama,211,156,0,0,110,6,1,44,6,43,1,123
International Academy of Design and Technology at Orlando (Fla.)Florida,211,126,0,4,50,31,2,41,4,79,0,91
West Tennessee Business CollegeTennessee,211,203,0,0,119,6,0,86,0,0,0,125
Central Maine Medical Center College of Nursing and Health ProfessionsMaine,210,179,1,1,2,2,1,202,0,1,0,7
Cambridge Institute of Allied Health & TechnologyFlorida,210,172,0,4,70,24,0,102,10,0,0,108
Interior Designers InstituteCalifornia,210,193,1,23,3,31,0,140,5,1,6,63
Antonelli College at Hattiesburg (Miss.)Mississippi,209,182,2,0,145,2,1,56,2,1,0,152
Platt College (Colo.)Colorado,209,186,1,8,7,19,1,163,7,3,0,43
St. Elizabeth Medical Center School of RadiographyNew York,209,185,1,7,2,2,0,186,3,0,8,15
Art Academy of CincinnatiOhio,209,128,1,5,20,12,1,164,5,0,1,44
Wolford CollegeFlorida,208,82,1,20,12,13,1,161,0,0,0,47
Brown College of Court ReportingGeorgia,208,197,0,1,98,10,0,99,0,0,0,109
Delta School of Business & TechnologyLouisiana,208,180,0,0,67,1,0,78,0,62,0,68
Louisiana Culinary InstituteLouisiana,208,115,0,2,59,5,0,142,0,0,0,66
National American U. at Austin (Tex.)Texas,207,146,0,2,80,27,0,79,13,6,0,122
Wade College Dallas Market CenterTexas,207,177,3,7,69,32,3,42,0,49,2,114
Fortis College at Largo (Fla.)Florida,207,148,1,1,53,14,1,95,4,38,0,74
ATA Career EducationFlorida,206,187,0,1,21,32,0,116,2,34,0,56
Center for Advanced Legal StudiesTexas,206,177,1,2,54,60,0,86,1,2,0,118
Miami-Jacobs Career College at TroyOhio,206,142,0,1,8,6,0,182,3,6,0,18
Northern SeminaryIllinois,205,66,1,6,62,6,1,123,4,0,2,80
Chester Career CollegeVirginia,205,193,0,0,141,2,0,61,0,1,0,143
American Jewish U.California,204,108,2,0,2,6,1,65,1,127,0,12
Los Angeles County College of Nursing and Allied HealthCalifornia,204,160,1,68,10,79,0,45,1,0,0,159
Santa Barbara Business College at Santa Maria (Calif.)California,204,171,0,1,5,149,2,42,3,1,1,160
ITT Technical Institute at Tarentum (Pa.)Pennsylvania,204,45,1,1,17,2,1,174,3,5,0,25
Saint Charles Borromeo SeminaryPennsylvania,204,28,0,6,18,12,0,141,1,22,4,37
Everest College at Fort WorthTexas,204,177,1,2,41,68,1,81,8,2,0,121
National American U. at Mesquite (Tex.)Texas,203,155,1,0,138,11,0,33,20,0,0,170
Eastern Virginia Career CVirginia,203,191,1,0,45,14,0,132,3,8,0,63
Globe U. at Appleton (Wis.)Wisconsin,203,181,1,3,6,6,0,181,0,6,0,16
Florida College of Natural Health at Pompano BeachFlorida,203,173,2,5,56,61,1,66,9,3,0,134
Florida College of Natural Health at MiamiFlorida,202,162,1,1,32,117,0,17,2,32,0,153
Institute of Technical ArtsFlorida,202,178,0,3,23,72,0,104,0,0,0,98
Ohio Technical College-PowerSport InstituteOhio,202,13,0,1,9,3,0,177,12,0,0,25
Southwest U. of Visual Arts at AlbuquerqueNew Mexico,202,108,18,1,5,77,0,78,0,23,0,101
Southern California SeminaryCalifornia,201,81,2,29,40,26,0,87,2,5,10,99
Lutheran Theological Seminary at PhiladelphiaPennsylvania,200,107,0,2,69,7,0,108,5,0,9,83
Pennsylvania College of Art & DesignPennsylvania,200,144,1,5,8,9,0,154,9,13,1,32
School of Professional Psychology at Forest InstituteMissouri,200,145,4,7,7,1,0,169,3,9,0,22
Harrison College at Morrisville (N.C.)North Carolina,200,94,2,3,102,8,1,69,7,8,0,123
Laurel U.North Carolina,199,83,17,1,71,6,0,97,4,3,0,99
National American U. at IndianapolisIndiana,199,164,0,1,87,3,0,90,17,1,0,108
U. of Phoenix at Boston (Mass.)Massachusetts,198,49,2,2,35,12,0,64,9,71,3,60
Kaplan College at Beaumont (Tex.)Texas,198,176,0,0,94,28,2,72,0,2,0,124
Mirrer Yeshiva Central InstituteNew York,197,0,0,0,0,0,0,184,0,0,13,0
DeVry U. of OklahomaOklahoma,197,96,4,3,26,16,0,80,5,58,5,54
Mid-Atlantic Christian U.North Carolina,196,118,2,3,52,3,0,129,2,2,3,62
Colorado School of TradesColorado,196,1,0,0,0,2,1,43,0,150,0,3
Everest Institute at MiamiFlorida,196,136,0,1,138,48,0,3,3,3,0,190
AOMA Graduate School of Integrative MedicineTexas,196,146,0,13,10,17,0,138,0,18,0,40
Brite Divinity SchoolTexas,196,98,2,5,29,7,0,138,0,1,14,43
Pacific College of Oriental Medicine (Ill.)Illinois,196,142,0,15,15,24,1,117,10,14,0,65
Minnesota School of Business at LakevilleMinnesota,195,141,4,2,7,5,2,148,0,27,0,20
ITT Technical Institute at Maumee (Ohio)Ohio,195,46,3,0,36,14,0,133,2,7,0,55
Sioux Falls SeminarySouth Dakota,195,75,1,3,14,2,0,175,0,0,0,20
Clinton CollegeSouth Carolina,194,88,0,0,162,3,0,1,3,25,0,168
Yeshivath Gedolah Zichron MosheNew York,194,0,0,0,0,0,0,182,0,0,12,0
Northland International U.Wisconsin,194,101,1,2,2,1,8,130,0,44,6,14
Vatterott College at Des MoinesIowa,194,120,0,5,31,9,1,128,0,20,0,46
Knowledge Systems InstituteIllinois,193,69,0,2,0,0,0,2,0,0,189,2
L'Ecole Culinaire at Kansas City (Mo.)Missouri,193,90,1,1,96,3,1,47,11,33,0,113
Trinity Law and Graduate SchoolCalifornia,193,93,1,32,27,39,5,68,5,15,1,109
Davis CollegeOhio,193,157,1,0,74,6,0,109,0,3,0,81
Herzing U. at Toldeo (Ohio)Ohio,193,155,2,1,88,4,37,52,4,5,0,136
Miami-Jacobs Career College at IndependenceOhio,193,158,8,1,127,14,0,32,2,9,0,152
Trumbull Business CollegeOhio,192,147,0,0,37,3,0,148,4,0,0,44
Chief Dull Knife CollegeMontana,192,114,179,0,0,0,0,13,0,0,0,179
Golf Academy of America (Fla.)Florida,192,9,0,2,10,16,0,119,1,44,0,29
Rasmussen College (Kan.)Kansas,192,154,5,2,38,3,0,125,6,13,0,54
