name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Southern University at Shreveport,Louisiana,LA,Public,2 Year,11390,4380,15770,4380,15770
Southern Utah University,Utah,UT,Public,4 Year,7090,6769,13859,20585,27675
Southern Vermont College,Vermont,VT,Private,4 Year,11000,25511,36511,25511,36511
Southern Virginia University,Virginia,VA,Private,4 Year,6766,16495,23261,16495,23261
Southern Wesleyan University,South Carolina,SC,Private,4 Year,9030,25476,34506,25476,34506
Southern West Virginia Community and Technical College,West Virginia,WV,Public,2 Year,NA,3672,3672,5761,5761
Southside Virginia Community College,Virginia,VA,Public,2 Year,NA,4695,4695,10623,10623
Southwest Baptist University,Missouri,MO,Private,4 Year,7720,24010,31730,24010,31730
Southwest Minnesota State University,Minnesota,MN,Public,4 Year,7985,8632,16617,8632,16617
Southwest Mississippi Community College,Mississippi,MS,Public,2 Year,3750,3280,7030,5980,9730
Southwest Tennessee Community College,Tennessee,TN,Public,2 Year,NA,5554,5554,20914,20914
Southwest Texas Junior College,Texas,TX,Public,2 Year,4600,2978,7578,5808,10408
Southwest University,Louisiana,LA,For Profit,4 Year,NA,8450,8450,8450,8450
Southwest Virginia Community College,Virginia,VA,Public,2 Year,NA,4703,4703,10631,10631
Southwest Wisconsin Technical College,Wisconsin,WI,Public,2 Year,NA,4026,4026,6039,6039
Southwestern Adventist University,Texas,TX,Private,4 Year,7600,21564,29164,21564,29164
Southwestern Assemblies of God University,Texas,TX,Private,4 Year,7500,20952,28452,20952,28452
Southwestern Baptist Theological Seminary,Texas,TX,Private,4 Year,2650,11740,14390,11740,14390
Southwestern Christian College,Texas,TX,Private,4 Year,6042,8364,14406,8364,14406
Southwestern Christian University,Oklahoma,OK,Private,4 Year,7100,18630,25730,18630,25730
Southwestern College,California,CA,Public,2 Year,NA,1428,1428,8778,8778
Southwestern College,Kansas,KS,Private,4 Year,7760,30150,37910,30150,37910
Southwestern Community College,Iowa,IA,Public,2 Year,7660,5910,13570,6120,13780
Southwestern Community College,North Carolina,NC,Public,2 Year,NA,2371,2371,8131,8131
Southwestern Illinois College,Illinois,IL,Public,2 Year,NA,3660,3660,15870,15870
Southwestern Michigan College,Michigan,MI,Public,2 Year,6500,5145,11645,6675,13175
Southwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,5830,7035,12865,13935,19765
Southwestern Oregon Community College,Oregon,OR,Public,2 Year,7857,6009,13866,6009,13866
Southwestern University,Texas,TX,Private,4 Year,12000,42000,54000,42000,54000
Spalding University,Kentucky,KY,Private,4 Year,7600,24500,32100,24500,32100
Spartanburg Community College,South Carolina,SC,Public,2 Year,NA,5640,5640,11490,11490
Spartanburg Methodist College,South Carolina,SC,Private,2 Year,9375,17035,26410,17035,26410
Spelman College,Georgia,GA,Private,4 Year,13865,29314,43179,29314,43179
Spokane Community College,Washington,WA,Public,2 Year,NA,4393,4393,9824,9824
Spokane Falls Community College,Washington,WA,Public,2 Year,NA,4861,4861,10292,10292
Spoon River College,Illinois,IL,Public,2 Year,NA,4950,4950,11370,11370
Spring Arbor University,Michigan,MI,Private,4 Year,10010,28810,38820,28810,38820
Spring Hill College,Alabama,AL,Private,4 Year,13462,39464,52926,39464,52926
Springfield College,Massachusetts,MA,Private,4 Year,12550,37445,49995,37445,49995
Springfield Technical Community College,Massachusetts,MA,Public,2 Year,NA,6306,6306,12816,12816
St. Ambrose University,Iowa,IA,Private,4 Year,10470,30894,41364,30894,41364
St. Andrews University,North Carolina,NC,Private,4 Year,10706,26648,37354,26648,37354
St. Augustine College,Illinois,IL,Private,4 Year,NA,11400,11400,11400,11400
St. Catherine University,Minnesota,MN,Private,4 Year,9260,39669,48929,39669,48929
St. Charles Borromeo Seminary - Overbrook,Pennsylvania,PA,Private,4 Year,13700,21275,34975,21275,34975
St. Charles Community College,Missouri,MO,Public,2 Year,NA,3333,3333,6720,6720
St. Clair County Community College,Michigan,MI,Public,2 Year,NA,4440,4440,11190,11190
St. Cloud Technical and Community College,Minnesota,MN,Public,2 Year,NA,5377,5377,5377,5377
St. Edward's University,Texas,TX,Private,4 Year,13650,45428,59078,45428,59078
St. Elizabeth College of Nursing,New York,NY,Private,2 Year,NA,16630,16630,16630,16630
St. Francis College,New York,NY,Private,4 Year,14500,26188,40688,26188,40688
St. Francis Medical Center College of Nursing,Illinois,IL,Private,4 Year,3700,20460,24160,20460,24160
St. Francis University,Pennsylvania,PA,Private,4 Year,12122,36410,48532,36410,48532
St. Gregory's University,Oklahoma,OK,Private,4 Year,8662,22050,30712,22050,30712
St. John Fisher College,New York,NY,Private,4 Year,12400,34310,46710,34310,46710
St. John Vianney College Seminary,Florida,FL,Private,4 Year,11000,21000,32000,21000,32000
St. John's College,Illinois,IL,Private,4 Year,NA,23695,23695,23695,23695
St. John's College,Maryland,MD,Private,4 Year,12602,53218,65820,53218,65820
St. John's College,New Mexico,NM,Private,4 Year,12148,54118,66266,54118,66266
St. John's University,New York,NY,Private,4 Year,17280,41760,59040,41760,59040
St. John's University,Minnesota,MN,Private,4 Year,10319,44990,55309,44990,55309
St. Joseph Seminary College,Louisiana,LA,Private,4 Year,15150,17800,32950,17800,32950
St. Joseph's College New York: Suffolk Campus,New York,NY,Private,4 Year,NA,27860,27860,27860,27860
St. Joseph's College of Nursing,New York,NY,Private,2 Year,6000,21195,27195,21195,27195
"St. Joseph's College, New York",New York,NY,Private,4 Year,NA,27850,27850,27850,27850
St. Lawrence University,New York,NY,Private,4 Year,14134,54846,68980,54846,68980
St. Louis Christian College,Missouri,MO,Private,4 Year,5050,11560,16610,11560,16610
St. Louis Community College,Missouri,MO,Public,2 Year,NA,3315,3315,6465,6465
St. Louis Community College at Florissant Valley,Missouri,MO,Public,2 Year,NA,3315,3315,6465,6465
St. Louis Community College at Meramec,Missouri,MO,Public,2 Year,NA,3315,3315,6465,6465
St. Luke's College,Iowa,IA,Private,2 Year,NA,20460,20460,20460,20460
St. Mary's College of Maryland,Maryland,MD,Public,4 Year,13202,14806,28008,30568,43770
St. Mary's University,Texas,TX,Private,4 Year,10270,30650,40920,30650,40920
St. Mary's University of Minnesota,Minnesota,MN,Private,4 Year,9080,35140,44220,35140,44220
St. Mary-of-the-Woods College,Indiana,IN,Private,4 Year,10914,29510,40424,29510,40424
St. Norbert College,Wisconsin,WI,Private,4 Year,9954,38129,48083,38129,48083
St. Olaf College,Minnesota,MN,Private,4 Year,10850,47840,58690,47840,58690
St. Paul College,Minnesota,MN,Public,2 Year,NA,5561,5561,5561,5561
St. Petersburg College,Florida,FL,Public,2 Year,NA,3443,3443,11697,11697
St. Philip's College,Texas,TX,Public,2 Year,NA,2720,2720,13730,13730
St. Thomas Aquinas College,New York,NY,Private,4 Year,13250,31950,45200,31950,45200
St. Vincent College,Pennsylvania,PA,Private,4 Year,11470,35874,47344,35874,47344
St. Vincent's College,Connecticut,CT,Private,2 Year,NA,18750,18750,18750,18750
Stanford University,California,CA,Private,4 Year,15763,51354,67117,51354,67117
Stanly Community College,North Carolina,NC,Public,2 Year,NA,2673,2673,8817,8817
Stark State College,Ohio,OH,Public,2 Year,NA,5088,5088,8958,8958
"State College of Florida, Manatee-Sarasota",Florida,FL,Public,2 Year,NA,3074,3074,11596,11596
State Fair Community College,Missouri,MO,Public,2 Year,5300,3750,9050,7200,12500
State Technical College of Missouri,Missouri,MO,Public,2 Year,5840,6120,11960,11160,17000
Stephen F. Austin State University,Texas,TX,Public,4 Year,8964,10287,19251,22737,31701
Stephens College,Missouri,MO,Private,4 Year,10632,30950,41582,30950,41582
Sterling College,Vermont,VT,Private,4 Year,9900,38800,48700,38800,48700
Sterling College,Kansas,KS,Private,4 Year,8280,26000,34280,26000,34280
Stetson University,Florida,FL,Private,4 Year,13052,46030,59082,46030,59082
Stevens Institute of Business & Arts,Missouri,MO,For Profit,2 Year,NA,14910,14910,14910,14910
Stevens Institute of Technology,New Jersey,NJ,Private,4 Year,15244,52202,67446,52202,67446
Stevenson University,Maryland,MD,Private,4 Year,13130,36182,49312,36182,49312
Stillman College,Alabama,AL,Private,4 Year,7394,10938,18332,10938,18332
Stockton University,New Jersey,NJ,Public,4 Year,12282,13739,26021,20866,33148
Stone Child College,Montana,MT,Public,2 Year,NA,2645,2645,2645,2645
Stonehill College,Massachusetts,MA,Private,4 Year,16000,42746,58746,42746,58746
Stratford University: Falls Church,Virginia,VA,For Profit,4 Year,NA,16750,16750,16750,16750
Stratford University: Woodbridge,Virginia,VA,For Profit,4 Year,NA,16750,16750,16750,16750
Suffolk County Community College,New York,NY,Public,2 Year,NA,6020,6020,11240,11240
Suffolk University,Massachusetts,MA,Private,4 Year,17846,38566,56412,38566,56412
Sul Ross State University,Texas,TX,Public,4 Year,8242,8309,16551,20759,29001
Sullivan County Community College,New York,NY,Public,2 Year,9828,5690,15518,10504,20332
SUM Bible College & Theological Seminary,California,CA,Private,4 Year,3375,9865,13240,9865,13240
SUNY College at Brockport,New York,NY,Public,4 Year,13358,8412,21770,18192,31550
SUNY College at Buffalo,New York,NY,Public,4 Year,14050,8210,22260,17990,32040
SUNY College at Cortland,New York,NY,Public,4 Year,12486,8558,21044,18338,30824
SUNY College at Fredonia,New York,NY,Public,4 Year,12630,8488,21118,18268,30898
SUNY College at Geneseo,New York,NY,Public,4 Year,13610,8651,22261,18431,32041
SUNY College at New Paltz,New York,NY,Public,4 Year,13462,8254,21716,18034,31496
SUNY College at Old Westbury,New York,NY,Public,4 Year,11530,8143,19673,17923,29453
SUNY College at Oneonta,New York,NY,Public,4 Year,12794,8166,20960,17816,30610
SUNY College at Oswego,New York,NY,Public,4 Year,14140,8440,22580,18220,32360
SUNY College at Plattsburgh,New York,NY,Public,4 Year,12988,8479,21467,18259,31247
SUNY College at Potsdam,New York,NY,Public,4 Year,13390,8462,21852,18242,31632
SUNY College at Purchase,New York,NY,Public,4 Year,13764,8698,22462,18478,32242
SUNY College of Agriculture and Technology at Cobleskill,New York,NY,Public,2 Year,13350,8654,22004,18434,31784
SUNY College of Agriculture and Technology at Morrisville,New York,NY,Public,4 Year,13550,8481,22031,12943,26493
SUNY College of Environmental Science and Forestry,New York,NY,Public,4 Year,16600,8804,25404,18584,35184
SUNY College of Technology at Alfred,New York,NY,Public,4 Year,12570,8570,21140,18350,30920
SUNY College of Technology at Canton,New York,NY,Public,2 Year,12900,8389,21289,18169,31069
SUNY College of Technology at Delhi,New York,NY,Public,2 Year,12360,8360,20720,12330,24690
SUNY Downstate Medical Center,New York,NY,Public,4 Year,NA,7481,7481,16931,16931
SUNY Empire State College,New York,NY,Public,4 Year,NA,7405,7405,17185,17185
SUNY Farmingdale State College,New York,NY,Public,4 Year,13238,8306,21544,18086,31324
SUNY Maritime College,New York,NY,Public,4 Year,12522,8283,20805,18063,30585
SUNY Polytechnic Institute,New York,NY,Public,4 Year,12722,8448,21170,18228,30950
SUNY University at Albany,New York,NY,Public,4 Year,13664,9756,23420,26596,40260
SUNY University at Binghamton,New York,NY,Public,4 Year,15058,9808,24866,24488,39546
SUNY University at Buffalo,New York,NY,Public,4 Year,14213,10099,24312,27769,41982
SUNY University at Stony Brook,New York,NY,Public,4 Year,13698,9625,23323,27295,40993
SUNY Upstate Medical University,New York,NY,Public,4 Year,NA,7706,7706,17486,17486
Surry Community College,North Carolina,NC,Public,2 Year,NA,2383,2383,8143,8143
Susquehanna University,Pennsylvania,PA,Private,4 Year,12630,47290,59920,47290,59920
Sussex County Community College,New Jersey,NJ,Public,2 Year,4155,6750,10905,10950,15105
Swarthmore College,Pennsylvania,PA,Private,4 Year,15474,52588,68062,52588,68062
Sweet Briar College,Virginia,VA,Private,4 Year,13000,21000,34000,21000,34000
Syracuse University,New York,NY,Private,4 Year,15550,51853,67403,51853,67403
Tabor College,Kansas,KS,Private,4 Year,9850,28245,38095,28245,38095
Tacoma Community College,Washington,WA,Public,2 Year,NA,4320,4320,9751,9751
Taft College,California,CA,Public,2 Year,4942,1380,6322,9120,14062
Talladega College,Alabama,AL,Private,4 Year,6704,12510,19214,12510,19214
Tallahassee Community College,Florida,FL,Public,2 Year,NA,3030,3030,11460,11460
Talmudic University,Florida,FL,Private,4 Year,8000,13250,21250,13250,21250
Talmudical Academy of New Jersey,New Jersey,NJ,Private,4 Year,3000,13300,16300,13300,16300
Talmudical Institute of Upstate New York,New York,NY,Private,4 Year,4400,6150,10550,6150,10550
Talmudical Seminary Oholei Torah,New York,NY,Private,4 Year,7700,9800,17500,9800,17500
Talmudical Yeshiva of Philadelphia,Pennsylvania,PA,Private,4 Year,7425,9075,16500,9075,16500
Tarleton State University,Texas,TX,Public,4 Year,11800,9077,20877,21412,33212
Tarrant County College,Texas,TX,Public,2 Year,NA,1770,1770,7650,7650
Taylor University,Indiana,IN,Private,4 Year,9614,34114,43728,34114,43728
Technical Career Institutes,New York,NY,For Profit,2 Year,NA,13800,13800,13800,13800
Technical College of the Lowcountry,South Carolina,SC,Public,2 Year,NA,5880,5880,12570,12570
Telshe Yeshiva-Chicago,Illinois,IL,Private,4 Year,NA,15000,15000,15000,15000
Temple College,Texas,TX,Public,2 Year,NA,3360,3360,7890,7890
Temple University,Pennsylvania,PA,Public,4 Year,11916,16970,28886,29066,40982
Tennessee State University,Tennessee,TN,Public,4 Year,7806,8008,15814,21364,29170
Tennessee Technological University,Tennessee,TN,Public,4 Year,9736,9103,18839,25759,35495
Tennessee Wesleyan University,Tennessee,TN,Private,4 Year,7880,24800,32680,24800,32680
Terra State Community College,Ohio,OH,Public,2 Year,NA,4824,4824,8952,8952
Texarkana College,Texas,TX,Public,2 Year,NA,2720,2720,5870,5870
Texas A&M International University,Texas,TX,Public,4 Year,8320,8640,16960,22260,30580
Texas A&M University,Texas,TX,Public,4 Year,10436,10968,21404,36442,46878
Texas A&M University-Commerce,Texas,TX,Public,4 Year,8750,8748,17498,21198,29948
Texas A&M University-Corpus Christi,Texas,TX,Public,4 Year,10220,9909,20129,22131,32351
Texas A&M University-Kingsville,Texas,TX,Public,4 Year,8760,8462,17222,20912,29672
Texas A&M University-Texarkana,Texas,TX,Public,4 Year,8732,7024,15756,22060,30792
Texas Christian University,Texas,TX,Private,4 Year,12804,46950,59754,46950,59754
Texas College,Texas,TX,Private,4 Year,8000,10008,18008,10008,18008
Texas County Technical College,Missouri,MO,Private,2 Year,NA,15687,15687,15687,15687
Texas Lutheran University,Texas,TX,Private,4 Year,9720,30050,39770,30050,39770
Texas Southern University,Texas,TX,Public,4 Year,10282,9173,19455,21623,31905
Texas State Technical College,Texas,TX,Public,2 Year,5494,5250,10744,10020,15514
Texas State University,Texas,TX,Public,4 Year,9374,10935,20309,23385,32759
Texas Tech University,Texas,TX,Public,4 Year,9530,11045,20575,23495,33025
Texas Tech University Health Sciences Center,Texas,TX,Public,4 Year,NA,7911,7911,20361,20361
Texas Wesleyan University,Texas,TX,Private,4 Year,10559,30300,40859,30300,40859
Texas Woman's University,Texas,TX,Public,4 Year,8181,9368,17549,21818,29999
Thaddeus Stevens College of Technology,Pennsylvania,PA,Public,2 Year,8330,8030,16360,8030,16360
The Citadel,South Carolina,SC,Public,4 Year,6904,14289,21193,36761,43665
The College of New Jersey,New Jersey,NJ,Public,4 Year,13617,16551,30168,28266,41883
The King's College,New York,NY,Private,4 Year,14000,36450,50450,36450,50450
The King's University,Texas,TX,Private,4 Year,NA,15000,15000,15000,15000
The Master's University and Seminary,California,CA,Private,4 Year,11200,25390,36590,25390,36590
The New School College of Performing Arts,New York,NY,Private,4 Year,18000,48191,66191,48191,66191
The Sage Colleges,New York,NY,Private,4 Year,12618,30857,43475,30857,43475
The Workforce Institute's City College,Pennsylvania,PA,Private,2 Year,NA,12147,12147,12147,12147
Thiel College,Pennsylvania,PA,Private,4 Year,12600,31700,44300,31700,44300
Thomas Aquinas College,California,CA,Private,4 Year,8400,25000,33400,25000,33400
Thomas College,Maine,ME,Private,4 Year,11250,26900,38150,26900,38150
Thomas Edison State University,New Jersey,NJ,Public,4 Year,NA,7519,7519,9967,9967
Thomas Jefferson University: East Falls,Pennsylvania,PA,Private,4 Year,13465,40501,53966,40501,53966
Thomas More College,Kentucky,KY,Private,4 Year,7950,31120,39070,31120,39070
Thomas More College of Liberal Arts,New Hampshire,NH,Private,4 Year,9700,21600,31300,21600,31300
Thomas Nelson Community College,Virginia,VA,Public,2 Year,NA,4806,4806,10734,10734
Thomas University,Georgia,GA,Private,4 Year,4800,16940,21740,16940,21740
Three Rivers Community College,Missouri,MO,Public,2 Year,3440,4110,7550,6990,10430
Three Rivers Community College,Connecticut,CT,Public,2 Year,NA,4404,4404,12228,12228
Tidewater Community College,Virginia,VA,Public,2 Year,NA,5561,5561,11489,11489
Tiffin University,Ohio,OH,Private,4 Year,10600,25000,35600,25000,35600
Tillamook Bay Community College,Oregon,OR,Public,2 Year,4082,4860,8942,5760,9842
Toccoa Falls College,Georgia,GA,Private,4 Year,8330,22744,31074,22744,31074
Tohono O'odham Community College,Arizona,AZ,Public,2 Year,7622,987,8609,987,8609
Tompkins Cortland Community College,New York,NY,Public,2 Year,11220,6046,17266,11296,22516
Torah Temimah Talmudical Seminary,New York,NY,Private,4 Year,3500,11050,14550,11050,14550
Tougaloo College,Mississippi,MS,Private,4 Year,6643,10790,17433,10790,17433
Touro College,New York,NY,Private,4 Year,10396,16953,27349,16953,27349
Touro University Worldwide,California,CA,Private,4 Year,NA,14400,14400,14400,14400
Towson University,Maryland,MD,Public,4 Year,13034,9940,22974,23208,36242
Transylvania University,Kentucky,KY,Private,4 Year,10460,38750,49210,38750,49210
Treasure Valley Community College,Oregon,OR,Public,2 Year,7283,5445,12728,5895,13178
Trevecca Nazarene University,Tennessee,TN,Private,4 Year,8400,25598,33998,25598,33998
Tri-County Community College,North Carolina,NC,Public,2 Year,NA,2339,2339,8099,8099
Tri-County Technical College,South Carolina,SC,Public,2 Year,NA,5408,5408,12188,12188
Tri-State Bible College,Ohio,OH,Private,4 Year,NA,10500,10500,10500,10500
Trident Technical College,South Carolina,SC,Public,2 Year,NA,5584,5584,10444,10444
Trident University International,California,CA,For Profit,4 Year,NA,11550,11550,11550,11550
Trine University,Indiana,IN,Private,4 Year,10810,32175,42985,32175,42985
Trinidad State Junior College,Colorado,CO,Public,2 Year,6898,4972,11870,7951,14849
Trinity Baptist College,Florida,FL,Private,4 Year,7040,12140,19180,12140,19180
Trinity Bible College,North Dakota,ND,Private,4 Year,6132,16320,22452,16320,22452
Trinity Christian College,Illinois,IL,Private,4 Year,9790,30650,40440,30650,40440
Trinity College,Connecticut,CT,Private,4 Year,14750,56910,71660,56910,71660
Trinity College of Florida,Florida,FL,Private,4 Year,6650,16340,22990,16340,22990
Trinity College of Nursing & Health Sciences,Illinois,IL,Private,4 Year,NA,24215,24215,24215,24215
Trinity International University,Illinois,IL,Private,4 Year,9900,32390,42290,32390,42290
Trinity University,Texas,TX,Private,4 Year,13464,42976,56440,42976,56440
Trinity Valley Community College,Texas,TX,Public,2 Year,6590,2640,9230,5970,12560
Trinity Washington University,NA,DC,Private,4 Year,11160,24150,35310,24150,35310
Triton College,Illinois,IL,Public,2 Year,NA,4650,4650,12539,12539
Trocaire College,New York,NY,Private,2 Year,NA,17650,17650,17650,17650
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060
Truckee Meadows Community College,Nevada,NV,Public,2 Year,NA,3338,3338,10250,10250
Truett McConnell University,Georgia,GA,Private,4 Year,7550,20230,27780,20230,27780
Truman State University,Missouri,MO,Public,4 Year,8780,7729,16509,14581,23361
Tufts University,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942
Tulane University,Louisiana,LA,Private,4 Year,15190,54820,70010,54820,70010
Tulsa Community College,Oklahoma,OK,Public,2 Year,NA,4187,4187,10727,10727
Tunxis Community College,Connecticut,CT,Public,2 Year,NA,4404,4404,13172,13172
Turabo University,NA,PR,Private,4 Year,NA,7050,7050,7050,7050
Tusculum College,Tennessee,TN,Private,4 Year,9190,24860,34050,24860,34050
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820
Tyler Junior College,Texas,TX,Public,2 Year,7940,2962,10902,5482,13422
U.T.A. Mesivta-Kiryas Joel,New York,NY,Private,4 Year,4600,11000,15600,11000,15600
Ulster County Community College,New York,NY,Public,2 Year,NA,5340,5340,9820,9820
Umpqua Community College,Oregon,OR,Public,2 Year,NA,5851,5851,11070,11070
Union College,Nebraska,NE,Private,4 Year,7070,23780,30850,23780,30850
Union College,Kentucky,KY,Private,4 Year,7600,27140,34740,27140,34740
Union College,New York,NY,Private,4 Year,13563,55290,68853,55290,68853
Union County College,New Jersey,NJ,Public,2 Year,NA,5140,5140,10280,10280
Union Institute & University,Ohio,OH,Private,4 Year,NA,16526,16526,16526,16526
Union University,Tennessee,TN,Private,4 Year,10200,32890,43090,32890,43090
United States Sports Academy,Alabama,AL,Private,4 Year,NA,12210,12210,12210,12210
United Talmudical Seminary,New York,NY,Private,4 Year,1500,13800,15300,13800,15300
United Tribes Technical College,North Dakota,ND,Private,2 Year,5084,4482,9566,4482,9566
Unity College,Maine,ME,Private,4 Year,10710,29160,39870,29160,39870
Universal Technology College of Puerto Rico,NA,PR,Private,2 Year,NA,18000,18000,18000,18000
Universidad Adventista de las Antillas,NA,PR,Private,4 Year,6400,6570,12970,6570,12970
Universidad del Este,NA,PR,Private,4 Year,NA,6330,6330,6330,6330
Universidad Metropolitana,NA,PR,Private,4 Year,NA,7050,7050,7050,7050
Universidad Pentecostal Mizpa,NA,PR,Private,4 Year,3760,4120,7880,4120,7880
Universidad Politecnica de Puerto Rico,NA,PR,Private,4 Year,4950,8610,13560,8610,13560
University College of San Juan,NA,PR,Public,4 Year,NA,2370,2370,2370,2370
University of Akron,Ohio,OH,Public,4 Year,12200,11463,23663,17750,29950
University of Akron: Wayne College,Ohio,OH,Public,2 Year,NA,5100,5100,8100,8100
University of Alabama,Alabama,AL,Public,4 Year,10102,10780,20882,29230,39332
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187
University of Alaska Southeast,Alaska,AK,Public,4 Year,9200,7092,16292,19404,28604
University of Antelope Valley,California,CA,Private,4 Year,6640,17738,24378,17738,24378
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936
University of Arkansas,Arkansas,AR,Public,4 Year,11020,9130,20150,25168,36188
University of Arkansas at Fort Smith,Arkansas,AR,Public,4 Year,8416,7128,15544,15969,24385
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975
University of Arkansas Community College Rich Mountain,Arkansas,AR,Public,2 Year,NA,3600,3600,4920,4920
University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,NA,8197,8197,15973,15973
University of Arkansas Pulaski-Technical College,Arkansas,AR,Public,2 Year,NA,5362,5362,6557,6557
University of Arkansas: Community College at Batesville,Arkansas,AR,Public,2 Year,NA,3150,3150,4140,4140
University of Arkansas: Community College at Hope,Arkansas,AR,Public,2 Year,NA,2830,2830,4090,4090
University of Arkansas: Community College at Morrilton,Arkansas,AR,Public,2 Year,NA,3920,3920,5090,5090
University of Baltimore,Maryland,MD,Public,4 Year,NA,8958,8958,21076,21076
University of Bridgeport,Connecticut,CT,Private,4 Year,13860,32850,46710,32850,46710
University of California: Berkeley,California,CA,Public,4 Year,16160,14184,30344,43176,59336
University of California: Davis,California,CA,Public,4 Year,16211,14463,30674,43458,59669
University of California: Irvine,California,CA,Public,4 Year,15263,15614,30877,44606,59869
University of California: Los Angeles,California,CA,Public,4 Year,15816,13774,29590,42766,58582
University of California: Merced,California,CA,Public,4 Year,16454,13627,30081,41641,58095
University of California: Riverside,California,CA,Public,4 Year,17475,15633,33108,44625,62100
University of California: San Diego,California,CA,Public,4 Year,12362,14199,26561,43191,55553
University of California: Santa Barbara,California,CA,Public,4 Year,15273,14424,29697,43416,58689
University of California: Santa Cruz,California,CA,Public,4 Year,16407,14009,30416,42023,58430
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128
University of Central Florida,Florida,FL,Public,4 Year,9617,6368,15985,22467,32084
University of Central Missouri,Missouri,MO,Public,4 Year,8766,7673,16439,14442,23208
University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970,7488,15458,18376,26346
University of Charleston,West Virginia,WV,Private,4 Year,9180,30900,40080,30900,40080
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580
University of Cincinnati,Ohio,OH,Public,4 Year,11118,11000,22118,26334,37452
University of Cincinnati: Blue Ash College,Ohio,OH,Public,2 Year,NA,6360,6360,15158,15158
University of Cincinnati: Clermont College,Ohio,OH,Public,2 Year,NA,5316,5316,12548,12548
University of Colorado Boulder,Colorado,CO,Public,4 Year,14418,12532,26950,37286,51704
University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,10500,10463,20963,24893,35393
University of Colorado Denver,Colorado,CO,Public,4 Year,NA,11394,11394,32004,32004
University of Connecticut,Connecticut,CT,Public,4 Year,12874,15730,28604,38098,50972
University of Dallas,Texas,TX,Private,4 Year,12400,40652,53052,40652,53052
University of Dayton,Ohio,OH,Private,4 Year,13580,42900,56480,42900,56480
University of Delaware,Delaware,DE,Public,4 Year,12862,13680,26542,34310,47172
University of Denver,Colorado,CO,Private,4 Year,13005,50556,63561,50556,63561
University of Detroit Mercy,Michigan,MI,Private,4 Year,9496,28000,37496,28000,37496
University of Dubuque,Iowa,IA,Private,4 Year,9930,34110,44040,34110,44040
University of Evansville,Indiana,IN,Private,4 Year,12460,36416,48876,36416,48876
University of Findlay,Ohio,OH,Private,4 Year,10000,34360,44360,34360,44360
University of Florida,Florida,FL,Public,4 Year,10120,6381,16501,28658,38778
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442
University of Great Falls,Montana,MT,Private,4 Year,9200,25318,34518,25318,34518
University of Hartford,Connecticut,CT,Private,4 Year,12476,40694,53170,40694,53170
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086
University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689,11970,25659,34002,47691
University of Hawaii: Hawaii Community College,Hawaii,HI,Public,2 Year,10418,3915,14333,10515,20933
University of Hawaii: Honolulu Community College,Hawaii,HI,Public,2 Year,NA,3885,3885,10305,10305
University of Hawaii: Kapiolani Community College,Hawaii,HI,Public,2 Year,NA,3915,3915,10335,10335
University of Hawaii: Kauai Community College,Hawaii,HI,Public,2 Year,NA,3963,3963,10383,10383
University of Hawaii: Leeward Community College,Hawaii,HI,Public,2 Year,NA,3915,3915,10335,10335
University of Hawaii: Maui College,Hawaii,HI,Public,2 Year,NA,3989,3989,10409,10409
University of Hawaii: West Oahu,Hawaii,HI,Public,4 Year,NA,7512,7512,20472,20472
University of Hawaii: Windward Community College,Hawaii,HI,Public,2 Year,NA,3895,3895,10315,10315
University of Holy Cross,Louisiana,LA,Private,4 Year,NA,17300,17300,17300,17300
University of Houston,Texas,TX,Public,4 Year,10270,12506,22776,27956,38226
University of Houston-Clear Lake,Texas,TX,Public,4 Year,NA,8500,8500,24731,24731
University of Houston-Downtown,Texas,TX,Public,4 Year,NA,7832,7832,20282,20282
University of Houston-Victoria,Texas,TX,Public,4 Year,8045,7970,16015,20420,28465
