State,Year,Total Employed RN,Employed Standard Error (%),Hourly Wage Avg,Hourly Wage Median,Annual Salary Avg,Annual Salary Median,Wage/Salary standard error (%),Hourly 10th Percentile,Hourly 25th Percentile,Hourly 75th Percentile,Hourly 90th Percentile,Annual 10th Percentile,Annual 25th Percentile,Annual 75th Percentile,Annual 90th Percentile,Location Quotient,Total Employed (National)_Aggregate,"Total Employed (Healthcare, National)_Aggregate","Total Employed (Healthcare, State)_Aggregate",Yearly Total Employed (State)_Aggregate
North Carolina,2007,80090,0.9,26.89,26.02,55920,54120,0.6,19.77,22.26,30.06,35.32,41120,46310,62520,73470,,135474020,6923830,209670,4013460
North Dakota,2007,7000,9,25.77,24.71,53610,51400,1.9,18.53,21.16,29.06,34.48,38530,44010,60440,71730,,135474020,6923830,19690,341970
Ohio,2007,114920,2.4,27.56,26.92,57320,55990,0.6,20.46,23.28,30.48,35.64,42560,48430,63400,74140,,135474020,6923830,308760,5341360
Oklahoma,2007,25700,5.2,24.2,23.8,50330,49510,0.7,17.27,20.29,28,31.53,35930,42200,58240,65590,,135474020,6923830,84510,1528890
Oregon,2007,29700,5.2,32.33,32.35,67250,67290,0.8,23.66,27.47,36.74,41.45,49220,57140,76430,86210,,135474020,6923830,75720,1682150
Pennsylvania,2007,126370,2.5,28.5,27.93,59280,58100,0.7,19.85,23.4,33,38.87,41280,48670,68640,80860,,135474020,6923830,342150,5663070
Rhode Island,2007,10600,2.7,31.34,31.43,65190,65380,1,22.84,26.51,36.12,39.91,47510,55140,75140,83020,,135474020,6923830,30000,485870
South Carolina,2007,35040,4.6,26.84,26.1,55820,54280,1.2,19.27,22.13,30.17,35.23,40070,46040,62740,73280,,135474020,6923830,96870,1877950
South Dakota,2007,9670,1.4,24.44,23.48,50830,48840,1.1,17.15,20.09,27.99,31.79,35660,41780,58230,66110,,135474020,6923830,23700,389400
Tennessee,2007,54960,3.7,26.88,25.95,55910,53980,0.8,19.22,21.89,30.25,35.75,39980,45540,62930,74360,,135474020,6923830,160070,2739230
Texas,2007,157870,2.2,28.71,28,59720,58240,0.6,19.87,23.54,32.93,38.6,41320,48960,68490,80290,,135474020,6923830,472670,10061750
Utah,2007,16670,2.7,27.01,26.35,56180,54810,0.8,20.28,22.58,30.75,35.8,42180,46960,63950,74460,,135474020,6923830,48910,1206180
Vermont,2007,5660,4.9,28.34,27.77,58950,57770,3.4,20.03,22.99,33.54,38.34,41660,47820,69770,79740,,135474020,6923830,16140,301140
Virginia,2007,57740,2.3,28.54,27.58,59350,57380,1,18.98,22.66,33.06,39.33,39470,47130,68770,81800,,135474020,6923830,165910,3645330
Washington,2007,49910,3.5,32.42,32.03,67430,66630,0.9,22.32,26.39,38.15,44.53,46420,54890,79350,92610,,135474020,6923830,131610,2811700
West Virginia,2007,16970,9,24.53,23.32,51020,48510,1.2,16.67,19.85,28.32,34.19,34670,41280,58900,71120,,135474020,6923830,47840,713230
Wisconsin,2007,50690,3,28.84,28.23,59980,58710,0.6,21.34,24.5,32.69,37.14,44380,50950,67990,77250,,135474020,6923830,142260,2768830
Wyoming,2007,4250,4.8,25.38,24.73,52800,51430,1.4,18.31,21.07,29.07,32.98,38080,43820,60470,68600,,135474020,6923830,11520,273170
Guam,2007,490,4,25.32,22.98,52670,47800,5.8,10.02,16.74,29.06,36.26,20840,34820,60450,75420,,135474020,6923830,1540,57920
Puerto Rico,2007,16240,3.6,12.51,11.55,26020,24020,2.7,7.86,9.25,14.36,18.07,16340,19240,29860,37570,,135474020,6923830,44590,1014970
Virgin Islands,2007,420,3.6,,,,,,,,,,,,,,,135474020,6923830,,46870
Alabama,2002,34970,3.3,21.21,20.6,44120,42850,1,14.48,17.11,24.65,27.91,30120,35590,51280,58050,,128588870,6226540,98150,1819390
Alaska,2002,5190,9.3,26.78,26.45,55700,55020,1.9,19.19,22.18,31.54,35.42,39920,46130,65610,73680,,128588870,6226540,12100,286580
Arizona,2002,32450,4.3,23.94,23.35,49800,48580,1.1,17.63,19.91,27.52,32.71,36670,41410,57240,68040,,128588870,6226540,93300,2245150
Arkansas,2002,18660,4.3,19.8,19.2,41180,39940,1.6,13.63,16.06,22.59,27.12,28340,33410,47000,56410,,128588870,6226540,59210,1120460
California,2002,206140,2.2,29.01,28.38,60350,59040,0.7,20.77,24.25,33.56,39.02,43190,50440,69800,81150,,128588870,6226540,586380,14460260
Colorado,2002,29210,3.5,23.47,23.17,48820,48200,1,16.66,19.58,27.03,31.83,34640,40720,56220,66210,,128588870,6226540,86450,2129430
Connecticut,2002,31330,3.1,26.4,26.05,54910,54170,1,19.31,22.71,29.88,34.48,40160,47230,62150,71720,,128588870,6226540,85730,1641320
Delaware,2002,6470,3.6,25.9,25.62,53870,53280,3.2,18.75,21.57,30.6,34.6,38990,44870,63650,71960,,128588870,6226540,18760,401370
District of Columbia,2002,8070,11.4,26.68,26.54,55500,55210,1,19.03,21.97,31.33,34.93,39590,45690,65170,72650,,128588870,6226540,25700,595060
Florida,2002,130000,4.4,22.62,21.78,47040,45310,0.6,16.41,18.87,25.83,29.61,34140,39250,53730,61590,,128588870,6226540,357530,7121770
Georgia,2002,55290,3.1,22.53,21.92,46870,45590,0.9,16.15,18.83,25.66,28.99,33590,39160,53370,60310,,128588870,6226540,161690,3782660
Hawaii,2002,7680,6.8,27.55,27.87,57300,57980,1.1,20.39,24.12,31.81,34.51,42410,50180,66170,71780,,128588870,6226540,22400,550480
Idaho,2002,10050,9.4,22.14,21.23,46050,44160,2.4,15.71,18.45,24.66,28.48,32680,38380,51290,59240,,128588870,6226540,26880,565650
Illinois,2002,98270,3.4,22.71,22.19,47230,46150,1,15.2,18.41,26.62,31.23,31610,38290,55370,64950,,128588870,6226540,275610,5795330
Indiana,2002,49840,3.6,20.94,20.64,43550,42930,0.9,15.09,17.88,24.08,27.43,31380,37180,50090,57060,,128588870,6226540,146910,2852390
Iowa,2002,27690,1.7,19.14,18.72,39810,38940,1.3,14.29,16.02,21.87,25.56,29730,33330,45490,53160,,128588870,6226540,67370,1412870
Kansas,2002,24900,4.4,19.84,19.33,41270,40210,1.1,14.58,16.51,22.51,26.64,30320,34350,46810,55400,,128588870,6226540,64150,1300120
Kentucky,2002,35230,2.5,21.03,20.52,43750,42690,1,15.14,17.38,24.34,27.7,31490,36150,50630,57620,,128588870,6226540,93530,1718680
Louisiana,2002,36530,3.2,21.72,21.11,45180,43920,0.9,15.07,18.15,25.03,28.62,31350,37750,52060,59540,,128588870,6226540,102840,1834110
Maine,2002,12100,4.4,22.3,21.74,46390,45230,1.3,15.97,18.7,25.72,29.75,33210,38890,53490,61890,,128588870,6226540,33460,593860
Maryland,2002,47030,3.1,29,29.66,60320,61680,1.7,19.04,23.6,34.39,39.31,39600,49090,71520,81760,,128588870,6226540,123130,2430770
Massachusetts,2002,71750,3.2,26.48,25.71,55080,53480,1.6,18.35,21.17,31.58,37.5,38160,44040,65690,78000,,128588870,6226540,179620,3200230
Michigan,2002,77660,3.6,24.06,23.68,50040,49260,0.9,17.75,20.23,26.91,30.23,36910,42070,55980,62880,,128588870,6226540,217070,4359760
Minnesota,2002,51310,3.2,25.14,24.92,52290,51830,0.9,18.38,21.14,28.86,33.3,38220,43980,60030,69270,,128588870,6226540,132710,2602140
Mississippi,2002,23180,5.2,20.7,19.77,43050,41130,1.7,13.98,16.41,24.07,29.31,29070,34130,50070,60960,,128588870,6226540,58330,1086740
Missouri,2002,50790,3.8,21.55,20.75,44830,43160,0.9,15.03,17.64,24.84,28.91,31250,36690,51670,60130,,128588870,6226540,144400,2636960
Montana,2002,7650,10.3,20.02,19.78,41630,41150,1.5,14.91,16.88,22.79,26.37,31010,35110,47400,54850,,128588870,6226540,20140,391530
Nebraska,2002,16320,2.4,20.41,20.17,42460,41950,0.9,14.94,17.36,23.18,26.83,31080,36110,48220,55810,,128588870,6226540,44920,873010
Nevada,2002,12740,3.9,25.54,25.45,53130,52930,1.2,18.76,22.19,28.77,33.36,39010,46150,59840,69380,,128588870,6226540,36230,1056670
New Hampshire,2002,11870,7,22.07,21.44,45910,44600,1.4,15.78,18.48,25.27,28.63,32820,38440,52550,59550,,128588870,6226540,29300,605680
New Jersey,2002,73530,2.8,26.36,26.22,54820,54530,0.6,19.3,22.76,30.32,34.55,40150,47340,63080,71870,,128588870,6226540,176770,3856640
New Mexico,2002,11660,5,22.63,22.22,47070,46220,1.6,15.86,18.6,26.1,29.85,32990,38690,54290,62090,,128588870,6226540,35310,730490
New York,2002,163600,2.3,26.97,26.17,56090,54430,1,17.06,21.02,32.59,39.57,35490,43720,67790,82310,,128588870,6226540,432460,8289380
North Carolina,2002,66290,1.7,22.29,21.66,46370,45050,0.5,16.47,18.78,25.3,28.1,34260,39060,52620,58450,,128588870,6226540,180730,3713570
North Dakota,2002,6180,6.4,20.67,19.97,42990,41540,1.4,15.11,17.24,23.07,27.2,31430,35860,47990,56570,,128588870,6226540,17290,312960
Ohio,2002,104810,2.3,22.5,21.92,46810,45590,0.7,16.54,19.01,25.63,28.71,34390,39540,53310,59720,,128588870,6226540,286680,5354510
Oklahoma,2002,21610,7.2,20.49,20.03,42620,41660,1.4,14.78,16.85,23.73,27.46,30750,35040,49360,57110,,128588870,6226540,74480,1425690
Oregon,2002,26370,5.9,24.96,24.92,51910,51830,0.8,18.67,21.71,27.97,32.45,38840,45150,58180,67500,,128588870,6226540,65840,1551990
Pennsylvania,2002,117470,2.9,23.05,22.47,47940,46730,0.8,15.83,18.95,26.59,31.23,32930,39410,55320,64960,,128588870,6226540,314860,5515630
Rhode Island,2002,11220,4.8,24.92,24.82,51830,51620,1,18.62,21.51,28.19,32.91,38730,44740,58640,68450,,128588870,6226540,28710,472020
South Carolina,2002,28610,3.2,22.99,22,47820,45770,1.4,16.13,18.85,26.48,31.86,33540,39210,55070,66270,,128588870,6226540,87310,1757510
South Dakota,2002,8410,1.2,19.52,18.97,40600,39460,1.2,14.64,16.27,22.04,26.12,30450,33840,45840,54330,,128588870,6226540,20380,364000
Tennessee,2002,53020,5.5,22.25,20.63,46280,42900,3.6,15.4,17.55,24.68,29.55,32040,36500,51330,61460,,128588870,6226540,144950,2617360
Texas,2002,136420,3,22.76,22.05,47340,45870,0.6,16.36,19.01,26.16,30.76,34020,39540,54410,63980,,128588870,6226540,408740,9187750
Utah,2002,13820,6.8,22.54,22.1,46880,45960,0.9,16.95,19.15,25.89,29.19,35250,39830,53850,60710,,128588870,6226540,42070,1044060
Vermont,2002,5440,4.1,21.56,21.06,44850,43800,2,15.74,18.29,24.69,27.94,32740,38040,51350,58120,,128588870,6226540,15580,293560
Virginia,2002,50780,4.8,22.89,21.62,47610,44960,1.4,15.86,18.47,26.33,31.8,32990,38430,54770,66150,,128588870,6226540,146650,3387520
Washington,2002,44150,4.1,25.92,25.66,53920,53380,0.9,18.8,21.64,30.23,34.31,39100,45010,62880,71370,,128588870,6226540,119810,2563910
West Virginia,2002,15720,5.6,20.09,19.11,41800,39740,1.6,14.41,16.24,22.56,26.61,29980,33770,46920,55360,,128588870,6226540,43820,681950
Wisconsin,2002,46560,3.2,23,22.45,47840,46690,0.7,17.42,19.48,26.19,29.85,36230,40530,54470,62080,,128588870,6226540,128140,2692560
Wyoming,2002,3530,2.8,20.19,19.99,41980,41590,1.6,14.11,16.91,23.38,26.79,29340,35180,48630,55730,,128588870,6226540,10470,240290
Guam,2002,350,7.2,19.38,18.78,40320,39070,1.9,13.42,16.08,21.94,26.51,27920,33440,45630,55150,,128588870,6226540,1340,54970
Puerto Rico,2002,13610,4.9,10.59,9.52,22020,19800,3.4,7.09,8.03,11.63,14.76,14750,16700,24180,30700,,128588870,6226540,39090,969140
Virgin Islands,2002,330,7.7,19.43,18.69,40420,38880,3.7,14.65,16.01,22.63,26.81,30470,33310,47070,55760,,128588870,6226540,1060,40980
Alabama,2001,34880,3.3,20.44,19.99,42510,41580,0.7,14.62,16.77,23.77,27.05,30410,34880,49430,56270,,129059020,6160210,96170,1827960
Alaska,2001,4700,6.8,26.26,26.13,54620,54360,1.9,18.82,21.97,31.03,34.64,39150,45710,64540,72060,,129059020,6160210,11160,279630
Arizona,2001,30070,4.5,22.83,22.23,47480,46240,1.1,17.11,19.2,26.28,30.85,35590,39940,54660,64160,,129059020,6160210,90840,2230610
Arkansas,2001,18110,4.2,19.05,18.44,39630,38360,1.4,13.06,15.5,21.77,26.31,27170,32240,45280,54720,,129059020,6160210,57870,1120460
California,2001,201070,2.1,27.85,27.36,57940,56900,0.6,20.08,23.57,32.36,36.73,41770,49030,67300,76400,,129059020,6160210,578820,14445860
Colorado,2001,29520,4.1,22.78,22.56,47390,46930,1.1,16.33,19.19,26.32,30.13,33980,39920,54750,62660,,129059020,6160210,84420,2159370
Connecticut,2001,31330,3.7,25.55,25.31,53150,52640,0.8,18.97,22.14,28.67,33.58,39450,46050,59640,69840,,129059020,6160210,84490,1664770
Delaware,2001,6280,5,25.41,24.98,52860,51950,3.1,18.61,21.18,29.75,33.95,38710,44040,61880,70620,,129059020,6160210,17910,401980
District of Columbia,2001,7940,12.1,25.82,25.58,53700,53200,2.3,18.35,20.92,30.56,34.47,38160,43500,63570,71690,,129059020,6160210,25520,604690
Florida,2001,144350,5.7,21.81,20.99,45370,43660,0.7,15.93,18.35,24.89,28.37,33130,38160,51770,59010,,129059020,6160210,376100,7058610
Georgia,2001,55230,4.5,21.84,21.27,45420,44240,1,15.8,18.44,24.97,28.03,32870,38340,51930,58300,,129059020,6160210,160090,3837320
Hawaii,2001,8120,8.4,27.1,27.45,56370,57090,1,20.17,23.8,31.43,34.11,41950,49510,65380,70960,,129059020,6160210,23190,535540
Idaho,2001,9850,8.8,21.63,20.89,44990,43440,2.9,15.52,18.22,24.07,27.57,32290,37900,50060,57330,,129059020,6160210,25800,558050
Illinois,2001,102880,4.3,22.52,22.23,46840,46250,1.1,15.24,18.48,26.44,30.69,31710,38430,55000,63820,,129059020,6160210,282840,5861660
Indiana,2001,48690,4.3,20.36,20.2,42350,42020,1,14.61,17.35,23.56,26.89,30380,36090,49000,55930,,129059020,6160210,143440,2858490
Iowa,2001,26980,3.9,18.81,18.29,39130,38050,1.4,14.09,15.71,21.48,25.19,29300,32670,44680,52390,,129059020,6160210,66440,1418580
Kansas,2001,22130,4,19.39,18.84,40330,39180,0.9,14.34,16.16,21.72,26.03,29830,33620,45170,54140,,129059020,6160210,61650,1321040
Kentucky,2001,34290,3.1,20.29,19.88,42200,41350,1.1,14.76,16.83,23.35,26.89,30710,35000,48570,55930,,129059020,6160210,90050,1726230
Louisiana,2001,35520,3,21.2,20.72,44100,43090,0.9,14.83,17.88,24.44,27.86,30850,37190,50840,57960,,129059020,6160210,98900,1847690
Maine,2001,12180,9.5,21.67,21.1,45080,43890,1.3,15.57,18.24,24.93,28.71,32380,37930,51850,59720,,129059020,6160210,32590,592970
Maryland,2001,44790,5.2,27.29,28.39,56770,59040,1.8,18.19,22.73,32.93,36.44,37830,47280,68490,75790,,129059020,6160210,123880,2428660
Massachusetts,2001,74200,4.1,25.26,24.72,52550,51410,1.6,17.68,20.37,30.04,35.34,36780,42360,62480,73500,,129059020,6160210,182820,3230160
Michigan,2001,76750,3,23.32,23.09,48510,48020,0.9,17.43,19.79,26.21,28.7,36250,41170,54520,59700,,129059020,6160210,213120,4442500
Minnesota,2001,49090,6.3,24.21,23.89,50360,49700,1,17.88,20.28,27.69,32.32,37190,42190,57590,67220,,129059020,6160210,133200,2613310
Mississippi,2001,22330,5,19.85,18.92,41290,39360,2,13.26,15.65,22.72,27.72,27590,32550,47270,57660,,129059020,6160210,57090,1089290
Missouri,2001,51170,3.7,20.84,20.21,43350,42030,0.7,14.71,17.22,23.86,27.6,30590,35820,49630,57410,,129059020,6160210,143870,2648260
Montana,2001,7420,9.7,19.41,19.17,40360,39880,1.9,14.56,16.37,22.02,25.51,30290,34060,45800,53070,,129059020,6160210,19810,383510
Nebraska,2001,16610,3.3,19.83,19.68,41250,40940,0.9,14.53,16.79,22.61,26.29,30230,34930,47030,54670,,129059020,6160210,45570,881280
Nevada,2001,12720,5.7,25.41,25.08,52860,52170,2.2,18.47,21.88,28.15,33.61,38430,45510,58560,69910,,129059020,6160210,33450,1034580
New Hampshire,2001,11740,5.8,21.35,20.67,44400,42990,1.7,15.2,17.86,24.24,27.67,31610,37150,50420,57560,,129059020,6160210,28460,604930
New Jersey,2001,70560,3,25.9,25.82,53870,53700,0.6,19.28,22.61,29.37,33.82,40110,47040,61100,70350,,129059020,6160210,175030,3848330
New Mexico,2001,11010,6.5,21.74,21.56,45220,44850,1.1,15.57,18.19,25.28,28.14,32390,37840,52570,58530,,129059020,6160210,34530,721270
New York,2001,160380,2.2,25.71,25.21,53470,52430,1.2,16.26,20.1,30.74,36.87,33830,41810,63940,76690,,129059020,6160210,424860,8374060
North Carolina,2001,65910,2.7,21.68,21.08,45090,43850,0.6,15.97,18.35,24.66,27.56,33230,38170,51290,57330,,129059020,6160210,174930,3725250
North Dakota,2001,6370,4.3,20.08,19.42,41760,40400,1.2,14.66,16.58,22.5,26.78,30490,34490,46800,55710,,129059020,6160210,18320,311880
Ohio,2001,106400,2.7,21.78,21.28,45300,44260,0.7,16.07,18.62,24.82,27.92,33430,38720,51630,58080,,129059020,6160210,283920,5407190
Oklahoma,2001,20080,3,20.07,19.74,41740,41060,1,14.63,16.84,23.03,26.68,30440,35020,47900,55490,,129059020,6160210,67970,1449820
Oregon,2001,25740,6.5,24.33,24.37,50610,50680,1,18.26,21.11,27.27,31.51,37980,43910,56720,65550,,129059020,6160210,63320,1558480
Pennsylvania,2001,113690,2.8,22.32,21.84,46430,45420,0.7,15.62,18.6,25.84,29.11,32500,38690,53740,60540,,129059020,6160210,306670,5541210
Rhode Island,2001,11480,6.6,24.3,24.21,50550,50350,1,18.3,20.9,27.44,31.98,38060,43470,57070,66530,,129059020,6160210,28600,468140
South Carolina,2001,27550,4.9,22.58,21.51,46960,44740,1.2,15.62,18.37,26.22,31.65,32500,38210,54550,65830,,129059020,6160210,84130,1748510
South Dakota,2001,8350,2,19.05,18.49,39630,38470,1.4,14.37,15.91,21.62,25.49,29880,33100,44970,53010,,129059020,6160210,19930,361870
Tennessee,2001,50680,6.2,22.18,20.52,46130,42680,4,15.18,17.39,24.78,30.68,31570,36180,51540,63800,,129059020,6160210,140330,2585280
Texas,2001,132090,2.9,22.29,21.49,46360,44700,0.6,16.06,18.66,25.51,29.49,33390,38820,53070,61340,,129059020,6160210,410030,9229130
Utah,2001,13360,8,22,21.61,45760,44940,0.9,16.38,18.8,25.28,28.28,34070,39100,52580,58820,,129059020,6160210,41060,1047120
Vermont,2001,5040,3,21.23,20.68,44160,43020,1.9,15.65,18.03,24.24,27.38,32540,37510,50430,56950,,129059020,6160210,14560,294830
Virginia,2001,48650,4.7,22.13,21.03,46020,43740,1.6,15.49,18.03,25.54,30.2,32220,37510,53110,62820,,129059020,6160210,137150,3399920
Washington,2001,42410,5.2,25.1,24.84,52200,51670,1.1,18.45,21.03,29.04,33.42,38370,43740,60400,69520,,129059020,6160210,119820,2580750
West Virginia,2001,15970,5.9,19.53,18.45,40620,38370,1.6,14.11,15.79,21.77,26.04,29340,32840,45270,54170,,129059020,6160210,44220,688840
Wisconsin,2001,47690,3.7,22.47,21.88,46750,45510,0.8,16.89,19.06,25.63,29.27,35130,39630,53300,60890,,129059020,6160210,129490,2691950
Wyoming,2001,3640,4,19.04,18.95,39590,39420,1.3,13.77,15.94,21.79,25.17,28640,33160,45310,52350,,129059020,6160210,10520,238640
Guam,2001,340,1.9,19.22,18.76,39970,39010,1.4,13.53,16.05,21.64,25.82,28140,33380,45000,53700,,129059020,6160210,1140,57590
Puerto Rico,2001,13210,2.9,10.39,9.33,21610,19420,3.4,7,7.89,11.38,14.81,14560,16420,23670,30810,,129059020,6160210,39090,978750
Virgin Islands,2001,380,8.5,20.45,20.14,42530,41890,7.5,14.62,16.21,25.3,27.67,30420,33720,52630,57550,,129059020,6160210,1030,42220
Alabama,2006,40010,4,24.63,23.52,51230,48920,0.8,17.77,20.22,27.43,31.74,36970,42050,57050,66010,,133735620,6760700,108640,1912220
Alaska,2006,5260,9.2,31.17,30.41,64830,63260,1.9,23.09,25.92,35.81,42.01,48030,53910,74490,87380,,133735620,6760700,13150,303890
Arizona,2006,31890,6.5,28.12,28.06,58480,58360,1.2,18.43,22.96,33.36,37.59,38340,47750,69400,78180,,133735620,6760700,107110,2574150
Arkansas,2006,21020,3.6,24.68,23.62,51330,49130,1.5,16.44,19.57,28.58,34.71,34200,40710,59440,72190,,133735620,6760700,64750,1166840
California,2006,234260,1.9,36.12,35.23,75130,73280,0.7,25.45,30.22,42.29,49.48,52940,62850,87960,102920,,133735620,6760700,615630,15065750
Colorado,2006,34520,5,28.18,28.15,58620,58560,0.8,19.89,23.98,32.7,36.3,41380,49890,68020,75510,,133735620,6760700,99920,2207120
Connecticut,2006,34710,3.2,30.87,30.53,64210,63490,0.8,22.62,26.16,35.32,39.85,47050,54400,73460,82900,,133735620,6760700,89820,1658980
Delaware,2006,7830,9,29.48,29.16,61310,60650,1.3,22.98,25.5,33.59,36.58,47800,53030,69860,76080,,133735620,6760700,22030,424270
District of Columbia,2006,7930,8.5,30.35,29.87,63120,62140,2.6,20.81,24.79,35.19,41.6,43290,51550,73190,86530,,133735620,6760700,25040,609400
Florida,2006,146290,2.6,27.26,26.31,56710,54730,0.7,19.17,22.32,30.99,37.03,39880,46420,64450,77010,,133735620,6760700,413180,7869210
Georgia,2006,60850,2.7,26.48,26.19,55070,54480,0.7,18.98,22.36,30.16,34.97,39480,46520,62720,72730,,133735620,6760700,184650,4001580
Hawaii,2006,9610,15.3,33.02,33.17,68680,69000,1.4,24.76,29.29,37.05,42.28,51500,60930,77070,87950,,133735620,6760700,24650,599130
Idaho,2006,9100,6.4,24.79,24.07,51550,50060,1.3,18.08,20.54,28.31,33.49,37600,42720,58880,69650,,133735620,6760700,28050,624320
Illinois,2006,103100,1.9,27.21,26.53,56590,55180,1,18.45,21.72,31.73,37.69,38380,45170,65990,78390,,133735620,6760700,297370,5826660
Indiana,2006,52910,3.4,25.39,24.9,52810,51800,1.2,17.95,20.82,28.83,34.04,37340,43300,59960,70800,,133735620,6760700,154870,2913200
Iowa,2006,31040,4,22.61,22.12,47030,46010,0.9,16.36,19.14,25.85,28.89,34040,39810,53780,60080,,133735620,6760700,74160,1470240
Kansas,2006,23590,5.3,23.64,22.96,49170,47760,1.2,16.74,19.57,27.17,30.94,34820,40710,56510,64350,,133735620,6760700,65150,1321180
Kentucky,2006,38120,3.3,25.04,24.23,52080,50400,0.9,18.27,20.61,28.13,33.38,38010,42860,58510,69420,,133735620,6760700,101600,1779830
Louisiana,2006,37940,3.1,25.51,24.44,53070,50840,1,17.5,20.41,28.76,34.58,36390,42460,59820,71930,,133735620,6760700,104430,1776990
Maine,2006,13690,2.7,26.47,25.74,55060,53550,1.4,19.21,21.95,30,35.3,39960,45650,62410,73430,,133735620,6760700,35120,596910
Maryland,2006,47560,3.3,32.87,32.63,68370,67870,1.3,22.79,26.8,39.34,44.88,47400,55740,81830,93340,,133735620,6760700,133010,2531180
Massachusetts,2006,76350,4.5,34.09,32.88,70910,68380,1.1,23.38,27,40.86,48.49,48620,56170,84990,100860,,133735620,6760700,197320,3170490
Michigan,2006,84880,2.1,28.7,27.81,59700,57850,1,20.55,24.06,32.26,36.06,42750,50050,67110,75010,,133735620,6760700,233860,4294260
Minnesota,2006,49580,3.8,30.83,30.28,64120,62980,1,21.69,25.48,35.47,40.63,45110,52990,73780,84500,,133735620,6760700,142160,2682940
Mississippi,2006,25100,3.6,24.1,23.17,50130,48180,1.2,16.42,19.61,27.58,33.11,34150,40800,57360,68860,,133735620,6760700,65380,1113000
Missouri,2006,55470,3.6,25.55,24.65,53150,51280,0.7,17.6,20.52,29.29,34.57,36600,42690,60920,71900,,133735620,6760700,160030,2700450
Montana,2006,7290,2.6,24.78,24.55,51550,51060,1.2,18.18,20.96,27.99,31.86,37820,43610,58220,66270,,133735620,6760700,21710,427130
Nebraska,2006,16840,1.6,24.71,23.83,51410,49560,1.2,17.76,20.15,28.24,33.58,36930,41910,58740,69850,,133735620,6760700,48680,901120
Nevada,2006,14050,3.4,30.36,30.39,63150,63210,1.2,22.83,26.07,34.93,38.92,47480,54220,72660,80950,,133735620,6760700,39540,1257860
New Hampshire,2006,12440,6.2,26.54,26.17,55200,54440,1.4,19.28,22.07,30.79,35.1,40090,45900,64040,73020,,133735620,6760700,31900,627570
New Jersey,2006,80330,3.3,32.02,31.74,66600,66010,0.6,23.33,27.03,36.44,42.75,48530,56220,75800,88910,,133735620,6760700,201670,3957500
New Mexico,2006,11680,6.3,27.4,27.46,57000,57120,0.9,19.54,22.82,32.27,35.69,40640,47460,67120,74240,,133735620,6760700,39150,789360
New York,2006,164970,1.8,31.92,30.8,66390,64070,1.9,20.52,24.87,37.84,45.06,42670,51720,78720,93730,,133735620,6760700,444180,8387750
North Carolina,2006,74400,0.9,25.85,24.93,53770,51860,0.6,18.96,21.35,28.74,33.92,39430,44410,59770,70550,,133735620,6760700,198840,3892670
North Dakota,2006,6900,6.9,24.38,23.32,50720,48490,1.8,17.6,19.99,27.47,32.21,36620,41580,57130,66990,,133735620,6760700,19160,335740
Ohio,2006,111840,3.3,26.5,25.89,55130,53860,0.5,19.8,22.61,29.18,34.36,41170,47030,60700,71480,,133735620,6760700,299840,5354170
Oklahoma,2006,24720,3.8,23.31,22.95,48480,47730,0.7,16.76,19.55,26.88,30.48,34860,40670,55920,63390,,133735620,6760700,82680,1503430
Oregon,2006,28090,4.4,30.66,30.8,63770,64060,0.7,22.91,26.33,34.79,38.71,47660,54770,72370,80510,,133735620,6760700,72260,1648680
Pennsylvania,2006,126120,2.6,27.42,26.83,57040,55800,0.7,18.95,22.45,31.91,37.39,39410,46700,66380,77770,,133735620,6760700,342010,5631520
Rhode Island,2006,10550,4.2,29.19,28.99,60710,60290,0.9,21.4,24.77,33.71,37.32,44500,51530,70120,77620,,133735620,6760700,29010,482550
South Carolina,2006,31810,4.9,25.58,24.9,53210,51800,1.4,17.99,21.01,28.95,33.92,37410,43700,60220,70550,,133735620,6760700,91210,1840190
South Dakota,2006,9420,1.5,23.83,22.71,49560,47240,1.4,16.35,19.09,27.46,32.04,34010,39710,57120,66640,,133735620,6760700,23310,381230
Tennessee,2006,52780,3.5,26.2,24.71,54490,51390,1.4,18.3,20.79,29.08,35.29,38070,43230,60490,73410,,133735620,6760700,155570,2718410
Texas,2006,156590,2.5,27.49,26.66,57180,55440,0.6,19.11,22.61,31.27,36.82,39750,47030,65030,76580,,133735620,6760700,463810,9760960
Utah,2006,16510,3.3,26.24,25.81,54590,53690,0.8,19.56,22.1,29.99,34.49,40690,45960,62380,71730,,133735620,6760700,49740,1151020
Vermont,2006,5870,2.5,25.47,24.92,52990,51830,1.2,18.85,21.25,28.61,34.14,39220,44200,59510,71000,,133735620,6760700,16510,299610
Virginia,2006,55300,2.8,27.07,26.25,56310,54590,1,18.26,21.67,31.25,37.21,37980,45070,65000,77390,,133735620,6760700,159520,3608430
Washington,2006,48190,4.2,31.2,30.84,64900,64140,1,21.58,25.45,36.6,42.61,44880,52940,76120,88620,,133735620,6760700,128730,2736910
West Virginia,2006,15380,5,23.78,22.37,49470,46520,1.3,16.52,19.27,27.07,33.01,34360,40070,56300,68660,,133735620,6760700,46120,710560
Wisconsin,2006,48460,4.3,27.59,26.97,57380,56090,0.6,20.57,23.58,31.14,35.27,42780,49050,64770,73350,,133735620,6760700,136670,2744210
Wyoming,2006,4010,5.1,23.54,23.16,48960,48170,1.2,16.88,19.75,27.31,30.77,35120,41070,56800,64010,,133735620,6760700,10860,262260
