cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Poivre d'Ane,https://www.cheese.com/poivre-dane/,"cow, goat",France,NA,NA,"soft, artisan",NA,NA,smooth,natural,white,herbaceous,herbal,NA,NA,NA,NA,NA
Pokolbin,https://www.cheese.com/pokolbin/,cow,Australia,Hunter Valley,NA,"semi-soft, smear-ripened",NA,NA,,washed,NA,"sharp, spicy",NA,FALSE,FALSE,NA,NA,Hunter Valley Cheese Company
Pompeii,https://www.cheese.com/pompeii/,cow,Australia,South Australia,NA,"semi-hard, artisan, smear-ripened",45%,NA,"crumbly, soft, supple",washed,cream,"herbaceous, sweet",herbal,TRUE,FALSE,NA,NA,Woodside Cheese Wrights
Pong's Extraordinary... Cheddar,https://www.cheese.com/pongs-extraordinary-cheddar/,cow,United Kingdom,NA,NA,"hard, semi-hard",NA,NA,"creamy, crumbly",NA,yellow,NA,NA,NA,NA,NA,NA,NA
Pont l'Eveque,https://www.cheese.com/pont-leveque/,cow,France,NA,NA,soft,NA,NA,creamy,washed,pale yellow,"creamy, full-flavored",NA,NA,NA,Pont-l'Évêque,NA,NA
Port Nicholson,https://www.cheese.com/port-nicholson/,cow,New Zealand,NA,NA,semi-soft,40%,NA,"creamy, smooth",washed,orange,"sour, sweet",smokey,NA,NA,Kapiti Port Nicholson,NA,Kapiti Brands NZ Ltd
Port-Salut,https://www.cheese.com/port-salut/,cow,France,Brittany,NA,semi-soft,72.7%,NA,"creamy, smooth",washed,pale yellow,"acidic, mellow",NA,FALSE,FALSE,NA,"Port du Salut, Port Salut",NA
Postel,https://www.cheese.com/postel/,cow,Belgium,Postel,NA,NA,NA,NA,,washed,NA,NA,NA,FALSE,FALSE,NA,NA,NA
Pouligny-Saint-Pierre,https://www.cheese.com/pouligny-saint-pierre/,goat,France,Berry,NA,soft,NA,NA,"creamy, crumbly",natural,ivory,"acidic, sweet",goaty,FALSE,FALSE,NA,NA,NA
Pourly,https://www.cheese.com/pourly/,goat,France,Burgund,NA,"soft, artisan",45%,NA,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE,NA,NA,NA
Prairie Breeze Cheddar,https://www.cheese.com/prairie-breeze-cheddar/,cow,United States,Iowa,Cheddar,"hard, artisan",NA,NA,"creamy, crumbly, grainy",natural,yellow,"nutty, sharp, sweet","grassy, mild",TRUE,FALSE,NA,NA,Milton Creamery LLC
Prairie Rose,https://www.cheese.com/prairie-rose/,,United States,Iowa,Swiss Cheese,"semi-hard, artisan",NA,NA,"creamy, open",natural,yellow,"creamy, full-flavored, smooth","grassy, mild, nutty",TRUE,FALSE,NA,NA,Milton Creamery LLC
Prairie Tomme,https://www.cheese.com/prairie-tomme/,sheep,United States,Missouri,Tomme,"semi-hard, artisan",NA,NA,"firm, smooth",natural,cream,"buttery, nutty",NA,FALSE,FALSE,NA,NA,Green Dirt Farm
Prastost,https://www.cheese.com/prastost/,cow,Sweden,NA,Cheddar,semi-soft,45-50%,NA,creamy,NA,yellow,"salty, spicy, strong","aromatic, rich",FALSE,FALSE,"Priest Cheese, Saaland Pfarr, VODCheese",NA,NA
President Brie,https://www.cheese.com/president-brie/,cow,France,NA,Brie,"soft, artisan, soft-ripened",NA,NA,"buttery, creamy, runny, spreadable",bloomy,pale yellow,"buttery, creamy, subtle",rich,NA,NA,"President Lingot Brie, President Wee Brie",NA,NA
President Camembert,https://www.cheese.com/president-camembert/,cow,United States,New York,Camembert,"semi-soft, soft-ripened",NA,NA,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,NA,NA,NA,NA,President Cheese
President Fat Free Feta,https://www.cheese.com/president-fat-free-feta/,cow,"France, United States",New York,Feta,"firm, artisan, brined",0 g/100g,30 mg/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,NA,NA,"Fat Free Feta Crumbles, Fat Free Feta Chunk",NA,President Cheese
President Light Brie,https://www.cheese.com/president-light-brie/,cow,France,New York,Brie,"soft, soft-ripened",NA,NA,"creamy, runny, smooth",bloomy,white,"creamy, mild, nutty, tangy",strong,NA,NA,NA,NA,President Cheese
President Madrigal,https://www.cheese.com/president-madrigal/,cow,France,NA,Swiss Cheese,"semi-hard, artisan",NA,NA,"smooth, soft",natural,straw,"nutty, sweet",NA,NA,NA,NA,NA,President Cheese
Prima Donna,https://www.cheese.com/prima-donna/,cow,Netherlands,NA,Parmesan,hard,NA,NA,"crumbly, crystalline, firm, grainy",natural,yellow,"full-flavored, nutty, sweet",NA,NA,NA,NA,NA,Vandersterre Groep International B.V.
Prima Donna fino,https://www.cheese.com/prima-donna-fino/,cow,Netherlands,NA,Parmesan,hard,30.5 g/100g,921 mg/100g,"crumbly, crystalline, firm",natural,pale yellow,"full-flavored, nutty, sweet",rich,NA,NA,NA,NA,Vandersterre Groep International B.V.
Prima Donna forte,https://www.cheese.com/prima-donna-forte/,,Netherlands,NA,Parmesan,hard,33 g/100g,990 mg/100g,"crumbly, crystalline, flaky, grainy",natural,yellow,"nutty, strong, sweet",NA,NA,NA,NA,NA,Vandersterre Groep International B.V.
Prima Donna leggero,https://www.cheese.com/prima-donna-leggero/,cow,Netherlands,NA,Parmesan,hard,18.3 g/100g,1071 mg/100g,"crumbly, crystalline, firm",natural,yellow,"savory, sharp",NA,NA,NA,NA,NA,Vandersterre Groep International B.V.
Prima Donna maturo,https://www.cheese.com/prima-donna-maturo/,cow,Netherlands,NA,Parmesan,hard,32.3 g/100g,749 mg/100g,"crumbly, crystalline, firm, grainy",natural,yellow,sharp,NA,NA,NA,NA,NA,Vandersterre Groep International B.V.
Primo Fresco,https://www.cheese.com/primo-fresco/,sheep,United States,California,NA,"fresh soft, artisan",NA,NA,"creamy, fluffy, spreadable",natural,white,"salty, savory, subtle, tangy","fresh, mild",TRUE,FALSE,NA,NA,Weirauch Farm and Creamery
Prince-Jean,https://www.cheese.com/prince-jean/,cow,Belgium,NA,NA,"fresh soft, artisan",NA,NA,creamy,natural,white,buttery,"fresh, rich",FALSE,FALSE,NA,NA,NA
Prix de Diane,https://www.cheese.com/prix-de-diane/,cow,United States,Maine,Brie,"soft, artisan",NA,NA,"creamy, soft, soft-ripened",bloomy,pale yellow,"buttery, citrusy, creamy, subtle",rich,TRUE,FALSE,NA,NA,Lakin's Gorges Cheese LLC
Processed Cheddar,https://www.cheese.com/processed-cheddar/,cow,,NA,Cheddar,"semi-hard, processed",NA,NA,"creamy, smooth",NA,NA,sharp,NA,NA,NA,NA,NA,NA
Processed Cheese,https://www.cheese.com/pasteurized-processed/,cow,,NA,NA,"soft, processed",NA,NA,"creamy, smooth, spreadable, springy",plastic,NA,NA,NA,FALSE,FALSE,"cheese spread, cheese food, singles",NA,Various
Processed Smoked Gouda,https://www.cheese.com/processed-smoked-gouda/,cow,United States,Wisconsin,Gouda,"semi-hard, processed",NA,NA,creamy,natural,straw,"creamy, mild, smokey",smokey,NA,NA,NA,NA,Emmi Roth USA
Promontory,https://www.cheese.com/promontory/,cow,United States,Utah,Cheddar,"hard, artisan",NA,NA,"creamy, firm",NA,pale yellow,"buttery, citrusy","fruity, rich",TRUE,FALSE,NA,NA,Beehive Cheese Company
Provel,https://www.cheese.com/provel/,cow,United States,"St. Louis, Missouri",Cheddar,"soft, processed",NA,NA,"buttery, gooey",plastic,white,buttery,smokey,FALSE,FALSE,NA,NA,NA
Providence,https://www.cheese.com/providence/,goat,United States,North Carolina,NA,"semi-soft, artisan",NA,NA,"compact, crumbly",washed,pale yellow,creamy,yeasty,FALSE,FALSE,NA,NA,Goat Lady Dairy
Provoleta,https://www.cheese.com/provoleta/,water buffalo,Argentina,NA,Pasta filata,"semi-hard, artisan",45%,316 mg/100g,"creamy, smooth, springy",NA,pale yellow,"mild, smokey",fresh,FALSE,FALSE,Spinning Argentine provolone cheese,NA,NA
Provolone,https://www.cheese.com/provolone/,cow,Italy,Po valley region,Pasta filata,"semi-hard, artisan",NA,NA,firm,NA,pale yellow,tangy,pleasant,NA,NA,NA,NA,NA
Provolone del Monaco,https://www.cheese.com/provolone-del-monaco/,cow,Italy,Naples,Pasta filata,"semi-hard, artisan",40.5%,157 mg/100g,"firm, grainy",NA,pale yellow,"buttery, sweet",pleasant,FALSE,FALSE,Provolone delmonaco,NA,NA
Provolone Mandarino Gran Riserva,https://www.cheese.com/provolone-mandarino-gran-riserva/,cow,Italy,Veneto,Pasta filata,"semi-hard, artisan",NA,NA,"elastic, stringy, supple",natural,white,"pronounced, spicy, subtle",spicy,FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
Provolone Valpadana,https://www.cheese.com/provolone-valpadana/,cow,Italy,Valpadana,Pasta filata,"semi-hard, artisan",NA,NA,firm,NA,pale yellow,full-flavored,rich,FALSE,FALSE,NA,NA,NA
Président Fresh Goat Cheese,https://www.cheese.com/president-fresh-goat-cheese/,goat,France,Poitou-Charentes,NA,"fresh firm, artisan",NA,NA,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",NA,NA,"Président plain goat log, Président herb goat log",NA,President Cheese
PsycheDillic,https://www.cheese.com/psychedillic/,goat,United States,California,NA,fresh soft,NA,NA,"creamy, smooth, spreadable",rindless,white,"creamy, full-flavored, herbaceous",aromatic,TRUE,FALSE,NA,NA,Cypress Grove Chevre
Pule,https://www.cheese.com/pule/,donkey,Serbia,Zasavica,NA,artisan,NA,NA,crumbly,NA,white,NA,NA,NA,NA,magareći sir,NA,NA
Purple Haze,https://www.cheese.com/purple-haze/,goat,United States,California,NA,fresh soft,NA,NA,"creamy, crumbly, smooth, spreadable",rindless,white,"earthy, herbaceous",aromatic,TRUE,FALSE,NA,NA,Cypress Grove Chevre
Purple's a Must,https://www.cheese.com/purples-must/,"cow, goat","Canada, Italy",Lombardy,Blue,"semi-hard, artisan, blue-veined",NA,NA,"creamy, crumbly",mold ripened,pale yellow,"full-flavored, strong",rich,NA,NA,NA,NA,Fifth Town Artisan Cheese
Pyengana Cheddar,https://www.cheese.com/pyengana-cheddar/,cow,Australia,Tasmania,Cheddar,"hard, semi-hard, artisan",NA,NA,"creamy, crumbly, smooth",natural,pale yellow,"acidic, full-flavored, herbaceous, savory, spicy","grassy, herbal",FALSE,FALSE,NA,NA,Pyengana Dairy Company
Pyramide,https://www.cheese.com/pyramide/,goat,France,Loire Valley,NA,"soft, artisan",NA,NA,crumbly,natural,ivory,NA,pungent,FALSE,FALSE,NA,NA,NA
Pérail de Brebis,https://www.cheese.com/perail-de-brebis/,sheep,France,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,pale yellow,"full-flavored, strong",goaty,NA,NA,"Perail, Pérail",NA,NA
Saaland Pfarr,https://www.cheese.com/saaland-pfarr/,cow,Sweden,NA,NA,semi-soft,45-50%,NA,creamy,NA,yellow,"salty, spicy, strong","aromatic, rich",FALSE,FALSE,VODCheese,NA,Norrmejerier
Saanen Silk,https://www.cheese.com/saanen-silk/,goat,Canada,Ontario,NA,"semi-soft, artisan, soft-ripened",NA,NA,"creamy, fluffy, runny, soft-ripened",bloomy,white,"mild, mushroomy","floral, pleasant",FALSE,FALSE,NA,NA,Cross Wind Farm
Saanenkaese,https://www.cheese.com/saanenkaese/,cow,Switzerland,NA,Parmesan,"hard, processed",NA,NA,"brittle, firm",natural,pale yellow,fruity,strong,FALSE,FALSE,NA,NA,NA
Saga,https://www.cheese.com/saga/,cow,Denmark,NA,Brie,"soft, blue-veined, soft-ripened",NA,NA,creamy,bloomy,white,"creamy, mild",mild,FALSE,FALSE,"Saga Classic Blue Brie, Saga Blue Brie",NA,NA
Sage Derby,https://www.cheese.com/sage-derby/,cow,"England, United Kingdom",East Midlands,NA,"semi-hard, artisan",45%,NA,firm,NA,green,"herbaceous, mild",herbal,TRUE,FALSE,NA,NA,NA
Saint Agur,https://www.cheese.com/saint-agur/,cow,France,Auvergne,Blue,"soft, blue-veined",60%,NA,"creamy, smooth, spreadable",NA,blue,"fruity, mellow, sharp",strong,FALSE,FALSE,NA,"Saint Agur Coupe, Saint Agur Crème",Savencia Fromage & Dairy
Saint Albray,https://www.cheese.com/saint-albray/,cow,France,Aquitaine,NA,semi-soft,NA,NA,"creamy, smooth",washed,NA,"mild, sweet","buttery, mild",NA,NA,NA,"St. Albray, Saint-Albray, St Albray",NA
Saint André,https://www.cheese.com/saint-andre/,cow,France,NA,Brie,"soft, soft-ripened",NA,NA,"creamy, dense",bloomy,ivory,"buttery, tangy",rich,NA,NA,NA,"St. Andre, Saint Andre, St André",NA
Saint Felicien,https://www.cheese.com/saint-felicien/,cow,France,NA,NA,"soft, artisan",NA,NA,creamy,NA,white,creamy,nutty,NA,NA,Saint Félicien,St Felicien,NA
Saint Honoré,https://www.cheese.com/saint-honore/,cow,Canada,Quebec,Brie,"soft, soft-ripened",NA,NA,"creamy, smooth, soft, soft-ripened, supple",bloomy,cream,"creamy, mild",mild,NA,NA,NA,"Saint-Honoré, St Honoré, St. Honoré",La Maison Alexis de Portneuf Inc.
Saint Marcellin,https://www.cheese.com/saint-marcellin/,cow,France,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,white,"mild, tangy",NA,FALSE,FALSE,NA,"St Marcellin, Saint-Marcellin",NA
Saint Nectaire,https://www.cheese.com/saint-nectaire/,cow,France,Auvergne,Tomme,"semi-soft, artisan",NA,NA,"creamy, smooth",washed,ivory,pungent,grassy,FALSE,FALSE,NA,"St. Nectaire, Saint-Nectaire, St Nectaire",NA
Saint Paulin,https://www.cheese.com/saint-paulin/,cow,France,NA,Saint-Paulin,"semi-soft, artisan",NA,NA,"creamy, firm",washed,NA,"buttery, sweet",milky,NA,NA,NA,Saint-Paulin,Fromagerie Fritz Kaiser
Saint Rose,https://www.cheese.com/saint-rose/,sheep,United States,California,NA,"semi-soft, artisan",NA,NA,firm,natural,pale yellow,"citrusy, floral, nutty, sharp","grassy, mild",TRUE,FALSE,NA,St. Rose,Weirauch Farm and Creamery
Sainte-Maure de Touraine AOC,https://www.cheese.com/sainte-maure-de-touraine-aoc/,goat,France,Loire,NA,"semi-soft, artisan",NA,NA,"creamy, fluffy, soft",NA,white,NA,NA,FALSE,FALSE,NA,"Saint ​​Maure de Touraine, St ​​Maure de Touraine, Sainte Maure de Touraine",NA
Salemville Amish Blue,https://www.cheese.com/salemville-amish-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly",NA,ivory,"creamy, earthy","earthy, rich",NA,NA,Salemville Reserve,NA,"DCI Cheese Company, Inc"
Salemville Amish Gorgonzola,https://www.cheese.com/salemville-amish-gorgonzola/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly",NA,ivory,"creamy, earthy, piquant","earthy, rich",NA,NA,NA,NA,"DCI Cheese Company, Inc"
Salemville Smokehaus Blue,https://www.cheese.com/salemville-smokehaus-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",NA,NA,creamy,NA,ivory,"creamy, smokey","earthy, rich, smokey",NA,NA,NA,NA,"DCI Cheese Company, Inc"
Salers,https://www.cheese.com/salers/,cow,France,"Auvergne, Salers",NA,semi-hard,NA,NA,,NA,red,"fruity, spicy",NA,FALSE,FALSE,NA,NA,NA
Salsa Asiago,https://www.cheese.com/salsa-asiago/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"compact, firm, open, smooth",natural,pale yellow,"creamy, garlicky, nutty, sharp, spicy","aromatic, nutty, pungent",TRUE,FALSE,NA,NA,Sartori
Saltbush Chevre,https://www.cheese.com/saltbush_chevre/,goat,Australia,South Australia,NA,"fresh firm, artisan",45%,NA,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE,NA,NA,Woodside Cheese Wrights
Samso,https://www.cheese.com/samso/,cow,Denmark,NA,NA,semi-hard,30-45%,NA,supple,waxed,yellow,"nutty, sour, sweet",NA,FALSE,FALSE,NA,NA,NA
San Andreas,https://www.cheese.com/san-andreas/,sheep,United States,California,NA,"hard, artisan",NA,NA,"creamy, firm, open, smooth",natural,straw,"butterscotch, nutty, sweet","clean, mild, rich",TRUE,FALSE,NA,NA,Bellwether Farms
San Geronimo,https://www.cheese.com/san-geronimo/,cow,United States,Nicasio,NA,"semi-soft, brined",NA,NA,smooth,washed,white,"acidic, meaty, mellow, mild, tangy, tart",earthy,FALSE,FALSE,NA,NA,Nicasio Valley Cheese Company
San Simón DOP,https://www.cheese.com/san-simon/,cow,Spain,Galicia,NA,semi-soft,NA,NA,"buttery, creamy",natural,cream,buttery,"smokey, woody",FALSE,FALSE,NA,NA,NA
Sancerre,https://www.cheese.com/sancerre/,goat,France,NA,NA,hard,40%,NA,,natural,NA,"nutty, strong",NA,FALSE,FALSE,NA,NA,NA
Sandy Creek,https://www.cheese.com/sandy-creek/,goat,United States,North Carolina,NA,"soft, soft-ripened",NA,NA,"runny, smooth",mold ripened,ivory,"citrusy, lemony, mushroomy, tangy","earthy, grassy",TRUE,FALSE,NA,NA,Goat Lady Dairy
Santa Gadea,https://www.cheese.com/santa-gadea/,goat,Spain,NA,NA,"soft, semi-soft",NA,NA,"creamy, smooth, soft",NA,white,NA,NA,NA,NA,NA,NA,NA
Sao Jorge,https://www.cheese.com/sao-jorge/,cow,Portugal,Azores,NA,semi-hard,NA,NA,"chalky, crumbly, firm",natural,golden yellow,"spicy, tangy",NA,FALSE,FALSE,"S. Jorge cheese, Queijo São Jorge, St. George",NA,NA
Sap Sago,https://www.cheese.com/sap-sago/,cow,Switzerland,Canton of Glarus,NA,hard,NA,NA,dry,natural,green,NA,herbal,NA,NA,"Schabziger, Swiss Green Cheese",sapsago,NA
Saporito,https://www.cheese.com/saporito/,cow,Italy,"Treviso, Veneto",NA,"semi-hard, artisan",NA,NA,creamy,natural,ivory,"creamy, mild",herbal,NA,NA,NA,NA,Moro Latteria di Moro Sergio
Sardo,https://www.cheese.com/sardo/,cow,Argentina,NA,NA,hard,NA,NA,"crumbly, firm, flaky",natural,pale yellow,"full-flavored, salty, sharp",NA,FALSE,FALSE,NA,"Argentine Sardo, Sardo Argentino",NA
Sarró de Cabra,https://www.cheese.com/sarro-de-cabra/,goat,Spain,Barcelona,NA,"semi-soft, artisan",NA,NA,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",NA,NA,Sarro,NA,Formatgeries Montbrú
Sartori Classic Cheese Asiago,https://www.cheese.com/sartori-classic-cheese-asiago/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"compact, crumbly, open, smooth",natural,NA,"creamy, mild, nutty",pungent,TRUE,FALSE,NA,NA,Sartori
Sartori Classic Cheese Fontina,https://www.cheese.com/sartori-classic-cheese-fontina/,cow,United States,Wisconsin,NA,"semi-soft, artisan",NA,NA,creamy,natural,pale yellow,"creamy, nutty, smooth, sweet","aromatic, lactic",TRUE,FALSE,NA,NA,Sartori
Sartori Classic Cheese Parmesan,https://www.cheese.com/sartori-classic-cheese-parmesan/,cow,United States,Wisconsin,Parmesan,"hard, artisan",NA,NA,"crumbly, dry, grainy",natural,yellow,"mellow, nutty, sweet",NA,TRUE,FALSE,NA,NA,Sartori
Sartori Classic Cheese Romano,https://www.cheese.com/sartori-classic-cheese-romano/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"brittle, crumbly, dense, flaky",natural,straw,"nutty, savory, tangy",spicy,TRUE,FALSE,NA,NA,Sartori
Sartori Classic MontAmore,https://www.cheese.com/sartori-classic-montamore/,cow,United States,Wisconsin,Parmesan,"semi-hard, artisan",NA,NA,"dense, firm",rindless,pale yellow,"creamy, fruity, sweet, tangy","fresh, fruity, pleasant",TRUE,FALSE,NA,NA,Sartori
Sartori Limited Edition Cannella BellaVitano,https://www.cheese.com/sartori-limited-edition-cannella-bellavitano/,cow,United States,Wisconsin,NA,hard,NA,NA,creamy,NA,pale yellow,"buttery, fruity, mild, sweet","fresh, rich",TRUE,FALSE,NA,NA,Sartori
Sartori Limited Edition Cognac BellaVitano,https://www.cheese.com/sartori-limited-edition-cognac-bellavitano/,cow,United States,Northern Wisconsin,NA,hard,NA,NA,creamy,NA,NA,"buttery, mild, smokey , sweet","nutty, smokey",TRUE,FALSE,NA,NA,Sartori
Sartori Limited Edition Extra-Aged Goat,https://www.cheese.com/sartori-limited-edition-extra-aged-goat/,goat,United States,Wisconsin,NA,"semi-firm, artisan",NA,NA,creamy,NA,NA,"mild, savory","mild, pleasant",NA,NA,NA,NA,Sartori
Sartori Limited Edition Family Heirloom BellaVitano,https://www.cheese.com/sartori-limited-edition-family-heirloom-bellavitano/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"crumbly, dry",natural,pale yellow,"full-flavored, strong, sweet","fermented, grassy, rich",TRUE,FALSE,NA,NA,Sartori
Sartori Limited Edition Family Heirloom Parmesan,https://www.cheese.com/sartori-limited-edition-family-heirloom-parmesan/,cow,United States,Wisconsin,Parmesan,"hard, artisan",NA,NA,"crumbly, flaky, grainy",natural,golden yellow,"caramel, fruity, nutty, piquant, sweet","buttery, nutty, woody",TRUE,FALSE,NA,NA,Sartori
Sartori Limited Edition Pastorale Blend,https://www.cheese.com/sartori-limited-edition-pastorale-blend/,"cow, sheep",United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,creamy,natural,pale yellow,"nutty, sweet","earthy, nutty, sweet",NA,NA,NA,NA,Sartori
Sartori Reserve Balsamic BellaVitano,https://www.cheese.com/sartori-reserve-balsamic-bellavitano/,cow,United States,Wisconsin,NA,hard,NA,NA,firm,NA,NA,"fruity, nutty, sweet, tangy","earthy, fruity, sweet",NA,NA,NA,NA,Sartori
Sartori Reserve Basil & Olive Oil Asiago,https://www.cheese.com/sartori-reserve-basil-olive-oil-asiago/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,,NA,pale yellow,"herbaceous, savory, sweet","herbal, rich",NA,NA,NA,NA,Sartori
Sartori Reserve BellaVitano Gold,https://www.cheese.com/sartori-reserve-bellavitano-gold/,cow,United States,Wisconsin,NA,hard,NA,NA,creamy,natural,pale yellow,"fruity, nutty, sweet","fruity, nutty, rich",NA,NA,NA,NA,Sartori
Sartori Reserve Black Pepper BellaVitano,https://www.cheese.com/sartori-reserve-black-pepper-bellavitano/,cow,United States,Wisconsin,NA,semi-hard,NA,NA,creamy,natural,pale yellow,"creamy, nutty, salty, spicy","nutty, rich, spicy",NA,NA,NA,NA,Sartori
Sartori Reserve Chai BellaVitano,https://www.cheese.com/sartori-reserve-chai-bellavitano/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,creamy,natural,pale yellow,"creamy, sweet","rich, sweet",NA,NA,NA,NA,Sartori
Sartori Reserve Cheese Mediterranean Fontina,https://www.cheese.com/sartori-reserve-cheese-mediterranean-fontina/,cow,United States,Wisconsin,NA,"semi-soft, artisan",NA,NA,creamy,natural,cream,"garlicky, piquant, spicy, sweet","earthy, herbal",TRUE,FALSE,NA,NA,Sartori
Sartori Reserve Dolcina Gorgonzola,https://www.cheese.com/sartori-reserve-dolcina-gorgonzola/,cow,United States,Wisconsin,Blue,"semi-firm, blue-veined",NA,NA,"creamy, soft",natural,ivory,"mild, smooth, sweet","rich, spicy",NA,NA,NA,NA,Sartori
Sartori Reserve Espresso BellaVitano,https://www.cheese.com/sartori-reserve-espresso-bellavitano/,cow,United States,Wisconsin,NA,"semi-firm, artisan",NA,NA,firm,natural,pale yellow,"smokey , sweet","smokey, sweet",NA,NA,NA,NA,Sartori
Sartori Reserve Extra Aged Fontina,https://www.cheese.com/sartori-reserve-extra-aged-fontina/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,creamy,natural,yellow,"buttery, fruity, mild, tangy","lactic, rich",TRUE,FALSE,NA,NA,Sartori
Sartori Reserve Extra-Aged Asiago,https://www.cheese.com/sartori-reserve-extra-aged-asiago/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,"creamy, crumbly",NA,pale yellow,"creamy, nutty",rich,FALSE,FALSE,NA,NA,Sartori
Sartori Reserve Merlot BellaVitano,https://www.cheese.com/sartori-reserve-merlot-bellavitano/,cow,United States,Wisconsin,NA,"semi-hard, artisan",NA,NA,"creamy, crystalline",natural,pale yellow,"creamy, fruity","fruity, pleasant, rich",NA,NA,NA,NA,Sartori
Sartori Reserve Raspberry BellaVitano,https://www.cheese.com/sartori-reserve-raspberry-bellavitano/,cow,United States,Wisconsin,Cheddar,"hard, artisan",NA,NA,creamy,natural,pale yellow,"buttery, creamy, fruity, nutty, sweet","fruity, nutty, rich",TRUE,FALSE,NA,NA,Sartori
Sartori Reserve Rosemary & Olive Oil Asiago,https://www.cheese.com/sartori-reserve-rosemary-olive-oil-asiago/,cow,United States,Wisconsin,NA,"hard, artisan",NA,NA,,NA,pale yellow,"fruity, nutty","fruity, nutty, rich",NA,NA,NA,NA,Sartori
Sartori Reserve SarVecchio Parmesan,https://www.cheese.com/sartori-reserve-sarvecchio-parmesan/,cow,United States,Wisconsin,Parmesan,"hard, artisan",NA,NA,"crumbly, crystalline, dry, flaky, grainy",natural,yellow,"caramel, fruity, nutty","fruity, sweet",TRUE,FALSE,NA,NA,Sartori
Sbrinz,https://www.cheese.com/sbrinz/,cow,Switzerland,"Lucerne, Schwyz, Unterwald, and Zoug, and the following additional places: Muri district in d'Argovi",Swiss Cheese,"hard, artisan",45%,NA,"dense, flaky",natural,yellow,"butterscotch, full-flavored, nutty, spicy, strong","aromatic, spicy",FALSE,FALSE,NA,NA,NA
Sbronzo,https://www.cheese.com/sbronzo/,water buffalo,Italy,Campania,NA,"semi-soft, artisan",NA,NA,"creamy, dense",natural,ivory,"buttery, creamy, fruity, sweet",fruity,NA,NA,NA,NA,Casa Madaio
Scallion Onion Cheddar,https://www.cheese.com/scallion-onion-cheddar/,cow,United States,NY,Cheddar,"semi-hard, artisan",NA,NA,crumbly,natural,pale yellow,"full-flavored, spicy",strong,NA,NA,NA,NA,Muranda Cheese Company
Scamorza,https://www.cheese.com/scamorza/,cow,Italy,NA,Pasta filata,semi-soft,NA,NA,"elastic, smooth, springy",natural,white,NA,NA,NA,NA,Smoked Scamorza,Scamorza Affumicata,NA
Schloss,https://www.cheese.com/schloss/,cow,United States,NA,NA,"semi-soft, brined",NA,NA,"chalky, creamy, smooth",washed,straw,"citrusy, earthy, fruity, full-flavored, meaty, pungent","pungent, strong",FALSE,FALSE,NA,NA,Marin French Cheeese Co.
Scotch Bonnet Cheddar,https://www.cheese.com/scotch-bonnet-cheddar/,cow,United Kingdom,NA,Cheddar,"hard, processed",NA,NA,creamy,plastic,pale yellow,"creamy, spicy, strong",NA,NA,NA,NA,NA,Tesco
Sea Change,https://www.cheese.com/sea-change/,cow,United States,"Lebanon, CT",NA,"semi-soft, artisan",NA,NA,"elastic, smooth",natural,cream,"buttery, mild, milky","fruity, lactic, yeasty",NA,NA,NA,NA,The Mystic Cheese Company
Seahive,https://www.cheese.com/seahive/,cow,United States,Utah,Cheddar,"hard, artisan",NA,NA,"dry, firm",natural,pale yellow,"salty, sweet",floral,TRUE,FALSE,NA,NA,Beehive Cheese Company
Seascape,https://www.cheese.com/seascape/,"cow, goat",United States,California,NA,"semi-hard, artisan",8 g/100g,NA,"crumbly, smooth",natural,pale yellow,"buttery, caramel, tangy",pleasant,TRUE,FALSE,NA,NA,Central Coast Creamery
Seastack,https://www.cheese.com/seastack/,cow,United States,Port Townsend,NA,"soft, soft-ripened",NA,NA,"creamy, firm, runny, soft",ash coated,white,"citrusy, earthy, garlicky, tangy","fresh, milky",FALSE,FALSE,NA,NA,Mt. Townsend Creamery
