song,artist,featuring,entered_top_30_in,lyrics,writers,producer,rough_order
A Little Dive Bar in Dahlonega,Ashley McBryde,NA,2018,"To the bag packed, first love leaver The heart cracked, double down dreamer The homesick for grass that's greener And a slice of Mama's peach pie To the flat broke, couch cushion gas money The worker bee that ain't gettin' no honey Missin' someone all the while runnin' Gunnin' for the brighter lights Here's to the break ups that didn't break us The break down, wrong turn that takes ya To a little dive bar in Dahlonega Hear a song from a band that saves ya, man It's hittin' rock bottom smoke 'em if you got 'em Nothing's going right Makin' the best of the worst day kinda night We've all got a number that we don't wanna drunk dial And a good friend we ain't seen in a while And a slow dance left in these boots And a chance at putting down new roots Here's to the break ups that didn't break us The break down, wrong turn that takes ya To a little dive bar in Dahlonega Hear a song from a band that saves ya, man It's hittin' rock bottom smoke 'em if you got 'em Nothing's going right Makin' the best of the worst day kinda night Here's to the break ups that didn't break us The break down, wrong turn that takes ya To a little dive bar in Dahlonega Meet a girl outside Atlanta, man It's hittin' rock bottom smoke 'em if you got 'em Nothing's going right You're just singing along with your drink raised A pretty little blonde thing's looking your way Makin' the best of the worst day kinda night Yeah, it's making the best of the worst day kind of night Oh... Here's to the breakups It's that kinda night","Ashley McBryde, Nicolette Hayford, Jesse Rice",Jay Joyce,366
Hotel Key,Old Dominion,NA,2018,"Well it was down some street we couldn't even pronounce We were smoking a little from a half an ounce The tequila was cheap but the flow we were feeling was real Neither one of us looking for three little words Unless those three words were do not disturb Checkout was supposed to be noon but we slept in 'til three She kept the hotel key Slipped it in her purse I guess it makes her think of me And that night we left our hearts on our sleeves and the clothes all over the floor We both know we can't open the door no more She kept the hotel key Well I could still see her on the bed sitting Indian style With my t-shirt on and a half drunk smile We talked about Austin and how she'd get back there someday We had the curtains wide open and a song on my phone We danced by the TV we never turned on And wondered would anyone miss us if we ran away But this isn't one of those stories that ends up that way, no She kept the hotel key Slipped it in her purse I guess it makes her think of me And that night we left our hearts on our sleeves and the clothes all over the floor We both know we can't open the door no more She kept the hotel key Yeah We left the lights We left the crowd We left the world and locked it out She left a picture in my head She left the night I can't forget, but She kept the hotel key Slipped it in her purse I guess it makes her think of me And that night we left our hearts on our sleeves and the clothes all over the floor We both know we can't open the door no more She kept the hotel key Yeah She kept it She kept the hotel key Slipped it in her purse I guess it makes her think of me And that night we left our hearts on our sleeves and the clothes all over the floor We both know we can't open the door no more She kept the hotel key Yeah she kept it She kept the hotel key Ooh She kept the hotel key","Matthew Ramsey, Trevor Rosen, Josh Osborne",Shane McAnally,367
Shoot Me Straight,Brothers Osborne,NA,2018,"Don't give me that look, that let me down easy smile Don't act like I couldn't see you coming for a hundred miles Don't try to find the perfect words Can't take the pain out of the hurt Hit me hard, baby I can take it It's your move, go on and make it Make it burn the whole way down Lay my 6 foot 4 inch ass out on the ground Yeah, tomorrow I'll have me a hard hangover And one hell of a heartache So pour it on like a shot of whiskey And shoot me straight I've got some friends who'd love to go raise some hell A couple old flames to help me bid you farewell There's plenty of time and alcohol From happy hour, to last call So do what'cha gotta do So I can get to getting over you Make it burn the whole way down Lay my 6 foot 4 inch ass out on the ground Yeah, tomorrow I'll have me a hard hangover And one hell of a heartache So pour it on like a shot of whiskey And shoot me straight Don't give me that salt shaker and lime Don't give me that come back chaser this time Don't muddle it up, don't water it down Give me everything you got right here, right now Make it burn Make it burn the whole way down Lay my 6 foot 4 inch ass out on the ground Yeah, tomorrow I'll have me a hard hangover And one hell of a heartache Pour it on like a shot of whiskey And shoot me straight Shoot me straight Come on...","John Osborne, TJ Osborne, Lee Thomas Miller",Jay Joyce,368
Downtown's Dead,Sam Hunt,NA,2018,"The city's so in style, all you see for miles are people spilling in and out of cars Man I love these bars are making a killin' Everywhere I go looks like the place to be I see people that I know and I feel like there's no one here but me Downtown's dead without you Girls walk by and friends say hi Then Friday night it might as well be just another Tuesday night without you As long as you're still in my head There ain't a way that I can paint a ghost town red Downtown's dead, downtown's dead Dancing in the strobes out here in the throws of loud house music Everything's a blur I don't hear the words but lips are moving Try to get involved, but I've about had enough of people wall to the wall And I'm just holdin' it up 'cause Downtown's dead without you Girls walk by and friends say hi Then Friday night it might as well be just another Tuesday night without you As long as you're still in my head There ain't a way that I can paint a ghost town red Downtown's dead, downtown's dead Free drinks, bright lights, what am I doing with my life? Okay, I quit, I've had enough of this 'Cause people are losing their minds, can't get you out of my head I'm calling it a night, I'm crawling back to your bed Downtown's dead without you Girls walk by and friends say hi Then Friday night it might as well be just another Tuesday night without you As long as you're still in my head There ain't a way that I can paint a ghost town red Downtown's dead, downtown's dead","Sam Hunt, Zach Crowell, Shane McAnally, Josh Osborne, Charlie Handsome","Zach Crowell, Charlie Handsome",369
Drowns the Whiskey,Jason Aldean,Miranda Lambert,2018,"All the folks down in Lynchburg, Tennessee Been working hard for good ol' boys like me I don't wanna be the one to tell 'em That stuff that they been selling Ain't working like it should But I damn sure wish it would [Jason Aldean & Miranda Lambert:] Whiskey's supposed to drown a memory I've gone from one to one too many And the thing that really gets me Is how your memory drowns the whiskey Maybe it's the bar or the stool I'm on Maybe it's the band and this sad ol' song That keeps me buying rounds That keeps me turning down Any girl that wants to dance And you ain't giving them a chance Whiskey's supposed to drown a memory I've gone from one to one too many And the thing that really gets me Is how your memory drowns the whiskey Girl I'm livin' proof That 80 proof Ain't got a shot At touching you But whiskey's supposed to drown a memory I've gone from one to one too many And the thing that really gets me Is whiskey's supposed to drown a memory I've gone from one to one too many And the thing that really gets me Is how your memory drowns the whiskey Yeah the thing that really gets me Is how your memory drowns the whiskey All the folks down in Lynchburg, Tennessee Been working hard for good ol' boys like me","Brandon Kinney, Jeff Middleton, Josh Thompson",Michael Knox,370
"Sunrise, Sunburn, Sunset",Luke Bryan,NA,2018,"Your daddy had a lake house He had me paint it that summer sophomore year Said I could stay for free A couple buddies, a couple weeks You rode in in a little red Honda And headed straight for the pier Tank top and cut-off jeans A little PacSun underneath Who knew it was 'bout to be Sunrise, sunburn, sunset, repeat Moonlight, all night, crashing into me Nothing will ever be easy as you and me Tangled up and nowhere to be Just sunrise, sunburn, sunset, repeat Sunrise, sunburn, sunset, repeat, ayy I turned those shutters the color of your eyes 'Til the day turned into night And took turns with a jar Turn that boat dock into a bar And then we passed the guitar around the fire to each other And watched all of our friends pair off with one another But we felt like the stars we were under And everybody knew that that was our summer Sunrise, sunburn, sunset, repeat Moonlight, all night, crashing into me Nothing will ever be easy as you and me Tangled up and nowhere to be Just sunrise, sunburn, sunset, repeat Yeah Whoa We set July on fire Whoa Yeah, girl, you and I were Sunrise, sunburn, sunset, repeat Sunrise, sunburn, sunset, repeat Moonlight, all night, crashing into me Nothing will ever be easy as you and me Tangled up and nowhere to be Just sunrise, sunburn, sunset, repeat Sunrise, sunburn, sunset, repeat Yeah Whoa We set July on fire Whoa Yeah, girl, you and I were Sunrise, sunburn, sunset, repeat Sunrise, sunburn, sunset, repeat","Zach Crowell, Ryan Hurd, Chase McGill","Jeff Stevens, Jody Stevens",371
Simple,Florida Georgia Line,NA,2018,"The way your fingers fit in mine It's five plus five, not rocket science This day in time, that's hard to find It's true the road we're on ain't a traffic jam It's a Sunday drive on a piece of land It's paradise as long as I'm with you It's like one, two three Just as easy as can be Just the way you look at me You make me smile Ain't no need to complicate it, we both know that's overrated We've been there, it's safe to say it ain't our style It's just that simple, S-I-M-P-L-E Simple as can be It's just that simple, S-I-M-P-L-E Simple as can be We used to live on Instagram Worry 'bout who all gives a damn 'Bout where we've been and where we ended up Then I met you and you met me And all the rest is history; an epiphany That all we need is us It's like one, two three Just as easy as can be Just the way you look at me You make me smile Ain't no need to complicate it, we both know that's overrated We've been there, it's safe to say it ain't our style We're just simple like a six string The way this world was meant to be Like laughin' love, make a lot out of a little Its just that simple, S-I-M-P-L-E Simple as can be Its just that simple, S-I-M-P-L-E Simple as can be Ain't no need to complicate it, we both know thats overrated We've been there, its safe to say it ain't our style, yeah It's like one, two three Just as easy as can be Just the way you look at me You make me smile Ain't no need to complicate it, we both know that's overrated We've been there, its safe to say it ain't our style We're just simple like a six string The way this world was meant to be Like laughin' love, make a lot out of a little Its just that simple, S-I-M-P-L-E Simple as can be Its just that simple, S-I-M-P-L-E Simple as can be Its just that simple, S-I-M-P-L-E Simple as can be Its just that simple, S-I-M-P-L-E Simple as can be","Tyler Hubbard, Brian Kelley, Hardy, Mark Holman",Joey Moi,372
Hide the Wine,Carly Pearce,NA,2018,"I heard you were back in town It's been a hot minute since me and you were hanging out Yeah we had that crazy kind of chemistry Where you get burned, don't learn, don't care, just reach for another match and gasoline Well knock knock, here you come a knockin' on my door But you're gonna have to wait on the porch Better hide the wine And get it gone Oh I better hide every one of them records that turn me on (lock 'um up, lock 'um up) Turn up the lights And kill the mood Oh 'cause baby I just don't trust myself with you I better hide the wine Well I know me and I know you I better get rid of all the Two Buck Chuck and the high-dollar good stuff too 'Cause baby if I don't, you know what we'll do Oh oh with one sip, one tip, we'll be sitting on the couch, you'll be kicking off your shoes Better hide the wine And get it gone Oh I better hide every one of them records that turn me on (lock 'um up, lock 'um up) Turn up the lights And kill the mood Oh 'cause baby I just don't trust myself with you I better hide the wine Oh I better hide the wine, yeah Oh knock knock here you come a knockin' on my door But you're gonna have to wait another minute on the porch Oh no, no, it's a dangerous thing pouring alcohol on an old flame Hide the wine And get it gone Oh I better hide every one of them records that turn me on (lock 'um up, lock 'um up) Turn up the lights And kill the mood Oh 'cause baby I just don't trust myself with you I better hide the wine Oh I better hide the wine, yeah Oh I better hide the wine","Ashley Gorley, Luke Laird, Hillary Lindsey",busbee,373
Summer Fever,Little Big Town,NA,2018,"Feel that salt in the air, almost there Got that wind in my hair, Ray-Ban glare Hear that song we love on the radio Stir it up baby, we both know We're 'bout to float that Malibu With that flip-flop attitude With that old school mixtape playing Over and over again on a blown out speaker Dance in the sand while the sun sets deeper Got that top back on that Jeep Got that soundtrack on repeat Got that one hand on my knee and I want it Over and over again, catching summer fever Summer fever, summer fever Close our eyes and let it take us Lost in the waves and the palm trees swaying All alone and out of reach Just the stars and the moonlight, you and me We're 'bout to float that Malibu With that barefoot attitude With that slow jam mixtape playing Over and over again on a blown out speaker Dance in the sand while the sun sets deeper Got that top back on that Jeep Got that soundtrack on repeat Got that one hand on my knee and I want it Over and over again, catching summer fever Summer fever, summer fever Endless sun kissed smile on our face Chase that love like it's running away And I want it Yeah I want it Ohh Over and over again on a blown out speaker Dance in the sand while the sun sets deeper Got that top back on that Jeep Got that soundtrack on repeat Got that one hand on my knee and I want it Over and over again catching summer fever, summer fever, summer fever Over and over again, catching summer fever Summer fever, summer fever","Cary Barlowe, Karen Fairchild, Jesse Frasure, Samuel Roman","Jesse Frasure, Shane McAnally",374
All Day Long,Garth Brooks,NA,2018,Somebody's gotta start the weekend Somebody's got to unwind Somebody's gotta find that honky-tonk Out on the county line With pretty things and a band that swings That gets 'em all out on the floor And if we're gonna get the party started Somebody's gotta swing those doors Somebody's gotta feed that jukebox Somebody's gotta drink that beer Somebody's gotta get all rowdy And raise some hell in here Somebody's gotta dance with the women Spin 'em to a country song I can do this night life all day long Somebody's gonna need a shoulder When that sad song plays Somebody's gonna need to hold her Tell her it's okay Just let her know to let it go And then she's gonna have some fun If she needs some help gettin' over him Somebody's gotta get it done Somebody's gotta shoot that whiskey Somebody gotta bust that rack Somebody's gotta play that country that ain't ever comin' back If home is where the heart is then I'm right where I belong I can do this night life all day long Somebody's gotta go the distance Somebody's gotta call last round Somebody's gotta turn the lights on And shut this ol' bar down When mornin' comes you'll find someone With a headache and a grin You know Saturday night is comin' Somebody's gotta go again Somebody's gotta feed that jukebox Somebody's gotta hold my beer Somebody's gotta get a little crazy And raise some hell in here Somebody's gotta spend that paycheck 'Til the money's gone I can do this night life all day long I can do this night (let me hear you say) All day long (Yeah!),"Bryan Kennedy, Garth Brooks, Mitch Rossell",Mark Miller,375
Blue Tacoma,Russell Dickerson,NA,2018,"Blue Tacoma, California Rays of gold are shining on ya Wheels rolling on an old Toyota Twist top on a Sunkist soda Your brown hair in the west coast wind If heaven is anywhere Nineties hits at the top of our lungs Shuffle landed on ""Still the One"" Missing turns cause that's our song If heaven is anywhere It's in a blue Tacoma, California White magnolia in your hair Rays of gold are shining on ya Oooh, if heaven is anywhere It's never running out of golden road Always having your hand to hold In a blue Tacoma, California Oooh, if heaven is anywhere It's right here Blue Tacoma, California Rays of gold are shining on ya Red sun melting to the black top Dollar shades from a nowhere truck stop Your kiss and that coast line If heaven is anywhere Pull it over to the shoulder To take it in mmmh and pull you closer Loving you longer than I ever did Going places we never been Cause heaven's in A blue Tacoma, California White magnolia in your hair Rays of gold are shining on ya Oooh, if heaven is anywhere It's never running out of golden road Always having your hand to hold In a blue Tacoma, California Oooh, if heaven is anywhere It's right here Blue Tacoma, California Rays of gold are shining on ya If heaven is anywhere It's in a blue Tacoma, California White magnolia in your hair Rays of gold are shining on ya Oooh, if heaven is anywhere It's never running out of golden road Always having your hand to hold In a blue Tacoma, California Oooh, if heaven is anywhere It's right here Blue Tacoma, California Oooh, if heaven is anywhere Rays of gold are shining on ya It's always right here, always right here, oh oh Blue Tacoma, California Rays of gold are shining on ya Oooh, if heaven is anywhere","Russell Dickerson, Parker Welling, Casey Brown",Casey Brown,376
Born to Love You,LANCO,NA,2018,"I was born in a town full of red pine trees County sign says ""follow your dreams"" Westbound train makes the whole town shake Friday night lights decide your fate Born again in a church where the steeple's white Preacher preach Book of John and my momma cried Meaning of life was in verse 2 Didn't make sense 'til I found you I could search the world from south to north But I've already found what I'm looking for Wherever I go and whatever I do I was born to love you, I was born to love you Looking in your eyes, yeah it's all so clear Every time you smile, I know why I'm here Wherever I go and whatever I do I was born to love you, I was born to love you I was a wild child between lost and found Then you spoke my name, it was a sweet sound Rescue kiss and you pulled me in All my life baby, where you been 'Cause I could search the world from south to north But I've already found what I'm looking for Wherever I go and whatever I do I was born to love you, I was born to love you Looking in your eyes, yeah it's all so clear Every time you smile, I know why I'm here Wherever I go and whatever I do I was born to love you, I was born to love you 'Cause I could search the world from south to north But I've already found what I'm looking for Wherever I go and whatever I do I was born to love you, I was born to love you Looking in your eyes, yeah it's all so clear Every time you smile, I know why I'm here Wherever I go and whatever I do I was born to love you, I was born to love you","Brandon Lancaster, Ross Copperman, Ashley Gorley, Josh Osborne",Jay Joyce,377
Rich,Maren Morris,NA,2018,"La-a-a-a-a-di-da La-a-a-a-a-di-da If I had a dollar every time that I swore you off And a twenty every time that I picked up when you called And a crisp new Benjamin for when you're here then gone again And a dollar every time I was right about you after all Boy I'd be rich, head to toe Prada Benz in the driveway, yacht in the water Vegas at the Mandarin, high roller gambling Me and Diddy drippin' diamonds like Marilyn No I wouldn't be drowning in all your IOU's Every promise you made me would have some real value Cause all the little lies rolling off your lips Is money falling from the sky...(ka-ching, ka-ching) shit I'd be rich La-a-a-a-a-di-da I'd be rich La-a-a-a-a-di-da If I had a dime every time that you crossed my mind Well I'd basically be sitting on a big ass pile of dimes And all the times that you make my heart feel cheap I might as well have won the lottery All of this pain and me cursing your name Would just turn into dollar signs Cause I'd be rich, head to toe Prada Benz in the driveway, yacht in the water Vegas at the Mandarin, high roller gambling Me and Diddy drippin' diamonds like Marilyn No I wouldn't be drowning in all your IOU's Every promise you made me would have some real value Cause all the little lies rolling off your lips Is money falling from the sky...(ka-ching, ka-ching) shit I'd be rich La-a-a-a-a-di-da I'd be rich La-a-a-a-a-di-da Told myself I wouldn't do this again But how much you wanna bet I'mma do this again? Rich, head to toe Prada Benz in the driveway, yacht in the water Vegas at the Mandarin, high roller gambling Me and Diddy drippin' diamonds like Marilyn No I wouldn't be drowning in all your IOU's Every promise you made me would have some real value Cause all the little lies rolling off your lips Is money falling from the sky...(ka-ching, ka-ching) shit I'd be rich La-a-a-a-a-di-da I'd be rich La-a-a-a-a-di-da","Maren Morris, Jessie Jo DIllon, Laura Veltz","busbee, Maren Morris",378
Hangin' On,Chris Young,NA,2018,"I'm a few drinks in, but that ain't the reason I'm all tongue tied and my breath's leaving this fast I can't get past Those blue eyes shining They keep drawing me in to you Got me fallin' off track You get me like that Yeah, I'm hangin' on, hangin' on To every word you say Every move you make I'm hangin' on, hangin' on Wondering what's up next Girl, I can't wait Ain't nothing like spinning you around the room Where everyone can see You hangin' on, hangin' on to me It ain't the song, and it ain't the playlist It's every smile coming off of your sweet lips, yeah That makes me wanna stay here No, this ain't a one night, one time thing You always light me up like a flame and it's clear Every time you're near Yeah, I'm hangin' on, hangin' on To every word you say Every move you make I'm hangin' on, hangin' on Wondering what's up next Girl, I can't wait Ain't nothing like spinning you around the room Where everyone can see You hangin' on, hangin' on to me Yeah, you hangin' on to me So let me pull you a little closer Even when the music's over I'll be hangin' on, hangin' on To every word you say Every move you make I'm hangin' on, hangin' on Wondering what's up next Girl, I can't wait Ain't nothing like spinning you around the room Where everyone can see You hangin' on, hangin' on to me Yeah, you hangin' on to me","Chris Young, Josh Hoge, Corey Crowder","Chris Young, Corey Crowder",379
Desperate Man,Eric Church,NA,2018,"I've seen the Joshua Tree Got down on my knees Threw the Virgin Mother a prayer I've walked glass barefooted Strolled 'cross the devil's hot coal I've tried everything, I swear Oh but hey (hey), what can I say? I'm a desperate man I said hey (hey), what can I say? I'm just a desperate man Boo boo Boo boo boo boo, boo boo boo Boo boo boo boo, boo boo boo Boo boo boo boo boo Fortuneteller told me ""No more last chances You got no future at all"" Oh but I ain't listenin' To black-hearted gypsy Then a crucifix to a bedroom wall But hey (hey), what can I say? I'm a desperate man I said hey (hey), what can I say? I'm just a desperate man Boo boo Boo boo boo boo, boo boo boo Boo boo boo boo, boo boo boo Boo boo boo boo boo Boo boo Boo boo boo boo, boo boo boo Boo boo boo boo, boo boo boo Boo boo boo boo boo I'm a half-cock, full-tilt, scarred-hands-to-the-hilt, don't-push-me grown-ass man Yeah flashin' light, caution, careful where ya cross son, 'til she comes back again But now hey (hey), what can I say? I'm a desperate man Oh hey (hey), what can I say? I'm just a desperate man Oh hey (hey), I said hey (hey) Woah what can I say, I'm a desperate man Oh hey (hey), I said hey (hey) I'm just a desperate man Boo boo Boo boo boo boo, boo boo boo Boo boo boo boo, boo boo boo Boo boo boo boo boo","Eric Church, Ray Wylie Hubbard",Jay Joyce,380
Lose It,Kane Brown,NA,2018,"That lit up, ringin', buzzin', good for nothing phone in your hand The directions to the party that's just started with that cover band That old school radio station, that's just driving till it's faded, girl Let's lose it, tonight Cause when you do that thing right there Flippin' your hair, baby, I swear I don't think you know what you're doin' to me, you got My heart skip-skippin' a beat, you're not Close enough So that space between You and me, let's lose it The way you're dancin', swayin' to the music Girl, that body and how you move it Every time you cross my mind Girl, I lose it Yeah, I lose it Yeah, I lose it Let's start with them Luchese's, baby, kick 'em to the floor board Them bobby pins holdin' your hair up, girl, you don't need 'em no more That dress hangin' off your shoulder as you move a little closer Yeah, let's lose it (lose it), tonight Yeah, girl I don't think you know what you're doin' to me, you got My heart skip-skippin' a beat, you're now Close enough So that space between You and me, let's lose it The way you're dancin', swayin' to the music Girl, that body and how you move it Every time you cross my mind Girl, I lose it Yeah, I lose it Yeah, I lose it Cause when you do that thing right there Flippin' your hair, baby, I swear I don't think you know what you're doin' to me, you got My heart skip-skippin' a beat, you're not Close enough So that space between You and me, let's lose it The way you're dancin', swayin' to the music Girl, that body and how you move it Every time you cross my mind Girl, I lose it Yeah, I lose it Yeah, I lose it Yeah, I lose it (I lose it) Yeah, I lose it Girl, I lose it Yeah, I lose it","Kane Brown, Chase McGill, Will Weatherly",Dann Huff,381
Drunk Me,Mitchell Tenpenny,NA,2018,"Some people don't know when to quit and that's why they quit Some need to hit the bottom to see they got a problem, they can't handle it But that ain't why I started cleaning up my life Wish it was but, ooh, that would be a lie I've been sober 'cause there ain't no hangover like you girl, no, no, no Baby can you come over, I always find those words at the bottom of a hundred proof, yeah Girl, every time you do I just end up, head all messed up like the sheets where we made love I've been sober since you broke my heart in two 'Cause drunk me can't get over you (there ain't no hangover like you) Can't get over, can't get over (there ain't no hangover like you) Oh, no, no, no All those bottles sitting up on the shelf are just salt on the wound One sip and I'm picking up the phone trying not to go home without you And that ain't nothing but a whole lotta pain And that kind of hurt, ooh hurts, it ain't worth another drink I've been sober 'cause there ain't no hangover like you girl, no, no, no Baby, can you come over, I always find those words at the bottom of a hundred proof, yeah-yeah Girl, every time you do I just end up, head all messed up like the sheets where we made love I've been sober since you broke my heart in two 'Cause drunk me can't get over you... no Can't get over you, oh, no, no, no I've been sober 'cause there ain't no hangover like you, no, no, no Can you come over I always find those words at the bottom of a hundred proof, yeah-yeah Girl, every time you do I just end up, head all messed up like the sheets where we made love I've been sober since you broke my heart in two 'Cause drunk me, yeah drunk me, yeah drunk me Can't get over you (there ain't no hangover like you) Can't get over, can't get over (there ain't no hangover like you), oh, no, no, no","Mitchell Tenpenny, Jordan Schmidt, Justin Wilson",Mitchell Tenpenny,382
Best Shot,Jimmie Allen,NA,2018,"I'm just flesh and bone, heart and soul And I've earned a couple scars I've let once in a lifetime kind of things slide right out of my arms I've struck out, I've been knocked down more times than I can count But that don't matter now 'Cause when you smile I see the sun sink down on a coast out in California And there's no doubt Because of you, I'm not the man I was before you I'm not saying that I'm perfect Oh 'cause girl you know I'm not But I'll love you with everything I've got Girl I'll give you my best shot You saw a spark inside of me that no one else could find Your good morning eyes, they get me high Girl you're always on my mind 'Cause when you smile I see the sun sink down on a coast out in California And there's no doubt Because of you, I'm not the man I was before you I'm not saying that I'm perfect Oh 'cause girl you know I'm not But I'll love you with everything I've got Girl I'll give you my best shot When I saw you for the first time I knew I'd found amazing grace It's like angels singing every time I hear your name When you smile I see the sun sink down on a coast out in California And there's no doubt Because of you, I'm not the man I was before you When you smile I see the sun sink down on a coast out in California And there's no doubt Because of you, I'm better than I was before you I'm not saying that I'm perfect Oh, God knows I'm not But I'll love you with everything I've got Girl I'll give you my best shot I'm gonna give you, I'll give you my best shot I'm gonna give you, I'm gonna give you, yeah Whoa whoa yeah Whoa yeah","Jimmie Allen, Josh London, J.P. Williams","Ash Bowers, Eric Torres",383
I Hate Love Songs,Kelsea Ballerini,NA,2018,"I hate Shakespeare and Gosling and cakes with white frosting Two names in a heart-shaped tattoo I think cupid is stupid and violets are purple not blue I hate catching bouquets, the honeymoon phase And letterman jackets don't fit Your eyes can't hold stars and you'd die if your heart really skipped I hate love songs Yeah, I really do I hate love songs But I love you I hate pink hearts with glitter and Valentine's dinner And roses just die in a week We were drunk when we met so we don't know our anniversary And I'm far too vain to kiss in the rain The clouds, they aren't numbered to nine And you make me feel something but it sure as hell ain't butterflies I hate love songs Yeah, I really do I hate love songs But I love you Yeah And I'll always love you but I don't have to sing it ""For worse or for better"" don't rhyme They say I got the right one so now I should write one But I'd rather just show you tonight I hate love songs Yeah, I really do I hate love songs But I love you I hate love songs The old and the new I hate love songs But I love you","Kelsea Ballerini, Shane McAnally, Trevor Rosen","Forest Glen Whitehead, Jason Massey",384
Last Shot,Kip Moore,NA,2018,"Well, baby love's just one of those words that gets thrown around Like Jack and Coke, sitting on the bar when it gets watered down So I ain't gonna say it, oh but I ain't gonna lie If you wanna know the truth how I feel about you tonight If you were my last breath, I'd just wanna hold ya If you were my last night of hell on wheels, I'd wanna drive you like I stole ya If you were my last shot, last shot of whiskey I'd press you to my lips, take a little sip Swirl you around and around and around Then I'd shoot you down So baby let me look at you and see just what I got If you were my cherry stem I'd tie you in a knot And if I couldn't hail you, oh baby I'd be gone I'd be floating round high as the Colorado sky blowing smoke rings all night long If you were my last breath, I'd just wanna hold ya If you were my last night of hell on wheels, I'd wanna drive you like I stole ya If you were my last shot, of whiskey I'd press you to my lips, take a little sip Swirl you around and around and around Then I'd shoot you down Last call, last chance, last dance I was ever gonna get to take If you were my last breath, I'd just wanna hold ya My last night of hell on wheels, wanna drive you like I stole ya If you were my last shot, of whiskey I'd press you to my lips, take a little sip Swirl you around and around and around Then I'd shoot you down Then I'd shoot you down Well, if you were my last breath Well, I'd just wanna hold ya","Kip Moore, Dan Couch, David Lee Murphy",Kip Moore,385
She Got The Best of Me,Luke Combs,NA,2018,"Seventeen, you don't think that much about life You just live it Like Kerosene dancing around a fire But you're in it So you jump right in Ain't afraid to fall And you give it all She got the best of me She broke my heart Now all that's left of me Is beating in this guitar Every night, a different town She follows me around So you get what's left of me Yeah, you get what's left of me Cause she got the best of me I picked myself up off the floor And found something new worth living for In an old dusty hand-me-down six string And a couple chords I'm getting over her A little more with every song So y'all sing a-long She got the best of me She broke my heart Now all that's left of me Is beating in this guitar Every night, a different town She follows me around So you get what's left of me Yeah, you get what's left of me Cause she got the best of me Woah She got the best of me She broke my heart Now all that's left of me Is beating in this guitar Every night, a different town She follows me around So you get what's left of me Yeah, you get what's left of me Cause she got the best of me Cause she got the best of me She got the best of me","Luke Combs, Rob Snyder, Channing Wilson",Scott Moffatt,386
Burn Out,Midland,NA,2018,"Watchin' cigarettes burn out 'Til all the neon gets turned out I was so on fire for you it hurts how Fast that a cigarette can burn out Just watchin' rivers run Down the side of my bottle Almost like it's cryin' my tears I had the world on a string And then I lost everything And that's how I wound up here Watchin' cigarettes burn out 'Til all the neon gets turned out There's nothing left but empty glasses now It's all flashes now Smokin' memory that ain't nothin' but ashes In the low lights These done-me-wrong songs hit me so right I was so on fire for you it hurts how Fast that a cigarette can burn out If you put your hands on the flame You've got no right to complain 'Cause you know it's gonna leave a mark When the glow comes to an end Like scattered embers in the wind Leaves you lookin' for a brand new spark Watchin' cigarettes burn out No, with every hit I'm gonna quit But who am I kiddin' I just can't put you down So I keep hangin' around Watchin' cigarettes burn out 'Til all the neon gets turned out There's nothing left but empty glasses now It's all flashes now Smokin' memory that ain't nothin' but ashes In the low lights These done-me-wrong songs hit me so right I was so on fire for you it hurts how Fast that a cigarette can burn out I was so on fire for you it hurts how Fast that a cigarette can burn out","Jess Carson, Cameron Duddy, Mark Wystrach, Shane McAnally, Josh Osborne","Josh Osborne, Shane McAnally, Dann Huff",387
Burning Man,Dierks Bentley,Brothers Osborne,2018,"Half your life you struggle Half your life you fly Half your life makin' trouble Half your life makin' it right One day I'm the exception Most days I'm just like most Some days I'm headed in the right direction And some days I ain't even close I'm a little bit steady but still little bit rollin' stone I'm a little bit heaven but still a little bit flesh and bone Little found, little don't know where I am I'm a little bit holy water but still a little bit burning man Burning man yeah I always loved the highway I just don't run it as fast I still go wherever the wind blows me But I always find my way back I still don't get it right sometimes I just don't get it as wrong I still go a little bit crazy sometimes Yeah, but now I don't stay near as long I'm a little bit steady but still little bit rollin' stone I'm a little bit heaven but still a little bit flesh and bone Little found, little don't know where I am I'm a little bit holy water but still a little bit burning man Burning man Still just a burn, burn, burning man Just a burning man, uh Maybe I'll go to the desert Find myself in the Joshua Trees If we pass in the night then just hand me a lighter Tell me you burned just like me I'm a little bit steady but still little bit rollin' stone I'm a little bit heaven but still a little bit flesh and bone Little found, little don't know where I am I'm a little bit holy water but still a little bit burning man Burning man Still just a burn, burn, burning man Just a burning man","Bobby Pinson, Luke Dick","Ross Copperman, Jon Randall",388
