gamename,year,month,avg,gain,peak,avg_peak_perc
Sanctum 2,2014,January,1601.07,679.54,13560,11.8073%
STAR WARS: Knights of the Old Republic,2014,January,359.46,54.23,688,52.2471%
Need for Speed: Hot Pursuit,2014,January,162.72,-95.07,432,37.6667%
Surgeon Simulator,2014,January,369.51,-23.92,1035,35.7014%
Dungeon Defenders,2014,January,1849.41,282.29,5248,35.2403%
Mass Effect 2,2014,January,830.36,308.03,1987,41.7896%
FEZ,2014,January,128.94,-202.5,363,35.5207%
Day of Defeat: Source,2014,January,1047.79,39.95,2183,47.9977%
Bad Rats,2014,January,12.62,4.57,51,24.7451%
Gunpoint,2014,January,62.49,-45.74,274,22.8066%
S.T.A.L.K.E.R.: Call of Pripyat,2014,January,196.23,42.3,353,55.5892%
Tom Clancy's Splinter Cell Blacklist,2014,January,525.59,-256.12,2551,20.6033%
Fallout 3,2014,January,105.61,-19.85,226,46.7301%
Moonbase Alpha,2014,January,39.43,10.24,102,38.6569%
"Warhammer 40,000: Space Marine",2014,January,193.77,-7.71,419,46.2458%
Grand Theft Auto: Vice City,2014,January,113.71,25.67,360,31.5861%
The Banner Saga,2014,January,900.81,899.17,4436,20.3068%
Burnout Paradise: The Ultimate Box,2014,January,191.52,-41.4,393,48.7328%
Nuclear Throne,2014,January,26.84,1.24,113,23.7522%
Aliens vs. Predator,2014,January,114.06,10.4,256,44.5547%
Trine,2014,January,184.98,-75.42,689,26.8476%
Saints Row 2,2014,January,252.21,66.11,767,32.8827%
RAGE,2014,January,392.56,-235.93,1038,37.8189%
Far Cry® 3 Blood Dragon,2014,January,425.19,-66.19,1188,35.7904%
Gotham City Impostors: Free To Play,2014,January,301.6,-4.5,607,49.687%
Defiance,2014,January,541.61,-116.93,1182,45.8215%
Dead Space,2014,January,118.08,-21.27,268,44.0597%
Contagion,2014,January,215.43,-443.35,978,22.0276%
Remember Me,2014,January,155.85,70.82,821,18.9829%
Deadlight,2014,January,132.13,0.72,860,15.364%
Dead Space 2,2014,January,79.02,-22.37,184,42.9457%
Dragon Age: Origins - Ultimate Edition,2014,January,1365.78,-721.88,3731,36.6063%
LEGO® MARVEL Super Heroes,2014,January,1577.37,99,4161,37.9084%
Injustice: Gods Among Us Ultimate Edition,2014,January,316.19,-99.53,1337,23.6492%
Tropico 4,2014,January,635.49,94.19,1729,36.7548%
Call of Duty 4: Modern Warfare,2014,January,362.51,2.52,680,53.3103%
Shadowrun Returns,2014,January,351.52,-390.88,1053,33.3827%
MURDERED: SOUL SUSPECT,2014,January,1.26,0.62,7,18%
Star Conflict,2014,January,564.5,52.23,1063,53.1044%
Project CARS,2014,January,51.52,-3.39,145,35.531%
Kingdoms of Amalur: Reckoning,2014,January,221.23,110.75,5239,4.2228%
Bully: Scholarship Edition,2014,January,88.75,-68.44,214,41.472%
Natural Selection 2,2014,January,1383.72,6.08,5936,23.3106%
TrackMania Nations Forever,2014,January,195.92,-11.01,495,39.5798%
Ultra Street Fighter IV,2014,January,569.77,27.1,1205,47.2838%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,2014,January,319.42,-55.05,651,49.0661%
Psychonauts,2014,January,83.66,-8.81,199,42.0402%
Half-Life 2: Episode One,2014,January,186.74,34.76,477,39.1488%
AirMech Strike,2014,January,215.41,-2.62,413,52.1574%
Defy Gravity,2014,January,0.29,-0.22,3,9.6667%
Thomas Was Alone,2014,January,33.96,-15.55,108,31.4444%
Dungeon of the Endless,2014,January,53.85,-49.91,176,30.5966%
Monaco,2014,January,141.56,-173.32,513,27.5945%
SNOW,2014,January,30.04,2.07,97,30.9691%
Deponia,2014,January,86.88,-85.65,401,21.6658%
Fallout,2014,January,52.49,-73.07,179,29.324%
Craft The World,2014,January,245.36,-149.94,646,37.9814%
Sonic Generations,2014,January,87.14,-23.84,182,47.8791%
RIFT,2014,January,3155.93,-110.59,5737,55.0101%
Sniper Ghost Warrior 2,2014,January,256.59,-21.77,677,37.901%
Octodad: Dadliest Catch,2014,January,54.72,54.71,1370,3.9942%
Crysis 2 Maximum Edition,2014,January,251.34,-79.26,528,47.6023%
VVVVVV,2014,January,110.78,96.35,2174,5.0957%
Assassin's Creed Brotherhood,2014,January,449.83,22.42,1111,40.4887%
The Bureau: XCOM Declassified,2014,January,307.67,49.89,1976,15.5703%
Scribblenauts Unlimited,2014,January,344.54,-134.55,1235,27.898%
Braid,2014,January,111.31,31.24,871,12.7796%
STAR WARS Empire at War: Gold Pack,2014,January,184.28,28.21,346,53.2601%
Tribes: Ascend,2014,January,245.51,3.39,496,49.498%
America's Army: Proving Grounds,2014,January,717.74,24,1372,52.3134%
Little Inferno,2014,January,75.74,-58.99,272,27.8456%
STAR WARS Republic Commando,2014,January,28.61,3.59,69,41.4638%
Gear Up,2014,January,36.14,18.17,79,45.7468%
F.E.A.R.,2014,January,62.7,-41.46,149,42.0805%
Deus Ex: Game of the Year Edition,2014,January,54.6,-2.3,112,48.75%
Mount & Blade: With Fire and Sword,2014,January,363.39,1.77,746,48.7118%
Wasteland 2,2014,January,134.96,-200.39,348,38.7816%
Dragon Age: Origins,2014,January,461.46,-121.75,1234,37.3955%
Vampire: The Masquerade - Bloodlines,2014,January,91.65,6.45,178,51.4888%
Crysis,2014,January,79.84,-30.59,194,41.1546%
Half-Life 2: Deathmatch,2014,January,335.22,35.77,695,48.2331%
PAC-MAN Championship Edition DX+,2014,January,11.81,-4.08,39,30.2821%
Super Crate Box,2014,January,30.25,-2.63,91,33.2418%
Universe Sandbox,2014,January,0.48,-0.1,4,12%
Assassin's Creed Revelations,2014,January,351.29,10.45,876,40.1016%
Unepic,2014,January,195.01,37.19,592,32.9409%
Hitman: Blood Money,2014,January,132.29,74.05,624,21.2003%
Door Kickers,2014,January,12.45,1.82,34,36.6176%
Half-Life 2: Lost Coast,2014,January,30.53,6.47,85,35.9176%
Lucius,2014,January,17.89,-3.08,48,37.2708%
Assassin's Creed,2014,January,156.12,-23.66,584,26.7329%
Endless Space® - Definitive Edition,2014,January,964.96,-187.26,3036,31.7839%
The Swapper,2014,January,76.67,32.79,328,23.375%
STAR WARS Jedi Knight: Jedi Academy,2014,January,126.31,47.7,395,31.9772%
Long Live The Queen,2014,January,135.43,-12.89,446,30.3655%
Anno 2070,2014,January,2457.84,844.84,9261,26.5397%
Archeblade,2014,January,181.78,-26.78,362,50.2155%
"Warhammer 40,000: Dawn of War II",2014,January,322.44,16.53,713,45.223%
S.T.A.L.K.E.R.: Clear Sky,2014,January,88.38,18.9,184,48.0326%
Homefront,2014,January,65.35,-6.5,149,43.8591%
Nidhogg,2014,January,221.07,NA,606,36.4802%
FlatOut 2,2014,January,37.48,-10.1,133,28.1805%
Machinarium,2014,January,50.4,-6.67,177,28.4746%
DLC Quest,2014,January,34.41,-8.65,257,13.3891%
PROTOTYPE 2,2014,January,152.1,10.85,574,26.4983%
Orcs Must Die!,2014,January,94.89,-91.14,227,41.8018%
Serious Sam 2,2014,January,29.22,-6.09,128,22.8281%
F.E.A.R. 3,2014,January,141.13,-55.18,311,45.3794%
Supreme Commander 2,2014,January,485.96,-6.4,1122,43.3119%
FINAL FANTASY VIII,2014,January,1189.32,-1140.73,2681,44.3611%
Broken Age,2014,January,299.58,299.05,3134,9.559%
Far Cry 2,2014,January,79.71,-8.12,182,43.7967%
Zombie Panic! Source,2014,January,157.44,-8.06,385,40.8935%
Race The Sun,2014,January,26.69,-45.09,75,35.5867%
Half-Life: Opposing Force,2014,January,67.2,10.16,169,39.7633%
Cave Story+,2014,January,54.9,15.59,157,34.9682%
Kingdom Rush,2014,January,377.59,NA,978,38.6084%
Hammerwatch,2014,January,434.48,286.73,3249,13.3727%
Recettear: An Item Shop's Tale,2014,January,77.59,-40.76,218,35.5917%
The Incredible Adventures of Van Helsing,2014,January,335.62,-216.94,1278,26.2613%
Supreme Commander: Forged Alliance,2014,January,335.11,25.95,721,46.4785%
Resident Evil Revelations,2014,January,171.67,14.17,383,44.8225%
Guacamelee! Gold Edition,2014,January,152.83,-1.88,656,23.2973%
The Ship,2014,January,55.33,9.83,768,7.2044%
Company of Heroes - Legacy Edition,2014,January,148.07,29.64,351,42.1852%
Fallout 2,2014,January,74.64,-41.89,185,40.3459%
Elsword,2014,January,526.35,-16.23,958,54.9426%
Grand Theft Auto III,2014,January,57.69,17.59,245,23.5469%
Sonic Adventure 2,2014,January,62.3,3.7,149,41.8121%
Democracy 3,2014,January,82.58,-11.66,180,45.8778%
Slender: The Arrival,2014,January,41.07,5.18,195,21.0615%
E.Y.E: Divine Cybermancy,2014,January,153.42,84.28,1124,13.6495%
Primal Carnage,2014,January,130.03,0.39,355,36.6282%
Evoland,2014,January,42.91,-35.5,225,19.0711%
Duke Nukem Forever,2014,January,99.34,27.04,520,19.1038%
Legend of Grimrock,2014,January,191.45,15.66,971,19.7168%
Secret World Legends,2014,January,964.4,352.02,3634,26.5382%
Binary Domain,2014,January,17.73,-8.7,51,34.7647%
Command and Conquer: Red Alert 3,2014,January,198.14,-59.98,543,36.4899%
Dark Messiah of Might & Magic Single Player,2014,January,42.22,0.1,114,37.0351%
Fable - The Lost Chapters,2014,January,243.79,-29.95,923,26.4128%
Amnesia: A Machine for Pigs,2014,January,57.44,-9.25,170,33.7882%
THE KING OF FIGHTERS XIII STEAM EDITION,2014,January,171.87,-6.45,356,48.2781%
Stronghold Crusader 2,2014,January,0.42,0.19,5,8.4%
"Cook, Serve, Delicious!",2014,January,113.93,1.92,336,33.9077%
System Shock 2,2014,January,50.55,-21.14,132,38.2955%
Baldur's Gate: Enhanced Edition,2014,January,626.72,-286.65,1578,39.7161%
Jazzpunk: Director's Cut,2014,January,0.68,NA,11,6.1818%
SteamWorld Dig,2014,January,43.84,-124.87,138,31.7681%
Enclave,2014,January,20.27,-8.37,79,25.6582%
BEEP,2014,January,0.32,0.03,3,10.6667%
DOOM 3: BFG Edition,2014,January,115.43,8.48,284,40.6444%
Serious Sam HD: The First Encounter,2014,January,46.08,-5.39,159,28.9811%
War for the Overworld,2014,January,10.98,-0.55,40,27.45%
Max Payne,2014,January,25.92,-12.14,65,39.8769%
The Tiny Bang Story,2014,January,7.27,2.66,19,38.2632%
Worms Revolution,2014,January,115.16,-26.44,302,38.1325%
Dungeons of Dredmor,2014,January,204.06,85.89,818,24.9462%
Risen,2014,January,87.76,-16.74,215,40.8186%
"Pirates, Vikings, & Knights II",2014,January,43.47,-6.12,118,36.839%
Castlevania: Lords of Shadow - Ultimate Edition,2014,January,367.9,115.76,1291,28.4973%
Torchlight,2014,January,149.05,29.47,487,30.6057%
Half-Life: Blue Shift,2014,January,35.87,4.91,96,37.3646%
Gothic II: Gold Edition,2014,January,49.73,-3.97,134,37.1119%
Turbo Dismount,2014,January,79.21,NA,208,38.0817%
Audiosurf 2,2014,January,37.78,-2.05,78,48.4359%
Euro Truck Simulator,2014,January,17.88,-5.24,61,29.3115%
Half-Life: Source,2014,January,64.25,12.16,216,29.7454%
Blockland,2014,January,171.83,-171.38,420,40.9119%
The Ultimate DOOM,2014,January,7.86,-1.57,24,32.75%
Prototype,2014,January,45.76,-4.56,157,29.1465%
SpaceChem,2014,January,32.55,-1.45,71,45.8451%
ENSLAVED: Odyssey to the West Premium Edition,2014,January,20.11,-6.76,71,28.3239%
Vindictus,2014,January,556.91,67.24,1138,48.9376%
Viscera Cleanup Detail: Santa's Rampage,2014,January,85.24,-195.59,283,30.1201%
Magic 2014,2014,January,1845.72,549.01,5667,32.5696%
Alan Wake's American Nightmare,2014,January,49.28,23.26,213,23.1362%
Reus,2014,January,332.89,-47.1,958,34.7484%
Botanicula,2014,January,23.6,5.67,84,28.0952%
Worms Armageddon,2014,January,62.56,-23.7,165,37.9152%
BRINK,2014,January,28.66,-3.51,85,33.7176%
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2014,January,49.55,-6.4,138,35.9058%
Tiny and Big: Grandpa's Leftovers,2014,January,8.63,-0.31,51,16.9216%
World of Goo,2014,January,61.23,-21.83,304,20.1414%
The Cat Lady,2014,January,13.76,-17.19,38,36.2105%
Overlord,2014,January,41.43,9.55,506,8.1877%
Day of Defeat,2014,January,225.72,4.43,462,48.8571%
Jet Set Radio,2014,January,9.74,-2.18,27,36.0741%
140,2014,January,6.98,-4.79,28,24.9286%
Gothic,2014,January,16.15,-9.84,52,31.0577%
RPG Maker VX Ace,2014,January,390.03,-14.17,847,46.0484%
Car Mechanic Simulator 2014,2014,January,507.41,NA,1078,47.0696%
Team Fortress Classic,2014,January,74.92,-1.83,151,49.6159%
Space Rangers HD: A War Apart,2014,January,132.04,24.11,267,49.4532%
Defense Grid: The Awakening,2014,January,156.75,-15.47,300,52.25%
Anomaly Warzone Earth,2014,January,18.39,-13.75,64,28.7344%
Hearts of Iron III,2014,January,347.84,43.62,724,48.0442%
Wargame: AirLand Battle,2014,January,1086.7,126.06,2319,46.8607%
Caster,2014,January,0.11,-0.05,1,11%
F.E.A.R. 2: Project Origin,2014,January,86.53,-34.52,208,41.601%
Hard Reset,2014,January,45.3,-28.04,117,38.7179%
Medal of Honor(TM) Single Player,2014,January,54.12,-13.82,111,48.7568%
Mount & Blade,2014,January,139,-16.08,290,47.931%
Sniper Elite: Nazi Zombie Army,2014,January,75.07,-3.88,256,29.3242%
Overgrowth,2014,January,80.4,-92.91,219,36.7123%
DuckTales Remastered,2014,January,97.48,23.34,615,15.8504%
Arma: Cold War Assault,2014,January,10.9,1.59,34,32.0588%
Blade Symphony,2014,January,46.81,-74.36,149,31.4161%
King Arthur's Gold,2014,January,205.91,-50.55,767,26.8462%
Cortex Command,2014,January,12.65,-3.75,33,38.3333%
Alpha Protocol,2014,January,19.59,-0.87,49,39.9796%
Far Cry,2014,January,30.19,-1.38,73,41.3562%
Counter-Strike: Global Offensive,2013,December,46788.27,16897.75,96298,48.587%
Dota 2,2013,December,366606.49,18360.12,685503,53.4799%
Rust,2013,December,9205.77,NA,22571,40.7858%
Team Fortress 2,2013,December,47901.53,3365.19,86393,55.4461%
Path of Exile,2013,December,10365.44,-5900.27,19838,52.2504%
PAYDAY 2,2013,December,7296.12,1782.46,16216,44.9933%
Warframe,2013,December,11115.69,1894.94,18274,60.8279%
Euro Truck Simulator 2,2013,December,2446.96,1083.27,7102,34.4545%
Garry's Mod,2013,December,23649.98,5501.08,53559,44.1569%
War Thunder,2013,December,6825.75,1210.67,22129,30.8453%
DayZ,2013,December,12471.61,12466.69,45398,27.4717%
Spacewar,2013,December,681.14,-332.75,1284,53.0483%
7 Days to Die,2013,December,1377.67,NA,2722,50.6124%
Sid Meier's Civilization V,2013,December,37702.97,8543.24,70367,53.5805%
Europa Universalis IV,2013,December,4019.63,688.05,7867,51.0948%
Counter-Strike,2013,December,21421.87,1719.46,40743,52.578%
Arma 3,2013,December,4236.78,154.45,9373,45.202%
Company of Heroes 2,2013,December,3108.96,710.01,6334,49.0837%
Mount & Blade: Warband,2013,December,3918.67,345.87,7997,49.0018%
Total War: ROME II - Emperor Edition,2013,December,14424.24,1159.02,27554,52.349%
Grim Dawn,2013,December,81.44,-183.34,193,42.1969%
Killing Floor 2,2013,December,0.3,0.1,7,4.2857%
Prison Architect,2013,December,949.82,227.78,4748,20.0046%
Kerbal Space Program,2013,December,3992.29,280.44,8285,48.187%
Total War: MEDIEVAL II - Definitive Edition,2013,December,763.4,71.08,1485,51.4074%
Starbound,2013,December,39647.66,NA,88355,44.8731%
Crusader Kings II,2013,December,3306.2,880.41,6249,52.9077%
Borderlands 2,2013,December,11957.88,4062.81,25836,46.2838%
Kenshi,2013,December,76.49,5.71,265,28.8642%
Heroes & Generals,2013,December,0,0,0,NaN%
Total War: EMPIRE - Definitive Edition,2013,December,3485.08,310.47,6778,51.4175%
The Sims(TM) 3,2013,December,1442.95,564.48,5014,28.7784%
Total War: SHOGUN 2,2013,December,3025.61,740.53,7423,40.7599%
Portal 2,2013,December,2798.78,922.83,8554,32.719%
Star Trek Online,2013,December,1879.74,-149.32,3193,58.8707%
Neverwinter,2013,December,7187.49,NA,14822,48.492%
PlanetSide 2,2013,December,4136.41,-93.42,8066,51.282%
Project Zomboid,2013,December,236.84,-174.83,603,39.2769%
Realm of the Mad God Exalt,2013,December,751.58,134.19,1474,50.9891%
Don't Starve,2013,December,1642.58,459.07,5164,31.8083%
Train Simulator,2013,December,1419.5,351.14,3716,38.1997%
Total War: NAPOLEON - Definitive Edition,2013,December,1472.24,173.11,3096,47.553%
Company of Heroes,2013,December,1698.89,120.87,3193,53.2067%
Grand Theft Auto IV: The Complete Edition,2013,December,1737.74,57.18,4949,35.113%
Rome: Total War,2013,December,641.29,94.15,1199,53.4854%
Assassin's Creed IV Black Flag,2013,December,6499.75,NA,15606,41.649%
Plants vs. Zombies: Game of the Year,2013,December,384.84,-99.66,671,57.3532%
Stronghold Crusader HD,2013,December,103.94,-16.94,216,48.1204%
Sid Meier's Civilization IV: Beyond the Sword,2013,December,429.74,45.12,763,56.3224%
Tomb Raider,2013,December,2484.35,1474.85,5918,41.9796%
MapleStory,2013,December,547.26,211.41,1428,38.3235%
Sid Meier's Civilization III: Complete,2013,December,303.09,49.24,567,53.455%
DCS World Steam Edition,2013,December,2.04,0.05,6,34%
Banished,2013,December,0.43,-0.8,3,14.3333%
XCOM: Enemy Unknown,2013,December,7085.13,-1337.61,17584,40.2931%
OMSI 2,2013,December,264.74,264.29,1038,25.5048%
The Elder Scrolls IV: Oblivion,2013,December,835.29,398.79,2863,29.1753%
Spore,2013,December,400.84,224.36,1997,20.0721%
Insurgency,2013,December,73.01,40.92,833,8.7647%
Source Filmmaker,2013,December,214.57,-9.84,343,62.5569%
The Lord of the Rings Online,2013,December,1240.98,53.45,2339,53.056%
Victoria II,2013,December,240.95,-4.18,462,52.1537%
FTL: Faster Than Light,2013,December,1837.61,536.32,5334,34.4509%
Rocksmith® 2014 Edition - Remastered,2013,December,1796.91,737.16,4063,44.2262%
Half-Life 2,2013,December,987.35,234.12,2119,46.5951%
TERA,2013,December,0.37,0.25,4,9.25%
Fallout: New Vegas RU,2013,December,564.36,-2.97,1968,28.6768%
Wreckfest,2013,December,22.83,22.71,204,11.1912%
The Witcher 2: Assassins of Kings Enhanced Edition,2013,December,1249.36,754.92,3072,40.6693%
"Warhammer 40,000: Dawn of War - Soulstorm",2013,December,224.17,39.91,472,47.4936%
The Witcher: Enhanced Edition,2013,December,699.88,398.9,1476,47.4173%
BioShock Infinite,2013,December,3420.59,1703.02,10749,31.8224%
STAR WARS Knights of the Old Republic II: The Sith Lords,2013,December,425.58,222.4,1400,30.3986%
RaceRoom Racing Experience,2013,December,135.61,26.73,327,41.4709%
Far Cry® 3,2013,December,6904.58,6103.7,19260,35.8493%
Resident Evil 6,2013,December,501.9,-33.66,2343,21.4213%
Blood Bowl 2,2013,December,0.23,-0.02,3,7.6667%
Sins of a Solar Empire: Rebellion,2013,December,1012.85,92.86,4029,25.139%
Mad Max,2013,December,0.04,-1,1,4%
Left 4 Dead,2013,December,523.89,-23.3,1128,46.4441%
Age of Wonders III,2013,December,1.85,1.85,14,13.2143%
Stronghold Kingdoms,2013,December,2610.79,14.13,4350,60.0182%
Baldur's Gate II: Enhanced Edition,2013,December,806.87,-150.25,1550,52.0561%
Resident Evil 5,2013,December,104.14,-4.95,399,26.1003%
Football Manager 2012,2013,December,3190.62,-211.47,6472,49.2988%
Mass Effect,2013,December,432.53,-96.52,1843,23.4688%
The Elder Scrolls III: Morrowind,2013,December,309.32,114.66,1048,29.5153%
SimCity 4 Deluxe,2013,December,424.13,204.45,2913,14.5599%
Dungeon Defenders II,2013,December,0,0,0,NaN%
F1 2012,2013,December,332.67,-126.82,888,37.4628%
Farming Simulator 2013,2013,December,1892.78,105.7,3769,50.2197%
Football Manager 2014,2013,December,33002.18,870.7,73509,44.8954%
F1 2014,2013,December,2.82,-0.81,16,17.625%
Marvel Puzzle Quest,2013,December,1394.32,NA,2598,53.669%
Torchlight II,2013,December,2855.04,510.73,8607,33.1711%
S.T.A.L.K.E.R.: Shadow of Chernobyl,2013,December,90.42,8.96,189,47.8413%
Call of Duty: Modern Warfare 2,2013,December,681.03,-18.41,1370,49.7102%
DC Universe Online,2013,December,1009.27,10.27,1630,61.9184%
Outlast,2013,December,276.89,68.03,1021,27.1195%
Terraria,2013,December,14111.89,-2319.99,27274,51.7412%
Left 4 Dead 2,2013,December,20988.84,14105.28,161590,12.9889%
Counter-Strike: Source,2013,December,16790.57,1682.16,32530,51.6156%
Fallout: New Vegas,2013,December,4614.44,308.42,11905,38.7605%
Space Engineers,2013,December,595.6,-190.4,1241,47.9936%
Saints Row IV,2013,December,2409.6,1133.94,6749,35.7031%
Age of Empires II (2013),2013,December,4162.08,2216.21,11410,36.4775%
Killing Floor,2013,December,3097.46,408.2,5563,55.6797%
Portal,2013,December,559.49,167.91,1691,33.0863%
Chivalry: Medieval Warfare,2013,December,2650.32,1015.97,6428,41.2309%
Castle Crashers,2013,December,801.54,601.58,4155,19.291%
No More Room in Hell,2013,December,2848.39,-1257.45,5389,52.8556%
Hotline Miami,2013,December,408.08,129.09,2317,17.6124%
Saints Row: The Third,2013,December,1438.94,-8.33,3359,42.8383%
The Binding of Isaac,2013,December,2511.05,91.11,4696,53.4721%
To the Moon,2013,December,45.51,25.78,162,28.0926%
Dishonored,2013,December,2248.89,1489.49,7355,30.5763%
POSTAL 2,2013,December,210.1,179.33,1252,16.7812%
PAYDAY: The Heist,2013,December,843.24,537.19,4050,20.8207%
Just Cause 2,2013,December,1585.45,913.87,6015,26.3583%
Spec Ops: The Line,2013,December,145.49,9.38,656,22.1784%
Brothers - A Tale of Two Sons,2013,December,197.73,129.85,2019,9.7935%
The Stanley Parable,2013,December,746.19,335.91,2378,31.3789%
Mafia II (Classic),2013,December,951.1,141.84,2221,42.8231%
LIMBO,2013,December,139.09,3.14,873,15.9324%
"Star Wars: Battlefront 2 (Classic, 2005)",2013,December,334.4,118.89,1246,26.8379%
Bastion,2013,December,292.78,119.13,1582,18.507%
Half-Life,2013,December,305.92,96.1,687,44.5298%
Game Dev Tycoon,2013,December,752.93,137.22,4457,16.8932%
Rising Storm/Red Orchestra 2 Multiplayer,2013,December,1079.01,83.63,2519,42.8349%
Grand Theft Auto: San Andreas,2013,December,419.19,137.58,976,42.9498%
Batman: Arkham City GOTY,2013,December,1749.78,-1211.36,4295,40.7399%
Call of Duty: Black Ops II,2013,December,607.49,-38.9,1438,42.2455%
"Papers, Please",2013,December,640.59,377.79,2909,22.021%
Hitman: Absolution,2013,December,994.42,316.06,5177,19.2084%
Battlefield: Bad Company 2,2013,December,461.38,38.96,926,49.8251%
Alan Wake,2013,December,191.89,23.21,1601,11.9856%
Risk of Rain,2013,December,1397.62,-461.61,4128,33.8571%
ORION: Prelude,2013,December,30.71,-6.68,122,25.1721%
Verdun,2013,December,96.32,59.5,615,15.6618%
Max Payne 3,2013,December,1087.77,594.96,3979,27.3378%
The Wolf Among Us,2013,December,183.19,96.36,837,21.8865%
Cry of Fear,2013,December,130.76,9.78,251,52.0956%
Magicka,2013,December,1314.68,117.4,3517,37.3807%
SpeedRunners,2013,December,106.92,51.93,528,20.25%
Awesomenauts,2013,December,978.67,185.01,2657,36.8336%
Batman: Arkham Origins,2013,December,1985.94,-1606.95,4394,45.1966%
Batman: Arkham Asylum GOTY Edition,2013,December,810.18,-1381.44,2036,39.7927%
Amnesia: The Dark Descent,2013,December,140.97,18.86,332,42.4608%
APB Reloaded,2013,December,2459.3,341.55,4653,52.8541%
Super Hexagon,2013,December,315.96,244.21,2650,11.923%
Call of Duty: World at War,2013,December,388.2,59.35,890,43.618%
Shadow Warrior,2013,December,548.77,445.31,1817,30.202%
Mirror's Edge,2013,December,204.68,40.43,527,38.8387%
Fallout 3 - Game of the Year Edition,2013,December,727.7,34.02,1406,51.7568%
Arma 2: Operation Arrowhead,2013,December,3140.31,250.76,6256,50.1968%
Alien Swarm,2013,December,179.81,4.12,384,46.8255%
Trine 2,2013,December,779.47,534.54,3653,21.3378%
Spiral Knights,2013,December,957.06,75.8,1955,48.9545%
Serious Sam 3: BFE,2013,December,709.71,319.7,1747,40.6245%
Assetto Corsa,2013,December,357.37,110.37,1667,21.4379%
Dust: An Elysian Tail,2013,December,530.9,424.27,2566,20.6898%
Call of Duty: Ghosts,2013,December,1412.21,-1315.58,3879,36.4065%
Assassin's Creed II,2013,December,745.16,320.59,2323,32.0775%
DmC Devil May Cry,2013,December,300.56,111.27,2118,14.1907%
Skullgirls 2nd Encore,2013,December,185.14,-250.72,690,26.8319%
Call of Duty: Black Ops,2013,December,649.68,13.88,1418,45.8166%
L.A. Noire,2013,December,625.06,474.03,2180,28.6725%
Warhammer: End Times - Vermintide,2013,December,0.21,-0.04,2,10.5%
Half-Life 2: Episode Two,2013,December,192.23,33.9,388,49.5438%
Rogue Legacy,2013,December,1764.65,897.33,5336,33.0707%
Age of Empires® III (2007),2013,December,1054.79,548.99,2745,38.4259%
METAL GEAR RISING: REVENGEANCE,2013,December,0.01,-0.36,1,1%
Orcs Must Die! 2,2013,December,1594.08,1208.64,5155,30.923%
Deus Ex: Human Revolution - Director's Cut,2013,December,759.54,-76.17,3004,25.2843%
How to Survive,2013,December,184.41,-105.77,1679,10.9833%
Guns of Icarus Online,2013,December,425.2,274.06,1835,23.1717%
Brütal Legend,2013,December,351.69,194.22,1123,31.317%
Just Cause 2: Multiplayer Mod,2013,December,2090.66,NA,10436,20.0332%
Antichamber,2013,December,228.72,91.01,1085,21.0802%
Dino D-Day,2013,December,308.89,290.67,2983,10.355%
Counter-Strike: Condition Zero,2013,December,1024.34,75.63,2035,50.3361%
The Darkness II,2013,December,79.12,28.02,398,19.8794%
GRID 2,2013,December,539.69,210.28,1727,31.2501%
Gone Home,2013,December,166.59,111.81,1198,13.9057%
FINAL FANTASY VII,2013,December,1777.38,1041.69,3912,45.434%
Sanctum 2,2013,December,921.53,719.42,2467,37.3543%
STAR WARS: Knights of the Old Republic,2013,December,305.23,75.65,676,45.1524%
Need for Speed: Hot Pursuit,2013,December,257.79,20.99,858,30.0455%
Surgeon Simulator,2013,December,393.43,240.8,1983,19.8401%
Dungeon Defenders,2013,December,1567.12,435.09,5601,27.9793%
Mass Effect 2,2013,December,522.33,-213.11,1538,33.9616%
FEZ,2013,December,331.43,236.64,1196,27.7115%
Day of Defeat: Source,2013,December,1007.84,44.21,2170,46.4442%
Bad Rats,2013,December,8.05,1.68,32,25.1563%
Gunpoint,2013,December,108.22,42.13,1342,8.0641%
S.T.A.L.K.E.R.: Call of Pripyat,2013,December,153.93,14.87,302,50.9702%
Tom Clancy's Splinter Cell Blacklist,2013,December,781.71,586.8,2128,36.7345%
Fallout 3,2013,December,125.46,42.46,260,48.2538%
Moonbase Alpha,2013,December,29.19,-2.83,67,43.5672%
"Warhammer 40,000: Space Marine",2013,December,201.48,29.47,409,49.2616%
Grand Theft Auto: Vice City,2013,December,88.04,17.68,292,30.1507%
The Banner Saga,2013,December,1.65,NA,13,12.6923%
Burnout Paradise: The Ultimate Box,2013,December,232.92,-20.99,460,50.6348%
Nuclear Throne,2013,December,25.6,-4.3,76,33.6842%
Aliens vs. Predator,2013,December,103.67,20.65,274,37.8358%
Trine,2013,December,260.4,184.85,963,27.0405%
Saints Row 2,2013,December,186.1,2.52,401,46.409%
RAGE,2013,December,628.49,-542.12,2345,26.8013%
Far Cry® 3 Blood Dragon,2013,December,491.37,287.47,1828,26.8802%
Gotham City Impostors: Free To Play,2013,December,306.1,-73.98,616,49.6916%
Defiance,2013,December,658.54,-281.28,1319,49.9272%
Dead Space,2013,December,139.35,-3.96,343,40.6268%
Contagion,2013,December,658.79,361.21,3945,16.6994%
Remember Me,2013,December,85.04,45.51,1119,7.5996%
