name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Ricardo Cross,M,SBD,Single-ply,59.5,55-59,Masters 2,82.5,82.5,150,100,180,5,1990-10-13,IPF,World Masters Powerlifting Championships
Hercules Perryman,M,SBD,Single-ply,NA,NA,Masters 2,82.5,82.5,130,77.5,162.5,6,1990-10-13,IPF,World Masters Powerlifting Championships
Stan Miyahara,M,SBD,Single-ply,NA,NA,Masters 2,82.5,82.5,210,120,NA,DQ,1990-10-13,IPF,World Masters Powerlifting Championships
Leevi Pehkoranta,M,SBD,Single-ply,52.5,50-54,Masters 2,82.5,82.5,NA,NA,NA,DQ,1990-10-13,IPF,World Masters Powerlifting Championships
Patrick Spillane,M,SBD,Single-ply,NA,NA,Masters 2,90,90,250,120,280,1,1990-10-13,IPF,World Masters Powerlifting Championships
Klaus Zander,M,SBD,Single-ply,54.5,50-54,Masters 2,90,90,220,160,250,2,1990-10-13,IPF,World Masters Powerlifting Championships
Bob Strange,M,SBD,Single-ply,53,50-54,Masters 2,90,90,217.5,140,252.5,3,1990-10-13,IPF,World Masters Powerlifting Championships
Gary Cullen,M,SBD,Single-ply,52.5,50-54,Masters 2,90,90,215,140,230,4,1990-10-13,IPF,World Masters Powerlifting Championships
R. Henderson,M,SBD,Single-ply,NA,NA,Masters 2,90,90,135,85,200,5,1990-10-13,IPF,World Masters Powerlifting Championships
Willi Müller,M,SBD,Single-ply,50.5,50-54,Masters 2,100,100,272.5,155,305,1,1990-10-13,IPF,World Masters Powerlifting Championships
Denny Taylor,M,SBD,Single-ply,NA,50-54,Masters 2,100,100,265,155,250,2,1990-10-13,IPF,World Masters Powerlifting Championships
Gordon Fletcher,M,SBD,Single-ply,50.5,50-54,Masters 2,100,100,220,117.5,250,3,1990-10-13,IPF,World Masters Powerlifting Championships
J. Costelli,M,SBD,Single-ply,NA,NA,Masters 2,100,100,232.5,130,215,4,1990-10-13,IPF,World Masters Powerlifting Championships
Ole Hägglund,M,SBD,Single-ply,NA,NA,Masters 2,100,100,190,160,200,5,1990-10-13,IPF,World Masters Powerlifting Championships
Marcel Varé,M,SBD,Single-ply,48.5,45-49,Masters 2,110,110,272.5,187.5,272.5,1,1990-10-13,IPF,World Masters Powerlifting Championships
Muisto Marjamäki,M,SBD,Single-ply,51.5,50-54,Masters 2,110,110,245,147.5,250,2,1990-10-13,IPF,World Masters Powerlifting Championships
Russ Murphy,M,SBD,Single-ply,51.5,50-54,Masters 2,110,110,230,145,227.5,3,1990-10-13,IPF,World Masters Powerlifting Championships
Olavi Erola,M,SBD,Single-ply,53.5,50-54,Masters 2,110,110,210,150,230,4,1990-10-13,IPF,World Masters Powerlifting Championships
G. Bennett,M,SBD,Single-ply,NA,NA,Masters 2,110,110,212.5,150,215,5,1990-10-13,IPF,World Masters Powerlifting Championships
Johann Feniuk,M,SBD,Single-ply,49.5,45-49,Masters 2,110,110,NA,NA,NA,DD,1990-10-13,IPF,World Masters Powerlifting Championships
Hal Hudson,M,SBD,Single-ply,52.5,50-54,Masters 2,125,125,240,152.5,267.5,1,1990-10-13,IPF,World Masters Powerlifting Championships
Jozsef Steer,M,SBD,Single-ply,54.5,50-54,Masters 2,125,125,230,135,245,2,1990-10-13,IPF,World Masters Powerlifting Championships
Jerry Irvine,M,SBD,Single-ply,NA,NA,Masters 2,125,125,NA,NA,NA,DD,1990-10-13,IPF,World Masters Powerlifting Championships
Horst Volke,M,SBD,Single-ply,49.5,45-49,Masters 2,NA,125+,270,190,250,1,1990-10-13,IPF,World Masters Powerlifting Championships
Precious McKenzie,M,SBD,Raw,37,35-39,Open,56,56,188.24,117.93,226.8,1,1973-11-09,IPF,Men's World Powerlifting Championships
Lamar Gant,M,SBD,Raw,16,16-17,Open,54.88,56,163.29,95.25,224.53,2,1973-11-09,IPF,Men's World Powerlifting Championships
Vernon Bowser,M,SBD,Wraps,NA,NA,Open,56,56,163.29,113.4,181.44,3,1973-11-09,IPF,Men's World Powerlifting Championships
Clive Thomas,M,SBD,Wraps,18,18-19,Open,56,56,161.03,83.91,197.31,4,1973-11-09,IPF,Men's World Powerlifting Championships
Allen Lord,M,SBD,Raw,31,24-34,Open,60,60,201.85,115.67,240.4,1,1973-11-09,IPF,Men's World Powerlifting Championships
Enrique Hernandez,M,SBD,Raw,28,24-34,Open,60,60,197.31,140.61,181.44,2,1973-11-09,IPF,Men's World Powerlifting Championships
Luis Ramos #3,M,SBD,Wraps,NA,NA,Open,60,60,158.76,127.01,224.53,3,1973-11-09,IPF,Men's World Powerlifting Championships
Gary Wandell,M,SBD,Wraps,NA,NA,Open,60,60,167.83,113.4,213.19,4,1973-11-09,IPF,Men's World Powerlifting Championships
Ove Nilsson,M,SBD,Wraps,NA,NA,Open,60,60,170.1,115.67,201.85,5,1973-11-09,IPF,Men's World Powerlifting Championships
Don Blue,M,SBD,Wraps,NA,NA,Open,67.5,67.5,213.19,145.15,276.69,1,1973-11-09,IPF,Men's World Powerlifting Championships
Jack Keammerer,M,SBD,Wraps,NA,NA,Open,67.5,67.5,217.72,124.74,263.08,2,1973-11-09,IPF,Men's World Powerlifting Championships
Michael McHugh #1,M,SBD,Wraps,NA,NA,Open,67.5,67.5,229.06,124.74,242.67,3,1973-11-09,IPF,Men's World Powerlifting Championships
Gary Hunter #2,M,SBD,Wraps,NA,NA,Open,67.5,67.5,217.72,124.74,242.67,4,1973-11-09,IPF,Men's World Powerlifting Championships
James Moir,M,SBD,Wraps,37,35-39,Open,67.5,67.5,192.78,136.08,233.6,5,1973-11-09,IPF,Men's World Powerlifting Championships
Rickey Grain,M,SBD,Wraps,NA,NA,Open,67.5,67.5,NA,NA,NA,DQ,1973-11-09,IPF,Men's World Powerlifting Championships
Ron Collins,M,SBD,Wraps,39,35-39,Open,75,75,269.89,170.1,278.96,1,1973-11-09,IPF,Men's World Powerlifting Championships
George Grawford,M,SBD,Wraps,NA,NA,Open,75,75,290.3,156.49,265.35,2,1973-11-09,IPF,Men's World Powerlifting Championships
Walter Thomas,M,SBD,Wraps,27,24-34,Open,75,75,258.55,156.49,267.62,3,1973-11-09,IPF,Men's World Powerlifting Championships
Joe Spack,M,SBD,Wraps,NA,NA,Open,75,75,210.92,129.27,285.76,4,1973-11-09,IPF,Men's World Powerlifting Championships
Chuck Boomazian,M,SBD,Wraps,NA,NA,Open,75,75,224.53,156.49,238.14,5,1973-11-09,IPF,Men's World Powerlifting Championships
Mike Lukich,M,SBD,Wraps,NA,NA,Open,75,75,201.85,117.93,224.53,6,1973-11-09,IPF,Men's World Powerlifting Championships
Bob McKee,M,SBD,Wraps,28.5,24-34,Open,82.5,82.5,263.08,179.17,317.52,1,1973-11-09,IPF,Men's World Powerlifting Championships
Bob Memery,M,SBD,Wraps,NA,NA,Open,82.5,82.5,269.89,163.29,299.37,2,1973-11-09,IPF,Men's World Powerlifting Championships
Vince Anello,M,SBD,Wraps,26,24-34,Open,82.5,82.5,224.53,163.29,333.39,3,1973-11-09,IPF,Men's World Powerlifting Championships
Felix Gomes,M,SBD,Wraps,NA,NA,Open,82.5,82.5,260.82,170.1,290.3,4,1973-11-09,IPF,Men's World Powerlifting Championships
Mike MacDonald #1,M,SBD,Wraps,NA,NA,Open,82.5,82.5,229.06,213.19,263.08,5,1973-11-09,IPF,Men's World Powerlifting Championships
Reno DeCaro,M,SBD,Wraps,NA,NA,Open,82.5,82.5,263.08,167.83,263.08,6,1973-11-09,IPF,Men's World Powerlifting Championships
Peter Fiore,M,SBD,Wraps,32.5,24-34,Open,82.5,82.5,251.74,145.15,247.21,7,1973-11-09,IPF,Men's World Powerlifting Championships
Anthony DeFrancisco,M,SBD,Wraps,NA,NA,Open,82.5,82.5,206.38,172.37,263.08,8,1973-11-09,IPF,Men's World Powerlifting Championships
Cedric Demetrius,M,SBD,Wraps,NA,NA,Open,82.5,82.5,235.87,133.81,249.48,9,1973-11-09,IPF,Men's World Powerlifting Championships
Ellezer Plaza,M,SBD,Wraps,NA,NA,Open,82.5,82.5,192.78,154.22,215.46,10,1973-11-09,IPF,Men's World Powerlifting Championships
George Clark,M,SBD,Wraps,NA,NA,Open,82.5,82.5,NA,NA,NA,DQ,1973-11-09,IPF,Men's World Powerlifting Championships
James Grizzard,M,SBD,Wraps,NA,NA,Open,82.5,82.5,260.82,NA,NA,DQ,1973-11-09,IPF,Men's World Powerlifting Championships
John Pegler,M,SBD,Wraps,NA,NA,Open,82.5,82.5,NA,NA,NA,DQ,1973-11-09,IPF,Men's World Powerlifting Championships
Anthony Fratto,M,SBD,Wraps,25.5,24-34,Open,90,90,319.78,170.1,308.44,1,1973-11-09,IPF,Men's World Powerlifting Championships
Jerry Jones,M,SBD,Wraps,NA,NA,Open,90,90,317.52,163.29,303.91,2,1973-11-09,IPF,Men's World Powerlifting Championships
Tom Farchione,M,SBD,Wraps,NA,NA,Open,90,90,290.3,170.1,290.3,3,1973-11-09,IPF,Men's World Powerlifting Championships
Barry O'Brien,M,SBD,Wraps,NA,NA,Open,90,90,263.08,170.1,292.57,4,1973-11-09,IPF,Men's World Powerlifting Championships
Joe Weinstein,M,SBD,Wraps,NA,NA,Open,90,90,NA,NA,NA,DQ,1973-11-09,IPF,Men's World Powerlifting Championships
M. Kananda,M,SBD,Wraps,NA,NA,Open,83.46,90,NA,NA,NA,DQ,1973-11-09,IPF,Men's World Powerlifting Championships
Bill Seno,M,SBD,Wraps,NA,NA,Open,100,100,290.3,238.14,303.91,1,1973-11-09,IPF,Men's World Powerlifting Championships
Jim Taylor #1,M,SBD,Wraps,NA,NA,Open,100,100,256.29,145.15,301.64,2,1973-11-09,IPF,Men's World Powerlifting Championships
Edward Ravenscroft,M,SBD,Wraps,NA,NA,Open,100,100,301.64,NA,NA,DQ,1973-11-09,IPF,Men's World Powerlifting Championships
Larry Pacifico,M,SBD,Raw,27,24-34,Open,110,110,340.19,247.21,317.52,1,1973-11-09,IPF,Men's World Powerlifting Championships
Tom Scott,M,SBD,Wraps,42.5,40-44,Open,110,110,310.71,204.12,342.46,2,1973-11-09,IPF,Men's World Powerlifting Championships
Tony Fitton,M,SBD,Wraps,NA,NA,Open,110,110,340.19,179.17,308.44,3,1973-11-09,IPF,Men's World Powerlifting Championships
John Tonti,M,SBD,Wraps,NA,NA,Open,110,110,333.39,179.17,303.91,4,1973-11-09,IPF,Men's World Powerlifting Championships
Don Reinhoudt,M,SBD,Raw,28,24-34,Open,158.3,110+,408.23,263.08,362.87,1,1973-11-09,IPF,Men's World Powerlifting Championships
Vladimir Balynets,M,B,Raw,32.5,24-34,Open,53.47,59,NA,175,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Abdulkarim Karaman,M,B,Raw,23.5,24-34,Open,58.71,59,NA,167.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Yasushi Ogasawara,M,B,Raw,45.5,45-49,Open,56.89,59,NA,160,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Fredrik Eskil Myrvang,M,B,Raw,27.5,24-34,Open,58.05,59,NA,155,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Dariusz Wszoła,M,B,Raw,39.5,35-39,Open,58.76,59,NA,152.5,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Ihor Harashchenko,M,B,Raw,29.5,24-34,Open,58.97,59,NA,145,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Ivan Arnautov,M,B,Raw,31.5,24-34,Open,52.22,59,NA,140,NA,7,2018-05-14,IPF,World Classic Bench Press Championships
Eddie Berglund,M,B,Raw,23,20-23,Open,65.38,66,NA,211,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Albert Khabibulin,M,B,Raw,28.5,24-34,Open,65.74,66,NA,180,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Yeldos Yermakhanov,M,B,Raw,27.5,24-34,Open,65.45,66,NA,175,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Manuel Virgilio,M,B,Raw,43.5,40-44,Open,65.65,66,NA,170,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Keita Saito,M,B,Raw,35.5,35-39,Open,65.76,66,NA,167.5,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Masashi Fukuda,M,B,Raw,33.5,24-34,Open,65.96,66,NA,160,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Philipp Ziemer,M,B,Raw,27.5,24-34,Open,65.26,66,NA,152.5,NA,7,2018-05-14,IPF,World Classic Bench Press Championships
Daniel Thomas #2,M,B,Raw,32.5,24-34,Open,65.25,66,NA,145,NA,8,2018-05-14,IPF,World Classic Bench Press Championships
Daiki Kodama,M,B,Raw,38.5,35-39,Open,73.05,74,NA,202.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Volodymyr Tsaturian,M,B,Raw,22.5,20-23,Open,73.68,74,NA,195,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Brandon Maddox #1,M,B,Raw,25.5,24-34,Open,73.9,74,NA,195,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Marcin Garbas,M,B,Raw,32.5,24-34,Open,73,74,NA,190,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Dmitrii Luchkin,M,B,Raw,31.5,24-34,Open,73.29,74,NA,182.5,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Tuomas Nikkilä,M,B,Raw,39.5,35-39,Open,73.29,74,NA,175,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Juergen Kraushofer,M,B,Raw,24.5,24-34,Open,73.61,74,NA,162.5,NA,7,2018-05-14,IPF,World Classic Bench Press Championships
Loc Nguyen,M,B,Raw,28.5,24-34,Open,72.82,74,NA,157.5,NA,8,2018-05-14,IPF,World Classic Bench Press Championships
Pauli Kouki,M,B,Raw,28.5,24-34,Open,73.34,74,NA,157.5,NA,9,2018-05-14,IPF,World Classic Bench Press Championships
Adam Szivos,M,B,Raw,25.5,24-34,Open,73.83,74,NA,157.5,NA,10,2018-05-14,IPF,World Classic Bench Press Championships
Emmanuel Franklin,M,B,Raw,33.5,24-34,Open,72.63,74,NA,155,NA,11,2018-05-14,IPF,World Classic Bench Press Championships
Benjamin Haugk,M,B,Raw,27.5,24-34,Open,73.67,74,NA,155,NA,12,2018-05-14,IPF,World Classic Bench Press Championships
Danny Potter,M,B,Raw,36.5,35-39,Open,73.68,74,NA,152.5,NA,13,2018-05-14,IPF,World Classic Bench Press Championships
Yusuke Suzuki,M,B,Raw,33.5,24-34,Open,78.72,83,NA,211.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Vyacheslav Tsoy,M,B,Raw,33.5,24-34,Open,82.06,83,NA,207.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Maksim Beloborodov,M,B,Raw,34.5,24-34,Open,82.25,83,NA,202.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Loic Bellone,M,B,Raw,26.5,24-34,Open,82.15,83,NA,200,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Orgilbold Galdan,M,B,Raw,31.5,24-34,Open,82.36,83,NA,200,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Oleksandr Shliakhta,M,B,Raw,38.5,35-39,Open,78.37,83,NA,195,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Kamil Wojciechowski,M,B,Raw,31.5,24-34,Open,80.1,83,NA,192.5,NA,7,2018-05-14,IPF,World Classic Bench Press Championships
Valentyn Malikov,M,B,Raw,43.5,40-44,Open,82.53,83,NA,192.5,NA,8,2018-05-14,IPF,World Classic Bench Press Championships
Merdan Nursahedov,M,B,Raw,41,40-44,Open,77.84,83,NA,190,NA,9,2018-05-14,IPF,World Classic Bench Press Championships
Grzegorz Jazowiecki,M,B,Raw,30.5,24-34,Open,80.37,83,NA,190,NA,10,2018-05-14,IPF,World Classic Bench Press Championships
Andrew Thompson #4,M,B,Raw,29.5,24-34,Open,81.63,83,NA,190,NA,11,2018-05-14,IPF,World Classic Bench Press Championships
Janne Råman,M,B,Raw,28.5,24-34,Open,82.8,83,NA,185,NA,12,2018-05-14,IPF,World Classic Bench Press Championships
Sergejs Timofejevs,M,B,Raw,23.5,24-34,Open,77.94,83,NA,180,NA,13,2018-05-14,IPF,World Classic Bench Press Championships
Masaru Suzuki,M,B,Raw,35.5,35-39,Open,79.19,83,NA,180,NA,14,2018-05-14,IPF,World Classic Bench Press Championships
Alexandr Supronkov,M,B,Raw,30.5,24-34,Open,82.07,83,NA,180,NA,15,2018-05-14,IPF,World Classic Bench Press Championships
Levani Giligashvili,M,B,Raw,35.5,35-39,Open,82.94,83,NA,NA,NA,DQ,2018-05-14,IPF,World Classic Bench Press Championships
Dennis Cieri,M,B,Raw,49.5,45-49,Open,91.82,93,NA,222.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Jan Wegiera,M,B,Raw,52.5,50-54,Open,92.85,93,NA,220,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Marcus Grahn,M,B,Raw,27.5,24-34,Open,92.3,93,NA,207.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Risto Joensuu,M,B,Raw,29.5,24-34,Open,92.25,93,NA,205,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Dan Watkins,M,B,Raw,29.5,24-34,Open,91.46,93,NA,192.5,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Baurzhan Mussayev,M,B,Raw,31.5,24-34,Open,92.89,93,NA,185,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Sodnompiljee Enkhbayar,M,B,Raw,32.5,24-34,Open,104.2,105,NA,242.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Sergii Parkhomenko,M,B,Raw,29.5,24-34,Open,102.15,105,NA,238,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Sergei Degtiarev,M,B,Raw,25.5,24-34,Open,103.96,105,NA,232.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Aminhossein Naeim,M,B,Raw,32.5,24-34,Open,103.25,105,NA,227.5,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Josef Eriksson,M,B,Raw,25.5,24-34,Open,99.05,105,NA,225,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Denis Rybka,M,B,Raw,32.5,24-34,Open,104.07,105,NA,225,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Timo Hokkanen,M,B,Raw,38.5,35-39,Open,104.36,105,NA,222.5,NA,7,2018-05-14,IPF,World Classic Bench Press Championships
Dimitriy Li,M,B,Raw,26.5,24-34,Open,104.75,105,NA,222.5,NA,8,2018-05-14,IPF,World Classic Bench Press Championships
Andreas Henning,M,B,Raw,35.5,35-39,Open,104.68,105,NA,217.5,NA,9,2018-05-14,IPF,World Classic Bench Press Championships
Joseph Hardy Jr,M,B,Raw,26.5,24-34,Open,101.73,105,NA,207.5,NA,10,2018-05-14,IPF,World Classic Bench Press Championships
Richard Gibson,M,B,Raw,37.5,35-39,Open,103.95,105,NA,187.5,NA,11,2018-05-14,IPF,World Classic Bench Press Championships
Amandas Paulauskas,M,B,Raw,30.5,24-34,Open,119.04,120,NA,247.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Philippe Billoir,M,B,Raw,39,35-39,Open,118.92,120,NA,240,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Māris Juzups,M,B,Raw,29.5,24-34,Open,119.71,120,NA,227.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Markus Karner,M,B,Raw,47.5,45-49,Open,118.79,120,NA,225,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Kostiantyn Yezyk,M,B,Raw,26.5,24-34,Open,111.98,120,NA,222.5,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Simo Sistonen,M,B,Raw,34.5,24-34,Open,119.07,120,NA,222.5,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Alexander Chevokin,M,B,Raw,33.5,24-34,Open,113.6,120,NA,215,NA,7,2018-05-14,IPF,World Classic Bench Press Championships
Linas Palivonas,M,B,Raw,36.5,35-39,Open,118.72,120,NA,212.5,NA,8,2018-05-14,IPF,World Classic Bench Press Championships
Hirokazu Koga,M,B,Raw,26.5,24-34,Open,111.82,120,NA,210,NA,9,2018-05-14,IPF,World Classic Bench Press Championships
Daniel Lindsell,M,B,Raw,31.5,24-34,Open,119.67,120,NA,205,NA,10,2018-05-14,IPF,World Classic Bench Press Championships
Thomas Davis,M,B,Raw,25.5,24-34,Open,195.67,120+,NA,290,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Ove Lehto,M,B,Raw,45.5,45-49,Open,163.23,120+,NA,272.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Joel Sundelin,M,B,Raw,23.5,24-34,Open,136.56,120+,NA,247.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Siim Rast,M,B,Raw,29.5,24-34,Open,182.32,120+,NA,235,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Wesley Hall #1,M,B,Raw,33,24-34,Open,129.85,120+,NA,210,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
Dovletnazar Atanazarov,M,B,Raw,33.5,24-34,Open,142.52,120+,NA,205,NA,6,2018-05-14,IPF,World Classic Bench Press Championships
Mathieu Brignall,M,B,Raw,26,24-34,Open,158.22,120+,NA,205,NA,7,2018-05-14,IPF,World Classic Bench Press Championships
Jafar Pirniaei,M,B,Raw,34.5,24-34,Open,149.63,120+,NA,NA,NA,DD,2018-05-14,IPF,World Classic Bench Press Championships
Ivan Kuvaldin,M,B,Raw,16.5,16-17,Sub-Juniors,51.32,53,NA,100,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Anton Kauranen,M,B,Raw,14.5,13-15,Sub-Juniors,50.24,53,NA,80,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Tucker Thompson,M,B,Raw,14.5,13-15,Sub-Juniors,51.62,53,NA,70,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Jakub Jedrzejewski,M,B,Raw,16.5,16-17,Sub-Juniors,58.55,59,NA,127.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Nurzhan Zhazimov,M,B,Raw,17.5,18-19,Sub-Juniors,58.47,59,NA,120,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Rostyslav Babiuk,M,B,Raw,17.5,18-19,Sub-Juniors,58.51,59,NA,105,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Aaro Kallionkieli,M,B,Raw,17.5,18-19,Sub-Juniors,58.8,59,NA,85,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Natan Balogh,M,B,Raw,17.5,18-19,Sub-Juniors,65.66,66,NA,145,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Vladislav Morozov,M,B,Raw,16.5,16-17,Sub-Juniors,64.76,66,NA,130,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Wojciech Magiera,M,B,Raw,16.5,16-17,Sub-Juniors,65.67,66,NA,115,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Daniel Ferreira,M,B,Raw,15.5,16-17,Sub-Juniors,59.87,66,NA,95,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Nikita Kabyldinov,M,B,Raw,17.5,18-19,Sub-Juniors,73.57,74,NA,165,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Kamil Kuriata,M,B,Raw,16.5,16-17,Sub-Juniors,72.5,74,NA,142.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Elmeri Pennanen,M,B,Raw,17.5,18-19,Sub-Juniors,72.15,74,NA,125,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Kozhakhmet Zhaltaev,M,B,Raw,17.5,18-19,Sub-Juniors,73.59,74,NA,NA,NA,DQ,2018-05-14,IPF,World Classic Bench Press Championships
Denys Antoshko,M,B,Raw,17.5,18-19,Sub-Juniors,82.65,83,NA,155,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Ayubkhan Absattarov,M,B,Raw,17.5,18-19,Sub-Juniors,82.39,83,NA,152.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Michał Kowalczyk,M,B,Raw,16.5,16-17,Sub-Juniors,81.04,83,NA,145,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Jakub Lenart,M,B,Raw,16.5,16-17,Sub-Juniors,84.07,93,NA,162.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Nicolas Tóth,M,B,Raw,16.5,16-17,Sub-Juniors,92.47,93,NA,157.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Rustam Valiullin,M,B,Raw,17.5,18-19,Sub-Juniors,92.43,93,NA,142.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Viktor Ergin,M,B,Raw,15.5,16-17,Sub-Juniors,87.04,93,NA,140,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Antons Putnis,M,B,Raw,17.5,18-19,Sub-Juniors,102.37,105,NA,172.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Václav Vlk,M,B,Raw,17.5,18-19,Sub-Juniors,100.96,105,NA,150,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Patrik Steinoch,M,B,Raw,17.5,18-19,Sub-Juniors,101.56,105,NA,150,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Iiro Riekkinen,M,B,Raw,17.5,18-19,Sub-Juniors,98.93,105,NA,140,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Karol Wojcik,M,B,Raw,16.5,16-17,Sub-Juniors,108.39,120,NA,147.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Vadim Sassin,M,B,Raw,17.5,18-19,Sub-Juniors,119.23,120,NA,142.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Ihor Orobets,M,B,Raw,17.5,18-19,Sub-Juniors,106.33,120,NA,127.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Alexander Sidorychev,M,B,Raw,17.5,18-19,Sub-Juniors,129.55,120+,NA,170,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Nuutti Mansukoski,M,B,Raw,17.5,18-19,Sub-Juniors,128.39,120+,NA,165,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Furkat Shamuratov,M,B,Raw,21.5,20-23,Juniors,52.54,53,NA,117.5,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Marko Kiviniemi,M,B,Raw,18.5,18-19,Juniors,51.75,53,NA,107.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Masatatsu Hondo,M,B,Raw,22.5,20-23,Juniors,58.82,59,NA,155,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Joschua-Noah Berger,M,B,Raw,21.5,20-23,Juniors,58.35,59,NA,137.5,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Artturi Verho,M,B,Raw,21.5,20-23,Juniors,58.25,59,NA,117.5,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Konstantin Saukov,M,B,Raw,21.5,20-23,Juniors,65.17,66,NA,165,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Masaomi Tsuchida,M,B,Raw,21.5,20-23,Juniors,64.1,66,NA,155,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Galbayar Enkhjargal,M,B,Raw,20.5,20-23,Juniors,65.88,66,NA,155,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Alisher Makhmudov,M,B,Raw,22.5,20-23,Juniors,64.31,66,NA,150,NA,4,2018-05-14,IPF,World Classic Bench Press Championships
Ilya Kirillovskiy,M,B,Raw,21.5,20-23,Juniors,65.74,66,NA,150,NA,5,2018-05-14,IPF,World Classic Bench Press Championships
