Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
22a,1977-07-24,6,Paris,Paris,Individual time trial,Dietrich Thurau,FRG
22b,1977-07-24,91,Paris,Paris,Plain stage,Alain Meslet,FRA
P,1976-06-24,8,Saint-Jean-de-Monts,Saint-Jean-de-Monts,Individual time trial,Freddy Maertens,BEL
1,1976-06-25,173,Saint-Jean-de-Monts,Angers,Flat Stage,Freddy Maertens,BEL
2,1976-06-26,237,Angers,Caen,Flat Stage,Giovanni Battaglin,ITA
3,1976-06-27,37,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,Individual time trial,Freddy Maertens,BEL
4,1976-06-28,258,Le Touquet-Paris-Plage,Bornem,Flat Stage,Hennie Kuiper,NED
5a,1976-06-29,4,Leuven,Leuven,Team time trial,TI–Raleigh–Campagnolo,
5b,1976-06-29,144,Leuven,Verviers,Half Stage,Miguel-Maria Lasa,ESP
6,1976-06-30,209,Bastogne,Nancy,Flat Stage,Aldo Parecchini,ITA
7,1976-07-01,206,Nancy,Mulhouse,Flat Stage,Freddy Maertens,BEL
8,1976-07-02,220,Valentigney,Divonne-les-Bains,Flat Stage,Jacques Esclassan,FRA
9,1976-07-04,258,Divonne-les-Bains,Alpe d'Huez,Mountain Stage,Joop Zoetemelk,NED
10,1976-07-05,166,Le Bourg-d'Oisans,Montgenèvre,Mountain Stage,Joop Zoetemelk,NED
11,1976-07-06,224,Montgenèvre,Manosque,Mountain Stage,José-Luis Viejo,ESP
12,1976-07-08,205,Le Barcarès,Pyrénées 2000,Mountain Stage,Raymond Delisle,FRA
13,1976-07-09,188,Font-Romeu-Odeillo-Via,Saint-Gaudens,Mountain Stage,Willy Teirlinck[8],BEL
14,1976-07-10,139,Saint-Gaudens,Saint-Lary-Soulan,Mountain Stage,Lucien Van Impe,BEL
15,1976-07-11,195,Saint-Lary-Soulan,Pau,Mountain Stage,Wladimiro Panizza,ITA
16,1976-07-12,152,Pau,Fleurance,Flat Stage,Michel Pollentier,BEL
17,1976-07-13,39,Fleurance,Auch,Individual time trial,Ferdinand Bracke,BEL
18a,1976-07-14,86,Auch,Langon,Half Stage,Freddy Maertens,BEL
18b,1976-07-14,123,Langon,Lacanau,Half Stage,Freddy Maertens,BEL
18c,1976-07-14,70,Lacanau,Bordeaux,Half Stage,Gerben Karstens,NED
19,1976-07-15,220,Sainte-Foy-la-Grande,Tulle,Flat Stage,Hubert Mathis,FRA
20,1976-07-16,220,Tulle,Puy de Dôme,Mountain Stage,Joop Zoetemelk,NED
21,1976-07-17,145,Montargis,Versailles,Flat Stage,Freddy Maertens,BEL
22a,1976-07-18,6,Paris,Paris,Individual time trial,Freddy Maertens,BEL
22b,1976-07-18,91,Paris,Paris,Half Stage,Gerben Karstens,NED
P,1975-06-26,6,Charleroi,Charleroi,Individual time trial,Francesco Moser,ITA
1a,1975-06-27,94,Charleroi,Molenbeek,Plain stage,Cees Priem,NED
1b,1975-06-27,109,Molenbeek,Roubaix,Plain stage,Rik Van Linden,BEL
2,1975-06-28,121,Roubaix,Amiens,Plain stage,Ronald de Witte,BEL
3,1975-06-29,170,Amiens,Versailles,Plain stage,Karel Rottiers,BEL
4,1975-06-30,223,Versailles,Le Mans,Plain stage,Jacques Esclassan,FRA
5,1975-07-02,222,Sablé-sur-Sarthe,Merlin-Plage,Plain stage,Theo Smit,NED
6,1975-07-02,16,Merlin-Plage,Merlin-Plage,Individual time trial,Eddy Merckx,BEL
7,1975-07-03,236,Saint-Gilles-Croix-de-Vie,Angoulême,Plain stage,Francesco Moser,ITA
8,1975-07-04,134,Angoulême,Bordeaux,Plain stage,Barry Hoban,GBR
9a,1975-07-05,131,Langon,Fleurance,Plain stage,Theo Smit,NED
9b,1975-07-05,37,Fleurance,Auch,Individual time trial,Eddy Merckx,BEL
10,1975-07-07,206,Auch,Pau,Stage with mountain(s),Felice Gimondi,ITA
11,1975-07-08,160,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Joop Zoetemelk,NED
12,1975-07-09,242,Tarbes,Albi,Plain stage,Gerrie Knetemann,NED
13,1975-07-10,260,Albi,Super-Lioran,Stage with mountain(s),Michel Pollentier,BEL
14,1975-07-11,174,Aurillac,Puy de Dôme,Stage with mountain(s),Lucien Van Impe,BEL
15,1975-07-13,217,Nice,Pra-Loup,Stage with mountain(s),Bernard Thévenet,FRA
16,1975-07-14,107,Barcelonnette,Serre Chevalier,Stage with mountain(s),Bernard Thévenet,FRA
17,1975-07-15,225,Valloire,Morzine Avoriaz,Stage with mountain(s),Vicente Lopez-Carril,ESP
18,1975-07-16,40,Morzine,Châtel,Individual time trial,Lucien Van Impe,BEL
19,1975-07-17,229,Thonon-les-Bains,Chalon-sur-Saône,Stage with mountain(s),Rik Van Linden,BEL
20,1975-07-18,256,Pouilly-en-Auxois,Melun,Plain stage,Giacinto Santambrogio,ITA
21,1975-07-19,220,Melun,Senlis,Plain stage,Rik Van Linden,BEL
22,1975-07-20,164,Paris,Paris,Plain stage,Walter Godefroot,BEL
P,1974-06-27,7,Brest,Brest,Individual time trial,Eddy Merckx,BEL
1,1974-06-28,144,Brest,Saint-Pol-de-Léon,Plain stage,Ercole Gualazzini,ITA
2,1974-06-29,164,Plymouth,Plymouth,Plain stage,Henk Poppe,NED
3,1974-06-30,190,Morlaix,Saint-Malo,Plain stage,Patrick Sercu,BEL
4,1974-07-01,184,Saint-Malo,Caen,Plain stage,Patrick Sercu,BEL
5,1974-07-02,165,Caen,Dieppe,Plain stage,Ronald de Witte,BEL
6a,1974-07-03,239,Dieppe,Harelbeke,Plain stage,Jean-Luc Molineris,FRA
6b,1974-07-03,9,Harelbeke,Harelbeke,Team time trial,Molteni,
7,1974-07-04,221,Mons,Châlons-sur-Marne,Plain stage,Eddy Merckx,BEL
8a,1974-07-05,136,Châlons-sur-Marne,Chaumont,Plain stage,Cyrille Guimard,FRA
8b,1974-07-05,152,Chaumont,Besançon,Plain stage,Patrick Sercu,BEL
9,1974-07-06,241,Besançon,Gaillard,Stage with mountain(s),Eddy Merckx,BEL
10,1974-07-07,131,Gaillard,Aix-les-Bains,Stage with mountain(s),Eddy Merckx,BEL
11,1974-07-08,199,Aix-les-Bains,Serre Chevalier,Stage with mountain(s),Vicente Lopez Carril,ESP
12,1974-07-10,231,Savines-le-Lac,Orange,Stage with mountain(s),Jos Spruyt,BEL
13,1974-07-11,126,Avignon,Montpellier,Plain stage,Barry Hoban,GBR
14,1974-07-12,249,Lodève,Colomiers,Plain stage,Jean-Pierre Genet,FRA
15,1974-07-14,225,Colomiers,La Seu d'Urgell,Stage with mountain(s),Eddy Merckx,BEL
16,1974-07-15,209,La Seu d'Urgell,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Raymond Poulidor,FRA
17,1974-07-16,119,Saint-Lary-Soulan,La Mongie,Stage with mountain(s),Jean-Pierre Danguillaume,FRA
18,1974-07-17,141,Bagnères-de-Bigorre,Pau,Stage with mountain(s),Jean-Pierre Danguillaume,FRA
19a,1974-07-18,196,Pau,Bordeaux,Plain stage,Francis Campaner,FRA
19b,1974-07-18,12,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL
20,1974-07-19,120,Saint-Gilles-Croix-de-Vie,Nantes,Plain stage,Gerard Vianen,NED
21a,1974-07-20,113,Vouvray,Orléans,Plain stage,Eddy Merckx,BEL
21b,1974-07-20,37,Orléans,Orléans,Individual time trial,Michel Pollentier,BEL
22,1974-07-21,146,Orléans,Paris,Plain stage,Eddy Merckx,BEL
P,1973-06-30,7.1,Scheveningen,Scheveningen,Individual time trial,Joop Zoetemelk,NED
1a,1973-07-01,84,Scheveningen,Rotterdam,Plain stage,Willy Teirlinck,BEL
1b,1973-07-01,137.5,Rotterdam,Sint-Niklaas,Plain stage,José Catieau,FRA
2a,1973-07-02,12.4,Sint-Niklaas,Sint-Niklaas,Team time trial,Watney–Maes Pils,
2b,1973-07-02,138,Sint-Niklaas,Roubaix,Plain stage,Eddy Verstraeten,BEL
3,1973-07-03,226,Roubaix,Reims,Plain stage,Cyrille Guimard,FRA
4,1973-07-04,214,Reims,Nancy,Plain stage,Joop Zoetemelk,NED
5,1973-07-05,188,Nancy,Mulhouse,Stage with mountain(s),Walter Godefroot,BEL
6,1973-07-06,244.5,Mulhouse,Divonne-les-Bains,Stage with mountain(s),Jean-Pierre Danguillaume,FRA
7a,1973-07-08,86.5,Divonne-les-Bains,Gaillard,Stage with mountain(s),Luis Ocaña,ESP
7b,1973-07-08,150.5,Gaillard,Méribel,Stage with mountain(s),Bernard Thévenet,FRA
8,1973-07-09,237.5,Moûtiers,Les Orres,Stage with mountain(s),Luis Ocaña,ESP
9,1973-07-10,234.5,Embrun,Nice,Stage with mountain(s),Vicente López Carril,ESP
10,1973-07-11,222.5,Nice,Aubagne,Stage with mountain(s),Michael Wright,GBR
11,1973-07-12,238,Montpellier,Argelès-sur-Mer,Plain stage,Barry Hoban,GBR
12a,1973-07-13,28.3,Perpignan,Thuir,Individual time trial,Luis Ocaña,ESP
12b,1973-07-13,76,Thuir,Pyrénées 2000,Stage with mountain(s),Lucien Van Impe,BEL
13,1973-07-15,235,Bourg-Madame,Luchon,Stage with mountain(s),Luis Ocaña,ESP
14,1973-07-16,227.5,Luchon,Pau,Stage with mountain(s),Pedro Torres,ESP
15,1973-07-17,137,Pau,Fleurance,Plain stage,Wilfried David,BEL
16a,1973-07-18,210,Fleurance,Bordeaux,Plain stage,Walter Godefroot,BEL
16b,1973-07-18,12.4,Bordeaux,Bordeaux,Individual time trial,Joaquim Agostinho,POR
17,1973-07-19,248,Sainte-Foy-la-Grande,Brive-la-Gaillarde,Plain stage,Claude Tollet,FRA
18,1973-07-20,216.5,Brive-la-Gaillarde,Puy de Dôme,Stage with mountain(s),Luis Ocaña,ESP
19,1973-07-21,233.5,Bourges,Versailles,Plain stage,Barry Hoban,GBR
20a,1973-07-22,16,Versailles,Versailles,Individual time trial,Luis Ocaña,ESP
20b,1973-07-22,89,Versailles,Paris,Plain stage,Bernard Thévenet,FRA
P,1972-07-01,7.2,Angers,Angers,Individual time trial,Eddy Merckx,BEL
1,1972-07-02,235.5,Angers,Saint-Brieuc,Plain stage,Cyrille Guimard,FRA
2,1972-07-03,206.5,Saint-Brieuc,La Baule,Plain stage,Rik Van Linden,BEL
3a,1972-07-04,161,Pornichet,Saint-Jean-de-Monts,Plain stage,Ercole Gualazzini,ITA
3b,1972-07-04,16.2,Merlin-Plage,Merlin-Plage,Team time trial,Molteni,
4,1972-07-05,236,Merlin-Plage,Royan,Plain stage,Cyrille Guimard,FRA
5a,1972-07-06,133.5,Royan,Bordeaux,Plain stage,Walter Godefroot,BEL
5b,1972-07-06,12.7,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL
6,1972-07-07,205,Bordeaux,Bayonne,Plain stage,Leo Duyndam,NED
7,1972-07-09,220.5,Bayonne,Pau,Stage with mountain(s),Yves Hézard,FRA
8,1972-07-10,163.5,Pau,Luchon,Stage with mountain(s),Eddy Merckx,BEL
9,1972-07-11,179,Luchon,Colomiers,Hilly stage,Jos Huysmans,BEL
10,1972-07-12,210,Castres,La Grande-Motte,Plain stage,Willy Teirlinck,BEL
11,1972-07-13,207,Carnon-Plage,Mont Ventoux,Stage with mountain(s),Bernard Thévenet,FRA
12,1972-07-14,192,Carpentras,Orcières,Stage with mountain(s),Lucien Van Impe,BEL
13,1972-07-16,201,Orcières,Briançon,Stage with mountain(s),Eddy Merckx,BEL
14a,1972-07-17,51,Briançon,Valloire,Stage with mountain(s),Eddy Merckx,BEL
14b,1972-07-17,151,Valloire,Aix-les-Bains,Stage with mountain(s),Cyrille Guimard,FRA
15,1972-07-18,28,Aix-les-Bains,Le Revard,Stage with mountain(s),Cyrille Guimard,FRA
16,1972-07-19,198.5,Aix-les-Bains,Pontarlier,Hilly stage,Willy Teirlinck,BEL
17,1972-07-20,213,Pontarlier,Ballon d’Alsace,Hilly stage,Bernard Thévenet,FRA
18,1972-07-21,257.5,Vesoul,Auxerre,Plain stage,Marinus Wagtmans,NED
19,1972-07-22,230,Auxerre,Versailles,Plain stage,Joseph Bruyère,BEL
20a,1972-07-23,42,Versailles,Versailles,Individual time trial,Eddy Merckx,BEL
20b,1972-07-23,89,Versailles,Paris,Plain stage,Willy Teirlinck,BEL
P,1971-06-26,11,Mulhouse,Mulhouse,Team time trial,Molteni,
1a,1971-06-27,59.5,Mulhouse,Basel,Stage with mountain(s),Eric Leman,BEL
1b,1971-06-27,90,Basel,Freiburg,Plain stage,Gerben Karstens,NED
1c,1971-06-27,74.5,Freiburg,Mulhouse,Plain stage,Albert Van Vlierberghe,BEL
2,1971-06-28,144,Mulhouse,Strasbourg,Stage with mountain(s),Eddy Merckx,BEL
3,1971-06-29,165.5,Strasbourg,Nancy,Stage with mountain(s),Rini Wagtmans,NED
4,1971-06-30,242,Nancy,Marche-en-Famenne,Plain stage,Jean-Pierre Genet,FRA
5,1971-07-01,208.5,Dinant,Roubaix,Stage with mountain(s),Pietro Guerra,ITA
6a,1971-07-02,127.5,Roubaix,Amiens,Plain stage,Eric Leman,BEL
6b,1971-07-02,133.5,Amiens,Le Touquet,Plain stage,Mauro Simonetti,ITA
7,1971-07-04,257.5,Rungis,Nevers,Plain stage,Eric Leman,BEL
8,1971-07-05,221,Nevers,Puy de Dôme,Stage with mountain(s),Luis Ocaña,ESP
9,1971-07-06,153,Clermont-Ferrand,Saint-Étienne,Stage with mountain(s),Walter Godefroot,BEL
10,1971-07-07,188.5,Saint-Étienne,Grenoble,Stage with mountain(s),Bernard Thévenet,FRA
11,1971-07-08,134,Grenoble,Orcières,Stage with mountain(s),Luis Ocaña,ESP
12,1971-07-10,251,Orcières,Marseille,Plain stage,Luciano Armani,ITA
13,1971-07-11,16.3,Albi,Albi,Individual time trial,Eddy Merckx,BEL
14,1971-07-12,214.5,Revel,Luchon,Stage with mountain(s),José Manuel Fuente,ESP
15,1971-07-13,19.6,Luchon,Superbagnères,Stage with mountain(s),José Manuel Fuente,ESP
16a,1971-07-14,145,Luchon,Gourette,Stage with mountain(s),Bernard Labourdette,FRA
16b,1971-07-14,57.5,Gourette,Pau,Plain stage,Herman Van Springel,BEL
17,1971-07-15,188,Mont-de-Marsan,Bordeaux,Plain stage,Eddy Merckx,BEL
18,1971-07-16,244,Bordeaux,Poitiers,Plain stage,Jean-Pierre Danguillaume,FRA
19,1971-07-17,185,Blois,Versailles,Plain stage,Jan Krekels,NED
20,1971-07-18,53.8,Versailles,Paris,Individual time trial,Eddy Merckx,BEL
P,1970-06-27,7.4,Limoges,Limoges,Individual time trial,Eddy Merckx,BEL
1,1970-06-27,224.5,Limoges,La Rochelle,Plain stage,Cyrille Guimard,FRA
2,1970-06-28,200,La Rochelle,Angers,Plain stage,Italo Zilioli,ITA
3a,1970-06-29,10.7,Angers,Angers,Team time trial,Faemino–Faema,
3b,1970-06-29,140,Angers,Rennes,Plain stage,Marino Basso,ITA
4,1970-06-30,229,Rennes,Lisieux,Plain stage,Walter Godefroot,BEL
5a,1970-07-01,94.5,Lisieux,Rouen,Plain stage,Walter Godefroot,BEL
5b,1970-07-01,223,Rouen,Amiens,Plain stage,Jozef Spruyt,BEL
6,1970-07-02,135.5,Amiens,Valenciennes,Plain stage,Roger De Vlaeminck,BEL
7a,1970-07-03,120,Valenciennes,Forest,Plain stage,Eddy Merckx,BEL
7b,1970-07-03,7.2,Forest,Forest,Individual time trial,José Antonio Gonzalez Linares,ESP
8,1970-07-04,232.5,Ciney,Felsberg,Plain stage,Alain Vasseur,FRA
9,1970-07-05,269.5,Saarlouis,Mulhouse,Stage with mountain(s),Mogens Frey,DEN
10,1970-07-06,241,Belfort,Divonne-les-Bains,Stage with mountain(s),Eddy Merckx,BEL
11a,1970-07-07,8.8,Divonne-les-Bains,Divonne-les-Bains,Individual time trial,Eddy Merckx,BEL
11b,1970-07-07,139.5,Divonne-les-Bains,Thonon-les-Bains,Stage with mountain(s),Marino Basso,ITA
12,1970-07-08,194,Thonon-les-Bains,Grenoble,Stage with mountain(s),Eddy Merckx,BEL
13,1970-07-09,194.5,Grenoble,Gap,Stage with mountain(s),Primo Mori,ITA
14,1970-07-10,170,Gap,Mont Ventoux,Stage with mountain(s),Eddy Merckx,BEL
15,1970-07-11,140.5,Carpentras,Montpellier,Plain stage,Marinus Wagtmans,NED
16,1970-07-12,160,Montpellier,Toulouse,Plain stage,Albert Van Vlierberghe,BEL
17,1970-07-13,190,Toulouse,Saint-Gaudens,Plain stage,Luis Ocaña,ESP
18,1970-07-14,135.5,Saint-Gaudens,La Mongie,Stage with mountain(s),Bernard Thévenet,FRA
19,1970-07-15,185.5,Bagnères-de-Bigorre,Mourenx,Stage with mountain(s),Christian Raymond,FRA
20a,1970-07-16,223.5,Mourenx,Bordeaux,Plain stage,Rolf Wolfshohl,FRG
20b,1970-07-16,8.2,Bordeaux,Bordeaux,Individual time trial,Eddy Merckx,BEL
21,1970-07-17,191.5,Ruffec,Tours,Plain stage,Marino Basso,ITA
22,1970-07-18,238.5,Tours,Versailles,Plain stage,Jean-Pierre Danguillaume,FRA
23,1970-07-19,54,Versailles,Paris,Individual time trial,Eddy Merckx,BEL
P,1969-06-28,10,Roubaix,Roubaix,Individual time trial,Rudi Altig,GER
1a,1969-06-29,147,Roubaix,Sint-Pieters-Woluwe,Plain stage,Marino Basso,ITA
1b,1969-06-29,16,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe,Team time trial,Faema,
2,1969-06-30,182,Sint-Pieters-Woluwe,Maastricht,Plain stage,Julien Stevens,BEL
3,1969-07-01,213,Maastricht,Charleville-Mézières,Plain stage,Eric Leman,BEL
4,1969-07-02,214,Charleville-Mézières,Nancy,Plain stage,Rik Van Looy,BEL
5,1969-07-03,194,Nancy,Mulhouse,Stage with mountain(s),Joaquim Agostinho,POR
6,1969-07-04,133,Mulhouse,Ballon d’Alsace,Stage with mountain(s),Eddy Merckx,BEL
7,1969-07-05,241,Belfort,Divonne-les-Bains,Stage with mountain(s),Mariano Diaz,ESP
8a,1969-07-06,9,Divonne-les-Bains,Divonne-les-Bains,Individual time trial,Eddy Merckx,BEL
8b,1969-07-06,137,Divonne-les-Bains,Thonon-les-Bains,Stage with mountain(s),Michele Dancelli,ITA
9,1969-07-07,111,Thonon-les-Bains,Chamonix,Stage with mountain(s),Roger Pingeon,FRA
10,1969-07-08,221,Chamonix,Briançon,Stage with mountain(s),Herman Van Springel,BEL
11,1969-07-09,198,Briançon,Digne,Stage with mountain(s),Eddy Merckx,BEL
12,1969-07-10,161,Digne,Aubagne,Stage with mountain(s),Felice Gimondi,ITA
13,1969-07-11,196,Aubagne,La Grande-Motte,Plain stage,Guido Reybrouck,BEL
14,1969-07-12,234,La Grande-Motte,Revel,Plain stage,Joaquim Agostinho,POR
15,1969-07-13,19,Revel,Revel,Individual time trial,Eddy Merckx,BEL
16,1969-07-14,199,Castelnaudary,Luchon,Stage with mountain(s),Raymond Delisle,FRA
17,1969-07-15,214,Luchon,Mourenx,Stage with mountain(s),Eddy Merckx,BEL
18,1969-07-16,201,Mourenx,Bordeaux,Plain stage,Barry Hoban,GBR
19,1969-07-17,193,Bordeaux,Brive,Plain stage,Barry Hoban,GBR
20,1969-07-18,198,Brive,Puy de Dôme,Stage with mountain(s),Pierre Matignon,FRA
21,1969-07-19,329,Clermont-Ferrand,Montargis,Plain stage,Herman Van Springel,BEL
22a,1969-07-20,111,Montargis,Créteil,Plain stage,Jozef Spruyt,BEL
22b,1969-07-20,37,Créteil,Paris,Individual time trial,Eddy Merckx,BEL
1a,1968-06-27,6.1,Vittel,Vittel,Individual time trial,Charly Grosskost,FRA
1b,1968-06-28,189,Vittel,Esch-sur-Alzette,Plain stage,Charly Grosskost,FRA
2,1968-06-29,210.5,Arlon,Forest,Plain stage,Eric de Vlaeminck,BEL
3a,1968-06-30,22,Forest,Forest,Team time trial,Belgium A,
3b,1968-06-30,112,Forest,Roubaix,Plain stage,Walter Godefroot,BEL
4,1968-07-01,238,Roubaix,Rouen,Plain stage,Georges Chappe,FRA
5a,1968-07-02,165,Rouen,Bagnoles-de-l'Orne,Plain stage,André Desvages,FRA
5b,1968-07-02,154.5,Bagnoles-de-l'Orne,Dinard,Plain stage,Jean Dumont,FRA
6,1968-07-03,188,Dinard,Lorient,Plain stage,Aurelio González Puente,ESP
7,1968-07-04,190,Lorient,Nantes,Plain stage,Franco Bitossi,ITA
8,1968-07-05,223,Nantes,Royan,Plain stage,Daniel van Ryckeghem,BEL
9,1968-07-07,137.5,Royan,Bordeaux,Plain stage,Walter Godefroot,BEL
10,1968-07-08,202.5,Bordeaux,Bayonne,Plain stage,Gilbert Bellone,FRA
11,1968-07-09,183.5,Bayonne,Pau,Plain stage,Daniel van Ryckeghem,BEL
12,1968-07-10,226.5,Pau,Saint-Gaudens,Stage with mountain(s),Georges Pintens,BEL
13,1968-07-11,208.5,Saint-Gaudens,La Seu d'Urgell,Stage with mountain(s),Herman Van Springel,BEL
14,1968-07-12,231.5,La Seu d'Urgell,Perpignan,Stage with mountain(s),Jan Janssen,NED
15,1968-07-14,250.5,Font-Romeu-Odeillo-Via,Albi,Plain stage,Roger Pingeon,FRA
16,1968-07-15,199,Albi,Aurillac,Plain stage,Franco Bitossi,ITA
17,1968-07-16,236.5,Aurillac,Saint-Étienne,Stage with mountain(s),Jean-Pierre Genet,FRA
18,1968-07-17,235,Saint-Étienne,Grenoble,Stage with mountain(s),Roger Pingeon,FRA
19,1968-07-18,200,Grenoble,Sallanches,Stage with mountain(s),Barry Hoban,GBR
20,1968-07-19,242.5,Sallanches,Besançon,Stage with mountain(s),Jozef Huysmans,BEL
21,1968-07-20,242,Besançon,Auxerre,Plain stage,Eric Leman,BEL
22a,1968-07-21,136,Auxerre,Melun,Plain stage,Maurice Izier,FRA
22b,1968-07-21,55.2,Melun,Paris,Individual time trial,Jan Janssen,NED
1a,1967-06-29,5.775,Angers,Angers,Individual time trial,José-Maria Errandonea,ESP
1b,1967-06-30,185.5,Angers,Saint-Malo,Plain stage,Walter Godefroot,BEL
2,1967-07-01,180,Saint-Malo,Caen,Plain stage,Willy Van Neste,BEL
3,1967-07-02,248,Caen,Amiens,Plain stage,Marino Basso,ITA
4,1967-07-03,191,Amiens,Roubaix,Plain stage,Guido Reybrouck,BEL
5a,1967-07-04,172,Roubaix,Jambes,Plain stage,Roger Pingeon,FRA
5b,1967-07-04,17,Jambes,Jambes,Team time trial,Belgium,
6,1967-07-05,238,Jambes,Metz,Plain stage,Herman Van Springel,BEL
7,1967-07-06,205.5,Metz,Strasbourg,Stage with mountain(s),Michael Wright,GBR
8,1967-07-07,215,Strasbourg,Belfort/Ballon d’Alsace,Stage with mountain(s),Lucien Aimar,FRA
9,1967-07-09,238.5,Belfort,Divonne-les-Bains,Stage with mountain(s),Guido Reybrouck,BEL
10,1967-07-10,243,Divonne-les-Bains,Briançon,Stage with mountain(s),Felice Gimondi,ITA
11,1967-07-11,197,Briançon,Digne,Stage with mountain(s),José Samyn,FRA
12,1967-07-12,207.5,Digne,Marseille,Plain stage,Raymond Riotte,FRA
13,1967-07-13,211.5,Marseille,Carpentras,Stage with mountain(s),Jan Janssen,NED
14,1967-07-14,201.5,Carpentras,Sète,Plain stage,Barry Hoban,GBR
15,1967-07-16,230.5,Sète,Toulouse,Plain stage,Rolf Wolfshohl,FRG
16,1967-07-17,188,Toulouse,Luchon,Stage with mountain(s),Fernando Manzaneque,ESP
17,1967-07-18,250,Luchon,Pau,Stage with mountain(s),Raymond Mastrotto,FRA
18,1967-07-19,206.5,Pau,Bordeaux,Plain stage,Marino Basso,ITA
19,1967-07-20,217,Bordeaux,Limoges,Plain stage,Jean Stablinski,FRA
20,1967-07-21,222,Limoges,Puy de Dôme,Stage with mountain(s),Felice Gimondi,ITA
21,1967-07-22,359,Clermont-Ferrand,Fontainebleau,Plain stage,Paul Lemeteyer,FRA
22a,1967-07-23,104,Fontainebleau,Versailles,Plain stage,René Binggeli,SUI
22b,1967-07-23,46.6,Versailles,Paris,Individual time trial,Raymond Poulidor,FRA
1,1966-06-21,209,Nancy,Charleville,Plain stage,Rudi Altig,FRG
2,1966-06-22,198,Charleville,Tournai,Plain stage,Guido Reybrouck,BEL
3a,1966-06-23,21,Tournai,Tournai,Team time trial,Televizier–Batavus,
3b,1966-06-23,131,Tournai,Dunkirk,Plain stage,Gerben Karstens,NED
4,1966-06-24,205,Dunkirk,Dieppe,Plain stage,Willy Planckaert,BEL
5,1966-06-25,178,Dieppe,Caen,Plain stage,Franco Bitossi,ITA
6,1966-06-26,217,Caen,Angers,Plain stage,Edward Sels,BEL
7,1966-06-27,252,Angers,Royan,Plain stage,Albert Van Vlierberghe,BEL
8,1966-06-28,138,Royan,Bordeaux,Plain stage,Willy Planckaert,BEL
9,1966-06-29,201,Bordeaux,Bayonne,Plain stage,Gerben Karstens,NED
10,1966-06-30,234,Bayonne,Pau,Stage with mountain(s),Tommaso de Pra,ITA
11,1966-07-01,188,Pau,Luchon,Stage with mountain(s),Guido Marcello Mugnaini,ITA
12,1966-07-03,219,Luchon,Revel,Stage with mountain(s),Rudi Altig,FRG
13,1966-07-04,191,Revel,Sète,Plain stage,Georges Vandenberghe,BEL
14a,1966-07-05,144,Montpellier,Vals-les-Bains,Plain stage,Jo de Roo,NED
14b,1966-07-05,20,Vals-les-Bains,Vals-les-Bains,Individual time trial,Raymond Poulidor,FRA
15,1966-07-06,203,Privas,Le Bourg-d'Oisans,Stage with mountain(s),Luís Otano,ESP
16,1966-07-07,148,Le Bourg-d'Oisans,Briançon,Stage with mountain(s),Julio Jiménez,ESP
17,1966-07-08,160,Briançon,Turin,Stage with mountain(s),Franco Bitossi,ITA
18,1966-07-10,188,Ivrea,Chamonix,Stage with mountain(s),Edy Schutz,LUX
19,1966-07-11,265,Chamonix,Saint-Étienne,Stage with mountain(s),Ferdinand Bracke,BEL
20,1966-07-12,223,Saint-Étienne,Montluçon,Plain stage,Henk Nijdam,NED
21,1966-07-13,232,Montluçon,Orléans,Plain stage,Pierre Beuffeuil,FRA
22a,1966-07-14,111,Orléans,Rambouillet,Plain stage,Edward Sels,BEL
22b,1966-07-14,51,Rambouillet,Paris,Individual time trial,Rudi Altig,FRG
1a,1965-06-22,149,Cologne,Liège,Plain stage,Rik Van Looy,BEL
1b,1965-06-22,22.5,Liège,Liège,Team time trial,Ford France–Gitane,
2,1965-06-23,200.5,Liège,Roubaix,Plain stage,Bernard Van De Kerkhove,BEL
3,1965-06-24,240,Roubaix,Rouen,Plain stage,Felice Gimondi,ITA
4,1965-06-25,227,Caen,Saint-Brieuc,Plain stage,Edgard Sorgeloos,BEL
5a,1965-06-26,147,Saint-Brieuc,Châteaulin,Plain stage,Cees van Espen,NED
5b,1965-06-26,26.7,Châteaulin,Châteaulin,Individual time trial,Raymond Poulidor,FRA
6,1965-06-27,210.5,Quimper,La Baule,Plain stage,Guido Reybroeck,BEL
7,1965-06-28,219,La Baule,La Rochelle,Plain stage,Edward Sels,BEL
8,1965-06-29,197.5,La Rochelle,Bordeaux,Plain stage,Johan de Roo,NED
9,1965-06-30,226.5,Dax,Bagnères-de-Bigorre,Stage with mountain(s),Julio Jiménez,ESP
10,1965-07-01,222.5,Bagnères-de-Bigorre,Ax-les-Thermes,Stage with mountain(s),Guido Reybroeck,BEL
11,1965-07-02,240.5,Ax-les-Thermes,Barcelona,Stage with mountain(s),José Perez-Frances,ESP
12,1965-07-04,219,Barcelona,Perpignan,Plain stage,Jan Janssen,NED
13,1965-07-05,164,Perpignan,Montpellier,Plain stage,Adriano Durante,ITA
14,1965-07-06,173,Montpellier,Mont Ventoux,Stage with mountain(s),Raymond Poulidor,FRA
