package,n_total,n_unique
seqest,49,30
SeqFeatR,216,78
seqgendiff,22,16
seqhandbook,9,9
seqHMM,80,50
seqICP,14,7
seqimpute,47,38
seqinr,510,207
SeqKat,20,11
seqmagick,54,40
seqmon,31,10
SeqNet,139,78
seqtest,40,14
SequenceSpikeSlab,37,16
Sequential,511,81
SequentialDesign,10,6
sequenza,133,56
sergeant,82,59
serial,11,11
seriation,158,116
serieslcb,39,24
serp,52,33
serpstatr,19,6
serrsBayes,33,21
servosphereR,16,15
servr,73,44
sesem,9,9
SEset,21,14
sessioninfo,129,86
set,14,13
SetRank,78,52
setRNG,8,4
sets,377,122
setter,26,26
SetTest,105,27
settings,17,9
Seurat,819,469
SeuratObject,354,220
sever,6,3
sf,1349,720
sfadv,8,4
sfaR,518,142
sfarrow,14,8
sfc,33,22
sfcr,44,31
sfdct,29,16
sfdep,266,149
sFFLHD,6,2
sfheaders,124,85
sfhotspot,25,13
sfinx,4,2
sfnetworks,345,209
sfo,5,2
SFS,1,1
SFSI,78,35
sft,61,26
sftime,65,53
SFtools,14,7
sftrack,115,66
sgat,6,4
SGB,24,16
sGBJ,4,2
sgd,34,21
sgee,37,19
SGL,17,10
sglasso,51,22
sglg,340,97
sglOptim,79,59
sglr,6,4
sgmcmc,120,59
sgmodel,13,9
sGMRFmix,30,17
sgo,64,35
sgof,126,26
sgolay,2,2
SGP,331,74
sgPLS,51,27
sgpv,12,7
sgr,11,6
sgsR,39,20
sgstar,10,5
sgt,14,7
shades,110,37
shadow,15,6
shadowr,1,1
shadowtext,6,5
shallot,216,43
shape,50,21
ShapeChange,148,31
shapefiles,33,20
shapeNA,92,43
ShapePattern,23,17
ShapeRotator,42,22
shapes,478,195
ShapeSelectForest,25,15
SHAPforxgboost,24,15
ShapleyOutlier,40,19
ShapleyValue,1,1
shapper,5,5
shapr,111,66
shapviz,49,34
shar,48,16
sharp,148,59
sharpData,5,4
SharpeR,160,74
sharpeRratio,15,9
sharpPen,52,28
sharpr2,9,7
sharpshootR,81,47
sharx,8,4
shattering,9,6
shazam,209,99
SHELF,149,58
ShellChron,17,13
shelltrace,20,20
shidashi,83,45
ShiftConvolvePoibin,42,17
shiftR,34,22
ShiftShareSE,9,6
shinipsum,9,8
shiny,1104,526
shiny.i18n,17,14
shiny.info,16,13
shiny.pwa,11,11
shiny.react,55,28
shiny.reglog,101,50
shiny.router,29,20
shiny.semantic,208,93
shiny.tailwind,7,7
shinyAce,25,19
shinyaframe,15,9
shinyalert,3,3
shinyanimate,2,2
shinyauthr,11,8
shinybrms,1,1
shinyBS,42,23
shinybusy,28,13
shinyChakraSlider,18,6
shinyChakraUI,130,52
shinyCohortBuilder,164,101
shinycssloaders,3,2
shinycustomloader,3,1
shinyCyJS,4,4
shinydashboard,37,33
shinydashboardPlus,86,68
shinydlplot,5,5
shinyDND,6,2
shinydrive,13,11
shinyEffects,6,6
shinyFeedback,2,2
shinyFiles,22,14
shinyfilter,4,4
shinyfullscreen,3,3
shinyGizmo,53,26
shinyglide,4,4
shinyGovstyle,43,38
shinyHeatmaply,17,9
shinyhelper,3,3
shinyhttr,3,2
shinyHugePlot,9,6
shinyIRT,2,2
ShinyItemAnalysis,52,34
shinyjqui,15,13
shinyjs,61,35
shinylight,37,24
shinyloadtest,117,82
shinylogs,32,23
shinyLP,8,8
shinymanager,105,47
shinymaterial,39,35
shinyMatrix,15,5
shinymeta,103,72
shinyML,3,2
shinyMobile,207,118
shinymodels,31,18
shinyMolBio,1,1
shinyMonacoEditor,1,1
shinyNORRRM,22,12
shinyNotes,9,7
shinyobjects,39,25
shinypanel,2,2
shinypanels,9,9
shinypivottabler,4,4
shinyPredict,3,2
ShinyQuickStarter,1,1
shinyr,27,24
shinyRadioMatrix,4,3
shinyrecipes,2,2
shinyreforms,13,9
shinyRGL,2,2
shinyscreenshot,6,3
shinySearchbar,5,5
shinySelect,25,18
shinyservicebot,4,4
shinyShortcut,1,1
shinySIR,31,19
shinystan,40,27
shinyStorePlus,2,2
shinysurveys,51,36
shinyTempSignal,18,10
shinytest,136,87
shinytest2,227,155
ShinyTester,5,3
shinythemes,1,1
shinyTime,18,11
shinytitle,4,4
shinyToastify,11,7
shinytoastr,5,2
shinyTree,24,19
shinyvalidate,11,7
shinyWidgets,277,109
shinyXYpad,9,2
shipunov,174,119
shock,10,6
shopifyr,773,268
shortcuts,4,3
ShortForm,62,25
shorts,140,58
shotGroups,309,83
showimage,2,2
showtext,8,8
showtextdb,6,5
shp2graph,55,19
shrink,10,6
ShrinkCovMat,17,13
shrinkDSM,16,12
shrinkTVP,35,26
shroomDK,10,6
SHT,160,64
shuffle,5,4
shuffleCI,5,4
shutterplot,7,7
SI,4,3
SIBER,63,33
SIBERG,30,18
sicegar,46,20
siconfir,15,12
siconvr,9,5
SIDES,84,36
sidier,47,22
sidrar,2,2
siebanxicor,13,10
SiER,17,10
Sieve,37,27
sievePH,295,48
sievetest,29,19
SIfEK,35,13
sift,25,17
sig,58,51
SightabilityModel,21,12
sigInt,159,39
sigmajs,77,77
sigminer,437,218
sigmoid,12,12
SIGN,24,17
Signac,342,169
SignacX,32,20
signal,178,127
signalHsmm,40,25
signed.backbones,4,3
SignifReg,6,4
signnet,72,42
signs,1,1
SigOptR,23,12
sigora,7,5
sigr,98,41
SigTree,45,16
SIHR,70,22
siland,66,45
SILGGM,1,1
silicate,386,239
SILM,4,4
Sim.DiffProc,858,282
Sim.PLFN,13,4
sim1000G,31,23
sim2Dpredictr,28,18
SimBIID,109,22
simboot,49,29
simcausal,209,102
simcdm,10,10
SimComp,9,2
SimCop,94,32
SimCorMultRes,34,12
SimCorrMix,27,18
simcross,45,19
simctest,104,29
SimDesign,112,78
SimDissolution,61,15
simdistr,1,1
simDNAmixtures,79,44
simecol,12,7
simEd,349,118
SimEngine,53,29
simer,95,62
simest,52,33
simET,161,95
SimEUCartelLaw,9,5
simex,23,17
simexaft,1,1
simExam,10,9
SIMEXBoost,11,5
simfam,20,11
simfinapi,41,31
simfit,2,1
simFrame,103,29
simglm,113,59
simgof,9,7
SimHaz,9,7
simhelpers,1,1
SimilaR,17,12
SimilarityMeasures,33,13
Simile,13,13
SimInf,227,156
simIReff,210,71
simITS,52,20
SimJoint,7,7
simlandr,104,58
simmer,402,300
simmer.bricks,9,9
simmer.plot,20,19
simMetric,12,7
simml,8,4
simMP,5,4
simmr,9,7
SIMMS,32,16
simMSM,267,18
SimMultiCorrData,82,42
simode,75,41
simodels,3,3
simPATHy,51,26
simPH,45,21
SimPhe,10,9
simphony,13,7
SIMPLE.REGRESSION,7,4
simpleboot,29,18
simpleCache,22,15
simplecolors,15,14
simpleFDR,1,1
simplegraph,79,45
simplegraphdb,24,14
simpleMH,1,1
simpleMLP,31,13
simpleNeural,24,10
simplePHENOTYPES,21,7
simpleRCache,5,4
simplermarkdown,41,25
simpleSetup,1,1
simplevis,245,24
simplexreg,138,31
simplextree,88,58
SimplicialCubature,48,27
SimplifyStats,2,2
SimplyAgree,87,47
simPop,303,158
simpr,187,182
simputation,128,67
simr,187,73
SimRAD,6,2
SimReg,91,42
simrel,70,47
SiMRiv,35,14
SimRVPedigree,70,34
sims,49,32
simsalapar,122,61
SimSCRPiecewise,2,2
simsem,507,186
SimSeq,6,3
simsl,3,2
simstandard,9,6
simstudy,169,88
simsurv,54,21
SimSurvey,36,27
SimSurvNMarker,21,14
simTargetCov,1,1
simtimer,4,4
SimTimeVar,26,16
simTool,40,19
simtrait,11,10
simts,275,223
simuclustfactor,29,8
simukde,19,7
simulariatools,17,14
simule,5,2
SimVitD,36,21
sinaplot,1,1
sinar,16,9
sindyr,4,4
sinew,179,72
singcar,13,5
SingleCaseES,79,28
singleCellHaystack,52,32
singR,166,55
sinib,45,23
SinIW,6,6
SIPDIBGE,8,6
SiPhyNetwork,69,44
siplab,10,4
siqr,8,5
sirad,57,22
SIRE,8,4
siren,54,11
SIRmcmc,18,14
sirt,1458,730
SIRthresholded,28,20
sirus,46,27
SIS,18,11
sisal,173,66
SISIR,49,30
sisireg,109,56
sistec,156,93
sistmr,6,6
sisVIVE,8,5
sitar,134,86
SiteAdapt,18,5
SitesInterest,35,12
siteymlgen,10,9
SITH,23,16
sitmo,6,6
sitree,47,20
sitreeE,16,14
sits,174,38
sivs,14,12
SixSigma,31,14
SizeEstimation,4,4
sizeMat,12,8
SiZer,37,21
sjdbc,5,3
sjlabelled,113,81
sjmisc,263,188
sjPlot,279,141
sjSDM,124,51
sjstats,231,153
sjtable2df,13,8
SKAT,431,213
skater,23,17
skedastic,151,65
skeletor,2,2
skellam,17,10
sketch,541,242
sketcher,148,59
sketching,4,4
sketchy,5,3
SkeweDF,56,32
SkewHyperbolic,66,29
skewlmm,795,182
skewMLRM,600,106
skewsamp,51,25
skewt,5,4
Skillings.Mack,6,4
skilljaR,16,5
skimr,209,136
sklarsomega,94,29
skm,16,15
skmeans,30,10
sknifedatar,15,15
SKNN,9,5
skpr,134,76
Sky,2,2
skylight,11,6
skynet,43,36
skyscapeR,273,71
slackr,54,28
slam,14,7
slanter,7,6
SlaPMEG,20,11
slasso,21,9
SLBDD,147,67
sld,23,10
SLDAssay,28,15
sleekts,3,1
SleepCycles,19,13
sleeperapi,19,19
sleepr,13,8
sleepwalk,1,1
sleev,6,4
SLEMI,30,17
slendr,238,126
slfm,15,11
SLFPCA,18,11
slgf,41,17
slickR,42,19
SLIDE,5,3
slider,137,102
slideview,22,3
SlidingWindows,28,8
slim,23,17
slimrec,10,5
slippymath,40,22
slm,29,19
SLModels,58,31
sloop,43,28
SLOPE,28,21
slopeOP,8,7
slouch,68,32
slowraker,24,16
slp,4,3
SLTCA,20,13
slurmR,161,79
sm,290,79
smaa,23,23
smacof,232,96
smacpod,32,25
smallarea,52,28
SmallCountRounding,87,38
smallstuff,40,35
smam,296,156
smapr,83,47
SMARTAR,89,30
SMARTbayesR,23,15
smartDesign,12,11
SmartEDA,54,28
SmarterPoland,22,15
smartmap,67,61
SmartMeterAnalytics,25,17
SMARTp,34,8
smartsizer,21,12
smartsnp,15,6
SmartSVA,17,6
smatr,91,30
smbinning,21,18
SmCCNet,12,8
smcfcs,13,9
smcure,12,3
smd,31,9
SMDIC,34,24
smerc,299,144
SMFilter,73,30
smfishHmrf,41,26
smfsb,53,44
smicd,48,25
smidm,44,24
smile,99,65
SMITIDstruct,65,38
SMITIDvisu,86,42
SMLE,81,39
smlmkalman,1,1
SMLoutliers,1,1
SMM,152,12
SMMA,6,5
SMME,12,9
smmR,219,86
SMMT,15,10
SMNCensReg,155,40
smnet,92,42
smog,27,14
smoof,427,210
smooth,1062,211
smoothAPC,56,21
smoothedLasso,412,27
smoother,4,3
SmoothHazard,66,14
smoothHR,3,3
smoothic,18,13
smoothie,6,6
smoothmest,48,30
smoothr,37,25
smoothROCtime,5,5
smoothSurv,37,26
smoothtail,11,8
SmoothTensor,63,25
SmoothWin,22,12
smoots,81,32
smotefamily,26,8
smovie,129,51
smpic,4,2
SMPracticals,44,15
SMR,34,15
sms,17,14
sMSROC,63,30
smss,1,1
smurf,17,12
SMUT,41,8
SMVar,2,1
smvgraph,12,11
sn,760,226
sna,387,212
snahelper,14,13
Snake,14,11
snakecase,25,23
SnakesAndLaddersAnalysis,8,6
snap,27,11
snapshot,1,1
snem,6,4
snfa,28,7
SNFtool,42,23
snht,14,9
snn,13,4
snotelr,3,3
snow,132,73
snowboot,49,33
snowfall,70,46
snowflakes,18,1
snowFT,48,38
SNPannotator,51,36
SNPassoc,71,46
snpEnrichment,16,4
SNPfiltR,3,2
SNPknock,20,15
snplist,8,4
sNPLS,33,21
snpReady,30,17
snpsettest,42,29
sns,47,18
SNscan,7,5
SNSchart,17,9
snSMART,81,40
SOAR,18,6
SOAs,165,53
sobolnp,4,3
SobolSequence,3,3
soc.ca,124,74
socceR,6,5
social,13,7
socialh,24,13
socialmixr,32,16
SocialPosition,1,1
socialranking,65,35
socialrisk,1,1
sociome,46,35
socviz,10,10
SoDA,48,37
sodavis,35,22
sodium,30,29
sofa,122,53
Sofi,12,12
SoftBart,53,29
softclassval,94,22
SoftClustering,25,12
softImpute,63,34
SOIL,15,9
soilassessment,81,63
soilDB,308,100
SoilHyP,45,19
soilhypfit,49,29
soilphysics,498,130
SoilR,442,101
SoilTaxonomy,53,28
soiltestcorr,26,11
SoilTesting,7,7
soiltexture,147,54
soilwater,6,3
Sojourn,23,17
sokoban,3,3
solaR,247,73
solarPos,100,40
solartime,15,6
solitude,4,3
solrad,70,20
solrium,563,113
solvebio,235,114
SolveSAPHE,108,40
som,24,17
som.nn,31,23
soma,6,4
SOMbrero,121,67
someMTP,4,4
SOMEnv,43,29
sommer,220,122
sonar,81,81
SongEvo,17,14
sonicLength,30,13
sonicscrewdriver,137,89
sonify,2,1
soobench,154,103
SOP,127,42
SOPC,7,7
SOPIE,10,5
soptdmaeA,24,10
soql,11,11
SOR,168,52
sorcering,1,1
sorocs,12,4
SorptionAnalysis,8,8
sortable,38,28
SortedEffects,75,31
sorvi,2,2
sos,35,17
sotkanet,14,8
sotu,1,1
sound,156,45
soundClass,49,26
soundcorrs,144,75
soundecology,16,10
SoundexBR,4,4
soundgen,527,130
SoundShape,7,5
SoupX,34,19
sourcetools,7,7
sovereign,59,23
SoyNAM,20,5
sp,587,303
SP2000,36,26
sp23design,44,20
spaa,19,5
SpaCCr,24,13
spacefillr,31,22
spacejamr,30,25
spaceNet,43,20
spacesRGB,487,131
spacesXYZ,106,54
spacetime,194,125
SpaceTimeBSS,25,17
spacyr,80,43
SPADAR,17,13
spAddins,18,10
SpadeR,1444,160
SpaDES.addins,3,3
SpaDES.core,412,78
SpaDES.tools,125,36
spaero,24,9
spam,268,134
spaMM,1551,112
spamtree,22,16
spanish,3,3
spant,2024,458
sparcl,36,22
spark.sas7bdat,2,2
sparkavro,5,5
sparkbq,4,4
sparkhail,33,28
sparkline,5,5
sparklyr,2321,1173
sparklyr.flint,34,28
sparklyr.nested,31,26
sparktf,2,2
sparkwarc,9,7
sparkxgb,12,10
sparr,200,86
sparrpowR,22,8
sparseBC,19,17
SparseBiplots,5,5
sparsebnUtils,284,218
SparseChol,7,5
SparseDC,17,7
sparsediscrim,171,103
sparseEigen,15,6
SparseFactorAnalysis,88,20
sparseFLMM,16,15
sparseGAM,18,11
sparsegl,52,32
SparseGrid,15,12
sparseHessianFD,16,12
sparseIndexTracking,7,5
sparseinv,9,5
sparseLDA,16,11
SparseLPM,5,4
sparseLRMatrix,3,3
SparseM,21,6
sparseMatEst,23,21
SparseMDC,26,10
SPARSEMODr,16,9
SparseMSE,40,19
sparseMVN,6,6
sparsenet,38,21
sparsepca,6,6
sparseR,66,45
sparsereg,32,22
sparsestep,17,9
sparsesvd,1,1
sparseSVM,12,9
SparseTSCGM,15,9
sparsevar,125,59
SparseVFC,7,4
sparsio,5,4
sparta,105,75
SPARTAAS,159,54
SPAS,36,13
spass,93,32
spate,98,40
SpatEntropy,42,12
SPAtest,104,41
spatgeom,13,9
spatgraphs,63,39
spathial,25,13
SpatialAcc,2,2
SpatialBSS,89,46
spatialCovariance,62,41
spatialEco,490,164
SpatialEpi,29,17
SpatialExtremes,650,83
SpatialfdaR,33,18
spatialfusion,56,32
SpatialGEV,20,13
SpatialGraph,35,21
SpatialKDE,4,3
SpatialML,3,2
SpatialNP,53,19
SpatialPack,19,14
SpatialPOP,3,2
SpatialPosition,29,15
spatialprobit,106,54
spatialreg,350,207
SpatialRegimes,24,8
spatialRF,67,35
spatialrisk,41,17
SpatialRoMLE,8,5
spatialsample,88,67
spatialTIME,20,15
SpatialTools,51,25
SpatialVS,49,21
SpatialVx,580,268
spatialwarnings,283,151
spatialwidget,30,26
spatPomp,89,23
SpATS,61,24
spatstat,7,6
spatstat.core,3252,1023
spatstat.data,1,1
spatstat.geom,3015,1041
spatstat.gui,32,18
spatstat.Knet,2,2
spatstat.linnet,592,253
spatstat.local,200,74
spatstat.random,308,143
spatstat.sparse,85,43
spatstat.utils,218,169
spatsurv,686,165
SPB,3,3
spbabel,70,48
spBayes,76,34
spBayesSurv,1,1
spBFA,48,30
Spbsampling,5,5
spc,171,79
spc4sts,37,25
spcadjust,25,18
SPCALDA,13,6
SPCAvRP,12,8
SPCDAnalyze,24,9
SPCompute,319,48
spcov,34,15
spCP,62,36
spcr,20,10
spd,50,12
spData,1,1
spDates,13,8
spdep,444,187
spdownscale,2,2
spdplyr,29,17
spduration,47,33
spdynmod,29,21
speakr,4,4
speaq,31,22
spearmanCI,13,5
spec,30,24
SpecDetec,15,9
SpecHelpers,12,9
SPECIES,19,16
specieschrom,8,7
SPECK,2,2
specklestar,6,6
specr,11,8
specs,13,7
SpecsVerification,77,59
spectacles,23,18
spectator,28,2
spectr,7,6
spectral,55,25
spectralAnalysis,200,71
SpectralClMixed,1,1
spectralGP,6,4
spectralGraphTopology,252,70
SpectralMap,1,1
spectralR,5,5
spectre,8,5
spectrino,39,39
spectrolab,175,71
Spectrum,18,13
SPEDInstabR,7,4
speech,15,10
speechbr,8,6
speedglm,103,48
speedycode,5,5
spef,111,54
speff2trial,56,21
SPEI,23,9
spellcheckr,31,14
spelling,48,32
spemd,3,3
sperich,20,14
sperrorest,55,34
SpeTestNP,269,27
spex,25,19
spfda,21,15
spfilteR,72,27
spflow,316,153
spFSR,27,13
spFW,260,69
spGARCH,81,18
spgs,100,75
spgwr,22,18
SphereOptimize,9,4
spherepc,57,20
sphereplot,3,3
SphericalCubature,59,29
SphericalK,9,6
sphet,136,51
sphunif,480,191
SPIAssay,3,3
spider,66,38
spiderbar,10,8
spidR,12,7
SPIGA,22,12
spikes,71,19
spikeslab,52,28
spikeSlabGAM,121,44
Spillover,28,10
SPINA,20,13
spinBayes,24,18
spind,52,28
spinifex,105,34
spinyReg,10,4
spiR,5,5
spiralize,224,74
spiritR,6,6
spiro,138,65
splancs,139,60
splash,35,13
spldv,36,20
SPLICE,22,14
splines2,53,47
splinetree,85,33
Splinets,381,62
SPlit,7,4
splitFeas,3,1
splitfngr,13,3
SplitGLM,10,9
splithalf,27,7
splithalfr,22,15
SplitKnockoff,20,9
SplitReg,7,6
splitSelect,21,14
SplitSoftening,33,19
splitstackshape,29,19
splitTools,6,4
splm,775,92
splmm,124,48
splot,39,15
spls,27,13
splus2R,20,9
splusTimeDate,121,18
splusTimeSeries,16,6
splutil,6,5
spm,37,19
spm2,7,6
spMaps,4,2
spMC,25,14
SPmlficmcm,130,25
spmodel,735,182
spmoran,191,62
spnaf,11,7
spnet,3,2
spNetwork,417,132
SpNMF,27,11
spNNGP,39,21
spocc,433,176
spOccupancy,176,52
spoiler,2,2
spongebob,15,12
spongecake,5,4
spooky,52,18
spork,64,34
sport,59,31
SportsTour,6,6
sportyR,288,139
SPOT,492,211
spotGUI,117,57
spotidy,18,16
spotifyr,40,35
SPOTMisc,95,43
spotoroo,46,35
SpotSampling,20,10
spp,160,61
SPPcomb,33,8
spqdep,56,31
SPQR,55,28
spray,23,21
spreadr,2,1
SPREDA,41,26
SPreg,27,8
spreval,21,12
sprex,43,18
springer,12,8
springpheno,66,12
spRingsteen,2,2
sprintr,16,8
sprtt,21,14
spruce,56,27
sps,27,19
spsComps,42,22
spselect,21,15
spsh,32,15
spsi,73,31
SPSP,3,2
spsur,105,40
spsurv,49,28
spsurvey,149,74
spsUtil,29,14
spt,10,10
spTDyn,60,47
SpTe2M,25,8
spThin,4,4
spTimer,154,81
sptm,73,54
sptotal,44,35
spup,46,32
spuRs,23,20
SPUTNIK,46,17
sqldf,15,12
sqliter,20,7
sqliteutils,1,1
sqlparseR,1,1
SqlRender,29,20
sqlscore,17,11
sqlstrings,5,3
SQN,3,3
SQRL,140,27
squant,53,26
SQUAREM,7,6
squash,26,16
squat,68,55
SqueakR,43,24
squeezy,34,7
squid,43,24
sra,33,11
SRCS,2,2
sRDA,12,9
sRdpData,2,2
sregsurvey,5,4
srm,204,96
sRNAGenetic,36,14
srp,14,6
SRS,18,9
srt,20,13
SRTsim,77,31
SRTtools,18,11
srvyr,405,166
ss3sim,111,57
ssaBSS,42,29
ssanv,6,4
SSBtools,316,157
ssc,140,45
sscor,19,10
ssddata,2,2
SSDforR,2,2
SSDM,11,6
sSDR,22,13
ssdtools,316,179
sse,18,4
ssev,6,4
ssfa,19,11
ssgraph,3,3
ssh,24,18
SSHAARP,17,9
Sshaped,5,5
sship,35,19
ssimparser,12,8
ssize.fdr,51,9
ssizeRNA,7,4
SSLASSO,3,3
SSLR,275,146
SSM,44,31
ssmn,92,33
ssmodels,45,28
ssMousetrack,15,8
ssmrob,8,3
SSN,105,66
SSNbayes,15,7
SSOSVM,4,4
SSP,27,19
sspse,142,59
ssr,20,14
SSRA,10,9
SSrat,25,10
ssrm.logmer,4,2
SSRMST,3,2
ssrn,11,9
SSRTcalc,5,5
sss,36,22
sssc,29,21
SSsimple,9,2
Sstack,2,2
SSVS,7,7
ssym,1224,43
st,34,23
sta,53,13
stabiliser,31,22
stability,35,16
StabilizedRegression,42,16
stable,39,27
stabledist,78,18
StableEstim,386,144
stableGR,36,10
stablelearner,123,55
stablespec,69,37
stabm,28,20
stabreg,46,21
stabs,41,29
StackImpute,18,8
stackoverflow,70,56
stacks,126,92
stacomiR,180,17
stacomirtools,21,7
stagedtrees,148,73
stagePop,36,20
staggered,56,22
StakeholderAnalysis,22,10
StAMPP,7,7
stampr,26,20
stan4bart,163,76
STAND,34,18
standardize,77,45
standartox,21,12
StanHeaders,5,3
StanMoMo,25,19
stapler,8,5
staplr,28,12
staRdom,172,94
stargazer,9,1
starma,21,17
starnet,9,6
starry,10,9
stars,669,280
starschemar,169,120
starsExtra,43,30
starsTileServer,15,7
STARTdesign,14,9
starter,62,44
startR,69,44
STARTS,50,30
startup,131,69
startupmsg,19,12
starvars,39,24
starvz,302,187
starwarsdb,17,14
stat.extend,173,42
Stat2Data,4,3
statar,87,61
statBasics,8,6
statcanR,2,2
statcheck,14,8
statcomp,79,47
StatDataML,38,20
statebins,5,3
states,21,17
statespacer,79,26
statgenGWAS,32,25
statgenGxE,32,23
statgenHTP,74,35
statgenIBD,14,11
statgenMPP,16,11
statgenSTA,102,38
statGraph,120,60
static,3,3
stationaRy,22,15
stationery,9,8
statip,5,4
StatMatch,55,20
statmod,184,60
statnet,2,2
statnet.common,163,112
statnipokladna,33,25
StatPerMeCo,29,11
statpsych,142,142
statquotes,9,8
StatRank,182,83
stats19,37,28
stats4teaching,18,8
statsearchanalyticsr,6,4
statsExpressions,9,9
statsr,44,31
statswalesr,3,3
statVisual,100,19
STB,13,8
stcos,58,35
stcov,11,6
stddiff,3,3
stdmod,73,36
stdReg,45,24
stdvectors,13,12
steadyICA,65,30
steepness,11,11
SteinerNet,23,17
SteinIV,16,7
stellaR,29,22
StemAnalysis,1,1
stemmatology,13,10
StempCens,100,26
stencilaschema,179,50
stenR,86,60
StepBeta,14,7
STEPCAM,36,20
stepdownfdp,1,1
stepgbm,1,1
stepjglm,36,7
stepp,87,36
SteppedPower,48,27
stepPenal,83,19
stepPlr,29,12
stepR,66,23
StepReg,9,1
steprf,6,5
steps,133,73
StepSignalMargiLike,15,11
stepSplitReg,11,7
StepwiseTest,1,1
StereoMorph,287,103
stevedore,732,337
stevemisc,56,40
stevetemplates,11,11
stfit,90,38
STFTS,25,10
STGS,6,6
STI,2,2
sticky,13,11
stilt,15,11
stima,15,10
stinepack,1,1
stlARIMA,1,1
stlELM,1,1
stlnpp,59,31
stlplus,104,32
stlTDNN,1,1
stm,262,137
stmCorrViz,9,6
STMedianPolish,5,3
stmgui,9,9
stminsights,1,1
StMoMo,117,70
StMoSim,2,2
STMotif,36,19
STMr,67,44
stocc,5,4
stochprofML,97,13
stochQN,56,40
stochvol,190,121
stochvolTMB,13,11
stockAnalyst,55,55
stockfish,1,1
stockR,34,21
stocks,58,20
stoichcalc,3,2
stokes,8,4
stopdetection,11,8
STOPES,3,3
stoppingrule,14,10
stopwords,7,5
Storm,8,8
storr,200,97
stortingscrape,23,23
stoRy,178,84
stosim,1,1
STPGA,43,20
stplanr,144,107
stpm,136,90
stpp,33,14
stppSim,30,12
stR,90,26
str2str,131,64
StrainRanking,3,3
strand,13,10
strap,20,11
strat,12,8
stratallo,30,19
stratamatch,42,33
stratbr,22,10
strategicplayers,3,2
Strategy,34,19
stratEst,47,32
StrathE2E2,3000,162
stratification,101,30
StratifiedBalancing,7,7
StratifiedMedicine,168,81
StratifiedRF,7,6
StratifiedSampling,58,34
stratifyR,131,83
StratigrapheR,337,67
StratSel,4,3
STraTUS,28,10
stratvns,25,10
straweib,30,9
strawr,2,2
stray,7,6
stream,333,114
streambugs,108,74
streamDepletr,8,8
StreamMetabolism,1,1
streamMOA,17,10
streamR,49,10
stressaddition,26,12
stressr,14,14
StressStrength,3,1
strex,101,66
strider,2,2
String2AdjMatrix,2,2
string2path,6,6
stringb,108,74
stringdist,40,24
stringfish,21,21
stringi,172,160
stringr,89,64
stringx,55,42
stripless,30,17
striprtf,8,7
STRMPS,9,5
strucchange,256,95
strucchangeRcpp,324,100
StrucDiv,15,8
StructFDR,39,14
structree,8,4
StructureMC,1,1
strvalidator,340,56
stuart,51,19
studentlife,43,35
studyStrap,3,3
STV,3,3
styler,549,286
stylest,6,5
stylo,126,61
subcopem2D,116,26
SubCultCon,16,4
subdetect,3,2
subformula,15,9
subgroup,19,9
SubgrPlots,93,45
subgxe,9,4
submax,5,3
subniche,40,22
SubpathwayLNCE,33,17
subplex,1,1
subrank,10,7
subsamp,6,3
subscore,58,14
subscreen,17,10
subselect,71,35
subsemble,1,1
subspace,32,20
subtee,43,23
SubTite,15,10
SubtypeDrug,23,7
success,70,34
sudachir,7,7
suddengains,13,7
sudoku,24,17
sudokuAlt,27,25
SuessR,3,3
sugrrants,108,48
sumFREGAT,190,78
summariser,8,5
SummaryLasso,9,6
summarytools,348,57
summclust,35,16
SUMMER,135,40
sumR,12,11
sumSome,33,20
sunburstR,7,7
suncalc,8,3
Sunclarco,20,13
SUNGEO,15,8
SunsVoc,17,13
supc,8,6
supclust,37,22
supcluster,51,25
superb,141,90
superbiclust,16,15
supercells,17,10
supercompress,13,5
superdiag,8,6
SuperExactTest,71,28
SuperGauss,76,56
superheat,36,21
SuperLearner,121,80
superMICE,11,7
supernova,207,100
superpc,58,25
SuperpixelImageSegmentation,3,3
Superpower,60,42
SuperRanker,13,12
supervisedPRIM,1,1
SupMZ,2,2
support.BWS,8,8
support.BWS2,2,2
support.BWS3,3,2
support.CEs,7,7
sur,11,10
surbayes,17,12
sure,98,78
sureLDA,33,11
surf,68,36
SuRF.vs,22,13
surface,16,8
SurfaceTortoise,3,2
Surrogate,208,92
SurrogateOutcome,66,14
SurrogateRegression,95,32
SurrogateTest,41,13
surrosurvROC,9,6
suRtex,7,6
surv2sampleComp,16,9
survAUC,38,27
survAWKMT2,18,5
survBootOutliers,28,13
survC1,23,11
survCurve,46,15
SurvDisc,29,19
surveil,53,32
surveillance,2105,521
survELtest,77,40
survex,80,48
survexp.fr,41,4
survey,1034,522
surveyCV,3,3
surveydata,87,62
surveyoutliers,4,2
surveyplanning,7,6
surveyvoi,71,39
survHE,149,81
SurvHiDim,11,11
survIDINRI,29,15
survidm,65,29
survival,709,328
survival.svb,15,14
survival666,6,3
survivalAnalysis,28,21
survivalmodels,31,19
survivalMPL,34,18
survivalMPLdc,116,49
SurvivalPath,45,26
survivalREC,18,7
survivalROC,3,1
survivalsvm,249,114
survivoR,18,13
survJamda,84,32
SurvLong,23,12
SurvMetrics,17,13
SurvMI,21,12
survminer,48,29
survMisc,54,44
survmixer,27,13
survout,29,13
survParamSim,41,27
survPen,48,25
survPresmooth,65,12
SurvRegCensCov,73,24
survRM2,13,7
survRM2adapt,9,5
