Package,authorsR
rkt,Aldo Marchetto
RKUM,Ashad Alam
rkvo,Vehbi Sinan Tunalioglu
Rlab,Dennis D. Boos
Rlab,Douglas Nychka
Rlabkey,Peter Hussey
rLakeAnalyzer,Luke Winslow
rLakeAnalyzer,Jordan Read
rLakeAnalyzer,Richard Woolway
rLakeAnalyzer,Jennifer Brentrup
rLakeAnalyzer,Taylor Leach
rLakeAnalyzer,Jake Zwart
rLakeAnalyzer,Sam Albers
rLakeAnalyzer,Doug Collinge
rlang,Lionel Henry
rlang,Hadley Wickham
rlang,Mikefc
rlang,Yann Collet
rlang,Posit
rlas,Jean-Romain Roussel
rlas,Florian De Boissieu
rlas,Martin Isenburg
rlas,David Auty
rlas,Pierrick Marie
rlas,Tiago De Conto
rlc,Svetlana Ovchinnikova
rlc,Simon Anders
rlcv,Ximing Wu
rLDCP,Patricia Conde-Clemente
rle,Pavel N. Krivitsky
RLeafAngle,Wei-Min Wang
rleafmap,Francois Keck
rlecuyer,Hana Sevcikova
rlecuyer,Tony Rossini
rlecuyer,Pierre L'ecuyer
rlemon,Arav Agarwal
rlemon,Aditya Tewari
rlemon,Josh Errickson
rless,Jonas Vaclavek
rless,Jakub Kuzilek
rlfsm,Dmitry Otryakhin
rlfsm,Stepan Mazur
rlfsm,Mathias Ljungdahl
rLFT,Samuel Fay
rLFT,William Kirkpatrick
rLFT,Shannon E Albeke
Rlgt,Slawek Smyl
Rlgt,Christoph Bergmeir
Rlgt,Erwin Wibowo
Rlgt,To Wang Ng
Rlgt,Xueying Long
Rlgt,Alexander Dokumentov
Rlgt,Daniel Schmidt
Rlibeemd,Jouni Helske
Rlibeemd,Perttu Luukko
Rlibkdv,Bojian Zhu
Rlibkdv,Tsz Nam Chan
Rlibkdv,Jianliang Xu
Rlibkdv,Libkdv Group
rlibkriging,Pascal Have
rlibkriging,Yann Richet
rlibkriging,Yves Deville
rlibkriging,Conrad Sanderson
rlibkriging,Colin Fang
rlibkriging,Ciyou Zhu
rlibkriging,Richard Byrd
rlibkriging,Jorge Nocedal
rlibkriging,Jose Luis Morales
rLiDAR,Carlos Alberto Silva
rLiDAR,Nicholas L. Crookston
rLiDAR,Andrew T. Hudak
rLiDAR,Lee A. Vierling
rLiDAR,Carine Klauberg
rLiDAR,Adrian Cardil
rLiDAR,Caio Hamamura
rliger,Joshua Welch
rliger,Chao Gao
rliger,Jialin Liu
rliger,Joshua Sodicoff
rliger,Velina Kozareva
rliger,Evan Macosko
rliger,Paul Hoffman
rliger,Ilya Korsunsky
rliger,Robert Lee
Rlinkedin,Michael Piccirilli
Rlinsolve,Kisung You
rlist,Kun Ren
rlistings,Gabriel Becker
rlistings,Adrian Waddell
rlistings,Joe Zhu
rlistings,Davide Garolini
rlistings,Emily De La Rua
rlistings,Abinaya Yogasekaram
rlmDataDriven,You-Gan Wang
rlmDataDriven,Benoit Liquet
rlmDataDriven,Aurelien Callens
rlmDataDriven,Na Wang.
rlme,Yusuf Bilgic
rlme,Herb Susmann
rlme,Joseph Mckean
Rlof,Yingsong Hu
Rlof,Wayne Murray
Rlof,Yin Shan
rlog,Mark Sellors
RLogicalOps,Sunny Kumar
RLRsim,Fabian Scheipl
RLRsim,Ben Bolker
RLT,Ruoqing Zhu
rLTP,Tong He
RLumCarlo,Johannes Friedrich
RLumCarlo,Sebastian Kreutzer
RLumCarlo,Vasilis Pagonis
RLumCarlo,Christoph Schmidt
RLumCarlo,Christian Laag
RLumCarlo,Ena Rajovic
RLumCarlo,Alex Roy Duncan
RLumModel,Johannes Friedrich
RLumModel,Sebastian Kreutzer
RLumModel,Christoph Schmidt
RLumShiny,Christoph Burow
RLumShiny,Urs Tilmann Wolpert
RLumShiny,Sebastian Kreutzer
RLumShiny,Jan Odvarko
RLumShiny,Rstudio
rly,Marek Jagielski
rly,David M. Beazley
rly,Yasutaka Tanaka
rly,Henrico Witvliet
RM.weights,Carlo Cafiero
RM.weights,Sara Viviani
RM.weights,Mark Nord
RM2006,Carlos Trucios
rma.exact,Haben Michael
rma.exact,Lu Tian
RMaCzek,Albin Vasterlund
RMaCzek,Krzysztof Bartoszek
RMaCzek,Ying Luo
RMaCzek,Piotr Jaskulski
rmake,Michal Burda
RMallow,Erik Gregory
Rmalschains,Christoph Bergmeir
Rmalschains,Jose M. Benitez
Rmalschains,Daniel Molina
Rmalschains,Robert Davies
Rmalschains,Dirk Eddelbuettel
Rmalschains,Nikolaus Hansen
Rmalschains,Richard J. Wagner
rmangal,Steve Vissault
rmangal,Kevin Cazelles
rmangal,Gabriel Bergeron
rmangal,Benjamin Mercier
rmangal,Clement Violet
rmangal,Dominique Gravel
rmangal,Timothee Poisot
rmangal,Thomas Lin Pedersen
rmangal,Anna Willoughby
rmapshaper,Andy Teucher
rmapshaper,Kenton Russell
rmapshaper,Matthew Bloch
rmapzen,Tarak Shah
rmapzen,Daniel Possenriede
rmarchingcubes,S. H. Wilks
rmargint,Alejandra Martinez
rmargint,Matias Salibian-Barrera
RMariaDB,Kirill Muller
RMariaDB,Jeroen Ooms
RMariaDB,David James
RMariaDB,Saikat Debroy
RMariaDB,Hadley Wickham
RMariaDB,Jeffrey Horner
RMariaDB,R Consortium
RMariaDB,Rstudio
RmarineHeatWaves,Albertus J. Smit
RmarineHeatWaves,Eric C. J. Oliver
RmarineHeatWaves,Robert W. Schlegel
RMark,Jeff Laake
rmarkdown,Jj Allaire
rmarkdown,Yihui Xie
rmarkdown,Christophe Dervieux
rmarkdown,Jonathan Mcpherson
rmarkdown,Javier Luraschi
rmarkdown,Kevin Ushey
rmarkdown,Aron Atkins
rmarkdown,Hadley Wickham
rmarkdown,Joe Cheng
rmarkdown,Winston Chang
rmarkdown,Richard Iannone
rmarkdown,Andrew Dunning
rmarkdown,Atsushi Yasumoto
rmarkdown,Barret Schloerke
rmarkdown,Carson Sievert
rmarkdown,Devon Ryan
rmarkdown,Frederik Aust
rmarkdown,Jeff Allen
rmarkdown,Jooyoung Seo
rmarkdown,Malcolm Barrett
rmarkdown,Rob Hyndman
rmarkdown,Romain Lesur
rmarkdown,Roy Storey
rmarkdown,Ruben Arslan
rmarkdown,Sergio Oller
rmarkdown,Posit Software
rmarkdown,Mark Otto
rmarkdown,Jacob Thornton
rmarkdown,Twitter
rmarkdown,Alexander Farkas
rmarkdown,Scott Jehl
rmarkdown,Ivan Sagalaev
rmarkdown,Greg Franko
rmarkdown,John Macfarlane
rmarkdown,Dave Raggett
rmarkdown,Dave Gandy
rmarkdown,Ben Sperry
rmarkdown,Aidan Lister
rmarkdown,Benct Philip Jonsson
rmarkdown,Albert Krewinkel
rmass2,Yiheng Wei
rmass2,Soumya Sahu
rmass2,Donald Hedeker
RMAT,Ali Taqi
RMAT,Jonathan Wells
rmatio,Stefan Widgren
rmatio,Christopher Hulbert
RMAWGEN,Emanuele Cordano
RMAWGEN,Emanuele Eccel
rmBayes,Zhengxiao Wei
rmBayes,Farouk S. Nathoo
rmBayes,Michael E.j. Masson
RMBC,Juan Domingo Gonzalez
RMBC,Victor J. Yohai
RMBC,Ruben H. Zamar
RMBC,Ricardo Maronna
RMCC,Jean-Romain Roussel
RMCC,Evans Jeffrey S
RMCC,Hudak Andrew T
RMCC,Green Code Llc
RMCC,Jarno Elonen
RMCC,Thomas Becker
rmcfs,Michal Draminski
rmcfs,Jacek Koronacki
rmcfs,Julian Zubek
rmcorr,Jonathan Z. Bakdash
rmcorr,Laura R. Marusich
rmda,Marshall Brown
rmdcev,Patrick Lloyd-Smith
RmdConcord,Duncan Murdoch
RmdConcord,Heather Turner
rmdfiltr,Frederik Aust
rmdfiltr,Marius Barth
rmdformats,Julien Barnier
rmdHelpers,Mark Peterson
rmdpartials,Ruben Arslan
rmdpartials,Gjalt-Jorn Peters
rmdplugr,Johan Larsson
rmdwc,Sigbert Klinke
rMEA,Johann R. Kleinbub
rMEA,Fabian Ramseyer
RmecabKo,Junhewk Kim
RMediation,Davood Tofighi
rmeta,Thomas Lumley
rmetalog,Isaac Faber
rmetalog,Jongbin Jung
rmfanova,Katarzyna Kurylo
rmfanova,Lukasz Smaga
rmgarch,Alexios Galanos
rmi,Isaac Michaud
rMIDAS,Thomas Robinson
rMIDAS,Ranjit Lall
rMIDAS,Alex Stenlake
rMIDAS,Elviss Dvinskis
rminer,Paulo Cortez
rminizinc,Akshit Achara
rminizinc,Lars Kotthoff
rminizinc,Hans W. Borchers
rminizinc,Guido Tack
rminqa,Sam Watson
rminqa,Yi Pan
rminqa,Eric Thiebaut
rminqa,Mike Powell
rmio,Florian Prive
rMisbeta,Shahjaman
rMisbeta,Nurul Haque Mollah
Rmisc,Ryan M. Hope
Rmixmod,Florent Langrognet
Rmixmod,Remi Lebret
Rmixmod,Christian Poli
Rmixmod,Serge Iovleff
Rmixmod,Benjamin Auder
Rmixmod,Parmeet Bhatia
Rmixmod,Anwuli Echenim
Rmixmod,Serge Iovleff
Rmixmod,Christophe Biernacki
Rmixmod,Gilles Celeux
Rmixmod,Gerard Govaert
Rmixmod,Quentin Grimonprez
RMixpanel,Meinhard Ploner
RMixtComp,Vincent Kubicki
RMixtComp,Christophe Biernacki
RMixtComp,Quentin Grimonprez
RMixtComp,Matthieu Marbac-Lourdelle
RMixtComp,Etienne Goffinet
RMixtComp,Serge Iovleff
RMixtComp,Julien Vandaele
RMixtCompIO,Vincent Kubicki
RMixtCompIO,Christophe Biernacki
RMixtCompIO,Quentin Grimonprez
RMixtCompIO,Serge Iovleff
RMixtCompIO,Matthieu Marbac-Lourdelle
RMixtCompIO,Etienne Goffinet
RMixtCompIO,Patrick Wieschollek
RMixtCompIO,Tobias Wood
RMixtCompIO,Julien Vandaele
RMixtCompUtilities,Vincent Kubicki
RMixtCompUtilities,Christophe Biernacki
RMixtCompUtilities,Quentin Grimonprez
RMixtCompUtilities,Matthieu Marbac-Lourdelle
RMixtCompUtilities,Etienne Goffinet
RMixtCompUtilities,Serge Iovleff
RMixtCompUtilities,Julien Vandaele
RMKdiscrete,Robert M. Kirkpatrick
RMLPCA,Renan Santos Barbosa
RMM,Chul Kim
RMM,Sanghoon Cho
RMM,Jongho Im
RMOA,Jan Wijffels
RMOAjars,See File Authors
Rmodule,John Hughes
Rmolt,Martin Bozon
rmonad,Zebulun Arendsee
rmoo,Francisco Benitez
rmoo,Diego Pinto Roa
RMOPI,Wei Ling
RMOPI,Yang Liu
rMOST,Chelsea Song
rMOST,Yesuel Kim
rmp,Antonio Canale
rmp,Nicola Lunardon
Rmpfr,Martin Maechler
Rmpfr,Richard M. Heiberger
Rmpfr,John C. Nash
Rmpfr,Hans W. Borchers
Rmpi,Hao Yu
RMPSH,Priyam Das
RMPSH,Debsurya De
rmpw,Xu Qin
rmpw,Guanglei Hong
rmpw,Fan Yang
rMR,Tyler L. Moulton
rms,Frank E Harrell Jr
rmsb,Frank Harrell
rmsb,Ben Goodrich
rmsb,Ben Bolker
rmsb,Doug Bates
rmsfact,Dirk Eddelbuettel
rmsfuns,Nico Katzke
RMSNumpress,Justin Sing
RMSNumpress,Johan Teleman
RMSS,Anthony Christidis
RMSS,Gabriela Cohen-Freue
Rmst,Xiao Luo
rmstcompsens,Kentaro Ueno
rmt,Lu Mao
RMT4DS,Xiucai Ding
RMT4DS,Yichen Hu
RMThreshold,Uwe Menzel
RMTL,Han Cao
RMTL,Emanuel Schwarz
RMTstat,Iain M. Johnstone
RMTstat,Zongming Ma
RMTstat,Patrick O. Perry
RMTstat,Morteza Shahram
RMTstat,Evan Biederstedt
rMultiNet,Chenyu Ren
rmumps,Serguei Sokol
rmumps,Emmanuel Agullo
rmumps,Patrick Amestoy
rmumps,Maurice Bremond
rmumps,Alfredo Buttari
rmumps,Philippe Combes
rmumps,Marie Durand
rmumps,Aurelia Fevre
rmumps,Abdou Guermouche
rmumps,Guillaume Joslin
rmumps,Jacko Koster
rmumps,Jean-Yves L'excellent
rmumps,Stephane Pralet
rmumps,Chiara Puglisi
rmumps,Francois-Henry Rouet
rmumps,Wissam Sid-Lakhdar
rmumps,Tzvetomila Slavova
rmumps,Bora Ucar
rmumps,Clement Weisbecker
rmumps,Juergen Schulze
rmumps,George Karypis
rmumps,Douglas C. Schmidt
rmumps,Isamu Hasegawa
rmumps,Alexander Chemeris
rmumps,Makoto Matsumoto
rmumps,Takuji Nishimura
rmumps,Francois Pellegrini
rmumps,David Goudin
rmumps,Pascal Henon
rmumps,Pierre Ramet
rmumps,Sebastien Fourestier
rmumps,Jun-Ho Her
rmumps,Cedric Chevalier
rmumps,Timothy A. Davis
rmumps,Iain S. Duff
rmumps,John K. Reid
rmumps,Richard Stallman
rmumps,Samuel Thibault
rmumps,Alexander Chemeris
rmumps,Makoto Matsumoto
rmumps,Takuji Nishimura
rmutil,Bruce Swihart
rmutil,Jim Lindsey
rmutil,K. Sikorski
rmutil,F. Stenger
rmutil,J. Schwing
RMVL,Vladimir Dergachev
rMVP,Lilin Yin
rMVP,Haohao Zhang
rMVP,Zhenshuang Tang
rMVP,Jingya Xu
rMVP,Dong Yin
rMVP,Zhiwu Zhang
rMVP,Xiaohui Yuan
rMVP,Mengjin Zhu
rMVP,Shuhong Zhao
rMVP,Xinyun Li
rMVP,Qishan Wang
rMVP,Feng Tian
rMVP,Hyunmin Kang
rMVP,Xiang Zhou
rMVP,Xiaolei Liu
rmweather,Stuart K. Grange
RMySQL,Jeroen Ooms
RMySQL,David James
RMySQL,Saikat Debroy
RMySQL,Hadley Wickham
RMySQL,Jeffrey Horner
RMySQL,Rstudio
rmytarget,Alexey Seleznev
rmzqc,Chris Bielow
rmzqc,David Jimenez-Morales
RNAseqNet,Alyssa Imbert
RNAseqNet,Nathalie Vialaneix
RNAseqQC,Frederik Ziebell
RNAsmc,Zheng Hewei
rnassqs,Nicholas Potter
rnassqs,Robert Dinterman
rnassqs,Jonathan Adams
rnassqs,Joseph Stachelek
rnassqs,Julia Piaskowski
rnassqs,Adam Sparks
rnassqs,Neal Richardson
rnaturalearth,Philippe Massicotte
rnaturalearth,Andy South
rnaturalearth,Koen Hufkens
rnaturalearthdata,Andy South
RnavGraphImageData,Adrian Waddell
RnavGraphImageData,R. Wayne Oldford
RNaviCell,Eric Bonnet
RNaviCell,Paul Deveau
rnbp,Ryszard Szymanski
RNCBIEUtilsLibs,Martin Schumann
RNCEP,Michael U. Kemp
rncl,Francois Michonneau
rncl,Ben Bolker
rncl,Mark Holder
rncl,Paul Lewis
rncl,Brian O'meara
RND,Kam Hamidieh
rNeighborGWAS,Yasuhiro Sato
rNeighborGWAS,Eiji Yamamoto
rNeighborGWAS,Kentaro K. Shimizu
rNeighborGWAS,Atsushi J. Nagano
rNeighborQTL,Yasuhiro Sato
rNeighborQTL,Kazuya Takeda
rNeighborQTL,Atsushi J. Nagano
RNentropy,Federico Zambelli
RNentropy,Giulio Pavesi
rneos,Bernhard Pfaff
rneos,Duncan Temple Lang
rnetcarto,Daniel B. Stouffer
rnetcarto,Guilhem Doulcier
rnetcarto,Roger Guimera
RNetCDF,Pavel Michna
RNetCDF,Milton Woods
RNetLogo,Jan C. Thiele
RNewsflow,Kasper Welbers
RNewsflow,Wouter Van Atteveldt
RNeXML,Carl Boettiger
RNeXML,Scott Chamberlain
RNeXML,Hilmar Lapp
RNeXML,Kseniia Shumelchyk
RNeXML,Rutger Vos
RNGforGPD,Hesen Li
RNGforGPD,Ruizhe Chen
RNGforGPD,Hai Nguyen
RNGforGPD,Yu-Che Chung
RNGforGPD,Ran Gao
RNGforGPD,Hakan Demirtas
rngSetSeed,Petr Savicky
rngtools,Renaud Gaujoux
rngtools,Max Kuhn
RNHANES,Herb Susmann
RNifti,Jon Clayden
RNifti,Bob Cox
RNifti,Mark Jenkinson
RNifti,Matt Hall
RNifti,Rick Reynolds
RNifti,Kate Fissell
RNifti,Jean-Loup Gailly
RNifti,Mark Adler
RNiftyReg,Jon Clayden
RNiftyReg,Marc Modat
RNiftyReg,Benoit Presles
RNiftyReg,Thanasis Anthopoulos
RNiftyReg,Pankaj Daga
Rnightly,Mohamed El Fodil Ihaddaden
rnmamod,Loukia Spineli
rnmamod,Chrysostomos Kalyvas
rnmamod,Katerina Papadimitropoulou
Rnmr1D,Daniel Jacob
Rnmr1D,Catherine Deborde
Rnmr1D,Marie Lefebvre
rnn,Bastiaan Quast
rnoaa,Scott Chamberlain
rnoaa,Daniel Hocking
rnoaa,Brooke Anderson
rnoaa,Maelle Salmon
rnoaa,Adam Erickson
rnoaa,Nicholas Potter
rnoaa,Joseph Stachelek
rnoaa,Alex Simmons
rnoaa,Karthik Ram
rnoaa,Hart Edmund
rNOMADS,Daniel C. Bowman
RNOmni,Zachary Mccaw
rnpn,Jeff Switzer
rnpn,Scott Chamberlain
rnpn,Lee Marsh
rnpn,Kevin Wong
rnpn,David Lebauer
rnpn,Eric R Scott
rnr,Jongbin Jung
rnrfa,Ilaria Prosdocimi
rnrfa,Claudia Vitolo
rnrfa,Matthew Fry
rnrfa,Wouter Buytaert
rnrfa,Michael Spencer
rnrfa,Tobias Gauster
Rnumerai,Omni Analytics Group
Rnumerai,Eric Hare
Rnumerai,Yogesh Bansal
Rnvd3,Stephane Laurent
Rnvd3,Michael Bostock
roadoi,Najko Jahn
roadoi,Tuija Sonkkila
roadoi,Ross Mounce
roadoi,Anne Hobert
roadoi,Delwen Franzen
roads,Sarah Endicott
roads,Kyle Lochhead
roads,Josie Hughes
roads,Patrick Kirby
roads,Her Majesty The Queen In Right Of Canada As Represented By The Minister Of The Environment
roahd,Nicholas Tarabelloni
roahd,Ana Arribas-Gil
roahd,Francesca Ieva
roahd,Anna Maria Paganoni
roahd,Juan Romo
roahd,Francesco Palma
roahd,Aymeric Stamm
roahd,Antonio Elias-Fernandez
ROAuth,Jeff Gentry
RobAStBase,Matthias Kohl
RobAStBase,Peter Ruckdeschel
RobAStBase,Mykhailo Pupashenko
RobAStBase,Gerald Kroisandt
RobAStBase,R Core Team
RobAStRDA,Matthias Kohl
RobAStRDA,Bernhard Spangl
RobAStRDA,Sascha Desmettre
RobAStRDA,Eugen Massini
RobAStRDA,Mykhailo Pupashenko
RobAStRDA,Daria Pupashenko
RobAStRDA,Gerald Kroisandt
RobAStRDA,Peter Ruckdeschel
robber,Saint-Clair Chabert-Liddell
robcbi,Alfio Marazzi
robCompositions,Matthias Templ
robCompositions,Karel Hron
robCompositions,Peter Filzmoser
robCompositions,Kamila Facevicova
robCompositions,Petra Kynclova
robCompositions,Jan Walach
robCompositions,Veronika Pintar
robCompositions,Jiajia Chen
robCompositions,Dominika Miksova
robCompositions,Bernhard Meindl
robCompositions,Alessandra Menafoglio
robCompositions,Alessia Di Blasi
robCompositions,Federico Pavone
robCompositions,Nikola Stefelova
robCompositions,Gianluca Zeni
robCompositions,Roman Wiederkehr
robcor,Paul Smirnov
robcp,Sheila Goerz
robcp,Alexander Duerre
roben,Jie Ren
roben,Fei Zhou
roben,Xiaoxi Li
roben,Cen Wu
robeth,Alfio Marazzi
RobExtremes,Nataliya Horbenko
RobExtremes,Bernhard Spangl
RobExtremes,Sascha Desmettre
RobExtremes,Eugen Massini
RobExtremes,Daria Pupashenko
RobExtremes,Gerald Kroisandt
RobExtremes,Matthias Kohl
RobExtremes,Peter Ruckdeschel
robfilter,Roland Fried
robfilter,Karen Schettlinger
robfilter,Matthias Borowski
robfilter,Robin Nunkesser
robfilter,Thorsten Bernholt
robflreg,Ufuk Beyaztas
robflreg,Han Lin Shang
RobGARCHBoot,Carlos Trucios
robin,Valeria Policastro
robin,Dario Righelli
robin,Luisa Cutillo
robin,Italia De Feis
robin,Annamaria Carissimo
RobinHood,Joseph Blubaugh
robis,Pieter Provoost
robis,Samuel Bosch
robis,Ward Appeltans
RobKF,Alex Tm Fisch
RobKF,Daniel Grose
RobKF,Idris A Eckley
RobKF,Paul Fearnhead
RobKF,Lawrence Bardwell
RobLox,Matthias Kohl
RobLox,Peter Ruckdeschel
RobLoxBioC,Matthias Kohl
RoBMA,Maximilian Maier
RoBMA,Eric-Jan Wagenmakers
RoBMA,Joris Goosen
RoBMA,Matthew Denwood
RoBMA,Martyn Plummer
robmed,Andreas Alfons
robmed,Nufer Y. Ates
robmedExtra,Andreas Alfons
robmedExtra,Aurore Archimbaud
robmedExtra,Vincent Drenth
robmixglm,Ken Beath
RobMixReg,Sha Cao
RobMixReg,Wennan Chang
RobMixReg,Chi Zhang
robnptests,Barbara Brune
robnptests,Roland Fried
roboBayes,Laura Wendelberger
roboBayes,Josh Gray
roboBayes,Brian Reich
roboBayes,Alyson Wilson
roboBayes,Shannon T. Holloway
robomit,Sergei Schaub
robotoolbox,Ahmadou Dicko
robotoolbox,Hisham Galal
robotstxt,Peter Meissner
robotstxt,Kun Ren
robotstxt,Oliver Keys
robotstxt,Rich Fitz John
RobPer,Anita M. Thieler
RobPer,Jonathan Rathjens
RobPer,Roland Fried
RobPer,Brenton R. Clarke
RobPer,Uwe Ligges
RobPer,Matias Salibian-Barrera
RobPer,Gert Willems
RobPer,Victor Yohai
robreg3S,Andy Leung
robreg3S,Hongyang Zhang
robreg3S,Ruben Zamar
robregcc,Aditya Mishra
robregcc,Christian Muller
RobRex,Matthias Kohl
RoBSA,Julia M. Haaf
RoBSA,Matthew Denwood
RoBSA,Martyn Plummer
robsel,Chau Tran
robsel,Sang-Yun Oh
robsel,Pedro Cisneros-Velarde
robsel,Alexander Petersen
robservable,Julien Barnier
robservable,Kenton Russell
robslopes,Jakob Raymaekers
RobStatTM,Matias Salibian-Barrera
RobStatTM,Victor Yohai
RobStatTM,Ricardo Maronna
RobStatTM,Doug Martin
RobStatTM,Gregory Brownson
RobStatTM,Kjell Konis
RobStatTM,Kjell Konis
RobStatTM,Christophe Croux
RobStatTM,Gentiane Haesbroeck
RobStatTM,Martin Maechler
RobStatTM,Manuel Koller
RobStatTM,Matias Salibian-Barrera
robStepSplitReg,Anthony Christidis
robStepSplitReg,Gabriela Cohen-Freue
robsurvey,Beat Hulliger
robsurvey,Tobias Schoch
robsurvey,Martin Sterchi
RoBTT,Maximilian Maier
robumeta,Zachary Fisher
robumeta,Elizabeth Tipton
robumeta,Hou Zhipeng
robust,Jiahui Wang
robust,Ruben Zamar
robust2sls,Jonas Kurle
RobustAFT,Alfio Marazzi
RobustAFT,Jean-Luc Muralti
RobustANOVA,Gamze Guven
RobustANOVA,Sukru Acitas
RobustANOVA,Birdal Senoglu
robustbase,Martin Maechler
robustbase,Peter Rousseeuw
robustbase,Christophe Croux
robustbase,Valentin Todorov
robustbase,Andreas Ruckstuhl
robustbase,Matias Salibian-Barrera
robustbase,Tobias Verbeke
robustbase,Manuel Koller
robustbase,Eduardo L. T. Conceicao
robustbase,Maria Anna Di Palma
RobustBayesianCopas,Ray Bai
robustbetareg,Felipe Queiroz
robustbetareg,Yuri Maluf
robustbetareg,Silvia Ferrari
RobustBF,Gamze Guven
RobustBF,Sukru Acitas
RobustBF,Hatice Samkar
RobustBF,Birdal Senoglu
robustBLME,Erlis Ruli
robustBLME,Nicola Sartori
robustBLME,Laura Ventura
RobustCalibration,Mengyang Gu
robustcov,Yunyi Shen
robustcov,David Simcha
robustDA,Charles Bouveyron
robustDA,Stephane Girard
robusTest,Olivier Bouaziz
robusTest,Jerome Dedecker
robusTest,Anatole Dedecker
robustETM,Chuan Hong
robustETM,Yong Chen
robustETM,Yang Ning
robustETM,Hao Wu
robustfa,Frederic Bertrand
robustfa,Ying-Ying Zhang Robert
RobustGaSP,Mengyang Gu
RobustGaSP,Jesus Palomo
RobustGaSP,James Berger
robustHD,Andreas Alfons
robustHD,Dirk Eddelbuettel
RobustIV,Taehyeon Koo
RobustIV,Zhenyu Wang
RobustIV,Hyunseung Kang
RobustIV,Dylan Small
RobustIV,Zijian Guo
RobustLinearReg,Santiago I. Hurtado
robustlm,Jin Zhu
robustlm,Borui Tang
robustlm,Yunlu Jiang
robustlm,Xueqin Wang
robustlmm,Manuel Koller
robustmeta,Hisashi Noma
robustmeta,Shonosuke Sugasawa
robustmeta,Toshi A. Furukawa
robustrank,Youyi Fong
RobustRankAggreg,Raivo Kolde
RobustRankAggreg,Sven Laur
robustrao,Maria Del Carmen Calatrava Moreno
robustreg,Ian M. Johnson
robustsae,Malay Ghosh
robustsae,Jiyoun Myung
robustsae,Fernando Moura
robustsur,Claudio Agostinelli
robustsur,Giovanni Saraceno
robustvarComp,Claudio Agostinelli
robustX,Martin Maechler
robustX,Werner A. Stahel
robustX,Rolf Turner
robustX,Ueli Oetliker
robustX,Tobias Schoch
robvis,Luke Mcguinness
robvis,Emily Kothe
Robyn,Gufeng Zhou
Robyn,Leonel Sentana
Robyn,Igor Skokan
Robyn,Bernardo Lares
Robyn,Meta Platforms
ROCaggregator,Pedro Mateus
rocbc,Leonidas Bantis
rocbc,Benjamin Brewer
rocbc,Christos Nakas
rocbc,Benjamin Reiser
rocc,Martin Lauss
roccv,Ben Sherwood
ROCFTP.MMS,Majid Nabipoor
ROCFTP.MMS,Duncan Murdoch
ROCit,Riaz Ahmed Khan
ROCit,Thomas Brandenburger
rock,Gjalt-Jorn Ygram Peters
rock,Szilvia Zorgo
rockchalk,Paul E. Johnson
rockchalk,Gabor Grothendieck
rockchalk,Dimitri Papadopoulos Orfanosgabor
rocker,Nikolaus Pawlowski
ROCket,Daniel Lazar
RockFab,Jeffrey R. Webber
rockr,Yannick Marcon
roclang,Xiurui Zhu
rocNIT,Zhicheng Du
rocNIT,Yuantao Hao
rocnp,Dragos Moldovan-Grunfeld
ROCnReg,Maria Xose Rodriguez-Alvarez
ROCnReg,Vanda Inacio
rococo,Martin Krone
rococo,Ulrich Bodenhofer
ROCpsych,Shenghai Dai
ROCpsych,Olasunkanmi J. Kehinde
ROCpsych,Maureen Schmitter-Edgecombe
ROCpsych,Brian F. French
ROCR,Tobias Sing
ROCR,Oliver Sander
ROCR,Niko Beerenwinkel
ROCR,Thomas Lengauer
ROCR,Thomas Unterthiner
ROCR,Felix G.m. Ernst
ROCSI,Xin Huang
rocsvm.path,Seung Jun Shin
rocsvm.path,Do Hyun Kim
rocTree,Yifei Sun
rocTree,Mei-Cheng Wang
rocTree,Sy Han Chiou
RODBC,Brian Ripley
RODBC,Michael Lapsley
RODBCDBI,Nagi Teramo
RODBCDBI,Shinichi Takayanagi
rodd,Roman Guchenko
rODE,Alfonso R. Reyes
rodeo,David Kneis
rofanova,Fabio Centofanti
rofanova,Bianca Maria Colosimo
rofanova,Marco Luigi Grasso
rofanova,Antonio Lepore
rofanova,Alessandra Menafoglio
rofanova,Biagio Palumbo
rofanova,Simone Vantini
roger,Vincent Goulet
roger,Samuel Frechette
roger,Jean-Christophe Langlois
roger,Jim Hester
Rogue,Martin R. Smith
Rogue,Andre J. Aberer
ROI,Kurt Hornik
ROI,David Meyer
ROI,Florian Schwendinger
ROI,Stefan Theussl
ROI,Diethelm Wuertz
ROI.models.globalOptTests,Florian Schwendinger
ROI.models.miplib,Florian Schwendinger
ROI.models.miplib,Stefan Theussl
ROI.models.netlib,Florian Schwendinger
ROI.plugin.alabama,Florian Schwendinger
ROI.plugin.clarabel,Benjamin Schwendinger
ROI.plugin.cplex,Stefan Theussl
ROI.plugin.cplex,Florian Schwendinger
ROI.plugin.deoptim,Florian Schwendinger
ROI.plugin.ecos,Florian Schwendinger
ROI.plugin.glpk,Stefan Theussl
ROI.plugin.highs,Florian Schwendinger
ROI.plugin.ipop,Florian Schwendinger
ROI.plugin.ipop,Stefan Theussl
ROI.plugin.ipop,Diethelm Wuertz
ROI.plugin.lpsolve,Florian Schwendinger
ROI.plugin.msbinlp,Kurt Hornik
ROI.plugin.msbinlp,David Meyer
ROI.plugin.msbinlp,Florian Schwendinger
ROI.plugin.neos,Ronald Hochreiter
ROI.plugin.neos,Florian Schwendinger
