show,synopsis
The Temptations & The Four Tops On Broadway,"Both a career retrospective as well as a celebration of the hit songs that defined a generation, this special one-week Broadway engagement of The Temptations and The Four Tops will feature the legendary Hall of Fame artists performing all their classic Top 10 Billboard hits in a once-in-a-lifetime Broadway event."
Fish in the Dark,"Larry David makes his Broadway debut as an actor and playwright with his first play Fish in the Dark, inspired by the death of a friend's father."
On the Twentieth Century,"A down-and-out Broadway producer struggles to convince his former muse and lover, now a successful film actress, to return to Broadway in a play about Mary Magdelene, while dealing with her jealous new lover and a religious fanatic aboard a luxury train, in Cy Coleman, Betty Comden and Adolph Green's musical adaptation of the play Twentieth Century."
The Audience,NA
The Heidi Chronicles,"A feminist art historian and her friends, male and female, gay and straight, mature from the 1960s to the 1980s as they search for political, professional and personal fulfillment, in Wendy Wasserstein's Pulitzer Prize and Tony Award-winning play."
An American in Paris,NA
Finding Neverland,"Based on the Miramax motion picture by David Magee and the play The Man Who Was Peter Pan by Allan Knee, Finding Neverland follows the relationship between playwright J. M. Barrie and the family that inspired Peter Pan, or The Boy Who Wouldn't Grow Up – one of the most beloved stories of all time."
Hand to God,"Shy, inquisitive student Jason finds an outlet for his burgeoning creativity at the Christian Puppet Ministry in the devoutly religious, relatively quiet small town of Cypress, Texas, until his hand puppet Tyrone — once soft-spoken — takes on a shocking and dangerously irreverent personality all its own. As Tyrone’s influence over Jason steadily grows, Hand to God explores the startlingly fragile nature of faith, morality, and the ties that bind us."""
Gigi,NA
It Shoulda Been You,"The bride is Jewish.  The groom is Catholic.  Her mother is a force of nature, his mother is a tempest in a cocktail shaker. And when the bride’s ex-boyfriend shows up, the perfect wedding starts to unravel faster than you can whistle “Here Comes the Bride!  Plots are hatched, pacts are made, secrets exposed – and the sister of the bride is left to turn a tangled mess into happily ever after!"
Wolf Hall: Parts 1 & 2,"Wolf Hall: Parts 1 & 2 are adapted by Mike Poulton from Hilary Mantel’s Man Booker Prize-winning novels, Wolf Hall and Bring Up the Bodies. The plays are based on the deceit, betrayal, and intrigue of the court of Henry VIII."
Doctor Zhivago,"Doctor Zhivago is an epic romance set during the final days of Czarist Russia, the First World War, and the chaos of the Russian revolution. Raised as an aristocrat, Zhivago is a political idealist, physician, and poet who is torn between a life with his devoted wife, Tonia Gromeko, and the passionate and mysterious Lara Guishar. Zhivago is not alone in his yearnings for Lara, competing for her affections with the young revolutionary Pasha Antipov and the aristocrat Viktor Komarovsky."
Fun Home,"After her father dies unexpectedly, Alison dives deep into her past to tell the story of the volatile, brilliant, one-of-a-kind man whose temperament and secrets defined her family and her life. Based on Alison Bechdel’s autobiographical graphic novel."
Something Rotten!,"Brothers Nick and Nigel Bottom are desperate to write a hit play but are stuck in the shadow of that Renaissance rockstar known as ""The Bard."" When a local soothsayer foretells that the future of theatre involves singing, dancing and acting at the same time, Nick and Nigel set out to write the world's very first MUSICAL!"
Airline Highway,"In the parking lot of The Hummingbird, a once-glamorous motel on New Orleans' infamous Airline Highway, a group of friends gather. A rag-tag collection of strippers, hustlers, and philosophers have come together to celebrate the life of Miss Ruby, an iconic burlesque performer who has requested a funeral before she dies. The party rages through the night as old friends resurface to pay their respects."
Living on Love,"When Vito, celebrated diva Raquel De Angelis's larger-than-life maestro husband, becomes enamored with the lovely young lady hired to ghostwrite his largely fictional autobiography, Raquel retaliates by hiring her own handsome, young scribe to chronicle her life as an opera star. Sparks fly, silverware is thrown, and romance blossoms in the most unexpected ways in this brand new hilarious comedy."
An Act of God,"Based on a satirical book and twitter account, An Act of God is a 90- minute conversation in which God will reveal the mysteries of the Bible and answer some of the greatest existential questions that plague mankind."
Amazing Grace,"Based on the awe-inspiring true story behind the world’s most beloved song, Amazing Grace tells the story of John Newton whose incredible journey ignited a historic wave of change that gave birth to the abolitionist movement."
Penn & Teller On Broadway,"For the first time in almost 25 years Penn and Teller come home, where they will bring astonishing tricks from their record-breaking Vegas act, along with their most outrageous classics, to the Marquis Theatre."
Hamilton,"Winner of 11 Tony Awards and the 2016 Pulitzer Prize for Drama, Hamilton is one of Broadway’s biggest hits. From the mind of 2015 MacArthur Genius grant recipient Lin-Manuel Miranda and Ron Chernow’s landmark bestselling biography comes a new musical about the scrappy young immigrant who forever changed America, Alexander Hamilton. Tony Award-winner Thomas Kail directs this new musical about taking your shot, speaking your mind, and turning the world upside down."
Fool For Love,"Holed up in a seedy motel on the edge of the Mojave Desert, two former lovers unpack the deep secrets and dark desires of their tangled relationship, passionately tearing each other apart."
Old Times,"A married couple are visited by the wife's former roommate, whose presence raises questions about the nature of the three's past and present relationships with each other."
Dames at Sea,"Ruby steps off a bus from Utah and into her first Broadway show, but hours before the opening night curtain is to rise, the cast learns their theater is being demolished. So Ruby and the cast, with the help of some adoring sailors, set a plan in motion to perform the show on a naval battleship."
Sylvia,NA
Therese Raquin,NA
Allegiance,"Inspired by the childhood of George Takei, Allegiance is a moving and uplifting story of love, war, and heroism set during the Japanese American internment of World War II. It follows the story of the Kimura family in the weeks and years after the attack on Pearl Harbor, as they are relocated from their farm in Salinas, California to the Heart Mountain internment camp in the rural plains of Wyoming."
King Charles III,"The Queen is dead: after a lifetime of waiting, the prince ascends the throne. A future of power. But how to rule? This controversial new play explores the people beneath the crowns, the unwritten rules of our democracy, and the conscience of Britain’s most famous family."
On Your Feet!,"On Your Feet! is the story of Emilio and Gloria Estefan, two people who—through an unwavering dedication to one another and their pursuit of the American dream— showcased their talent, their music and their heritage to the world in a remarkable rise to global superstardom."
China Doll,NA
Misery,"Successful romance novelist Paul Sheldon is rescued from a car crash by his 'Number One Fan,' Annie Wilkes, and wakes up captive in her secluded home. While Paul is convalescing, Annie reads the manuscript to his newest novel and becomes enraged when she discovers the author has killed off her favorite character, Misery Chastain. Annie forces Paul to write a new 'Misery' novel, and he quickly realizes Annie has no intention of letting him go anywhere."
Lord of the Dance: Dangerous Games,"This new entry from the popular Lord of the Dance franchise features exciting and ground-breaking new technology, including holographs, special effects lighting, dancing robots, world champion acrobats and of course the greatest team of Irish Dancers in the world."
School of Rock - The Musical,"Dewey Finn, a failed wannabe rock star, decides to earn a few extra bucks by posing as a substitute teacher at a prestigious prep school. There he turns a class of straight-A students into a guitar-shredding, bass-slapping, mind-blowing rock band. While teaching these pint-sized prodigies what it means to truly rock, Dewey falls for the school’s beautiful but uptight headmistress, helping her rediscover the wild child within."
The Illusionists - Live On Broadway,NA
Our Mother's Brief Affair,"On the verge of death for the umpteenth time, Anna makes a shocking confession to her grown children: an affair from her past that just might have resonance beyond the family. But how much of what she says is true? While her children try to separate fact from fiction, Anna fights for a legacy she can be proud of."
The Humans,"After a sleepless night, Erik Blake has brought his family from Pennsylvania to celebrate Thanksgiving at his daughter’s new apartment. As darkness falls outside the crumbling pre-war duplex, mysterious things start to go bump in the night and family tensions reach a boiling point."
Blackbird,NA
Disaster!,"Earthquakes, tidal waves, infernos and rampant wildlife can’t stop an outrageous cast of characters from dancing, gambling and singing the night away aboard New York’s first floating casino and discothèque."
Bright Star,"When successful literary editor Alice Murphy meets an ambitious young soldier just home from World War II, their connection inspires Alice to confront her past. Together they discover a stunning secret with the power to transform their lives."
Eclipsed,NA
"Shuffle Along, or the Making of the Musical Sensation of 1921 and All That Followed","In May 1921, Shuffle Along, a new musical conceived by Flournoy Miller and Aubrey Lyles with music and lyrics by Eubie Blake and Noble Sissle, became the unlikeliest of hits, significantly altering the face of the Broadway musical as well as that of New York City.This production presents both the 1921 musical itself, and additionally details the events that catalyzed the songwriting team of Noble Sissle and Eubie Blake, and librettists F.E. Miller and Aubrey Lyles to create this ground-breaking work."
American Psycho,"Living the high life in 1980s Manhattan, Patrick Bateman has it all – looks, money, style and status.  He and his entourage buy the most expensive designer clothes, eat at the most exclusive restaurants and party at the hottest clubs.  But privately, Patrick indulges in another kind of transgression. And people - including those closest to him - keep disappearing."
Waitress,NA
Fully Committed,"Sam works the red-hot reservation line at one of New York’s trendiest restaurants, where the best food inspires the worst behavior. Coercion, petty threats, bribes, histrionics—a cast of desperate callers, all brought to life by Ferguson, will stop at nothing to land a prime reservation, or the right table."
Tuck Everlasting,"When Winnie Foster discovers the magical secret of the Tuck family, she embarks on an extraordinary adventure that will change her life forever."
Cirque du Soleil Paramour,"Set in the glamorous world of Golden Age Hollywood, this groundbreaking event from Cirque du Soleil spins the tale of a beautiful young poet forced to choose between love and art."
"Holiday Inn, The New Irving Berlin Musical","Jim Hardy leaves the bright lights of show business behind to settle down on his farmhouse in Connecticut. He quickly discovers life isn’t the same without a bit of song and dance. Jim’s luck takes a spectacular turn when he meets Linda, a spirited schoolteacher with talent to spare. Together they turn the farmhouse into a fabulous inn with dazzling performances to celebrate each holiday, from Thanksgiving to the Fourth of July."
Lewis Black: Black to the Future,"Known as the king of the rant, Lewis Black uses his trademark style of comedic yelling and animated finger-pointing to skewer anything and anyone that gets under his skin. Just in time for the elections, he returns to one of Broadways biggest stages this fall to pound Trump, Hillary and all those bozos who bowed out...and that's just for starters."
Heisenberg,"Amidst the bustle of a crowded London train station, Georgie spots Alex, a much older man, and plants a kiss on his neck. This electric encounter thrusts these two strangers into a fascinating and life-changing game."
"Oh, Hello on Broadway","Fresh off the success of their hit prank show Too Much Tuna, these two Alan Alda-obsessed Upper West Side bachelors are returning to their roots in New York theatre. Having wowed audiences with past theatrical works like True Upper West and the Annie Get Your Gun-inspired Bernie Goetz You Gun: A Non Musical Drama, Faizon and St. Geegland are back for a total victory lap and to premiere their new play We're Us, You're You, Let's Talk."
The Encounter,"In 1969, Loren McIntyre, a National Geographic photographer, found himself lost among the people of the remote Javari Valley in Brazil. It was an encounter that was to change his life: bringing the limits of human consciousness into startling focus. Conceived as a theatrically aural experience, the audience is drawn directly into the middle of the action."
"Natasha, Pierre & The Great Comet of 1812","Natasha is a beautiful ingénue visiting Moscow while she waits for her beloved fiancé Andrey to return from the war. In a moment of indiscretion, she is seduced by the dashing (but already married) Anatole and her position in society is ruined. Her only hope lies with Pierre, the lonely outsider whose love and compassion for Natasha may be the key to her redemption… and to the renewal of his own soul."
A Bronx Tale The Musical,"Based on the one-man show that inspired the now classic film, this streetwise musical will take you to the stoops of the Bronx in the 1960s—where a young man is caught between the father he loves and the mob boss he’d love to be."
Kristin Chenoweth: My Love Letter to Broadway,"An intimate evening of romance, glamour and laughter, this must-see performance will remind you why you first fell head-over-heels for Broadway… and its most enchanting star! Kristin Chenoweth will perform a handpicked selection of musical theater favorites, including songs from her upcoming album The Art of Elegance, her first album of American Songbook classics."
In Transit,"Inspired by the vibrant rhythms of life on the subway, In Transit follows the intertwining lives of eleven New Yorkers, all hoping to catch the express train to success, love and happiness…and the stops they make along the way."
Dear Evan Hansen,"The winner of six Tony Awards (including Best Musical) and the Grammy Award for Best Musical Theater Album, Dear Evan Hansen is a deeply personal and profoundly contemporary musical about life and the way we live it. A letter that was never meant to be seen, a lie that was never meant to be told, a life he never dreamed he could have. Evan Hansen is about to get the one thing he’s always wanted: a chance to finally fit in.Dear Evan Hansen features a book by Tony Award winner Steven Levenson, a score by Grammy, Tony and Academy Award winners Benj Pasek and Justin Paul (La La Land, The Greatest Showman), and direction by four-time Tony Award nominee Michael Greif (Rent, Next to Normal)."
Alton Brown Live: Eat Your Science,"A culinary variety show where Brown mixes science, music and food into two hours of pure entertainment."
The Illusionists - Turn of the Century,"The golden age of magic comes alive on stage. Showcasing the origins of some of the greatest and most dangerous illusions ever built, the show also unveils never-before-seen experiments drawn from a treasure trove of long-forgotten mysteries."
The Present,"Friends gather at an old country house to celebrate the birthday of the independent but compromised widow Anna Petrovna. At the center is the acerbic and witty Platonov with his wife, his former students and friends and their partners. They may appear comfortable, but boiling away inside is a mess of unfinished, unresolved relationships, fueled by twenty years of denial, regret and thwarted desire."
Jitney,NA
Come From Away,"Come From Away takes you into the heart of the remarkable true story of 7,000 stranded passengers and the small town in Newfoundland that welcomed them. Cultures clashed and nerves ran high, but uneasiness turned into trust, music soared into the night, and gratitude grew into enduring friendships.Don’t miss this breathtaking new musical written by Tony nominees Irene Sankoff and David Hein, and helmed by Tony-winning Best Director, Christopher Ashley.On 9/11, the world stopped. On 9/12, their stories moved us all."
Significant Other,"Meet Jordan Berman. He’s single. And he has a date with a co-worker to see a documentary about the Franco-Prussian war. At least, he thinks it’s a date. Significant Other follows Jordan and his three closest friends as they navigate love, friendship and New York in the twenty-something years."
Sweat,"A group of friends have spent their lives sharing drinks, secrets and laughs while working together on the line of a factory floor, but when layoffs and picket lines begin to chip away at their trust, they themselves pitted against each other in the hard fight to stay afloat."
"Amelie, A New Musical","Tony nominee Phillipa Soo (Hamilton) returns to Broadway in Amélie, a new musical based on the beloved five-time Oscar-nominated film with direction by Tony winner Pam MacKinnon (Who’s Afraid of Virginia Woolf?),  book by Pulitzer Prize and Tony-nominee Craig Lucas (The Light in the Piazza) and an original score by Daniel Messé and Nathan Tysen."
The Play That Goes Wrong,"The Play That Goes Wrong follows the antics of the Cornley Polytechnic Drama Society, who are trying their very best to stage a production of a 1920s murder mystery. As the show’s title might suggest, this is not as easy as it sounds with everything that can go wrong doing just that. Despite the setbacks, the actors of CPDS struggle bravely to reach the final curtain."
War Paint,"Helena Rubinstein and Elizabeth Arden defined beauty standards for the first half of the 20th Century. Brilliant innovators with humble roots, both were masters of self-invention who sacrificed everything to become the country’s first major female entrepreneurs. They were also fierce competitors, whose 50-year tug-of-war would give birth to an industry. From Fifth Avenue society to the halls of Congress, their remarkable rivalry was ruthless, relentless and legendary—pushing both women to build international empires in a world dominated by men."
Groundhog Day,"Phil Connors is a cynical Pittsburgh TV weatherman who is sent to cover the annual Groundhog Day event in the isolated small town of Punxsutawney, Pennsylvania, when he finds himself caught in a time loop, forced to repeat the same day again and again…and again. As each day plays out exactly the same as before Phil becomes increasingly despondent, but is there a lesson to be learnt through his experiences, will he ever unlock the secret and break the cycle?"
Anastasia,"Inspired by the beloved films, Anastasia transports audiences from the twilight of the Russian Empire to the euphoria of Paris in the 1920s, as a brave young woman sets out to discover the mystery of her past. Pursued by a ruthless Soviet officer determined to silence her, Anya enlists the aid of a dashing conman and a lovable ex-aristocrat. Together, they embark on an epic adventure to help her find home, love, and family."
Oslo,"Oslo tells the true but until now untold story of how one young couple, Norwegian diplomat Mona Juul and her husband social scientist Terje Rød-Larsen, planned and orchestrated top-secret, high-level meetings between the State of Israel and the Palestine Liberation Organization, which culminated in the signing of the historic 1993 Oslo Accords."
"A Doll's House, Part 2","In the final scene of Ibsen's 1879 ground-breaking masterwork, Nora Helmer makes the shocking decision to leave her husband and children, and begin a life on her own. This climactic event — when Nora slams the door on everything in her life — instantly propelled world drama into the modern age. In A Doll’s House, Part 2, many years have passed since Nora’s exit. Now, there’s a knock on that same door. Nora has returned. But why? And what will it mean for those she left behind?"
Bandstand,"In 1945, as America’s soldiers come home to ticker-tape parades and overjoyed families, Private First Class Donny Novitski, singer and songwriter, returns to rebuild his life with only the shirt on his back and a dream in his heart. When NBC announces a national competition to find the nation’s next great musical superstars, Donny joins forces with a motley group of fellow veterans, each an astonishing musician. Together, they form a band unlike any the nation has ever seen. Along the way, they discover the power of music to face the impossible, find their voice and finally feel like they have a place to call home."
Charlie and the Chocolate Factory,"For more than 50 years Roald Dahl's Charlie and the Chocolate Factory has captured imaginations around the world, and now for the first time Broadway audiences are invited to experience Willy Wonka’s delightful and semi-dark chocolate world first-hand. Starring Tony-winner Christian Borle (Something Rotten!, Falsettos) and featuring a new score by Marc Shaiman and Scott Wittman (Hairspray), Charlie and the Chocolate Factory features chocolate waterfalls, exquisitely nutty squirrels and the great glass elevator, all revealed by Wonka's army of curious Oompa-Loompas."
Indecent,NA
1984,NA
Marvin's Room,"Roundabout Theatre Company brings Scott McPherson’s award-winning Marvin’s Room to Broadway for the first time after its 1991 Off-Broadway production and Academy Award-nominated 1996 screen adaptation that starred Meryl Streep, Diane Keaton, Leonardo DiCaprio and Robert De Niro. McPherson’s poignant and wildly funny play is about the laughter that can shine through life’s darkest moments."
Michael Moore: The Terms of My Surrender,"In a time like no other in American history, and with a sense of urgency like never-before, this subversive one-man show takes audiences on a ride through the United States of Insanity, explaining once and for all how the f*** we got here, and where best to dine before crossing with the Von Trapp family over the Canadian border."
Prince of Broadway,"Harold Prince is a legend in the American theatre—the acclaimed director and producer behind a long list of America’s most iconic musicals and the winner of a staggering, record-breaking 21 Tony Awards. Now, he's bringing together six decades of magical moments in a new musical event, Prince of Broadway. This thrilling night of theatre includes hits from such celebrated musicals as West Side Story, A Funny Thing Happened on the Way to the Forum, Fiddler on the Roof, Cabaret, Evita, Company, Follies, A Little Night Music, Sweeney Todd, The Phantom of the Opera and more, in an unforgettable tribute to an unmatched Broadway career."
Time and the Conways,"In 1919 Britain, Mrs. Conway is full of optimism during her daughter’s lavish twenty-first birthday celebration. The Great War is over, wealth is in the air, and the family’s dreams bubble over like champagne. Jump nineteen years into the future, though, and the Conways’ lives have transformed unimaginably."
Junk,"It’s 1985. Robert Merkin, the resident genius of the upstart investment firm Sacker Lowell has just landed on the cover of Time Magazine. Hailed as ""America's Alchemist,"" his proclamation that ""debt is an asset"" has propelled him to dizzying heights. Zealously promoting his belief in the near-sacred infallibility of markets, he is trying to re-shape the world."
Springsteen On Broadway,"Springsteen on Broadway is a solo acoustic performance written and performed by Bruce Springsteen under the lights of Broadway. It is an intimate night with Bruce, his guitar, a piano, and his stories."
The Band's Visit,"In an Israeli desert town where every day feels the same, something different is suddenly in the air. Dina, the local café owner, had long resigned her desires for romance to daydreaming about exotic films and music from her youth. When a band of Egyptian musicians shows up lost at her café, she and her fellow locals take them in for the night. Under the spell of the night sky, their lives intertwine in unexpected ways, and this once sleepy town begins to wake up."
Latin History for Morons,"Uproarious, uncensored, and undeniably entertaining, theatrical powerhouse John Leguizamo is back on Broadway in his one-man tour de force performance, direct from acclaimed engagements at The Public Theater and Berkeley Repertory Theater. In Latin History for Morons, John Leguizamo schools his son—and the rest of us—on the buried and forgotten history of Latinos in the Americas in this outrageously funny, satirical one-man play about uncovering the truth, and recovering from the past."
Meteor Shower,"It’s a hot night in Ojai, California, and Corky and her husband Norm are having another couple over for dinner. Laura and Gerald, though, aren't looking for a casual evening of polite small talk with new friends. Eventually, the two couples find themselves in a marital free-fall matched in velocity and peril only by the smoldering space rocks tearing through the sky."
"SpongeBob SquarePants, The Broadway Musical","Stakes are higher than ever before as SpongeBob and all of Bikini Bottom face the total annihilation of their undersea world. Chaos erupts. Lives hang in the balance. And just when all hope seems lost, a most unexpected hero rises up and takes center stage."
The Parisian Woman,"Chloe, a socialite armed with charm and wit, comes to terms with politics, her past, her marriage, and an uncertain future in Washington, D.C., where powerful friends are the only kind worth having, especially after the 2016 election."
Home for the Holidays,"Drawing from a rich musical catalog that rivals only Broadway itself, Home for the Holidays features three of the greatest voices of their generation performing contemporary takes on more than 25 perennial favorites. Backed by a kinetic eight-piece rhythm and brass band, traditional favorites like “O Come All Ye Faithful” and “O Holy Night” provide heart as they come to life side-by-side with radio favorites such as “All I Want for Christmas is You” and “Christmas (Baby, Please Come Home).”"
The Children,NA
Farinelli and the King,"King Philippe V of Spain, plagued by insomnia, lies awake in his chamber. The Queen, desperate for a cure, hears of Farinelli —a castrato with a voice so divine it has the power to captivate all who hear it. Philippe is astonished when Farinelli sings, and begs him to stay. But will Farinelli, one of the greatest celebrities of his time, choose a life of solitude over fame and fortune in the opera houses of Europe?"
John Lithgow: Stories By Heart,"With equal measures of humor and heart, Tomy and Emmy Award winner John Lithgow creates a singularly intimate evening, as he evokes memories of family, explores and expands the limits of the actor’s craft, and masterfully conjures a cast of indelible characters from classic short stories by Ring Lardner and P. G. Wodehouse."
Escape to Margaritaville,"A part-time bartender, part-time singer and full-time charmer thinks he’s got life all figured out until a beautiful career-minded tourist steals his heart and makes him question everything."
Angels in America: A Gay Fantasia on National Themes,"In late 1985 and early 1986, as the first wave of the AIDS epidemic in America is escalating and Ronald Reagan has been elected to a second term in the White House, the play’s two parts bring together a myriad of disparate characters whose lives intersect, intertwine, collide and are blown apart during a time of heartbreak, reaction and transformation. Ranging from earth to heaven, from the political to the intimate to the visionary and supernatural, Angels in America is an epic exploration of love, justice, identity and theology, of the difficulty, terror and necessity of change."
Lobby Hero,"The lobby of a Manhattan apartment building is much more than a waiting area for four New Yorkers involved in a murder investigation. It’s a testing ground for what happens when personal and professional personas find themselves at odds. A young security guard with big ambitions clashes with his stern boss, an intense rookie cop and her unpredictable partner."
Three Tall Women,Three women of different ages talk about their lives and their relationships with their families. Gradually it emerges that they may all be the same woman.
Mean Girls,"Directed by Casey Nicholaw, Mean Girls features a book by Tina Fey (30 Rock, Bossypants), music by Jeff Richmond (30 Rock, Unbreakable Kimmy Schmidt), and lyrics by Nell Benjamin (Legally Blonde).Cady Heron may have grown up on an African savanna, but nothing prepared her for the vicious ways of her strange new home: suburban Illinois. Soon, this naïve newbie falls prey to a trio of lionized frenemies led by the charming but ruthless Regina George. But when Cady devises a plan to end Regina’s reign, she learns the hard way that you can’t cross a Queen Bee without getting stung."
Children of a Lesser God,"A unconventional speech therapist who works at a school for the deaf attempts to teach the school's deaf cleaning woman to speak and read lips. As their relationship heats up, so does their need for control, igniting a thrilling exploration of passion, intimacy, and connection."
"Harry Potter and the Cursed Child, Parts One and Two","The magic is real at Harry Potter and the Cursed Child on Broadway — the spellbinding continuation of J.K. Rowling’s wizardry saga. The entire theatre has been transfigured to immerse you in this spectacular world where epic duels, extraordinary spells and beloved characters come to life. Filled with unprecedented stagecraft and thrilling storytelling, this Tony Award-winning show is a singular, unforgettable experience."
Rocktopia,"Rocktopia is a musical revolution that celebrates the fusion of the best rock songs of the past century with some of the greatest classical music ever written. Showcasing the works of musical innovators including Mozart, Queen, Beethoven, Journey, Handel, U2, Tchaikovsky, Pink Floyd, Heart, Rachmaninoff, Foreigner, Copland, The Who, and more, Rocktopia features a five-piece rock band, a choir of 40, and an orchestra of 20."
Summer: The Donna Summer Musical,"This vibrant musical charts the incomparable life of Donna Summer—the undisputed Queen of Disco. Features more than 20 of Summer’s classic hits and electric dancing, all in tribute to the voice of a generation."
Travesties,"In 1917 Zurich, an artist—Tristan Tzara, a writer—James Joyce, and a revolutionary—Lenin, collide in a kaleidoscopic thrill-ride that's performed in the style of Oscar Wilde's The Importance of Being Earnest."
The Boys in the Band,"Before there were marches, there was a band. Producers Ryan Murphy and David Stone bring Mart Crowley's landmark play to Broadway for a 50th anniversary production directed by two-time Tony winner Joe Mantello and featuring an all-star cast that includes Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, and Tuc Watkins. A sensation when it premiered Off-Broadway in 1968, The Boys in the Band was originally slated for a short limited run. Overnight, the show became the talk of the town for its unflinchingly honest depiction of gay life, and went on to become one of the longest running Off-Broadway plays ever."
Head Over Heels,"A mash-up of posh and punk, Head Over Heels is an unpredictable, Elizabethan romp about a royal family that must prevent an oracle's prophecy of doom. In order to save their beloved kingdom, the family embarks on an extravagant journey wrought with mistaken identities, jealous lovers, sexual awakening, scandal and self-discovery, where everything (and everyone) is not quite what it seems."
Straight White Men,"Armie Hammer (Call Me By Your Name) makes his Broadway debut in Straight White Men, written by OBIE Award-winning playwright Young Jean Lee. With Straight White Men, Lee becomes the first Asian-American female playwright to be produced on Broadway. Directing the production is Anna D. Shapiro (August: Osage County, This Is Our Youth)."
Gettin' the Band Back Together,"Mitch Papadopolous always dreamed about being the next Bon Jovi, but he chose security over stardom and left those daydreams behind for a day job. For a while he thought he had everything—the high paying job, the high-rise apartment—until his 40th birthday when he got handed a pink slip and had to move back in with his Mom in Sayreville, New Jersey. And when his high school arch nemesis (with a 20-year-old grudge and a tangerine spray tan) threatens to foreclose on their house, this big-shot banker must save his small-town home the only way he can… by winning The Battle of the Bands. So he dusts off his guitar, gathers his old gang (the math teacher who isn’t good at math, the Irish cop who dreams about being on Broadway, the dermatologist who can’t get a date, and a 16-year-old Jewish rapper who makes Vanilla Ice look cool), and sets out to win the battle… and maybe even win back the high school sweetheart he left behind… proving it’s never too late to give your dreams one last shot."
Pretty Woman: The Musical,NA
Bernhardt/Hamlet,"Mark Twain wrote: “There are five kinds of actresses: bad actresses, fair actresses, good actresses, great actresses. And then there is Sarah Bernhardt.” In 1899, the international stage celebrity set out to tackle her most ambitious role yet: Hamlet. Theresa Rebeck’s play rollicks with high comedy and human drama, set against the lavish Shakespearean production that could make or break Bernhardt’s career."
The Nap,"Dylan Spokes is a fast-rising young star in the world of snooker—the British version of pool. He arrives for a championship tournament only to be confronted by the authorities warning him of the repercussions of match fixing. Before he knows it, Dylan’s forced into underhanded dealings with a cast of wildly colorful characters that include his ex-convict dad, saucy mum, quick-tongued manager and a renowned gangster, to boot."
The Lifespan of a Fact,NA
The Waverly Gallery,"Academy Award winner Kenneth Lonergan’s acclaimed memory play, and 2001 Pulitzer Prize Finalist, The Waverly Gallery, premieres on Broadway at the John Golden Theatre.Directed by Drama Desk and Obie Award winner Lila Neugebauer (in her Broadway debut), the cast includes Grammy Award winner and Academy and Golden Globe Award nominee Elaine May, one half of the legendary comedy duo Nichols and May, whose iconic show An Evening With Mike Nichols and Elaine May famously played the John Golden Theatre; Academy Award nominee Lucas Hedges; Tony Award winner Joan Allen; and, in his third Lonergan play, Michael Cera. The Waverly Gallery is about the final years of a generous, chatty, and feisty grandmother’s final battle against Alzheimer’s disease. Gladys is an old-school lefty and social activist and longtime owner of a small art gallery in Greenwich Village. The play explores her fight to retain her independence and the subsequent effect of her decline on her family, especially her grandson. More than a memory play, The Waverly Gallery captures the humor and strength of a family in the face of crisis.The Waverly Gallery originally premiered at the Williamstown Theatre Festival in August 1999, before opening Off-Broadway at the Promenade Theater in March 2000."
American Son,NA
King Kong,"A fearless young actor finds her big break thanks to a fast-talking filmmaker who promises to make her the star of his next big adventure movie. The two set sail to the mysterious Skull Island where they encounter a 20-foot-tall, 2,000-pound ape known only as Kong. She finds an unexpected kindred spirit in this untameable creature while her director hatches a plan to capture Kong and display him to the New York masses."
The Ferryman,"Rural Derry, 1981. The Carney farmhouse is a hive of activity with preparations for the annual harvest. A day of hard work on the land and a traditional night of feasting and celebrations lie ahead. But this year they will be interrupted by a visitor."
Torch Song,"A gay drag performer has a tempestuous relationship with his bisexual, closeted lover. Both attempt other relationships before forming a family with an adopted son — and after the drag queen confronts his disapproving mother — in an evening composed of three one-act plays, with a blues singer singing torch songs as commentary."
Mike Birbiglia's The New One,"Comedian, storyteller, director, and actor Mike Birbiglia tries not to tell people anything about his new show because the less you know about the show the more you will enjoy it."
The Prom,"We’ve got trouble, folks, right here in Indiana and when Broadway’s brassiest hear a student is unceremoniously sidelined from a small-town Indiana prom—and the press is involved—they are ready to kick-ball-change the world."
The Cher Show,"The Cher Show is based on the life of Cherilyn Sarkisian La Piere Bono Allman or as her friends call her, Cher! The kid on a tricycle, vowing to be famous. The teenage phenom who crashes by twenty. The glam TV star who quits at the top. The would-be actress with an Oscar. The rock goddess with a hundred million records sold. The legend who’s done it all, still scared to walk on stage. The wife, mother, daughter, sister, friend. The woman, looking for love. The ultimate survivor, chasing her dream. They’re all here, dressed to kill, singing their asses off, telling it like it is. And they’re all the star of The Cher Show."
To Kill A Mockingbird,"The world premiere of Academy Award winner Aaron Sorkin’s new play, Harper Lee’s To Kill a Mockingbird, directed by Tony Award winner Bartlett Sher (Oslo, The King and I), comes to Broadway in a production now starring Ed Harris, with Greg Kinnear arriving April 21, 2020. Published in 1960, Harper Lee’s debut novel To Kill a Mockingbird was an immediate and astonishing success. Now, for the first time ever, Harper Lee’s open-hearted dissection of justice and tolerance in the American South will be brought vividly to life on the Broadway stage."
