country_code,short_name,table_name,long_name,x2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_population_census_year,latest_population_census_notes
SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1989-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,SR,2015,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 1999",TRUE,2008,NA,2018,2012,NA
SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SK,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"World Health Survey, 2003","Income survey (IS), 2015",TRUE,2010,2013,2018,2011,NA
SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SI,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"World Health Survey, 2003","Income survey (IS), 2015",TRUE,2010,2013,2018,2018,Population figures compiled from administrative registers.
SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income,SE,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2011,Population figures compiled from administrative registers.
SWZ,Eswatini,Eswatini,Kingdom of Eswatini,SZ,Swazi lilangeni,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,Sub-Saharan Africa,Lower middle income,SZ,2011,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009/10",FALSE,NA,2011,2017,2017,NA
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SX,Netherlands Antillean guilder,NA,Latin America & Caribbean,High income,SX,NA,NA,Value added at basic prices (VAB),NA,NA,NA,BPM6,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
SYC,Seychelles,Seychelles,Republic of Seychelles,SC,Seychelles rupee,NA,Sub-Saharan Africa,High income,SC,2014,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Expenditure survey/budget survey (ES/BS), 2013",TRUE,2011,NA,2018,2020,(expected)
SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SY,Syrian pound,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2011-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Low income,SY,2000,NA,Value added at producer prices (VAP),IDA,NA,1993,BPM5 (Converted into BPM6 by IMF),Estimate,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2007",FALSE,NA,2005,2010,2004,NA
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TC,U.S. dollar,NA,Latin America & Caribbean,High income,TC,2012,NA,Value added at basic prices (VAB),NA,NA,1993,BPM6,NA,NA,NA,NA,"Multiple Indicator Cluster Survey, 2019/20",NA,TRUE,NA,NA,2012,2012,NA
TCD,Chad,Chad,Republic of Chad,TD,Central African CFA franc,NA,Sub-Saharan Africa,Low income,TD,2005,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM5 (Converted into BPM6 by IMF),Preliminary,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2011",FALSE,NA,NA,1995,2009,NA
TGO,Togo,Togo,Republic of Togo,TG,West African CFA franc,NA,Sub-Saharan Africa,Low income,TG,2016,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2017; Multiple Indicator Cluster Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",FALSE,2011,NA,2017,2020,(expected)
THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,NA,2002,Value added at producer prices (VAP),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2015",FALSE,2013,2011,2018,2020,(expected)
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,NA,Europe & Central Asia,Lower middle income,TJ,NA,2000,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Actual,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",FALSE,2013,NA,NA,2020,(expected)
TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,NA,Europe & Central Asia,Upper middle income,TM,NA,2005,Value added at basic prices (VAB),IBRD,NA,1993,BPM5 (Converted into BPM6 by IMF),Actual,NA,NA,NA,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 1998",FALSE,NA,NA,2000,2012,NA
TLS,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,TL,U.S. dollar,NA,East Asia & Pacific,Lower middle income,TP,2015,NA,Value added at basic prices (VAB),Blend,NA,2008,NA,Actual,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2014/15",FALSE,NA,NA,2017,2015,NA
TON,Tonga,Tonga,Kingdom of Tonga,TO,Tongan pa'anga,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",East Asia & Pacific,Upper middle income,TO,2016,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Actual,NA,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2009",FALSE,2015,1981,2014,2016,NA
TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,TT,Trinidad and Tobago dollar,NA,Latin America & Caribbean,High income,TT,2012,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2011","Integrated household survey (IHS), 1992",TRUE,NA,2006,2015,2011,NA
TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,NA,Middle East & North Africa,Lower middle income,TN,2015,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",FALSE,NA,2010,2017,2014,NA
TUR,Türkiye,Türkiye,Republic of Türkiye,TR,New Turkish lira,NA,Europe & Central Asia,Upper middle income,TR,NA,2009,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2018","Expenditure survey/budget survey (ES/BS), 2016",TRUE,NA,2014,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
TUV,Tuvalu,Tuvalu,Tuvalu,TV,Australian dollar,NA,East Asia & Pacific,Upper middle income,TV,2016,NA,Value added at basic prices (VAB),IDA,NA,1968,BPM6,NA,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2010",FALSE,NA,NA,2008,2012,NA
TWN,Taiwan,"Taiwan, China","Taiwan, China",TW,New Taiwan dollar,NA,East Asia & Pacific,High income,TW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,NA,Sub-Saharan Africa,Lower middle income,TZ,2015,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2017","Expenditure survey/budget survey (ES/BS), 2011/12",FALSE,2007,2010,2018,2012,NA
UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1960-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,UG,2016,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2018/19; National Panel Survey 2018-2019","Integrated household survey (IHS), 2015/16",FALSE,2008,2000,2018,2014,NA
UKR,Ukraine,Ukraine,Ukraine,UA,Ukrainian hryvnia,NA,Europe & Central Asia,Lower middle income,UA,NA,2016,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 2017",TRUE,NA,2014,2018,2020,(expected)
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,Uruguayan peso,NA,Latin America & Caribbean,High income,UY,2016,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2017",TRUE,2011,2011,2018,2011,NA
USA,United States,United States,United States of America,US,U.S. dollar,NA,North America,High income,US,NA,2015,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Labor force survey (LFS), 2016",TRUE,2012,2011,2018,2020,(expected)
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek som,NA,Europe & Central Asia,Lower middle income,UZ,NA,NA,Value added at basic prices (VAB),Blend,NA,1993,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2013",TRUE,NA,NA,2018,1989,NA
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,NA,Latin America & Caribbean,Upper middle income,VC,2018,NA,Value added at basic prices (VAB),Blend,NA,2008,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,NA,NA,2018,2012,NA
VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,VE,Venezuelan bolivar fuerte,NA,Latin America & Caribbean,NA,VE,1997,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2000","Integrated household survey (IHS), 2015",FALSE,2008,1998,2013,2011,NA
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,NA,East Asia & Pacific,Lower middle income,VN,2010,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2020/21","Integrated household survey (IHS), 2016",TRUE,2016,2013,2017,2019,NA
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,VU,Vanuatu vatu,NA,East Asia & Pacific,Lower middle income,VU,2006,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Estimate,NA,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2007/08","Integrated household survey (IHS), 2010",FALSE,2007,NA,2011,2020,(expected)
WSM,Samoa,Samoa,Samoa,WS,Samoan tala,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",East Asia & Pacific,Lower middle income,WS,2013,NA,Value added at producer prices (VAP),IDA,NA,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2013",FALSE,2009,NA,2018,2020,(expected)
XKX,Kosovo,Kosovo,Republic of Kosovo,XK,Euro,NA,Europe & Central Asia,Upper middle income,XK,NA,2008,Value added at basic prices (VAB),IDA,NA,2008,BPM6,Actual,NA,NA,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2015",FALSE,2014,NA,NA,2011,NA
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,YE,Yemeni rial,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1990-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Low income,RY,1990,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM5 (Converted into BPM6 by IMF),Estimate,Special trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014",FALSE,NA,2012,2015,2004,NA
ZAF,South Africa,South Africa,Republic of South Africa,ZA,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,ZA,2015,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2016","Expenditure survey/budget survey (ES/BS), 2014/15",FALSE,2007,2010,2018,2011,NA
ZMB,Zambia,Zambia,Republic of Zambia,ZM,New Zambian kwacha,"National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",Sub-Saharan Africa,Low income,ZM,2010,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2018","Integrated household survey (IHS), 2015",FALSE,NA,1994,2018,2020,(expected)
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,Zimbabwean Dollar,"National Accounts data are reported in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2017-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Lower middle income,ZW,2012,NA,Value added at basic prices (VAB),Blend,NA,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2011/12",FALSE,NA,NA,2018,2012,NA
