player,year,tournament,outcome,gender
Tomáš Berdych,2006,French Open,4th Round,Male
Marin Čilić,2006,French Open,Lost Qualifier,Male
Arnaud Clément,2006,French Open,Absent,Male
Guillermo Coria,2006,French Open,Absent,Male
Novak Djokovic,2006,French Open,Quarterfinalist,Male
Roger Federer,2006,French Open,Finalist,Male
David Ferrer,2006,French Open,3rd Round,Male
Juan Carlos Ferrero,2006,French Open,3rd Round,Male
Gastón Gaudio,2006,French Open,4th Round,Male
Fernando González,2006,French Open,2nd Round,Male
Tommy Haas,2006,French Open,3rd Round,Male
Lleyton Hewitt,2006,French Open,4th Round,Male
Goran Ivanišević,2006,French Open,Retired,Male
Thomas Johansson,2006,French Open,1st Round,Male
Gustavo Kuerten,2006,French Open,Absent,Male
Todd Martin,2006,French Open,Retired,Male
Carlos Moyà,2006,French Open,3rd Round,Male
Andy Murray,2006,French Open,1st Round,Male
Rafael Nadal,2006,French Open,Won,Male
David Nalbandian,2006,French Open,Semi-finalist,Male
Kei Nishikori,2006,French Open,NA,Male
Mark Philippoussis,2006,French Open,Absent,Male
Juan Martín del Potro,2006,French Open,1st Round,Male
Mariano Puerta,2006,French Open,NA,Male
Andy Roddick,2006,French Open,1st Round,Male
Greg Rusedski,2006,French Open,1st Round,Male
Marat Safin,2006,French Open,1st Round,Male
Rainer Schüttler,2006,French Open,1st Round,Male
Robin Söderling,2006,French Open,1st Round,Male
Jo-Wilfried Tsonga,2006,French Open,Absent,Male
Martin Verkerk,2006,French Open,Absent,Male
Stanislas Wawrinka,2006,French Open,1st Round,Male
Andre Agassi,2006,Wimbledon,3rd Round,Male
Kevin Anderson,2006,Wimbledon,NA,Male
Marcos Baghdatis,2006,Wimbledon,Semi-finalist,Male
Tomáš Berdych,2006,Wimbledon,4th Round,Male
Marin Čilić,2006,Wimbledon,Absent,Male
Arnaud Clément,2006,Wimbledon,2nd Round,Male
Guillermo Coria,2006,Wimbledon,Absent,Male
Novak Djokovic,2006,Wimbledon,4th Round,Male
Roger Federer,2006,Wimbledon,Won,Male
David Ferrer,2006,Wimbledon,4th Round,Male
Juan Carlos Ferrero,2006,Wimbledon,3rd Round,Male
Gastón Gaudio,2006,Wimbledon,2nd Round,Male
Fernando González,2006,Wimbledon,3rd Round,Male
Tommy Haas,2006,Wimbledon,3rd Round,Male
Lleyton Hewitt,2006,Wimbledon,Quarterfinalist,Male
Goran Ivanišević,2006,Wimbledon,Retired,Male
Thomas Johansson,2006,Wimbledon,1st Round,Male
Gustavo Kuerten,2006,Wimbledon,Absent,Male
Todd Martin,2006,Wimbledon,Retired,Male
Carlos Moyà,2006,Wimbledon,Absent,Male
Andy Murray,2006,Wimbledon,4th Round,Male
Rafael Nadal,2006,Wimbledon,Finalist,Male
David Nalbandian,2006,Wimbledon,3rd Round,Male
Kei Nishikori,2006,Wimbledon,NA,Male
Mark Philippoussis,2006,Wimbledon,2nd Round,Male
Juan Martín del Potro,2006,Wimbledon,Absent,Male
Mariano Puerta,2006,Wimbledon,NA,Male
Andy Roddick,2006,Wimbledon,3rd Round,Male
Greg Rusedski,2006,Wimbledon,1st Round,Male
Marat Safin,2006,Wimbledon,2nd Round,Male
Rainer Schüttler,2006,Wimbledon,1st Round,Male
Robin Söderling,2006,Wimbledon,1st Round,Male
Jo-Wilfried Tsonga,2006,Wimbledon,Absent,Male
Martin Verkerk,2006,Wimbledon,Absent,Male
Stanislas Wawrinka,2006,Wimbledon,3rd Round,Male
Andre Agassi,2006,US Open,3rd Round,Male
Kevin Anderson,2006,US Open,NA,Male
Marcos Baghdatis,2006,US Open,2nd Round,Male
Tomáš Berdych,2006,US Open,4th Round,Male
Marin Čilić,2006,US Open,Lost Qualifier,Male
Arnaud Clément,2006,US Open,1st Round,Male
Guillermo Coria,2006,US Open,1st Round,Male
Novak Djokovic,2006,US Open,3rd Round,Male
Roger Federer,2006,US Open,Won,Male
David Ferrer,2006,US Open,3rd Round,Male
Juan Carlos Ferrero,2006,US Open,2nd Round,Male
Gastón Gaudio,2006,US Open,3rd Round,Male
Fernando González,2006,US Open,3rd Round,Male
Tommy Haas,2006,US Open,Quarterfinalist,Male
Lleyton Hewitt,2006,US Open,Quarterfinalist,Male
Goran Ivanišević,2006,US Open,Retired,Male
Thomas Johansson,2006,US Open,1st Round,Male
Gustavo Kuerten,2006,US Open,Absent,Male
Todd Martin,2006,US Open,Retired,Male
Carlos Moyà,2006,US Open,3rd Round,Male
Andy Murray,2006,US Open,4th Round,Male
Rafael Nadal,2006,US Open,Quarterfinalist,Male
David Nalbandian,2006,US Open,2nd Round,Male
Kei Nishikori,2006,US Open,NA,Male
Mark Philippoussis,2006,US Open,1st Round,Male
Juan Martín del Potro,2006,US Open,1st Round,Male
Mariano Puerta,2006,US Open,NA,Male
Andy Roddick,2006,US Open,Finalist,Male
Greg Rusedski,2006,US Open,1st Round,Male
Marat Safin,2006,US Open,4th Round,Male
Rainer Schüttler,2006,US Open,1st Round,Male
Robin Söderling,2006,US Open,2nd Round,Male
Jo-Wilfried Tsonga,2006,US Open,Absent,Male
Martin Verkerk,2006,US Open,Absent,Male
Stanislas Wawrinka,2006,US Open,3rd Round,Male
Andre Agassi,2007,Australian Open,Retired,Male
Kevin Anderson,2007,Australian Open,NA,Male
Marcos Baghdatis,2007,Australian Open,2nd Round,Male
Tomáš Berdych,2007,Australian Open,4th Round,Male
Marin Čilić,2007,Australian Open,1st Round,Male
Arnaud Clément,2007,Australian Open,2nd Round,Male
Guillermo Coria,2007,Australian Open,Absent,Male
Novak Djokovic,2007,Australian Open,4th Round,Male
Roger Federer,2007,Australian Open,Won,Male
David Ferrer,2007,Australian Open,4th Round,Male
Juan Carlos Ferrero,2007,Australian Open,2nd Round,Male
Gastón Gaudio,2007,Australian Open,1st Round,Male
Fernando González,2007,Australian Open,Finalist,Male
Tommy Haas,2007,Australian Open,Semi-finalist,Male
Lleyton Hewitt,2007,Australian Open,3rd Round,Male
Goran Ivanišević,2007,Australian Open,Retired,Male
Thomas Johansson,2007,Australian Open,2nd Round,Male
Gustavo Kuerten,2007,Australian Open,Absent,Male
Todd Martin,2007,Australian Open,Retired,Male
Carlos Moyà,2007,Australian Open,1st Round,Male
Andy Murray,2007,Australian Open,4th Round,Male
Rafael Nadal,2007,Australian Open,Quarterfinalist,Male
David Nalbandian,2007,Australian Open,4th Round,Male
Kei Nishikori,2007,Australian Open,NA,Male
Mark Philippoussis,2007,Australian Open,Absent,Male
Juan Martín del Potro,2007,Australian Open,2nd Round,Male
Mariano Puerta,2007,Australian Open,NA,Male
Andy Roddick,2007,Australian Open,Semi-finalist,Male
Greg Rusedski,2007,Australian Open,Absent,Male
Marat Safin,2007,Australian Open,3rd Round,Male
Rainer Schüttler,2007,Australian Open,1st Round,Male
Robin Söderling,2007,Australian Open,1st Round,Male
Jo-Wilfried Tsonga,2007,Australian Open,1st Round,Male
Martin Verkerk,2007,Australian Open,Absent,Male
Stanislas Wawrinka,2007,Australian Open,3rd Round,Male
Andre Agassi,2007,French Open,Retired,Male
Kevin Anderson,2007,French Open,NA,Male
Marcos Baghdatis,2007,French Open,4th Round,Male
Tomáš Berdych,2007,French Open,1st Round,Male
Marin Čilić,2007,French Open,1st Round,Male
Arnaud Clément,2007,French Open,1st Round,Male
Guillermo Coria,2007,French Open,Absent,Male
Novak Djokovic,2007,French Open,Semi-finalist,Male
Roger Federer,2007,French Open,Finalist,Male
David Ferrer,2007,French Open,3rd Round,Male
Juan Carlos Ferrero,2007,French Open,3rd Round,Male
Gastón Gaudio,2007,French Open,2nd Round,Male
Fernando González,2007,French Open,1st Round,Male
Tommy Haas,2007,French Open,Absent,Male
Lleyton Hewitt,2007,French Open,4th Round,Male
Goran Ivanišević,2007,French Open,Retired,Male
Thomas Johansson,2007,French Open,1st Round,Male
Gustavo Kuerten,2007,French Open,Absent,Male
Todd Martin,2007,French Open,Retired,Male
Carlos Moyà,2007,French Open,Quarterfinalist,Male
Andy Murray,2007,French Open,Absent,Male
Rafael Nadal,2007,French Open,Won,Male
David Nalbandian,2007,French Open,4th Round,Male
Kei Nishikori,2007,French Open,NA,Male
Mark Philippoussis,2007,French Open,Absent,Male
Juan Martín del Potro,2007,French Open,1st Round,Male
Mariano Puerta,2007,French Open,NA,Male
Andy Roddick,2007,French Open,1st Round,Male
Greg Rusedski,2007,French Open,Retired,Male
Marat Safin,2007,French Open,2nd Round,Male
Rainer Schüttler,2007,French Open,Absent,Male
Robin Söderling,2007,French Open,1st Round,Male
Jo-Wilfried Tsonga,2007,French Open,Absent,Male
Martin Verkerk,2007,French Open,1st Round,Male
Stanislas Wawrinka,2007,French Open,2nd Round,Male
Andre Agassi,2007,Wimbledon,Retired,Male
Kevin Anderson,2007,Wimbledon,NA,Male
Marcos Baghdatis,2007,Wimbledon,Quarterfinalist,Male
Tomáš Berdych,2007,Wimbledon,Quarterfinalist,Male
Marin Čilić,2007,Wimbledon,1st Round,Male
Arnaud Clément,2007,Wimbledon,1st Round,Male
Guillermo Coria,2007,Wimbledon,Absent,Male
Novak Djokovic,2007,Wimbledon,Semi-finalist,Male
Roger Federer,2007,Wimbledon,Won,Male
David Ferrer,2007,Wimbledon,2nd Round,Male
Juan Carlos Ferrero,2007,Wimbledon,Quarterfinalist,Male
Gastón Gaudio,2007,Wimbledon,Absent,Male
Fernando González,2007,Wimbledon,3rd Round,Male
Tommy Haas,2007,Wimbledon,4th Round,Male
Lleyton Hewitt,2007,Wimbledon,4th Round,Male
Goran Ivanišević,2007,Wimbledon,Retired,Male
Thomas Johansson,2007,Wimbledon,1st Round,Male
Gustavo Kuerten,2007,Wimbledon,Absent,Male
Todd Martin,2007,Wimbledon,Retired,Male
Carlos Moyà,2007,Wimbledon,1st Round,Male
Andy Murray,2007,Wimbledon,Absent,Male
Rafael Nadal,2007,Wimbledon,Finalist,Male
David Nalbandian,2007,Wimbledon,3rd Round,Male
Kei Nishikori,2007,Wimbledon,NA,Male
Mark Philippoussis,2007,Wimbledon,Absent,Male
Juan Martín del Potro,2007,Wimbledon,2nd Round,Male
Mariano Puerta,2007,Wimbledon,NA,Male
Andy Roddick,2007,Wimbledon,Quarterfinalist,Male
Greg Rusedski,2007,Wimbledon,Retired,Male
Marat Safin,2007,Wimbledon,3rd Round,Male
Rainer Schüttler,2007,Wimbledon,Absent,Male
Robin Söderling,2007,Wimbledon,3rd Round,Male
Jo-Wilfried Tsonga,2007,Wimbledon,4th Round,Male
Martin Verkerk,2007,Wimbledon,Absent,Male
Stanislas Wawrinka,2007,Wimbledon,1st Round,Male
Andre Agassi,2007,US Open,Retired,Male
Kevin Anderson,2007,US Open,NA,Male
Marcos Baghdatis,2007,US Open,1st Round,Male
Tomáš Berdych,2007,US Open,4th Round,Male
Marin Čilić,2007,US Open,Lost Qualifier,Male
Arnaud Clément,2007,US Open,2nd Round,Male
Guillermo Coria,2007,US Open,Absent,Male
Novak Djokovic,2007,US Open,Finalist,Male
Roger Federer,2007,US Open,Won,Male
David Ferrer,2007,US Open,Semi-finalist,Male
Juan Carlos Ferrero,2007,US Open,1st Round,Male
Gastón Gaudio,2007,US Open,Absent,Male
Fernando González,2007,US Open,1st Round,Male
Tommy Haas,2007,US Open,Quarterfinalist,Male
Lleyton Hewitt,2007,US Open,2nd Round,Male
Goran Ivanišević,2007,US Open,Retired,Male
Thomas Johansson,2007,US Open,3rd Round,Male
Gustavo Kuerten,2007,US Open,Absent,Male
Todd Martin,2007,US Open,Retired,Male
Carlos Moyà,2007,US Open,Quarterfinalist,Male
Andy Murray,2007,US Open,3rd Round,Male
Rafael Nadal,2007,US Open,4th Round,Male
David Nalbandian,2007,US Open,3rd Round,Male
Kei Nishikori,2007,US Open,Lost Qualifier,Male
Mark Philippoussis,2007,US Open,Absent,Male
Juan Martín del Potro,2007,US Open,3rd Round,Male
Mariano Puerta,2007,US Open,Absent,Male
Andy Roddick,2007,US Open,Quarterfinalist,Male
Greg Rusedski,2007,US Open,Retired,Male
Marat Safin,2007,US Open,2nd Round,Male
Rainer Schüttler,2007,US Open,1st Round,Male
Robin Söderling,2007,US Open,Absent,Male
Jo-Wilfried Tsonga,2007,US Open,3rd Round,Male
Martin Verkerk,2007,US Open,Absent,Male
Stanislas Wawrinka,2007,US Open,4th Round,Male
Andre Agassi,2008,Australian Open,Retired,Male
Kevin Anderson,2008,Australian Open,1st Round,Male
Marcos Baghdatis,2008,Australian Open,3rd Round,Male
Tomáš Berdych,2008,Australian Open,4th Round,Male
Marin Čilić,2008,Australian Open,4th Round,Male
Arnaud Clément,2008,Australian Open,1st Round,Male
Guillermo Coria,2008,Australian Open,Absent,Male
Novak Djokovic,2008,Australian Open,Won,Male
Roger Federer,2008,Australian Open,Semi-finalist,Male
David Ferrer,2008,Australian Open,Quarterfinalist,Male
Juan Carlos Ferrero,2008,Australian Open,4th Round,Male
Gastón Gaudio,2008,Australian Open,Absent,Male
Fernando González,2008,Australian Open,3rd Round,Male
Tommy Haas,2008,Australian Open,Absent,Male
Lleyton Hewitt,2008,Australian Open,4th Round,Male
Goran Ivanišević,2008,Australian Open,Retired,Male
Thomas Johansson,2008,Australian Open,1st Round,Male
Gustavo Kuerten,2008,Australian Open,Absent,Male
Todd Martin,2008,Australian Open,Retired,Male
Carlos Moyà,2008,Australian Open,1st Round,Male
Andy Murray,2008,Australian Open,1st Round,Male
Rafael Nadal,2008,Australian Open,Semi-finalist,Male
David Nalbandian,2008,Australian Open,3rd Round,Male
Kei Nishikori,2008,Australian Open,Absent,Male
Mark Philippoussis,2008,Australian Open,Absent,Male
Juan Martín del Potro,2008,Australian Open,2nd Round,Male
Mariano Puerta,2008,Australian Open,Absent,Male
Andy Roddick,2008,Australian Open,3rd Round,Male
Greg Rusedski,2008,Australian Open,Retired,Male
Marat Safin,2008,Australian Open,2nd Round,Male
Rainer Schüttler,2008,Australian Open,2nd Round,Male
Robin Söderling,2008,Australian Open,Absent,Male
Jo-Wilfried Tsonga,2008,Australian Open,Finalist,Male
Martin Verkerk,2008,Australian Open,Absent,Male
Stanislas Wawrinka,2008,Australian Open,2nd Round,Male
Andre Agassi,2008,French Open,Retired,Male
Kevin Anderson,2008,French Open,Absent,Male
Marcos Baghdatis,2008,French Open,1st Round,Male
Tomáš Berdych,2008,French Open,2nd Round,Male
Marin Čilić,2008,French Open,2nd Round,Male
Arnaud Clément,2008,French Open,1st Round,Male
Guillermo Coria,2008,French Open,1st Round,Male
Novak Djokovic,2008,French Open,Semi-finalist,Male
Roger Federer,2008,French Open,Finalist,Male
David Ferrer,2008,French Open,Quarterfinalist,Male
Juan Carlos Ferrero,2008,French Open,1st Round,Male
Gastón Gaudio,2008,French Open,Absent,Male
Fernando González,2008,French Open,Quarterfinalist,Male
Tommy Haas,2008,French Open,Absent,Male
Lleyton Hewitt,2008,French Open,3rd Round,Male
Goran Ivanišević,2008,French Open,Retired,Male
Thomas Johansson,2008,French Open,1st Round,Male
Gustavo Kuerten,2008,French Open,1st Round,Male
Todd Martin,2008,French Open,Retired,Male
Carlos Moyà,2008,French Open,1st Round,Male
Andy Murray,2008,French Open,3rd Round,Male
Rafael Nadal,2008,French Open,Won,Male
David Nalbandian,2008,French Open,2nd Round,Male
Kei Nishikori,2008,French Open,Absent,Male
Mark Philippoussis,2008,French Open,Absent,Male
Juan Martín del Potro,2008,French Open,2nd Round,Male
Mariano Puerta,2008,French Open,Absent,Male
Andy Roddick,2008,French Open,Absent,Male
Greg Rusedski,2008,French Open,Retired,Male
Marat Safin,2008,French Open,2nd Round,Male
Rainer Schüttler,2008,French Open,1st Round,Male
Robin Söderling,2008,French Open,3rd Round,Male
Jo-Wilfried Tsonga,2008,French Open,Absent,Male
Martin Verkerk,2008,French Open,Absent,Male
Stanislas Wawrinka,2008,French Open,3rd Round,Male
Andre Agassi,2008,Wimbledon,Retired,Male
Kevin Anderson,2008,Wimbledon,1st Round,Male
Marcos Baghdatis,2008,Wimbledon,4th Round,Male
Tomáš Berdych,2008,Wimbledon,3rd Round,Male
Marin Čilić,2008,Wimbledon,4th Round,Male
Arnaud Clément,2008,Wimbledon,Quarterfinalist,Male
Guillermo Coria,2008,Wimbledon,Absent,Male
Novak Djokovic,2008,Wimbledon,2nd Round,Male
Roger Federer,2008,Wimbledon,Finalist,Male
David Ferrer,2008,Wimbledon,1st Round,Male
Juan Carlos Ferrero,2008,Wimbledon,2nd Round,Male
Gastón Gaudio,2008,Wimbledon,Absent,Male
Fernando González,2008,Wimbledon,2nd Round,Male
Tommy Haas,2008,Wimbledon,3rd Round,Male
Lleyton Hewitt,2008,Wimbledon,4th Round,Male
Goran Ivanišević,2008,Wimbledon,Retired,Male
Thomas Johansson,2008,Wimbledon,2nd Round,Male
Gustavo Kuerten,2008,Wimbledon,Retired,Male
Todd Martin,2008,Wimbledon,Retired,Male
Carlos Moyà,2008,Wimbledon,Absent,Male
Andy Murray,2008,Wimbledon,Quarterfinalist,Male
Rafael Nadal,2008,Wimbledon,Won,Male
David Nalbandian,2008,Wimbledon,1st Round,Male
Kei Nishikori,2008,Wimbledon,1st Round,Male
Mark Philippoussis,2008,Wimbledon,Absent,Male
Juan Martín del Potro,2008,Wimbledon,2nd Round,Male
Mariano Puerta,2008,Wimbledon,Absent,Male
Andy Roddick,2008,Wimbledon,2nd Round,Male
Greg Rusedski,2008,Wimbledon,Retired,Male
Marat Safin,2008,Wimbledon,Semi-finalist,Male
Rainer Schüttler,2008,Wimbledon,Semi-finalist,Male
Robin Söderling,2008,Wimbledon,2nd Round,Male
Jo-Wilfried Tsonga,2008,Wimbledon,Absent,Male
Martin Verkerk,2008,Wimbledon,Absent,Male
Stanislas Wawrinka,2008,Wimbledon,4th Round,Male
Andre Agassi,2008,US Open,Retired,Male
Kevin Anderson,2008,US Open,Absent,Male
Marcos Baghdatis,2008,US Open,Absent,Male
Tomáš Berdych,2008,US Open,1st Round,Male
Marin Čilić,2008,US Open,3rd Round,Male
Arnaud Clément,2008,US Open,1st Round,Male
Guillermo Coria,2008,US Open,Absent,Male
Novak Djokovic,2008,US Open,Semi-finalist,Male
Roger Federer,2008,US Open,Won,Male
David Ferrer,2008,US Open,3rd Round,Male
Juan Carlos Ferrero,2008,US Open,Absent,Male
Gastón Gaudio,2008,US Open,Absent,Male
Fernando González,2008,US Open,4th Round,Male
Tommy Haas,2008,US Open,2nd Round,Male
Lleyton Hewitt,2008,US Open,Absent,Male
Goran Ivanišević,2008,US Open,Retired,Male
Thomas Johansson,2008,US Open,1st Round,Male
Gustavo Kuerten,2008,US Open,Retired,Male
Todd Martin,2008,US Open,Retired,Male
Carlos Moyà,2008,US Open,2nd Round,Male
Andy Murray,2008,US Open,Finalist,Male
Rafael Nadal,2008,US Open,Semi-finalist,Male
David Nalbandian,2008,US Open,3rd Round,Male
Kei Nishikori,2008,US Open,4th Round,Male
Mark Philippoussis,2008,US Open,Absent,Male
Juan Martín del Potro,2008,US Open,Quarterfinalist,Male
Mariano Puerta,2008,US Open,Absent,Male
Andy Roddick,2008,US Open,Quarterfinalist,Male
Greg Rusedski,2008,US Open,Retired,Male
Marat Safin,2008,US Open,2nd Round,Male
Rainer Schüttler,2008,US Open,1st Round,Male
Robin Söderling,2008,US Open,1st Round,Male
Jo-Wilfried Tsonga,2008,US Open,3rd Round,Male
Martin Verkerk,2008,US Open,Absent,Male
Stanislas Wawrinka,2008,US Open,4th Round,Male
Kevin Anderson,2009,Australian Open,1st Round,Male
Marcos Baghdatis,2009,Australian Open,4th Round,Male
Tomáš Berdych,2009,Australian Open,4th Round,Male
Marin Čilić,2009,Australian Open,4th Round,Male
Arnaud Clément,2009,Australian Open,2nd Round,Male
Novak Djokovic,2009,Australian Open,Quarterfinalist,Male
Roger Federer,2009,Australian Open,Finalist,Male
David Ferrer,2009,Australian Open,3rd Round,Male
Juan Carlos Ferrero,2009,Australian Open,1st Round,Male
Gastón Gaudio,2009,Australian Open,Absent,Male
Fernando González,2009,Australian Open,4th Round,Male
Tommy Haas,2009,Australian Open,3rd Round,Male
Lleyton Hewitt,2009,Australian Open,1st Round,Male
Carlos Moyà,2009,Australian Open,1st Round,Male
Andy Murray,2009,Australian Open,4th Round,Male
Rafael Nadal,2009,Australian Open,Won,Male
David Nalbandian,2009,Australian Open,2nd Round,Male
Kei Nishikori,2009,Australian Open,1st Round,Male
Juan Martín del Potro,2009,Australian Open,Quarterfinalist,Male
Andy Roddick,2009,Australian Open,Semi-finalist,Male
Marat Safin,2009,Australian Open,3rd Round,Male
Rainer Schüttler,2009,Australian Open,1st Round,Male
Robin Söderling,2009,Australian Open,2nd Round,Male
Jo-Wilfried Tsonga,2009,Australian Open,Quarterfinalist,Male
Stanislas Wawrinka,2009,Australian Open,3rd Round,Male
Kevin Anderson,2009,French Open,Lost Qualifier,Male
Marcos Baghdatis,2009,French Open,1st Round,Male
Tomáš Berdych,2009,French Open,1st Round,Male
Marin Čilić,2009,French Open,4th Round,Male
Arnaud Clément,2009,French Open,2nd Round,Male
Novak Djokovic,2009,French Open,3rd Round,Male
Roger Federer,2009,French Open,Won,Male
David Ferrer,2009,French Open,3rd Round,Male
Juan Carlos Ferrero,2009,French Open,2nd Round,Male
Gastón Gaudio,2009,French Open,1st Round,Male
Fernando González,2009,French Open,Semi-finalist,Male
Tommy Haas,2009,French Open,4th Round,Male
Lleyton Hewitt,2009,French Open,3rd Round,Male
Carlos Moyà,2009,French Open,Absent,Male
Andy Murray,2009,French Open,Quarterfinalist,Male
Rafael Nadal,2009,French Open,4th Round,Male
David Nalbandian,2009,French Open,Absent,Male
Kei Nishikori,2009,French Open,Absent,Male
Juan Martín del Potro,2009,French Open,Semi-finalist,Male
Andy Roddick,2009,French Open,4th Round,Male
Marat Safin,2009,French Open,2nd Round,Male
Rainer Schüttler,2009,French Open,1st Round,Male
Robin Söderling,2009,French Open,Finalist,Male
Jo-Wilfried Tsonga,2009,French Open,4th Round,Male
Stanislas Wawrinka,2009,French Open,3rd Round,Male
Kevin Anderson,2009,Wimbledon,Lost Qualifier,Male
Marcos Baghdatis,2009,Wimbledon,Absent,Male
Tomáš Berdych,2009,Wimbledon,4th Round,Male
Marin Čilić,2009,Wimbledon,3rd Round,Male
Arnaud Clément,2009,Wimbledon,1st Round,Male
Novak Djokovic,2009,Wimbledon,Quarterfinalist,Male
Roger Federer,2009,Wimbledon,Won,Male
David Ferrer,2009,Wimbledon,3rd Round,Male
Juan Carlos Ferrero,2009,Wimbledon,Quarterfinalist,Male
Gastón Gaudio,2009,Wimbledon,Absent,Male
Fernando González,2009,Wimbledon,3rd Round,Male
Tommy Haas,2009,Wimbledon,Semi-finalist,Male
Lleyton Hewitt,2009,Wimbledon,Quarterfinalist,Male
Carlos Moyà,2009,Wimbledon,Absent,Male
Andy Murray,2009,Wimbledon,Semi-finalist,Male
Rafael Nadal,2009,Wimbledon,Absent,Male
David Nalbandian,2009,Wimbledon,Absent,Male
Kei Nishikori,2009,Wimbledon,Absent,Male
Juan Martín del Potro,2009,Wimbledon,2nd Round,Male
Andy Roddick,2009,Wimbledon,Finalist,Male
Marat Safin,2009,Wimbledon,1st Round,Male
Rainer Schüttler,2009,Wimbledon,2nd Round,Male
Robin Söderling,2009,Wimbledon,4th Round,Male
Jo-Wilfried Tsonga,2009,Wimbledon,3rd Round,Male
Stanislas Wawrinka,2009,Wimbledon,4th Round,Male
Kevin Anderson,2009,US Open,Lost Qualifier,Male
Marcos Baghdatis,2009,US Open,Absent,Male
Tomáš Berdych,2009,US Open,3rd Round,Male
Marin Čilić,2009,US Open,Quarterfinalist,Male
Arnaud Clément,2009,US Open,Absent,Male
Novak Djokovic,2009,US Open,Semi-finalist,Male
Roger Federer,2009,US Open,Finalist,Male
David Ferrer,2009,US Open,2nd Round,Male
Juan Carlos Ferrero,2009,US Open,4th Round,Male
Gastón Gaudio,2009,US Open,Lost Qualifier,Male
Fernando González,2009,US Open,Quarterfinalist,Male
Tommy Haas,2009,US Open,3rd Round,Male
Lleyton Hewitt,2009,US Open,3rd Round,Male
Carlos Moyà,2009,US Open,Absent,Male
Andy Murray,2009,US Open,4th Round,Male
Rafael Nadal,2009,US Open,Semi-finalist,Male
David Nalbandian,2009,US Open,Absent,Male
Kei Nishikori,2009,US Open,Absent,Male
Juan Martín del Potro,2009,US Open,Won,Male
Andy Roddick,2009,US Open,3rd Round,Male
Marat Safin,2009,US Open,1st Round,Male
Rainer Schüttler,2009,US Open,1st Round,Male
Robin Söderling,2009,US Open,Quarterfinalist,Male
Jo-Wilfried Tsonga,2009,US Open,4th Round,Male
Stanislas Wawrinka,2009,US Open,1st Round,Male
Kevin Anderson,2010,Australian Open,1st Round,Male
Marcos Baghdatis,2010,Australian Open,3rd Round,Male
Tomáš Berdych,2010,Australian Open,2nd Round,Male
Marin Čilić,2010,Australian Open,Semi-finalist,Male
Arnaud Clément,2010,Australian Open,1st Round,Male
Novak Djokovic,2010,Australian Open,Quarterfinalist,Male
Roger Federer,2010,Australian Open,Won,Male
David Ferrer,2010,Australian Open,2nd Round,Male
Juan Carlos Ferrero,2010,Australian Open,1st Round,Male
Gastón Gaudio,2010,Australian Open,Absent,Male
Fernando González,2010,Australian Open,4th Round,Male
Tommy Haas,2010,Australian Open,3rd Round,Male
Lleyton Hewitt,2010,Australian Open,4th Round,Male
Carlos Moyà,2010,Australian Open,1st Round,Male
Andy Murray,2010,Australian Open,Finalist,Male
Rafael Nadal,2010,Australian Open,Quarterfinalist,Male
David Nalbandian,2010,Australian Open,Absent,Male
Kei Nishikori,2010,Australian Open,Absent,Male
Juan Martín del Potro,2010,Australian Open,4th Round,Male
Andy Roddick,2010,Australian Open,Quarterfinalist,Male
Marat Safin,2010,Australian Open,Retired,Male
Rainer Schüttler,2010,Australian Open,2nd Round,Male
Robin Söderling,2010,Australian Open,1st Round,Male
Jo-Wilfried Tsonga,2010,Australian Open,Semi-finalist,Male
Stanislas Wawrinka,2010,Australian Open,3rd Round,Male
Kevin Anderson,2010,French Open,1st Round,Male
Marcos Baghdatis,2010,French Open,3rd Round,Male
Tomáš Berdych,2010,French Open,Semi-finalist,Male
Marin Čilić,2010,French Open,4th Round,Male
Arnaud Clément,2010,French Open,1st Round,Male
Novak Djokovic,2010,French Open,Quarterfinalist,Male
Roger Federer,2010,French Open,Quarterfinalist,Male
David Ferrer,2010,French Open,3rd Round,Male
Juan Carlos Ferrero,2010,French Open,3rd Round,Male
Gastón Gaudio,2010,French Open,Lost Qualifier,Male
Fernando González,2010,French Open,2nd Round,Male
Tommy Haas,2010,French Open,Absent,Male
Lleyton Hewitt,2010,French Open,3rd Round,Male
Carlos Moyà,2010,French Open,Absent,Male
Andy Murray,2010,French Open,4th Round,Male
Rafael Nadal,2010,French Open,Won,Male
David Nalbandian,2010,French Open,Absent,Male
Kei Nishikori,2010,French Open,2nd Round,Male
Juan Martín del Potro,2010,French Open,Absent,Male
Andy Roddick,2010,French Open,3rd Round,Male
Marat Safin,2010,French Open,Retired,Male
Rainer Schüttler,2010,French Open,1st Round,Male
Robin Söderling,2010,French Open,Finalist,Male
Jo-Wilfried Tsonga,2010,French Open,4th Round,Male
Stanislas Wawrinka,2010,French Open,4th Round,Male
Kevin Anderson,2010,Wimbledon,1st Round,Male
Marcos Baghdatis,2010,Wimbledon,1st Round,Male
Tomáš Berdych,2010,Wimbledon,Finalist,Male
Marin Čilić,2010,Wimbledon,1st Round,Male
Arnaud Clément,2010,Wimbledon,3rd Round,Male
Novak Djokovic,2010,Wimbledon,Semi-finalist,Male
Roger Federer,2010,Wimbledon,Quarterfinalist,Male
David Ferrer,2010,Wimbledon,4th Round,Male
Juan Carlos Ferrero,2010,Wimbledon,1st Round,Male
Gastón Gaudio,2010,Wimbledon,Absent,Male
Fernando González,2010,Wimbledon,Absent,Male
