PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,HIMAL_FACTOR,REGION,REGION_FACTOR,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PHOST_FACTOR,PSTATUS,PSTATUS_FACTOR,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
DANG,Danga,NA,"Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)",6355,20850,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,830,2002,3,DANG02301,Oct 20,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne",NA,NA,NA
POKR,Pokharkang,Pokhar Khang,Damodar Himal (N of Pisang Peak),6372,20906,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,833,2002,3,POKR02301,Nov 17,"UK, Nepal","Richard Scott, Dave Wynne-Jones, Kaji Sherpa","Japanese team led by Koichi Kato climbed NW Smt on Oct 31, 2002 [which they thought was the highest]",NA,NA
NAG1,Nangpai Gosum I,"Nagpai Gosum I, Cho Aui",Khumbu Himal (WSW of Cho Oyu on Tibetan border),7321,24019,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,836,2017,3,NAG117301,Oct 03,Germany,Jost Kobusch,NA,NA,NA
KGRI,Khangri Shar,NA,Khumbu Himal (W of Pumori),6792,22283,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,842,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
KGRW,Khangri West,NA,Khumbu Himal (W of Pumori),6658,21844,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,844,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
PURB,Purbung Himal,Putrung,Damodar Himal (N of Chulu West),6500,21325,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,847,2021,3,PURB21301,Nov 30,Germany,"Jost Kobusch, Nicolas Schweidtweiler",NA,NA,NA
TASH,Tashi Kang,Tashi Khang,Mukut Himal (N of Dhampus Peak),6386,20951,16,Mukut/Mustang,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,849,2002,2,TASH02201,Aug 14,"Japan, Nepal","Yasue Mogi, Gyalzen Sherpa",NA,NA,NA
TENR,Tengi Ragi Tau,"Agole, Angole",Rolwaling Himal (N of Tesi Laptsa),6938,22762,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,851,2002,4,TENR02401,Dec 04,"Japan, Nepal","Koichi Ezaki, Ruchia Takahashi, Pasang Tamang, Tul Bahadur Tamang",NA,NA,NA
KYAS,Kyashar,"Peak 43, Tangnag Tseng",Khumbu Himal (S of Kantega),6770,22211,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,853,2003,3,KYAS03301,Oct 18,"UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank",NA,NA,NA
NREK,Nirekha,NA,Khumbu Himal (NW of Lobuje Peak),6159,20207,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,FALSE,TRUE,2002,Opened in 2002 as trekking peak,1,Nepal only,2,Climbed,855,NA,0,NA,NA,NA,1st ascent unknown,Climbing history unknown,NA,NA
NORB,Norbu Kang,Norbu Khang,Kanjiroba Himal (SE of Phoksumdo Tal),6085,19964,10,Kanjiroba,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,858,2003,2,NORB03201,Jun 25,"Japan, Nepal","Tamotsu Ohnishi, Tazuko Inoue, Koji Mizutani, Takehiro Yanigahara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",2010 German team says 2003 Japanese team did not climb main peak,NA,NA
LNKE,Lunchhung Kamo East,NA,Kanti Himal (SE of Danfe Sail on Tibetan border),6024,19764,11,Kanti/Palchung,7,Kanjiroba-Far West,FALSE,TRUE,FALSE,NA,NA,1,Nepal only,2,Climbed,860,1999,2,LNKE99201,Jul 09,"Japan, Nepal","Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",NA,NA,NA
LIK1,Linkhu Chuli Shar,"Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I",Rolwaling Himal (S of Parchamo),6719,22044,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,861,2013,3,LIK113301,Nov 13,Germany,Ines Papert,NA,NA,NA
LIK2,Linkhu Chuli Nup,"Bigphera-Go Nup, Pigpferago Nup, Linkhu Chuli II","Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",6659,21847,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,863,1960,3,LIK260301,Oct 21,"France, Nepal","Alain Barbezat, Cecile Barbezat, Nawang Dorje Sherpa",NA,NA,NA
PANT,Panalotapa,"Paniyo Tapa, Paniyo Tippa",Rolwaling Himal (W of Tengkangpoche),6687,21939,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,865,1955,1,PANT55101,May,UK,"Peter Boultbee, Dennis Davis",NA,NA,NA
SHAL,Shalbachum,"Salbachum, Phrul Rangtshan Ri",Langtang Himal (E of Langtang Lirung on Tibetan border),6707,22005,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,867,1959,3,SHAL59301,Oct 25,"Japan, Nepal","Sadao Hojo, Tetsuro Terahata, Dawa Thondup Sherpa, Pasang Temba Sherpa",NA,NA,NA
KHUM,Khumbutse,NA,Khumbu Himal (NW of Lho La on Tibetan border),6639,21781,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,4,Nepal & China,2,Climbed,870,1979,1,KHUM79101,May 15,Yugoslavia,Franz Knez,1989 Polish Everest team traversed S Smt of Khumbutse (~6400m),NA,NA
BOKT,Boktoh,Bokta,Kangchenjunga Himal (SE of Jannu),6114,20059,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,FALSE,FALSE,TRUE,NA,Opened in 2002,1,Nepal only,2,Climbed,872,1991,1,BOKT91101,Apr 10,Yugoslavia,"Marko Prezelj, Uros Rupar, Andrej Stremfelj",Boktoh possibly climbed in 1959 by Lionel Terray and Rene Desmaison during exploration of Jannu SW side,NA,NA
MOJC,Mojca,Mojka,Kangchenjunga Himal (W of Ramtang Chang),6024,19764,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,875,1974,3,MOJC74301,Oct 11,Yugoslavia,"Stane Belak, Danilo Cedilnik",Illegal ascent,NA,NA
PLNG,Palung,Palung Ri,North of Cho Oyu (in Tibet),7012,23005,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,NA,Peak entirely within China,2,China only,2,Climbed,877,1952,1,PLNG52101,May 13,New Zealand,"Edmund Hillary, George Lowe",NA,NA,NA
TUTS,Tutse,"Peak 6, Nephu",Makalu Himal (SE of Makalu),6758,22172,14,Makalu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,1,Unclimbed,878,NA,0,NA,NA,NA,Unclimbed?,Possibly climbed during acclimatization for Makalu by various teams,NA,NA
NUPE,Nuptse East I,NA,Khumbu Himal (E of Nuptse main summit),7795,25574,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Requires permit for Nuptse,1,Nepal only,2,Climbed,881,2003,3,NUPE03301,Nov 02,Russia,"Valeri Babanov, Yuri Kochelenko",NA,NA,NA
AMOT,Amotsang,Amatson,Damodar Himal (NW of Pokharhan),6393,20974,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,883,2019,3,AMOT19301,Oct 24,Germany,Jost Kobusch,Possibly climbed earlier,NA,NA
YANS,Yansa Tsenji,"Dragpoche, Dhagpache",Langtang Himal (SW of Shalbachum on Tibetan border),6567,21545,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,885,2023,3,YANS23301,Oct 28,"Ecuador, USA","Oswaldo Freire Cartegena, Joshua Jarrin Molina",NA,NA,NA
HIMJ,Himjung,Nemjung Goth,Peri Himal (S of Himlung Himal),7092,23268,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,20,Opened in 2002,1,Nepal only,2,Climbed,888,2012,3,HIMJ12301,Oct 12,S Korea,"Kim Chang-Ho, An Chi-Young",NA,NA,NA
AMPH,Amphu I,NA,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,22113,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,891,2013,3,AMPH13301,Oct 09,S Korea,"An Chi-Young, Kim Young-Mi, Oh Young-Hoon",NA,NA,NA
CHAB,Chabuk,Tsajirip,Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border),6792,22283,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,1,Unclimbed,893,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
CHAK,Chako,NA,Damodar Himal (ESE of Bhrikuti Shail),6704,21995,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,895,2007,2,CHAK07201,Jul 24,"Japan, Nepal","Kazhisa Kamisaka, Akio Omura, Hari Bahadur Chaulagai, Ang Phuri Lama",NA,NA,NA
DOMK,Dome Kang,NA,Jongsang Himal (ESE of Jongsong on Indian border),7264,23832,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,5,Nepal & India,2,Climbed,896,2009,1,DOMK09101,Apr 28,"Spain, Nepal","Emilio Lagunilla, Carlos Soria, Chhang Dawa Sherpa, Karma Gyalzen Sherpa, Halung Dorchi Sherpa",NA,NA,NA
GHAN,Ghhanyala Hies,NA,Janak Himal (NW of Janak Chuli on Tibetan border),6744,22126,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,1,Unclimbed,898,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
HUNK,Hunku,NA,Khumbu Himal (NNE of Peak 41),6119,20075,12,Khumbu,2,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,NA,"Opened in 2002, delisted in 2013?",1,Nepal only,2,Climbed,900,2012,3,HUNK12302,Nov 11,UK,"Nick Bullock, Andy Houseman",NA,NA,NA
JANK,Janak Chuli,"Janak, Outlier",Janak Himal (WNW of Jongsang on Tibetan border),7041,23100,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,902,2006,1,JANK06101,May 06,Slovenia,"Andrej Stremfelj, Rok Zalokar",NA,NA,NA
KABS,Kabru South,Kabru IV,Simhalila Himal (S of Kabru North on Indian border),7318,24009,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2003,5,Nepal & India,2,Climbed,904,1994,1,KABS94101,May 12,India,"S. P. Malik, N. Arshad, 11 members",NA,NA,NA
KABR,Kabru Main,Kabru Central,Simhalila Himal (S of Talung on Indian border),7412,24318,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2014,5,Nepal & India,2,Climbed,906,1994,1,KABR94101,May 12,India,"Dan Singh, 2 unknown members",NA,NA,NA
LASH,Lashar I,Loshar I,Janak Himal (NW of Lashar II on Tibetan border),6842,22448,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,909,2005,3,LASH05301,Oct 12,Slovenia,"Andrej Stremfelj, Miha Habjan",NA,NA,NA
LAS2,Lashar II,Loshar II,Janak Himal (SW of Ghhanyala Hies on Tibetan border),6803,22320,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,1,Unclimbed,911,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
NAG2,Nangpai Gosum II,"Nagpai Gosum II, Chamar",Khumbu Himal (WSW of Cho Oyu on Tibetan border),7287,23907,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,1,Unclimbed,913,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
NANG,Nangamari I,NA,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),6547,21480,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,917,2010,3,NANG10301,Nov 05,Australia,"Timothy Macartney-Snape, David Barton",NA,NA,NA
PANB,Panbari,NA,Peri Himal (NW of Larkya La),6905,22654,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,919,2006,3,PANB06301,Sep 29,Japan,"Yoshimi Kato, Gakuto Komiya, Sayaka Koyama, Kenro Nakajima, Yosuke Urabe",NA,NA,NA
PHNH,Phungi Himal,NA,Manaslu Himal (W of Manaslu),6538,21450,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,921,2017,3,PHNH17301,Oct 28,Russia,"Yuri Koshelenko, Akeksei Lonchinskiy",NA,NA,NA
MARI,Mariyang,NA,Kanti Himal (SE of Kanti Himal on Tibetan border),6528,21417,11,Kanti/Palchung,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,925,2021,3,MARI21301,Oct 09,"S Korea, Nepal","Baek Jong-Min, Joung Je-Gyun, Jung Jae-Jin, Ongchhu Sherpa",NA,NA,NA
TKRG,Takargo,Dragker-go,Rolwaling Himal (E of Chobutse),6771,22215,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,926,2010,1,TKRG10101,Mar 12,USA,"David Gottlieb, Joseph Puryear",NA,NA,NA
THUL,Thulagi,Mansiri Himal,Manaslu Himal (SW of Manaslu),7059,23159,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,928,2015,3,THUL15301,Sep 26,Russia,"Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo",NA,NA,NA
JOMS,Jomsom Himal,Jomsang Himal,Damodar Himal (WNW of Amotsang Himal),6335,20784,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,931,2003,3,JOMS03301,Nov 04,"France, Nepal","Hugues De Varax, Yves Exbrayat, Frederique Gaume, Paulo Grobel, Mingma Temba Sherpa",NA,NA,NA
BAMO,Bamongo,NA,Rolwaling Himal (E of Chekigo on Tibetan border),6400,20997,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,933,2013,3,BAMO13301,Oct 30,"Nepal, China","Mingma Gyalje Sherpa, Yong Liu, Pema Chhiring/Chhiri Sherpa",NA,NA,NA
CHAW,Chaw Peak,Chaw East,Ohmi Kangri Himal (WNW of Ohmi Kangri on Tibetan border),6404,21010,6,Janak/Ohmi Kangri,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,1,Unclimbed,936,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
DING,Dingjung North,"Kangkuru, Rima Mancho",Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6249,20502,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2014,4,Nepal & China,2,Climbed,938,1955,1,DING55101,May 16,UK,"Peter Boultbee, Dennis Davis",This team called the peak Kangkuru,NA,NA
KNAG,Kang Nagchugo,Khang Nagchugo,Rolwaling Himal (E of Chekigo on Tibetan border),6737,22103,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,2,Climbed,940,2008,3,KNAG08301,Oct 17,USA,"Joseph Puryear, David Gottlieb",NA,NA,NA
KBON,Konabon,Kambon,Dhaulagiri Himal (SE of Gurja Himal),6570,21555,4,Dhaulagiri,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,1,Unclimbed,942,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
KHAM,Khamjung,"Khumjung, Khamjungar",Damodar Himal (W of Saribung and Bhrikuti),6759,22175,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,944,2023,4,KHAM23401,Dec 21,Nepal,"Pur Bahadur Gurung, Prakash Gurung",Likely climbed in 1982 by Japanese,NA,NA
KYR1,Kyungka Ri 1,Kyungya Ri 1,Langtang Himal (NE of Shalbachum near Tibetan border),6599,21650,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,945,2017,3,KYR117301,Oct 15,S Korea,"Han San-Hum, Oh Chi-Wan",Ascent claimed by Italians in 1963 (Lino Andreotti) by likely on different peak,NA,NA
KYR2,Kyungka Ri 2,Kyungya Ri 2,Langtang Himal (NE of Shalbachum on Tibetan border),6506,21345,13,Langtang,3,Langtang-Jugal,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,947,2020,4,KYR220401,Dec 11,"Switzerland, Nepal","Sphie Lavaud, Dawa Sange Sherpa, Mingma Sherpa, Tenjing Sherpa",NA,NA,NA
KOJI,Kojichuwa Chuli,NA,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),6439,21125,11,Kanti/Palchung,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,948,2010,1,KOJI10101,May 25,Japan,"Ken Fujikawa, Yuta Kawamura, Satoshi Kimoto",NA,NA,NA
CHIV,Chhiv Himal,Chhib Himal,Damodar Himal (SW of Saribang and WSW of Bhrikuti),6650,21818,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,949,2004,3,CHIV04301,Sep 18,Japan,"Takeshi Wada, Mitsuhiro Koseki, Yubo Shibata, Takeo Yoshinaga",NA,NA,NA
LMOC,Langmoche Ri,NA,Rolwaling Himal (N of Tesi Laptsa),6552,21496,19,Rolwaling,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,951,2012,3,LMOC12301,Nov 17,USA,"Roberto Villanueva, Alan Rousseau",NA,NA,NA
LCHA,Lachama Chuli,"Kubi Kangri, Kubi Dongdong",Changla Himal (N of Gorakh Himal on Tibetan border),6721,22051,17,Nalakankar/Chandi/Changla,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,954,2007,3,LCHA07301,Sep 14,Japan,"Atsushi Senda, Ryouta Fujii, Keizou Ishikawa, Hiroshi Kobayashi, Kouhei Kotani, Naoki Shimozato, Yuhki Tani",NA,NA,NA
PAN1,Panpoche 1,"Pang Phunch 1, Kutang Himal",Manaslu Himal (NE of Sama village near Tibetan border),6620,21719,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,956,2019,3,PAN119301,Oct 03,Georgia,"Archil Badriashvi, Bakari Gelashvili, Giorgi Tepnadze",NA,NA,NA
PAN2,Panpoche 2,Pang Phunch 2,Manaslu Himal (NE of Sama village near Tibetan border),6504,21339,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,958,2019,3,PAN219301,Sep 22,Georgia,"Archil Badriashvi, Bakari Gelashvili, Giorgi Tepnadze",NA,NA,NA
PHOL,Phole,Pholesobi,Kangchenjunga Himal (W of Kumbhakarna and Sobitongie),6645,21801,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,960,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
PHUK,Phu Kang,Phu Khang,Peri Himal (N of Cheo Himal on Tibetan border),6694,21962,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,962,2022,1,PHUK22101,04 May,"S Korea, Nepal","Kim Mi-Gon, Kang Sin-Won, Jang Dae-Boo, Lee Kun-Jin, Kim Min-Soo, Chhiring Sherpa, Dawa Tshering Sherpa",NA,NA,NA
LNGK,Langchung Khang,Langpo Chung,Jongsang Himal (NW of Langpo on Indian border),6786,22264,7,Jongsang,1,Kangchenjunga-Janak,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,1,Unclimbed,963,NA,0,NA,NA,NA,Unclimbed?,NA,NA,NA
PK04,Peak 4,Shershon Ri,Khumbu Himal (SE of Baruntse),6736,22100,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,1,Unclimbed,965,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
NAM2,Nampa II,NA,Api Himal (W of Nampa),6585,21604,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,969,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
NAM3,Nampa III,Nampa Chuli,Api Himal (SE of Nampa),6611,21690,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,971,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
NAMS,Nampa South,NA,"Api Himal (S of Nampa, W of Nampa Chuli)",6130,20112,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,973,NA,0,NA,NA,NA,Unclimbed?,NA,NA,NA
SOBI,Sobithongie,NA,Kangchenjunga Himal (W of Kumbhakarna),6652,21824,9,Kangchenjunga/Simhalila,1,Kangchenjunga-Janak,TRUE,TRUE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,975,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
SHER,Shershon,Peak 3,Makalu Himal (NE of Shershon village on Tibetan border),6432,21102,14,Makalu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,1,Unclimbed,977,NA,1,NA,NA,NA,Unclimbed,NA,NA,NA
SWAK,Swaksa Kang,NA,Kanti Himal (SE of Kanti Himal peak on Tibetan border),6405,21014,11,Kanti/Palchung,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,1,Unclimbed,982,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
TILJ,Tilje,NA,Peri Himal (SE of Gyajikang),6530,21424,18,Peri,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,1,Unclimbed,983,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
TSAR,Tsartse,NA,Mukut Himal (N of Dhampus Peak),6343,20810,16,Mukut/Mustang,6,Dhaulagiri-Mukut,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,986,2018,3,TSAR18301,Sep 25,"Japan, Nepal","Kouki Ikeda, Daisuke Simozuru, Yujiro Suga, Asahi Takeshita, Dendi Sherpa, Ngima Sherpa, Pemba Sherpa, Tenjin Sherpa, Bir Kaji Tamang",NA,NA,NA
YAKA,Yakawa Kang,NA,Damodar Himal (N of Thorong La),6482,21266,3,Damodar,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Opened in 2003,1,Nepal only,2,Climbed,988,2010,3,YAKA10301,Nov 07,"Japan, Nepal","Hidenobu Tsuji, Dawa Norbu Sherpa, Dawa Tshering Sherpa, Tshering Tashi Sherpa",NA,NA,NA
YAUP,Yaupa,NA,Makalu Himal (NE of Shershon village on Tibetan border),6422,21070,14,Makalu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,990,1989,3,YAUP89301,Sep,"UK, USA","Andy Fanshawe, Vic Saunders, Stephen Sustad",NA,NA,NA
TILK,Til Kang,NA,Nalakankar Himal (on W Nepal/Tibetan border),6369,20896,17,Nalakankar/Chandi/Changla,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,991,2018,3,TILK18301,Oct 15,UK,"Ed Douglas, Bruce Normand",NA,NA,NA
YOKO,Yokopahar,Nampa VIII,Guras Himal (NNE of Nampa towards Tibetan border),6423,21073,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,Opened in 2002,4,Nepal & China,1,Unclimbed,993,NA,0,NA,NA,NA,Unclimbed,NA,NA,NA
SALW,Saldim West,"Peak 5, Saldim Ri, Yaphu Ri",Makalu Himal (ENE of Shershon village on Tibetan border),6388,20958,14,Makalu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,997,2016,3,SALW16301,Nov 01,Romania,"Vlad Capusan, Zolt Torok",NA,NA,NA
SAMD,Samdo,NA,Manaslu Himal (NNE of Panpoche 1 & 2 on Tibetan border),6335,20784,15,Manaslu/Mansiri,4,Manaslu-Ganesh,TRUE,FALSE,FALSE,NA,Opened in 2003,4,Nepal & China,2,Climbed,1005,2009,3,SAMD09302,Oct 20,Japan,"Yasuke Kuramoto, Yoshitaka Kameoka, Kohei Kotani, Seiya Nakasukasa, Daisuke Nakatsuka, Hiroki Yamamoto",NA,NA,NA
