"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
Truthout,,https://truthout.org,,No,,,"United States",English,,,"Not for Profit",2001,,,,,,,,,,,,,,,,,,,,,,,,,,,"Truthout is a nonprofit news organization dedicated to providing independent reporting and commentary on a diverse range of social justice issues. Since our founding in 2001, we have anchored our work in principles of accuracy, transparency, and independence from the influence of corporate and political forces.
Truthout works to spark action by revealing systemic injustice and providing a platform for progressive and transformative ideas, through in-depth investigative reporting and critical analysis."
"Tu Noticia PR",,https://www.tunoticiapr.com,,No,,PR,"United States",Spanish,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tu Nuevo Periódico Digital en Puerto Rico, No Tradicional Noticia de una Forma Diferente"
"Tube City Almanac",,https://almanac.tubecityonline.com,"Tube City Community Media Inc.",No,McKeesport,PA,"United States",English,,"Sole Proprietor/no specific tax status","Nonprofit 501c(3) or Canadian nonprofit",1996,0,71-80,0-10,11-20,0-10,"Originally-reported articles, Podcasts, Radio",,"Owned and operated mobile app(s), Radio, Social media, Website",,"Neighborhood(s), City/Town","Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Events in coverage area, Government, Planning & Development",,"Low-income communities, People of color",,"Direct sold advertising, Foundation funding, Major individual gifts, Philanthropic funding from major institutions",,,"Foundation funding",,,,"Display, Video",,,"Tube City Online is an independent, non-profit source of news, tourism information, data, commentary and ""witty""* remarks about events in and around McKeesport, Allegheny County's second-largest city and the heart of America's historic Steel Valley. (* -- So, would you believe half-witty?)"
TucsonSentinel.com,,https://TucsonSentinel.com,"Non Profit",No,Tucson,AZ,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2009,3-5,61-70,11-20,0-10,0-10,"Events, Newsletters, Originally-reported articles, Printed media, Video",,"Social media, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Environment, Government, Immigration, Politics, Race & Ethnicity",,,,"Direct sold advertising, Foundation funding, Reader membership, Small individual gifts",,,"Reader membership",,"I don't have a paywall",,"Content Sponsorship, Display",,"Our breaking news and investigative reporting has resulted in policy changes — sometimes immediate — in school districts, city councils, our county board and Congress, while providing an authentic and knowing lens on the unique culture and politics of Arizona's borderlands.","TucsonSentinel.com, founded in 2009, is a nonprofit local independent online news organization that offers unbiased professional reporting and engaging community conversation."
"TXK Today",,https://txktoday.com,,No,Texarkana,TX,"United States",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"What TXKtoday.com does is simple - we write stories that are relevant to citizens of the Texarkana and sell ads."
"Um Hoops",,http://www.umhoops.com,,No,,MI,"United States",English,,,"For Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan basketball news, recruiting and analysis."
"Universal Hub",,https://universalhub.com,"Adam Gaffin",Yes,Boston,MA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2005,1,81-90,0-10,0-10,0-10,"Originally-reported articles, Social media-only content",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, In-depth feature and explanatory reporting, Single-subject news",,"Crime & Justice, Government, Planning & Development, Politics, Transportation",,"Ethnic communities, Low-income communities, People of color",,"Programmatic advertising, Reader membership, Small individual gifts",,,"Programmatic advertising",,,,"Content Sponsorship, Display",,"Boston is a strong MSM market, but it tends to miss neighborhood-specific news, from approvals of new buildings and restaurants to non-murder crime news; this is the niche I fill.","Universal Hub, started in 2005, is a community news and information site for the Boston area based on the idea that residents can help keep themselves informed. Combining reports from a pool of hundreds of local bloggers, photographers and tweeters, Universal Hub posts daily news and links, often before the mainstream media, and gives local folks a place to discuss the day's events - and to post news on their own."
"Unpretentious Palate",,https://UnpretentiousPalate.com,"Kristen Wile",Yes,Charlotte,NC,"United States",English,,LLC,LLC,2018,1,31-40,0-10,21-30,0-10,"Events, Newsletters, Originally-reported articles",,"Social media, Website",,City/Town,"In-depth feature and explanatory reporting, Single-subject news",,Food,,"People of color",,"Events, Reader membership",,,"Reader membership",,"Hard paywall (all content behind a gate)",,"I don’t sell any advertising products.",,,"Welcome to Unpretentious Palate, a digital publication covering food and drink based in Charlotte, North Carolina. We’re so thankful you’re reading this, because that means like us, you’ve been seeking consistent food and drink coverage you can trust. Sure, there are options out there. But good food coverage takes experience, and is expensive. Some publications can’t afford it; others let paychecks or page views determine what places get good coverage. Neither benefits the reader — so we’re doing things differently."
"Upstart NY",,https://www.upstartny.org,,No,,NY,"United States",English,,,"For Profit",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,"UpstartNY is devoted exclusively to entrepreneurship & innovation in Western New York. We are committed to covering the full entrepreneurial ecosystem in the region, from venture capital-backed, high-growth startups to grassroots, neighborhood small business--and everything in between."
"Uptown Collective",,https://uptowncollective.com,,No,"New York City",NY,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Uptown Collective is the voice of Uptown Online. We have been preaching the Uptown Gospel on a daily basis since Feb 2010.
Washington Heights, Inwood and Harlem are undergoing a rebirth that Led Black has dubbed the Uptown Renaissance. The Uptown Collective’s mission is to document that verve, energy and dynamism in real time as well as to help shape it’s trajectory."
"Uptown Messenger",,https://uptownmessenger.com,,No,"New Orleans",LA,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"UptownMessenger.com is a local, independent online source of news, commerce and knowledge for Uptown New Orleans that had its formal launch in September 2010."
"Urban Milwaukee",,https://urbanmilwaukee.com,,No,Milwaukee,WI,"United States",English,,,"For Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban Milwaukee is an online daily focused on the city of Milwaukee. Founded in 2008, the publication covers real estate, politics, arts & entertainment and food & drink news.
The publication is funded by a mix of online advertising and paid membership."
"Valley Independent Sentinel","Online Journalism Project",https://valley.newhavenindependent.org,"Paul Bass",No,"lower Naugatuck Valley",CT,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2009,1,71-80,0-10,0-10,11-20,"Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Website",,City/Town,"Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Government, Planning & Development, Politics",,"Low-income communities",,"Philanthropic funding from major institutions",,,"Foundation funding",,,,"Content Sponsorship, Display",,"We have pushed local government to be more open, adapt to social media, exposed corruption","A publication Monday through Friday covering news in Connecticut’s lower Naugatuck Valley — and just the lower Naugatuck Valley."
"Valley News",,https://grainvalleynews.com,"John Unrein, Cory Unrein",No,"Old Lyme",CT,"United States",English,,LLC,LLC,2018,0,0-10,0-10,61-70,0-10,"Originally-reported articles, Printed media",,"Social media, Website",,City/Town,"Hyperlocal community comings and goings",,"Business, Education & Schools, Events in coverage area, Government, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,,"Valley News is a weekly community newspaper for and about Grain Valley. We focus solely on Grain Valley news and events and help build relationships between our advertisers and our readers."
"Valley News Now",,https://valleynewsnow.com,,No,"Old Saybrook",CT,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vancouver Is Awesome","Glacier Media",https://vancouverisawesome.com,"LMP Publication Limited Partnership",No,Vancouver,BC,Canada,English,,"Sole Proprietor/no specific tax status",Partnership,2008,6-10,21-30,21-30,0-10,11-20,"Digital marketing services, Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Owned and operated mobile app(s), Social media, Syndicated feed or content partnerships, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, Single-subject news",,"Crime & Justice, Entertainment & Arts, Events in coverage area, Food, Politics, Transportation",,,,"Direct sold advertising, e-Commerce, Programmatic advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"We keep people, including ex-pats, connected to their city in a way that's uplifting and encourages them to participate.","We publish Vancouver news, lifestyle and culture stories, keeping readers up to date on everything happening in their city."
"Vancouver Observer",,https://www.vancouverobserver.com/FAQs-Subscription,,No,Vancouver,AB,Canada,English,,,"For Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Vancouver Observer is a community publishing platform for local bloggers, arts and culture critics, real estate watchers, the city's fun lovers and people who have a strong opinion on just about anything reasonable, (and, yeah, there are many of you in our city) as long as they can write. It transformed in 2016 from a news site staffed by journalists back to its roots in citizen journalism."
"Vero Communiqué",,https://verocommunique.com,"Thomas Tenney Hardy",Yes,"Vero Beach",FL,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2014,0,0-10,0-10,0-10,0-10,"Originally-reported articles",,"Website, Social media",,"City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Single-subject news, Investigative news, In-depth feature and explanatory reporting",,"Corruption, Education & Schools, Environment, Gender Identity, Government, Health & Medicine, Politics, Social Justice & Inequality",,"LGBTQI communities, People of color",,,,,,,,,"I don’t sell any advertising products.",,"We provide in-depth reporting on issues not covered by other media outlets.","Vero Communiqué has emerged as a leader in regional journalism.  We provide in-depth knowledge and insight on important issues facing Vero Beach, Indian River County; as well as National and International issues that affect our area."
"Village Free Press",,https://www.vfpress.news,,No,Maywood,IL,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a completely local, independent portal of information, news, reporting, analysis and story-gathering for Proviso Township."
"Village Green",,https://villagegreennj.com,,No,Maplewood,NJ,"United States",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Village Green provides day-to-day, granular news coverage of the issues that matter to the people of Maplewood, South Orange, and environs — including education, redevelopment, taxes, public safety, governance, local business, the arts and culture, and lifestyle — with fairness, thoroughness, humanity and a distinct voice."
"Villalba Online",,https://villalbaonlinepr.com,"Jose Santiago",No,Villalba,PR,"United States",Spanish,,LLC,"Sole Proprietor/no specific tax status",2010,1,0-10,51-60,21-30,11-20,,,,,,,,,,,,,,,,,,,,,,"El periódico digital Villalba Online es una iniciativa que pretende mantener al pueblo informado de aquellas cosas que suceden en nuestro entorno y que no son cubiertas por los medios de comunicación tradicionales. Para esto utilizamos la tecnología como herramienta de trabajo porque consideramos que ha impactado favorablemente a nuestra comunidad y se ha convertido en parte de nuestras vidas."
"Virgin Island Consortium",,https://viconsortium.com,,No,,,"U.S. Virgin Islands",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Virgin Islands Consortium was founded in 2014 by Ernice Gilbert and covers U.S. Virgin Islands and Caribbean news, politics, opinion, business, entertainment, culture and much more. Its mission is to offer solid and in-depth reporting and breaking news coverage on stories affecting the Caribbean, while providing both prerecorded and live video content, including interviews, shows, along with Caribbean carnivals and festivals to its users."
"Virginia Mercury","States Newsroom",https://www.virginiamercury.com,,No,Richmond,VA,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,3-5,,,,,"Newsletters, Originally-reported articles",,"Email, Social media, Website",,State/Province,"Breaking News, In-depth feature and explanatory reporting, Investigative news",,"Crime & Justice, Energy, Environment, Government, Health & Medicine",,,,,,,,,"I don't have a paywall",,"I don’t sell any advertising products.",,,"The Virginia Mercury is a nonprofit, nonpartisan outlet covering Virginia government and policy. They are part of the States Newsroom network of outlets based in state capitals. https://statesnewsroom.com/"
Vngle,,https://vngle.com,"Blake Stoner",No,,,"United States",English,,LLC,LLC,2016,3-5,31-40,11-20,21-30,0-10,"Originally-reported articles, Video, Newsletters, Social media-only content",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings",,"Events in coverage area, Politics, Race & Ethnicity, Social Justice & Inequality, Culture",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Small individual gifts",,,"Programmatic advertising",,"I don't have a paywall",,"Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"Our goal is to address news deserts and report on the underrepresented.","Vngle is a decentralized grassroots news network bringing coverage to underreported parts of society. We address news deserts, areas that get limited to no news coverage, by capturing human-interests stories that go underrepresented."
"Voice of OC",,https://voiceofoc.org,,No,"Santa Ana",CA,"United States",English,,,"Not for Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange County's nonprofit newsroom. We deliver fair and thoughtful stories on the community’s quality of life, local government, arts and culture."
"Voice of San Diego",,https://voiceofsandiego.org,,No,"San Diego",CA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2005,16-20,31-40,21-30,0-10,21-30,"Originally-reported articles, Video, Podcasts, Newsletters, Events",,"Website, Social media, Third party content platforms, Email",,"County/Counties/Regional districts","Investigative news",,"Education & Schools, Environment, Government, Immigration, Politics",,,,"Reader membership, Major individual gifts, Philanthropic funding from major institutions",,,"Major individual gifts",,,,"Display, Content Sponsorship",,"We have several metrics we use to evaluate our impact. They are: 1 # of stories picked-up by other media outlets Includes all stories with reference to VOSD reporting--73 in 2019 Excludes “Round-ups” of stories, such as Politico’s CA report Excludes mentions of VOSD as a subject in stories about the industry or host of an event 73 2 # of stories broken/first reported by VOSD VOSD identified story and reported it; other news sources followed VOSD lead--66 in 2019 3 # of stories resulting in action Stories that drove specific action by public figure or agency Stories that shaped public discussion--18","Voice of San Diego is a nonprofit news organization. We were founded in 2005 by Union-Tribune columnist Neil Morgan and entrepreneur Buzz Woolley because they felt the region needed more reporting, analysis and journalistic competition.
At VOSD, we reveal why things are the way they are and expose facts that people in power might not want out there. We also take the time to explain complex local public policy issues so you can be engaged and make good decisions."
"Voice of San Diego",,https://www.voiceofsandiego.org,,No,"San Diego",CA,"United States",English,,,"Not for Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voice of San Diego is a nonprofit news organization. We were founded in 2005 by Union-Tribune columnist Neil Morgan and entrepreneur Buzz Woolley because they felt the region needed more reporting, analysis and journalistic competition.
At VOSD, we reveal why things are the way they are and expose facts that people in power might not want out there. We also take the time to explain complex local public policy issues so you can be engaged and make good decisions."
"Voices of Monterey Bay",,https://voicesofmontereybay.org,,No,Salinas,CA,"United States",English,,,"Not for Profit",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voices of Monterey Bay is a not-for-profit bilingual news organization serving Monterey and Santa Cruz counties. It was launched in 2017 by veteran local journalists who believe the region needs a new journalistic vision, while providing a central location for people who have been ignored by the traditional media to express themselves or to report news from their neighborhoods."
"Voices: River City",,https://voicesrivercity.com,,No,Sacramento,CA,"United States",English,,,"For Profit",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,"VOICES: River City is Sacramento’s newest progressive media outlet.
Founded by reporter and journalism professor Dave Kempa, V:RC’s mission is two-fold:
To provide hard-hitting investigative reporting and impactful local arts coverage in the face of a rapidly shrinking news industry.
To create a space for commentary and essays from the region’s voices that speak truth to power."
VTDigger,,https://vtdigger.org,,No,Montpelier,VT,"United States",English,,,"Not for Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"VTDigger.org is a statewide news website that publishes watchdog reports on state government, politics, consumer affairs, business and public policy. We publish daily, original stories with an emphasis on investigative reporting, video, audio and photos, in addition to raw information in the form of press releases and government documents."
W42ST,,https://w42st.com,"Phil O'Brien",Yes,"New York",NY,"United States",English,,LLC,LLC,2015,2,31-40,21-30,11-20,0-10,"Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings",,"Entertainment & Arts, Events in coverage area, Food, Lifestyle",,"LGBTQI communities",,"Direct sold advertising, Other forms of corporate sponsorship",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship",,"The W42ST audience is as diverse as the Hell’s Kitchen community we serve. The hard-working readership is economically diverse, 30% identify as LGBTQ+. More than half of our audience has been hard-hit by the crisis (51% percent of readers are employed in the creative and/or entertainment sectors). The local service industry based around restaurants, bars and coffee shops has been decimated. (Source: W42ST reader survey December 2019). During the COVID-19 crisis, Hell’s Kitchen has been at the center of world news - Javits Center, USNS Comfort, Times Square, and Broadway are all on our patch.The neighborhood spans 100 blocks (from W34th St to W59th St and 8th Avenue to the Hudson River). It is an increasingly ethnically diverse neighborhood (45% of the neighborhood is non-white - 20% of residents identify as LatinX, 19% identify as Asian, and 6% identify as Black); 26% of residents are first-generation immigrants. Hell’s Kitchen is also an economically diverse neighborhood - household income ranges from","W42ST was launched in October 2014, a print magazine defiantly making a stand for quality and authenticity in a culture increasingly stuck on a digital hamster wheel of screen time."
"War on the Rocks",,https://warontherocks.com,,No,Washington,DC,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"War on the Rocks is a platform for analysis, commentary, debate and multimedia content on foreign policy and national security issues through a realist lens. It features articles and podcasts produced by an array of writers with deep experience in these matters: top notch scholars who study war, those who have served or worked in war zones, and more than a few who have done it all."
"Washington City Paper",,https://washingtoncitypaper.com,"Mark Ein",No,Washington,DC,"United States",English,,LLC,LLC,1981,"21 or more",41-50,31-40,11-20,11-20,"Events, Newsletters, Originally-reported articles, Podcasts, Printed media",,"Social media, Website",,"Neighborhood(s), City/Town, State/Province","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Entertainment & Arts, Events in coverage area, Food, Government, Sports & Recreation",,"Low-income communities, People of color",,"Direct sold advertising, Events, Other forms of corporate sponsorship, Philanthropic funding from major institutions",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"We reach an audience of nearly half a million unique readers monthly and also distribute 48,000 free weekly newspapers to 1,100 distribution points throughout the metropolitan area. In particular, we are proud to be a freely accessible local newspaper with strong distribution throughout Wards 7 and 8—two historically underrepresented, black-majority, and poorer areas of the city. Our mandate is to be a free and local news resource for all of D.C.’s residents, from longtime residents and newcomers, to low-income and wealthy residents, and everyone in between and everyone who fits into none of these boxes.","Member-supported community newspaper, with reporting on local culture, food, arts, sports, and politics."
WataugaOnline.com,,https://wataugaonline.com,"Kenneth Reece",No,Crucis,NC,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2011,1,0-10,0-10,91-100,91-100,,,,,,,,,,,,,,,,,,,,,,"WataugaOnline.com is your constantly-updated source for information that impacts locals, students, and visitors. Our community depends on Watauga Online to bring the latest in news, weather, road conditions and more."
"Watershed Post",,https://watershedpost.com,,No,Margaretville,NY,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Welcome to The Watershed Post. We're a news and information hub for the Catskills, the source of New York City's water. If you live in Delaware, Ulster, Greene, Sullivan or Schoharie County--or if you're one of the 9 million people whose water comes from the Catskill mountains--this site is for you."
"Wausau Pilot & Review",,https://wausaupilotandreview.com,"Non Profit",No,Wausau,WI,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2016,3-5,51-60,11-20,21-30,0-10,"Originally-reported articles, Podcasts, Newsletters, Events",,"Website, Owned and operated mobile app(s), Social media, Third party content platforms",,City/Town,"Investigative news, Curation and commentary, Hyperlocal community comings and goings",,"Business, Crime & Justice, Environment, Government, Sports & Recreation",,,,"Direct sold advertising, Programmatic advertising, Small individual gifts, Major individual gifts",,,"Major individual gifts",,"I don't have a paywall",,"Display, Video",,"Some of our reporting revealed major flaws in the way public-private partnerships were vetted in our city, which resulted in significant changes to protect taxpayers in the future. Our reporting also prompted several environmental investigation and cleanup activities.","Wausau Pilot & Review is an independent, 501c3 nonprofit newsroom devoted to educating the public about crucial issues in central Wisconsin with a special focus on public policy and quality of life issues."
We-Ha.com,,https://We-Ha.com,"Kaushik Makati; Robert Carr; Tom Hickey; Joy Taylor, Kaushik Makati, Ronnie Newton, Bob Carr",Yes,"South Glastonbury",CT,"United States",English,,LLC,LLC,2014,1,41-50,0-10,21-30,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Events",,"Website, Owned and operated mobile app(s), Social media, Third party content platforms, Syndicated feed or content partnerships",,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Education & Schools, Government, Sports & Recreation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We are highly-regarded as the authoritative news source for everything happening in the town that we cover. The site is mentioned by politicians, business organizations, schools, and others as THE place to get accurate and thorough news about what is happening in West Hartford, CT.","We-Ha.com is a hyperlocal online site where people can find accurate information they  need and want about our town, its schools, businesses, real estate, sports, restaurants, charitable events, arts, and more, and where advertisers will connect with their target audience to maximize results."
"Webb City Sentinel",,https://webbcity.net,"Zinc City Sentinel Inc.",No,"Webb City",MO,"United States",English,,"For Profit","Not for Profit",,1,,,21-30,,"Originally-reported articles",,Website,,City/Town,"Hyperlocal community comings and goings",,"Education & Schools, Events in coverage area, Government, Sports & Recreation",,,,"Direct sold advertising, Small individual gifts",,,,,,,Classifieds,,"The community was saddened that it was losing its newspaper, but I've received thanks (for not really retiring) and encouragement to continue covering our town like no other medium does. I think within a year more people will be reading the website than there were reading the newspaper.",
WEHOville,,https://WEHOville.com,"Henry Scott",No,Hollywood,CA,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2012,1,61-70,0-10,11-20,11-20,"Originally-reported articles, Newsletters",,"Website, Social media",,City/Town,"Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Government, Planning & Development, Politics, Local Profiles",,"LGBTQI communities",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Branded content (e.g. marketing content with editorial review by the advertiser)",,"Our report: https://www.wehoville.com/2020/03/18/wehoville-mission-goals-accomplish…. Password is Security8899MN","WEHOville has two primary goals. One is to be the complete source of information we need to make the most of life in California’s most creative and diverse city. That means WEHOville covers a wide range of subjects and covers the variety of communities that make West Hollywood such an interesting place to live. Our other goal is to foster an informed and engaged community."
"West Carleton Online",,https://westcarletononline.com,"Jake Davies",No,"West Carleton, Ottawa",ON,Canada,English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2018,1,51-60,21-30,11-20,0-10,"Originally-reported articles, Digital marketing services, Events",,"Website, Social media",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Events in coverage area, Politics, Sports & Recreation, Local News",,,,"Direct sold advertising, Reader subscriptions",,,"Reader subscriptions",,"Hard paywall (all content behind a gate)",,"Display, Content Sponsorship",,"Our coverage area was previously designated a news desert when the last weekly newspaper closed in 2016. We are the first daily-publishing media outlet in our community's (West Carleton) history.","West Carleton Online provides daily coverage of breaking news, community news, obituaries, photos and community coverage of issues directly related to the residents of West Carleton."
"West Chester Hispano",,https://www.westchesterhispano.net,,No,"West Chester",NY,"United States",Spanish,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westchester Hispano, es un periódico con plataforma impresa y digital, dedicado al servicio de la comunidad hispana de Nueva York y Connecticut."
"West of the I",,https://westofthei.com,"Darren Hillock, Karen Hillock",Yes,Salem,WI,"United States",English,,LLC,"Sole Proprietor/no specific tax status",2009,2,71-80,11-20,0-10,0-10,"Originally-reported articles, Video",,"Website, Social media",,"County/Counties/Regional districts","Single-subject news, Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Events in coverage area, Government, Planning & Development",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We cover an area with its own identity that has largely been an afterthought for other nearby media organizations.","westofthei.com is the news source Western Kenosha County has always deserved. It’s been created and written by people who live west of the I for people who live west of the I."
"West Orlando News",,https://westorlandonews.com,,No,Orlando,FL,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Orlando News provides news and perspectives about non-tourist, urban Florida life from a residents perspective."
"West Philly Local",,http://www.westphillylocal.com,,No,Philadelphia,PA,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Philly Local is a locally owned community news website that began in December of 2010. Our coverage area is roughly from the Schuylkill River to 52nd Street and Lancaster Avenue to Woodland Avenue, including the following West Philly neighborhoods: Spruce Hill, Cedar Park, University City, Powelton Village, Garden Court, Squirrel Hill, Walnut Hill, and more."
"West Seattle Blog",,https://westseattleblog.com,,No,Seattle,WA,"United States",English,,,"For Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"What's happening in West Seattle NOW - what you're saying about it - what you can do about it."
"Weston Today",,https://westontoday.news,"Ted Craft",No,Weston,CT,"United States",English,,"Sole Proprietor/no specific tax status","S Corp",2018,2,61-70,0-10,0-10,21-30,"Originally-reported articles, Video",,"Website, Owned and operated mobile app(s), Social media",,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Education & Schools, Environment, Events in coverage area, Government, Politics",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship",,"Greater public engagement in town affairs, greater participation in community events, greater local awareness of state issues",
WestportNow.com,,https://westportnow.com,"Gordon F. Joseloff",Yes,Westport,CT,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2003,1,71-80,0-10,11-20,11-20,"Originally-reported articles",,Website,,City/Town,"Hyperlocal community comings and goings",,"Business, Crime & Justice, Education & Schools, Events in coverage area, Government",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"WestportNow.com is the only locally owned and published news site for one of the nation's top demographic markets. Westport goes to WestportNow, lately in record numbers, to learn the latest news, often exclusive.","WestportNow is Westport, Connecticut’s 24/7 news and information source, offering insights into Westport-related news and news of interest to Westporters."
"What's Up Newp","What's Up New England",https://whatsupnewp.com,"Ryan Belmore",No,Newport,RI,"United States",English,,LLC,LLC,2012,1,61-70,41-50,31-40,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Entertainment & Arts, Events in coverage area, Food, Government",,"LGBTQI communities, Low-income communities",,"Direct sold advertising, Reader membership, Small individual gifts, Events",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,,"What’s Up Newp is dedicated to covering all that’s happening, new and to do in and around Newport, Rhode Island."
"What's Up Prince William",,http://whatsupwoodbridge.com,,No,,VA,"United States",English,,,"For Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince William County's free lifestyle news source. Your companion to the county.
We are a community news site that focuses on local news, non-profits, and community based organizations - businesses and people doing great things in the county."
