tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
2003-022,2452793.24,2003-06-02,2003,Soyuz-FG,Fregat,Mars Express,STSM,F,O,private
2003-059,2453001.4,2003-12-27,2003,Soyuz-FG,Fregat,Amos-2,STSM,F,O,private
2005-030,2453596.48,2005-08-13,2005,Soyuz-FG,Fregat,Galaxy 14,STSM,F,O,private
2005-045,2453683.65,2005-11-09,2005,Soyuz-FG,Fregat,Venus Express,STSM,F,O,private
2005-051,2453732.72,2005-12-28,2005,Soyuz-FG,Fregat,GSTB-v2/A,STSM,F,O,private
2006-063,2454097.1,2006-12-27,2006,Soyuz-2-1B,Fregat,COROT,STSM,F,O,private
2007-020,2454250.36,2007-05-29,2007,Soyuz-FG,Fregat,Globalstar,STSM,F,O,private
2007-048,2454394.34,2007-10-20,2007,Soyuz-FG,Fregat,Globalstar,STSM,F,O,private
2007-061,2454449.05,2007-12-14,2007,Soyuz-FG,Fregat,Radarsat-2,STSM,F,O,private
2008-020,2454583.43,2008-04-26,2008,Soyuz-FG,Fregat,Giove B,STSM,F,O,private
2006-057,2454084.38,2006-12-14,2006,Delta 7920-10C,,NROL-21,ULAB,US,O,private
2007-004,2454149.46,2007-02-17,2007,Delta 7925-10C,,THEMIS P5,ULAB,US,O,private
2007-023,2454259.61,2007-06-08,2007,Delta 7420-10C,,COSMO-Skymed,ULAB,US,O,private
2007-034,2454316.89,2007-08-04,2007,Delta 7925-9.5,,Phoenix Lander,ULAB,US,O,private
2007-041,2454362.27,2007-09-18,2007,Delta 7920-10C,,WorldView-1,ULAB,US,O,private
2007-043,2454370.98,2007-09-27,2007,Delta 7925H,,Dawn,ULAB,US,O,private
2007-047,2454391.02,2007-10-17,2007,Delta 7925-9.5,,Navstar GPS SVN 55,ULAB,US,O,private
2007-054,2454415.58,2007-11-11,2007,Delta 4H,,DSP F23,ULAB,US,O,private
2007-059,2454443.61,2007-12-09,2007,Delta 7420-10C,,COSMO-Skymed 2,ULAB,US,O,private
2007-062,2454455.34,2007-12-20,2007,Delta 7925-9.5,,Navstar GPS SVN 57,ULAB,US,O,private
2008-012,2454540.76,2008-03-15,2008,Delta 7925-9.5,,Navstar GPS SVN 48,ULAB,US,O,private
2008-029,2454629.17,2008-06-11,2008,Delta 7920H,,GLAST,ULAB,US,O,private
2008-032,2454637.82,2008-06-20,2008,Delta 7320-10C,,Jason-2,ULAB,US,O,private
2008-042,2454716.29,2008-09-06,2008,Delta 7420-10C,,GeoEye-1,ULAB,US,O,private
2008-054,2454764.6,2008-10-25,2008,Delta 7420-10C,,COSMO-Skymed 3,ULAB,US,O,private
2009-001,2454849.62,2009-01-18,2009,Delta 4H,,ORION 6,ULAB,US,O,private
2009-005,2454868.93,2009-02-06,2009,Delta 7320-10C,,NOAA N',ULAB,US,O,private
2009-011,2454897.66,2009-03-07,2009,Delta 7925-10L,,Kepler,ULAB,US,O,private
2009-014,2454914.86,2009-03-24,2009,Delta 7925-9.5,,Navstar GPS SVN 49,ULAB,US,O,private
2009-023,2454957.35,2009-05-05,2009,Delta 7920-10C,,STSS Adv Tech Risk Reduc,ULAB,US,O,private
2009-033,2455010.45,2009-06-27,2009,"Delta 4M+(4,2)",,GOES O,ULAB,US,O,private
2009-043,2455060.94,2009-08-17,2009,Delta 7925-9.5,,Navstar GPS SVN 50,ULAB,US,O,private
2009-052,2455100.01,2009-09-25,2009,Delta 7920-10C,,STSS 1,ULAB,US,O,private
2009-055,2455113.29,2009-10-08,2009,Delta 7920-10C,,WorldView-2,ULAB,US,O,private
2009-068,2455171.57,2009-12-06,2009,"Delta 4M+(5,4)",,Wideband Global Satcom 3,ULAB,US,O,private
2009-071,2455180.09,2009-12-14,2009,Delta 7320-10C,,Wide Field IR Explorer,ULAB,US,O,private
2010-008,2455260.5,2010-03-04,2010,"Delta 4M+(4,2)",,GOES P,ULAB,US,O,private
2010-022,2455344.62,2010-05-28,2010,"Delta 4M+(4,2)",,GPS SVN 62,ULAB,US,O,private
2010-060,2455506.6,2010-11-06,2010,Delta 7420-10C,,COSMO-Skymed 4,ULAB,US,O,private
2010-063,2455522.46,2010-11-21,2010,Delta 4H,,ORION 7,ULAB,US,O,private
2011-002,2455582.38,2011-01-20,2011,Delta 4H,,Improved CRYSTAL 2109?,ULAB,US,O,private
2011-011,2455632.48,2011-03-11,2011,"Delta 4M+(4,2)",,QUASAR 17?,ULAB,US,O,private
2011-024,2455723.1,2011-06-10,2011,Delta 7320-10C,,SAC-D,ULAB,US,O,private
2011-036,2455758.78,2011-07-16,2011,"Delta 4M+(4,2)",,GPS SVN 63,ULAB,US,O,private
2011-046,2455815.05,2011-09-10,2011,Delta 7920H,,GRAIL A,ULAB,US,O,private
2011-061,2455862.91,2011-10-28,2011,Delta 7920-10C,,NPOESS Prep Project,ULAB,US,O,private
2012-003,2455946.53,2012-01-20,2012,"Delta 4M+(5,4)",,Wideband Global Satcom 4,ULAB,US,O,private
2012-014,2456021.47,2012-04-03,2012,"Delta 4M+(5,2)",,TOPAZ 2?,ULAB,US,O,private
2012-034,2456108.05,2012-06-29,2012,Delta 4H,A,ORION 8,ULAB,US,O,private
2012-053,2456205.01,2012-10-04,2012,"Delta 4M+(4,2)",,GPS SVN 65,ULAB,US,O,private
2013-024,2456437.52,2013-05-25,2013,"Delta 4M+(5,4)",,Wideband Global Satcom 5,ULAB,US,O,private
2013-041,2456512.52,2013-08-08,2013,"Delta 4M+(5,4)",,Wideband Global Satcom 6,ULAB,US,O,private
2013-043,2456533.25,2013-08-28,2013,Delta 4H,,EIS CRYSTAL,ULAB,US,O,private
2014-008,2456709.58,2014-02-21,2014,"Delta 4M+(4,2)",,GPS SVN 64,ULAB,US,O,private
2014-026,2456794.5,2014-05-17,2014,"Delta 4M+(4,2)",,GPS SVN 67,ULAB,US,O,private
2014-035,2456840.91,2014-07-02,2014,Delta 7320-10C,,OCO-2,ULAB,US,O,private
2014-043,2456867.48,2014-07-28,2014,"Delta 4M+(4,2)",,GSSAP-1/2/ANGELS,ULAB,US,O,private
2014-077,2456997,2014-12-05,2014,Delta 4H,,Orion EFT-1,ULAB,US,O,private
2015-003,2457054.1,2015-01-31,2015,Delta 7320-10C,,SMAP,ULAB,US,O,private
2015-013,2457107.27,2015-03-25,2015,"Delta 4M+(4,2)",,GPS SVN 71,ULAB,US,O,private
2015-036,2457227.5,2015-07-24,2015,"Delta 4M+(5,4)",A,Wideband Global Satcom 7,ULAB,US,O,private
2016-010,2457428.99,2016-02-10,2016,"Delta 4M+(5,2)",A,TOPAZ 4,ULAB,US,O,private
2016-036,2457551.24,2016-06-11,2016,Delta 4H,A,ORION 10,ULAB,US,O,private
2016-052,2457619.7,2016-08-19,2016,"Delta 4M+(4,2)",A,GSSAP 3/4,ULAB,US,O,private
2016-075,2457730.49,2016-12-07,2016,"Delta 4M+(5,4)",A,Wideband Global Satcom 8,ULAB,US,O,private
2017-016,2457831.51,2017-03-19,2017,"Delta 4M+(5,4)",A,Wideband Global Satcom 9,ULAB,US,O,private
2017-073,2458075.91,2017-11-18,2017,Delta 7290-10C,,JPSS-1,ULAB,US,O,private
2018-005,2458131.42,2018-01-12,2018,"Delta 4M+(5,2)",A,TOPAZ 5?,ULAB,US,O,private
2018-065,2458342.81,2018-08-12,2018,Delta 4H/Star 48BV,,Solar Probe Plus,ULAB,US,O,private
2018-070,2458374.04,2018-09-12,2018,Delta 7420-10C,,ICESAT-2,ULAB,US,O,private
2007-006,2454168.63,2007-03-09,2007,Atlas V 401,,Orbital Express,ULAL,US,O,private
2007-027,2454267.13,2007-06-15,2007,Atlas V 401,,INTRUDER 8?,ULAL,US,O,private
2007-046,2454384.52,2007-10-11,2007,Atlas V 421,,Wideband Global Satcom 1,ULAL,US,O,private
2007-060,2454445.42,2007-12-10,2007,Atlas V 401,,QUASAR 15?,ULAL,US,O,private
2008-010,2454538.92,2008-03-13,2008,Atlas V 411,,Adv TRUMPET 2,ULAL,US,O,private
2008-016,2454571.34,2008-04-14,2008,Atlas V 421,,ICO G1,ULAL,US,O,private
2009-017,2454925.52,2009-04-04,2009,Atlas V 421,,Wideband Global Satcom 2,ULAL,US,O,private
2009-031,2455001.4,2009-06-18,2009,Atlas V 401,,LRO,ULAL,US,O,private
2009-047,2455083.4,2009-09-08,2009,Atlas V 401,,NEMESIS 1,ULAL,US,O,private
2009-057,2455123.18,2009-10-18,2009,Atlas V 401,,DMSP Block 5D-3 S-18,ULAL,US,O,private
2009-064,2455158.79,2009-11-23,2009,Atlas V 431,,IS-14,ULAL,US,O,private
2010-005,2455239.14,2010-02-11,2010,Atlas V 401,,SDO,ULAL,US,O,private
2010-015,2455309.49,2010-04-22,2010,Atlas V 501,,X-37B No. 1,ULAL,US,O,private
2010-039,2455422.96,2010-08-14,2010,Atlas V 531,,AEHF SV-1,ULAL,US,O,private
2010-046,2455460.67,2010-09-21,2010,Atlas V 501,,TOPAZ 1,ULAL,US,O,private
2011-010,2455626.45,2011-03-05,2011,Atlas V 501,,X-37B No. 2,ULAL,US,O,private
2011-014,2455666.68,2011-04-15,2011,Atlas V 411,,INTRUDER 9,ULAL,US,O,private
2011-019,2455689.26,2011-05-07,2011,Atlas V 401,,SBIRS GEO-1,ULAL,US,O,private
2011-040,2455779.18,2011-08-05,2011,Atlas V 551,,Juno,ULAL,US,O,private
2011-070,2455892.13,2011-11-26,2011,Atlas V 541,,Mars Science Lab Rover,ULAL,US,O,private
2012-009,2455982.43,2012-02-24,2012,Atlas V 551,,MUOS 1,ULAL,US,O,private
2012-019,2456052.28,2012-05-04,2012,Atlas V 531,,AEHF SV-2,ULAL,US,O,private
2012-033,2456099.02,2012-06-20,2012,Atlas V 401,,QUASAR 17?,ULAL,US,O,private
2012-046,2456169.84,2012-08-30,2012,Atlas V 401,,RBSP-A,ULAL,US,O,private
2012-048,2456184.4,2012-09-13,2012,Atlas V 401,,INTRUDER 10,ULAL,US,O,private
2012-071,2456273.25,2012-12-11,2012,Atlas V 501,,X-37B No. 1,ULAL,US,O,private
2013-004,2456323.58,2013-01-31,2013,Atlas V 401,,TDRS K,ULAL,US,O,private
2013-008,2456335.25,2013-02-11,2013,Atlas V 401,,Landsat LDCM,ULAL,US,O,private
2013-011,2456371.39,2013-03-19,2013,Atlas V 401,,SBIRS GEO-2,ULAL,US,O,private
2013-023,2456428.4,2013-05-15,2013,Atlas V 401,,GPS SVN 66,ULAL,US,O,private
2013-036,2456493.04,2013-07-19,2013,Atlas V 551,,MUOS 2,ULAL,US,O,private
2013-050,2456553.84,2013-09-18,2013,Atlas V 531,,AEHF 3,ULAL,US,O,private
2013-063,2456615.27,2013-11-18,2013,Atlas V 401,,MAVEN,ULAL,US,O,private
2013-072,2456632.8,2013-12-06,2013,Atlas V 501,,TOPAZ 3,ULAL,US,O,private
2014-004,2456681.61,2014-01-24,2014,Atlas V 401,,TDRS L,ULAL,US,O,private
2014-015,2456751.12,2014-04-03,2014,Atlas V 401,,DMSP 5D-13 F19,ULAL,US,O,private
2014-020,2456758.24,2014-04-10,2014,Atlas V 541,,ORION 9?,ULAL,US,O,private
2014-027,2456800.05,2014-05-22,2014,Atlas V 401,,QUASAR 18?,ULAL,US,O,private
2014-045,2456871.64,2014-08-02,2014,Atlas V 401,,GPS SVN 68,ULAL,US,O,private
2014-048,2456883.27,2014-08-13,2014,Atlas V 401,,Worldview-3,ULAL,US,O,private
2014-055,2456917.51,2014-09-17,2014,Atlas V 401,,CLIO,ULAL,US,O,private
2014-068,2456960.22,2014-10-29,2014,Atlas V 401,,GPS SVN 69,ULAL,US,O,private
2014-081,2457004.64,2014-12-13,2014,Atlas V 541,C,Adv TRUMPET 3?,ULAL,US,O,private
2015-002,2457043.54,2015-01-21,2015,Atlas V 551,C,MUOS 3,ULAL,US,O,private
2015-011,2457094.61,2015-03-13,2015,Atlas V 421,,MMS 1-4,ULAL,US,O,private
2015-025,2457163.13,2015-05-20,2015,Atlas V 501,C,X-37B No. 2?,ULAL,US,O,private
2015-033,2457219.15,2015-07-15,2015,Atlas V 401,C,GPS SVN 72,ULAL,US,O,private
2015-044,2457267.93,2015-09-02,2015,Atlas V 551,C,MUOS 4,ULAL,US,O,private
2015-056,2457297.94,2015-10-02,2015,Atlas V 421,C,Morelos 3,ULAL,US,O,private
2015-058,2457304.03,2015-10-08,2015,Atlas V 401,C,INTRUDER,ULAL,US,O,private
2015-062,2457327.18,2015-10-31,2015,Atlas V 401,C,GPS SVN 73,ULAL,US,O,private
2015-072,2457363.41,2015-12-06,2015,Atlas V 401,C,Cygnus OA-4,ULAL,US,O,private
2016-007,2457424.07,2016-02-05,2016,Atlas V 401,C,GPS SVN 70,ULAL,US,O,private
2016-019,2457470.63,2016-03-23,2016,Atlas V 401,C,Cygnus OA-6,ULAL,US,O,private
2016-041,2457564.1,2016-06-24,2016,Atlas V 551,C,MUOS 5,ULAL,US,O,private
2016-047,2457598.03,2016-07-28,2016,Atlas V 421,C,QUASAR 19?,ULAL,US,O,private
2016-055,2457640.46,2016-09-08,2016,Atlas V 411,C,OSIRIS-REx,ULAL,US,O,private
2016-067,2457704.27,2016-11-11,2016,Atlas V 401,C,WorldView-4,ULAL,US,O,private
2016-071,2457712.49,2016-11-19,2016,Atlas V 541,C,GOES R,ULAL,US,O,private
2016-079,2457741.3,2016-12-18,2016,Atlas V 431,C,Echostar 19 (Jupiter 2),ULAL,US,O,private
2017-004,2457774.53,2017-01-21,2017,Atlas V 401,C,SBIRS GEO-3,ULAL,US,O,private
2017-011,2457814.24,2017-03-01,2017,Atlas V 401,C,INTRUDER,ULAL,US,O,private
2017-019,2457862.13,2017-04-18,2017,Atlas V 401,C,Cygnus OA-7,ULAL,US,O,private
2017-047,2457984.02,2017-08-18,2017,Atlas V 401,C,TDRS M,ULAL,US,O,private
2017-056,2458020.74,2017-09-24,2017,Atlas V 541,C,Adv TRUMPET 4?,ULAL,US,O,private
2017-066,2458041.81,2017-10-15,2017,Atlas V 421,C,QUASAR 20?,ULAL,US,O,private
2018-009,2458138.53,2018-01-20,2018,Atlas V 411,C,SBIRS GEO-4,ULAL,US,O,private
2018-022,2458179.42,2018-03-01,2018,Atlas V 541,C,GOES S,ULAL,US,O,private
2018-036,2458223.47,2018-04-14,2018,Atlas V 551,C,CBAS/EAGLE,ULAL,US,O,private
2018-042,2458243.96,2018-05-05,2018,Atlas V 401,C,Mars Insight,ULAL,US,O,private
2018-079,2458408.68,2018-10-17,2018,Atlas V 551,C,AEHF 4,ULAL,US,O,private
1982-100,2445255.12,1982-10-12,1982,Proton-K/DM-2,,Uragan No. 11L,,SU,O,state
1982-001,2444977.15,1982-01-07,1982,Kosmos 11K65M,,Strela-2M,,SU,O,state
1982-101,2445256.88,1982-10-14,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-002,2444982.02,1982-01-12,1982,Soyuz-U,,Orion,,SU,O,state
1982-102,2445261.75,1982-10-19,1982,Kosmos 11K65M,,Parus,,SU,O,state
1982-003,2444983.83,1982-01-14,1982,Kosmos 11K65M,,Parus,,SU,O,state
1982-103,2445263.18,1982-10-20,1982,Proton-K/DM,,Gorizont No. 16L,,SU,O,state
1982-104,2445264.08,1982-10-21,1982,Kosmos 11K65M,,Taifun-1B,,SU,O,state
1982-005,2444989.98,1982-01-20,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-007,2444998.96,1982-01-29,1982,Kosmos 11K65M,,Romb,,SU,O,state
1982-107,2445273.97,1982-10-31,1982,Soyuz-U,,Progress 7K-TG No. 115,,SU,O,state
1982-008,2444999.98,1982-01-30,1982,Soyuz-U,,Feniks No. 953,,SU,O,state
1982-108,2445275.9,1982-11-02,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-009,2445005.88,1982-02-05,1982,Proton-K/DM,,Ekran No. 22L,,SU,O,state
1982-109,2445284.76,1982-11-11,1982,Kosmos 11K65M,,Strela-2M,,SU,O,state
1982-010,2445011.55,1982-02-11,1982,Tsiklon-2,,US-PM1,,SU,O,state
1982-011,2445016.97,1982-02-16,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-012,2445018.41,1982-02-17,1982,Kosmos 11K65M,,Tsikada,,SU,O,state
1982-112,2445291.89,1982-11-18,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-013,2445019.57,1982-02-19,1982,Vostok 8A92M,,Tselina-D,,SU,O,state
1982-113,2445300.09,1982-11-26,1982,Proton-K/DM,,Gran' No. 21L,,SU,O,state
1982-114,2445307,1982-12-03,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-015,2445027.34,1982-02-26,1982,Molniya 8K78M,,Molniya-1,,SU,O,state
1982-115,2445312.07,1982-12-08,1982,Molniya 8K78M,,Molniya-1 11F658 No. 60,,SU,O,state
1982-016,2445031.74,1982-03-03,1982,Molniya 8K78M,,Oko,,SU,O,state
1982-116,2445318.44,1982-12-14,1982,Vostok 8A92M,,Meteor-2 No. 9,,SU,O,state
1982-117,2445319.92,1982-12-16,1982,Soyuz-U,,Oktan No. 217,,SU,O,state
1982-018,2445033.95,1982-03-05,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-119,2445326.88,1982-12-23,1982,Soyuz-U2,,Zenit-6,,SU,O,state
1982-020,2445043.69,1982-03-15,1982,Proton-K/DM,,Gorizont No. 14L,,SU,O,state
1982-120,2445332,1982-12-28,1982,Soyuz-U,,Yantar'-4KS1,,SU,O,state
1982-021,2445045.94,1982-03-17,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-121,2445333,1982-12-29,1982,Kosmos 11K65M,,Taifun-1B,,SU,O,state
1982-023,2445052.51,1982-03-24,1982,Molniya 8K78M,,Molniya-3 No. 29,,SU,O,state
1982-024,2445053.32,1982-03-24,1982,Kosmos 11K65M,,Parus,,SU,O,state
1982-025,2445053.91,1982-03-25,1982,Tsiklon-3,,Meteor-2 No. 12,,SU,O,state
1982-026,2445059.88,1982-03-31,1982,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1982-027,2445060.19,1982-03-31,1982,Vostok 8A92M,,Tselina-D,,SU,O,state
1982-028,2445061.93,1982-04-02,1982,Soyuz-U,,Yantar'-4K2,,SU,O,state
1982-029,2445067.07,1982-04-07,1982,Molniya 8K78M,,Oko,,SU,O,state
1982-030,2445067.51,1982-04-08,1982,Kosmos 11K65M,,Parus,,SU,O,state
1982-032,2445075.1,1982-04-15,1982,Soyuz-U,,Feniks No. 978,,SU,O,state
1982-033,2445079.32,1982-04-19,1982,Proton-K,,DOS 6 (17K No. 125-02),,SU,O,state
1982-034,2445080.57,1982-04-21,1982,Kosmos 11K65M,,Romb,,SU,O,state
1982-035,2445080.89,1982-04-21,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-036,2445082.9,1982-04-23,1982,Soyuz-U,,Fram,,SU,O,state
1982-037,2445087.62,1982-04-28,1982,Kosmos 11K65M,,Strela-2M,,SU,O,state
1982-038,2445088.91,1982-04-29,1982,Tsiklon-2,,US-PM1,,SU,O,state
1982-039,2445094.83,1982-05-05,1982,Vostok 8A92M,,Tselina-D,,SU,O,state
1982-040,2445096.25,1982-05-06,1982,Kosmos 11K65M,,Strela-1M,,SU,O,state
1982-042,2445102.92,1982-05-13,1982,Soyuz-U,,Soyuz 7K-ST No. 11L,,SU,O,state
1982-043,2445104.32,1982-05-14,1982,Tsiklon-2,,US-A reactor,,SU,O,state
1982-044,2445107.49,1982-05-17,1982,Proton-K/DM,,Geizer No. 11L,,SU,O,state
1982-045,2445110.05,1982-05-20,1982,Molniya 8K78M,,Oko,,SU,O,state
1982-046,2445111.03,1982-05-21,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-047,2445112.75,1982-05-23,1982,Soyuz-U,,Progress 7K-TG No. 114,,SU,O,state
1982-048,2445114.88,1982-05-25,1982,Soyuz-U,,Resurs-F1 17F41 No. 17,,SU,O,state
1982-049,2445117.88,1982-05-28,1982,Soyuz-U,,Siluet No. 2,,SU,O,state
1982-050,2445118.42,1982-05-28,1982,Molniya 8K78M,,Molniya-1,,SU,O,state
1982-051,2445121.69,1982-06-01,1982,Kosmos 11K65M,,Strela-2M,,SU,O,state
1982-052,2445122.08,1982-06-01,1982,Tsiklon-2,,US-A reactor,,SU,O,state
1982-053,2445123.03,1982-06-02,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-054,2445124.4,1982-06-03,1982,K65M-RB,,BOR-4 No. 404,,SU,O,state
1982-055,2445127.22,1982-06-06,1982,Kosmos 11K65M,,Lira,,SU,O,state
1982-056,2445128.82,1982-06-08,1982,Soyuz-U,,Resurs-F1 17F41 No. 18,,SU,O,state
1982-057,2445129,1982-06-08,1982,Soyuz-U,,Oktan No. 215,,SU,O,state
1982-059,2445131.23,1982-06-10,1982,Tsiklon-3,,Tselina-D,,SU,O,state
1982-060,2445138.96,1982-06-18,1982,Tsiklon-2,,IS-P Uran,,SU,O,state
1982-061,2445139,1982-06-18,1982,Kosmos 11K65M,,Parus,,SU,O,state
1982-062,2445139.04,1982-06-18,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-063,2445145.19,1982-06-24,1982,Soyuz-U,,Soyuz 7K-ST No. 9L,,SU,O,state
1982-064,2445145.6,1982-06-25,1982,Molniya 8K78M,,Oko,,SU,O,state
1982-066,2445150.41,1982-06-29,1982,Kosmos 11K65M,,Nadezhda 11F643N No. 514,,SU,O,state
1982-067,2445151.12,1982-06-30,1982,Soyuz-U,,Feniks No. 954,,SU,O,state
1982-068,2445156.83,1982-07-06,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-069,2445157.91,1982-07-07,1982,Kosmos 11K65M,,Parus,,SU,O,state
1982-070,2445160.92,1982-07-10,1982,Soyuz-U,,Progress 7K-TG No. 117,,SU,O,state
1982-071,2445163.83,1982-07-13,1982,Soyuz-U,,Fram,,SU,O,state
1982-073,2445171.77,1982-07-21,1982,Kosmos 11K65M,,Strela-1M,,SU,O,state
1982-074,2445171.9,1982-07-21,1982,Molniya 8K78M,,Molniya-1 11F658 No. 62,,SU,O,state
1982-075,2445178.02,1982-07-27,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-076,2445180.32,1982-07-29,1982,Kosmos 11K65M,,Romb,,SU,O,state
1982-077,2445184.98,1982-08-03,1982,Soyuz-U,,Orion,,SU,O,state
1982-078,2445185.98,1982-08-04,1982,Soyuz-U,,Oktan No. 216,,SU,O,state
1982-079,2445186.79,1982-08-05,1982,Vostok 8A92M,,Tselina-D,,SU,O,state
1982-080,2445201.22,1982-08-19,1982,Soyuz-U,,Soyuz 7K-ST No. 12L,,SU,O,state
1982-081,2445201.91,1982-08-20,1982,Soyuz-U,,Resurs-F1 17F41 No. 19,,SU,O,state
1982-083,2445208.5,1982-08-27,1982,Molniya 8K78M,,Molniya-3 No. 33,,SU,O,state
1982-084,2445211.92,1982-08-30,1982,Tsiklon-2,,US-A,,SU,O,state
1982-085,2445213.88,1982-09-01,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-086,2445213.99,1982-09-01,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-088,2445217.24,1982-09-04,1982,Tsiklon-2,,US-P,,SU,O,state
1982-089,2445220.93,1982-09-08,1982,Soyuz-U,,Fram,,SU,O,state
1982-091,2445228.15,1982-09-15,1982,Soyuz-U,,Feniks No. 955,,SU,O,state
1982-092,2445228.7,1982-09-16,1982,Tsiklon-3,,Tselina-D,,SU,O,state
1982-093,2445229.27,1982-09-16,1982,Proton-K/DM,,Ekran No. 24L,,SU,O,state
1982-094,2445230.71,1982-09-18,1982,Soyuz-U,,Progress 7K-TG No. 112,,SU,O,state
1982-095,2445234.77,1982-09-22,1982,Molniya 8K78M,,Oko,,SU,O,state
1982-096,2445236.89,1982-09-24,1982,Tsiklon-3,,Musson No. 13,,SU,O,state
1982-098,2445242.99,1982-09-30,1982,Soyuz-U,,Zenit-6,,SU,O,state
1982-099,2445244.5,1982-10-02,1982,Tsiklon-2,,US-A reactor,,SU,O,state
1983-100,2445607.23,1983-09-29,1983,Proton-K/DM,,Ekran No. 25L,,SU,O,state
1983-001,2445347.08,1983-01-12,1983,Kosmos 11K65M,,Parus,,SU,O,state
1983-101,2445607.96,1983-09-30,1983,Kosmos 11K65M,,Romb,,SU,O,state
1983-002,2445353.6,1983-01-19,1983,Kosmos 11K65M,,Strela-1M,,SU,O,state
1983-102,2445613,1983-10-05,1983,Kosmos 11K65M,,Taifun-1B,,SU,O,state
1983-003,2445355.23,1983-01-20,1983,Vostok 8A92M,,Tselina-D,,SU,O,state
1983-103,2445619.51,1983-10-12,1983,Kosmos 11K65M,,Strela-2M,,SU,O,state
1983-104,2445621.92,1983-10-14,1983,Soyuz-U,,Yantar'-4K2,,SU,O,state
1983-005,2445361.85,1983-01-27,1983,Soyuz-U,,Zenit-6,,SU,O,state
1983-106,2445627.92,1983-10-20,1983,Soyuz-U,,Progress 7K-TG No. 118,,SU,O,state
1983-007,2445371.98,1983-02-06,1983,Soyuz-U,,Feniks No. 956,,SU,O,state
1983-107,2445629.01,1983-10-21,1983,Soyuz-U,,Zenit-6,,SU,O,state
1983-108,2445634.22,1983-10-26,1983,Kosmos 11K65M,,Tsikada,,SU,O,state
1983-009,2445375.8,1983-02-10,1983,Soyuz-U,,Resurs-F1 17F41 No. 20,,SU,O,state
1983-109,2445635.88,1983-10-28,1983,Vostok 8A92M,,Meteor-2 No. 10,,SU,O,state
1983-010,2445381.92,1983-02-16,1983,Vostok 8A92M,,Tselina-D,,SU,O,state
1983-110,2445636.85,1983-10-29,1983,Tsiklon-2,,US-PM1,,SU,O,state
1983-111,2445650.02,1983-11-11,1983,Kosmos 11K65M,,Vektor,,SU,O,state
1983-012,2445391.03,1983-02-25,1983,Soyuz-U,,Oktan No. 248,,SU,O,state
1983-112,2445656.01,1983-11-17,1983,Soyuz-U,,Zenit-6,,SU,O,state
1983-013,2445395.9,1983-03-02,1983,Proton-K,,TKS-M No. 16401,,SU,O,state
1983-014,2445395.95,1983-03-02,1983,Soyuz-U,,Zenit-6,,SU,O,state
1983-114,2445662.2,1983-11-23,1983,Molniya 8K78M,ML,Molniya-1!No. 48,,SU,O,state
1983-015,2445405.15,1983-03-11,1983,Molniya 8K78M,ML,Molniya-3 No. 34,,SU,O,state
1983-115,2445663.02,1983-11-24,1983,Tsiklon-3,,Musson No. 14,,SU,O,state
1983-016,2445406.08,1983-03-12,1983,Proton-K/DM,,Ekran No. 18L,,SU,O,state
1983-017,2445409.44,1983-03-15,1983,K65M-RB,,BOR-4 No. 403,,SU,O,state
1983-117,2445669.07,1983-11-30,1983,Soyuz-U,,Oktan No. 249,,SU,O,state
1983-018,2445409.87,1983-03-16,1983,Soyuz-U2,,Zenit-6,,SU,O,state
1983-118,2445669.08,1983-11-30,1983,Proton-K/DM,,Gorizont No. 18L,,SU,O,state
1983-019,2445410.26,1983-03-16,1983,Molniya 8K78M,ML,Molniya-1,,SU,O,state
1983-119,2445676.01,1983-12-07,1983,Soyuz-U,,Zenit-6,,SU,O,state
1983-020,2445417.03,1983-03-23,1983,Proton-K/D-1,,1A No. 602,,SU,O,state
1983-120,2445676.76,1983-12-08,1983,Kosmos 11K65M,,Parus,,SU,O,state
1983-021,2445418.37,1983-03-24,1983,Kosmos 11K65M,,Nadezhda 11F643N No. 530,,SU,O,state
1983-121,2445682.79,1983-12-14,1983,Soyuz-U,,Bion No. 6,,SU,O,state
1983-122,2445684.02,1983-12-15,1983,Tsiklon-3,,Tselina-D,,SU,O,state
1983-023,2445423.55,1983-03-30,1983,Kosmos 11K65M,,Parus,,SU,O,state
1983-123,2445689.76,1983-12-21,1983,Molniya 8K78M,ML,Molniya-3 No. 35,,SU,O,state
