name,category,cr,size,type,descriptive_tags,alignment,ac,initiative,hp,hp_number,speed,speed_base_number,str,dex,con,int,wis,cha,str_save,dex_save,con_save,int_save,wis_save,cha_save,skills,resistances,vulnerabilities,immunities,gear,senses,languages,full_text
Azer Sentinel,Azer,2,Medium,Elemental,NA,Lawful Neutral,17,1,39 (6d8 + 12),39,Speed 30 ft.,30,17,12,15,12,13,10,3,1,4,1,1,0,NA,NA,NA,"Fire, Poison; Poisoned",NA,Passive Perception 11,Primordial (Ignan),"Azer Sentinel
Medium Elemental, Lawful Neutral
AC 17		                    Initiative +1 (11)
HP 39 (6d8 + 12)
Speed 30 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 17 +3 +3          Dex 12 +1 +1        Con 15 +2 +4
Int 12 +1 +1          Wis 13 +1 +1        Cha 10 +0 +0
Immunities Fire, Poison; Poisoned
Senses Passive Perception 11
Languages Primordial (Ignan)
CR 2 (XP 450; PB +2)
Traits
Fire Aura. At the end of each of the azer’s turns, each
creature of the azer’s choice in a 5-foot Emanation orig-
inating from the azer takes 5 (1d10) Fire damage unless
the azer has the Incapacitated condition.
Illumination. The azer sheds Bright Light in a 10-foot
radius and Dim Light for an additional 10 feet.
Actions
Burning Hammer. Melee Attack Roll: +5, reach 5 ft.
Hit: 8 (1d10 + 3) Bludgeoning damage plus 3 (1d6)
Fire damage."
Balor,Balor,19,Huge,Fiend,Demon,Chaotic Evil,19,14,287 (23d12 + 138),287,"Speed 40 ft., Fly 80 ft.",40,26,15,22,20,16,22,8,2,12,5,9,6,Perception +9,"Cold, Lightning",NA,"Fire, Poison; Charmed, Frightened, Poisoned",NA,Truesight 120 ft.; Passive Perception 19,Abyssal; telepathy 120 ft.,"Balor
Huge Fiend (Demon), Chaotic Evil
AC 19		                    Initiative +14 (24)
HP 287 (23d12 + 138)
Speed 40 ft., Fly 80 ft.
MOD SAVE            MOD SAVE            MOD SAVE
Str 26 +8 +8          Dex 15 +2 +2        Con 22 +6 +12
Int 20 +5 +5          Wis 16 +3 +9        Cha 22 +6 +6
Skills Perception +9
Resistances Cold, Lightning
Immunities Fire, Poison; Charmed, Frightened, Poisoned
Senses Truesight 120 ft.; Passive Perception 19
Languages Abyssal; telepathy 120 ft.
CR 19 (XP 22,000; PB +6)
Traits
Death Throes. The balor explodes when it dies. Dex-
terity Saving Throw: DC 20, each creature in a 30-foot
Emanation originating from the balor. Failure: 31 (9d6)
Fire damage plus 31 (9d6) Force damage. Success: Half
damage. Failure or Success: If the balor dies outside the
Abyss, it gains a new body instantly, reviving with all its
Hit Points somewhere in the Abyss.
Fire Aura. At the end of each of the balor’s turns, each
creature in a 5-foot Emanation originating from the ba-
lor takes 13 (3d8) Fire damage.
Legendary Resistance (3/Day). If the balor fails a saving
throw, it can choose to succeed instead.
Magic Resistance. The balor has Advantage on saving
throws against spells and other magical effects.
Actions
Multiattack. The balor makes one Flame Whip attack
and one Lightning Blade attack.
Flame Whip. Melee Attack Roll: +14, reach 30 ft. Hit:
18 (3d6 + 8) Force damage plus 17 (5d6) Fire damage. If
the target is a Huge or smaller creature, the balor pulls
the target up to 25 feet straight toward itself, and the
target has the Prone condition.
Lightning Blade. Melee Attack Roll: +14, reach 10 ft.
Hit: 21 (3d8 + 8) Force damage plus 22 (4d10) Light-
ning damage, and the target can’t take Reactions until
the start of the balor’s next turn.
Bonus Actions
Teleport. The balor teleports itself or a willing demon
within 10 feet of itself up to 60 feet to an unoccupied
space the balor can see."
Bandit,Bandits,0.125,Medium or Small,Humanoid,NA,Neutral,12,1,11 (2d8 + 2),11,Speed 30 ft.,30,11,12,12,10,10,10,0,1,1,0,0,0,NA,NA,NA,NA,"Leather Armor, Light Crossbow, Scimitar",Passive Perception 10,"Common, Thieves’ Cant","Bandit
Medium or Small Humanoid, Neutral
AC 12		                   Initiative +1 (11)
HP 11 (2d8 + 2)
Speed 30 ft.
MOD SAVE           MOD SAVE            MOD SAVE
Str 11 +0 +0         Dex 12 +1 +1        Con 12 +1 +1
Int 10 +0 +0         Wis 10 +0 +0        Cha 10 +0 +0
Gear Leather Armor, Light Crossbow, Scimitar
Senses Passive Perception 10
Languages Common, Thieves’ Cant
CR 1/8 (XP 25; PB +2)
Actions
Scimitar. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6
+ 1) Slashing damage.
Light Crossbow. Ranged Attack Roll: +3, range 80/320
ft. Hit: 5 (1d8 + 1) Piercing damage."
Bandit Captain,Bandits,2,Medium or Small,Humanoid,NA,Neutral,15,3,52 (8d8 + 16),52,Speed 30 ft.,30,15,16,14,14,11,14,4,5,2,2,2,2,"Athletics +4, Deception +4",NA,NA,NA,"Pistol, Scimitar, Studded Leather Armor",Passive Perception 10,"Common, Thieves’ Cant","Bandit Captain
Medium or Small Humanoid, Neutral
AC 15		                   Initiative +3 (13)
HP 52 (8d8 + 16)
Speed 30 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 15 +2 +4         Dex 16 +3 +5         Con 14 +2 +2
Int 14 +2 +2         Wis 11 +0 +2         Cha 14 +2 +2
Skills Athletics +4, Deception +4
Gear Pistol, Scimitar, Studded Leather Armor
Senses Passive Perception 10
Languages Common, Thieves’ Cant
CR 2 (XP 450; PB +2)
Actions
Multiattack. The bandit makes two attacks, using Scim-
itar and Pistol in any combination.
Scimitar. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6
+ 3) Slashing damage.
Pistol. Ranged Attack Roll: +5, range 30/90 ft. Hit: 8
(1d10 + 3) Piercing damage.
Reactions
Parry. Trigger: The bandit is hit by a melee attack roll
while holding a weapon. Response: The bandit adds 2
to its AC against that attack, possibly causing it to miss."
Barbed Devil,Barbed Devil,5,Medium,Fiend,Devil,Lawful Evil,15,3,110 (13d8 + 52),110,"Speed 30 ft., Climb 30 ft.",30,16,17,18,12,14,14,6,3,7,1,5,5,"Deception +5, Insight +5, Perception +8",Cold,NA,"Fire, Poison; Poisoned",NA,Darkvision 120 ft. (unimpeded by magical Darkness); Passive Perception 18,Infernal; telepathy 120 ft.,"Barbed Devil
Medium Fiend (Devil), Lawful Evil
AC 15		                    Initiative +3 (13)
HP 110 (13d8 + 52)
Speed 30 ft., Climb 30 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 16 +3 +6         Dex 17 +3 +3         Con 18 +4 +7
Int 12 +1 +1         Wis 14 +2 +5         Cha 14 +2 +5
Skills Deception +5, Insight +5, Perception +8
Resistances Cold
Immunities Fire, Poison; Poisoned
Senses Darkvision 120 ft. (unimpeded by magical
Darkness); Passive Perception 18
Languages Infernal; telepathy 120 ft.
CR 5 (XP 1,800; PB +3)
Traits
Barbed Hide. At the start of each of its turns, the devil
deals 5 (1d10) Piercing damage to any creature it is
grappling or any creature grappling it.
Diabolical Restoration. If the devil dies outside the
Nine Hells, its body disappears in sulfurous smoke, and
it gains a new body instantly, reviving with all its Hit
Points somewhere in the Nine Hells.
Magic Resistance. The devil has Advantage on saving
throws against spells and other magical effects.
Actions
Multiattack. The devil makes one Claws attack and one
Tail attack, or it makes two Hurl Flame attacks.
Claws. Melee Attack Roll: +6, reach 5 ft. Hit: 10 (2d6
+ 3) Piercing damage. If the target is a Large or smaller
creature, it has the Grappled condition (escape DC 13)
from both claws.
Tail. Melee Attack Roll: +6, reach 10 ft. Hit: 14 (2d10
+ 3) Slashing damage.
Hurl Flame. Ranged Attack Roll: +5, range 150 ft. Hit:
17 (5d6) Fire damage. If the target is a flammable object
that isn’t being worn or carried, it starts burning."
Basilisk,Basilisk,3,Medium,Monstrosity,NA,Unaligned,15,-1,52 (8d8 + 16),52,Speed 20 ft.,20,16,8,15,2,8,7,3,-1,2,-4,-1,-2,NA,NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 9,None,"Basilisk
Medium Monstrosity, Unaligned
AC 15		                     Initiative −1 (9)
HP 52 (8d8 + 16)
Speed 20 ft.
MOD SAVE             MOD SAVE             MOD SAVE
Str 16 +3 +3         Dex 8 −1 −1           Con 15 +2 +2
Int 2 −4 −4          Wis 8 −1 −1           Cha 7 −2 −2
Senses Darkvision 60 ft.; Passive Perception 9
Languages None
CR 3 (XP 700; PB +2)
Actions
Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 10 (2d6 + 3)
Piercing damage plus 7 (2d6) Poison damage.
Bonus Actions
Petrifying Gaze (Recharge 4–6). Constitution Saving
Throw: DC 12, each creature in a 30-foot Cone. If
the basilisk sees its reflection in the Cone, the basilisk
must make this save. First Failure: The target has the
Restrained condition and repeats the save at the end of
its next turn if it is still Restrained, ending the effect on
itself on a success. Second Failure: The target has the
Petrified condition instead of the Restrained condition."
Bearded Devil,Bearded Devil,3,Medium,Fiend,Devil,Lawful Evil,13,2,58 (9d8 + 18),58,Speed 30 ft.,30,16,15,15,9,11,14,5,2,4,-1,0,4,NA,Cold,NA,"Fire, Poison; Frightened, Poisoned",NA,Darkvision 120 ft. (unimpeded by magical Darkness); Passive Perception 10,Infernal; telepathy 120 ft.,"Bearded Devil
Medium Fiend (Devil), Lawful Evil
AC 13		                     Initiative +2 (12)
HP 58 (9d8 + 18)
Speed 30 ft.
MOD SAVE             MOD SAVE             MOD SAVE
Str 16 +3 +5         Dex 15 +2 +2          Con 15 +2 +4
Int 9 −1 −1          Wis 11 +0 +0          Cha 14 +2 +4
Resistances Cold
Immunities Fire, Poison; Frightened, Poisoned
Senses Darkvision 120 ft. (unimpeded by magical
Darkness); Passive Perception 10
Languages Infernal; telepathy 120 ft.
CR 3 (XP 700; PB +2)
Traits
Magic Resistance. The devil has Advantage on saving
throws against spells and other magical effects.
Actions
Multiattack. The devil makes one Beard attack and one
Infernal Glaive attack.
Beard. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8
+ 3) Piercing damage, and the target has the Poisoned
condition until the start of the devil’s next turn. Until
this poison ends, the target can’t regain Hit Points.
Infernal Glaive. Melee Attack Roll: +5, reach 10 ft. Hit:
8 (1d10 + 3) Slashing damage. If the target is a crea-
ture and doesn’t already have an infernal wound, it is
subjected to the following effect. Constitution Saving
Throw: DC 12. Failure: The target receives an infernal
wound. While wounded, the target loses 5 (1d10) Hit
Points at the start of each of its turns. The wound closes
after 1 minute, after a spell restores Hit Points to the
target, or after the target or a creature within 5 feet of it
takes an action to stanch the wound, doing so by suc-
ceeding on a DC 12 Wisdom (Medicine) check."
Behir,Behir,11,Huge,Monstrosity,NA,Neutral Evil,17,3,168 (16d12 + 64),168,"Speed 50 ft., Climb 50 ft.",50,23,16,18,7,14,12,6,3,4,-2,2,1,"Perception +6, Stealth +7",NA,NA,Lightning,NA,Darkvision 90 ft.; Passive Perception 16,Draconic,"Behir
Huge Monstrosity, Neutral Evil
AC 17		                    Initiative +3 (13)
HP 168 (16d12 + 64)
Speed 50 ft., Climb 50 ft.
MOD SAVE             MOD SAVE             MOD SAVE
Str 23 +6 +6         Dex 16 +3 +3         Con 18 +4 +4
Int 7 −2 −2          Wis 14 +2 +2         Cha 12 +1 +1
Skills Perception +6, Stealth +7
Immunities Lightning
Senses Darkvision 90 ft.; Passive Perception 16
Languages Draconic
CR 11 (XP 7,200; PB +4)
Actions
Multiattack. The behir makes one Bite attack and uses
Constrict.
Bite. Melee Attack Roll: +10, reach 10 ft. Hit: 19 (2d12
+ 6) Piercing damage plus 11 (2d10) Lightning damage.
Constrict. Strength Saving Throw: DC 18, one Large or
smaller creature the behir can see within 5 feet. Failure:
28 (5d8 + 6) Bludgeoning damage. The target has the
Grappled condition (escape DC 16), and it has the Re-
strained condition until the grapple ends.
Lightning Breath (Recharge 5–6). Dexterity Saving
Throw: DC 16, each creature in a 90-foot-long, 5-foot-
wide Line. Failure: 66 (12d10) Lightning damage. Suc-
cess: Half damage.
Bonus Actions
Swallow. Dexterity Saving Throw: DC 18, one Large or
smaller creature Grappled by the behir (the behir can
have only one creature swallowed at a time). Failure:
The behir swallows the target, which is no longer Grap-
pled. While swallowed, a creature has the Blinded and
Restrained conditions, has Total Cover against attacks
and other effects outside the behir, and takes 21 (6d6)
Acid damage at the start of each of the behir’s turns.
If the behir takes 30 damage or more on a single turn
from the swallowed creature, the behir must succeed
on a DC 14 Constitution saving throw at the end of that
turn or regurgitate the creature, which falls in a space
within 10 feet of the behir and has the Prone condition.
If the behir dies, a swallowed creature is no longer Re-
strained and can escape from the corpse by using 15
feet of movement, exiting Prone."
Berserker,Berserker,2,Medium or Small,Humanoid,NA,Neutral,13,1,67 (9d8 + 27),67,Speed 30 ft.,30,16,12,17,9,11,9,3,1,3,-1,0,-1,NA,NA,NA,NA,"Greataxe, Hide Armor",Passive Perception 10,Common,"Berserker
Medium or Small Humanoid, Neutral
AC 13		                     Initiative +1 (11)
HP 67 (9d8 + 27)
Speed 30 ft.
MOD SAVE              MOD SAVE          MOD SAVE
Str 16 +3 +3          Dex 12 +1 +1         Con 17 +3 +3
Int 9 −1 −1           Wis 11 +0 +0         Cha 9 −1 −1
Gear Greataxe, Hide Armor
Senses Passive Perception 10
Languages Common
CR 2 (XP 450; PB +2)
Traits
Bloodied Frenzy. While Bloodied, the berserker has
Advantage on attack rolls and saving throws.
Actions
Greataxe. Melee Attack Roll: +5, reach 5 ft. Hit: 9
(1d12 + 3) Slashing damage."
Black Dragon Wyrmling,Black Dragons,2,Medium,Dragon,Chromatic,Chaotic Evil,17,4,33 (6d8 + 6),33,"Speed 30 ft., Fly 60 ft., Swim 30 ft.",30,15,14,13,10,11,13,2,4,1,0,2,1,"Perception +4, Stealth +4",NA,NA,Acid,NA,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14",Draconic,"Black Dragon Wyrmling
Medium Dragon (Chromatic), Chaotic Evil
AC 17		                      Initiative +4 (14)
HP 33 (6d8 + 6)
Speed 30 ft., Fly 60 ft., Swim 30 ft.
MOD SAVE
Str 15 +2 +2
MOD SAVE
Dex 14 +2 +4
MOD SAVE
Con 13 +1 +1
Int 10 +0 +0          Wis 11 +0 +2         Cha 13 +1 +1
Skills Perception +4, Stealth +4
Immunities Acid
Senses Blindsight 10 ft., Darkvision 60 ft.;
Passive Perception 14
Languages Draconic
CR 2 (XP 450; PB +2)
Traits
Amphibious. The dragon can breathe air and water.
Actions
Multiattack. The dragon makes two Rend attacks.
Rend. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2)
Slashing damage plus 2 (1d4) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw:
DC 11, each creature in a 15-foot-long, 5-foot-
wide Line. Failure: 22 (5d8) Acid damage. Success:
Half damage."
Young Black Dragon,Black Dragons,7,Large,Dragon,Chromatic,Chaotic Evil,18,5,127 (15d10 + 45),127,"Speed 40 ft., Fly 80 ft., Swim 40 ft.",40,19,14,17,12,11,15,4,5,3,1,3,2,"Perception +6, Stealth +5",NA,NA,Acid,NA,"Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 16","Common, Draconic","Young Black Dragon
Large Dragon (Chromatic), Chaotic Evil
AC 18		                      Initiative +5 (15)
HP 127 (15d10 + 45)
Speed 40 ft., Fly 80 ft., Swim 40 ft.
MOD SAVE              MOD SAVE          MOD SAVE
Str 19 +4 +4          Dex 14 +2 +5         Con 17 +3 +3
Int 12 +1 +1          Wis 11 +0 +3         Cha 15 +2 +2
Skills Perception +6, Stealth +5
Immunities Acid
Senses Blindsight 30 ft., Darkvision 120 ft.;
Passive Perception 16
Languages Common, Draconic
CR 7 (XP 2,900; PB +3)
Traits
Amphibious. The dragon can breathe air and water.
Actions
Multiattack. The dragon makes three Rend attacks.
Rend. Melee Attack Roll: +7, reach 10 ft. Hit: 9 (2d4
+ 4) Slashing damage plus 3 (1d6) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw:
DC 14, each creature in a 30-foot-long, 5-foot-
wide Line. Failure: 49 (14d6) Acid damage. Success:
Half damage."
Adult Black Dragon,Black Dragons,14,Huge,Dragon,Chromatic,Chaotic Evil,19,12,195 (17d12 + 85),195,"Speed 40 ft., Fly 80 ft., Swim 40 ft.",40,23,14,21,14,13,19,6,7,5,2,6,4,"Perception +11, Stealth +7",NA,NA,Acid,NA,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 21","Common, Draconic","Adult Black Dragon
Huge Dragon (Chromatic), Chaotic Evil
AC 19		                      Initiative +12 (22)
HP 195 (17d12 + 85)
Speed 40 ft., Fly 80 ft., Swim 40 ft.
MOD SAVE              MOD SAVE           MOD SAVE
Str 23 +6 +6          Dex 14 +2 +7         Con 21 +5 +5
Int 14 +2 +2          Wis 13 +1 +6         Cha 19 +4 +4
Skills Perception +11, Stealth +7
Immunities Acid
Senses Blindsight 60 ft., Darkvision 120 ft.;
Passive Perception 21
Languages Common, Draconic
CR 14 (XP 11,500, or 13,000 in lair; PB +5)
Traits
Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If
the dragon fails a saving throw, it can choose to suc-
ceed instead.
Actions
Multiattack. The dragon makes three Rend attacks. It
can replace one attack with a use of Spellcasting to cast
Acid Arrow (level 3 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 13 (2d6
+ 6) Slashing damage plus 4 (1d8) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw:
DC 18, each creature in a 60-foot-long, 5-foot-
wide Line. Failure: 54 (12d8) Acid damage. Success:
Half damage.
Spellcasting. The dragon casts one of the following
spells, requiring no Material components and using
Charisma as the spellcasting ability (spell save DC 17,
+9 to hit with spell attacks):
At Will: Acid Arrow (level 3 version), Detect Magic, Fear
1/Day Each: Speak with Dead, Vitriolic Sphere
Legendary Actions
Legendary Action Uses: 3 (4 in Lair). Immediately after
another creature’s turn, the dragon can expend a use to
take one of the following actions. The dragon regains all
expended uses at the start of each of its turns.
Cloud of Insects. Dexterity Saving Throw: DC 17, one
creature the dragon can see within 120 feet. Failure: 22
(4d10) Poison damage, and the target has Disadvantage
on saving throws to maintain Concentration until the
end of its next turn. Failure or Success: The dragon can’t
take this action again until the start of its next turn.
Frightful Presence. The dragon uses Spellcasting to cast
Fear. The dragon can’t take this action again until the
start of its next turn.
Pounce. The dragon moves up to half its Speed, and it
makes one Rend attack."
Ancient Black Dragon,Black Dragons,21,Gargantuan,Dragon,Chromatic,Chaotic Evil,22,16,367 (21d20 + 147),367,"Speed 40 ft., Fly 80 ft., Swim 40 ft.",40,27,14,25,16,15,22,8,9,7,3,9,6,"Perception +16, Stealth +9",NA,NA,Acid,NA,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 26","Common, Draconic","Ancient Black Dragon
Gargantuan Dragon (Chromatic), Chaotic Evil
AC 22		                      Initiative +16 (26)
HP 367 (21d20 + 147)
Speed 40 ft., Fly 80 ft., Swim 40 ft.
MOD SAVE              MOD SAVE           MOD SAVE
Str 27 +8 +8          Dex 14 +2 +9         Con 25 +7 +7
Int 16 +3 +3          Wis 15 +2 +9         Cha 22 +6 +6
Skills Perception +16, Stealth +9
Immunities Acid
Senses Blindsight 60 ft., Darkvision 120 ft.;
Passive Perception 26
Languages Common, Draconic
CR 21 (XP 33,000, or 41,000 in lair; PB +7)
Traits
Amphibious. The dragon can breathe air and water.
Legendary Resistance (4/Day, or 5/Day in Lair). If
the dragon fails a saving throw, it can choose to suc-
ceed instead.
Actions
Multiattack. The dragon makes three Rend attacks. It
can replace one attack with a use of Spellcasting to cast
Acid Arrow (level 4 version).
Rend. Melee Attack Roll: +15, reach 15 ft. Hit: 17 (2d8
+ 8) Slashing damage plus 9 (2d8) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw:
DC 22, each creature in a 90-foot-long, 10-foot-
wide Line. Failure: 67 (15d8) Acid damage. Success:
Half damage.
Spellcasting. The dragon casts one of the following
spells, requiring no Material components and using
Charisma as the spellcasting ability (spell save DC 21,
+13 to hit with spell attacks):
At Will: Acid Arrow (level 4 version), Detect
Magic, Fear
1/Day Each: Create Undead, Speak with Dead, Vitriolic
Sphere (level 5 version)
Legendary Actions
Legendary Action Uses: 3 (4 in Lair). Immediately after
another creature’s turn, the dragon can expend a use to
take one of the following actions. The dragon regains all
expended uses at the start of each of its turns.
Cloud of Insects. Dexterity Saving Throw: DC 21, one
creature the dragon can see within 120 feet. Failure: 33
(6d10) Poison damage, and the target has Disadvantage
on saving throws to maintain Concentration until the
end of its next turn. Failure or Success: The dragon can’t
take this action again until the start of its next turn.
Frightful Presence. The dragon uses Spellcasting to cast
Fear. The dragon can’t take this action again until the
start of its next turn.
Pounce. The dragon moves up to half its Speed, and it
makes one Rend attack."
Black Pudding,Black Pudding,4,Large,Ooze,NA,Unaligned,7,-3,68 (8d10 + 24),68,"Speed 20 ft., Climb 20 ft.",20,16,5,16,1,6,1,3,-3,3,-5,-2,-5,NA,NA,NA,"Acid, Cold, Lightning, Slashing; Charmed, Deafened, Exhaustion, Frightened, Grappled, Prone, Restrained",NA,Blindsight 60 ft.; Passive Perception 8,None,"Black Pudding
Large Ooze, Unaligned
AC 7		                     Initiative −3 (7)
HP 68 (8d10 + 24)
Speed 20 ft., Climb 20 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 16 +3 +3         Dex 5 −3 −3          Con 16 +3 +3
Int 1 −5 −5          Wis 6 −2 −2          Cha 1 −5 −5
Immunities Acid, Cold, Lightning, Slashing; Charmed,
Deafened, Exhaustion, Frightened, Grappled, Prone,
Restrained
Senses Blindsight 60 ft.; Passive Perception 8
Languages None
CR 4 (XP 1,100; PB +2)
Traits
Amorphous. The pudding can move through a space
as narrow as 1 inch without expending extra move-
ment to do so.
Corrosive Form. A creature that hits the pudding with a
melee attack roll takes 4 (1d8) Acid damage. Nonmag-
ical ammunition is destroyed immediately after hitting
the pudding and dealing any damage. Any nonmagical
weapon takes a cumulative −1 penalty to attack rolls
immediately after dealing damage to the pudding and
coming into contact with it. The weapon is destroyed if
the penalty reaches −5. The penalty can be removed by
casting the Mending spell on the weapon.
In 1 minute, the pudding can eat through 2 feet of
nonmagical wood or metal.
Spider Climb. The pudding can climb difficult surfaces,
including along ceilings, without needing to make an
ability check.
Actions
Dissolving Pseudopod. Melee Attack Roll: +5, reach
10 ft. Hit: 17 (4d6 + 3) Acid damage. Nonmagical ar-
mor worn by the target takes a −1 penalty to the AC it
offers. The armor is destroyed if the penalty reduces its
AC to 10. The penalty can be removed by casting the
Mending spell on the armor.
Reactions
Split. Trigger: While the pudding is Large or Medium
and has 10+ Hit Points, it becomes Bloodied or is sub-
jected to Lightning or Slashing damage. Response: The
pudding splits into two new Black Puddings. Each new
pudding is one size smaller than the original pudding
and acts on its Initiative. The original pudding’s Hit
Points are divided evenly between the new puddings
(round down)."
Blink Dog,Blink Dog,0.25,Medium,Fey,NA,Lawful Good,13,3,22 (4d8 + 4),22,Speed 40 ft.,40,12,17,12,10,13,11,1,3,1,0,1,0,"Perception +5, Stealth +5",NA,NA,NA,NA,Darkvision 60 ft.; Passive Perception 15,Blink Dog; understands Elvish and Sylvan but can’t speak them,"Blink Dog
Medium Fey, Lawful Good
AC 13		                     Initiative +3 (13)
HP 22 (4d8 + 4)
Speed 40 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 12 +1 +1         Dex 17 +3 +3          Con 12 +1 +1
Int 10 +0 +0         Wis 13 +1 +1          Cha 11 +0 +0
Skills Perception +5, Stealth +5
Senses Darkvision 60 ft.; Passive Perception 15
Languages Blink Dog; understands Elvish and Sylvan but
can’t speak them
CR 1/4 (XP 50; PB +2)
Actions
Bite. Melee Attack Roll: +5, reach 5 ft. Hit: 5 (1d4 + 3)
Piercing damage.
Bonus Actions
Teleport (Recharge 4–6). The dog teleports up to 40
feet to an unoccupied space it can see."
Blue Dragon Wyrmling,Blue Dragons,3,Medium,Dragon,Chromatic,Lawful Evil,17,2,65 (10d8 + 20),65,"Speed 30 ft., Burrow 15 ft., Fly 60 ft.",30,17,10,15,12,11,15,3,2,2,1,2,2,"Perception +4, Stealth +2",NA,NA,Lightning,NA,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14",Draconic,"Blue Dragon Wyrmling
Medium Dragon (Chromatic), Lawful Evil
AC 17		                     Initiative +2 (12)
HP 65 (10d8 + 20)
Speed 30 ft., Burrow 15 ft., Fly 60 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 17 +3 +3         Dex 10 +0 +2          Con 15 +2 +2
Int 12 +1 +1         Wis 11 +0 +2          Cha 15 +2 +2
Skills Perception +4, Stealth +2
Immunities Lightning
Senses Blindsight 10 ft., Darkvision 60 ft.;
Passive Perception 14
Languages Draconic
CR 3 (XP 700; PB +2)
Actions
Multiattack. The dragon makes two Rend attacks.
Rend. Melee Attack Roll: +5, reach 5 ft. Hit: 8 (1d10
+ 3) Slashing damage plus 3 (1d6) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving
Throw: DC 12, each creature in a 30-foot-long, 5-foot-
wide Line. Failure: 21 (6d6) Lightning damage. Success:
Half damage."
Young Blue Dragon,Blue Dragons,9,Large,Dragon,Chromatic,Lawful Evil,18,4,152 (16d10 + 64),152,"Speed 40 ft., Burrow 20 ft., Fly 80 ft.",40,21,10,19,14,13,17,5,4,4,2,5,3,"Perception +9, Stealth +4",NA,NA,Lightning,NA,"Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 19","Common, Draconic","Young Blue Dragon
Large Dragon (Chromatic), Lawful Evil
AC 18		                    Initiative +4 (14)
HP 152 (16d10 + 64)
Speed 40 ft., Burrow 20 ft., Fly 80 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 21 +5 +5         Dex 10 +0 +4         Con 19 +4 +4
Int 14 +2 +2         Wis 13 +1 +5         Cha 17 +3 +3
Skills Perception +9, Stealth +4
Immunities Lightning
Senses Blindsight 30 ft., Darkvision 120 ft.;
Passive Perception 19
Languages Common, Draconic
CR 9 (XP 5,000; PB +4)
Actions
Multiattack. The dragon makes three Rend attacks.
Rend. Melee Attack Roll: +9, reach 10 ft. Hit: 12 (2d6
+ 5) Slashing damage plus 5 (1d10) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving
Throw: DC 16, each creature in a 60-foot-long, 5-foot-
wide Line. Failure: 55 (10d10) Lightning damage. Suc-
cess: Half damage."
