spec_name,acc_genus,acc_species,palm_tribe,palm_subfamily,climbing,acaulescent,erect,stem_solitary,stem_armed,leaves_armed,max_stem_height_m,max_stem_dia_cm,understorey_canopy,max_leaf_number,max__blade__length_m,max__rachis__length_m,max__petiole_length_m,average_fruit_length_cm,min_fruit_length_cm,max_fruit_length_cm,average_fruit_width_cm,min_fruit_width_cm,max_fruit_width_cm,fruit_size_categorical,fruit_shape,fruit_color_description,main_fruit_colors,conspicuousness
Raphia gentiliana,Raphia,gentiliana,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,6,NA,canopy,NA,NA,NA,NA,5.25,4,6.5,3.25,3,3.5,large,globose,yellowish-brown darkening with age,brown,cryptic
Raphia hookeri,Raphia,hookeri,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,15,8,canopy,NA,12,NA,NA,9,5,12,4.5,4,6,large,globose,chestnut or cinmon,brown,cryptic
Raphia laurentii,Raphia,laurentii,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,4,NA,understorey,NA,6,NA,NA,5.25,4.5,6,4,3.5,4.5,large,ovoid,orange-red turn yellowish green with age,orange; red; green,conspicuous
Raphia longiflora,Raphia,longiflora,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,7,NA,canopy,NA,NA,NA,NA,5,4.5,5.5,3.75,3.5,4,large,globose,light reddish brown turning darker with age,brown,cryptic
Raphia mambillensis,Raphia,mambillensis,Lepidocaryeae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,NA,understorey,NA,NA,NA,NA,5.5,3.5,7.5,3,2.5,3.5,large,globose,dark reddish brown,brown,cryptic
Raphia mannii,Raphia,mannii,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,10,NA,canopy,NA,NA,NA,NA,6.25,5,7.5,4,3.5,4.5,large,ovoid,pale yellow,yellow,conspicuous
Raphia matombe,Raphia,matombe,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,tan to reddish-brown,brown,cryptic
Raphia monbuttorum,Raphia,monbuttorum,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,4,4,understorey,NA,NA,NA,NA,6,4.5,7.5,4,3.5,4.5,large,NA,reddish-brown-orange,brown,cryptic
Raphia palma-pinus,Raphia,palma-pinus,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,6,NA,canopy,NA,NA,NA,NA,8.75,5.5,9.5,4,NA,NA,large,globose,mahogany-red (yellow-yellowish-brown),red; brown,conspicuous
Raphia regalis,Raphia,regalis,Lepidocaryeae,Calamoideae,climbing,non-acaulescent,erect,non-solitary,armed,non-armed,0,12,understorey,NA,25,NA,NA,7.5,4.5,9.5,3.5,2,4.5,large,globose,dark mahogany,brown,cryptic
Raphia rostrata,Raphia,rostrata,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,NA,NA,NA,NA,NA,NA,NA,6.75,4.5,9,3.5,3,4,large,ovoid,dark reddish brown; polished,brown,cryptic
Raphia ruwenzorica,Raphia,ruwenzorica,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,10,NA,canopy,NA,8.5,NA,NA,11.5,10,13,5.75,5,6.5,large,globose,dark brown,brown,cryptic
Raphia sese,Raphia,sese,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,9,NA,canopy,NA,5,NA,NA,6,5,7,4,NA,NA,large,globose,orange-yellowish brown,brown,cryptic
Raphia sudanica,Raphia,sudanica,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,both,armed,non-armed,8,10,canopy,NA,12,NA,NA,8,4,8,4.5,3,4.5,large,globose,mahogany-red; yellowish to dark reddish brown,red; brown,conspicuous
Raphia taedigera,Raphia,taedigera,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,12,40,canopy,15,20,15,4.75,6,4.5,8,3.5,2.5,4.5,large,ovoid,reddish brown; yellowish-tan to orange-brown,brown,cryptic
Raphia textilis,Raphia,textilis,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,non-solitary,armed,non-armed,10,NA,canopy,NA,5,NA,NA,6.5,6,7,4.5,NA,NA,large,ovoid,dark reddish brown,brown,cryptic
Raphia vinifera,Raphia,vinifera,Lepidocaryeae,Calamoideae,climbing,acaulescent,non-erect,both,armed,non-armed,7.6,NA,canopy,NA,17,12,4.75,7.75,5,9.5,3.75,3,4.5,large,globose,hazel-brown or chestnut,brown,cryptic
Ravenea albicans,Ravenea,albicans,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,9,11,canopy,14,4.04,3.7,0.39,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Ravenea beentjei,Ravenea,beentjei,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,15,canopy,15,NA,3.5,1.5,1.5,1.4,1.6,1.55,1.5,1.6,small,globose,black,black,cryptic
Ravenea delicatula,Ravenea,delicatula,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,5,1.7,understorey,9,0.41,0.33,0.1,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Ravenea dransfieldii,Ravenea,dransfieldii,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,7,18,canopy,17,4.4,4.4,NA,1.75,1.5,2,1.35,1.2,1.5,small,ovoid,orange,orange,conspicuous
Ravenea glauca,Ravenea,glauca,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,8,12,canopy,20,2.5,2,0.55,2.1,2,2.2,2.25,2.2,2.3,small,pyramidal,yellow,yellow,conspicuous
Ravenea hildebrandtii,Ravenea,hildebrandtii,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,6,6,canopy,25,1.5,0.99,0.56,0.95,0.9,1,0.65,0.5,0.8,small,NA,yellow,yellow,conspicuous
Ravenea hypoleuca,Ravenea,hypoleuca,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,20,canopy,20,NA,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ravenea julietiae,Ravenea,julietiae,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,15,canopy,23,3.6,2.8,0.85,2.45,2.2,2.7,1.85,1.7,2,small,ovoid,NA,NA,NA
Ravenea krociana,Ravenea,krociana,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,26,canopy,26,3.6,3.6,NA,2.85,2.7,3,2.65,2.5,2.8,small,ovoid,orange,orange,conspicuous
Ravenea lakatra,Ravenea,lakatra,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,14,17,canopy,10,5.1,3.5,1.7,1.75,1.5,2,1.95,1.8,2.1,small,globose,blackish,black,cryptic
Ravenea latisecta,Ravenea,latisecta,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,10,20,canopy,13,4.1,3.6,0.55,1,NA,NA,0.7,NA,NA,small,ovoid,yellow turning red,yellow; red,conspicuous
Ravenea louvelii,Ravenea,louvelii,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,3,20,understorey,14,4.3,3,1.35,1.35,1.3,1.4,1.75,1.5,2,small,globose,dark purple,purple,cryptic
Ravenea madagascariensis,Ravenea,madagascariensis,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,12,22,canopy,26,3.8,3,0.85,0.75,0.5,1,0.875,0.75,1,small,ovoid,orange,orange,conspicuous
Ravenea moorei,Ravenea,moorei,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,35,canopy,19,2.65,2.4,0.27,1.35,NA,NA,1.4,1.2,1.6,small,ovoid,yellow to orange,yellow; orange,conspicuous
Ravenea musicalis,Ravenea,musicalis,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,8,40,canopy,16,2,1.8,0.22,2,1.7,2.3,1.65,1.4,1.9,small,globose,orange,orange,conspicuous
Ravenea nana,Ravenea,nana,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,4,NA,understorey,NA,1.07,0.4,0.72,1.7,1.3,2.1,1.4,1.1,1.7,small,globose,green,green,cryptic
Ravenea rivularis,Ravenea,rivularis,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,50,canopy,25,2,1.8,0.22,0.825,0.75,0.9,0.775,0.7,0.85,small,NA,bright red,red,conspicuous
Ravenea robustior,Ravenea,robustior,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,60,canopy,25,5.34,4,1.39,1.4,1,1.8,1.15,0.8,1.5,small,globose,orange; black purple,orange; black; purple,conspicuous
Ravenea sambiranensis,Ravenea,sambiranensis,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,29,canopy,28,2.5,2.26,0.26,1.1,1,1.2,0.95,0.9,1,small,ovoid,orange to coral-red,orange; red,conspicuous
Ravenea xerophila,Ravenea,xerophila,Ceroxyleae,Ceroxyloideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,8,30,canopy,22,2.7,2.1,0.65,1.85,1.5,2.2,2.2,1.7,2.7,small,globose,yellowish,yellow,cryptic
Reinhardtia elegans,Reinhardtia,elegans,Reinhardtieae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,6,4,canopy,12,0.7,NA,NA,1.7,1.6,1.8,1.05,0.9,1.2,small,ovoid,purple-black,purple; black,cryptic
Reinhardtia gracilis,Reinhardtia,gracilis,Reinhardtieae,Arecoideae,climbing,acaulescent,non-erect,both,armed,armed,2.5,1.5,understorey,20,0.85,0.4,0.5,1.4,1.2,1.6,NA,NA,NA,small,ovoid,purple-black,purple; black,cryptic
Reinhardtia koschnyana,Reinhardtia,koschnyana,Reinhardtieae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,0.7,0.8,understorey,14,0.45,0.17,0.08,1.2,1.1,1.3,0.7,0.6,0.8,small,ovoid,purple-black,purple; black,cryptic
Reinhardtia latisecta,Reinhardtia,latisecta,Reinhardtieae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,8,7,canopy,10,0.43,1.5,0.5,1.7,NA,NA,NA,NA,NA,small,NA,purple-black,purple; black,cryptic
Reinhardtia paiewonskiana,Reinhardtia,paiewonskiana,Reinhardtieae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,12,14,canopy,12,1.5,3,0.22,2,NA,NA,2.1,2,2.2,small,ovoid,purple-black,purple; black,cryptic
Reinhardtia simplex,Reinhardtia,simplex,Reinhardtieae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,1.5,0.8,understorey,20,0.31,0.2,0.13,1.5,NA,NA,NA,NA,NA,small,ovoid,purple-black,purple; black,cryptic
Retispatha dumetosa,Retispatha,dumetosa,Calameae,Calamoideae,both,acaulescent,both,solitary,armed,non-armed,8,7,canopy,NA,0.54,NA,0.85,2,NA,NA,1.8,NA,NA,small,ovoid,bright green with brown scale margins; ripening to yellowish-brown,brown,cryptic
Rhapidophyllum hystrix,Rhapidophyllum,hystrix,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,1.2,10,understorey,15,1.2,2,1.25,2,1.5,2.5,1,NA,NA,small,NA,brownish,brown,cryptic
Rhapis cochinchinensis,Rhapis,cochinchinensis,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,3,understorey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhapis excelsa,Rhapis,excelsa,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,4,30,understorey,9,0.75,NA,NA,0.88,0.76,1,0.71,0.61,0.8,small,ovoid,yellow,yellow,conspicuous
Rhapis gracilis,Rhapis,gracilis,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,1,understorey,NA,0.6,NA,NA,0.815,0.81,0.82,0.82,NA,NA,small,globose,blue-green,blue; green,cryptic
Rhapis humilis,Rhapis,humilis,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,6,4,canopy,10,0.9,0.9,NA,0.7,NA,NA,0.71,NA,NA,small,ovoid,NA,NA,NA
Rhapis micrantha,Rhapis,micrantha,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,1.8,understorey,14,0.91,NA,0.46,0.75,0.61,0.85,0.715,0.63,0.8,small,NA,white,white,cryptic
Rhapis multifida,Rhapis,multifida,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,2.5,understorey,NA,1.2,0.56,0.69,0.8,NA,NA,0.8,NA,NA,small,globose,yellow,yellow,conspicuous
Rhapis puhuongensis,Rhapis,puhuongensis,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,1,0.5,understorey,NA,NA,NA,NA,2.95,2.6,3.3,0.8,NA,NA,small,elongate,yellow-white,white,cryptic
Rhapis robusta,Rhapis,robusta,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,2,understorey,NA,0.6,0.29,0.34,2,1.5,2.5,0.5,NA,NA,small,NA,green,green,cryptic
Rhapis subtilis,Rhapis,subtilis,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,3,2.5,understorey,18,0.5,0.34,0.18,0.775,0.6,0.95,0.79,0.63,0.95,small,globose,whitish,white,cryptic
Rhapis vidalii,Rhapis,vidalii,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,armed,2,0.5,understorey,NA,NA,NA,NA,0.905,0.89,0.93,0.76,0.7,0.82,small,ovoid,white,white,cryptic
Rhopaloblaste augusta,Rhopaloblaste,augusta,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,30,canopy,11,4.1,4,0.12,2.4,2.2,2.6,1.6,1,2.2,small,NA,orange-red,orange; red,conspicuous
Rhopaloblaste ceramica,Rhopaloblaste,ceramica,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,35,35,canopy,17,4.05,4,0.07,3.25,3,3.5,1.7,1.6,1.8,small,ovoid,red,red,conspicuous
Rhopaloblaste elegans,Rhopaloblaste,elegans,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,12,20,canopy,14,3.5,3.5,NA,2.55,2.5,2.6,2.15,2,2.3,small,globose,orange,orange,conspicuous
Rhopaloblaste gideonii,Rhopaloblaste,gideonii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,25,20,canopy,NA,4.1,4,0.12,1.7,1.6,1.8,0.7,0.6,0.8,small,ovoid,NA,NA,NA
Rhopaloblaste ledermanniana,Rhopaloblaste,ledermanniana,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,19,canopy,13,4,3.8,0.22,1.825,1.55,2.1,1,0.8,1.2,small,globose,orange-red,orange; red,conspicuous
Rhopaloblaste singaporensis,Rhopaloblaste,singaporensis,Areceae,Arecoideae,climbing,acaulescent,non-erect,solitary,armed,armed,5,4,understorey,8,2.5,1.8,0.75,1.1,1,1.2,0.85,0.8,0.9,small,NA,yellowish orange to red,orange; red,conspicuous
Rhopalostylis baueri,Rhopalostylis,baueri,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,18,35,canopy,12,4.2,4,0.22,1.4,1.1,1.7,1,NA,NA,small,elongate,red,red,conspicuous
Rhopalostylis sapida,Rhopalostylis,sapida,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,25,canopy,NA,3,NA,NA,1.3,NA,NA,0.9,NA,NA,small,NA,red,red,conspicuous
Roscheria melanochaetes,Roscheria,melanochaetes,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,8,8,canopy,16,2.2,2,0.22,1,NA,NA,1,NA,NA,small,NA,red,red,conspicuous
Roystonea altissima,Roystonea,altissima,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,35,canopy,15,4,4,NA,1.3,1.1,1.5,0.8,0.6,1,small,ovoid,purple-black,purple; black,cryptic
Roystonea borinquena,Roystonea,borinquena,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,50,canopy,15,5.05,4.5,0.6,1.3,1.1,1.5,1.1,0.9,1.3,small,ovoid,brown to black,brown; black,cryptic
Roystonea dunlapiana,Roystonea,dunlapiana,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,40,canopy,15,4,4,NA,1.3,1.2,1.4,0.9,0.8,1,small,NA,purple-black,purple; black,cryptic
Roystonea lenis,Roystonea,lenis,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,47,canopy,15,6.5,5.8,0.75,1.25,1.1,1.4,0.95,0.8,1.1,small,globose,purple-black,purple; black,cryptic
Roystonea maisiana,Roystonea,maisiana,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,51,canopy,15,4.8,4.8,NA,1.2,1,1.4,0.8,0.7,0.9,small,NA,purple-black,purple; black,cryptic
Roystonea oleracea,Roystonea,oleracea,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,40,66,canopy,22,5.6,4.6,NA,1.5,1.3,1.7,0.9,0.8,1,small,ovoid,purple-black,purple; black,cryptic
Roystonea princeps,Roystonea,princeps,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,40,canopy,15,4,4,NA,1.5,1.2,1.8,0.9,0.8,1,small,ovoid,purple-black,purple; black,cryptic
Roystonea regia,Roystonea,regia,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,30,57.5,canopy,20,4,4,NA,1.2,0.9,1.5,0.9,0.7,1.1,small,ovoid,reddish brown or purple-black,brown; purple; black,cryptic
Roystonea stellata,Roystonea,stellata,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,40,canopy,NA,4.37,4.37,NA,1,0.9,1.1,0.85,0.8,0.9,small,globose,purple-black,purple; black,cryptic
Roystonea violacea,Roystonea,violacea,Roystoneeae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,34,canopy,15,4.4,3.6,0.85,1.3,1.2,1.4,0.8,0.7,0.9,small,NA,purple-black,purple; black,cryptic
Sabal bermudana,Sabal,bermudana,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,7,35,canopy,25,1.8,NA,2.85,1.7,NA,1.9,1.6,1.3,1.9,small,NA,black,black,cryptic
Sabal brazoriensis,Sabal,brazoriensis,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabal causiarum,Sabal,causiarum,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,16,70,canopy,30,1.3,2,2.4,0.9,NA,NA,0.9,0.7,1.1,small,NA,black,black,cryptic
Sabal domingensis,Sabal,domingensis,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,18,60,canopy,30,1.1,1.25,1.95,1.25,NA,NA,1.25,1.1,1.4,small,NA,black,black,cryptic
Sabal etonia,Sabal,etonia,Sabaleae,Coryphoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0,25,understorey,7,1,1.82,0.2,1.2,0.9,1.5,1.05,0.8,1.3,small,ovoid,brownish black,black,cryptic
Sabal gretherae,Sabal,gretherae,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,8,30,canopy,30,1.2,2,1.25,1.8,NA,NA,1.8,1.6,2,small,ovoid,black,black,cryptic
Sabal maritima,Sabal,maritima,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,40,canopy,25,1.1,1.8,1.35,1.1,NA,NA,1.1,0.8,1.4,small,ovoid,black,black,cryptic
Sabal mauritiiformis,Sabal,mauritiiformis,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,20,canopy,25,1,1.3,2.8,0.95,NA,NA,0.95,0.8,1.1,small,ovoid,black,black,cryptic
Sabal mexicana,Sabal,mexicana,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,81,canopy,25,1.6,2,4.35,1.45,1,1.9,1.4,1.1,1.7,small,NA,black,black,cryptic
Sabal minor,Sabal,minor,Sabaleae,Coryphoideae,climbing,non-acaulescent,erect,non-solitary,armed,armed,0,20,understorey,10,1.2,1.5,1.8,0.8,0.6,1,0.7,0.6,0.8,small,NA,brown to black,brown; black,cryptic
Sabal palmetto,Sabal,palmetto,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,35,canopy,30,1.2,1.9,1.9,1.1,0.8,1.4,1.1,0.8,1.4,small,ovoid,black,black,cryptic
Sabal pumos,Sabal,pumos,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,35,canopy,25,NA,NA,NA,1.85,1.4,2.3,1.55,1.2,1.9,small,ovoid,greenish brown-black,brown; black,cryptic
Sabal rosei,Sabal,rosei,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,15,30,canopy,30,NA,NA,NA,1.85,1.5,2.2,1.65,1.3,2,small,ovoid,greenish brown-black,brown; black,cryptic
Sabal uresana,Sabal,uresana,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,40,canopy,35,2.7,1.1,1.7,1.6,NA,2,1.3,NA,NA,small,ovoid,brown or black,brown; black,cryptic
Sabal yapa,Sabal,yapa,Sabaleae,Coryphoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,20,26,canopy,20,4.62,2.7,2.02,1.15,1,1.3,1.3,NA,NA,small,elongate,brown or black,brown; black,cryptic
Salacca affinis,Salacca,affinis,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,40,understorey,NA,NA,NA,2.1,8,NA,NA,4,NA,NA,large,globose,dark brown,brown,cryptic
Salacca bakeriana,Salacca,bakeriana,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,NA,understorey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salacca clemensiana,Salacca,clemensiana,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,1,10,understorey,NA,4,NA,2.1,2.775,2.45,3,2,NA,NA,small,ovoid,brown; spiny,brown,cryptic
Salacca dolicholepis,Salacca,dolicholepis,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0.15,15,understorey,NA,7,NA,2.1,4,NA,NA,3,NA,NA,large,ovoid,black,black,cryptic
Salacca dransfieldiana,Salacca,dransfieldiana,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,3,understorey,10,2.45,NA,1.3,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Salacca flabellata,Salacca,flabellata,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,5,understorey,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Salacca glabrescens,Salacca,glabrescens,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,12,understorey,18,5,4,NA,4.75,4.5,5,3.5,3,4,large,globose,reddish,red,conspicuous
Salacca graciliflora,Salacca,graciliflora,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0.2,1,understorey,NA,4.5,NA,0.8,3.4,NA,4,2.5,NA,NA,small,ovoid,NA,NA,NA
Salacca griffithii,Salacca,griffithii,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,NA,understorey,NA,4.5,4.5,NA,8,NA,NA,8,NA,NA,large,pyramidal,brown,brown,cryptic
Salacca lophospatha,Salacca,lophospatha,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,NA,understorey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pyramidal,NA,NA,NA
Salacca magnifica,Salacca,magnifica,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,NA,6,NA,1.55,NA,NA,NA,NA,NA,NA,NA,globose,deep pink; brown,pink; brown,conspicuous
Salacca minuta,Salacca,minuta,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,1,0,understorey,NA,1.2,NA,0.55,NA,NA,NA,NA,NA,NA,NA,globose,NA,NA,NA
Salacca multiflora,Salacca,multiflora,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,NA,2.25,NA,0.27,1.8,NA,2,1.5,NA,NA,small,ovoid,NA,NA,NA
Salacca ramosiana,Salacca,ramosiana,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,NA,8,NA,2.4,6,NA,NA,3,NA,NA,large,globose,sepia,brown,cryptic
Salacca rupicola,Salacca,rupicola,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,NA,NA,NA
Salacca sarawakensis,Salacca,sarawakensis,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,NA,7,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salacca secunda,Salacca,secunda,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,NA,6,6,3.75,6,NA,NA,6.25,6,6.5,large,elongate,brown,brown,cryptic
Salacca stolonifera,Salacca,stolonifera,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0.7,8,understorey,9,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,globose,brown,brown,cryptic
Salacca sumatrana,Salacca,sumatrana,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,8,8,NA,2.1,7,NA,NA,4.5,NA,NA,large,globose,green,green,cryptic
Salacca vermicularis,Salacca,vermicularis,Calameae,Calamoideae,climbing,non-acaulescent,erect,solitary,armed,non-armed,0,0,understorey,NA,7.5,NA,3.25,5.6,NA,NA,2.6,NA,NA,large,elongate,black with red-brown spines,black,cryptic
Salacca wallichiana,Salacca,wallichiana,Calameae,Calamoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,5,30,understorey,18,7,NA,NA,7.5,7,8,4,NA,NA,large,globose,reddish brown,brown,cryptic
