total_cup_points,species,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
81.17,Arabica,nucoffee,Brazil,fazenda são sebastião,NA,NA,002/1251/0182,nucoffee,1000m,south of minas,Bruno de Andrade Frota,17,60 kg,NUCOFFEE,2012,"January 23rd, 2012",NUCOFFEE,Mundo Novo,Natural / Dry,7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,7.08,0.12,0,0,Green,1,"January 22nd, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1000,1000,1000
81.17,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,NA,NA,kona,NA,4,100 lbs,Specialty Coffee Association,NA,"September 22nd, 2011",Kona Pacific Farmers Cooperative,NA,NA,7.25,7.75,7.67,7.67,7.42,7.67,8.67,9.33,10,7.75,0.04,3,0,NA,0,"September 21st, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
81.08,Arabica,kerchanshe,Ethiopia,NA,1,dry mill,010/0475/0522,kerchanshe trading plc,0,sidamo,Kerchanshe trading plc,300,60 kg,Specialty Coffee Institute of Asia,2016,"July 14th, 2017",KERCHANSHE,NA,Natural / Dry,7.42,7.33,7.17,7.33,7.42,7.17,10,10,10,7.25,0.11,0,0,NA,1,"July 14th, 2018",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,NA,NA,NA
81.08,Arabica,gregorio sebba,Brazil,fazenda são josé mirante,14,garca armazens,NA,garca armazens,695,alta paulista (sao paulo),José Olavo Boechat,500,60 kg,Specialty Coffee Association,2016,"June 21st, 2017",Gregorio Sebba,Mundo Novo,Natural / Dry,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,0.11,5,0,Green,8,"June 21st, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,695,695,695
81.08,Arabica,rolando lacayo,Nicaragua,cafetales santa matilde,NA,beneficio san carlos,017/001/652,"comercial internacional exportadora, s.a.",1100 m.o.s.l.,jinotega,ROLANDO LACAYO,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2015,"March 28th, 2015",Rolando Lacayo,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.33,7.33,10,10,10,7,0.11,0,0,NA,1,"March 27th, 2016",Asociación de Cafés Especiales de Nicaragua,fc561dd3c2eee024b032933e0a97b4aede0dc206,f79a8d4dee92a80ff14025f03ea34fa316b2132f,m,1100,1100,1100
81.08,Arabica,wali ali,United States,NA,NA,juanana coffee association,n/a,conscious bean coffee,5600 feet,central america,JuanAna Coffee Association,1,5 lbs,Specialty Coffee Association,2014,"March 4th, 2015",Wali Ali,Pache Comun,Natural / Dry,7.42,7.17,7.33,7.42,7.25,7.33,10,10,10,7.17,0,0,0,NA,0,"March 3rd, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1706.88,1706.88,1706.88
81.08,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",mwalyego amcos,NA,taylor winch (t) ltd,C006,taylor winch (t) ltd,1456,"iwala village, mbeya rural",Taylor Winch (T) ltd,54,60 kg,Africa Fine Coffee Association,2014,"January 2nd, 2015",Taylor Winch (T) Ltd,Other,Washed / Wet,7.42,7.33,7.33,7.25,7.25,7.33,10,10,10,7.17,0.13,0,0,Green,2,"January 2nd, 2016",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1456,1456,1456
81.08,Arabica,the coffee source inc.,Costa Rica,santa laura,NA,la eva,5-545-0005,the coffee source inc.,1500 mts,naranjo,Several,250,1 kg,Specialty Coffee Association of Costa Rica,2014,"December 18th, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.42,7.25,7.17,7.25,7.25,7.58,10,10,10,7.17,0.13,0,0,Green,0,"December 18th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1500,1500,1500
81.08,Arabica,german negron,United States (Puerto Rico),hacienda caracolillo,NA,hacienda alto grande,NA,"hacienda alto grande, llc.",2800 ft,yauco region,Hacienda Alto Grande,18,5 lbs,Specialty Coffee Association,2013,"May 28th, 2014",German Negron,Other,Washed / Wet,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,8.5,0,0,0,Green,0,"May 28th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,853.44,853.44,853.44
81.08,Arabica,obed rendon ponce,Mexico,"san fernando, chiapas",NA,"san fernando, chiapas",0,cafetera el grande s.a. de c.v.,1650,san fernando,MEDINA PEDRERO PRODUCTOS AGRÍCOLAS SA DE CV,100,1 kg,AMECAFE,2012,"September 14th, 2012",OBED RENDON PONCE,Typica,Washed / Wet,7.25,7.42,7.33,7.33,7.17,7.33,10,10,10,7.25,0.13,5,0,None,16,"September 14th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1650,1650,1650
81.08,Arabica,diego manuel woolrich ramirez,Mexico,cafetal sinai,NA,cafetal sinai,"1405833052, 1405833062",NA,1300,santo reyes nopala,"DIEGO MANUEL WOOLRICH RAMIREZ, ALFREDO FERNANDO WOOLRICH RAMIREZ",30,1 kg,AMECAFE,2012,"September 4th, 2012",DIEGO MANUEL WOOLRICH RAMIREZ,Typica,Washed / Wet,7.33,7.25,7.33,7.42,7.25,7.42,10,10,10,7.08,0.12,0,0,Green,2,"September 4th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
81.08,Arabica,gerardo hernandez valderrabano,Mexico,NA,NA,santa maria siltepec,1955,comercializadora profesional mexicana s.a. de c.v.,1642,santa maria sitepec,ETMAR DIDIER ROBLERO LOPEZ,40,1 kg,AMECAFE,2012,"August 30th, 2012",GERARDO HERNANDEZ VALDERRABANO,Typica,Washed / Wet,7.33,7.33,7.25,7.42,7.25,7.25,10,10,10,7.25,0.11,0,0,Green,5,"August 30th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1642,1642,1642
81.08,Arabica,balbino ramirez flores,Mexico,el desmoronado,NA,el desmoronado,0,NA,1200,talpa de allende,BALBINO RAMIREZ FLORES,15,1 kg,AMECAFE,2012,"July 3rd, 2012",BALBINO RAMIREZ FLORES,Typica,Washed / Wet,7.42,7.33,7.25,7.42,7.17,7.25,10,10,10,7.25,0.1,0,0,Green,1,"July 3rd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1200,1200,1200
81.08,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,2200304,kpfc,NA,NA,NA,2,100 lbs,Specialty Coffee Association,2012,"February 13th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Washed / Wet,7.42,7.42,7.25,7.58,6.92,7.17,10,10,10,7.33,0.06,0,0,Blue-Green,0,"February 12th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
81,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,43104350 - K25247,dry mill,002/4542/0044,bourbon specialty coffees,NA,grama valley,GABRIEL CARVALHO DIAS,300,59 kg,Brazil Specialty Coffee Association,NA,"January 16th, 2018",BOURBON SPECIALTY COFFEES,Bourbon,Pulped natural / honey,7.25,7.25,7.17,7.5,7.33,7.17,10,10,10,7.33,0.11,0,6,Green,9,"January 16th, 2019",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
81,Arabica,consejo salvadoreño del café,El Salvador,santa josefita,1-198,beneficio cuzcachapa,09-030-273,soc. coop. cuzcachapa de r.l.,1450,apaneca,"Balcanes Coffee Estates, S.A. de C.V.",100,69 kg,Salvadoran Coffee Council,2017,"August 28th, 2017",Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.42,7.08,7.08,7.33,7.25,7.58,10,10,10,7.25,0,0,2,Green,6,"August 28th, 2018",Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1450,1450,1450
81,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,43103820 - K24258 - 030/16,dry mill,002/4542/0966,bourbon specialty coffees,NA,grama valley,GABRIEL DE CARVALHO DIAS,300,59 kg,Brazil Specialty Coffee Association,2016 / 2017,"September 9th, 2016",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Pulped natural / honey,7.33,7.17,7.17,7.67,7.33,7.17,10,10,10,7.17,0.11,0,2,Bluish-Green,3,"September 9th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
81,Arabica,juan luis alvarado romero,Guatemala,chapultepec,11/23/0506,beneficio ixchel,11/23/0506,"unex guatemala, s.a.",3280,norte,CHAPULTEPEC,120,69 kg,Asociacion Nacional Del Café,2016,"August 2nd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,7.25,0.09,0,0,Green,8,"August 2nd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,3280,3280,3280
81,Arabica,racafe & cia s.c.a,Colombia,NA,3-37-4378,bachue,3-37-4378,racafe & cia s.c.a,1600,guayata,NA,43,70 kg,Almacafé,2016,"July 22nd, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,7.75,0,0,4,Green,4,"July 22nd, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1600,1600
81,Arabica,juan luis alvarado romero,Guatemala,el papaturro,NA,beneficio ixchel,11/23/0706,"unex guatemala, s.a.",4000psn,oriente,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2015,"July 23rd, 2015",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.25,7,7.25,7.5,7.25,10,10,10,7.25,0.11,0,0,Green,1,"July 22nd, 2016",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
81,Arabica,"lin, che-hao krude 林哲豪",Taiwan,jing jing café 晶晶坊青山咖啡教室,NA,jing jing café 晶晶坊青山咖啡教室,Taiwan,taiwan coffee laboratory,758m,"dongshan dist., tainan city 臺南市東山區",HU KUEI CHING 胡桂青,10,5 kg,Specialty Coffee Association,2015,"May 6th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.25,7.17,7.17,7.25,7.5,7.33,10,10,10,7.33,0.12,0,0,Bluish-Green,0,"May 5th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,758,758,758
81,Arabica,mayra yessenia torres,Honduras,el cerron,NA,NA,13-132-92,"olam honduras, s.a.",1350 snn,san marcos,NELSON MELGAR & REGINO MELGAL,275,18975 kg,Instituto Hondureño del Café,2014,"January 26th, 2015",Mayra Yessenia Torres,Caturra,Natural / Dry,7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,7.33,0.12,0,0,Green,1,"January 26th, 2016",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1350,1350,1350
81,Arabica,bourbon specialty coffees,Brazil,NA,NA,NA,002/4542/0275,bourbon specialty coffees,NA,cerrado,NA,300,60 kg,Brazil Specialty Coffee Association,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Mundo Novo,Natural / Dry,7.67,7.75,7.83,7.75,7.83,7.75,10,6.67,10,7.75,0.12,0,0,Green,0,"January 15th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
81,Arabica,mlimani ngarashi,"Tanzania, United Republic Of",rural cooperative society,NA,rafiki (coffee) limited,C23,mlimani ngarashi,1525 m,arusha,Mlimani Ngarashi,1,60 kg,Africa Fine Coffee Association,2014,"December 15th, 2014",Mlimani Ngarashi,Other,Washed / Wet,7.33,7.33,7.08,7.42,7.17,7.33,10,10,10,7.33,0.12,0,0,Green,5,"December 15th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1525,1525,1525
81,Arabica,kyagalanyi ltd,Uganda,kapchorwa,NA,kyagalanyi coffee ltd,0,kyagalanyi coffee ltd,1700,eastern,Kyagalanyi coffee Ltd,320,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kyagalanyi Ltd,SL14,Natural / Dry,7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,7.42,0.12,0,0,Green,3,"June 30th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1700,1700,1700
81,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,taiwan hao ka 台灣好咖莊園,NA,taiwan hao ka 台灣好咖莊園,NA,blossom valley宸嶧國際,1100 m,nantou,Zhou hong xiu 周紅秀,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Semi-washed / Semi-pulped,7.5,6.92,7.33,7.33,7.33,7.33,10,10,10,7.25,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1100,1100,1100
81,Arabica,doi tung development project,Thailand,doi tung development project,NA,doi tung development project,10589010,doi tung development project,800++,thailand,Doi Tung Development Project,2,1 kg,Specialty Coffee Association,2012,"May 29th, 2013",Doi Tung Development Project,NA,Washed / Wet,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,7.17,0,0,0,Green,3,"May 29th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,800,800,800
81,Arabica,alejandro garcia palacios,Mexico,finca el gavilancillo,NA,finca la fortuna,1506558878,industrializadora de kaffee andes s.a. de c.v.,950,"motozintla, chiapas",MARTHA PALACIOS,10,1 kg,AMECAFE,2012,"September 11th, 2012",ALEJANDRO GARCIA PALACIOS,Other,Washed / Wet,7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,7.25,0.12,0,0,Green,12,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,950,950,950
81,Arabica,organizaciones de productores de cafe colimense,Mexico,NA,NA,organizacion union de ejidos adolfo lopez mateos,2671,organizaciones de productores de cafe colimense sa de cv,1100,adolfo lopez mateos,COOP,200,1 kg,AMECAFE,2012,"July 3rd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Washed / Wet,7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,7.5,0,0,0,Green,8,"July 3rd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1100,1100,1100
80.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,八杞莊園,1,non,NA,八杞莊園,200,taiwan,蕭閔家,150,1 kg,Blossom Valley International,2017,"December 8th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,Other,Washed / Wet,7.33,7.17,7.25,7.33,7.33,7.25,10,10,10,7.25,0,0,0,Blue-Green,0,"December 8th, 2018",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,200,200,200
80.92,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0689,beneficio ixchel,11/23/0689,"unex guatemala, s.a.",1901,oriente,"AGRICOLA EL PILAR, S.A.",25,69 kg,Asociacion Nacional Del Café,2017,"August 23rd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,0.1,0,0,Green,2,"August 23rd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1901,1901,1901
80.92,Arabica,lydiah mwangi,Kenya,thiririka/maara,CN 70741,ckcm/nkg,NA,c dorman ltd,1600,kiambu,thiririka/Thima,150,60 kg,Kenya Coffee Traders Association,2017,"July 7th, 2017",Lydiah Mwangi,SL28,Washed / Wet,7.17,7.58,7.5,7.5,8,7.75,10,10,10,5.42,0.11,0,0,Green,3,"July 7th, 2018",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1600,1600,1600
80.92,Arabica,grupo santab s.a de c.v.,Mexico,finca monte azúl,240LVCF,cafetal la orduña,NA,grupo santab s.a. de c.v.,1100,veracruz,Jose Oscar Garza Sardaneta,240,69 kg,Centro Agroecológico del Café A.C.,2017,"May 12th, 2017",Grupo Santab S.A de C.V.,Bourbon,Washed / Wet,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,7.33,0.11,0,0,Green,11,"May 12th, 2018",Centro Agroecológico del Café A.C.,3b8dfdd621590b424ff64e0b76df7d6a92e1c628,d470dc009281519e30da6ead1c649fcd7670f386,m,1100,1100,1100
80.92,Arabica,min hlaing,Myanmar,sithar coffee farm,NA,local made,unspecified,"sithar coffee co., ltd.",3500 ft,pyinoolwin,Min Hlaing,2,2 kg,Coffee Quality Institute,2015,"July 17th, 2015",Min Hlaing,Other,Other,7.17,7.42,7,7.58,7.33,7,10,10,10,7.42,0,0,0,NA,5,"July 16th, 2016",Coffee Quality Institute,1d4c7f93129f9fb1c8a5f0ce0e36cc1cf4c2f4d7,0f62c9236e3ff5c4921da1e22a350aa99482779d,ft,1066.8,1066.8,1066.8
80.92,Arabica,eileen koyanagi,United States (Hawaii),NA,NA,NA,KP121714,kona pacific farmers cooperative,NA,kona,NA,7,100 lbs,Specialty Coffee Association,2014,"January 13th, 2015",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.42,7.08,7.17,7.17,7.58,7.25,10,10,10,7.25,0.1,2,0,Bluish-Green,5,"January 13th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
80.92,Arabica,karatu estate,"Tanzania, United Republic Of",karatu estate,NA,karatu estate,C002,karatu estate,1700,"manyara, karatu",Karatu Estate,250,60 kg,Africa Fine Coffee Association,2014,"December 18th, 2014",Karatu Estate,Other,Washed / Wet,7.33,7.17,7.17,7.25,7.42,7.33,10,10,10,7.25,0.12,0,0,Green,0,"December 18th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1700,1700,1700
80.92,Arabica,jacques pereira carneiro,Brazil,sertao farm,NA,cafeco 3,002/135-2/0075,exportadora de cafés carmo de minas ltda,1200,mantiqueira de minas,NAZARETH DIAS PEREIRA,300,60 kg,Brazil Specialty Coffee Association,2014/2015,"December 16th, 2014",Jacques Pereira Carneiro,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,0.12,0,0,Green,8,"December 16th, 2015",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1200,1200,1200
80.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,張文進莊園,NA,張文進莊園,Taiwan台灣,宸嶧國際,550公尺,台中新社,張文進,10,60 kg,Blossom Valley International,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.92,7.67,7.33,7.08,7.08,7.08,10,10,10,6.75,0.09,0,0,Green,0,"November 23rd, 2015",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,550,550,550
80.92,Arabica,ipanema coffees,Brazil,rio verde,NA,ipanema coffees,002/1660/0065,ipanema coffees,1100,south of minas,Ipanema Agrícola SA,320,2 kg,Specialty Coffee Association,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,0.1,0,0,None,0,"October 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
80.92,Arabica,chris finch,Nicaragua,NA,NA,NA,17/009/0057,volcafe specialty coffee,between 700 and 1400 meters,matagalpa,NA,275,1 lbs,Specialty Coffee Association,2013,"July 16th, 2014",Chris Finch,Caturra,Washed / Wet,7.33,7.08,7.25,7,7.5,7.42,10,10,10,7.33,0.1,1,0,Green,3,"July 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,700,1400,1050
80.92,Arabica,juan luis alvarado romero,Guatemala,el morito,NA,el morito,11/972/29,"armajaro guatemala, s. a.",5000 ft.,jalapa,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2014,"June 10th, 2014",Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,7.08,0.12,2,0,Green,5,"June 10th, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524,1524,1524
80.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,bi yun si shi yi 碧云四十一咖啡坊,NA,bi yun si shi yi 碧云四十一咖啡坊,NA,blossom valley宸嶧國際,900 m,taichung taiping 台中市太平區,Lu bi yun呂碧云,35,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,0.11,0,0,NA,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,900,900,900
80.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,bai he lin coffee 白鶴林咖啡莊園,NA,bai he lin coffee 白鶴林咖啡莊園,NA,blossom valley宸嶧國際,688 m,nantou,Ding jin cai 丁金財,5,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,7.17,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,688,688,688
80.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,heng lu coffee 橫鹿咖啡,NA,heng lu coffee 橫鹿咖啡,NA,blossom valley宸嶧國際,300 m,new taipei zhonghe 新北市中和區,Lu xing hui 呂星輝,10,20 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,300,300,300
80.92,Arabica,eduardo luis augusto velazquez solis,Mexico,"olotlan, el plan, criollo garnica",NA,"ixhuatlan del café, ver.",1104386282,NA,1186,ixhuatlan del cafe,EDUARDO LUIS AUGUSTO VELAZQUEZ SOLIS,60,1 kg,AMECAFE,2012,"July 11th, 2012",EDUARDO LUIS AUGUSTO VELAZQUEZ SOLIS,Typica,Washed / Wet,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,0.13,0,0,Green,12,"July 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1186,1186,1186
80.92,Arabica,doi tung development project,Thailand,doi tung development project,NA,NA,NA,NA,NA,NA,Doi Tung Development Project,3,1 lbs,Specialty Coffee Association,NA,"April 13th, 2010",Doi Tung Development Project,Peaberry,NA,7.67,7.58,7.33,7.33,7.17,7,10,10,10,6.83,0,0,0,NA,0,"April 13th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
80.83,Arabica,cqi taiwan icp cqi台灣合作夥伴,Laos,savan coffee bean,201601,none,NA,宸嶧國際,1300,"paksong,laos","Paksong,Laos",20,50 kg,Blossom Valley International,2016,"June 22nd, 2017",CQI Taiwan ICP CQI台灣合作夥伴,Catimor,Washed / Wet,7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,7.33,0,0,0,Green,0,"June 22nd, 2018",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1300,1300,1300
80.83,Arabica,the coffee source inc.,Guatemala,several,NA,several,11-873-054,the coffee source inc.,1200,orient,several,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"May 26th, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,0.11,0,0,Green,1,"May 26th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1200,1200,1200
