season,week,order,contestant,song,artist,song_theme,result
Season_14,songs_04,8,Alexis Gomez,I Can't Help Myself,Sugar Pie Honey Bunch,NA,Eliminated
Season_14,songs_06,1,Sarina-Joi Crowe,Love Runs Out,OneRepublic,NA,Eliminated
Season_14,songs_06,2,Rayvon Owen,Wide Awake,Katy Perry,NA,Safe
Season_14,songs_06,3,Daniel Seavey,Straight Up,Paula Abdul,NA,Safe
Season_14,songs_06,4,Maddie Walker,Suitcase,Matthew Koma,NA,Safe
Season_14,songs_06,5,Tyanna Jones,Wings,Jonas Brothers,NA,Safe
Season_14,songs_06,6,Nick Fradiani,In Your Eyes,Tribal Seeds,NA,Safe
Season_14,songs_06,7,Jax,I Want to Hold Your Hand,The Beatles,NA,Safe
Season_14,songs_06,8,Qaasim Middleton,Sir Duke,Stevie Wonder,NA,Safe
Season_14,songs_06,9,Clark Beckham,It's a Man's Man's Man's World,James Brown & The Famous Flames,NA,Safe
Season_14,songs_06,10,Joey Cook,King of Spain,Moxy Früvous,NA,Safe
Season_14,songs_06,11,Quentin Alexander,Royals,Lorde,NA,Safe
Season_14,songs_06,12,Adanna Duru,You and I,Lady Gaga,NA,Safe
Season_14,songs_07,1,Rayvon Owen,Burn,Phillipa Soo,NA,Safe
Season_14,songs_07,2,Maddie Walker,She's Country,Jason Aldean,NA,Safe
Season_14,songs_07,3,Joey Cook,Fancy,"Drake,T.I.,Swizz Beatz",NA,Safe
Season_14,songs_07,4,Clark Beckham,Takin' It to the Streets,"The Doobie Brothers,James Taylor",NA,Safe
Season_14,songs_07,5,Jax,Blank Space,Taylor Swift,NA,Safe
Season_14,songs_07,6,Qaasim Middleton,Jet,Paul McCartney and Wings,NA,Judges' save
Season_14,songs_07,7,Adanna Duru,Runaway Baby,Bruno Mars,NA,Safe
Season_14,songs_07,8,Tyanna Jones,Tightrope,Michelle Williams,NA,Safe
Season_14,songs_07,9,Daniel Seavey,Happy,Ashanti,NA,Safe
Season_14,songs_07,10,Quentin Alexander,Rolling in the Deep,Adele,NA,Safe
Season_14,songs_07,11,Nick Fradiani,Wake Me Up,Green Day,NA,Safe
Season_14,songs_08,1,Adanna Duru,Love You I Do,Jennifer Hudson,Dreamgirls,Eliminated
Season_14,songs_08,2,Daniel Seavey,Lost Stars,Adam Levine,Begin Again,Safe
Season_14,songs_08,3,Rayvon Owen,Stayin' Alive,Bee Gees,Saturday Night Fever,Bottom three
Season_14,songs_08,4,Nick Fradiani,Danger Zone,Kenny Loggins,Top Gun,Safe
Season_14,songs_08,5,Joey Cook,Mad World,Tears For Fears,Donnie Darko,Safe
Season_14,songs_08,6,Tyanna Jones,Circle of Life,"Carmen Twillie,Lebo M.",The Lion King,Safe
Season_14,songs_08,7,Quentin Alexander,You're the One That I Want,"John Travolta,Olivia Newton-John",Grease,Safe
Season_14,songs_08,8,Maddie Walker,Let's Hear It for the Boy,Deniece Williams,Footloose,Eliminated
Season_14,songs_08,9,Clark Beckham,Sunday Morning,Maroon 5,Cheaper By The Dozen 2,Safe
Season_14,songs_08,10,Jax,Grow Old with You,Adam Sandler,The Wedding Singer,Safe
Season_14,songs_08,11,Qaasim Middleton,Come Together,The Beatles,Across The Universe,Safe
Season_14,songs_09,1,Daniel Seavey,You Make My Dreams,Daryl Hall & John Oates,NA,Eliminated
Season_14,songs_09,2,Quentin Alexander,In the Air Tonight,Phil Collins,NA,Safe
Season_14,songs_09,3,Joey Cook,Girls Just Want to Have Fun,Cyndi Lauper,NA,Safe
Season_14,songs_09,4,Tyanna Jones,I Wanna Dance with Somebody,Who Loves Me,NA,Safe
Season_14,songs_09,5,Jax,You Give Love a Bad Name,Bon Jovi,NA,Safe
Season_14,songs_09,6,Nick Fradiani,Man in the Mirror,Michael Jackson,NA,Safe
Season_14,songs_09,7,Clark Beckham,Every Breath You Take,The Police,NA,Safe
Season_14,songs_09,8,Qaasim Middleton,Addicted to Love,Robert Palmer,NA,Safe
Season_14,songs_09,9,Rayvon Owen,Everybody Wants to Rule the World,Tears For Fears,NA,Fan Save
Season_14,songs_10,1,Nick Fradiani,Catch My Breath,Kelly Clarkson,NA,Safe
Season_14,songs_10,2,Jax,Beautiful Disaster,311,NA,Safe
Season_14,songs_10,3,Tyanna Jones,Mr. Know It All,Kelly Clarkson,NA,Safe
Season_14,songs_10,4,Joey Cook,Miss Independent,Kelly Clarkson,NA,Safe
Season_14,songs_10,5,Quentin Alexander,Dark Side,Kelly Clarkson,NA,Safe
Season_14,songs_10,6,Qaasim Middleton,Stronger,What Doesn't Kill You,NA,Eliminated
Season_14,songs_10,7,Clark Beckham,The Trouble with Love Is,Kelly Clarkson,NA,Safe
Season_14,songs_10,8,Rayvon Owen,Since U Been Gone,Kelly Clarkson,NA,Fan Save
Season_14,songs_11,1,Jax,Poker Face,Lady Gaga,NA,Safe
Season_14,songs_11,2,Nick Fradiani,Teenage Dream,Katy Perry,NA,Safe
Season_14,songs_11,3,Quentin Alexander,Latch,"Disclosure,Sam Smith",NA,Safe
Season_14,songs_11,4,Joey Cook,Wrecking Ball,Mother Mother,NA,Eliminated
Season_14,songs_11,5,Clark Beckham,Make It Rain,"Fat Joe,Lil Wayne",NA,Safe
Season_14,songs_11,6,Tyanna Jones,Stay,"Rihanna,Mikky Ekko",NA,Safe
Season_14,songs_11,7,Rayvon Owen,Set Fire to the Rain,Adele,NA,Fan Save
Season_14,songs_12,1,Tyanna Jones,Why Do Fools Fall in Love,Frankie Valli & The Four Seasons,NA,Safe
Season_14,songs_12,2,Clark Beckham,Superstition,Stevie Wonder,NA,Safe
Season_14,songs_12,3,Jax,Piece of My Heart,"Big Brother & The Holding Company,Janis Joplin",NA,Safe
Season_14,songs_12,4,Nick Fradiani,American Girl,Tom Petty and the Heartbreakers,NA,Safe
Season_14,songs_12,5,Quentin Alexander,Are You Gonna Go My Way,Lenny Kravitz,NA,Eliminated
Season_14,songs_12,6,Rayvon Owen,Long Train Runnin',The Doobie Brothers,NA,Fan Save
Season_14,songs_12,7,Clark Beckham,Moon River,Audrey Hepburn,NA,Safe
Season_14,songs_12,8,Tyanna Jones,Proud Mary,Creedence Clearwater Revival,NA,Safe
Season_14,songs_12,9,Nick Fradiani,Only the Good Die Young,Billy Joel,NA,Safe
Season_14,songs_12,10,Quentin Alexander,The Sound of Silence,Simon & Garfunkel,NA,Eliminated
Season_14,songs_12,11,Jax,Beat It,Michael Jackson,NA,Safe
Season_14,songs_12,12,Rayvon Owen,Always on My Mind,Willie Nelson,NA,Fan Save
Season_14,songs_13,1,Jax,Are You Gonna Be My Girl,Jet,NA,Safe
Season_14,songs_13,2,Nick Fradiani,Harder to Breathe,Maroon 5,NA,Safe
Season_14,songs_13,3,Clark Beckham,Yesterday,David Schultz,NA,Safe
Season_14,songs_13,4,Tyanna Jones,Party in the U.S.A.,Miley Cyrus,NA,Eliminated
Season_14,songs_13,5,Rayvon Owen,I'm Not the Only One,Sam Smith,NA,Bottom two
Season_14,songs_13,6,Nick Fradiani,Maggie May,Rod Stewart,NA,Safe
Season_14,songs_13,7,Tyanna Jones,Heaven,Kane Brown,NA,Eliminated
Season_14,songs_13,8,Clark Beckham,Boyfriend,Dove Cameron,NA,Safe
Season_14,songs_13,9,Jax,White Flag,Dido,NA,Safe
Season_14,songs_13,10,Rayvon Owen,Go Your Own Way,Fleetwood Mac,NA,Bottom two
Season_14,songs_14,1,Clark Beckham,Living for the City,Stevie Wonder,NA,Safe
Season_14,songs_14,2,Jax,Empire State of Mind,"JAY-Z,Alicia Keys",NA,Safe
Season_14,songs_14,3,Nick Fradiani,Bright Lights,Matchbox Twenty,NA,Safe
Season_14,songs_14,4,Rayvon Owen,Need You Now,Lady A,NA,Eliminated
Season_14,songs_14,5,Clark Beckham,Your Man,Josh Turner,NA,Safe
Season_14,songs_14,6,Jax,Human,Cody Johnson,NA,Safe
Season_14,songs_14,7,Rayvon Owen,Believe,Bruno Mali Kidd,NA,Eliminated
Season_14,songs_14,8,Nick Fradiani,What Hurts the Most,Rascal Flatts,NA,Safe
Season_14,songs_15,1,Clark Beckham,Beautiful Day,U2,Scott Borchetta Choice,Safe
Season_14,songs_15,2,Nick Fradiani,Because the Night,Patti Smith,Scott Borchetta Choice,Safe
Season_14,songs_15,3,Jax,My Generation,The Who,Scott Borchetta Choice,Third place
Season_14,songs_15,4,Nick Fradiani,Back Home,Andy Grammer,Hometown Dedication,Safe
Season_14,songs_15,5,Clark Beckham,(Sittin' On) the Dock of the Bay,Otis Redding,Hometown Dedication,Safe
Season_14,songs_15,6,Jax,My Immortal,Evanescence,Hometown Dedication,Third place
Season_14,songs_15,7,Clark Beckham,Earned It,The Weeknd,Judges Choice,Safe
Season_14,songs_15,8,Jax,Misery Business,Paramore,Judges Choice,Third place
Season_14,songs_15,9,Nick Fradiani,I'll Be,Edwin McCain,Judges Choice,Safe
Season_14,songs_16,1,Clark Beckham,Georgia on My Mind,Oscar Peterson Trio,Favorite Performance,Runner-up
Season_14,songs_16,2,Nick Fradiani,Bright Lights,Matchbox Twenty,Favorite Performance,Winner
Season_14,songs_16,3,Clark Beckham,Ain't No Sunshine,Bill Withers,Simon Fuller Choice,Runner-up
Season_14,songs_16,4,Nick Fradiani,I Won't Give Up,Jason Mraz,Simon Fuller Choice,Winner
Season_14,songs_16,5,Clark Beckham,Champion,Kanye West,Winner Single,Runner-up
Season_14,songs_16,6,Nick Fradiani,Beautiful Life,Ace of Base,Winner Single,Winner
Season_15,songs_01,1,"Stephany Negrete, with Ruben Studdard",Mamma Knows Best,Donna Murphy,NA,Eliminated
Season_15,songs_01,2,"MacKenzie Bourg, with Lauren Alaina",Say Something,"Timbaland,Drake",NA,Wild Card
Season_15,songs_01,3,"Jeneve Rose Mitchell, with Scotty McCreery",Angel,Halle,NA,Wild Card
Season_15,songs_01,4,"Jenna Renae, with Scotty McCreery",My Church,Maren Morris,NA,Eliminated
Season_15,songs_01,5,"James VIII, with Caleb Johnson",Love Lockdown,Kanye West,NA,Eliminated
Season_15,songs_01,6,"Sonika Vaid, with Caleb Johnson",Safe & Sound,"Taylor Swift,The Civil Wars",NA,Wild Card
Season_15,songs_01,7,"Gianna Isabella, with Nick Fradiani",I Put a Spell on You,Nina Simone,NA,Wild Card
Season_15,songs_01,8,"Emily Brooke, with Lauren Alaina",I Am Invincible,Cassadee Pope,NA,Eliminated
Season_15,songs_01,9,"Avalon Young, with Ruben Studdard",Love Yourself,Justin Bieber,NA,Wild Card
Season_15,songs_01,10,"Jordan Sasser, with Fantasia",All by Myself,Céline Dion,NA,Eliminated
Season_15,songs_01,11,"Thomas Stringfellow, with Nick Fradiani",Creep,Radiohead,NA,Wild Card
Season_15,songs_01,12,"La'Porsha Renae, with Fantasia",Proud Mary,Creedence Clearwater Revival,NA,Advanced
Season_15,songs_01,13,"Emily Brooke, with Lauren Alaina",Flat on the Floor,Nickelback,NA,Eliminated
Season_15,songs_01,14,"Thomas Stringfellow, with Nick Fradiani",Man in the Mirror,Michael Jackson,NA,Wild Card
Season_15,songs_01,15,"Stephany Negrete, with Ruben Studdard",Superstar,USHER,NA,Eliminated
Season_15,songs_01,16,"Sonika Vaid, with Caleb Johnson",Skyfall,Adele,NA,Wild Card
Season_15,songs_01,17,"Jenna Renae, with Scotty McCreery",See You Tonight,Scotty McCreery,NA,Eliminated
Season_15,songs_01,18,"La'Porsha Renae, with Fantasia",Summertime,Kenny Chesney,NA,Advanced
Season_15,songs_01,19,"MacKenzie Bourg, with Lauren Alaina",I Hope You Dance,Lee Ann Womack,NA,Wild Card
Season_15,songs_01,20,"Gianna Isabella, with Nick Fradiani",Beautiful Life,Ace of Base,NA,Wild Card
Season_15,songs_01,21,"Avalon Young, with Ruben Studdard",Flying Without Wings,Westlife,NA,Wild Card
Season_15,songs_01,22,"James VIII, with Caleb Johnson",Gimme Shelter,The Rolling Stones,NA,Eliminated
Season_15,songs_01,23,"Jeneve Rose Mitchell, with Scotty McCreery",Gone,ROSÉ,NA,Wild Card
Season_15,songs_01,24,"Jordan Sasser, with Fantasia",I Believe,The Darkness,NA,Eliminated
Season_15,songs_02,1,"Shelbie Z, with Constantine Maroulis","Work Hard, Play Harder",Montgomery Gentry,NA,Eliminated
Season_15,songs_02,2,"Manny Torres, with Jordin Sparks",Adventure of a Lifetime,Coldplay,NA,Wild Card
Season_15,songs_02,3,"Kory Wheeler, with Haley Reinhart",Let It Go,Idina Menzel,NA,Eliminated
Season_15,songs_02,4,"Amelia Eisenhauer, with Kellie Pickler",Wake Me Up,Green Day,NA,Eliminated
Season_15,songs_02,5,"Jenn Blosil, with Constantine Maroulis",Sorry,Justin Bieber,NA,Wild Card
Season_15,songs_02,6,"C.J. Johnson, with David Cook",I'll Be,Edwin McCain,NA,Eliminated
Season_15,songs_02,7,"Lee Jean, with Chris Daughtry",Runaway,"Kanye West,Pusha T",NA,Wild Card
Season_15,songs_02,8,"Trent Harmon, with Jordin Sparks",What Are You Listening To,Chris Stapleton,NA,Advanced
Season_15,songs_02,9,"Tristan McIntosh, with Kellie Pickler",Good Girl,Carrie Underwood,NA,Wild Card
Season_15,songs_02,10,"Adam Lasher, with Haley Reinhart",Black and Gold,Sam Sparro,NA,Eliminated
Season_15,songs_02,11,"Dalton Rapattoni, with Chris Daughtry",Rebel Yell,Billy Idol,NA,Advanced
Season_15,songs_02,12,"Olivia Rox, with David Cook",Confident,Demi Lovato,NA,Advanced
Season_15,songs_02,13,"Amelia Eisenhauer, with Kellie Pickler",Suds in the Bucket,Sara Evans,NA,Eliminated
Season_15,songs_02,14,"Kory Wheeler, with Haley Reinhart",Bennie and the Jets,Elton John,NA,Eliminated
Season_15,songs_02,15,"Lee Jean, with Chris Daughtry",Home,Edward Sharpe & The Magnetic Zeros,NA,Wild Card
Season_15,songs_02,16,"C.J. Johnson, with David Cook",The World I Know,Collective Soul,NA,Eliminated
Season_15,songs_02,17,"Manny Torres, with Jordin Sparks",No Air,"Jordin Sparks,Chris Brown",NA,Wild Card
Season_15,songs_02,18,"Jenn Blosil, with Constantine Maroulis",My Funny Valentine,Frank Sinatra,NA,Wild Card
Season_15,songs_02,19,"Tristan McIntosh, with Kellie Pickler",Best Days of Your Life,Kellie Pickler,NA,Wild Card
Season_15,songs_02,20,"Olivia Rox, with David Cook",Light On,Maggie Rogers,NA,Advanced
Season_15,songs_02,21,"Adam Lasher, with Haley Reinhart",Can't Help Falling in Love,Elvis Presley,NA,Eliminated
Season_15,songs_02,22,"Dalton Rapattoni, with Chris Daughtry",Higher Ground,Stevie Wonder,NA,Advanced
Season_15,songs_02,23,"Trent Harmon, with Jordin Sparks",To Love Somebody,Bee Gees,NA,Advanced
Season_15,songs_02,24,"Shelbie Z, with Constantine Maroulis",Bohemian Rhapsody,Queen,NA,Eliminated
Season_15,songs_03,1,1,Master Blaster,Jammin',NA,Eliminated
Season_15,songs_03,2,2,I Put a Spell on You,Nina Simone,NA,Advanced
Season_15,songs_03,3,3,Story of My Life,Social Distortion,NA,Eliminated
Season_15,songs_03,4,4,What Hurts the Most,Rascal Flatts,NA,Advanced
Season_15,songs_03,5,5,Yo,Excuse Me Miss,NA,Advanced
Season_15,songs_03,6,6,True Colors,Cyndi Lauper,NA,Eliminated
Season_15,songs_03,7,7,Make It Rain,"Fat Joe,Lil Wayne",NA,Advanced
Season_15,songs_03,8,8,I Surrender,"Hillsong Worship,Matt Crocker",NA,Advanced
Season_15,songs_03,9,9,Ring of Fire,Johnny Cash,NA,Eliminated
Season_15,songs_03,10,10,Roses,"The Chainsmokers,ROZES",NA,Advanced
Season_15,songs_04,1,Olivia Rox,Unconditionally,Katy Perry,NA,Eliminated
Season_15,songs_04,2,Gianna Isabella,Listen,Marvin Sapp,NA,Eliminated
Season_15,songs_04,3,Lee Jean,Skinny Love,Bon Iver,NA,Safe
Season_15,songs_04,4,Avalon Young,Stitches,Shawn Mendes,NA,Bottom 3
Season_15,songs_04,5,Dalton Rapattoni,Hey There Delilah,Plain White T's,NA,Safe
Season_15,songs_04,6,Tristan McIntosh,Nothin' Like You,Dan + Shay,NA,Safe
Season_15,songs_04,7,MacKenzie Bourg,I See Fire,Ed Sheeran,NA,Safe
Season_15,songs_04,8,La'Porsha Renae,Diamonds,Rihanna,NA,Safe
Season_15,songs_04,9,Sonika Vaid,Bring Me to Life,Evanescence,NA,Safe
Season_15,songs_04,10,Trent Harmon,Like I Can,Sam Smith,NA,Safe
Season_15,songs_05,1,Dalton Rapattoni,Radioactive,Imagine Dragons,NA,Safe
Season_15,songs_05,2,Lee Jean,Use Somebody,Kings of Leon,NA,Eliminated
Season_15,songs_05,3,Sonika Vaid,Since U Been Gone,Kelly Clarkson,NA,Bottom 3
Season_15,songs_05,4,MacKenzie Bourg,I Wanna Dance with Somebody,Who Loves Me,NA,Safe
Season_15,songs_05,5,La'Porsha Renae,Halo,Beyoncé,NA,Safe
Season_15,songs_05,6,Trent Harmon,When a Man Loves a Woman,Percy Sledge,NA,Safe
Season_15,songs_05,7,Tristan McIntosh,Go Rest High on That Mountain,Vince Gill,NA,Safe
Season_15,songs_05,8,Avalon Young,Earned It,The Weeknd,NA,Eliminated
Season_15,songs_06,1,La'Porsha Renae,See You Again,with Trent Harmon,Duet Song,Safe
Season_15,songs_06,1,Trent Harmon,See You Again,with La'Porsha Renae,Duet Song,Safe
Season_15,songs_06,2,Sonika Vaid,Rise Up,with Avalon Young,Duet Song,Bottom 2
Season_15,songs_06,3,MacKenzie Bourg,I Want It That Way,with Dalton Rapattoni,Duet Song,Safe
Season_15,songs_06,3,Dalton Rapattoni,I Want It That Way,with MacKenzie Bourg,Duet Song,Safe
Season_15,songs_06,4,Tristan McIntosh,I Don't Wanna Miss a Thing,with Lee Jean,Duet Song,Eliminated
Season_15,songs_06,5,La'Porsha Renae,Come Together,The Beatles,Solo Song,Safe
Season_15,songs_06,6,MacKenzie Bourg,You Are So Beautiful,Joe Cocker,Solo Song,Safe
Season_15,songs_06,7,Trent Harmon,Stand By Me,Ben E. King,Solo Song,Safe
Season_15,songs_06,8,Tristan McIntosh,A Broken Wing,Martina McBride,Solo Song,Eliminated
Season_15,songs_06,9,Dalton Rapattoni,Eleanor Rigby,The Beatles,Solo Song,Safe
Season_15,songs_06,10,Sonika Vaid,I Have Nothing,Whitney Houston,Solo Song,Bottom 2
Season_15,songs_07,1,Trent Harmon,Counting Stars,OneRepublic,Twitter Choice,Safe
Season_15,songs_07,2,Dalton Rapattoni,Numb,Linkin Park,Twitter Choice,Bottom 2
Season_15,songs_07,3,La'Porsha Renae,Ready for Love,BLACKPINK,Twitter Choice,Safe
Season_15,songs_07,4,MacKenzie Bourg,Wild World,Yusuf / Cat Stevens,Twitter Choice,Safe
Season_15,songs_07,5,Sonika Vaid,Let It Go,Idina Menzel,Twitter Choice,Eliminated
Season_15,songs_07,6,Dalton Rapattoni,The Sound of Silence,Simon & Garfunkel,Contestant Choice,Bottom 2
Season_15,songs_07,7,MacKenzie Bourg,Billie Jean,Michael Jackson,Contestant Choice,Safe
Season_15,songs_07,8,Trent Harmon,Simple Man,Lynyrd Skynyrd,Contestant Choice,Safe
Season_15,songs_07,9,Sonika Vaid,Clarity,"Zedd,Foxes",Contestant Choice,Eliminated
Season_15,songs_07,10,La'Porsha Renae,No More Drama,Mary J. Blige,Contestant Choice,Safe
Season_15,songs_08,1,La'Porsha Renae,Wanted Dead or Alive,Bon Jovi,Classical Rock Song,Bottom 2
Season_15,songs_08,2,MacKenzie Bourg,I Want You to Want Me,Cheap Trick,Classical Rock Song,Eliminated
Season_15,songs_08,3,Trent Harmon,Sharp Dressed Man,ZZ Top,Classical Rock Song,Safe
Season_15,songs_08,4,Dalton Rapattoni,God Only Knows,The Beach Boys,Classical Rock Song,Safe
Season_15,songs_08,5,La'Porsha Renae,Elastic Heart,Sia,Sia Song,Bottom 2
Season_15,songs_08,6,MacKenzie Bourg,Titanium,Chloe Welch,Sia Song,Eliminated
Season_15,songs_08,7,Trent Harmon,Chandelier,Sia,Sia Song,Safe
Season_15,songs_08,8,Dalton Rapattoni,Bird Set Free,Sia,Sia Song,Safe
Season_15,songs_09,1,Dalton Rapattoni,Calling You,Blue October,Hometown Dedication,Third place
Season_15,songs_09,2,Trent Harmon,Tennessee Whiskey,Chris Stapleton,Hometown Dedication,Safe
Season_15,songs_09,3,La'Porsha Renae,Glory,Aaron Cole,Hometown Dedication,Safe
Season_15,songs_09,4,Dalton Rapattoni,Dancing in the Dark,Bruce Springsteen,Scott Borchetta Choice,Third place
Season_15,songs_09,5,La'Porsha Renae,Stay with Me,Miki Matsubara,Scott Borchetta Choice,Safe
Season_15,songs_09,6,Trent Harmon,Drink You Away,Justin Timberlake,Scott Borchetta Choice,Safe
Season_15,songs_09,7,Dalton Rapattoni,Everybody Wants to Rule the World,Tears For Fears,Judges Choice,Third place
Season_15,songs_09,8,La'Porsha Renae,Hello,Adele,Judges Choice,Safe
Season_15,songs_09,9,Trent Harmon,Waiting Game,BANKS,Judges Choice,Safe
Season_15,songs_10,1,Trent Harmon,Falling,Harry Styles,Original Single,Winner
Season_15,songs_10,2,La'Porsha Renae,Battles,The Afters,Original Single,Runner-up
Season_15,songs_10,3,Trent Harmon,If You Don't Know Me by Now,"Harold Melvin & The Blue Notes,Teddy Pendergrass",Simon Fuller Choice,Winner
Season_15,songs_10,4,La'Porsha Renae,A House Is Not a Home,Luther Vandross,Simon Fuller Choice,Runner-up
Season_15,songs_10,5,Trent Harmon,Chandelier,Sia,Favorite Performance,Winner
Season_15,songs_10,6,La'Porsha Renae,Diamonds,Rihanna,Favorite Performance,Runner-up
Season_16,songs_02,1,"Dominique, with —",Ain't Nobody,Chaka Khan,NA,—
Season_16,songs_02,1,"Catie Turner, with Andy Grammer",Good to Be Alive,Hallelujah,NA,Advanced
Season_16,songs_02,2,"Layla Spring, with —",A Broken Wing,Martina McBride,NA,—
Season_16,songs_02,2,"Cade Foehner, with Bishop Briggs",Never Tear Us Apart,INXS,NA,Advanced
Season_16,songs_02,3,"Catie Turner, with —",Call Me,Blondie,NA,—
Season_16,songs_02,3,"Layla Spring, with Sugarland",Stuck Like Glue,Sugarland,NA,Eliminated
Season_16,songs_02,4,"Dennis Lorenzo, with —",Rude,MAGIC!,NA,—
Season_16,songs_02,4,"Dominique, with Aloe Blacc",Wake Me Up,Green Day,NA,Eliminated
Season_16,songs_02,5,"Michelle Sussett, with —",If I Were a Boy,Beyoncé,NA,—
Season_16,songs_02,5,"Brandon Diaz, with Luis Fonsi",Despacito,"Luis Fonsi,Daddy Yankee",NA,Eliminated
Season_16,songs_02,6,"Michael J. Woodard, with —",Golden Slumbers,The Beatles,NA,—
Season_16,songs_02,6,"Kay Kay, with Patrick Monahan",Drive By,Train,NA,Eliminated
Season_16,songs_02,7,"Trevor McBane, with —",Way Down We Go,KALEO,NA,—
Season_16,songs_02,7,"Trevor McBane, with Bishop Briggs",River,Leon Bridges,NA,Eliminated
Season_16,songs_02,8,"Jonny Brenns, with —",Georgia,Vance Joy,NA,—
Season_16,songs_02,8,"Michelle Sussett, with Luis Fonsi",I Can't Make You Love Me,Bonnie Raitt,NA,Advanced
Season_16,songs_02,9,"Kay Kay, with —",Love on the Brain,Rihanna,NA,—
Season_16,songs_02,9,"Jonny Brenns, with Andy Grammer",Back Home,Andy Grammer,NA,Advanced
Season_16,songs_02,10,"Brandon Diaz, with —",Hello,Adele,NA,—
Season_16,songs_02,10,"Dennis Lorenzo, with Allen Stone",Unaware,Allen Stone,NA,Advanced
Season_16,songs_02,11,"Gabby Barrett, with —",My Church,Maren Morris,NA,—
Season_16,songs_02,11,"Michael J. Woodard, with Patrick Monahan",Angel in Blue Jeans,Train,NA,Advanced
Season_16,songs_02,12,"Cade Foehner, with —",All Along the Watchtower,Bob Dylan,NA,—
Season_16,songs_02,12,"Gabby Barrett, with Sugarland",Stay,"Rihanna,Mikky Ekko",NA,Advanced
Season_16,songs_03,1,"Amelia Hammer Harris, with —",Believer,Imagine Dragons,NA,—
Season_16,songs_03,1,"Caleb Lee Hutchinson, with Bebe Rexha",Meant to Be,"Ryan McCartan,Barrett Wilbert Weed,Michelle Duffy",NA,Advanced
Season_16,songs_03,2,"Garrett Jacobs, with —",Treat You Better,Shawn Mendes,NA,—
Season_16,songs_03,2,"Ada Vox, with Lea Michele",Defying Gravity,"Stephen Schwartz,Kristin Chenoweth,Idina Menzel,Stephen Oremus,Alex Lacamoire",NA,Advanced
Season_16,songs_03,3,"Maddie Poppe, with —",Brand New Key,Melanie,NA,—
Season_16,songs_03,3,"Maddie Poppe, with Colbie Caillat",Bubbly,Colbie Caillat,NA,Advanced
Season_16,songs_03,4,"Ada Vox, with —",Feeling Good,Michael Bublé,NA,—
Season_16,songs_03,4,"Ron Bultongez, with Banners",Someone to You,BANNERS,NA,Eliminated
Season_16,songs_03,5,"Caleb Lee Hutchinson, with —",Die a Happy Man,Thomas Rhett,NA,—
Season_16,songs_03,5,"Amelia Hammer Harris, with Bebe Rexha","Me, Myself & I","G-Eazy,Bebe Rexha",NA,Eliminated
Season_16,songs_03,6,"Effie Passero, with —",Barracuda,Heart,NA,—
Season_16,songs_03,6,"Shannon O'Hara, with Cam",Burning House,Cam,NA,Eliminated
Season_16,songs_03,7,"Alyssa Raghu, with —",Stay,"Rihanna,Mikky Ekko",NA,—
Season_16,songs_03,7,"Alyssa Raghu, with Banners",Yellow,Coldplay,NA,Eliminated
Season_16,songs_03,8,"Marcio Donaldson, with —",Inseparable,Jonas Brothers,NA,—
Season_16,songs_03,8,"Marcio Donaldson, with Allen Stone",What's Going On,Marvin Gaye,NA,Advanced
Season_16,songs_03,9,"Mara Justine, with —",Run to You,Bryan Adams,NA,—
Season_16,songs_03,9,"Jurnee, with Lea Michele",Run to You,Bryan Adams,NA,Advanced
Season_16,songs_03,10,"Jurnee, with —",Flashlight,The Front Bottoms,NA,—
Season_16,songs_03,10,"Garrett Jacobs, with Colbie Caillat",Lucky,Elle King,NA,Advanced
Season_16,songs_03,11,"Shannon O'Hara, with —",All I Ask,"Andrew Lloyd Webber,Patrick Wilson,Emmy Rossum",NA,—
Season_16,songs_03,11,"Mara Justine, with Rachel Platten",Fight Song,The Stanfields,NA,Advanced
Season_16,songs_03,12,"Ron Bultongez, with —",Dancing On My Own,Robyn,NA,—
Season_16,songs_03,12,"Effie Passero, with Cam",Diane,Cam,NA,Eliminated
Season_16,songs_04,1,Caleb Lee Hutchinson,Midnight Train to Memphis,The Steeldrivers,NA,Advanced
Season_16,songs_04,1,Maddie Poppe,Walk Like an Egyptian,The Bangles,NA,Immune
Season_16,songs_04,2,Michelle Sussett,Friends,Chase Atlantic,NA,Not Chosen
Season_16,songs_04,2,Michelle Sussett,I'm a Dreamer,original song,NA,Judges' choice
Season_16,songs_04,3,Marcio Donaldson,It's a Miracle,Barry Manilow,NA,Not Chosen
Season_16,songs_04,3,Marcio Donaldson,Jealous,Eyedress,NA,Eliminated
Season_16,songs_04,4,Mara Justine,This Is Me,"Keala Settle,The Greatest Showman Ensemble",NA,Not Chosen
Season_16,songs_04,4,Cade Foehner,Bright Lights,Matchbox Twenty,NA,Immune
Season_16,songs_04,5,Garrett Jacobs,Raging Fire,Pablo Cruise,NA,Not Chosen
Season_16,songs_04,5,Garrett Jacobs,Have You Ever Seen the Rain?,Creedence Clearwater Revival,NA,Eliminated
Season_16,songs_04,6,Ada Vox,The Show Must Go On,Queen,NA,Not Chosen
Season_16,songs_04,6,Gabby Barrett,Little Red Wagon,Denise Gagne,NA,Immune
Season_16,songs_04,7,Catie Turner,Take Me to Church,Hozier,NA,Advanced
Season_16,songs_04,7,Dennis Lorenzo,This Woman's Work,Kate Bush,NA,Judges' choice
Season_16,songs_04,8,Cade Foehner,Black Magic Woman,Santana,NA,Advanced
