id,name,normalized_name
2064,Tropical Island,tropical island
2065,Fox TV Pledge Drive Studio,fox tv pledge drive studio
2066,FOREST PRESERVE,forest preserve
2067,Duff Days Entrance,duff days entrance
2068,Duff Days,duff days
2069,TIPSY-WHIRL RIDE,tipsy-whirl ride
2070,Duff Days Designated Drivers' Zone,duff days designated drivers zone
2071,Duff Days Fair Grounds,duff days fair grounds
2072,Doctor's Office,doctor office
2073,"""IT NEVER ENDS"" SET",it never ends set
2074,Moe's Dressing Room,moe dressing room
2075,DIRECTOR'S BOOTH,director booth
2076,SOAP OPERA SET,soap opera set
2077,INDIAN CASINO,indian casino
2745,JUVIE,juvie
2078,BEACH BUNGALOW,beach bungalow
2079,Simpson House of the Future,simpson house of the future
2080,NELSON'S CRAB-SHACK,nelson crab-shack
2081,Pennsylvania Avenue,pennsylvania avenue
2082,White House Lawn,white house lawn
2083,Oval Office,oval office
2084,Camp David,camp david
2085,BANQUET ROOM,banquet room
2086,CASINO MANAGER'S OFFICE,casino manager office
2087,SPRINGFIELD BUSINESS DISTRICT,springfield business district
2088,POLYNESIAN RESTAURANT,polynesian restaurant
2089,Office Building,office building
2090,A.A. Meeting,aa meeting
2091,HELICOPTER FLIGHT SCHOOL,helicopter flight school
2092,Florida,florida
2093,SWAMP,swamp
2094,SOUTHERN COUNTRYSIDE,southern countryside
2095,HIGHWAY CONSTRUCTION AREA,highway construction area
2096,Gardens In Front Of Courthouse,gardens in front of courthouse
2097,Eye Caramba,eye caramba
2098,"""eye Caramba"" Examination Room",eye caramba examination room
2099,Eyewear Store,eyewear store
2100,"""tommy Hillclimber"" Camping Store",tommy hillclimber camping store
2101,Dance Class,dance class
2102,Der Krazy Kraut,der krazy kraut
2103,INSANITY HEARING ROOM,insanity hearing room
2104,Krusty the Clown Show Set,krusty the clown show set
2105,MICROFILM ROOM,microfilm room
2106,Buckingham Palace,buckingham palace
2107,HOLLYWOOD BOULEVARD,hollywood boulevard
2108,Willie Nelson's Tour Bus,willie nelson tour bus
2109,TV EDITING BAY,tv editing bay
2110,EDITING ROOM,editing room
2111,HEAVEN,heaven
2112,HEAVEN'S GATE,heaven gate
2113,SIMPSON PUMPKIN HOUSE,simpson pumpkin house
2114,EDGE OF FOREST,edge of forest
2115,DARK FOREST,dark forest
2116,Clearing,clearing
2117,COTTAGE,cottage
2118,ENCHANTED FOREST,enchanted forest
2119,TOWER IN THE MIDDLE OF THE WOODS,tower in the middle of the woods
2120,CANDY HOUSE,candy house
2121,SPRINGFIELD MARINE PARK,springfield marine park
2122,DOLPHIN SHOW AMPHITHEATER,dolphin show amphitheater
2123,BEACH PARKING LOT,beach parking lot
2124,Olde Springfield Hospital,olde springfield hospital
2125,Professor Frink's Lab,professor frink lab
2126,Olde Springfield Arena,olde springfield arena
2127,Springfield Festival of Books,springfield festival of books
2128,STEPHEN KING'S BOOTH,stephen king booth
2129,PROF. FRINK'S BOOTH,prof frink booth
2130,Dr. Nick Riviera's Booth,dr nick riviera booth
2131,"""BOOKS FOR DUMMIES"" SECTION",books for dummies section
2132,CHILDREN'S STAGE,children stage
2133,PANEL DISCUSSION TENT,panel discussion tent
2134,Krusty's Booth,krusty booth
2135,SAND DUNE,sand dune
2136,Krusty's Car,krusty car
2137,SOPHIE'S LOFT,sophie loft
2138,Fat Tony's Compound,fat tony compound
2139,Fat Tony's Bedroom,fat tony bedroom
2140,FAT TONY'S HOUSE,fat tony house
2141,SOPHIE'S BUILDING,sophie building
2142,BARBERSHOP,barbershop
2143,THAI RESTAURANT,thai restaurant
2144,KRUSTYBURGER ROOF,krustyburger roof
2145,Abandoned Warehouse,abandoned warehouse
2146,TREE,tree
2147,Hillside,hillside
2148,TREE AND SURROUNDING FOREST,tree and surrounding forest
2149,REDWOOD TREE,redwood tree
2150,MOON,moon
2151,HEMP CITY,hemp city
2152,Supply Closet,supply closet
2153,FINANCIAL PLANNING OFFICE,financial planning office
2154,HABITAT,habitat
2155,Costington's Toy Department,costington toy department
2156,Mr. Costington's Office,mr costington office
2157,ANNOUNCERS' BOOTH,announcers booth
2158,BEGINNING OF PARADE ROUTE,beginning of parade route
2159,PARADE ROUTE,parade route
2160,Honest John's Computers,honest john computers
2161,Computer Store,computer store
2162,REAL KWIK-E-MART,real kwik-e-mart
2163,ISLAND COMMUNITY ROOM,island community room
2164,STARK ROOM,stark room
2165,WATERS AROUND ISLAND,waters around island
2166,NUMBER 2'S LAIR (STARK ROOM),number 2 lair
2167,MAGIC PALACE,magic palace
2168,VALET PARKING STAND,valet parking stand
2169,Russian Space Station,russian space station
2170,BODY SHOP,body shop
2171,High Pressure Tire sales,high pressure tire sales
2174,Circus Tent,circus tent
2175,VAULT,vault
2176,Springfield National Bank,springfield national bank
2177,BROKERAGE,brokerage
2178,Screaming Monkey Medical Research Center,screaming monkey medical research center
2179,Research Institute,research institute
2180,Prison Rodeo Arena,prison rodeo arena
2181,CLOWN DRESSING ROOM,clown dressing room
2182,Prison Infirmary,prison infirmary
2183,PRISON WEIGHT YARD,prison weight yard
2184,CHIROPRACTOR'S EXAMINING ROOM,chiropractor examining room
2185,Street In Front Of Homer's House,street in front of homer house
2186,LAUNDROMAT,laundromat
2187,Food Court,food court
2188,THE DUNGEON'S SECRET BASEMENT,the dungeon secret basement
2189,Crappy Apartment Complex,crappy apartment complex
2190,Comic Book Guy's Crappy Apartment,comic book guy crappy apartment
2191,TENNIS COURT,tennis court
2192,NEWS VAN,news van
2193,Simpson Tennis Court,simpson tennis court
2194,SPRINGFIELD TENNIS STADIUM,springfield tennis stadium
2195,CENTER COURT,center court
2196,Court,court
2197,GAME SHOW SET,game show set
2198,Springfield Minimum Security Prison,springfield minimum security prison
2199,STORAGE LOCKER DEPOT,storage locker depot
2200,STORAGE LOCKER,storage locker
2201,SPORTS EQUIPMENT SHED,sports equipment shed
2202,Krusty the Clown Show Soundstage,krusty the clown show soundstage
2203,"""LAUGH IN"" STAGE",laugh in stage
2204,Green Room,green room
2205,TRACK STADIUM,track stadium
2206,SPRINGFIELD MARATHON,springfield marathon
2207,MARATHON,marathon
2208,Classified Records Compound,classified records compound
2209,COMPOUND,compound
2210,MIDDLE EASTERN DESERT,middle eastern desert
2211,Producer's Office,producer office
2212,Aircraft Carrier,aircraft carrier
2213,SHIP'S BRIDGE,ship bridge
2214,"""MAD"" BUILDING",mad building
2215,Blockoland,blockoland
2216,Duff Stadium,duff stadium
2217,OUTSIDE STADIUM,outside stadium
2218,Duff The 8th's Office,duff the 8th office
2219,LANDSCAPED AREA BEHIND CENTER FIELD WALL,landscaped area behind center field wall
2220,ALBUQUERQUE MAYOR'S OFFICE,albuquerque mayor office
2221,SUBURBAN KITCHEN,suburban kitchen
2222,WIDE CONCRETE RIVER CHANNEL,wide concrete river channel
2223,Video Surveillance Room,video surveillance room
2224,LECTURE HALL,lecture hall
2225,Industrial Plant,industrial plant
2226,Kitchen-Maid Plant,kitchen-maid plant
2227,African Village,african village
2228,AIR ABOVE AFRICA,air above africa
2229,Airstrip,airstrip
2230,African City,african city
2231,Rural Road,rural road
2232,SAFARI VEHICLE,safari vehicle
2233,Savannah,savannah
2234,WILDLIFE RESERVE,wildlife reserve
2235,ARCHAEOLOGICAL SITE,archaeological site
2236,Masai Village,masai village
2237,JUNGLE COMPOUND,jungle compound
2238,Joan Bushwell's Hut,joan bushwell hut
2239,CHIMP REFUGE,chimp refuge
2240,MINE SHAFT,mine shaft
2241,FERRARI,ferrari
2242,Outskirts Of Town,outskirts of town
2243,West Springfield Elementary School,west springfield elementary school
2244,Cab Of Truck,cab of truck
2245,DR. NICK'S OPERATING ROOM,dr nick operating room
2246,Abandoned Building,abandoned building
2247,DEEP IN CAVE,deep in cave
2248,CHURCH PARKING LOT,church parking lot
2249,CHURCH YARD,church yard
2250,MEDICAL TENT,medical tent
2251,ICE CREAM SOCIAL,ice cream social
2252,Praiseland,praiseland
2253,RIDE,ride
2254,FOOD BOOTH,food booth
2255,YMCA HALLWAY,ymca hallway
2256,MORGUE,morgue
2257,Boxcar,boxcar
2258,Log Cabin,log cabin
2259,Logging Village,logging village
2260,COBALT MOUNTAIN,cobalt mountain
2261,MARGE'S FARMHOUSE,marge farmhouse
2262,ON A HILL NEARBY,on a hill nearby
2263,Big City,big city
2264,GREAT PLAINS,great plains
2265,Prairie,prairie
2266,MOUNTAIN PASS,mountain pass
2267,PICTURESQUE STREET,picturesque street
2268,Bank Of Mississippi River,bank of mississippi river
2269,Mississippi River,mississippi river
2270,BOTTOM OF RAPIDS,bottom of rapids
2271,General Store,general store
2272,Riverboat,riverboat
2273,MIDAIR,midair
2274,TOWER ATOP BURNS' MANSION,tower atop burns mansion
2275,FRONT OF BURNS' MANSION,front of burns mansion
2276,TOP OF TOWER,top of tower
2277,Springfield Downtown,springfield downtown
2278,Tarot Card Parlor,tarot card parlor
2279,FOREST OUTSIDE SPRINGFIELD,forest outside springfield
2280,SIMPSON HOUSE WITH ULTRAHOUSE ADDITIONS,simpson house with ultrahouse additions
2281,BOTTOM OF STAIRS,bottom of stairs
2282,WIZARD SCHOOL,wizard school
2283,MONTYMORT'S LAIR,montymort lair
2284,SPRINGWARTS ACADEMY,springwarts academy
2285,STUDIO LOT,studio lot
2286,LARD LAD DONUT SHOP,lard lad donut shop
2287,JUVENILE COURT,juvenile court
2288,ROOM FIVE,room five
2289,Flanders Garage,flanders garage
2290,CHINESE MINISTRY OF AGGRESSION,chinese ministry of aggression
2291,ALLEY BEHIND MOE'S,alley behind moe
2292,UNIVERSITY,university
2293,SWIGMORE U.,swigmore u
2294,Swigmore U. Campus,swigmore u campus
2295,The New Moe's,the new moe
2296,M,m
2297,Homer's Garage,homer garage
2298,WIDE SHOT OF WOODS,wide shot of woods
2299,Chinatown,chinatown
2300,STRIP CLUB,strip club
2301,Disco,disco
2302,NED FLANDERS' ROOM,ned flanders room
2303,Snake's Hideout,snake hideout
2304,ROCK QUARRY,rock quarry
2305,TOP OF QUARRY,top of quarry
2306,BOTTOM OF QUARRY,bottom of quarry
2307,QUARRY,quarry
2308,EDGE OF QUARRY,edge of quarry
2309,DRAINAGE PIPE,drainage pipe
2310,DRAINPIPE,drainpipe
2311,ROCKET SHIP,rocket ship
2312,TV-STYLE CONTROL ROOM,tv-style control room
2313,EVIL CASTLE,evil castle
2314,Springfield Republican Party Headquarters,springfield republican party headquarters
2315,Cell,cell
2316,MOUNT SWARTZWELDER,mount swartzwelder
2317,EDGE OF GORGE,edge of gorge
2318,GORGE,gorge
2319,LOG IN GORGE,log in gorge
2320,Duff World Records Office,duff world records office
2321,MOTHERLOVING SUGAR CORPORATION,motherloving sugar corporation
2322,MOTHERLOVING SUGAR,motherloving sugar
2323,Cletus's Shack,cletus shack
2324,DISCO STU'S '70S-STYLE BACHELOR PAD,disco stu 70s-style bachelor pad
2325,LARD LAD,lard lad
2326,Caribbean Sea,caribbean sea
2327,BRIDGE OF YACHT,bridge of yacht
2328,DOCK AREA,dock area
2329,CONCESSION STAND,concession stand
2330,TV TALK SHOW STUDIO,tv talk show studio
2331,DERBY PIT,derby pit
2332,Patty and Selma's Doorway,patty and selma doorway
2333,ARTIE ZIFF'S MANSION,artie ziff mansion
2334,PUTTING GREEN,putting green
2335,STERN OF A YACHT,stern of a yacht
2336,ARTIE ZIFF'S ESTATE,artie ziff estate
2337,ZIFF ESTATE,ziff estate
2338,ARTIE'S HOUSE,artie house
2339,German Castle,german castle
2340,ARID WESTERN PLAINS,arid western plains
2341,ARTIE'S HELICOPTER,artie helicopter
2342,OILFIELD,oilfield
2343,BOTTOM OF OIL DERRICK,bottom of oil derrick
2344,BANGED-UP HELICOPTER,banged-up helicopter
2345,PRIVATE SCHOOL GROUNDS,private school grounds
2346,FAIR,fair
2347,GAME BOOTH,game booth
2348,HUMVEE,humvee
2349,WOLFCASTLE ESTATE,wolfcastle estate
2350,WOLFCASTLE MANSION,wolfcastle mansion
2351,WOLFCASTLE'S HOUSE,wolfcastle house
2352,Springfield Square Garden,springfield square garden
2353,Floppy's,floppy
2354,GRETA'S HOUSE,greta house
2355,Boardwalk,boardwalk
2356,Toronto Bus Station,toronto bus station
2357,CN Tower,cn tower
2358,PARAMOUNTIE STUDIOS,paramountie studios
2359,SOUNDSTAGE,soundstage
2360,"""UNDERCOVER NERD"" SOUNDSTAGE",undercover nerd soundstage
2361,"""CURLING FOR LOONIES"" SET",curling for loonies set
2362,FLOPPY'S NIGHT CLUB,floppy night club
2363,OLD RITZY NEIGHBORHOOD,old ritzy neighborhood
2364,BUCK'S MANSION,buck mansion
2365,BUCK'S HOUSE,buck house
2367,Springfield Aquarium,springfield aquarium
2368,STREET IN FRONT OF RETIREMENT CASTLE,street in front of retirement castle
2369,Branson,branson
2370,Branson Theater,branson theater
2371,PLAIN,plain
2372,INSIDE CITY OF TROY,inside city of troy
2373,FLAMING RUINS OF TROY,flaming ruins of troy
2374,Mt. Olympus,mt olympus
2375,Homer's Ship,homer ship
2376,Ithaca,ithaca
2377,ISLAND OF CIRCE,island of circe
2378,River Styx,river styx
2379,PENELOPE AND ODYSSEUS'S LIVING ROOM,penelope and odysseus living room
2380,MEDIEVAL FRENCH TOWN,medieval french town
2381,FRENCH HOUSE,french house
2382,FIELD OUTSIDE FORTRESS,field outside fortress
2383,RAMPARTS OF ENGLISH CASTLE,ramparts of english castle
2384,FRENCH THRONE ROOM,french throne room
2385,FEASTING HALL,feasting hall
2386,HAMLET'S BEDCHAMBER,hamlet bedchamber
2387,KING'S BEDCHAMBER,king bedchamber
2388,Throne Room,throne room
2389,PHONE COMPANY,phone company
2390,Brazilian Airplane,brazilian airplane
2391,Rio de Janeiro,rio de janeiro
2392,Hotel Lobby,hotel lobby
2393,RIO,rio
2394,Churrascarias,churrascarias
2395,Rio And Homer's Thought Bubble Cut,rio and homer thought bubble cut
2396,Samba School,samba school
2397,Schoolhouse,schoolhouse
2398,STREET IN RIO,street in rio
2399,Simpson Garden,simpson garden
2400,HIGH SCHOOL FOOTBALL STADIUM,high school football stadium
2401,SKIES OF SPRINGFIELD,skies of springfield
2402,FRIARS CLUB,friars club
2403,Springfield Friars Club,springfield friars club
2404,SHRINE AUDITORIUM,shrine auditorium
2405,SPEAKER'S BUREAU,speaker bureau
2406,Small Town City Hall,small town city hall
2407,Modern Office Building,modern office building
2408,BETTERTHANTV.COM BUILDING,betterthantvcom building
2409,BetterThanTV.com,betterthantvcom
2410,Battlefield,battlefield
2411,Another Part Of Springfield Park,another part of springfield park
2412,DIVORCE LAWYER'S OFFICE,divorce lawyer office
2413,Manjula's Apartment,manjula apartment
2414,Apu's Apartment Building,apu apartment building
2415,Apu's Old Apartment Building,apu old apartment building
2416,Apu And Manjula's Bedroom,apu and manjula bedroom
2417,Apu and Manjula's Apartment Building,apu and manjula apartment building
2418,Lugash's Gym,lugash gym
2419,HOLE,hole
2420,China,china
2421,SWEATSHOP,sweatshop
2422,Carrie's Car,carrie car
2423,Springfield College,springfield college
2424,SPRINGFIELD COLLEGE GREEN,springfield college green
2425,Café Kafka,café kafka
2426,SPRINGFIELD UNIVERSITY MAIN QUAD,springfield university main quad
2427,ROOF,roof
2428,OLD MAN'S HOUSE,old man house
2429,OLD HOUSE,old house
2430,CLOSET,closet
2431,MRS. BELLAMY'S HOUSE,mrs bellamy house
2432,FRONT PARLOR,front parlor
2433,STUDY,study
2434,DEATH ROW,death row
2435,CITY MORGUE,city morgue
2436,Costington's Front Window,costington front window
2437,ARNIE PYE'S HELICOPTER,arnie pye helicopter
2438,TOWN MEETING,town meeting
2439,The Wooly Bully,the wooly bully
2440,Hat Store,hat store
2441,SIMPSON BACKYARD ‑ DAY,simpson backyard day
2442,Sidewalk In Front Of Simpson House,sidewalk in front of simpson house
2443,WOMEN'S CLOTHING STORE,women clothing store
2444,FRONT OF SIMPSON HOUSE,front of simpson house
2445,COUNTRY DIRT ROAD,country dirt road
2446,COUNTRYSIDE ‑ LATER,countryside later
2447,ROLLING FIELD,rolling field
2448,FARMHOUSE ‑ DAY,farmhouse day
2449,RURAL,rural
2450,WAR ROOM ‑ DAY,war room day
2451,Marge And Homer's Bedroom ‑ Night,marge and homer bedroom night
2452,Seaplane,seaplane
2453,ISLAND OF LOST SOULS,island of lost souls
2454,DR. HIBBERT'S VILLA,dr hibbert villa
2455,HOMER AND MARGE'S BUNGALOW,homer and marge bungalow
2456,House Of Pain,house of pain
2457,MARGE AND HOMER'S BUNGALOW,marge and homer bungalow
2458,BART AND LISA'S BUNGALOW,bart and lisa bungalow
2459,SPRINGFIELD PET SHOT,springfield pet shot
2460,Springfield Pet Shop,springfield pet shop
2461,Springfield Blood Bank,springfield blood bank
2462,SPRINGFIELD RED CROSS,springfield red cross
2463,Rock 'n' Roll Fantasy Camp,rock n roll fantasy camp
2464,CAMP,camp
2465,Lenny's Thread Shed,lenny thread shed
2466,CLASS,class
2467,Rock 'n' Roll Camp,rock n roll camp
2468,Bunkhouse,bunkhouse
2469,Backstage Area,backstage area
2470,CIVIC CENTER PARKING LOT,civic center parking lot
2471,Television Store,television store
2472,SATELLITE,satellite
2473,CENTRAL PERK-STYLE COFFEE SHOP WITH JAPANESE DÉCOR,central perk-style coffee shop with japanese dÉcor
2474,THIRD-GRADE CLASS,third-grade class
2475,STATE LEGISLATURE,state legislature
2476,Capital City Hotel,capital city hotel
2477,Hotel Bathroom,hotel bathroom
2478,Capitol Building,capitol building
2479,Capital City Street,capital city street
2480,WOODED AREA BELOW HIGHWAY,wooded area below highway
2481,THICK WOODS,thick woods
2482,PLASTIC SURGERY CLINIC,plastic surgery clinic
2483,PLASTIC SURGERY WAITING ROOM,plastic surgery waiting room
2484,PLASTIC SURGERY CENTER,plastic surgery center
2485,Stomach Staples Center,stomach staples center
2486,Dr. Velimirovic's Office,dr velimirovic office
2487,Luigi's Trattoria,luigi trattoria
2488,Africa,africa
2489,Apartment Hallway,apartment hallway
2490,Lenny's Apartment,lenny apartment
2491,Reality Channel Studio,reality channel studio
2492,REALITY CHANNEL STUDIOS,reality channel studios
2493,TESTING ROOM,testing room
2494,1895 HOUSE,1895 house
2495,Video Confessional,video confessional
2496,HILLY AREA,hilly area
2497,STAGNANT SPRINGS SPA,stagnant springs spa
2498,Spa,spa
2499,MUD SPA,mud spa
2500,MASSAGE ROOM,massage room
2501,Yoga Class,yoga class
2502,STEAM ROOM,steam room
2503,Maximum Security Prison,maximum security prison
2504,WARDEN'S OFFICE,warden office
2505,MOUNTAIN CLIFF,mountain cliff
2506,LOVER'S LANE,lover lane
2507,IMAX Theater,imax theater
2508,Official Building,official building
2509,Teacher of the Year Foundation,teacher of the year foundation
2510,EFCOT Center,efcot center
2511,FUTURE SPHERE,future sphere
2512,TRANSPORTATION PAVILION,transportation pavilion
2513,PAVILION,pavilion
2514,Home of Tomorrow,home of tomorrow
2515,Vietnam,vietnam
2516,SAME CLASSROOM,same classroom
2517,Art Deco Office Building,art deco office building
2518,Art Deco Building,art deco building
2519,Ice Cream Store,ice cream store
2520,SCIENCE BUILDING,science building
2521,'40s Building,40s building
2522,Cabin Motel,cabin motel
2523,Circus Grounds,circus grounds
2524,Hall of Mirrors,hall of mirrors
2525,FANCY LIVING ROOM,fancy living room
2526,Wolfcastle's Bedroom,wolfcastle bedroom
2527,MUSCLE BEACH,muscle beach
2528,PAGEANT HALL,pageant hall
2529,SPRINGFIELD ARENA,springfield arena
2530,COMMUNITY OUTREACH CENTER,community outreach center
2531,Channel 6 Helicopter,channel 6 helicopter
2532,CHURCH GROUNDS,church grounds
2533,CHURCH ROOF,church roof
2534,LAW OFFICE,law office
2535,LOFT BUILDING,loft building
2536,LOFT,loft
2537,Bart's Loft Building,bart loft building
2538,Bart's Loft,bart loft
2539,SKEWED TOUR,skewed tour
2540,HALF-PIPE,half-pipe
2541,CHANNEL SIX NEWS,channel six news
2542,Spellympic Village,spellympic village
2543,INSIDE OUTDOOR COLISEUM,inside outdoor coliseum
2544,San Francisco,san francisco
2545,SPELLYMPIC COLISEUM,spellympic coliseum
2546,Springfield Bowl,springfield bowl
2547,MAFIA JET,mafia jet
2548,Springfield International Airport,springfield international airport
2549,OFF RAMP INN,off ramp inn
2550,CONGRESSIONAL OFFICE BUILDING,congressional office building
2551,CONGRESSMAN'S OFFICE,congressman office
2552,Second-Best Western Motel,second-best western motel
2553,U.S. CAPITOL,us capitol
2554,WASHINGTON BAR,washington bar
2555,Stripping Class,stripping class
2556,SIDE OF THE ROAD,side of the road
2557,Lego Land,lego land
2558,Morocco,morocco
2559,Springfield Museum of Natural History,springfield museum of natural history
2560,Hobby Store,hobby store
2561,HOUSE SHAPED LIKE A TUGBOAT,house shaped like a tugboat
2562,STEPS OF CITY HALL,steps of city hall
2563,Fat Tony's Car,fat tony car
2564,PARK BENCH,park bench
2565,SPRINGFIELD ELEMENTARY BASEBALL FIELD,springfield elementary baseball field
2566,Bachelor Arms,bachelor arms
2567,Kirk Van Houten's Apartment,kirk van houten apartment
2568,Village Apartment,village apartment
2569,GAY NIGHTCLUB,gay nightclub
2570,CASTLE-SHAPED BUILDING,castle-shaped building
2571,MEDIEVAL TIMES,medieval times
2572,Burns's Lawyer's House,burns lawyer house
2573,RECORD-PRESSING PLANT,record-pressing plant
2574,Warehouse Rave,warehouse rave
2575,Karaoke Bar,karaoke bar
2576,Dude Ranch,dude ranch
2577,RANCH,ranch
2578,PICNIC AREA,picnic area
2579,NATURAL HOT SPRINGS,natural hot springs
2580,DINING HALL,dining hall
2581,Lisa and Bart's Cabin,lisa and bart cabin
2582,DIRT ROAD THROUGH FOREST,dirt road through forest
2583,BEAVER DAM,beaver dam
2584,BASE OF THE DAM,base of the dam
2585,Main Ranch Building,main ranch building
2586,FARM NEIGHBORHOOD,farm neighborhood
2587,New Treehouse,new treehouse
2588,BUNKER,bunker
2589,H.k. Duff's Office,hk duff office
2590,Duff Executive Office,duff executive office
2591,Space Station,space station
2592,"$100,000 Pyramid Set",100000 pyramid set
2593,SPRINGFIELD BOWERY,springfield bowery
2594,VIEWING AREA,viewing area
2595,SPRINGFIELD HOSPITAL WAITING ROOM,springfield hospital waiting room
2596,SPRINGFIELD PIER,springfield pier
2597,JUDGE HARM'S COURTROOM,judge harm courtroom
2598,Springfield Sidewalk,springfield sidewalk
2599,COUNSELOR'S OFFICE,counselor office
2600,Montana,montana
2601,CONCERT STADIUM,concert stadium
2602,FRONT OF FLANDERS HOUSE,front of flanders house
2603,"Kirk Van Houten's ""Cavalry Kids"" Car",kirk van houten cavalry kids car
2604,INSIDE STADIUM,inside stadium
2605,GARDENS ENTRANCE,gardens entrance
2606,Mini Van,mini van
2607,AIRSPACE OVER BRIDGE,airspace over bridge
2608,LOWER LEVEL,lower level
2609,GODFATHER'S HOUSE,godfather house
2610,ISOTOPES STADIUM,isotopes stadium
2611,SWEDISH STREET,swedish street
2612,SWEDISH AUDITORIUM,swedish auditorium
2613,NOBEL PRIZE AUDITORIUM,nobel prize auditorium
2614,F.B.I. Headquarters,fbi headquarters
2615,OTHER ROOM,other room
2616,STATE COLLEGE,state college
2617,FEDERAL AGENTS' CAR,federal agents car
2618,Film Processing Store,film processing store
2619,SIDE OF FREEWAY,side of freeway
2620,ATM MACHINE,atm machine
2621,ENGLISH MEADOW,english meadow
2622,DECK OF TROOP TRANSPORT SHIP,deck of troop transport ship
2623,Heathrow Airport,heathrow airport
2624,LONDON STREETS,london streets
2625,Quaint British Motel,quaint british motel
2626,LONDON STREET,london street
2627,JUDI DENCH'S FISH AND CHIPS,judi dench fish and chips
2628,Harrods,harrods
2629,Harrod's,harrod
2630,Harrods Window,harrods window
2631,London Eye,london eye
2632,British Street,british street
2633,WEST END STREET,west end street
2634,Car Rental Lot,car rental lot
2635,MINI COOPER,mini cooper
2636,ROUNDABOUT,roundabout
2637,Old Bailey,old bailey
2638,BRITISH-STYLE COURTROOM,british-style courtroom
2639,Tower of London,tower of london
2640,PALACE GUARD ROOM,palace guard room
2641,QUEEN'S BEDCHAMBER,queen bedchamber
2642,Sprawl-Mart,sprawl-mart
2643,GRANT CONNOR'S HOUSE,grant connor house
2644,SUIT CLOSET,suit closet
2645,FOREST ROAD,forest road
2646,CAMPGROUND,campground
2647,WILDLIFE SANCTUARY,wildlife sanctuary
2648,Hallway Outside Bathroom,hallway outside bathroom
2649,Xxx Movie House,xxx movie house
2650,SEEDY STREET,seedy street
2651,JEWISH NEIGHBORHOOD,jewish neighborhood
2652,Jewish Walk of Fame,jewish walk of fame
2653,WALK OF FAME BUILDING,walk of fame building
2654,WALK OF FAME HEADQUARTERS,walk of fame headquarters
2655,ISOTOPE STADIUM,isotope stadium
2656,BACK STAGE,back stage
2657,HIBBERT'S HOUSEHOLD,hibbert household
2658,SYNAGOGUE,synagogue
2659,SPRINGFIELD HEIGHTS PROMENADE,springfield heights promenade
2660,COGNITION JUNCTION,cognition junction
2661,Victor's Secret,victor secret
2662,Things Unnecessary,things unnecessary
2663,RUN-DOWN STREET,run-down street
2664,SEEDY CHRISTMAS TREE LOT,seedy christmas tree lot
2665,"""FAMILY MATTERS"" SET",family matters set
2666,"""STAR TREK"" SET",star trek set
2667,CHURCH SACRISTY,church sacristy
2668,Homeless Shelter,homeless shelter
2669,Snake's Apartment,snake apartment
2670,PARKING AREA,parking area
2671,Cletus's Farm,cletus farm
2672,Toys Я Us,toys Я us
2673,ROLLER COASTER,roller coaster
2674,MALL PARKING STRUCTURE,mall parking structure
2675,FAMILY SECTION,family section
2676,TOWN STREET,town street
2677,SIDEWALKS OF SPRINGFIELD,sidewalks of springfield
2678,Bike Store,bike store
2679,ANIMAL SHELTER,animal shelter
2680,Robot Rumble Ring,robot rumble ring
2681,Bookaccino's,bookaccino
2682,Boris' Car Loft,boris car loft
2683,Nantucket,nantucket
2684,EVERGREEN MANOR,evergreen manor
2685,Nantucket House,nantucket house
2686,TOM CLANCY'S HOME,tom clancy home
2687,Cliff,cliff
2688,HAMPTON COURT PALACE,hampton court palace
2689,ROYAL BEDCHAMBER,royal bedchamber
2690,MARRIAGE COUNSELOR'S OFFICE,marriage counselor office
2691,PALACE OFFICE,palace office
2692,PALACE WALLS,palace walls
2693,PALACE,palace
2694,Storeroom,storeroom
2695,Mandan Village,mandan village
2696,Riverbank Campsite,riverbank campsite
2697,MOUNTAIN VALLEY,mountain valley
2698,RIVERSIDE,riverside
2699,EIGHTEENTH-CENTURY AUSTRIAN PALACE,eighteenth-century austrian palace
2700,EIGHTEENTH-CENTURY PALACE,eighteenth-century palace
2701,VIENNA STREET,vienna street
2702,MOZART HOME,mozart home
2703,CONCERT HALL,concert hall
2704,Vienna Opera House,vienna opera house
2705,STREETS OF VIENNA,streets of vienna
2706,Mozart's Bedroom,mozart bedroom
2707,MOZART'S HOUSE,mozart house
2708,EMPEROR'S PALACE,emperor palace
2709,TV MUSEUM,tv museum
2710,MUSEUM OF TELEVISION,museum of television
2711,Van Houten Driveway,van houten driveway
2712,Freeway Exit Ramp,freeway exit ramp
2713,Milhouse's New Apartment,milhouse new apartment
2714,MOUND CHAMBER,mound chamber
2715,The Flapjack Stack,the flapjack stack
2716,Mrs. Wickerbottom's Pre-Nursery School,mrs wickerbottom pre-nursery school
2717,SPRINGFIELD ELEMENTARY CAFETERIA,springfield elementary cafeteria
2718,VISIBLE MAN ATRIUM,visible man atrium
2719,VISIBLE MAN MOUTH,visible man mouth
2720,MOUTH,mouth
2721,VISIBLE MAN,visible man
2722,VISIBLE MAN STOMACH,visible man stomach
2723,GOOGOLPLEX TICKET WINDOW,googolplex ticket window
2724,GOOGLEPLEX,googleplex
2725,DARK HALLWAY,dark hallway
2726,CREEPY GARDEN,creepy garden
2727,PARK AREA,park area
2728,CONGRESSIONAL HEARING ROOM,congressional hearing room
2729,Prison Visiting Cubicle,prison visiting cubicle
