title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
The Bunny Game (2011),Horror,31-Jul-12,USA,NOT RATED,3.5,76 min,"Directed by Adam Rehmeier. With Rodleen Getsic, Jeff F. Renfro, Drettie Page, Coriander Womack. A prostitute looking for her next meal hitches a ride with a trucker that leaves her praying for her next breath.",Rodleen Getsic|Jeff F. Renfro|Drettie Page|Coriander Womack|Gregg Gilmore|Loki|Curtis Reynolds|Jason Timms|Norwood Fisher|Paul Ill,English,NA,NA
Never Hike Alone (2017),Horror| Thriller,13-Oct-17,USA,NA,7.8,22 min,"Directed by Vincente DiSanti. With Drew Leighty, Vincente DiSanti, Katie Schwartz, Robert DuBois. A hiker's survival skills are put to the test, when he stumbles upon the remains of an old abandoned camp and discovers its long dark secrets.",Drew Leighty|Vincente DiSanti|Katie Schwartz|Robert DuBois|Thom Mathews|Sean Richards,English,"San Bernardino National Forest, California, USA",NA
When Animals Dream (2014),Drama| Horror| Mystery,28-Aug-15,USA,R,5.8,84 min,"Directed by Jonas Alexander Arnby. With Sonia Suhl, Lars Mikkelsen, Sonja Richter, Jakob Oftebro. 16-year old Marie lives on a small island with her seriously ill mother and her father, who takes care of the family. But suddenly mysterious deaths happen and Marie can feel something strange happening to her body.",Sonia Suhl|Lars Mikkelsen|Sonja Richter|Jakob Oftebro|Stig Hoffmeyer|Mads Riisom|Esben Dalgaard Andersen|Gustav Dyekjær Giese|Benjamin Boe Rasmussen|Tina Gylling Mortensen,Danish,"Thyborøn, Jylland, Denmark","$3,000,000"
Intruder (2016),Horror| Thriller,24-Jun-16,USA,NOT RATED,3.4,88 min,"Directed by Travis Zariwny. With Louise Linton, John Robinson, Moby, Zach Myers. During one of Oregon's most violent storms, a young cellist seeks solitude and comfort in the safety of her large apartment, but soon realizes she might not be home alone.",Louise Linton|John Robinson|Moby|Zach Myers|Mary McDonald-Lewis|Susannah Mars|Steven Beckingham|Teresa Decher|Ire Wardlaw|Aaron Trainor|Jillian Rabe|Dakota Zariwny,English,"Portland, Oregon, USA","$1,000,000"
Krampus: The Christmas Devil (2013),Action| Horror| Thriller,17-Aug-13,USA,NA,1.7,82 min,"Directed by Jason Hull. With Jay Dobyns, Paul Ferm, Andrew Ferrick, Darin Foltz. Jeremy, a local police officer leads a life of a confusing past, spending his current time searching for his kidnapper as a child. After other children begin missing, Jeremy pieces together the truth and realizes that his childhood kidnapper could be a creature of ancient yuletide lore, Krampus, who is the brother of St. Nick, and punisher of children who perform acts of unspeakable evil without ...",Jay Dobyns|Paul Ferm|Andrew Ferrick|Darin Foltz|Richard Goteri|Mark Hensel|Samantha Hoepfl|Emily Kessler|Annette Lawless|Angelina Leigh|A.J. Leslie|John Marazza|Mike Merrell|Michael Mili|Miki Mili,English,"Erie, Pennsylvania, USA","$7,525,000"
Dead 7 (2016),Comedy| Horror| Western,1-Apr-16,USA,TV-14,3.1,89 min,"Directed by Danny Roew. With Nick Carter, Carrie Keagan, Joey Fatone, Jeff Timmons. A post-apocalyptic Western that follows a group of gunslingers as they look to rid a small town of a zombie plague. Starring Nick Carter, Carrie Keagan, Joey Fatone and A.J. McLean.",Nick Carter|Carrie Keagan|Joey Fatone|Jeff Timmons|A.J. McLean|Erik-Michael Estrada|Lauren Kitt Carter|Chloe Lattanzi|Debra Wilson|Howie Dorough|Chris Kirkpatrick|Jon Secada|Frenchie Davis|Dylan Vox|Art Alexakis,English,"Butte, Montana, USA",NA
The Terror of Hallow's Eve (2017),Drama| Fantasy| Horror| Thriller,2017,USA,NA,5.6,80 min,"Directed by Todd Tucker. With Caleb Thomas, Sarah Lancaster, Annie Read, JT Neal. After a fifteen-year-old is brutally beaten up by High School bullies, his wish for revenge unknowingly unleashes the Terror of Halloween.",Caleb Thomas|Sarah Lancaster|Annie Read|JT Neal|Mcabe Gregg|Niko Papastefanou|Doug Jones|Kent Kasper|Christie Nicole Chaplin|Christian Kane|Brett Stimely|Eric Roberts|Reatha Grey|Jade Warner|Jentzen Ramirez,English,"Santa Clarita, California, USA",NA
The Keeping Hours (2017),Drama| Horror| Romance| Thriller,15-Jun-17,USA,PG-13,7.7,NA,"Directed by Karen Moncrieff. With Lee Pace, Amy Smart, Carrie Coon, Molly Hagan. 10 years after the death of their son, a divorced couple is suddenly reunited by supernatural events that offer them a chance at forgiveness.",Lee Pace|Amy Smart|Carrie Coon|Molly Hagan|Christina Vidal|Anna Diop|Ana Ortiz|Cliff Chamberlain|Ray Baker|Jane Daly|Sander Thomas|Karen Baxter|Julian LaTourelle|Ruby Moncrieff-Karten|Lylah Raye Acosta,English,"Los Angeles, California, USA",NA
Terrifier (2017),Horror| Thriller,1-Sep-17,USA,NA,7.8,82 min,"Directed by Damien Leone. With Jenna Kanell, Catherine Corcoran, Margaret Reed, Katie Maguire. A maniacal clown named Art, terrorizes three young women on Halloween night and everyone else who stands in his way.",Jenna Kanell|Catherine Corcoran|Margaret Reed|Katie Maguire|Erick Zamora|Pooya Mohseni|Sylvia Ward|Gino Cafarelli|David Howard Thornton|Samantha Scaffidi|Julie Asriyan|Clifton Dunn|Michael Leavy|Joe Patrick Marshall|Steven Della Salla,English,NA,NA
The Sublet (2015),Drama| Horror| Mystery| Thriller,11-Apr-16,USA,TV-14,4.9,82 min,"Directed by John Ainslie. With Tianna Nori, Mark Matechuk, Krista Madison, Porter Randell. The Sublet is a suspense driven psychological thriller about Joanna, a new mom coping with her baby alone in an odd sublet apartment. As her husband neglects her to focus on his career, Joanna questions her sanity as she discovers a violent past to the apartment and suspects that the building may be haunted.",Tianna Nori|Mark Matechuk|Krista Madison|Porter Randell|Rachel Sellan|James Murray|Mark Ettlinger|Jeff Sinasac|Liv Collins|Cameron Nash|Mary-Elizabeth Willcott,English,NA,NA
Exists (2014),Action| Adventure| Horror,3-Oct-14,USA,R,5.2,81 min,"Directed by Eduardo Sánchez. With Samuel Davis, Dora Madison, Roger Edwards, Chris Osborn. A group of friends who venture into the remote Texas woods for a party weekend find themselves stalked by Bigfoot.",Chris Osborn|Dora Madison|Roger Edwards|Denise Williamson|Samuel Davis|Brian Steele|Jeff Schwan|George P. Gakoumis Jr.|Stefanie Sanchez,English,"Spiderwood Studios, Austin, Texas, USA",NA
ABCs of Death 2 (2014),Comedy| Horror,2-Oct-14,USA,NOT RATED,5.4,125 min,"Directed by Rodney Ascher, Julian Barratt, Robert Boocheck. With Eric Jacobus, Andy Nyman, Simon Barrett, Teela Cull. Another 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.",Eric Jacobus|Andy Nyman|Simon Barrett|Teela Cull|Kelsey Hudson|Stefanie Wood|Xin Sarith Wuku|Ben Maccabee|Jason Cabell|Josh Ethier|David Gutierrez|Giovannie Dixon|Julian Barratt|Will Adamsdale|Matthew Steer,English|Japanese|Hebrew|Portuguese|French|Arabic|Filipino|German,Lithuania,NA
Come Back to Me (2014),Fantasy| Horror| Mystery| Thriller,25-Jul-14,USA,R,5.9,90 min,"Directed by Paul Leyden. With Jon Abrahams, Andrew Beckham, Jeanette Branch, Caroline Clements. Sarah and Josh are married suburbanites. After a car accident, Sarah suffers blackouts. As her life spirals she hides a camera in her home and unlocks a horrific secret with far-reaching consequences.",Jon Abrahams|Andrew Beckham|Jeanette Branch|Caroline Clements|Laura Gordon|Nathan Keyes|Matt Passmore|Brian Patacca|Steve Rizzo|Alexandra Straus|Katie Walder|Maura West|Peter S. Williams,English,"Santa Clarita, California, USA",NA
Childish Games (2012),Horror| Thriller,9-Mar-12,Spain,NA,5.5,95 min,"Directed by Antonio Chavarrías. With Juan Diego Botto, Bárbara Lennie, Mágica Pérez, Marc Rodríguez. The teachers Daniel and Laura work at the same school and live together. Laura wants to have a baby, but her gynecologist has just informed that she cannot have children. One day, a weird man named Mario meets Daniel at school and asks him to visit his daughter Julia to help him but Daniel tells that she should go to the doctor to seek for help. A couple of days later, Mario commits suicide and ...",Juan Diego Botto|Bárbara Lennie|Mágica Pérez|Marc Rodríguez|Àgata Roca|Nora Navas|Cristina Azofra|Adrián Bermúdez|Pedro Muiño|Monti Castiñeiras|Dolors Tuneu|Maria Pau Pigem|Carles Prats|Celia Rico Clavellino|Txitxu Llamas,Spanish,NA,NA
Blood Feast (2016),Horror,23-Jun-17,USA,R,8.2,90 min,"Directed by Marcel Walz. With Robert Rusler, Caroline Williams, Sophie Monk, Sadie Katz. Fuad Ramses and his family have moved from the United States to France, where they run an American diner. Since business is not going too well, Fuad also works night shifts in a museum of ancient Egyptian culture. During these long, lonely nights he is repeatedly drawn to a statue representing the seductive ancient goddess ISHTAR. He becomes more and more allured by the goddess as she speaks to ...",Robert Rusler|Caroline Williams|Sophie Monk|Sadie Katz|Roland Freitag|Wilfried Capet|Max Evans|Annika Strauss|Liliana Nova|Metisha Schaefer|Gioele Viola|Herschell Gordon Lewis|Enya Maria Tames|Sophie Vollmar|Marc Rohnstock,English,"Paris, France","$1,200,000"
Scorned (2013),Comedy| Crime| Horror| Thriller,4-Feb-14,USA,R,4.7,NA,"Directed by Mark Jones. With Billy Zane, AnnaLynne McCord, Viva Bianca, Doug Drucker. A romantic weekend turns horrific and sadistic when Sadie discovers her boyfriend is having an affair with her best friend.",Billy Zane|AnnaLynne McCord|Viva Bianca|Doug Drucker|Marian Weage|Jim Midock|Juan-Pablo Veizaga|Scott Knisley|Martin Sprock|Sadie Katz|Denise Glass|Nathan R. Wheeler|Brooklynn Brokaw|Joe Kurak|Christopher Maggio,English,"Portsmouth, Ohio, USA","$1,700,000"
Strip Club Massacre (2017),Horror| Thriller,2-May-17,USA,NA,3.2,101 min,"Directed by Bob Clark. With Alicia Watson, Erin Brown, Courtney Riggs, Mark Law. A young woman starting a new life is forced to take extreme measures against those around her after things go violently awry.",Alicia Watson|Erin Brown|Courtney Riggs|Mark Law|Stefan Rollins|Layla Heather Pendley|Garrett Able|Brett Lee Clark|Nichole Dree|Mary Kilroy|Haley Leary|Jason McDaniel|Danielle Page|Eric E. Poe|Daniel Patrick Shook,English|English,"Johns Creek, Georgia, USA",NA
The Boy (2015),Drama| Horror| Thriller,14-Mar-15,USA,NOT RATED,5.5,105 min,"Directed by Craig William Macneill. With David Morse, Jared Breeze, Rainn Wilson, Bill Sage. An intimate portrait of a 9-year-old sociopath's growing fascination with death.",David Morse|Jared Breeze|Rainn Wilson|Bill Sage|Mike Vogel|Zuleikha Robinson|Aiden Lovekamp|David Valencia|Sam Morse|Andres Echavarria|Maria Luisa Ruiz|Amalia Santa Maria|Manuela Guerra|Hong Kyu Park|Victoria Escobar,English,Colombia,NA
Kiss of the Damned (2012),Drama| Horror| Romance,28-Mar-13,USA,R,5.6,NA,"Directed by Xan Cassavetes. With Joséphine de La Baume, Roxane Mesquida, Milo Ventimiglia, Caitlin Keats. The vampire Djuna resists the advances of Paolo, but soon gives in to their passion. When her trouble-making sister unexpectedly comes to visit, Djuna's love is threatened, and the whole vampire community becomes endangered.",Joséphine de La Baume|Roxane Mesquida|Milo Ventimiglia|Caitlin Keats|Anna Mouglalis|Ashley Munns|Michael Rapaport|Ching Valdes-Aran|Dana O'Keefe|Juan Mateo Mazara|Jon Newport|Luis Gispert|Jefferson Bjoraker|Stephen Winter|Jay Brannan,English,"New York City, New York, USA",NA
[REC] 3: Genesis (2012),Horror| Romance,30-Mar-12,Spain,R,5,80 min,"Directed by Paco Plaza. With Leticia Dolera, Diego Martín, Ismael Martínez, Àlex Monner. A couple's wedding day turns horrific as some of the guests start showing signs of a strange illness.",Leticia Dolera|Diego Martín|Ismael Martínez|Àlex Monner|Borja Glez. Santaolalla|Emilio Mencheta|David Ramírez|Miguel Ángel González|Ramón Agirre|Xavier Ruano|José de la Cruz|Antonio Barroso|Toni Sans|Aitor Legardón|Paco Moreno,Spanish|Catalan|French,"Orrius, Barcelona, Catalonia, Spain","$6,400,000"
The Bride (2017),Horror| Mystery| Thriller,19-Jan-17,Russia,NA,4.8,NA,"Directed by Svyatoslav Podgaevskiy. With Victoria Agalakova, Vyacheslav Chepurchenko, Aleksandra Rebenok, Igor Khripunov. The unusual practice of photographing dead relatives during mid-1800s rural Russia will link a Philology student with her husband's abysmal family history.",Victoria Agalakova|Vyacheslav Chepurchenko|Aleksandra Rebenok|Igor Khripunov|Natalia Grinshpun|Victor Solovyev|Marina Alhamdan|Miroslava Karpovich|Yevgeny Koryakovsky|Valeriya Dmitrieva|Dmitriy Kulichkov|Lada Churovskaya|Vladimir Seleznyov|Vera Biryukova|Matt Fowler,Russian,NA,"RUR 70,000,000"
Jeruzalem (2015),Horror,7-Jul-16,Israel,R,4.7,94 min,"Directed by Doron Paz, Yoav Paz. With Yael Grobglas, Yon Tumarkin, Danielle Jadelyn, Tom Graziani. When a couple of American young adults fly to Israel to visit the city of Jerusalem, a biblical nightmare falls upon the city",Yael Grobglas|Yon Tumarkin|Danielle Jadelyn|Tom Graziani|Sarel Piterman|Howard Rypp|Ami Smolartchik|Yoav Koresh|Ori Zaltzman|Fares Hananya|Itsko Yampulski|Mel Rosenberg|Danny Zahavi|Moran Zelma|Salim,English,"Jerusalem, Israel",NA
Bed of the Dead (2016),Horror,3-Dec-16,USA,NA,4.8,88 min,"Directed by Jeff Maher. With Colin Price, Alysa King, Gwenlyn Cumyn, Dennis Andres. Four twentysomethings find themselves stuck on a haunted antique bed where leaving means suffering a gruesome death. Plagued with frightening hallucinations, they must figure out the bed's secrets before they are ultimately picked off one by one.",Colin Price|Alysa King|Gwenlyn Cumyn|Dennis Andres|George Krissa|Hamza Fouad|Alex Loubert|Mary-Elizabeth Willcott|Craig Cyr|Tom Marasovic|Dwayne Bryshun|Samantha Cole|Blair Anderson|Hailey Kittle|Emma Chwastiak,English,"Hamilton, Ontario, Canada",NA
The Hive (2015),Horror| Sci-Fi| Thriller,14-Sep-15,USA,R,5.2,93 min,"Directed by David Yarovesky. With Gabriel Basso, Sean Gunn, Kathryn Prescott, Gabrielle Walsh. A young man suffering from amnesia must dig deep into the far reaches of his mind to remember who he is and save the love of his life before a virus that has infected him takes over.",Gabriel Basso|Sean Gunn|Kathryn Prescott|Gabrielle Walsh|Jacob Zachar|Elya Baskin|Elaine Kagan|Talitha Eliana Bateman|Sonya Eddy|Todd Christian Hunter|Peter Mackenzie|Ivo Nandi|Sonya Krimsky|Mary Elizabeth Boylan|Steve Agee,English|Russian,NA,NA
Nosferatu (2017),Horror,31-Oct-17,USA,NA,NA,NA,"Directed by David Lee Fisher. With Doug Jones, Sarah Carter, Joely Fisher, Jack Turner. Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.",Doug Jones|Sarah Carter|Joely Fisher|Jack Turner|Corey Allen Kotler|Samuel Parker|Time Winters|Emrhys Cooper|Sara Montez|Joseph Michael Harris|Cinda Adams|David W. Ross|George Maguire|Rhoda Pell|Karen Teliha,English,NA,NA
The Blackburn Asylum (2015),Horror,2-Aug-16,USA,R,3.9,84 min,"Directed by Lauro Chartrand. With Sarah Lind, Zack Peladeau, Emilie Ullerup, Calum Worthy. A forest fire and rock-slide trap five bickering college friends in a small Alaskan ghost town with a horrifying history. When they seek refuge inside the torched ruins of Blackburn Asylum they must fight to survive as the angry inhabitants slaughter the friends one-by-one.",Sarah Lind|Zack Peladeau|Emilie Ullerup|Calum Worthy|Alexander Calvert|Joyce Robbins|Jacqueline Robbins|Maja Aro|Ken Kirzinger|Brad Loree|Mike Dopud|Brandi Alexander|Lochlyn Munro|Rebecca Husain|Eliya Rose Felix-Neuwirth,English,"Britannia Beach, British Columbia, Canada",NA
Peelers (2016),Horror,28-Mar-17,USA,NA,4.4,95 min,"Directed by Sevé Schelenz. With Wren Walker, Caz Odin Darko, Madison J. Loos, Cameron Dent. A small town strip club owner must defend her bar, her strippers and her life when violent infected patrons show up on the final closing night and all hell breaks loose.",Wren Walker|Caz Odin Darko|Madison J. Loos|Cameron Dent|Al Dales|Momona Komagata|Kirsty Peters|Nikki Wallin|Victoria Gomez|Rafael Mateo|Donovan Wolf|Edwin Perez|Andrea Rosolia|Manny Jacinto|Emma Docker,English,"Vancouver, British Columbia, Canada",NA
Carnage Park (2016),Action| Crime| Horror| Thriller,1-Jul-16,USA,NOT RATED,4.9,90 min,"Directed by Mickey Keating. With Ashley Bell, Pat Healy, James Landry Hébert, Michael Villar. After botching an ill-conceived bank robbery in a desolate California town, two wannabe crooks flee the scene with a hostage and lead the local lawmen on a dangerous high-speed chase.",Ashley Bell|Pat Healy|James Landry Hébert|Michael Villar|Bob Bancroft|Larry Fessenden|Graham Skipper|Darby Stanchfield|Alan Ruck,English,NA,NA
The Harvest (2013),Drama| Horror| Mystery| Thriller,10-Apr-15,USA,NOT RATED,6,104 min,"Directed by John McNaughton. With Samantha Morton, Michael Shannon, Natasha Calis, Charlie Tahan. A couple who keeps their sick son in a secluded environment find their controlled lives challenged by a young girl who moves in next door.",Samantha Morton|Michael Shannon|Natasha Calis|Charlie Tahan|Peter Fonda|Leslie Lyles|Meadow Williams|Journey Smith|Maria Farrow|Ashley Ingram|Nolan Lyons|Amina Robinson,English,"New York, USA",NA
Journey to the West (2013),Action| Adventure| Comedy| Drama| Fantasy| Horror| Romance,7-Feb-13,China,PG-13,6.8,110 min,"Directed by Stephen Chow, Chi-kin Kwok. With Zhang Wen, Qi Shu, Bo Huang, Show Lo. Tang Sanzang, an aspiring Buddhist hero tries to protect a village from three demons. He develops complex feelings for Miss Duan, the demon hunter who repeatedly helps him, and finally quests to meet the legendary Monkey King.",Qi Shu|Zhang Wen|Bo Huang|Show Lo|Sheung-ching Lee|Bingqiang Chen|Sihan Cheng|Xing Yu|Zhengyu Lu|Chi Ling Chiu|Di Yang|Chrissie Chau|Hangyu Ge|Min Hun Fung|Lun Yeung,Mandarin,"Heng Dian, China",NA
Dead Story (2017),Horror,20-Jan-17,USA,NA,5,81 min,"Directed by Suneel Tripuraneni. With Kelsey Deanne, Chase Austin, Melissa Alouf, Jay Bowles. A young couple move into their dream house, only to find out they are not alone.",Kelsey Deanne|Chase Austin|Melissa Alouf|Jay Bowles|Olivia Denton|Nerissa Hart|Hope Holguin|Jason Mcroberts|Charlie Pearce|Christopher Phipps|Sheril Rodgers|Suneel Tripuraneni|Terry Vanderheyden|Dougie Vee|Jessica Willis,English,"Celina, Texas, USA",NA
Honeymoon (2015),Horror| Thriller,21-Oct-16,Mexico,NA,4.7,96 min,"Directed by Diego Cohen. With Hector Kotsifakis, Paulina Ahmed, Alberto Agnesi, Dunia Alexandra. What are you willing to do for love?",Hector Kotsifakis|Paulina Ahmed|Alberto Agnesi|Dunia Alexandra|Diego Cohen|Stephanie de la Cruz|Santiago Ortega,Spanish,"Mexico City, Distrito Federal, Mexico",NA
All Cheerleaders Die (2013),Fantasy| Horror,8-May-14,USA,NOT RATED,5.1,89 min,"Directed by Lucky McKee, Chris Sivertson. With Sidney Allison, Charon R. Arnold, Shay Astar, Sam Bean. A rebel girl signs up a group of cheerleaders to help her take down the captain of their high school football team, but a supernatural turn of events thrusts the girls into a different battle.",Sidney Allison|Charon R. Arnold|Shay Astar|Sam Bean|Nicholas Bloom|Nadia Boceski|Michael Bowen|Shane Bowen|Brooke Butler|Amanda Grace Benitez|Felisha Cooper|Brandon Hampton|Jesse Hlubik|Reanin Johannink|Margarito,English,"Los Angeles, California, USA",NA
Dead Snow 2: Red vs. Dead (2014),Action| Comedy| Horror,7-Oct-14,USA,R,6.9,100 min,"Directed by Tommy Wirkola. With Vegar Hoel, Ørjan Gamst, Martin Starr, Jocelyn DeBoer. Still on the run from a group of Nazi zombies, a man seeks the aid of a group of American zombie enthusiasts, and discovers new techniques for fighting the zombies.",Vegar Hoel|Ørjan Gamst|Martin Starr|Jocelyn DeBoer|Ingrid Haas|Stig Frode Henriksen|Hallvard Holmen|Kristoffer Joner|Amrita Acharia|Derek Mears|Bjarte Tjøstheim|Christian Rubeck|Charlotte Frogner|Jesper Sundnes|Tage Guddingsmo,Norwegian|English|German,Iceland,"NOK 35,000,000"
Disaster L.A. (2014),Action| Horror| Sci-Fi,23-Sep-14,USA,NOT RATED,3.5,82 min,"Directed by Turner Clay. With Justin Ray, Jerod Meagher, Stefanie Estes, Ron Hanks. After a meteor shower strikes Los Angeles, toxic smoke is released across the city causing people to physically change and become violent. A small group of survivors plans to vacate the city by heading to the coast.",Justin Ray|Jerod Meagher|Stefanie Estes|Ron Hanks|Michael Taber|Dennis Leech|Ali Williams|Morgan Jackson|Kendall Mayhew|Jeff Locker|Tansy Alexander|Francisco Froes|Tasha Dixon|Michael J. Sielaff|Jonathan Belda,NA,"Los Angeles, California, USA",NA
#Horror (2015),Drama| Horror| Mystery| Thriller,20-Nov-15,USA,NOT RATED,3.1,101 min,"Directed by Tara Subkoff. With Sadie Seelert, Haley Murphy, Bridget McGarry, Blue Lindeberg. Six preadolescent girls face a night of terror when the compulsive addiction of an online social media game turns a moment of cyber bullying into a night of insanity.",Emma Adler|Jessica Blank|Ted Christensen|Annabelle Dexter-Jones|Balthazar Getty|Lydia Hearst|Timothy Hutton|Sadie Jensen-Blank|Blue Lindeberg|Natasha Lyonne|Taryn Manning|Mackenzie G. Mauro|Bridget McGarry|Haley Murphy|Brenna Perez,English,"Bedford, New York, USA","$1,500,000"
The Curse of Downers Grove (2015),Drama| Horror| Mystery| Thriller,21-Aug-15,USA,NOT RATED,4.5,89 min,"Directed by Derick Martini. With Bella Heathcote, Lucas Till, Helen Slater, Penelope Mitchell. A teen angst thriller at a high school gripped by an apparent curse that claims the life of a senior every year. Story follows a senior, Chrissie, who is skeptical, and another, Tracy, who believes that she may be the next victim.",Bella Heathcote|Lucas Till|Helen Slater|Penelope Mitchell|Mark L. Young|Zane Holtz|Martin Spanjers|Jeff Staron|Marcus Giamatti|Tom Arnold|Kevin Zegers|Sean A. Rosales|Joel Michael Kramer|Steven Martini|Jason Dubin,English,"243 E Holt Ave Pomona, California, USA","$2,000,000"
Dark House (2014),Horror| Thriller,4-Mar-14,USA,R,4.7,102 min,"Directed by Victor Salva. With Luke Kleintank, Alex McKenna, Anthony Rey, Zack Ward. When Nick Di Santo learns that his father is not only alive but can possibly reveal the origin of his son's dark gift, he sets out on a trip that takes him to an abandoned mansion he thought only existed in his childhood imagination.",Luke Kleintank|Alex McKenna|Anthony Rey|Zack Ward|Lacey Anzelc|Ethan S. Smith|Lesley-Anne Down|Tobin Bell|Charles Agron|Tonya Carter|Brandon Smith|Daniel Ross Owens|Max Gail|Patricia Belcher|Tony Sanford,English,"360 Main St, Greenville, Mississippi, USA",NA
Escape from Tomorrow (2013),Drama| Fantasy| Horror,19-Jul-14,Japan,NOT RATED,5.2,90 min,"Directed by Randy Moore. With Roy Abramsohn, Elena Schuber, Katelynn Rodriguez, Jack Dalton. In a world of fake castles and anthropomorphic rodents, an epic battle begins when an unemployed father's sanity is challenged by a chance encounter with two underage girls on holiday.",Roy Abramsohn|Elena Schuber|Katelynn Rodriguez|Jack Dalton|Danielle Safady|Annet Mahendru|Lee Armstrong|Kimberly Ables Jindra|Trey Loney|Amy Lucas|Alison Lees-Taylor|Jakob Salvati|Mark Able|Anthony Oporta|Alexis Ottier,English|French,"Los Angeles, California, USA",NA
The Rizen (2017),Action| Horror| Sci-Fi,19-Jun-17,UK,NA,4.2,94 min,"Directed by Matt Mitchell. With Sally Phillips, Tom Goodman-Hill, Julian Rhind-Tutt, Adrian Edmondson. The year is 1955. NATO and the Allied Forces have been conducting secret, occult experiments in a bid to win the Arms Race. Now, they have finally succeeded but what the Army has unleashed threatens to tear our world apart. One woman must lead the only survivors past horrors that the military has no way to control - and fight to close what should never have been opened.",Sally Phillips|Tom Goodman-Hill|Julian Rhind-Tutt|Adrian Edmondson|Bruce Payne|Stephen Marcus|Bruce Herbelin-Earle|Laura Swift|Patrick Knowles|Peter Meyer|Phelim Kelly|Samantha White|Pippa Winslow|Richard Banks|Simeon Willis,English,"London, England, UK",NA
Potato Salad (2015),Comedy| Horror,23-Jul-15,Germany,NA,1.3,81 min,"Directed by Michael David Pate. With Joyce Ilg, Torge Oelrich, Otto Waalkes, Ernst-Herbert Albertsen. When a deadly zombie virus infects a school in Germany it remains on the student Leo to save the world.",Joyce Ilg|Torge Oelrich|Otto Waalkes|Ernst-Herbert Albertsen|Dagi Bee|Joe Friedrichsen|Sabine Stamm|Doktor Allwissend|Joachim Tennstedt|Michael Kammholz|Derval de Faria|Annika Pate|Nane Oelrich|Rose Pate|Jutta Oelrich,German,Germany,"€1,000,000"
Halloween: The Return of Laurie Strode (2017),Horror,18-Sep-17,USA,NA,9.1,NA,"After killing her brother once and for all, Laurie Strode, and her son John, return to Haddonfield, Illinois for an emotional reunion.",NA,English,"Haddonfield, New Jersey, USA",NA
Anomalous (2016),Fantasy| Horror| Thriller,8-Apr-16,USA,NA,4.5,100 min,"Directed by Hugo Stuven. With Lluís Homar, Christy Escobar, Edgar Fox, Adria Arjona. A young schizophrenic who felt threatened by a presence he was unable to define turns up gruesomely dead in his bathtub.",Lluís Homar|Christy Escobar|Edgar Fox|Adria Arjona|Ben Temple|Gonzalo Bouza|LoDeon|Soraya Padrao|Julio Perillán|Jeffrey Alan Solomon,English,"Barcelona, Catalonia, Spain",NA
Demon (2015),Comedy| Horror| Thriller,9-Sep-16,USA,R,6.1,94 min,"Directed by Marcin Wrona. With Itay Tiran, Agnieszka Zulewska, Andrzej Grabowski, Tomasz Schuchardt. A bridegroom is possessed by an unquiet spirit in the midst of his own wedding celebration, in this clever take on the Jewish legend of the dybbuk.",Itay Tiran|Agnieszka Zulewska|Andrzej Grabowski|Tomasz Schuchardt|Katarzyna Herman|Adam Woronowicz|Wlodzimierz Press|Tomasz Zietek|Cezary Kosinski|Katarzyna Gniewkowska|Maja Barelkowska|Anna Smolowik|Maria Debska|Piotr Domalewski|Filip Plawiak,Polish|English|Yiddish,"Swierze Górne, Mazowieckie, Poland",NA
Vampyres (2015),Horror,29-May-15,Spain,NOT RATED,3.3,76 min,"Directed by Víctor Matellano. With Marta Flich, Almudena León, Alina Nastase, Fele Martínez. Deep in the rural English countryside, two tempting daughters of Erebus, the woeful wraith-like phantoms Fran and Miriam, prey on the innocent and the foolishly brave to tread alone.",Marta Flich|Almudena León|Alina Nastase|Fele Martínez|Verónica Polo|Anthony Rotsa|Víctor Vidal|Christian Stamm|Lone Fleming|Caroline Munro|Elvira Moliterno|Luis Hacha|Remedios Darkin|Antonio Mayans|May Heatherly,English,NA,NA
The Windmill (2016),Drama| Horror,25-Oct-16,USA,NA,4.8,85 min,"Directed by Nick Jongerius. With Patrick Baladi, Ben Batt, Charlotte Beaumont, Fiona Hampton. Jennifer is an Australian girl on the run from her past who washes up in Amsterdam. In a desperate attempt to stay one step ahead of the authorities, she joins a coach-load of tourists embarking on a tour of Holland's world famous windmills. When the bus breaks down in the middle of nowhere, she and the other tourists are forced to seek shelter in a disused shed beside a sinister windmill where, ...",Patrick Baladi|Ben Batt|Charlotte Beaumont|Fiona Hampton|Tanroh Ishida|Bart Klever|Kenan Raven|Noah Taylor|Adam Thomas Wright|Derek Howard|Mattijn Hartemink|Edo Brunner|Stijn Westenend|Liz Vergeer|Ties Jaspers,English,"Loenen, The Netherlands",NA
Nothing Left to Fear (2013),Horror,26-Sep-13,Russia,R,4.4,100 min,"Directed by Anthony Leonardi III. With Anne Heche, James Tupper, Ethan Peck, Rebekah Brandes. A family's journey toward a better life is interrupted by an unstable man of the cloth.",Anne Heche|James Tupper|Ethan Peck|Rebekah Brandes|Carter Cabassa|Wayne Pére|Jennifer Stone|Clancy Brown|James C. Victor|Joel K. Berger|J.D. Evermore|John O'Neil|Morgan Roberts|Heather Roop|John Showalter,English,"Louisiana, USA","$3,000,000"
