Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
NA,Porto Bello,Le Couvent,2018,NA,7.6,148,"Sweet, Resinous, Spicy, Fruity, Woody",Orange zest,Davana,"Cognac, Frankincense",Barbara Zoebelein,https://www.parfumo.com/Perfumes/le-couvent/Porto_Bello
NA,Portofino,Guess,2024,NA,NA,NA,NA,NA,NA,NA,Catherine Selig,https://www.parfumo.com/Perfumes/Guess/portofino
NA,Portofino Pink Prosecco,Bath & Body Works,NA,NA,NA,NA,"Fruity, Citrus, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Bath_Body_Works/portofino-pink-prosecco
NA,Portos Balenciaga 1980 After Shave,Balenciaga,1980,After Shave,NA,NA,NA,"Coriander, Bergamot, Mugwort","Cedarwood, Patchouli, Geranium, Jasmine, Vetiver","Castoreum, Leather, Frankincense, Myrrh, Moss, Musk, Labdanum",NA,https://www.parfumo.com/Perfumes/Balenciaga/Portos_After_Shave
NA,Portos Balenciaga 1980 Eau de Cologne,Balenciaga,1980,Eau de Cologne,8.3,52,"Spicy, Leathery, Woody, Animal, Resinous","Coriander, Bergamot, Mugwort","Cedarwood, Patchouli, Geranium, Jasmine, Vetiver","Castoreum, Leather, Frankincense, Myrrh, Moss, Musk, Labdanum",NA,https://www.parfumo.com/Perfumes/Balenciaga/Portos_Eau_de_Cologne
NA,Portrait by Afnan - Abstract,Afnan Perfumes,2023,NA,7.8,2,"Spicy, Sweet, Oriental, Leathery, Woody","Frankincense, Rhubarb, Vetiver","Rose, Tonka bean","Amber, Cedar, Leather, Sandalwood",NA,https://www.parfumo.com/Perfumes/Afnan_Perfumes/portrait-by-afnan-abstract
NA,Portrait by Afnan - Revival,Afnan Perfumes,2023,NA,8.5,4,"Smoky, Sweet, Gourmand, Creamy, Spicy","Cinnamon, Frankincense, Honey, Saffron","Oak, Praliné, Tonka bean","Caramel, Dark chocolate, Date, Sandalwood",NA,https://www.parfumo.com/Perfumes/Afnan_Perfumes/portrait-by-afnan-revival
NA,Portrait for Men,Paul Smith,2013,NA,8.1,17,"Floral, Spicy, Woody, Sweet, Fresh","Pink pepper, Green tea, Bergamot","Cassia, Geranium","Tolu balm, Cedarwood, Cistus, Myrrh",Barnabé Fillion,https://www.parfumo.com/Perfumes/Paul_Smith/Portrait_for_Men
NA,Portrait for Women,Paul Smith,2013,NA,6.5,4,"Fresh, Floral, Spicy, Sweet","Cardamom, Bergamot, Black tea, Blackcurrant, Peach","Jasmine, Wild rose","Musk, Myrrh",Barnabé Fillion,https://www.parfumo.com/Perfumes/Paul_Smith/Portrait_for_Women
NA,Portrait of a Lady 20 Ans,Editions de Parfums Frédéric Malle,2020,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/portrait-of-a-lady-20-ans
NA,Portrait of a Lady Editions de Parfums Frédéric Malle 2010 Eau de Parfum,Editions de Parfums Frédéric Malle,2010,Eau de Parfum,NA,NA,"Floral, Spicy, Woody, Oriental, Smoky",Turkish rose,"Blackcurrant, Clove, Raspberry","Frankincense, Patchouli, Sandalwood",Dominique Ropion,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/portrait-of-a-lady-eau-de-parfum
NA,Portrait of a Lady Editions de Parfums Frédéric Malle Brume Cheveux,Editions de Parfums Frédéric Malle,NA,Brume Cheveux,NA,NA,"Smoky, Floral",Turkish rose,"Blackcurrant, Clove, Raspberry","Frankincense, Patchouli, Sandalwood",Dominique Ropion,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/portrait-of-a-lady-brume-cheveux
NA,Portrait of a Lady Limited Edition,Editions de Parfums Frédéric Malle,2018,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/Portrait_of_a_Lady_Limited_Edition
NA,Portrait of Jaco,Teone Reinthal Natural Perfume,2011,NA,NA,NA,"Fresh, Aquatic",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Teone_Reinthal_Natural_Perfume/portrait-of-jaco
NA,Portrait of New York - Vetiver,Ralph Lauren,2016,NA,8,5,"Fresh, Green, Woody, Citrus, Spicy",NA,NA,NA,"Harry Frémont, Firmenich",https://www.parfumo.com/Perfumes/Ralph_Lauren/Portrait_of_New_York__Vetiver
NA,Portrait of New York - White Lily,Ralph Lauren,2016,NA,NA,NA,NA,NA,NA,NA,"Harry Frémont, Firmenich",https://www.parfumo.com/Perfumes/Ralph_Lauren/Portrait_of_New_York__White_Lily
NA,Portraits of Portofino,Birkholz,2022,NA,8.5,175,"Citrus, Fresh, Fruity, Floral, Sweet","Bergamot, Mandarin orange, Lemon","White blossoms, Jasmine, Magnolia","Musk, Amber, Woody notes, Ginger, Patchouli",NA,https://www.parfumo.com/Perfumes/Birkholz/portraits-of-portofino
NA,Portrayal Man,Amouage,2019,NA,7.9,317,"Woody, Floral, Green, Fresh, Spicy",Violet leaf,Java vetiver,Cade juniper,Pierre Negrin,https://www.parfumo.com/Perfumes/Amouage/Portrayal_Man
NA,Portrayal Woman,Amouage,2019,NA,7.8,234,"Floral, Sweet, Spicy, Creamy, Oriental",Jasmine,"Tobacco, Vanilla",Elemi resin,"Annick Ménardo, Pierre Negrin",https://www.parfumo.com/Perfumes/Amouage/Portrayal_Woman
NA,Portugal 4711 2006 After Shave Lotion,4711,2006,After Shave Lotion,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/4711/Portugal_After_Shave_Lotion
NA,Portugal 4711 Eau de Cologne,4711,NA,Eau de Cologne,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/4711/Portugal_Eau_de_Cologne
NA,Portugal 4711 Eau de Toilette,4711,NA,Eau de Toilette,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/4711/4711_Portugal
NA,Posí,V Canto,2019,NA,6.5,13,"Spicy, Woody, Floral, Earthy, Synthetic","Bergamot, Lemon, Rose, Saffron","Ambergris, Cypriol, Geranium, Ylang-ylang","Musk, Oak wood, Oakmoss, Patchouli, Sandalwood, Walnut wood",Paolo Terenzi,https://www.parfumo.com/Perfumes/V_Canto/posi
NA,Poseidon,Violette Market,2010,NA,NA,NA,NA,NA,NA,NA,"Lori Cochran Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Violette_Market/Poseidon
NA,Posh,Neil Morris Fragrances,NA,NA,7,3,"Fruity, Floral, Earthy, Spicy, Gourmand",NA,NA,NA,Neil Morris,https://www.parfumo.com/Perfumes/Neil_Morris_Fragrances/Posh
NA,Posh on the Green,Atkinsons,2014,NA,7.1,142,"Green, Fresh, Spicy, Woody, Citrus","Petitgrain, Coriander","Geranium, Galbanum","Cedar, Vetiver",NA,https://www.parfumo.com/Perfumes/Atkinsons/The_Contemporary_Collection_Posh_on_the_Green
NA,Positano 1962,Pierre Guillaume,2016,NA,NA,NA,NA,NA,NA,NA,Pierre Guillaume,https://www.parfumo.com/Perfumes/Pierre_Guillaume/Rhapsodie__Positano_1962
NA,Possess Absolute,Oriflame,2022,NA,NA,NA,"Synthetic, Woody, Fruity, Floral, Sweet","Apple, Pomegranate, Bergamot","Osmanthus absolute, Orange blossom, Jasmine","Amberwood, Cotton, Praliné",NA,https://www.parfumo.com/Perfumes/Oriflame/possess-absolute
NA,Possess Man,Oriflame,2015,NA,6,2,"Floral, Fruity, Woody, Citrus, Green","Coriander, Grapefruit, Pineapple","Laurel, Lavender, Orange blossom","Leather, Orris root, Patchouli",Jean-Christophe Hérault,https://www.parfumo.com/Perfumes/Oriflame/Possess_Man
NA,Possess Oriflame 2014 Eau de Parfum,Oriflame,2014,Eau de Parfum,7.5,15,"Sweet, Fruity, Woody, Floral, Chypre","Grapefruit, Pineapple, Freesia","Raspberry, Ylang-ylang, Orange blossom","Ceylonese sandalwood, Bourbon vanilla, Madagascan patchouli","Dora Baghriche-Arnaud, Daphné Bugey",https://www.parfumo.com/Perfumes/Oriflame/Possess_Eau_de_Parfum
NA,Possess Oriflame Body Spray,Oriflame,NA,Body Spray,NA,NA,NA,"Grapefruit, Pineapple, Freesia","Raspberry, Ylang-ylang, Orange blossom","Ceylonese sandalwood, Bourbon vanilla, Madagascan patchouli","Dora Baghriche-Arnaud, Daphné Bugey",https://www.parfumo.com/Perfumes/Oriflame/possess-body-spray
NA,Possess The Secret Man,Oriflame,2018,NA,NA,NA,"Fresh, Aquatic, Synthetic, Green, Woody","Ice accord, Absinth, Bergamot","Orange, Sage, Salty notes","Oak, Woody notes",Elise Bénat,https://www.parfumo.com/Perfumes/Oriflame/Possess_The_Secret_Man
NA,Possess The Secret,Oriflame,2018,NA,6.8,4,"Spicy, Floral, Sweet, Fruity, Fresh","Bergamot, Blackcurrant, Water jasmine","Orchid, Osmanthus, Yellow apple","Heliotrope, Sandalwood, Vanilla",Fabrice Pellegrin,https://www.parfumo.com/Perfumes/Oriflame/Possess_The_Secret
NA,Possession Corday 2019 Parfum de Toilette,Corday,2019,Parfum de Toilette,8,10,"Green, Sweet, Floral, Animal, Woody",NA,NA,NA,Jimmy Bodin Perfume maker,https://www.parfumo.com/Perfumes/Corday/possession-parfum-de-toilette
NA,Possession Corday Cream Perfume,Corday,NA,Cream Perfume,NA,NA,"Green, Spicy, Woody","Neroli, Petitgrain, Bergamot, Lemon, Pepper, Grease","Oak wood absolute, Lavender, Chamomile, Geranium","Musk, Sandalwood, Carnation, Ambergris, Vetiver, Acridity",Arturo Jordi-Pey,https://www.parfumo.com/Perfumes/Corday/possession-cream-perfume
NA,Possession Corday Eau de Toilette,Corday,NA,Eau de Toilette,7.4,20,"Floral, Green, Woody, Fresh, Resinous","Indian tuberose absolute, Gardenia absolute, Galbanum, Carrion","Grasse tuberose absolute, White ambergris, Bourbon vetiver, Gaiac wood, Rot","White ambergris, Java vetiver, Musk, Mysore sandalwood",Sultan Pasha Perfume maker,https://www.parfumo.com/Perfumes/Corday/possession-eau-de-toilette
NA,Possession Corday Parfum,Corday,NA,Parfum,NA,NA,NA,NA,NA,NA,Ananda Wilson Perfume maker,https://www.parfumo.com/Perfumes/Corday/Possession
NA,Possibilities,La Perla,2021,NA,7.6,85,"Floral, Sweet, Fruity, Spicy, Creamy","Freesia, Blackcurrant, Pink pepper","Rose water, Rose absolue Orpur®, Orange blossom, Petalia®, Rosyfolia®","Cashmere, Akigalawood®, Amber, Mexican vanilla",Louise Turner,https://www.parfumo.com/Perfumes/La_Perla/possibilities
NA,Potion Absinthe,Police,2023,NA,9.1,5,"Green, Spicy, Woody, Fougère, Earthy","Black pepper, Cannabis, Mandarin orange","Absinth, Sage, Star anise","Cedarwood, Gaiac wood, Vetiver",Leslie Gauthier,https://www.parfumo.com/Perfumes/Police/potion-absinthe
NA,Potion Arsenic,Police,2023,NA,8,4,"Spicy, Oriental, Woody, Floral, Resinous","Almond, Cinnamon, Coconut","Purple orchid, Tobacco, Ylang-ylang","Myrrh, Patchouli, Tonka bean",Pierre-Constantin Guéros,https://www.parfumo.com/Perfumes/Police/potion-arsenic
NA,Potion Blue Cadet,Dsquared²,2013,NA,6.7,77,"Fresh, Citrus, Aquatic, Sweet, Woody","Mandarin orange, Bergamot zest, Pink grapefruit zest","Balsam fir, Canadian hemlock needle, Siberian stone pine needle, White cedar","Cistus, Musk, Tonka bean",Mathilde Bijaoui,https://www.parfumo.com/Perfumes/Dsquared/Potion_Blue_Cadet
NA,Potion Dsquared² 2011 After Shave,Dsquared²,2011,After Shave,5.3,2,Powdery,"Thyme, Angelica, Mint","Cinnamon, Pepper, Gentian, Rose","Amber, Cashmere wood, Patchouli, Musk",Annick Ménardo,https://www.parfumo.com/Perfumes/Dsquared/Potion_After_Shave
NA,Potion Dsquared² 2011 Eau de Parfum,Dsquared²,2011,Eau de Parfum,7.3,427,"Spicy, Woody, Sweet, Oriental, Resinous","Thyme, Angelica, Mint","Cinnamon, Pepper, Gentian, Rose","Amber, Cashmere wood, Patchouli, Musk",Annick Ménardo,https://www.parfumo.com/Perfumes/Dsquared/Potion_Eau_de_Parfum
NA,Potion Dsquared² 2011 Eau de Toilette,Dsquared²,2011,Eau de Toilette,7.1,7,"Synthetic, Gourmand, Spicy, Oriental, Woody","Thyme, Angelica, Mint","Cinnamon, Pepper, Gentian, Rose","Amber, Cashmere wood, Patchouli, Musk",Annick Ménardo,https://www.parfumo.com/Perfumes/Dsquared/Potion_Eau_de_Toilette
NA,Potion Dsquared² 2011 Perfume Oil,Dsquared²,2011,Perfume Oil,6.6,6,"Spicy, Woody, Sweet, Animal, Gourmand","Thyme, Angelica, Mint","Cinnamon, Pepper, Gentian, Rose","Amber, Cashmere wood, Patchouli, Musk",Annick Ménardo,https://www.parfumo.com/Perfumes/Dsquared/Potion_Perfume_Oil
NA,Potion for Her,Police,2022,NA,8.2,3,"Fruity, Floral, Sweet","Bergamot, Pink pepper, Red apple","Damask rose, Magnolia, Orange blossom, Peach juice","Amber, Benzoin, Salted caramel, Vanilla",Leandro Petit,https://www.parfumo.com/Perfumes/Police/potion-for-her
NA,Potion for Him,Police,2022,NA,7.3,6,"Green, Spicy, Fresh, Woody, Leathery","Black pepper, Elemi resin, Rhubarb","Cannabis, Frankincense, Hazelnut","Amber, Cedarwood, Sandalwood",Alexander Lee,https://www.parfumo.com/Perfumes/Police/potion-for-him
NA,Potion for Woman,Dsquared²,2012,NA,6.9,127,"Floral, Sweet, Fruity, Powdery, Oriental","Blackcurrant, Violet, Bergamot","Rhubarb, Lily of the valley, Rose, Jasmine","Black musk, White musk, Black amber, Vanilla, Patchouli",Christine Nagel,https://www.parfumo.com/Perfumes/Dsquared/Potion_for_Woman
NA,Potion Love,Police,2021,NA,8.3,4,"Floral, Sweet, Aquatic, Spicy, Powdery","Bergamot, Grapefruit, Marine notes","Tuberose, Orange blossom, Rose","Ambramone™, Peach, White musk",Sophie Truitard,https://www.parfumo.com/Perfumes/Police/potion-love
NA,Potion Lush / Cosmetics To Go 2005 Solid Perfume,Lush / Cosmetics To Go,2005,Solid Perfume,7.5,7,"Spicy, Floral, Woody, Fruity, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Lush/potion-solid-perfume
NA,Potion Lush / Cosmetics To Go Perfume,Lush / Cosmetics To Go,NA,Perfume,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Lush/potion-perfume
NA,Potion Power,Police,2021,NA,6.8,8,"Fresh, Powdery, Floral, Fruity, Woody","Aromatic notes, Bergamot, Cinnamon, Lavender, Orange blossom","Amber, Cripps Pink apple, Jasmine, Solar note, Violet","Precious woods, Tonka bean, Vanilla orchid, White musk",Jordi Fernández,https://www.parfumo.com/Perfumes/Police/potion-power
NA,Potion Royal Black,Dsquared²,2013,NA,7.8,124,"Woody, Spicy, Smoky, Leathery, Oriental","Frankincense, Bergamot, Pimento","Rose, Oud, Tobacco absolute, Atlas cedar","Gaiac wood, Cashmere, Leather, Musk",NA,https://www.parfumo.com/Perfumes/Dsquared/Potion_Royal_Black
NA,Potosi,Parfum-Individual Harry Lehmann,NA,NA,6.8,16,"Fresh, Fruity, Floral, Green, Spicy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ParfumIndividual_Harry_Lehmann/Potosi
NA,Potpourri 250th Anniversary Limited Edition,Caswell-Massey,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Caswell_Massey/Potpourri_250th_Anniversary_Limited_Edition
NA,Pot-Pourri,Santa Maria Novella,NA,NA,6.8,63,"Spicy, Green, Earthy, Resinous, Woody","Bergamot, Bitter orange, Laurel","Rosemary, Clove, Lavender, Thyme","Cedarwood, Peru balsam, Patchouli",NA,https://www.parfumo.com/Perfumes/Santa_Maria_Novella/Acqua_di_Colonia_PotPourri
NA,Poudre de Musc Intense Nicolaï / Parfums de Nicolaï 2022 Brume pour Cheveux,Nicolaï / Parfums de Nicolaï,2022,Brume pour Cheveux,NA,NA,NA,"Raspberry, Mandarin orange, Petitgrain","Aldehydes, Rose, Hawthorn, Orange blossom absolute, Carnation","Musk, Sandalwood, Amber",Patricia de Nicolaï,https://www.parfumo.com/Perfumes/Nicolai/poudre-de-musc-intense-brume-pour-cheveux
NA,Poudre de Musc Intense Nicolaï / Parfums de Nicolaï Eau de Parfum,Nicolaï / Parfums de Nicolaï,NA,Eau de Parfum,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Nicolai/poudre-de-musc-intense-eau-de-parfum
NA,Poudre de Riz,Parfums Sven Pritzkoleit,2020,NA,5.9,4,NA,NA,NA,NA,Sven Pritzkoleit,https://www.parfumo.com/Perfumes/parfums-sven-pritzkoleit/poudre-de-riz
NA,Poudre de Riz,Pierre Guillaume,2012,NA,7.3,175,"Powdery, Sweet, Floral, Gourmand, Creamy",NA,NA,NA,Pierre Guillaume,https://www.parfumo.com/Perfumes/Pierre_Guillaume/Poudre_de_Riz
NA,Poudre de Rose,Les Parfums de Rosine,2018,NA,NA,NA,NA,"Aldehydes, Peach, Rose","Heliotrope, Jasmine, Pomegranate, Rosemary","Amber, Benzoin, Musk, Sandalwood, Tonka bean, Vanilla",NA,https://www.parfumo.com/Perfumes/Les_Parfums_de_Rosine/Poudre_de_Rose
NA,Poudre d'Or,Mizensir,2017,NA,7.9,153,"Sweet, Powdery, Floral, Creamy, Woody","Tiaré, Paradisone®","Orris concrete, Exaltone®","Australian sandalwood, Bourbon vanilla absolute",Alberto Morillas,https://www.parfumo.com/Perfumes/Mizensir/Poudre_d_Or
NA,Poudre d'Orient,Le Labo,2010,NA,7.5,4,"Green, Powdery, Oriental, Woody, Earthy",Violet leaf,"Iris, Patchouli","Cashmere wood, Cedarwood, Suede, Vanilla",NA,https://www.parfumo.com/Perfumes/Le_Labo/Poudre_d_Orient
NA,Poudre Matcha,Kenzo,2022,NA,7.3,52,"Sweet, Floral, Powdery, Creamy, Green",Maté tea,Rose,"Musk, Vanilla",Jean-Christophe Hérault,https://www.parfumo.com/Perfumes/Kenzo/poudre-matcha
NA,Poule de Luxe - Vanilla Fruit Sorbet,Crazylibellule and the Poppies,NA,NA,7.9,30,"Sweet, Floral, Gourmand, Fruity, Powdery",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Crazylibellule_and_the_Poppies/Poule_de_Luxe_Vanilla_Fruit_Sorbet
NA,Poule de Luxe - Vanilla Ganache,Crazylibellule and the Poppies,2008,NA,7.4,22,"Fresh, Fruity, Floral, Citrus, Green",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Crazylibellule_and_the_Poppies/Poule_de_Luxe_Vanilla_Ganache
NA,Poule de Luxe - Vanilla Lemon Pie,Crazylibellule and the Poppies,NA,NA,NA,NA,NA,"Mandarin orange, Peach, Skunk","Jasmine, Sandalwood, Tuberose, Vetiver","Amber, Iris, Vanilla",NA,https://www.parfumo.com/Perfumes/Crazylibellule_and_the_Poppies/Poule_de_Luxe_Vanilla_Lemon_Pie
NA,Poule de Luxe - Vanilla Macarons,Crazylibellule and the Poppies,2007,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Crazylibellule_and_the_Poppies/Poule_de_Luxe_Vanilla_Macarons
NA,Poule de Luxe - Vanilla Moka,Crazylibellule and the Poppies,1946,NA,7.8,279,"Floral, Chypre, Woody, Powdery, Spicy","Aldehydes, Cypress, Mandarin orange, Neroli, Orange blossom, Bergamot, Lemon, Fume","Gardenia, Iris, Jasmine, Lily of the valley, Rose, Ylang-ylang, Decay","Oakmoss, Amber, Cedar, Musk, Sandalwood, Tonka bean, Vetiver, Grunge",Guy Robert,https://www.parfumo.com/Perfumes/Crazylibellule_and_the_Poppies/Poule_de_Luxe_Vanilla_Moka
NA,Poule de Luxe - Vanilla Orangette,Crazylibellule and the Poppies,NA,NA,NA,NA,NA,"Mandarin orange, Blackberry, Herbs, Sicilian lemon, Vorptal","Cardamom, Madagascan pepper, Juniper berry, Angelica seed","Cedarwood, Ambergris, Mysore sandalwood, Ash",Maurizio Cerizza,https://www.parfumo.com/Perfumes/Crazylibellule_and_the_Poppies/Poule_de_Luxe_Vanilla_Orangette
NA,Poupée,Rochas,2004,NA,6.7,49,"Floral, Fruity, Sweet, Synthetic, Powdery","Orange blossom, Pineapple","Gardenia, Nutmeg, Jasmine, Tuberose, Rose","Benzoin, Amber, Sandalwood",Anne Flipo,https://www.parfumo.com/Perfumes/Rochas/Poupee
NA,Pour Danser,Oriza L. Legrand,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Oriza_L_Legrand/Pour_Danser
NA,Pour Elle Angel Schlesser 2014 Eau de Parfum,Angel Schlesser,2014,Eau de Parfum,NA,NA,NA,"Bergamot, Pot marigold, Red berries","Jasmine, Orange blossom, Apple, Peony","Tonka bean, Benzoin, Patchouli, Vetiver",Amandine Clerc-Marie,https://www.parfumo.com/Perfumes/Angel_Schlesser/Pour_Elle
NA,Pour Elle Angel Schlesser 2016 Eau de Parfum Sensuelle,Angel Schlesser,2016,Eau de Parfum Sensuelle,NA,NA,NA,"Bergamot, Red berries, White peach","Cedarwood, Jasmine, Lily, Orange blossom, White blossoms","Cypriol, Leather, Patchouli, Tonka bean",Amandine Clerc-Marie,https://www.parfumo.com/Perfumes/Angel_Schlesser/Pour_Elle_Eau_de_Parfum_Sensuelle
NA,Pour Elle Angel Schlesser 2016 Eau de Toilette,Angel Schlesser,2016,Eau de Toilette,8.2,6,"Fruity, Floral, Woody, Aquatic, Synthetic","Bergamot, Grapefruit, Mandarin orange, Red berries","Jasmine, Orange blossom, Pear, Peony","Tonka bean, Patchouli, Vetiver","Amandine Clerc-Marie, Firmenich",https://www.parfumo.com/Perfumes/Angel_Schlesser/Pour_Elle_Eau_de_Toilette
NA,Pour Elle,Annayake / アナヤケ,2000,NA,7.3,215,"Fresh, Floral, Woody, Citrus, Green","Bergamot, Elemi resin, Fig",Blue lotus,"Tea, Hinoki cypress, Musk, Gaiac wood, Sandalwood","Emilie Bevierre-Coppermann, Lucas Sieuzac",https://www.parfumo.com/Perfumes/Annayake/Annayake_Pour_Elle
NA,Pour Elle Light,Annayake / アナヤケ,2010,NA,7.3,77,"Fresh, Floral, Aquatic, Woody, Citrus","Bergamot, Elemi resin, Fig, Lemon","Lily of the valley, Rose, Water lily, Jasmine, Violet","Clary sage, Gaiac wood, Sandalwood, White musk, Amber","Henri Bergia, Eric Fracapane",https://www.parfumo.com/Perfumes/Annayake/Pour_Elle_Light
NA,Pour Femme Elixir,Lacoste,2019,NA,7.3,89,"Sweet, Floral, Powdery, Woody, Creamy","Jasmine, Mandarin orange, Pink pepper","Brazilian gardenia, Heliotrope, Jasmine sambac","Woody notes, Vanilla, Tuberose, Vetiver",NA,https://www.parfumo.com/Perfumes/Lacoste/Pour_Femme_Elixir
NA,Pour Femme Intense,Lacoste,2018,NA,8.1,136,"Creamy, Sweet, Gourmand, Floral, Woody","Caramel, Lily of the valley",Bulgarian rose,"Australian sandalwood, Musk, Himalaya cedar",Olivier Cresp,https://www.parfumo.com/Perfumes/Lacoste/Pour_Femme_Intense
NA,Pour Femme,Krizia,2013,NA,7.3,12,"Sweet, Powdery, Fruity, Floral, Citrus","Bergamot, Blackcurrant, Lemon","Apricot, Green apple, Lily of the valley","Oakmoss, Sandalwood, Vanilla, White musk",Karine Dubreuil-Sereni,https://www.parfumo.com/Perfumes/Krizia/Pour_Femme
NA,Pour Femme Lacoste 2003 Eau de Parfum,Lacoste,2003,Eau de Parfum,NA,NA,"Floral, Fresh, Powdery, Woody, Sweet","Purple freesia, Pimento","Heliotrope, Hibiscus, Bulgarian rose","Sensual skin accord, Himalaya cedar, Mysore sandalwood, Frankincense",Olivier Cresp,https://www.parfumo.com/Perfumes/Lacoste/Lacoste_pour_Femme
NA,Pour Femme Lacoste 2017 Eau de Parfum Légère,Lacoste,2017,Eau de Parfum Légère,7.8,63,"Floral, Fresh, Citrus, Powdery, Woody",Citrus notes,Jasmine,"Musk, Himalaya cedar, Sandalwood",NA,https://www.parfumo.com/Perfumes/Lacoste/Pour_Femme_Eau_de_Parfum_Legere
NA,Pour Femme Timeless,Lacoste,2019,NA,6.9,37,"Sweet, Floral, Fresh, Fruity, Powdery","Mandarin orange, Bulgarian rose, Rose","Gardenia, Orange blossom, Jasmine sambac","Sandalwood, Frankincense, Patchouli",NA,https://www.parfumo.com/Perfumes/Lacoste/pour-femme-timeless
NA,Pour Homme - Cèdre Vétiver,Melvita,NA,NA,NA,NA,"Spicy, Earthy, Fresh, Woody, Leathery",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Melvita/Pour_Homme_Cedre_Vetiver
NA,Pour Homme 1987,Kiehl's,1987,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Kiehls/Pour_Homme_1987
NA,Pour Homme,Duftanker MGO Duftmanufaktur,2019,NA,8.5,81,"Spicy, Woody, Resinous, Green, Smoky","Basil, Pimento, Cinnamon, Oregano, Clary sage, Lavender, Petitgrain","Spruce, Black pepper, Clove, Nutmeg, Hay, Patchouli, Geranium, Vetiver, Jasmine","Himalaya cedar, Galbanum, Oakmoss, Frankincense, Sandalwood, Tonka bean, Vanilla",Hans Georg Staudt,https://www.parfumo.com/Perfumes/Duftanker_MGO_Duftmanufaktur/Pour_Homme
NA,Pour Homme Krizia 2013 After Shave,Krizia,2013,After Shave,NA,NA,NA,"Black pepper, Mandarin orange, Bergamot","Elemi resin, Sagebrush, Nutmeg, Ceylon cinnamon","Iris, White musk, Cedar, Sandalwood, Tonka bean, Vanilla",Karine Dubreuil-Sereni,https://www.parfumo.com/Perfumes/Krizia/Pour_Homme_After_Shave
NA,Pour Homme Krizia 2013 Eau de Toilette,Krizia,2013,Eau de Toilette,7.6,27,"Spicy, Woody, Resinous, Citrus, Powdery","Black pepper, Mandarin orange, Bergamot","Elemi resin, Sagebrush, Nutmeg, Ceylon cinnamon","Iris, White musk, Cedar, Sandalwood, Tonka bean, Vanilla",Karine Dubreuil-Sereni,https://www.parfumo.com/Perfumes/Krizia/Pour_Homme_Eau_de_Toilette
NA,Pour Homme Lacoste 2002 Eau de Toilette,Lacoste,2002,Eau de Toilette,7.3,290,"Sweet, Fruity, Fresh, Woody, Spicy","Plum, Apple, Bergamot, Grapefruit","Cinnamon, Cardamom, Juniper, Pink pepper","Rum, Vanilla, Cedar, Musk, Sandalwood, Labdanum",Claude Dir,https://www.parfumo.com/Perfumes/Lacoste/Pour_Homme_Eau_de_Toilette
NA,Pour Homme Lacoste 2002 Lotion Après Rasage,Lacoste,2002,Lotion Après Rasage,NA,NA,NA,"Plum, Apple, Bergamot, Grapefruit","Cinnamon, Cardamom, Juniper, Pink pepper","Rum, Vanilla, Cedar, Musk, Sandalwood, Labdanum",Claude Dir,https://www.parfumo.com/Perfumes/Lacoste/Pour_Homme_Lotion_Apres_Rasage
NA,Pour Homme,Le Jardin Retrouvé,2007,NA,NA,NA,NA,"Apple, Frankincense, Sludge","Orris root, Rose, Violet","Musk, Sandalwood",NA,https://www.parfumo.com/Perfumes/Le_Jardin_Retrouve/Pour_Homme
NA,Pour Homme Van Cleef & Arpels 1978 Eau de Toilette,Van Cleef & Arpels,1978,Eau de Toilette,8.1,260,"Spicy, Leathery, Woody, Chypre, Smoky","Myrtle, Bergamot, Juniper, Nutmeg, Lavender, Sage","Rose, Clove, Artemisia, Carnation, Cedarwood, Vetiver, Patchouli","Leather, Musk, Chypre accord, Frankincense, Labdanum, Sandalwood",Louis Monnet,https://www.parfumo.com/Perfumes/Van_Cleef_Arpels/Pour_Homme_Eau_de_Toilette
