date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1895-10-31,1895,Unknown,W15179,Unknown,We regret that we are unable to supply descriptive details for this record at present.,31/10/1895,Lough Swilly,NA,NA,NA
1895-10-29,1895,Unknown,W15180,Unknown,We regret that we are unable to supply descriptive details for this record at present.,29/10/1895,"Tuskar, Co Wexford, 24M SE of",NA,NA,NA
1895-11-17,1895,Unknown,W15181,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/11/1895,"Ballycotton and Poor Head, between",NA,NA,NA
1895-11-25,1895,Unknown,W15182,Brig,We regret that we are unable to supply descriptive details for this record at present.,25/11/1895,"Fastnet, 60M SW of",NA,NA,NA
1896-04-07,1896,Unknown,W15184,Unknown,We regret that we are unable to supply descriptive details for this record at present.,07/04/1896,"Mizen Head, 15 - 20M SW of",NA,NA,NA
1896-04-17,1896,Unknown,W15185,Lifeboat,We regret that we are unable to supply descriptive details for this record at present.,17/04/1896,Farrihy,NA,NA,NA
1896-05-21,1896,Unknown,W15186,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/05/1896,"50 58 N, 15 W",50.96667,-15,Lloyd's List
1896-06-11,1896,Unknown,W15187,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/06/1896,"Fastnet, 8M SE of",NA,NA,NA
1896-10-08,1896,Unknown,W15188,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,08/10/1896,"Kilmore, Co Wexford",NA,NA,NA
1896-10-08,1896,Unknown,W15189,Unknown,We regret that we are unable to supply descriptive details for this record at present.,08/10/1896,"Ballycotton, Smithâs Buoy, E 7M SW of",NA,NA,NA
1896-10-08,1896,Unknown,W15190,Unknown,We regret that we are unable to supply descriptive details for this record at present.,08/10/1896,"Poor Head, off",NA,NA,NA
1896-10-08,1896,Unknown,W15191,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,08/10/1896,"Dunmore East, Co Waterford",NA,NA,NA
1896-10-09,1896,Unknown,W15192,Barquentine,We regret that we are unable to supply descriptive details for this record at present.,09/10/1896,"Blackwater lightvessel, 6M SE of / Minehead and Ballycotton, between",NA,NA,NA
1849-06-15,1849,Unknown,W15193,Unknown,We regret that we are unable to supply descriptive details for this record at present.,15/06/1849,"Stags Rock, Broadhaven, off",NA,NA,NA
1896-10-08,1896,Unknown,W15194,Yacht,We regret that we are unable to supply descriptive details for this record at present.,08/10/1896,"New Ross, Co Wexford",NA,NA,NA
NA,NA,Unknown,W15195,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Helvick Head, off",NA,NA,NA
1896-10-17,1896,Unknown,W15196,Boat,We regret that we are unable to supply descriptive details for this record at present.,17/10/1896,"Valentia, Co Kerry / Ireland",NA,NA,NA
1896-10-16,1896,Unknown,W15197,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,16/10/1896,Donegal,NA,NA,NA
1896-10-23,1896,Unknown,W15198,Unknown,We regret that we are unable to supply descriptive details for this record at present.,23/10/1896,"Fastnet, 180M W of",50.4,-14.6,Lloyd's List
1896-10-20,1896,Unknown,W15199,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/10/1896,"51 52 N, 14 30 W",51.86667,-14.5,Lloyd's List
1896-11-09,1896,Unknown,W15200,Unknown,We regret that we are unable to supply descriptive details for this record at present.,09/11/1896,"49 15 N, 15 W / Various locations close to",49.25,-15,Lloyd's List
1896-11-10,1896,Unknown,W15201,Unknown,We regret that we are unable to supply descriptive details for this record at present.,10/11/1896,"Tory Island, E of",NA,NA,NA
1849-06-09,1849,Unknown,W15202,Unknown,We regret that we are unable to supply descriptive details for this record at present.,09/06/1849,"Achill Head, 205 miles WNW of",55,-15,Lloyd's List (floating wreck)
1896-11-19,1896,Unknown,W15203,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/11/1896,"Mizen Head, 1.5M SW of",NA,NA,NA
1896-11-19,1896,Unknown,W15204,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/11/1896,"49 36 N, 14 40 W / various locations close",49.6,-14.66667,Lloyd's List
1896-12-10,1896,Unknown,W15205,Canoe,We regret that we are unable to supply descriptive details for this record at present.,10/12/1896,Middle Arran Island,NA,NA,NA
1896-12-11,1896,Unknown,W15206,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/12/1896,West Cork coast,NA,NA,NA
1896-11-24,1896,Unknown,W15207,Unknown,We regret that we are unable to supply descriptive details for this record at present.,24/11/1896,"Tuskar, Co Wexford, W by N 2M",NA,NA,NA
1897-12-31,1897,Unknown,W15208,Unknown,We regret that we are unable to supply descriptive details for this record at present.,31/12/1897,"49 56 N, 9 19 W",49.93333,-9.31667,Lloyd's List
1849-06-20,1849,Nautilus,W15209,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/06/1849,"Cork Harbour, bank inside Camden Point",NA,NA,NA
1897-01-03,1897,Unknown,W15210,Unknown,We regret that we are unable to supply descriptive details for this record at present.,03/01/1897,"Galley Head, 40M S of",NA,NA,NA
1897-01-06,1897,Unknown,W15211,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/01/1897,Coast of West Cork,NA,NA,NA
1897-01-06,1897,Unknown,W15212,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/01/1897,Clonakilty Bay,NA,NA,NA
1897-01-08,1897,Unknown,W15213,Unknown,We regret that we are unable to supply descriptive details for this record at present.,08/01/1897,"48 46 N, 10 30 W",48.76667,-10.5,Lloyd's List
1897-02-17,1897,Unknown,W15214,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/02/1897,"Fastnet Rock, off / 115M W of",NA,NA,NA
1897-03-08,1897,Unknown,W15215,Unknown,We regret that we are unable to supply descriptive details for this record at present.,08/03/1897,Farrihy,NA,NA,NA
NA,NA,Unknown,W15216,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Fodra beach, Limerick",NA,NA,NA
1849-07-16,1849,Rainbow,W15217,Brig,We regret that we are unable to supply descriptive details for this record at present.,16/07/1849,Limerick Quay,NA,NA,NA
1897-04-08,1897,Unknown,W15218,Unknown,We regret that we are unable to supply descriptive details for this record at present.,08/04/1897,"Irish Coast, a few miles off",NA,NA,NA
1897-06-28,1897,Unknown,W15219,Unknown,We regret that we are unable to supply descriptive details for this record at present.,28/06/1897,"Oyster Haven, Kinsale",NA,NA,NA
1897-07-12,1897,Unknown,W15220,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/07/1897,"50 33 N, 9 18 W",50.55,-9.3,Lloyd's List
1849-07-15,1849,Margaret Elizabeth,W15222,Unknown,We regret that we are unable to supply descriptive details for this record at present.,15/07/1849,"Cape Clear, 50 nautical (?) miles SW. of",NA,NA,NA
1897-07-16,1897,Unknown,W15223,Unknown,We regret that we are unable to supply descriptive details for this record at present.,16/07/1897,"49 40 N, 10 24 W",49.66667,-10.4,Lloyd's List
1897-12-20,1897,Unknown,W15224,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/12/1897,Oysterhaven,NA,NA,NA
1898-01-17,1898,Unknown,W15225,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/01/1898,"51 22 N, 16 16 W",51.36667,-16.26667,Lloyd's List
1898-03-25,1898,Unknown,W15226,Unknown,We regret that we are unable to supply descriptive details for this record at present.,25/03/1898,"Cork Lightship, SE of",NA,NA,NA
1849-07-30,1849,Unknown,W15227,Unknown,We regret that we are unable to supply descriptive details for this record at present.,30/07/1849,"Cape Clear, 130 nautical (?) miles off",NA,NA,NA
1898-11-24,1898,Unknown,W15228,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,24/11/1898,"Lough Foyle, near Moville",NA,NA,NA
1849-08-24,1849,Unknown,W15229,Unknown,We regret that we are unable to supply descriptive details for this record at present.,24/08/1849,Castetown Berehaven,NA,NA,NA
1898-02-14,1898,Unknown,W15230,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/02/1898,"Tramore Strand, Co Waterford",NA,NA,NA
1898-03-10,1898,Unknown,W15231,Unknown,We regret that we are unable to supply descriptive details for this record at present.,10/03/1898,"Scilly Islands, 50M W of",NA,NA,NA
1849-10-01,1849,Diamond,W15232,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/10/1849,"Waterford Harbour, strand near",NA,NA,NA
1898-04-26,1898,Unknown,W15233,Canoe,We regret that we are unable to supply descriptive details for this record at present.,26/04/1898,"Brandon Creek, entrance to",NA,NA,NA
1899-06-26,1899,Unknown,W15235,Unknown,We regret that we are unable to supply descriptive details for this record at present.,26/06/1899,"50 N, 10 W / 51 30 N, 10 14 W",50,-10,Lloyd's List
1899-08-01,1899,Unknown,W15236,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/08/1899,"Fastnet, off / 50 53 N, 13 47 W",NA,NA,NA
1899-09-02,1899,Unknown,W15237,Unknown,We regret that we are unable to supply descriptive details for this record at present.,02/09/1899,Doega Head,NA,NA,NA
1899-09-23,1899,Unknown,W15238,Unknown,We regret that we are unable to supply descriptive details for this record at present.,23/09/1899,Sligo,NA,NA,NA
1899-09-24,1899,Unknown,W15239,Unknown,We regret that we are unable to supply descriptive details for this record at present.,24/09/1899,"Inishowen Head, SW 10M",NA,NA,NA
1899-08-13,1899,Unknown,W15240,Unknown,We regret that we are unable to supply descriptive details for this record at present.,13/08/1899,"51 29 N, 13 40 W",51.48333,-13.66667,Lloyd's List
NA,NA,Unknown,W15241,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Blackwater Bank, near / Tuskar, 12-14M ENE of",NA,NA,NA
1891-05-18,1891,Unknown,W15242,Steamship,We regret that we are unable to supply descriptive details for this record at present.,18/05/1891,"North Arklow Lightship, 0.75M ENE off",NA,NA,NA
1892-12-31,1892,Unknown,W15243,Unknown,We regret that we are unable to supply descriptive details for this record at present.,31/12/1892,"Bailey Lighthouse, 23M from",NA,NA,NA
1892-02-20,1892,Unknown,W15244,Lighter,We regret that we are unable to supply descriptive details for this record at present.,20/02/1892,North Wall,NA,NA,NA
1892-03-03,1892,Unknown,W15245,Unknown,We regret that we are unable to supply descriptive details for this record at present.,03/03/1892,"South Arklow Lightship, WSW of",NA,NA,NA
1892-04-22,1892,Unknown,W15246,Unknown,We regret that we are unable to supply descriptive details for this record at present.,22/04/1892,"Kish Lightship, 2M W of",NA,NA,NA
1892-05-04,1892,Unknown,W15247,Unknown,We regret that we are unable to supply descriptive details for this record at present.,04/05/1892,"Lambay Island, 15M E of",NA,NA,NA
1892-08-18,1892,Unknown,W15248,Ship,We regret that we are unable to supply descriptive details for this record at present.,18/08/1892,Kish Bank,NA,NA,NA
1892-10-15,1892,Unknown,W15249,Hopper Barge,We regret that we are unable to supply descriptive details for this record at present.,15/10/1892,Bettystown,NA,NA,NA
1896-05-06,1896,Unknown,W15250,Schooner,We regret that we are unable to supply descriptive details for this record at present.,06/05/1896,"Tuskar Light, Co Wexford, 20M SE of / 28M SE of",NA,NA,NA
1849-10-12,1849,Unknown,W15251,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/10/1849,"Cape Clear, c. 120 nautical (?) miles W. of",NA,NA,NA
1896-11-13,1896,Unknown,W15252,Unknown,We regret that we are unable to supply descriptive details for this record at present.,13/11/1896,"Tuskar light, Co Wexford, W by N c.2M",NA,NA,NA
1896-11-29,1896,Unknown,W15253,Unknown,We regret that we are unable to supply descriptive details for this record at present.,29/11/1896,"Skerries Lighthouse, SW Â½ S, 10M",NA,NA,NA
1896-12-06,1896,Unknown,W15254,Smack,We regret that we are unable to supply descriptive details for this record at present.,06/12/1896,N. Burford Buoy SW Â¾ W / Bailey Light NW Â¼ W,NA,NA,NA
1894-01-06,1894,Unknown,W15255,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/01/1894,"Clogher Head and Dunany Point, between",NA,NA,NA
1894-01-11,1894,Unknown,W15256,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/01/1894,"River Boyne, entrance on S side / Laytown",NA,NA,NA
1895-01-22,1895,Unknown,W15257,Unknown,We regret that we are unable to supply descriptive details for this record at present.,22/01/1895,Dublin coasts,NA,NA,NA
1895-05-08,1895,Unknown,W15258,Ship,We regret that we are unable to supply descriptive details for this record at present.,08/05/1895,"Tearaght, Co Kerry, 10M WSW",NA,NA,NA
1895-10-29,1895,Unknown,W15259,Unknown,We regret that we are unable to supply descriptive details for this record at present.,29/10/1895,"Tuskar, Co Wexford, 24M SE of",NA,NA,NA
1895-11-14,1895,Unknown,W15260,Full-rigged ship,We regret that we are unable to supply descriptive details for this record at present.,14/11/1895,"Arklow Bank, S end of",NA,NA,NA
1897-10-01,1897,Unknown,W15261,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/10/1897,"Glass Island Light, 4M SW of",NA,NA,NA
1899-02-27,1899,Unknown,W15262,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/02/1899,"Kish Lightvessel, 4M ENE",NA,NA,NA
1899-02-04,1899,Unknown,W15263,Unknown,We regret that we are unable to supply descriptive details for this record at present.,04/02/1899,"Fastnet, off",NA,NA,NA
1849-10-22,1849,Jane,W15264,Unknown,We regret that we are unable to supply descriptive details for this record at present.,22/10/1849,"Cape Clear, c. 300 miles WSW of",50,-16,Lloyd's List (floating abandoned)
1899-07-06,1899,Unknown,W15265,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/07/1899,"51 30 N, 10 14 W",51.5,-10.23333,Lloyd's List
1899-07-21,1899,Unknown,W15266,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/07/1899,"Tuskar, Co Wexford, 20M NE of",NA,NA,NA
1850-02-11,1850,Jane & Ellen,W15267,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/02/1850,unknown,NA,NA,NA
1850-03-04,1850,Francis,W15268,Unknown,We regret that we are unable to supply descriptive details for this record at present.,04/03/1850,Tralee Canal,NA,NA,NA
1850-03-31,1850,Galway Maid (SS),W15269,Unknown,We regret that we are unable to supply descriptive details for this record at present.,31/03/1850,"Balbriggan, 0.25M N of",NA,NA,NA
1849-11-03,1849,Lanthe,W15270,Unknown,We regret that we are unable to supply descriptive details for this record at present.,03/11/1849,"Achill Head, 245 miles WSW of",53,-16,Lloyd's List (Abandoned sinking)
1849-11-04,1849,Unknown,W15271,Brig,We regret that we are unable to supply descriptive details for this record at present.,04/11/1849,"Achill Head, 395 miles W. of",54,-20,Lloyd's List (Abandoned)
1850-04-04,1850,Unknown,W15272,Unknown,We regret that we are unable to supply descriptive details for this record at present.,04/04/1850,"Arthurstown, off",NA,NA,NA
1849-11-19,1849,Unknown,W15273,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/11/1849,"Blacksod Bay, Dunlogh in [Doolough?]",NA,NA,NA
1850-04-17,1850,Lotus,W15274,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/04/1850,Unknown,NA,NA,NA
1850-04-26,1850,Unknown,W15275,Unknown,We regret that we are unable to supply descriptive details for this record at present.,26/04/1850,Unknown,NA,NA,NA
1850-05-12,1850,Josephine,W15276,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/05/1850,"Tralee, Co Kerry",NA,NA,NA
1850-06-19,1850,Mary Jane,W15277,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/06/1850,Belmullet,NA,NA,NA
1850-06-07,1850,Unknown,W15278,Vessel,We regret that we are unable to supply descriptive details for this record at present.,07/06/1850,"Kish Light Ship and Howth, inside",NA,NA,NA
1850-07-04,1850,Rugia,W15279,Unknown,We regret that we are unable to supply descriptive details for this record at present.,04/07/1850,"Douglas Channel, entrance to",NA,NA,NA
NA,NA,Jones,W15280,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Ballingool, near Dungarvan",NA,NA,NA
1849-10-18,1849,Irene,W15281,Unknown,We regret that we are unable to supply descriptive details for this record at present.,18/10/1849,"Cape Clear, c. 325 miles WSW of",51,-17,Lloyd's List (abandoned)
1850-11-21,1850,Carolina Maria,W15282,Brig,We regret that we are unable to supply descriptive details for this record at present.,21/11/1850,Moyne,NA,NA,NA
1849-11-27,1849,Unknown,W15283,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/11/1849,Cruit Island,NA,NA,NA
1850-11-20,1850,Mary,W15284,Schooner,We regret that we are unable to supply descriptive details for this record at present.,20/11/1850,"Bull Head / Cumshole, near Dunquin",NA,NA,NA
1850-11-20,1850,N. Rolbertue,W15285,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/11/1850,Ballybunnion Coast,NA,NA,NA
1850-12-13,1850,Coromandel,W15286,Unknown,We regret that we are unable to supply descriptive details for this record at present.,13/12/1850,Broadhaven Bay,NA,NA,NA
1850-12-13,1850,Albatross,W15287,Unknown,We regret that we are unable to supply descriptive details for this record at present.,13/12/1850,Pigeon House,NA,NA,NA
1850-12-17,1850,Chimera / Cremona,W15288,Schooner,We regret that we are unable to supply descriptive details for this record at present.,17/12/1850,"Tuskar, Co Wexford, off",NA,NA,NA
1849-12-14,1849,Unknown,W15289,Brig,We regret that we are unable to supply descriptive details for this record at present.,14/12/1849,"Power Head, E. of",NA,NA,NA
1850-12-19,1850,Georgiana,W15290,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/12/1850,"Skerries, Co Dublin, on the rocks",NA,NA,NA
1920-10-11,1920,Dinorwic,W15291,Steamship,We regret that we are unable to supply descriptive details for this record at present.,11/10/1920,Spencer Dock,NA,NA,NA
1920-07-10,1920,Sluasad,W15292,Dredger,We regret that we are unable to supply descriptive details for this record at present.,10/07/1920,Irish Sea,NA,NA,NA
1920-11-14,1920,Patrick (SS),W15293,Steamship,We regret that we are unable to supply descriptive details for this record at present.,14/11/1920,Alexandra Basin,NA,NA,NA
1849-12-15,1849,Sarah Blanche (SS),W15294,Steamship,We regret that we are unable to supply descriptive details for this record at present.,15/12/1849,Balbriggan Harbour,NA,NA,NA
1920-01-27,1920,A. Hastings,W15295,Schooner,We regret that we are unable to supply descriptive details for this record at present.,27/01/1920,"Arthurstown, sea wall at",NA,NA,NA
1851-01-16,1851,Wilsons,W15296,Unknown,We regret that we are unable to supply descriptive details for this record at present.,16/01/1851,"Five Mile Point Station, N of",NA,NA,NA
1852-09-18,1852,Phurtpoor,W15297,Unknown,We regret that we are unable to supply descriptive details for this record at present.,18/09/1852,"Tuskar, Co Wexford, 30M NE of",NA,NA,NA
1852-11-25,1852,Atlanta,W15298,Smack,We regret that we are unable to supply descriptive details for this record at present.,25/11/1852,"Drogheda bay, ashore",NA,NA,NA
1852-11-29,1852,Dundalk,W15299,Unknown,We regret that we are unable to supply descriptive details for this record at present.,29/11/1852,"Ballagan Point, Co. Louth",NA,NA,NA
1852-12-06,1852,Wave,W15300,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/12/1852,"Liffey, opposite the Revenue Station",NA,NA,NA
1852-01-14,1852,Grace Wright,W15301,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/01/1852,"Broadhaven, outside the canal",NA,NA,NA
1852-01-21,1852,Sela,W15302,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/01/1852,"Tarbert Roads, Co Kerry, N Shore of",NA,NA,NA
1852-01-21,1852,Nicholas Smirk,W15303,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/01/1852,"Tarbert Roads, Co Kerry, N Shore of",NA,NA,NA
1852-01-27,1852,Fenella (SS),W15304,Steamship,We regret that we are unable to supply descriptive details for this record at present.,27/01/1852,"River Foyle, on a bank 1M below Derry",NA,NA,NA
1852-01-27,1852,Scio,W15305,Brig,We regret that we are unable to supply descriptive details for this record at present.,27/01/1852,Westport (?),NA,NA,NA
1852-02-01,1852,Argyle,W15306,Lifeboat,We regret that we are unable to supply descriptive details for this record at present.,01/02/1852,"Tralee, Barrow Strand",NA,NA,NA
1852-03-06,1852,Vittorioso,W15308,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/03/1852,Unknown,NA,NA,NA
1852-03-19,1852,Victoria,W15309,Unknown,We regret that we are unable to supply descriptive details for this record at present.,19/03/1852,Unknown,NA,NA,NA
1920-01-08,1920,Richard Cobden,W15310,Schooner,We regret that we are unable to supply descriptive details for this record at present.,08/01/1920,"Wyse Point, Dungarvan",NA,NA,NA
1920-01-08,1920,Scoreen (MV),W15311,Motor Fishing Vessel,We regret that we are unable to supply descriptive details for this record at present.,08/01/1920,Rosslare Harbour,NA,NA,NA
1920-01-13,1920,Unknown,W15312,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,13/01/1920,"Duncannon, off",NA,NA,NA
1852-03-27,1852,Gesina,W15313,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/03/1852,"River Lee, Hurleyâs Bank",NA,NA,NA
1852-03-14,1852,Amphitrite,W15314,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/03/1852,"49 N, 14 W",49,-14,Lloyd's List
1920-04-02,1920,St. Finbar (MV),W15315,Motor Fishing Vessel,We regret that we are unable to supply descriptive details for this record at present.,02/04/1920,"Mizen Head, 12 miles NW of",NA,NA,NA
1852-04-25,1852,Jane,W15316,Unknown,We regret that we are unable to supply descriptive details for this record at present.,25/04/1852,"51 N, 13 W",51,-13,Lloydâs List
1920-04-01,1920,Unknown,W15317,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/04/1920,"Cape Clear, c. 163 miles SW of",49.6,-11.86667,Lloyd's List (floating wreck)
1852-06-19,1852,Visitor,W15318,Lifeboat,We regret that we are unable to supply descriptive details for this record at present.,19/06/1852,Dublin Bay (?),NA,NA,NA
NA,NA,Unknown,W15319,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Baltimore, 300 miles W. of",NA,NA,NA
1852-09-20,1852,Lark,W15320,Smack,We regret that we are unable to supply descriptive details for this record at present.,20/09/1852,Lough Foyle Magilligan Point,NA,NA,NA
1852-10-29,1852,Amy Smith,W15322,Barque,We regret that we are unable to supply descriptive details for this record at present.,29/10/1852,Clonakilty bay,NA,NA,NA
1852-10-28,1852,Bridget,W15323,Lighter,We regret that we are unable to supply descriptive details for this record at present.,28/10/1852,"Tralee, Co Kerry",NA,NA,NA
1852-11-13,1852,Corlyana,W15324,Schooner,We regret that we are unable to supply descriptive details for this record at present.,13/11/1852,"Wexford, S Bay",NA,NA,NA
1852-11-17,1852,Gleaner,W15325,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,17/11/1852,Unknown,NA,NA,NA
1852-11-18,1852,Ringmahon Castle,W15326,Unknown,We regret that we are unable to supply descriptive details for this record at present.,18/11/1852,Unknown,NA,NA,NA
1852-12-20,1852,Aid,W15327,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/12/1852,"Youghal, Co Cork, Ferry Point Scoure",NA,NA,NA
1920-04-23,1920,Unknown,W15328,Unknown,We regret that we are unable to supply descriptive details for this record at present.,23/04/1920,"Cape Clear, c. 26-29 miles SSW of",51.03333,-9.61667,Llloyd's List (submerged wreck)
1852-12-16,1852,Royal George,W15329,Smack,We regret that we are unable to supply descriptive details for this record at present.,16/12/1852,Kilfenura,NA,NA,NA
1852-12-27,1852,Aghios Nicholas,W15330,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/12/1852,Begh Castle,NA,NA,NA
1852-12-27,1852,Marigo,W15331,Unknown,We regret that we are unable to supply descriptive details for this record at present.,27/12/1852,Grass island,NA,NA,NA
1920-05-14,1920,Unknown,W15332,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/05/1920,"Hook Tower Lighthouse, 1 1/2 cables 234Âº (s. 72Âº W., Mag.) from",NA,NA,NA
1853-02-06,1853,Barrowgate,W15333,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/02/1853,"Soldierâs Point, Co Louth",NA,NA,NA
1853-04-09,1853,Science,W15334,Unknown,We regret that we are unable to supply descriptive details for this record at present.,09/04/1853,"Soldierâs Point, Co Louth",NA,NA,NA
1853-04-21,1853,Sailorâs Home,W15335,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/04/1853,Unknown,NA,NA,NA
1920-07-23,1920,Unknown,W15336,Unknown,We regret that we are unable to supply descriptive details for this record at present.,23/07/1920,Tralee Bay,NA,NA,NA
NA,NA,Columbus,W15337,Unknown,We regret that we are unable to supply descriptive details for this record at present.,Unknown,"Wicklow Bay, Co Wicklow",NA,NA,NA
1920-08-11,1920,Unknown,W15338,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/08/1920,"Cape Clear, c. 330 miles WSW of",NA,NA,Lloyd's List (submerged wreck)
1853-11-06,1853,Dorothea,W15339,Lifeboat,We regret that we are unable to supply descriptive details for this record at present.,06/11/1853,Unknown,NA,NA,NA
1853-12-14,1853,Bahasse,W15340,Unknown,We regret that we are unable to supply descriptive details for this record at present.,14/12/1853,Liffey,NA,NA,NA
1920-08-12,1920,Unknown,W15341,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/08/1920,"Cape Clear, c. 285 miles SW of",49.16667,-14.86667,Lloyd's List (floating wreckage)
1920-10-03,1920,Unknown,W15342,Yacht,We regret that we are unable to supply descriptive details for this record at present.,03/10/1920,"Baths Quay, Cobh Harbour, near",NA,NA,NA
1853-10-09,1853,Hatty Huntington,W15343,Unknown,We regret that we are unable to supply descriptive details for this record at present.,09/10/1853,Bloody Foreland,NA,NA,NA
1920-10-03,1920,Unknown,W15344,Yacht,We regret that we are unable to supply descriptive details for this record at present.,03/10/1920,"Baths Quay, Cobh Harbour, near",NA,NA,NA
1853-10-20,1853,Chapman,W15345,Unknown,We regret that we are unable to supply descriptive details for this record at present.,20/10/1853,Unknown,NA,NA,NA
1920-10-03,1920,Unknown,W15346,Yacht,We regret that we are unable to supply descriptive details for this record at present.,03/10/1920,"Baths Quay, Cobh Harbour, near",NA,NA,NA
1920-10-03,1920,Unknown,W15348,Boat,We regret that we are unable to supply descriptive details for this record at present.,03/10/1920,"Cobh, coast near",NA,NA,NA
1893-11-05,1893,Nerio,W15349,Unknown,We regret that we are unable to supply descriptive details for this record at present.,05/11/1893,"Ballytreat Strand, Co Wexford",NA,NA,NA
1920-10-07,1920,Unknown,W15350,Unknown,We regret that we are unable to supply descriptive details for this record at present.,07/10/1920,"Cape Clear, c. 260 miles SW of",49.41667,-14.48333,Lloyd's List (floating wreck)
1853-11-07,1853,Mooresfort,W15351,Unknown,We regret that we are unable to supply descriptive details for this record at present.,07/11/1853,"Golen, near Crookhaven",NA,NA,NA
1853-11-12,1853,Duke of Cornwall,W15352,Unknown,We regret that we are unable to supply descriptive details for this record at present.,12/11/1853,"Saltees, off",NA,NA,NA
1853-11-24,1853,Independence,W15353,Smack,We regret that we are unable to supply descriptive details for this record at present.,24/11/1853,"Tralee, on the banks",NA,NA,NA
1853-12-19,1853,Caravnne,W15354,Barque,We regret that we are unable to supply descriptive details for this record at present.,19/12/1853,Balleyneskar,NA,NA,NA
1920-10-12,1920,Spree (MV),W15355,Motor Fishing Vessel,We regret that we are unable to supply descriptive details for this record at present.,12/10/1920,Valentia Harbour,NA,NA,NA
1853-12-21,1853,Agnes,W15356,Ship,We regret that we are unable to supply descriptive details for this record at present.,21/12/1853,Greenore Point,NA,NA,NA
1920-11-01,1920,Unknown,W15357,Unknown,We regret that we are unable to supply descriptive details for this record at present.,01/11/1920,"Cape Clear, c. 255 miles SW of",50.31667,-15,Lloyd's List (floating wreck)
1853-12-23,1853,Leonara,W15358,Bark,We regret that we are unable to supply descriptive details for this record at present.,23/12/1853,Unknown,NA,NA,NA
1920-11-06,1920,Unknown,W15359,Unknown,We regret that we are unable to supply descriptive details for this record at present.,06/11/1920,"Cape Clear, c. 225 miles SW of",49.41667,-13.51667,Lloyd's List (floating wreck)
