medal,beer_name,brewery,city,state,category,year
Silver,Rodeo Stout,Idle Spur,Crested Butte,CO,Specialty Stouts,1996
Gold,Imperial Stout,Valley Forge Brewing Co.,Wayne,PA,Strong Ale,1996
Silver,Jeremiah Red,Chicago Pizza/BJ's Brewery,Chandler,AZ,Strong Ale,1996
Bronze,Auld Lang Syne Holiday Ale,Coast Range Brewing Co.,Gilroy,CA,Strong Ale,1996
Gold,English Extra Special Bitter,Blind Pig Brewing Co.,Temecula,CA,Traditional English Style Bitter,1996
Bronze,Belk's Extra Special Bitter,Anderson Valley Brewing Co.,Boonville,CA,Traditional English Style Bitter,1996
Gold,Alaskan Autumn Ale,Alaskan Brewing and Bottling Co.,Juneau,AK,American Amber Ale,1995
Bronze,Boont Amber Ale,Anderson Valley Brewing Co.,Boonville,CA,American Amber Ale,1995
Silver,Oregon Trail Brown Ale,Oregon Trail Brewery,Corvallis,OR,American Brown Ale,1995
Gold,Red Dog,Miller Brewing Co.,Milwaukee,WI,American Lager,1995
Silver,Old Style Lager,G. Heileman Brewing Co.,San Antonio,TX,American Lager,1995
Bronze,Original Coors,Coors Brewing Co.,Golden,CO,American Lager,1995
Gold,Liebotschaner Cream Ale,Lion Brewery Inc (The),Wilkes-Barre,PA,American Lager / Ale Or Cream Ale,1995
Silver,Yellow Rose Cream Ale,Hoffbrau Steaks Brewery,Dallas,TX,American Lager / Ale Or Cream Ale,1995
Bronze,Genesee Cream Ale,Genesee/High Falls Brewing,Rochester,NY,American Lager / Ale Or Cream Ale,1995
Gold,Pabst Genuine Draft Light,Pabst Brewing Co.,San Antonio,TX,American Light Lager,1995
Silver,Bud Light,"Anheuser-Busch, Inc",Saint Louis,MO,American Light Lager,1995
Gold,Olde English 800,Pabst Brewing Co.,San Antonio,TX,American Malt Liquor,1995
Silver,Schlitz Malt Liquor,Stroh Brewery Co. (The),Milwaukee,WI,American Malt Liquor,1995
Bronze,Laser,Stroh Brewery Co. (The),Milwaukee,WI,American Malt Liquor,1995
Silver,Snake River Pale Ale,Snake River Brewing Co.,Jackson,WY,American Pale Ale,1995
Bronze,Post Road Pale Ale,Old Marlborough Brewing Co.,Framingham,MA,American Pale Ale,1995
Gold,Budweiser,"Anheuser-Busch, Inc",Saint Louis,MO,American Premium Lager,1995
Silver,Point Special,Barton Beers Ltd,Chicago,IL,American Premium Lager,1995
Bronze,Pearl Premium Lager,Pearl Brewing Co.,Milwaukee,WI,American Premium Lager,1995
Silver,Rainier Ice,G. Heileman Brewing Co.,San Antonio,TX,American Specialty Lager,1995
Bronze,Colt Ice,G. Heileman Brewing Co.,San Antonio,TX,American Specialty Lager,1995
Gold,Denver Mountain Wheat,Breckenridge Brewery,Denver,CO,American Wheat Ale Or Lager,1995
Silver,Saranac Golden,F.X. Matt Brewing Co.,Utica,NY,American Wheat Ale Or Lager,1995
Gold,Bigfoot Barleywine Style Ale,Sierra Nevada Brewing Co.,Chico,CA,Barley Wine,1995
Bronze,Old Foghorn Barleywine,Anchor Brewing Co.,San Francisco,CA,Barley Wine,1995
Gold,Belgian Triple,Pacific Coast Brewing Co.,Oakland,CA,Belgian-Style Ales,1995
Bronze,Belgian Amber Framboise,Cottonwood Brewery,Boone,NC,Belgian-Style Specialty Ales,1995
Gold,Kolsch,Stoddard's Brewhouse & Eatery,Sunnyvale,CA,Blonde Ale,1995
Bronze,Brewers Golden,Sioux Falls Brewing Co.,Sioux Falls,SD,Blonde Ale,1995
Gold,DeGroen's Doppelbock,Baltimore Brewing Co.,Baltimore,MD,Bock,1995
Silver,Porter,Stoddard's Brewhouse & Eatery,Sunnyvale,CA,Brown Porter,1995
Bronze,Saranac Pale Ale,F.X. Matt Brewing Co.,Utica,NY,Classic English Style Pale Ale,1995
Gold,Red Wolf,"Anheuser-Busch, Inc",Saint Louis,MO,Dark Lager,1995
Bronze,Pigs Eye Red Amber Ale,Minnesota Brewing,Saint Paul,MN,Dark Lager,1995
Gold,Snake River Zonker Stout,Snake River Brewing Co.,Jackson,WY,Dry Stouts,1995
Gold,Finn MacCool Irish Red,Irish Times Pub & Brewery,Palm Beach,FL,English-Style Brown Ale,1995
Silver,Irish Red,Crooked River Brewing Co.,Cleveland,OH,English-Style Brown Ale,1995
Gold,Hubsch Pilsner,Sudwerk Privatbrauerei Hubsch,Davis,CA,European-Style Pilsener,1995
Silver,Peerless Pilsner,Great Lakes Brewing Co/Ohio,Cleveland,OH,European-Style Pilsener,1995
Bronze,Stoudt's Pils,Stoudt's Brewing Co.,Adamstown,PA,European-Style Pilsener,1995
Silver,Razz Wheat,Oaken Barrel Brewing Co.,Greenwood,IN,Fruit Beer,1995
Bronze,Royal Raspberry Ale,75th Street Brewery,Kansas City,MO,Fruit Beer,1995
Gold,Dusseldorfer Altbier,McNeill's Brewery,Brattleboro,VT,German-Style Brown / Dusseldorf-Style Altbier,1995
Silver,Hornet Tail Ale,"Mill Brewery, Eatery & Bakery",Orlando,FL,German-Style Brown / Dusseldorf-Style Altbier,1995
Bronze,Wild Horse Ale,Great Basin Brewing Co.,Sparks,NV,German-Style Brown / Dusseldorf-Style Altbier,1995
Gold,Heavenly Hefeweizen,Heavenly Daze Brewery & Grill,Denver,CO,German-Style Wheat Ale,1995
Silver,Wild Pitch Hefeweizen,Sandlot Brewery at Coors Field,Denver,CO,German-Style Wheat Ale,1995
Bronze,Empire Hefeweizen,Empire Brewing Co.,North Syracuse,NY,German-Style Wheat Ale,1995
Gold,Artic Wheat,Mountain Sun Pub and Brewery,Boulder,CO,Herb / Spice Beers,1995
Bronze,Amber Wit,Spring Street Brewing Co.,Avon,CT,Herb / Spice Beers,1995
Gold,Big D's Vail Pale Ale,Hubcap Brewery &amp; Kitchen - Dallas,Vail,CO,India Pale Ale,1995
Silver,Columbus IPA,Pacific Coast Brewing Co.,Oakland,CA,India Pale Ale,1995
Bronze,Wet Mountain India Pale Ale,Il Vicino Brewing Co.,Albuquerque,NM,India Pale Ale,1995
Gold,Three Finger Jack Amber,Saxer Brewing Co.,Lake Oswego,OR,Marzen / Oktoberfeset,1995
Silver,Octoberfest,Capital Brewery Co. Inc,Middleton,WI,Marzen / Oktoberfeset,1995
Bronze,Samuel Adams Octoberfest,Boston Beer Co.,Boston,MA,Marzen / Oktoberfeset,1995
Silver,Berghoff Original Lager Beer,Berghoff-Huber Brewing Co.,Monroe,WI,Munchener Helles And Export,1995
Bronze,Zeppelin,Liberty Street Brewing Co.,Akron,OH,Munchener Helles And Export,1995
Bronze,Old Milwaukee NA,Stroh Brewery Co. (The),Milwaukee,WI,Non-Alcoholic Malt Beverage,1995
Gold,Black Jack Porter,Left Hand/Tabernash Brewing,Longmont,CO,Robust Porter,1995
Silver,Black Silk,Liberty Street Brewing Co.,Akron,OH,Robust Porter,1995
Bronze,Pt. Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,1995
Bronze,Rightfield Red Ale,Sandlot Brewery at Coors Field,Denver,CO,Scottish-Style Ales,1995
Gold,Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke-Flavored Beers,1995
Silver,Smoked Chocolate Porter,Rhino Chasers,Culver City,CA,Smoke-Flavored Beers,1995
Bronze,Zebulon's Peated Porter,Phantom Canyon Brewing Co.,Colorado Springs,CO,Smoke-Flavored Beers,1995
Gold,Seabright Oatmeal Stout,Seabright Brewery,Santa Cruz,CA,Specialty Stouts,1995
Silver,Steamboat Stout,Marin Brewing Co.,Larkspur,CA,Specialty Stouts,1995
Bronze,Farmer Jon's Oatmeal Stout,Heartland Brewing Co.,New York,NY,Specialty Stouts,1995
Gold,Belk's Extra Special Bitter Ale,Anderson Valley Brewing Co.,Boonville,CA,Traditional English Style Bitter,1995
Bronze,Wild River ESB,Southern Oregon And Pacific,Medford,OR,Traditional English Style Bitter,1995
Silver,Samuel Houston's Austin Lager,Waterloo Brewing Co.,Austin,TX,Vienna Lager,1995
Bronze,Michael Shea's Irish Amber,High Falls Brewing Co.,Rochester,NY,Vienna Lager,1995
Gold,Sea Dog Oktoberfest,Sea Dog Brewing Co. (No 2),Bangor,ME,Amber Lager,1994
Silver,Rhino Chasers Dark Lager,Rhino Chasers,Culver City,CA,Amber Lager,1994
Bronze,Texfest,Hubcap Brewery & Kitchen - Dallas,Vail,CO,Amber Lager,1994
Gold,Alaskan Autumn Ale,Alaskan Brewing and Bottling Co.,Juneau,AK,American Amber Ale,1994
Bronze,DeLazeaga Red Ale,Seabright Brewery,Santa Cruz,CA,American Amber Ale,1994
Silver,Oregon Trail Brown Ale,Oregon Trail Brewery,Corvallis,OR,American Brown Ale,1994
Bronze,Tut Brown Ale,Oasis Brewery And Restaurant,Boulder,CO,American Brown Ale,1994
Gold,Lite Ice Miller,Miller Brewing Co.,Milwaukee,WI,American Dry Lager,1994
Silver,Olympia Dry,Pabst Brewing Co.,San Antonio,TX,American Dry Lager,1994
Gold,Grain Belt Premium,Minnesota Brewing,Minneapolis,MN,American Lager,1994
Gold,Liebotschaner Cream Ale,Lion Brewery Inc (The),Wilkes-Barre,PA,American Lager/Ale Cream Ale,1994
Silver,Genesee Cream Ale,Genesee/High Falls Brewing,Rochester,NY,American Lager/Ale Cream Ale,1994
Bronze,Scrimshaw Beer,North Coast Brewing Co. Inc,Ft. Bragg,CA,American Lager/Ale Cream Ale,1994
Gold,Pabst Genuine Draft Light,Pabst Brewing Co.,San Antonio,TX,American Light Lager,1994
Silver,I.C. Light,Pittsburgh Brewing Co,Pittsburgh,PA,American Light Lager,1994
Bronze,Ice-Draft Light,"Anheuser-Busch, Inc",Saint Louis,MO,American Light Lager,1994
Gold,Olde English 800,Pabst Brewing Co.,San Antonio,TX,American Malt Liquor,1994
Silver,Pigs Eye ICE,Minnesota Brewing,Minneapolis,MN,American Malt Liquor,1994
Bronze,Colt Ice,G. Heileman Brewing Co.,San Antonio,TX,American Malt Liquor,1994
Gold,Mirror Pond Pale Ale,Deschutes Brewery (No 2),Bend,OR,American Pale Ale,1994
Silver,Pier Pale Ale,Huntington Beach Beer Co.,Huntington Beach,CA,American Pale Ale,1994
Bronze,Post Road Pale Ale,Old Marlborough Brewing Co.,Framingham,MA,American Pale Ale,1994
Gold,1857,Lion Brewery Inc (The),Wilkes-Barre,PA,American Premium Lager,1994
Silver,Signature,Stroh Brewery Co. (The),Milwaukee,WI,American Premium Lager,1994
Bronze,Budweiser,"Anheuser-Busch, Inc",Saint Louis,MO,American Premium Lager,1994
Gold,Calistoga Wheat Ale,Napa Valley Brewing Co.,Calistoga,CA,American Wheat Ale Or Lager,1994
Silver,Whitewater Wheat Ale,Great Divide Brewing Co.,Denver,CO,American Wheat Ale Or Lager,1994
Bronze,Weizenbier,Coors Brewing Co.,Golden,CO,American Wheat Ale Or Lager,1994
Silver,White Lightnin',Bardo Rodeo,Arlington,VA,Barley Wine,1994
Gold,Belgian Strong Ale,Pacific Beach Brewhouse,Pacific Beach,CA,Belgian Style Ale,1994
Silver,Celis White,Celis Brewery Inc,Austin,TX,Belgian Style Ale,1994
Bronze,Belgian Triple,Pacific Coast Brewing Co.,Oakland,CA,Belgian Style Ale,1994
Bronze,Big Nose Blond,McNeill's Brewery,Denver,CO,Blonde Ale,1994
Gold,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,Bock,1994
Silver,DeGroen's Dopplebock,Baltimore Brewing Co.,Baltimore,MD,Bock,1994
Bronze,Mai-bock,Stoudt's Brewing Co.,Adamstown,PA,Bock,1994
Gold,El Toro Oro Golden Ale,El Toro Brewing Co.,Morgan Hill,CA,Classic English Pale Ale,1994
Gold,Hefe Dunkel,Saxer Brewing Co.,Lake Oswego,OR,Dark Lager,1994
Bronze,Denargo Lager,Left Hand/Tabernash Brewing,Longmont,CO,Dark Lager,1994
Gold,Out Of Bounds Stout,Avery Brewing Co.,Boulder,CO,Dry Stouts,1994
Silver,Zonker Stout,Snake River Brewing Co.,Jackson,WY,Dry Stouts,1994
Gold,Alt,Butterfield Brewing Co.,Fresno,CA,Dusseldorf Style Altbier,1994
Silver,Centennial Alt,Slesar Bros. Brewing Co.,Boston,MA,Dusseldorf Style Altbier,1994
Gold,Saras Brown Ale,Yegua Creek Brewing Co.,San Antonio,TX,English Brown Ale,1994
Silver,Ironwood Dark,Redwood Coast Brewing Co.,Santa Cruz,CA,English Brown Ale,1994
Bronze,Holy Cow! Red Ale,Holy Cow!,Las Vegas,NV,English Brown Ale,1994
Gold,Pilsener,Stoudt's Brewing Co.,Adamstown,PA,European Pilsner,1994
Silver,Friesian Pilsner,Leavenworth Brewery,Leavenworth,WA,European Pilsner,1994
Bronze,Condor Lager,Ironworks Pub,Lakewood,CO,European Pilsner,1994
Gold,Pyramid Apricot Ale,"Hart Brewing, Inc",Seattle,WA,"Fruit, Vegetable",1994
Silver,Passion Pale,Tied House Cafe & Brewery,Mountain View,CA,"Fruit, Vegetable",1994
Bronze,Brewberry Pale,Pacific Brewing Co.,San Rafael,CA,"Fruit, Vegetable",1994
Gold,Tabernash Weiss,Left Hand/Tabernash Brewing,Longmont,CO,German Wheat Ale,1994
Silver,DeGroen's Weizen Bock,Baltimore Brewing Co.,Baltimore,MD,German Wheat Ale,1994
Bronze,Heavenly Hefe Weizen,Heavenly Daze Brewery & Grill,Denver,CO,German Wheat Ale,1994
Bronze,Yule-Tied,Redwood Coast Brewing Co.,Santa Cruz,CA,"Herb, Spice",1994
Silver,Sierra Nevada Celebration Ale,Sierra Nevada Brewing Co.,Chico,CA,India Pale Ale,1994
Gold,Hubsch Lager,Sudwerk Privatbrauerei Hubsch,Davis,CA,Munchener Helles And Export,1994
Silver,Export Gold,Stoudt's Brewing Co.,Adamstown,PA,Munchener Helles And Export,1994
Silver,O'Doul's,"Anheuser-Busch, Inc",Saint Louis,MO,Non-Alcoholic Malt Beverage,1994
Bronze,Keene's NA,Pittsburgh Brewing Co,Pittsburgh,PA,Non-Alcoholic Malt Beverage,1994
Gold,Mountain Valley Porter,Mountain Valley Brew Pub,Suffern,NY,Porter,1994
Silver,Noah's Dark,Pacific Brewing Co.,San Rafael,CA,Porter,1994
Bronze,Black Jack Porter,Left Hand/Tabernash Brewing,Longmont,CO,Porter,1994
Gold,Victoria Ave Amber Ale,Riverside Brewing Co.,Riverside,CA,Scottish Ales,1994
Silver,Steamboat Scottish,Heavenly Daze Brewery & Grill,Denver,CO,Scottish Ales,1994
Bronze,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish Ales,1994
Gold,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke Flavored Beers,1994
Silver,Zebulon's Peated Porter,Phantom Canyon Brewing Co.,Colorado Springs,CO,Smoke Flavored Beers,1994
Gold,Honey Ale,Gray Brewing Co.,Janesville,WI,Specialty,1994
Bronze,Rye Bock,Steelhead Brewery & Cafe,Eugene,OR,Specialty,1994
Gold,Oatmeal Stout,Gray Brewing Co.,Janesville,WI,Specialty Stouts,1994
Gold,Belk's Extra Special Bitter,Anderson Valley Brewing Co.,Boonville,CA,Strong Ale,1994
Silver,Untouchable Scotch Ale,Martha's Exchange,Nashua,NH,Strong Ale,1994
Bronze,Mogul Madness,Rogue Ales,Newport,OR,Strong Ale,1994
Gold,Sawtooth Ale,Left Hand/Tabernash Brewing,Longmont,CO,Traditional Bitter,1994
Silver,Four Horsemen Ale,Mishawaka Brewing Co.,Mishawaka,IN,Traditional Bitter,1994
Gold,Old Elk Brown Ale,Rock Bottom Breweries,Boulder,CO,"Ale, American Brown Ale",1993
Silver,Butterfield Brewing Co,Butterfield Brewing Co.,Fresno,CA,"Ale, American Brown Ale",1993
Bronze,Downtown Brown,Lost Coast Brewery and CafC3=A9,Eureka,CA,"Ale, American Brown Ale",1993
Silver,Red Nectar,Humboldt Brewery,Arcata,CA,"Ale, American Pale/Amber Ale",1993
Bronze,Red Fox,Heritage Brewing Co.,Dana Point,CA,"Ale, American Pale/Amber Ale",1993
Gold,Old Crustacean,Rogue Ales,Newport,OR,"Ale, Barley Wine",1993
Silver,Old Bawdy Barley Wine,Pike Brewing Co.,Seattle,WA,"Ale, Barley Wine",1993
Bronze,Old Wooly,Big Time Brewing Co.,Seattle,WA,"Ale, Barley Wine",1993
Gold,Prime Ale,Big Time Brewing Co.,Seattle,WA,"Ale, Blonde Ale",1993
Silver,Alpine Pearl Ale,Redwood Coast Brewing Co.,Santa Cruz,CA,"Ale, Blonde Ale",1993
Bronze,Alaskan Pale Ale,Alaskan Brewing and Bottling Co.,Juneau,AK,"Ale, Blonde Ale",1993
Gold,Holy Cow! Pale Ale,Holy Cow!,Las Vegas,NV,"Ale, Classic English Pale Ale",1993
Silver,Burning River Ale,Great Lakes Brewing Co/Ohio,Cleveland,OH,"Ale, Classic English Pale Ale",1993
Gold,Ugly Dog Stout,Dempsey's Ale House/Sonoma Brewing,Petaluma,CA,"Ale, Dry Stout",1993
Silver,Old No. 38 Stout,North Coast Brewing Co. Inc,Ft. Bragg,CA,"Ale, Dry Stout",1993
Bronze,Ryan's Irish Stout,Jones Street Brewery,Omaha,NE,"Ale, Dry Stout",1993
Silver,Bond Street Brown Ale,Deschutes Brewery,Bend,OR,"Ale, English Brown Ale",1993
Bronze,Bison Brown Ale,Coyote Springs Brewing Co.,Phoenix,AZ,"Ale, English Brown Ale",1993
Gold,Renegade Red,Estes Park Brewery,Estes Park,CO,"Ale, India Pale Ale",1993
Silver,Liberty Ale,Anchor Brewing Co.,San Francisco,CA,"Ale, India Pale Ale",1993
Bronze,Punjabi Pale Ale,CooperSmith's Pub,Fort Collins,CO,"Ale, India Pale Ale",1993
Gold,Edmund Fitzgerald Porter,Great Lakes Brewing Co/Ohio,Cleveland,OH,"Ale, Porter",1993
Silver,Pt. Reyes Porter,Marin Brewing Co.,Larkspur,CA,"Ale, Porter",1993
Bronze,Tower Dark Ale,Butterfield Brewing Co.,Fresno,CA,"Ale, Porter",1993
Gold,Wringley Red,Rockies Brewing Co.,Boulder,CO,"Ale, Scottish Ale",1993
Silver,Golden Gate Red Ale,Golden Pacific Brewing Co.,Berkeley,CA,"Ale, Scottish Ale",1993
Bronze,Sonoma Irish Ale,Dempsey's Ale House/Sonoma Brewing,Petaluma,CA,"Ale, Scottish Ale",1993
Silver,Imperial Stout,Pacific Coast Brewing Co.,Oakland,CA,"Ale, Strong Ale",1993
Bronze,Steelhead Snug Harbor Old Ale,Wild River Brewing,Grants Pass,OR,"Ale, Strong Ale",1993
Gold,Seabright Oatmeal Stout,Seabright Brewery,Santa Cruz,CA,"Ale, Sweet Stout",1993
Silver,Boulder Amber,Rockies Brewing Co.,Boulder,CO,"Ale, Traditional Bitter",1993
Gold,Old West Amber,Flying Aces Brewing Co.,Orlando,FL,"Lager, Amber Lager",1993
Silver,Samuel Adams Octoberfest,Boston Beer Co.,Boston,MA,"Lager, Amber Lager",1993
Bronze,Rhomberg Classic Amber,Rhomberg Brewing Co.,Dubuque,IA,"Lager, Amber Lager",1993
Gold,Olympia Dry,Pabst Brewing Co.,San Antonio,TX,"Lager, American Dry Lager",1993
Silver,Esquire Extra Dry,Jones Brewing Co.,Smithton,PA,"Lager, American Dry Lager",1993
Gold,Dummond Bros.,Evansville Brewing Co.,Evansville,IN,"Lager, American Lager",1993
Silver,Lone Star,Lone Star Brewing Co.,San Antonio,TX,"Lager, American Lager",1993
Silver,Lone Star Light,Lone Star Brewing Co.,San Antonio,TX,"Lager, American Light Lager",1993
Bronze,Brewski Brew Pub Light,Brewski Brewing Co.,Hermosa Beach,CA,"Lager, American Light Lager",1993
Gold,Mickey's Malt Liquor,G. Heileman Brewing Co.,San Antonio,TX,"Lager, American Malt Liquor",1993
Silver,Magnum,Miller Brewing Co.,Milwaukee,WI,"Lager, American Malt Liquor",1993
Bronze,King Cobra,"Anheuser-Busch, Inc",Saint Louis,MO,"Lager, American Malt Liquor",1993
Gold,Leinenkugel's Limited,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,"Lager, American Premium Lager",1993
Silver,Budweiser,"Anheuser-Busch, Inc",Saint Louis,MO,"Lager, American Premium Lager",1993
Bronze,Point Special,Barton Beers Ltd,Chicago,IL,"Lager, American Premium Lager",1993
Silver,Bock,Stoudt's Brewing Co.,Adamstown,PA,"Lager, Bock",1993
Bronze,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,"Lager, Bock",1993
Gold,Lowenbrau Dark,Miller Brewing Co.,Milwaukee,WI,"Lager, Dark Lager",1993
Silver,Berghoff Dark,Joseph Huber Brewing Co.,Monroe,WI,"Lager, Dark Lager",1993
Gold,Penn Light Lager,Pennsylvania Brewing Co.,Pittsburgh,PA,"Lager, Munchner Helles & Dortmunder Export",1993
Silver,Los Gatos Lager,Los Gatos Brewing Co.,Los Gatos,CA,"Lager, Munchner Helles & Dortmunder Export",1993
Gold,Country Cream Ale,Lonetree Brewing Ltd,Denver,CO,"Mixed, American Lager-Ale/Cream Ale",1993
Bronze,McMahon's Potato Ale,Minnesota Brewing,Saint Paul,MN,"Mixed, American Lager-Ale/Cream Ale",1993
Gold,Easy Street Wheat,Odell Brewing Co.,Fort Collins,CO,"Mixed, American Wheat",1993
Silver,Whistlepin Wheat,H.C. Berger Brewing,Fort Collins,CO,"Mixed, American Wheat",1993
Bronze,Marin Hefe Weiss,Marin Brewing Co.,Larkspur,CA,"Mixed, American Wheat",1993
Gold,Atlantic Amber,New England Brewing Co.,Woodbridge,CT,"Mixed, Dusseldorf Altbier",1993
Silver,Rhino Chasers,Rhino Chasers,Culver City,CA,"Mixed, Dusseldorf Altbier",1993
Bronze,Alt Nouveau,North Coast Brewing Co. Inc,Ft. Bragg,CA,"Mixed, Dusseldorf Altbier",1993
Gold,Pilsener,Stoudt's Brewing Co.,Adamstown,PA,"Mixed, European Pilsener",1993
Silver,Huebsch Braue Pilsner,Sudwerk Privatbrauerei Hubsch,Davis,CA,"Mixed, European Pilsener",1993
Bronze,Golden Spike Pilsner,Riverside Brewing Co.,Riverside,CA,"Mixed, European Pilsener",1993
Gold,Bluebeery Ale,Marin Brewing Co.,Larkspur,CA,"Mixed, Fruit, Vegetable",1993
Silver,Passion Pale,Redwood Coast Brewing Co.,Santa Cruz,CA,"Mixed, Fruit, Vegetable",1993
Gold,Heavenly Hefe Weizen,Heavenly Daze Brewery & Grill,Denver,CO,"Mixed, German Wheat",1993
Silver,August Schell Weizen,August Schell Brewing Co.,New Ulm,MN,"Mixed, German Wheat",1993
Bronze,HOPS! Hefe-Weizen,HOPS! Bistro & Brewery,Scottsdale,AZ,"Mixed, German Wheat",1993
Gold,Celis White,Celis Brewery Inc,Austin,TX,"Mixed, Herb, Spice",1993
Silver,Yuletide Ale,Louisiana Jack's,Louisville,KY,"Mixed, Herb, Spice",1993
Bronze,Our Special Ale,Anchor Brewing Co.,San Francisco,CA,"Mixed, Herb, Spice",1993
Silver,O'Doul's,"Anheuser-Busch, Inc",Saint Louis,MO,"Mixed, Non-Alcoholic",1993
Bronze,Pabst Non-Alcoholic,Pabst Brewing Co.,San Antonio,TX,"Mixed, Non-Alcoholic",1993
Gold,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,Ak,"Mixed, Smoke Flavored",1993
Silver,Welkommen,Rogue Ales,Newport,OR,"Mixed, Smoke Flavored",1993
Gold,Abbey Trappist-Style Ale,New Belgium Brewing Co.,Fort Collins,CO,"Mixed, Specialty",1993
Gold,Pete's Wicked Ale,Pete's Brewing Co.,San Antonio,TX,American Brown Ales,1992
Silver,Oktoberfest Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,American Brown Ales,1992
Silver,Olympia Dry,Pabst Brewing Co.,San Antonio,TX,American Dry Lager,1992
Gold,Schlitz,Stroh Brewery Co. (The),Milwaukee,WI,American Lager,1992
Silver,Hamm's,Pabst Brewing Co.,San Antonio,TX,American Lager,1992
Bronze,Stoney's Beer,Jones Brewing Co.,Smithton,PA,American Lager,1992
Gold,Scrimshaw Beer,North Coast Brewing Co. Inc,Ft. Bragg,CA,American Lager-Ale/Cream Ale,1992
Silver,Dock Street Cream Ale,Dock Street Brewing Co.,Philadelphia,PA,American Lager-Ale/Cream Ale,1992
Bronze,Little Kings Cream Ale,Hudepohl-Schoenling Brewing Co.,Cleveland,OH,American Lager-Ale/Cream Ale,1992
Gold,Michelob Light,"Anheuser-Busch, Inc",Saint Louis,MO,American Light Lager,1992
Silver,Busch Light,"Anheuser-Busch, Inc",Saint Louis,MO,American Light Lager,1992
Bronze,Bud Light,"Anheuser-Busch, Inc",Saint Louis,MO,American Light Lager,1992
Gold,Olde English 800 Malt Liquor,Pabst Brewing Co.,San Antonio,TX,American Malt Liquor,1992
Bronze,Colt 45 Malt Liquor,G. Heileman Brewing Co.,San Antonio,TX,American Malt Liquor,1992
Gold,McTarnahan's Ale,Portland Brewing Co. (No 2),Portland,OR,American Pale/Amber Ale,1992
Bronze,Albermarle Ale,Dilworth Micro Brewery,Charlotte,NC,American Pale/Amber Ale,1992
Gold,Lowenbrau Special,Miller Brewing Co.,Milwaukee,WI,American Premium Lager,1992
Silver,Geniune Draft,Miller Brewing Co.,Milwaukee,WI,American Premium Lager,1992
Bronze,Signature,Stroh Brewery Co. (The),Milwaukee,WI,American Premium Lager,1992
Gold,Marin Hefe Weiss,Marin Brewing Co.,Larkspur,CA,American Wheat,1992
Silver,Old Crustacean,Rogue Ales,Newport,OR,Barley Wine,1992
Bronze,Old Bawdy Barleywine,Pike Brewing Co.,Seattle,WA,Barley Wine,1992
Gold,Prime Time,Big Time Brewing Co.,Seattle,WA,Blonde Ale,1992
Silver,Alpine Pearl Pale,Redwood Coast Brewing Co.,Santa Cruz,CA,Blonde Ale,1992
Bronze,Bicentennial Ale,Long Trail Brewing Co.,Bridgewater Corners,VT,Blonde Ale,1992
Gold,Frankenmuth German Style Bock,Frankenmuth Brewery Inc,Frankenmuth,MI,Bock,1992
Silver,Mai Bock,Stoudt's Brewing Co.,Adamstown,PA,Bock,1992
Silver,Lowenbrau Dark,Miller Brewing Co.,Milwaukee,WI,Dark Lager,1992
Bronze,Neuweiler Black & Tan,Neuweiler Brewing Co. Inc,Allentown,PA,Dark Lager,1992
Silver,Dallas Rainbow Trout Stout,Hubcap Brewery & Kitchen,Dallas,TX,Dry Stout,1992
Bronze,Old No. 38 Stout,North Coast Brewing Co. Inc,Ft. Bragg,CA,Dry Stout,1992
Gold,Samuel Adams Boston Stock Ale,Boston Beer Co.,Boston,MA,Dusseldorf Altbier,1992
Gold,PMD Mild Ale,Goose Island Beer Co.,Chicago,IL,English Brown Ale,1992
Silver,Steelhead Nut Brown Ale,Wild River Brewing,Grants Pass,OR,English Brown Ale,1992
Bronze,Bond Street Brown Ale,Deschutes Brewery (No 2),Bend,OR,English Brown Ale,1992
Gold,Passion Pale,Redwood Coast Brewing Co.,Santa Cruz,CA,"Fruit, Vegetable",1992
Silver,Woodruff Ale,San Andreas Brewing Co.,Hollister,CA,"Fruit, Vegetable",1992
Bronze,Sangre De Frambuesa,Santa Fe Brewing Co.,Santa Fe,NM,"Fruit, Vegetable",1992
Gold,Hops! Hefe-weizen,Hops Bistro & Brewery,Scottsdale,AZ,German Wheat,1992
Silver,Samuel Adams Dunkelweizen,Boston Beer Co.,Boston,MA,German Wheat,1992
Gold,Celis White,Celis Brewery Inc,Austin,TX,"Herb, Spice",1992
Silver,Our Special Ale,Anchor Brewing Co.,San Francisco,CA,"Herb, Spice",1992
Bronze,Sigda's Green Chile Beer,CooperSmith's Pub,Fort Collins,CO,"Herb, Spice",1992
Gold,Dallas Solstice Ale,Hubcap Brewery & Kitchen,Dallas,TX,India Pale Ale,1992
Silver,Banty Rooster India Pale Ale,Seabright Brewery,Santa Cruz,CA,India Pale Ale,1992
