name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Purple Twister,Cocktail Classics,2 oz, Old Mr. Boston Grape Vodka,,cola,,lemon slice,,,,,,,"Pour into collins glass over ice cubes. Fill with cola, add slice of lemon, and stir.",Collins Glass,14 to 16 ounces
Waiting On Summer,Tequila,3 oz, Cucumber,3 oz, Fresh sage leaves,1/2 oz, Fresh Lime Juice,1 1/2 oz, Blanco tequila,3/4 oz, Simple Syrup,3 oz," Ginger ale, strawberry slice","Muddle cucumber, sage, and lime juice in mixing glass. Add tequila and syrup with ice and shake. Double-strain into ice-filled Collins glass. Top with ginger ale. Garnish with strawberry.",Collins Glass,14 to 16 ounces
Cognac Highball,Brandy,2 oz, Cognac,, Ginger ale or soda water,, Lemon twist (optional),,,,,,,"Pour Cognac into ice-filled highball glass and fill with ginger ale or soda water. Add lemon twist, if desired, and stir.",Highball Glass,7 to 10 ounces
Prince's Smile Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Apricot Flavored Brandy,1/2 oz, Apple Brandy,1 oz, Old Mr. Boston Dry Gin,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Viva Villa,Tequila,For glass," Lime wedge, coarse salt",1 1/2 oz, Blanco tequila,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,,,,,Rim old-fashioned glass with lime and salt. Fill with ice. Shake remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,6 to 8 ounces
Praire Oyster Cocktail,Cordials and Liqueurs,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Worcestershire Sauce,1 oz, Tomato Catsup,1 oz, Vinegar,1 oz, Pepper,,,Shake with ice and strain into old-fashioned glass over two ice cubes. Place an egg yolk on top without breaking it. Add dash of cayenne pepper.,Old-Fashioned Glass,6 to 8 ounces
Praire Chicken,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Whole Egg,, Pepper and Salt,,,,,,,Open egg without breaking the yolk and put in wine glass. Pour gin on top. Add pepper and salt.,White-Wine Glass,10 to 18 ounces
Venial Sin,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Mezcal,1/2 oz, Yellow Chartreuse,1/4 oz, Elderflower liqueur,1/4 oz, Maraschino liqueur,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Vagabundo,Tequila,2 oz, Reposado blanco tequila,1 1/2 oz, Pineapple Juice,1 1/2 oz, Fresh celery juice,1/2 oz, Fresh Lime Juice,, Lime wheel,,,Shake ingredients with ice. Strain into ice-filled hurricane glass. Garnish with lime wheel.,Hurricane Glass,14 to 20 ounces
The 21st Century,Tequila,splash,Absinthe,1 oz, Absinthe,1 1/2 oz, Blanco tequila,3/4 oz, Fresh Lime Juice,3/4 oz, White creme de cacao,,,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces
Pollyanna Cocktail,Cocktail Classics,3 slices,orange peel,3 slices,pineapple,2 oz, Old Mr. Boston Dry Gin,1/2 oz, sweet vermouth,1/2 tsp grenadine,,,,"Muddle oranges and pineapple with gin, vermouth, and grenadine.  Shake with ice and strain into cocktail glass.",Cocktail Glass,6 or more ounces
Toreador,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Dark creme de cacao,1/2 oz, half-and-half," Whipped cream, cocoa",,,,,,"Shake with ice. Strain into chilled cocktail glass. Top with whipped cream, sprinkle with cocoa. THE 21ST CENTURY 1 splash",Cocktail Glass,6 or more ounces
Pink Squirrel Cocktail,Cocktail Classics,1 oz, Mr. Boston Creme de Noyaux ,1 oz, Old Mr. Boston White Creme de Cacao,1 oz, Light Sweet Cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Pink Lady Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Grenadine,1 oz, Sweet Cream,1 1/2 oz, Old Mr. Boston Dry Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tijuana Taxi,Tequila,2 oz, Gold tequila,1 oz, Blue curacao,1 oz, Tropical fruit schnapps, Lemon-lime soda,,," Orange wheel, maraschino cherry",,,Pour first three ingredients into ice-filled large highball glass. Fill with lemon-lime soda. Garnish with orange and cherry.,Highball Glass,7 to 10 ounces
Tia Juanathan,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Fresh Lime Juice,1/2 oz, Aperol,1/2 oz, Yellow Chartreuse,, Soda water,, Orange half-wheel,Shake first four ingredients with ice and strain into ice-filled highball glass. Top with soda water. Garnish with orange.,Highball Glass,7 to 10 ounces
Phoebe Snow Cocktail,Cocktail Classics,1 1/2 oz, Dubonnet,1 1/2 oz, Old Mr. Boston Five Star Brandy,1/2 oz, Absinthe Substitute,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tequonic,Tequila,2 oz, Blanco tequila,1/4 oz, Fresh lemon or lime juice,, Tonic water, Lemon or lime wedge,,,,,,"Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with citrus wedge.",Old-Fashioned Glass,6 to 8 ounces
Tequini,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Dry Vermouth,1 oz, Angostura bitters, Lemon twist,,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Passion Daiquiri Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Rum,1 oz, Juice of a Lime,1 oz, Powdered Sugar,1 oz, Passion Fruit Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Parisian Blonde Cocktail,Cocktail Classics,3/4 oz, Sweet Cream,3/4 oz, Old Mr. Boston Triple Sec,3/4 oz, Jamaica Rum,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tequila Sunrise,Tequila,2 oz, Blanco tequila,4 oz, Orange juice,3/4 oz, Grenadine,,,,,,,"Pour tequila and orange juice into ice-filled highball glass. Stir and add ice. Slowly pour in grenadine and allow to settle at glass bottom. Before drinking, stir to create the ""sunrise""",Highball Glass,7 to 10 ounces
Coffee Grasshopper,Brandy,3/4 oz, Coffee-flavored brandy,3/4 oz, White creme de menthe,3/4 oz, half-and-half,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Tequila Straight,Tequila,1 oz, Coarse salt,1 1/2 oz, Blanco tequila,1 oz, Lime wedge,,,,,,,"Put salt between thumb and index finger on back of one hand. Hold shot glass of tequila in same hand and lime wedge in other hand. Taste the salt, drink the tequila, and then suck the lime.",Shot Glass,1 _ to 2 ounces
Tequila Sour,Tequila,2 oz, Blanco tequila,3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup," Lemon half-wheel, maraschino cherry",,,,,,Shake with ice and strain into chilled sour glass. Garnish with lemon and cherry.,Cordial or Pony Glass,2 to 3 ounces
Tequila Smash,Tequila,4 oz, Blueberries,4 oz, Bing cherries,2 oz, Blanco tequila,1/2 oz, Maraschino liqueur,1/2 oz, Fresh Lime Juice,, Lime wheel skewered with blueberry and Bing cherry,Muddle blueberries and cherries in mixing glass. Add remaining ingredients and shake. Double-strain into ice-filled old-fashioned glass. Garnish with skewered fruit.,Old-Fashioned Glass,6 to 8 ounces
Tequila Pink,Tequila,1 1/2 oz, Blanco tequila,1 oz, Dry Vermouth,1/4 oz, Grenadine,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Tequila Old-Fashioned,Tequila,1 1/2 oz, Blanco tequila,1 oz, Simple Syrup,1 oz, Angostura Bitters,1 oz, Soda water,, Lemon twist,,,"Pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. Add soda. Add lemon twist.",Old-Fashioned Glass,6 to 8 ounces
Rob Roy Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,1 1/2 oz, Desmond & Duff Scotch Whisky,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tequila Mockingbird,Tequila,For glass," Lime wedge, coarse salt",1/4 oz, Minced ginger,1 3/4 oz, Blanco tequila,1 1/2 oz, Agave nectar,1 oz, Fresh Lime Juice,, Lime wheel,Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with lime wheel.,Cocktail Glass,6 or more ounces
Tequila Matador,Tequila,1 1/2 oz, Blanco tequila,2 oz, Pineapple Juice,1/2 oz, Fresh Lime Juice,,,,,,,Shake with ice and strain into chilled champagne flute.,Champagne Flute,6 to 8 ounces
Tequila Manhattan,Tequila,2 oz, Blanco tequila,1 oz, Sweet Vermouth,1 oz, Angostura Bitters, Maraschino cherry,,,,,,Shake with ice and strain into ice-filled old-fashioned glass. Add cherry.,Old-Fashioned Glass,6 to 8 ounces
T.N.T. Cocktail,Cocktail Classics,1 1/2 oz, Old Thompson Blended Whiskey,1 1/2 oz, Absinthe Substitute,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Thunderclap Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Dry Gin,3/4 oz, Old Thompson Blended Whiskey,3/4 oz, Old Mr. Boston Five Star Brandy,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Thunder Cocktail,Cocktail Classics,1 oz, Powdered Sugar,1 oz, Egg Yolk,1 1/2 oz, Old Mr. Boston Five Star Brandy,1 oz, Cayenne Pepper,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tequila Collins,Tequila,2 oz, Blanco tequila,1/2 oz, Fresh lemon juice,1/2 oz, Simple Syrup, Soda water,,,"lemon wheel, orange wheel, maraschino cherry",,,"Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with lemon, orange, and cherry. Serve with straw.",Collins Glass,14 to 16 ounces
White Lady Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Powdered Sugar,1 oz, Sweet Cream,1 1/2 oz, Old Mr. Boston Dry Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Tequila Canyon,Tequila,1 1/2 oz, Blanco tequila,1/4 oz, Triple Sec,1 oz, Cranberry Juice,1 oz, Pineapple Juice,1 oz, Orange juice,, Lime wheel,Pour into Collins glass and stir. Add ice. Garnish with lime. Serve with straw.,Collins Glass,14 to 16 ounces
Chicago Cocktail,Brandy,For glass," Lemon wedge, superfine sugar",1 oz, Brandy,1/2 oz, Fresh lemon juice,1/4 oz, Orange curacao,1/4 oz, Maraschino liqueur,,,Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,6 to 8 ounces
Sunday Confession,Tequila,1 oz, Blanco tequila,1 oz, Limoncello,1/2 oz, Fresh lemon juice, Ginger beer,,, Lemon wedge,,,Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Add lemon.,Collins Glass,14 to 16 ounces
Strawberry Margarita,Tequila,For glass," Lime wedge, superfine sugar or coarse salt (optional)",3 oz," Fresh strawberries, cut in half",3/4 oz, Strawberry schnapps,1 1/2 oz, Blanco tequila,3/4 oz, Triple Sec,3/4 oz," Fresh Lime Juice, whole strawberry","If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Add strawberry.",Cocktail Glass,6 or more ounces
Western Rose Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Apricot Flavored Brandy,1 oz, Old Mr. Boston Dry Gin,1/2 oz, Dry Vermouth,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Widow's Kiss Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Five Star Brandy,1/2 oz, Yellow Chartreuse,1/2 oz, Benedictine,1 oz, Peychaud Bitters,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Spice Of Life,Tequila,3 oz, Cucumber,12,Fresh mint leaves,3/4 oz, Simple Syrup,2 oz, Jalapeno-Infused Tequila,3/4 oz, Fresh Lime Juice,," Cucumber slice, fresh mint sprig","Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with cucumber slice and mint sprig.",Old-Fashioned Glass,6 to 8 ounces
Widow's Dream Cocktail,Cocktail Classics,1 1/2 oz, Benedictine,1 oz, Whole Egg,,,,,,,,,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.,Cocktail Glass,6 or more ounces
Vodka Gypsy Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Vodka,3/4 oz, Benedictine,1 oz, Angostura Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
South Of The Border,Tequila,1 oz, Blanco tequila,3/4 oz, Coffee-flavored brandy,1/2 oz, Fresh Lime Juice, Lime wheel,,,,,,Shake with ice and strain into chilled sour glass. Garnish with lime.,Cordial or Pony Glass,2 to 3 ounces
Vodka Grasshopper Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Vodka,3/4 oz, Old Mr. Boston Green Creme de Menthe,3/4 oz, Old Mr. Boston White Creme de Cacao,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Violet Fizz Juice,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Dry Gin,1 oz, Creme Yvette,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Smoked Margarita,Tequila,1/2 oz," Smoky Scotch whisky, such as Islay or Skye",1 oz, Reposado tequila,1 oz, Triple Sec,1/2 oz, Fresh lemon juice,1/2 oz, Fresh Lime Juice,, Lime wedge,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.,Old-Fashioned Glass,6 to 8 ounces
Sloe Tequila,Shooters,1 oz, Blanco tequila,1/2 oz, Sloe gin,1/2 oz, Fresh Lime Juice, Cucumber peel twist,,,,,,Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Add cucumber twist.,Old-Fashioned Glass,6 to 8 ounces
Queen Elizabeth Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Dry Gin,1/2 oz, Dry Vermouth,1 1/2 oz, Benedictine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Silk Stockings,Tequila,1 1/2 oz, Blanco tequila,1 oz, White creme de cacao,1 1/2 oz, Heavy cream,1 oz, Grenadine,, Ground cinnamon,,,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6 or more ounces
Orchid Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Dry Gin,1 oz, Egg White,1 oz, Creme Yvette,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Orange Milk Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Old Mr. Boston Orange Flavored Gin ,2 oz, Milk,,,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Orange Gin Rickey,Cocktail Classics,1/2 oz, Juice of a Lime,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,Pour into highball glass over ice cubes and fill with carbonated water. Add wedge of lime. Stir.,Highball Glass,7 to 10 ounces
Orange Gin Highball,Cocktail Classics,2 oz, Old Mr. Boston Orange Flavored Gin ,,ginger ale,,lemon twist,,,,,,,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir.",Highball Glass,7 to 10 ounces
Orange Gin Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Orange Gin Collins,Cocktail Classics,1/2 oz, Juice of a Lemon,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Decorate with slices of lemon and orange and a cherry. Serve with straws.",Collins Glass,14 to 16 ounces
Sidewinder,Tequila,1 1/2 oz, Reposado tequila,1/2 oz, Campari,1/2 oz," Vanilla syrup, preferably B.A. Reynold's",1/2 oz, Fresh Lime Juice,1/4 oz, Mezcal,2 oz," Ginger beer, 1 oz",Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.,Collins Glass,14 to 16 ounces
Orange Blossom Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Orange Juice,1/4 oz, Powdered Sugar,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Shady Lady,Tequila,1 oz, Blanco tequila,1 oz, Melon liqueur,4 oz, Fresh grapefruit juice,4 oz, Fresh grapefruit juice,, Lime wedge; honeydew melon wedge or maraschino cherry,,,Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.,Highball Glass,7 to 10 ounces
Cherry Blossom,Brandy,," Cherry-flavored brandy, superfine sugar",1 oz, Brandy,1/2 oz, cherry-flavored brandy,1/2 oz, Fresh lemon juice,1/4 oz, Triple Sec,1/4 oz," Grenadine, maraschino cherry",Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Add cherry.,Cocktail Glass,6 or more ounces
The Sfozando,Tequila,1 oz, Mezcal,3/4 oz, Rye Whiskey,1/2 oz, Dry Vermouth,1/2 oz, Benedictine,1 oz, Chocolate bitters,, Orange twist,Stir with ice and strain into cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Napoleon Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Dry Gin,1/2 oz, Curacao,1/2 oz, Dubonnet,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Moulin Rouge Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Sloe Gin,3/4 oz, Sweet Vermouth,1 oz, Bitters,,,,,,,Stir with ice and strain cocktail glass.,Cocktail Glass,6 or more ounces
Sea Of Cortez,Tequila,1 1/2 oz, Blanco tequila,1 oz, Fresh Lime Juice,3/4 oz, Creme de Cassis,1/4 oz, Orange curacao,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Satin Sheets,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Falernum,1/2 oz, Simple Syrup,3/4 oz, Fresh Lime Juice,, Lime wheel,,,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces
Santana Sling,Tequila,1 1/2 oz, Reposado tequila,1/2 oz, Cherry Heering,1/4 oz, Batavia arrack or light rum,1/2 oz, Fresh Lime Juice,3 oz, Ginger beer,,,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.,Collins Glass,14 to 16 ounces
Rosita,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1/2 oz, Campari,1 oz, Angostura Bitters,, Lemon twist,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces
Mariposa Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Rum,1/2 oz, Old Mr. Boston Five Star Brandy,1 oz, Lemon Juice,1 oz, Orange Juice,1 oz, Grenadine,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Margarita Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Tequila,1/2 oz, Old Mr. Boston Triple Sec,1 oz, Lemon or Lime Juice,,,,,,,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. ",Cocktail Glass,6 or more ounces
The Refuge,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Aperol,1/4 oz, Fresh Lime Juice,1/4 oz, Grapefruit Juice,1/4 oz, Agave nectar,,,Shake with ice. Strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Manhattan Cocktail (dry),Cocktail Classics,3/4 oz, Dry Vermouth,1 1/2 oz, Old Thompson Blended Whiskey,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces
Mamie Taylor,Cocktail Classics,1/2 oz, Juice of a Lime,2 oz, Desmond & Duff Scotch Whisky,,,,,,,,,Fill collins glass with ginger ale and ice. Stir.,Collins Glass,14 to 16 ounces
Quetzalcoatl,Tequila,1 oz, Blanco tequila,3/4 oz, Mezcal,1/2 oz, Creme de peche,1/2 oz, Guava puree,1/2 oz, Grapefruit Juice,, Grapefruit twist,Shake with ice and strain into cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces
Zero Mint,Cocktail Classics, 2 oz, Mr. Boston Creme de menthe,,water,,,,,,,,,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.,Cocktail Glass,6 or more ounces
Purple Pancho,Tequila,For glass," Lime wedge, superfine sugar",1 oz, Blanco tequila,1/2 oz, Blue curacao,1/2 oz, Sloe gin,2 oz, Fresh Lime Juice,1 oz," each Fresh lemon juice, simple syrup, 1 lime wheel",Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with lime wheel.,Cocktail Glass,6 or more ounces
Midnight Express,Rum - Daiquiris,1 1/2 oz, Dark rum,1/2 oz, Triple Sec,3/4 oz, Fresh Lime Juice,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,,,Shake with ice and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
London Special Cocktail,Cocktail Classics,,orange peel,,lump sugar,2 dashes ,bitters,champagne,,,,,,Put a large twist of orange peel into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.,Champagne Flute,6 to 8 ounces
Mary Pickford Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,3/4 oz, Pineapple Juice,1/4 oz, Maraschino liqueur,1/4 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Charles Cocktail,Brandy,1 1/2 oz, Brandy,1 1/2 oz, Sweet Vermouth,1 oz, Angostura Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Martinique Rose,Rum - Daiquiris,2 oz, Aged rhum agricole,1/2 oz, Amaretto,3/4 oz, Fresh Lime Juice,3/4 oz, Grapefruit Juice,1/2 oz, orgeat or almond syrup,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Mariposa,Rum - Daiquiris,1 oz, Light Rum,1/2 oz, Brandy,1/2 oz, Fresh lemon juice,1/2 oz, Orange juice,1 oz, Grenadine,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Mandeville,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Dark rum,1/2 oz, Fresh lemon juice,1 oz, Anisette,1 oz, Grenadine, Cola,,Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.,Old-Fashioned Glass,6 to 8 ounces
K.C.B. Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Kummel,1 1/2 oz, Old Mr. Boston Dry Gin,1/4 oz, Old Mr. Boston Apricot Flavored Brandy,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add twist of lemon peel.,Cocktail Glass,6 or more ounces
Malmaison,Rum - Daiquiris,, Anisette,1 oz, Light Rum,1/2 oz, Cream sherry,1 oz, Fresh lemon juice,,,,,Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.,Cocktail Glass,6 or more ounces
Mai-Tai (Trader Vic Version),Rum - Daiquiris,2 oz," Dark rum, preferably Jamaican",1/2 oz, Orange curacao,1 oz, Fresh lime juice (reserve 1/2 lime shell for garnish),1/2 oz, Orgeat Syrup,1/4 oz, Rock candy syrup or simple syrup,, Fresh mint sprig; pineapple wedge skewered with maraschino cherry,"Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with lime shell, mint, and skewered pineapple and cherry.",Old-Fashioned Glass,6 to 8 ounces
Jersey Lightning Cocktail,Cocktail Classics,1 1/2 oz, Apple Brandy,1/2 oz, Sweet Vermouth,1 oz, Juice of a Lime,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Lumination,Rum - Daiquiris,2 oz, Fresh ginger,1 oz, Simple Syrup,2 oz, Dark rum,1 oz, VS cognac,1 oz," each Fresh lemon juice, Angostura bitters",, Lemon twist,Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Add lemon twist.,Champagne Flute,6 to 8 ounces
Jamaica Glow Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Claret,1 oz, Orange Juice,1 oz, Jamaica Rum,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Lounge Lizard,Rum - Daiquiris,1 oz, Dark rum,1/2 oz, Amaretto,, Cola, Lime wedge,,,,,,Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with lime.,Collins Glass,14 to 16 ounces
Jack-in-the-Box Cocktail,Cocktail Classics,1 oz, Apple Brandy,1 oz, Pineapple Juice,1 oz, Bitters,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Irish Whisky Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Triple Sec,1/2 oz, Absinthe Substitute,1/4 oz, Maraschino,1 oz, Bitters,2 oz, Irish Whiskey,,,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces
Look Out Below,Rum - Daiquiris,1 1/2 oz, 151-Proof Rum,1/2 oz, Fresh Lime Juice,1/4 oz, Grenadine,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Little Princess Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Sweet Vermouth,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Little Devil Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Gin,1/2 oz, Fresh lemon juice,1/4 oz, Triple Sec,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Champs Elysees Cocktail,Brandy,1 oz, Brandy,1/2 oz, Yellow Chartreuse,1/2 oz, Fresh lemon juice,1 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Hop Toad Cocktail ,Cocktail Classics,1/2 oz, Juice of a Lime,3/4 oz, Old Mr. Boston Apricot Flavored Brandy,3/4 oz, Old Mr. Boston Rum,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
