season_name,season,full_name,castaway,age,city,state,personality_type,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe2,merged_tribe,total_votes_received,immunity_idols_won
Survivor: Fiji,14,Kenward Bernis,Boo,34,Lafayette,Louisiana,ISTP,37,15,14th voted out,8th jury member,Moto,Moto,NA,Bula Bula,5,3
Survivor: Fiji,14,Yau-Man Chan,Yau-Man,54,Martinez,California,INTP,38,16,15th voted out,9th jury member,Ravu,Moto,NA,Bula Bula,10,0
Survivor: Fiji,14,Andria Herd,Dreamz,25,Wilmington,North Carolina,ESFP,39,17,Co-runner-up,NA,Moto,Ravu,NA,Bula Bula,2,1
Survivor: Fiji,14,Cassandra Franklin,Cassandra,42,Los Angeles,California,ISFJ,39,18,Co-runner-up,NA,Moto,Moto,NA,Bula Bula,5,0
Survivor: Fiji,14,Earl Cole,Earl,35,Santa Monica,California,INFJ,39,19,Sole Survivor,NA,Ravu,Moto,NA,Bula Bula,1,0
Survivor: Cook Islands,13,Sekou Bunch,Sekou,45,Los Angeles,California,ESFJ,3,1,1st voted out,NA,Manihiki,NA,NA,NA,3,0
Survivor: Cook Islands,13,Virgilio Garcia,Billy,36,New York City,New York,INFJ,6,2,2nd voted out,NA,Aitutaki,NA,NA,NA,4,0
Survivor: Cook Islands,13,Cecilia Mansilla,Cecilia,29,Oakland,California,ISTJ,8,3,3rd voted out,NA,Aitutaki,Aitutaki,NA,NA,5,0
Survivor: Cook Islands,13,John Calderon,J.P.,30,Long Beach,California,ESFP,11,4,4th voted out,NA,Aitutaki,Rarotonga,NA,NA,7,0
Survivor: Cook Islands,13,Stephannie Favor,Stephannie,35,Columbia,South Carolina,ISFJ,14,5,5th voted out,NA,Manihiki,Rarotonga,NA,NA,9,0
Survivor: Cook Islands,13,Anh-Tuan Bui,Cao Boi,42,Christiansburg,Virginia,ENFP,15,6,6th voted out,NA,Puka Puka,Aitutaki,NA,NA,12,0
Survivor: Cook Islands,13,Cristina Coria,Cristina,35,Santa Monica,California,ISFJ,15,7,7th voted out,NA,Aitutaki,Rarotonga,NA,NA,9,0
Survivor: Cook Islands,13,Jessica Smith,Jessica,27,Chico,California,ENFP,18,8,8th voted out,NA,Rarotonga,Aitutaki,NA,NA,6,0
Survivor: Cook Islands,13,Brad Virata,Brad,29,Santa Monica,California,INFJ,21,9,9th voted out,1st jury member,Puka Puka,Rarotonga,Rarotonga,NA,7,0
Survivor: Cook Islands,13,Rebecca Borman,Rebecca,34,Laurelton,New York,ISFJ,24,10,10th voted out,2nd jury member,Manihiki,Rarotonga,Rarotonga,NA,12,0
Survivor: Cook Islands,13,Jenny Guzon-Bae,Jenny,36,Lake Forest,Illinois,ISTJ,24,11,11th voted out,3rd jury member,Puka Puka,Rarotonga,Rarotonga,NA,12,0
Survivor: Cook Islands,13,Nathan Gonzalez,Nate,26,Playa del Rey,California,ESTP,27,12,12th voted out,4th jury member,Manihiki,Rarotonga,Rarotonga,Aitutonga,5,1
Survivor: Cook Islands,13,Candice Woodcock,Candice,23,Washington,D.C.,ISTJ,30,13,13th voted out,5th jury member,Rarotonga,Aitutaki,Rarotonga,Aitutonga,7,0
Survivor: Cook Islands,13,Jonathan Penner,Jonathan,44,Los Angeles,California,ENTP,33,14,14th voted out,6th jury member,Rarotonga,Aitutaki,Rarotonga,Aitutonga,19,0
Survivor: Cook Islands,13,Parvati Shallow,Parvati,23,West Hollywood,California,ENFJ,36,15,15th voted out,7th jury member,Rarotonga,Rarotonga,Rarotonga,Aitutonga,4,0
Survivor: Cook Islands,13,Adam Gentry,Adam,28,San Diego,California,ESTP,37,16,16th voted out,8th jury member,Rarotonga,Rarotonga,Rarotonga,Aitutonga,5,1
Survivor: Cook Islands,13,Sundra Oakley,Sundra,31,Los Angeles,California,INFP,38,17,17th voted out,9th jury member,Manihiki,Aitutaki,Aitutaki,Aitutonga,6,0
Survivor: Cook Islands,13,Rebekah Lee,Becky,28,Washington,D.C.,INTP,39,18,2nd Runner-up,NA,Puka Puka,Aitutaki,Aitutaki,Aitutonga,5,0
Survivor: Cook Islands,13,Oscar Lusth,Ozzy,24,Venice,California,ISFP,39,19,Runner-up,NA,Aitutaki,Aitutaki,Aitutaki,Aitutonga,1,5
Survivor: Cook Islands,13,Yul Kwon,Yul,31,San Mateo,California,INTJ,39,20,Sole Survivor,NA,Puka Puka,Aitutaki,Aitutaki,Aitutonga,5,0
Survivor: Panama,12,Tina Scheer,Tina,44,Hayward,Wisconsin,ESTP,3,1,1st voted out,NA,Casaya,NA,NA,NA,3,0
Survivor: Panama,12,Melinda Hyder,Melinda,32,Sevierville,Tennessee,ESFJ,6,2,2nd voted out,NA,Casaya,Casaya,NA,NA,5,0
Survivor: Panama,12,Misty Giles,Misty,24,Dallas,Texas,INTP,8,3,3rd voted out,NA,Bayoneta,La Mina,NA,NA,5,0
Survivor: Panama,12,Ruth Marie Milliman,Ruth Marie,48,Greenville,South Carolina,ISFJ,11,4,4th voted out,NA,Casaya,La Mina,NA,NA,6,0
Survivor: Panama,12,Bobby Mason,Bobby,32,Los Angeles,California,ISTP,14,5,5th voted out,NA,Viveros,Casaya,NA,NA,3,0
Survivor: Panama,12,Dan Barry,Dan,51,South Hadley,Massachusetts,ISFJ,15,6,6th voted out,NA,La Mina,La Mina,NA,NA,3,0
Survivor: Panama,12,Nick Stanbury,Nick,25,Tempe,Arizona,ISFP,18,7,7th voted out,NA,Viveros,La Mina,NA,Gitanos,6,0
Survivor: Panama,12,Austin Carty,Austin,24,High Point,North Carolina,INFP,21,8,8th voted out,1st jury member,Viveros,La Mina,NA,Gitanos,7,0
Survivor: Panama,12,Sally Schumann,Sally,27,Chicago,Illinois,INFP,24,9,9th voted out,2nd jury member,Bayoneta,La Mina,NA,Gitanos,8,0
Survivor: Panama,12,Bruce Kanegai,Bruce,57,Simi Valley,California,INFP,25,10,Medically evacuated,3rd jury member,La Mina,Casaya,NA,Gitanos,2,0
Survivor: Panama,12,Courtney Marit,Courtney,31,Los Angeles,California,ENFP,30,11,10th voted out,4th jury member,Bayoneta,Casaya,NA,Gitanos,4,0
Survivor: Panama,12,Shane Powers,Shane,34,Los Angeles,California,ESFP,33,12,11th voted out,5th jury member,La Mina,Casaya,NA,Gitanos,9,0
Survivor: Panama,12,Cirie Fields,Cirie,35,Walterboro,South Carolina,ENFJ,36,13,12th voted out,6th jury member,Casaya,Casaya,NA,Gitanos,3,0
Survivor: Panama,12,Terry Deitz,Terry,46,Simsbury,Connecticut,ESTJ,38,14,13th voted out,7th jury member,La Mina,La Mina,NA,Gitanos,1,5
Survivor: Panama,12,Danielle DiLorenzo,Danielle,24,Pompano Beach,Florida,ESFP,39,15,Runner-up,NA,Bayoneta,Casaya,NA,Gitanos,4,1
Survivor: Panama,12,Aras Baskauskas,Aras,24,Santa Monica,California,INFP,39,16,Sole Survivor,NA,Viveros,Casaya,NA,Gitanos,9,0
Survivor: Guatemala,11,Jim Lynch,Jim,63,Northglenn,Colorado,ISTJ,3,1,1st voted out,NA,Nakúm,NA,NA,NA,8,0
Survivor: Guatemala,11,Morgan McDevitt,Morgan,21,Decatur,Illinois,INFP,6,2,2nd voted out,NA,Yaxhá,NA,NA,NA,8,0
Survivor: Guatemala,11,Brianna Varela,Brianna,21,Edmonds,Washington,ENFP,8,3,3rd voted out,NA,Yaxhá,NA,NA,NA,7,0
Survivor: Guatemala,11,Brooke Struck,Brooke,25,Hood River,Oregon,ISTJ,11,4,4th voted out,NA,Nakúm,Nakúm,NA,NA,5,0
Survivor: Guatemala,11,Blake Towsley,Blake,24,Dallas,Texas,ESTP,14,5,5th voted out,NA,Nakúm,Yaxhá,NA,NA,5,0
Survivor: Guatemala,11,Margaret Bobonich,Margaret,43,Chardon,Ohio,ESFJ,15,6,6th voted out,NA,Nakúm,Nakúm,NA,NA,13,0
Survivor: Guatemala,11,Brian Corridan,Brian,22,New York City,New York,ENTP,15,7,7th voted out,NA,Yaxhá,Yaxhá,NA,NA,12,0
Survivor: Guatemala,11,Amy O'Hara,Amy,39,Revere,Massachusetts,ESTP,18,8,8th voted out,NA,Yaxhá,Yaxhá,NA,NA,4,0
Survivor: Guatemala,11,Brandon Bellinger,Brandon,22,Manhattan,Kansas,ISTP,21,9,9th voted out,NA,Nakúm,Yaxhá,NA,Xhakúm,6,0
Survivor: Guatemala,11,Bobby Jon Drinkard,Bobbly Jon,28,Los Angeles,California,ISTP,24,10,10th voted out,1st jury member,Nakúm,Yaxhá,NA,Xhakúm,0,0
Survivor: Guatemala,11,Jamie Newton,Jamie,24,North Hollywood,California,ISTP,27,11,11th voted out,2nd jury member,Yaxhá,Nakúm,NA,Xhakúm,10,1
Survivor: Guatemala,11,Gary Hogeboom,Gary,46,Grand Haven,Michigan,INFJ,30,12,12th voted out,3rd jury member,Yaxhá,Yaxhá,NA,Xhakúm,8,2
Survivor: Guatemala,11,Judd Sergeant,Judd,34,Ridgefield,New Jersey,ESTP,33,13,13th voted out,4th jury member,Nakúm,Nakúm,NA,Xhakúm,6,0
Survivor: Guatemala,11,Cindy Hall,Cindy,31,Naples,Florida,ISFP,36,14,14th voted out,5th jury member,Nakúm,Nakúm,NA,Xhakúm,6,0
Survivor: Guatemala,11,Lydia Morales,Lydia,42,Lakewood,Washington,ISFJ,37,15,15th voted out,6th jury member,Yaxhá,Nakúm,NA,Xhakúm,10,0
Survivor: Guatemala,11,Rafe Judkins,Rafe,22,Pittsburgh,Pennsylvania,INFP,38,16,16th voted out,7th jury member,Yaxhá,Nakúm,NA,Xhakúm,2,4
Survivor: Guatemala,11,Stephenie LaGrossa,Stephenie,25,Toms River,New Jersey,ESTJ,39,17,Runner-up,NA,Yaxhá,Nakúm,NA,Xhakúm,2,1
Survivor: Guatemala,11,Danni Boatwright,Danni,29,Tonganoxie,Kansas,ENFJ,39,18,Sole Survivor,NA,Nakúm,Yaxhá,NA,Xhakúm,1,2
Survivor: Palau,10,Jonathan Libby,Jonathan,23,Dallas,Texas,ISTP,2,1,Eliminated,NA,None,NA,NA,NA,0,0
Survivor: Palau,10,Wanda Shirk,Wanda,55,Ulysses,Pennsylvania,ENFP,2,2,Eliminated,NA,None,NA,NA,NA,0,0
Survivor: Palau,10,Jolanda Jones,Jolanda,38,Houston,Texas,ESTJ,3,3,1st voted out,NA,Ulong,NA,NA,NA,6,1
Survivor: Palau,10,Ashlee Ashby,Ashlee,22,Easley,South Carolina,ISFJ,6,4,2nd voted out,NA,Ulong,NA,NA,NA,6,0
Survivor: Palau,10,Jeff Wilson,Jeff,21,Ventura,California,ESFP,8,5,3rd voted out,NA,Ulong,NA,NA,NA,5,0
Survivor: Palau,10,Kimberly Mullen,Kim,25,Huber Heights,Ohio,INTJ,11,6,4th voted out,NA,Ulong,NA,NA,NA,8,0
Survivor: Palau,10,Willard Smith,Willard,56,Bellevue,Washington,INTP,12,7,5th voted out,NA,Koror,NA,NA,NA,16,0
Survivor: Palau,10,Angie Jakusz,Angie,24,New Orleans,Louisiana,INFP,12,8,6th voted out,NA,Ulong,NA,NA,NA,13,0
Survivor: Palau,10,James Miller,James,33,Mobile,Alabama,ESTP,15,9,7th voted out,NA,Ulong,NA,NA,NA,8,0
Survivor: Palau,10,Ibrehem Rahman,Ibrehem,27,Birmingham,Alabama,ISTJ,18,10,8th voted out,NA,Ulong,NA,NA,NA,4,1
Survivor: Palau,10,Bobby Jon Drinkard,Bobbly Jon,27,Los Angeles,California,ISTP,21,11,Eliminated,NA,Ulong,NA,NA,NA,0,0
Survivor: Palau,10,Coby Archa,Coby,32,Athens,Texas,ENFP,24,12,9th voted out,1st jury member,Koror,NA,NA,Koror,7,0
Survivor: Palau,10,Janu Tornell,Janu,39,Las Vegas,Nevada,INFP,27,13,Quit,2nd jury member,Koror,NA,NA,Koror,1,0
Survivor: Palau,10,Stephenie LaGrossa,Stephenie,24,Toms River,New Jersey,ESTJ,30,14,10th voted out,3rd jury member,Ulong,NA,NA,Koror,8,0
Survivor: Palau,10,Gregg Carey,Gregg,27,Chicago,Illinois,INTP,33,15,11th voted out,4th jury member,Koror,NA,NA,Koror,4,0
Survivor: Palau,10,Caryn Groedel,Caryn,46,Solon,Ohio,ISTJ,36,16,12th voted out,5th jury member,Koror,NA,NA,Koror,7,0
Survivor: Palau,10,Jennifer Lyon,Jenn,32,Encino,California,ISFP,37,17,13th voted out,6th jury member,Koror,NA,NA,Koror,3,0
Survivor: Palau,10,Ian Rosenberger,Ian,23,Ambridge,Pennsylvania,ESFP,38,18,14th voted out,7th jury member,Koror,NA,NA,Koror,5,3
Survivor: Palau,10,Katie Gallagher,Katie,29,Merced,California,ESFP,39,19,Runner-up,NA,Koror,NA,NA,Koror,2,0
Survivor: Palau,10,Tom Westman,Tom,40,Sayville,New York,ESTJ,39,20,Sole Survivor,NA,Koror,NA,NA,Koror,0,5
Survivor: Vanuatu,9,Brook Geraghty,Brook,27,Winthrop,Massachusetts,INTP,3,1,1st voted out,NA,Lopevi,NA,NA,NA,5,0
Survivor: Vanuatu,9,Dolly Neely,Dolly,25,Lake Latonka,Pennsylvania,ISFP,6,2,2nd voted out,NA,Yasur,NA,NA,NA,5,0
Survivor: Vanuatu,9,John Palyok,John P.,31,Los Angeles,California,ESTP,7,3,3rd voted out,NA,Lopevi,NA,NA,NA,5,0
Survivor: Vanuatu,9,Mia Galeotalanza,Mia,29,Boston,Massachusetts,ESFP,7,4,4th voted out,NA,Yasur,NA,NA,NA,5,0
Survivor: Vanuatu,9,Brady Finta,Brady,33,Huntington Beach,California,ISTJ,10,5,5th voted out,NA,Lopevi,NA,NA,NA,6,0
Survivor: Vanuatu,9,Travis Sampson,Travis,33,Johnson City,Tennessee,ISFP,12,6,6th voted out,NA,Lopevi,Yasur,NA,NA,6,0
Survivor: Vanuatu,9,Lisa Keiffer,Lisa,44,Mandeville,Louisiana,ESFJ,15,7,7th voted out,NA,Yasur,Yasur,NA,NA,4,0
Survivor: Vanuatu,9,John Kenney,John K.,22,Los Angeles,California,ESFP,18,8,8th voted out,NA,Lopevi,Lopevi,NA,NA,5,1
Survivor: Vanuatu,9,Rory Freeman,Rory,35,Des Moines,Iowa,INTP,21,9,9th voted out,NA,Lopevi,Yasur,NA,Alinta,14,0
Survivor: Vanuatu,9,Lea Masters,Lea,40,Columbia,South Carolina,ESFJ,24,10,10th voted out,1st jury member,Lopevi,Lopevi,NA,Alinta,7,1
Survivor: Vanuatu,9,James Crittenden,Chad,34,Oakland,California,ESTP,27,11,11th voted out,2nd jury member,Lopevi,Lopevi,NA,Alinta,7,0
Survivor: Vanuatu,9,Leann Slaby,Leann,35,Kansasville,Wisconsin,INFJ,30,12,12th voted out,3rd jury member,Yasur,Yasur,NA,Alinta,8,0
Survivor: Vanuatu,9,Ami Cusack,Ami,31,Lakewood,Colorado,ENTJ,33,13,13th voted out,4th jury member,Yasur,Yasur,NA,Alinta,8,3
Survivor: Vanuatu,9,Julie Berry,Julie,23,Gorham,Maine,INFP,36,14,14th voted out,5th jury member,Yasur,Lopevi,NA,Alinta,4,0
Survivor: Vanuatu,9,Eliza Orlins,Eliza,21,Syracuse,New York,ENTJ,37,15,15th voted out,6th jury member,Yasur,Yasur,NA,Alinta,9,1
Survivor: Vanuatu,9,Scout Cloud Lee,Scout,59,Stillwater,Oklahoma,INFJ,38,16,16th voted out,7th jury member,Yasur,Yasur,NA,Alinta,3,0
Survivor: Vanuatu,9,Twila Tanner,Twila,41,Marshall,Missouri,ISTJ,39,17,Runner-up,NA,Yasur,Lopevi,NA,Alinta,6,1
Survivor: Vanuatu,9,Chris Daugherty,Chris,33,South Vienna,Ohio,ENTP,39,18,Sole Survivor,NA,Lopevi,Lopevi,NA,Alinta,3,3
Survivor: All-Stars,8,Tina Wesson,Tina,42,Knoxville,Tennessee,ESFJ,3,1,1st voted out,NA,Saboga,NA,NA,NA,4,0
Survivor: All-Stars,8,Rudy Boesch,Rudy,75,Virginia Beach,Virginia,ISTJ,6,2,2nd voted out,NA,Saboga,NA,NA,NA,3,0
Survivor: All-Stars,8,Jenna Morasca,Jenna,22,Bridgeville,Pennsylvania,ISTP,9,3,Quit,NA,Mogo Mogo,NA,NA,NA,0,0
Survivor: All-Stars,8,Rob Cesternino,Rob C.,25,Plainview,New York,ENTP,12,4,3rd voted out,NA,Chapera,NA,NA,NA,5,0
Survivor: All-Stars,8,Richard Hatch,Richard,42,Middletown,Rhode Island,ENTP,15,5,4th voted out,NA,Mogo Mogo,Mogo Mogo,NA,NA,6,0
Survivor: All-Stars,8,Susan Hawk,Sue,42,Las Vegas,Nevada,ESTP,17,6,Quit,NA,Chapera,Chapera,NA,NA,0,0
Survivor: All-Stars,8,Colby Donaldson,Colby,29,Los Angeles,California,ISTP,19,7,5th voted out,NA,Mogo Mogo,Mogo Mogo,NA,NA,4,0
Survivor: All-Stars,8,Ethan Zohn,Ethan,30,New York City,New York,ISFP,21,8,6th voted out,NA,Saboga,Mogo Mogo,NA,NA,6,0
Survivor: All-Stars,8,Jerri Manthey,Jerri,33,Los Angeles,California,ESFP,24,9,7th voted out,NA,Saboga,Mogo Mogo,Chapera,NA,7,0
Survivor: All-Stars,8,Lex van den Berghe,Lex,40,Santa Cruz,California,ENTJ,27,10,8th voted out,1st jury member,Mogo Mogo,Mogo Mogo,Chapera,Chaboga Mogo,7,0
Survivor: All-Stars,8,Kathy Vavrick-O'Brien,Kathy,48,Burlington,Vermont,ESFJ,28,11,9th voted out,2nd jury member,Mogo Mogo,Mogo Mogo,Chapera,Chaboga Mogo,6,1
Survivor: All-Stars,8,Alicia Calaway,Alicia,35,New York City,New York,ESTJ,30,12,10th voted out,3rd jury member,Chapera,Chapera,Mogo Mogo,Chaboga Mogo,7,0
Survivor: All-Stars,8,Shii Ann Huang,Shii Ann,29,New York City,New York,INTJ,33,13,11th voted out,4th jury member,Mogo Mogo,Mogo Mogo,Chapera,Chaboga Mogo,5,1
Survivor: All-Stars,8,Tom Buchanan,Tom,48,Rich Valley,Virginia,ESTP,36,14,12th voted out,5th jury member,Chapera,Chapera,Mogo Mogo,Chaboga Mogo,4,1
Survivor: All-Stars,8,Rupert Boneham,Rupert,39,Indianapolis,Indiana,ESFJ,37,15,13th voted out,6th jury member,Saboga,Chapera,Mogo Mogo,Chaboga Mogo,4,0
Survivor: All-Stars,8,Jenna Lewis,Jenna L.,26,Burbank,California,ENFP,38,16,14th voted out,7th jury member,Saboga,Chapera,Mogo Mogo,Chaboga Mogo,0,0
Survivor: All-Stars,8,Rob Mariano,Rob M.,27,Canton,Massachusetts,ESTJ,39,17,Runner-up,NA,Chapera,Chapera,Mogo Mogo,Chaboga Mogo,0,4
Survivor: All-Stars,8,Amber Brkich,Amber,25,Beaver,Pennsylvania,ISFP,39,18,Sole Survivor,NA,Chapera,Chapera,Chapera,Chaboga Mogo,6,1
Survivor: Pearl Islands,7,Nicole Delma,Nicole,24,Hermosa Beach,California,INTP,3,1,1st voted out,NA,Morgan,The Outcasts,NA,NA,7,0
Survivor: Pearl Islands,7,Ryan Shoulders,Ryan S.,23,Clarksville,Tennessee,INFP,6,2,2nd voted out,NA,Morgan,The Outcasts,NA,NA,0,0
Survivor: Pearl Islands,7,Lillian Morris,Lillian,51,Loveland,Ohio,INFP,9,3,3rd voted out,NA,Morgan,The Outcasts,NA,NA,10,1
Survivor: Pearl Islands,7,Burton Roberts,Burton,31,San Francisco,California,ISTJ,12,4,4th voted out,NA,Drake,The Outcasts,NA,NA,10,2
Survivor: Pearl Islands,7,Michelle Tesauro,Michelle,22,Washington,D.C.,ENFP,15,5,5th voted out,NA,Drake,The Outcasts,NA,NA,6,0
Survivor: Pearl Islands,7,Trish Dunn,Trish,42,Annapolis,Maryland,ENFJ,18,6,6th voted out,NA,Drake,The Outcasts,NA,NA,4,0
Survivor: Pearl Islands,7,Shawn Cohen,Shawn,28,Hollywood,California,ESTP,19,7,7th voted out,NA,Drake,Drake,NA,NA,5,0
Survivor: Pearl Islands,7,Osten Taylor,Osten,27,Boston,Massachusetts,ESFP,19,8,Quit,NA,Morgan,Morgan,NA,NA,2,0
Survivor: Pearl Islands,7,Andrew Savage,Andrew,39,Chicago,Illinois,ESTJ,21,9,8th voted out,NA,Morgan,Morgan,NA,Balboa,6,0
Survivor: Pearl Islands,7,Ryan Opray,Ryan O.,30,Los Gatos,California,ISFJ,24,10,9th voted out,1st jury member,Morgan,Morgan,NA,Balboa,0,0
Survivor: Pearl Islands,7,Rupert Boneham,Rupert,39,Indianapolis,Indiana,ESFJ,27,11,10th voted out,2nd jury member,Drake,Drake,NA,Balboa,7,2
Survivor: Pearl Islands,7,Tijuana Bradley,Tijuana,26,St. Louis,Missouri,ESFP,30,12,11th voted out,3rd jury member,Morgan,Morgan,NA,Balboa,5,0
Survivor: Pearl Islands,7,Christa Hastie,Christa,24,Los Angeles,California,ESFP,33,13,12th voted out,4th jury member,Drake,Drake,NA,Balboa,7,0
Survivor: Pearl Islands,7,Burton Roberts,Burton,31,San Francisco,California,ISTJ,36,14,13th voted out,5th jury member,Drake,The Outcasts,NA,Balboa,10,2
Survivor: Pearl Islands,7,Darrah Johnson,Darrah,22,Liberty,Mississippi,ISTP,37,15,14th voted out,6th jury member,Morgan,Morgan,NA,Balboa,6,3
Survivor: Pearl Islands,7,Jon Dalton,Jon,29,Los Angeles,California,ENTP,38,16,15th voted out,7th jury member,Drake,Drake,NA,Balboa,7,0
Survivor: Pearl Islands,7,Lillian Morris,Lillian,51,Loveland,Ohio,INFP,39,17,Runner-up,NA,Morgan,The Outcasts,NA,Balboa,10,1
Survivor: Pearl Islands,7,Sandra Diaz-Twine,Sandra,29,Fort Lewis,Washington,ESTP,39,18,Sole Survivor,NA,Drake,Drake,NA,Balboa,0,0
Survivor: The Amazon,6,Ryan Aiken,Ryan,23,Ellicott City,Maryland,ESFP,3,1,1st voted out,NA,Tambaqui,NA,NA,NA,4,0
Survivor: The Amazon,6,Janet Koth,Janet,46,Manchester,Missouri,ISFJ,6,2,2nd voted out,NA,Jaburu,NA,NA,NA,5,0
Survivor: The Amazon,6,Daniel Lue,Daniel,26,Houston,Texas,INFP,9,3,3rd voted out,NA,Tambaqui,NA,NA,NA,7,0
Survivor: The Amazon,6,JoAnna Ward,JoAnna,31,Orangeburg,South Carolina,ISTJ,12,4,4th voted out,NA,Jaburu,NA,NA,NA,4,0
Survivor: The Amazon,6,Jeanne Hebert,Jeanne,40,North Attleboro,Massachusetts,ISTJ,15,5,5th voted out,NA,Jaburu,Tambaqui,NA,NA,5,0
Survivor: The Amazon,6,Shawna Mitchell,Shawna,23,Los Angeles,California,ENFP,18,6,6th voted out,NA,Jaburu,Jaburu,NA,NA,6,0
Survivor: The Amazon,6,Roger Sexton,Roger,56,Valencia,California,ISTJ,21,7,7th voted out,NA,Tambaqui,Tambaqui,NA,Jacaré,11,0
Survivor: The Amazon,6,Dave Johnson,Dave,23,Pasadena,California,ISTJ,24,8,8th voted out,1st jury member,Tambaqui,Tambaqui,NA,Jacaré,8,0
Survivor: The Amazon,6,Deena Bennett,Deena,35,Riverside,California,ENTJ,27,9,9th voted out,2nd jury member,Jaburu,Jaburu,NA,Jacaré,6,1
Survivor: The Amazon,6,Alex Bell,Alex,32,Los Angeles,California,ENFJ,30,10,10th voted out,3rd jury member,Tambaqui,Jaburu,NA,Jacaré,6,0
Survivor: The Amazon,6,Christy Smith,Christy,24,Basalt,Colorado,INFP,33,11,11th voted out,4th jury member,Jaburu,Tambaqui,NA,Jacaré,9,0
Survivor: The Amazon,6,Heidi Strobel,Heidi,24,Jefferson City,Missouri,ENTJ,36,12,12th voted out,5th jury member,Jaburu,Tambaqui,NA,Jacaré,3,0
Survivor: The Amazon,6,Butch Lockley,Butch,50,Olney,Illinois,ISFJ,37,13,13th voted out,6th jury member,Tambaqui,Tambaqui,NA,Jacaré,5,0
Survivor: The Amazon,6,Rob Cesternino,Rob,24,Wantagh,New York,ENTP,38,14,14th voted out,7th jury member,Tambaqui,Jaburu,NA,Jacaré,4,1
Survivor: The Amazon,6,Matthew von Ertfelda,Matthew,33,Washington,D.C.,INTP,39,15,Runner-up,NA,Tambaqui,Jaburu,NA,Jacaré,6,2
Survivor: The Amazon,6,Jenna Morasca,Jenna,21,Bridgeville,Pennsylvania,ISTP,39,16,Sole Survivor,NA,Jaburu,Jaburu,NA,Jacaré,3,3
Survivor: Thailand,5,John Raymond,John,40,Slidell,Louisiana,ENFP,3,1,1st voted out,NA,Chuay Gahn,NA,NA,NA,6,0
Survivor: Thailand,5,Tanya Vance,Tanya,27,Gray,Tennessee,ESTJ,6,2,2nd voted out,NA,Chuay Gahn,NA,NA,NA,5,0
Survivor: Thailand,5,Jed Hildebrand,Jed,25,Dallas,Texas,ISFP,9,3,3rd voted out,NA,Sook Jai,NA,NA,NA,5,0
Survivor: Thailand,5,Ghandia Johnson,Ghandia,33,Denver,Colorado,ESFP,12,4,4th voted out,NA,Chuay Gahn,NA,NA,NA,5,0
Survivor: Thailand,5,Stephanie Dill,Stephanie,29,Ozark,Arkansas,ISTJ,15,5,5th voted out,NA,Sook Jai,NA,NA,NA,5,0
Survivor: Thailand,5,Robert Zbacnik,Robb,23,Scottsdale,Arizona,ESFP,18,6,6th voted out,NA,Sook Jai,NA,NA,NA,5,0
Survivor: Thailand,5,Shii Ann Huang,Shii Ann,28,New York City,New York,INTJ,21,7,7th voted out,NA,Sook Jai,NA,NA,NA,10,0
Survivor: Thailand,5,Erin Collins,Erin,26,Austin,Texas,ESFP,24,8,8th voted out,1st jury member,Sook Jai,NA,NA,NA,3,0
Survivor: Thailand,5,Ken Stafford,Ken,30,Brooklyn,New York,ESTJ,27,9,9th voted out,2nd jury member,Sook Jai,NA,NA,Chuay Jai,6,0
Survivor: Thailand,5,Penny Ramsey,Penny,27,Plano,Texas,ESFJ,30,10,10th voted out,3rd jury member,Sook Jai,NA,NA,Chuay Jai,5,0
Survivor: Thailand,5,Jake Billingsley,Jake,60,McKinney,Texas,ISFJ,33,11,11th voted out,4th jury member,Sook Jai,NA,NA,Chuay Jai,7,0
Survivor: Thailand,5,Ted Rogers Jr.,Ted,37,Durham,North Carolina,ESTP,36,12,12th voted out,5th jury member,Chuay Gahn,NA,NA,Chuay Jai,7,1
Survivor: Thailand,5,Helen Glover,Helen,47,Middletown,Rhode Island,ISTJ,37,13,13th voted out,6th jury member,Chuay Gahn,NA,NA,Chuay Jai,5,1
Survivor: Thailand,5,Jan Gentry,Jan,53,Tampa,Florida,ENFP,38,14,14th voted out,7th jury member,Chuay Gahn,NA,NA,Chuay Jai,5,0
Survivor: Thailand,5,Clay Jordan,Clay,46,Monroe,Louisiana,ESTP,39,15,Runner-up,NA,Chuay Gahn,NA,NA,Chuay Jai,3,1
Survivor: Thailand,5,Brian Heidik,Brian,34,Quartz Hill,California,ISTP,39,16,Sole Survivor,NA,Chuay Gahn,NA,NA,Chuay Jai,0,3
Survivor: Marquesas,4,Peter Harkey,Peter,44,Millis,Massachusetts,ENFP,3,1,1st voted out,NA,Maraamu,NA,NA,NA,5,0
Survivor: Marquesas,4,Patricia Jackson,Patricia,49,Lugoff,South Carolina,ISFJ,6,2,2nd voted out,NA,Maraamu,NA,NA,NA,5,0
Survivor: Marquesas,4,Hunter Ellis,Hunter,33,La Jolla,California,ESTJ,9,3,3rd voted out,NA,Maraamu,NA,NA,NA,4,0
Survivor: Marquesas,4,Sarah Jones,Sarah,24,Newport Beach,California,ISFP,12,4,4th voted out,NA,Maraamu,Maraamu,NA,NA,11,0
Survivor: Marquesas,4,Gabriel Cade,Gabriel,23,Hollywood,California,INFP,15,5,5th voted out,NA,Rotu,Rotu,NA,NA,7,0
